Title,Link,Date,Source,Summary,Place
India Monsoon Weather - Citrus County Chronicle,https://news.google.com/rss/articles/CBMisgFBVV95cUxQdXlsRkxQeHV4ZjRndnZyUFZkcGpoRlBrWDV3YmE0R0tRTWFLekh4WWpYZGJSdmZPOE1xYkNRZFNPTktpa1pLcktpeEF4bnZPZjRCLWc0aVp5elB2TGxGWGhqcjM4WW15Z1VHN1FnT01XLUV3dWgzSUR5Z0oyb3dOT05kTUZlMzVLNU5MU25lZzRJbU1pd2xaS2hzQ1l1R0cxZjc5dEVRZ2RuR1BCYzJwWmh3?oc=5,2024-07-21 14:35:28,Citrus County Chronicle,,
India Monsoon Race - Harrisonburg Daily News Record,https://news.google.com/rss/articles/CBMiwAFBVV95cUxORmdHM2JGRzVadnpYTGRxV05Pb1BTdUx0S0Q4SExIRGMwaXZ1akVPRV9EUmcyUnFBbDVzNVNaRkVJRUU3NG1PS1UzR0c4ZGMzaWtsNFpSY0RDWVpWUksxLUZONm1zOXVUeE5fd0lpNml0ZThiaVZORUNVWlp0N3lreDRxWU5rV01mbmFQM1BhWGZydUotREpKZ0JRZTdYS25FN0lKXzhuak1lZFNvSEVMME9aajVjVTVTUkgxazF6MHA?oc=5,2024-07-22 12:30:00,Harrisonburg Daily News Record,,
India Monsoon Weather - Citizentribune,https://news.google.com/rss/articles/CBMisAFBVV95cUxOczR6ZWtLaTZObXpPS29ud0RCa3dGcFFMTVNGVmNocEUxYzB2Wkc5RHZXaXhCLVNEY1RneFQ3LVdXaFdRcWRmRDdaS2xOLTZUUlNZc3MzUTZjV3ZiakZJUDRLLUE4N1MtZE1sQmd5SHNTOHpkNGtvWVYxdXZfU2xoSXJZMDlleEVqenVqeTNiNDEyZWxVOGVoOGVFUmYzSHplTXJ5Rks2SGNadHg1VU1xNQ?oc=5,2024-07-21 12:30:00,Citizentribune,,
"Uneven monsoon: Rain deficits hit nine states, south sees surplus - The Economic Times",https://news.google.com/rss/articles/CBMixwFBVV95cUxPN0x0alZxSWNwUmc2RVBQYlZlN3RNRF9lWUV4dVlXZk9ncmhMSUE1TmxIT2pEc0xDWjNzOGE5U0FiLXByOExtYXNvNXI1cmZILUk2S1lMZ2NkcFQtMldLZjFHY0VXSmFSWnd4Nkp3bVRqUFlEVVlHdXM1NHNnV2dMNVczM2dkYjBXTTd2VGlCcTk0QmFLd3JqM1dnZGVJbWVzdUlIZjJYS2Z6aXAwRkxkWjNkbVAzdFBLcTltd2RPaUh6VXZodlVJ0gHMAUFVX3lxTFBSbnRlNV80bXVGb2NDUnIxRjc0U3pkaGlBREhZNy1tSVdCWW5rNHBoUFNyM1JsYXdjM1Z1bEJSRnY4TC1pN1dtdVFYRzQyekotaHNUWS1ocTFqbThTOVVBZGNEbnVOSTVXNmxlM3RFM0hfUU4zNWpHb3gtb3otbS1aNnBEQ1c4X01BSGFab0JfMndHN0h0TGlkS3Z5U1hxbGZqc0dWMnhpdVcwUjhEYUNvMGp5UzNSeHFpS0tTaDRhT0R2aThkeERDVFhhMw?oc=5,2024-07-21 12:30:00,The Economic Times,,
"Big June-July rain deficit in 9 states, excess in 6 others - The Times of India",https://news.google.com/rss/articles/CBMiwwFBVV95cUxNT3RRQ0dLVFh2OExoMjhONlB2RFNfQV9DeWZ3cHljZDlfdVI0VnI1YktGbFBRWXhsZlJoUF9Iajl3T0J4VE9kTms3MnVBVDBvQTV5MXFHbm9FdXB4ZVlQQl8xV0lCXzFIRkxteDRWOGh2d2NEQXNwdHRkaWZidkRtaFczWkJhVjlCd2xqRkxEV2pSR2dYS3hBUUZMUWFYRWdVSHJiZUJDemM4OTFUN3lCMEs2cUxBTUt2RzM1QzM3cW5xYm_SAcgBQVVfeXFMT2xhdXAyVHAyc2J6ZGR2dUJ5TzNjVzFGbG1NT0MxbnFjZ2JXaVc1VGpYV2RhSDctMGJ1Q3lPRVJ5UGFmT0l5UlNlLVdXZDBoOWpja3FGbUlMQmc2THB6eThjdzRrQ3NscWZENTFBWUxoY0tqOGE0OXVVcFFyWk01Qmp1cmJoV0EtUU84OHlfcTVHSWpsZUZHandFeUxhQ3huclpqSllRMlFWZlp3OHJMV2VERm1sVWRxTlBnYXlaWlF3bzlpT21rTHc?oc=5,2024-07-21 12:30:00,The Times of India,,
Why monsoon is a harbinger of brain-infecting pathogens - India Today,https://news.google.com/rss/articles/CBMiswFBVV95cUxQZ2VzNy0yekJnVC16cU9tSUtMY2ZjeFNxd3I5eG1WaFZ2aF9aakpjb1JCUUg1aDk1RmlWbHJtVzItRE9sVFE1aFpoTWxkYlQ0dXVWU0VrRm5tS1E4bWNtNGxSSVRCWE1RM3BZZlM4OXNQTFFoTEV6RXBtWk16RmRSemh0WWxmbDN3Wk9mV0k5Y3ZvRHJZaFJ4ZVlCNG1VbjJSY1F1YTV3M1kzTDk1Z1RpMGZrb9IBuAFBVV95cUxOck1iNS05MDZkNFl3ZGxTQ1pHTnFMYy15S3M4SWVRekotWHVBamR3RDRMaE1ROUVkb1BnSjVsV0tjV0JjeVNNUUdRaDBnTHMxZHdzbUU0MHJLSkhacTBBdXJyd2FvdDF4bUVBZmwySUlybTRuaW1iX3VRSnd3M0pCQS1PbllmWmowVjh2MUw0Rk1BUHRsR2FNV0RlZnBidjdabGV1dGJDcmo5RnczV1dsR2t0TmFPbXVq?oc=5,2024-07-22 12:30:00,India Today,,
"Monsoon: Himachal Pradesh suffers losses to the tune of Rs 329 crore, 40 killed in rain-related incidents - The Tribune India",https://news.google.com/rss/articles/CBMi6gFBVV95cUxOMC0tZm16TWNCR21ST3VxMEpGcTlHckpjMnN2UU1rY3NvdjFCWERwZzVtUFgtbnl3dDBmNnJ1aURsTlJ4bklXTmljbUJGZDA4bVVIZHRjZlZYV1hra3dtMVRwa0ZnTHdTUlhCSFFvUEJPb0VOR0RrS3pTenRqUlpMS0NuSFBtXzlhdlRuMkxUck40d181eEQzeGxXOE5fbk9qd2lUOXV5QWNqVUpjX1pjMlpra0kzMk5rYTR4bEhCWXl0aEVtUDNtTV96VC1xNzJzQWM0VzdQQ2JzbjR0UHJmZGhJaFVoNGptQkHSAe4BQVVfeXFMUDVFTHh0MTY1QUJEZ3JwLWtaMGN6eU56Q3dHTS1FYmZSdTMyUDFOSWtRVGZ6WHdfeHVGanBWM0ZOMDJUaUY5aE5VTk9lM2FEVkluV01KQTNMUU5rX0dSNWl4ell4cXBsM0xxZExkUnAyX0FFcXZYSDR0OWZhYkIwNzh3UGJKblJ4ODl6a2ZXOTNLRUxHTF9MR3pDSjZFTHBKcVVzMW5MZUV4bFFlZFY2RzVGajMwQWVac0dmODI0OWJLaXE3QkNBR2hYQTF3d1h5VmZydXdKLUpaM25xSlY1MUw3bkhiclFnVXV5V0NlQQ?oc=5,2024-07-21 12:30:00,The Tribune India,,
"How to track Indian monsoon, check forecast through these free weather apps - MAUSAM, Skymet Weather and AccuWeather - HT Tech",https://news.google.com/rss/articles/CBMihwJBVV95cUxPTk1Lc3dOU2huRDVfVkdYQlk4YkxrNWxsRV92aERPMzZKNDBnRzFhRXhzRXExTFozYW9vOEdQWEtVbW1kZ0tjamlaWmZWWHF5RUZGN1lNQzVScF9DTkJtcnZVVXlLYnNYdjhFMUhoeG9JTEZEZGEzWWZ1Wkk2M3ZvX0p2MzFtaVpBSHY0c0JETUdnZ1NFODJ4MHVubVQzLXRuY3FHUWxSM0tjeXZHMm1kRkt6ZXNEX1AwcUFoc0tnQ0xuX3RxejhqUm5EQzYxdDgzbEhoeFVtbC0tWXc1aXVkNzhoZl9VSVZ0ODRNRDNQNnlxQ3JVWmg0c2RoN1ZNQy1CZGNfWThFb9IBjAJBVV95cUxOUTJXUHpFbVUtWHA3Wk1pNGpLLWk5a2dkLXdGV0RtZmQxUjRHTkZCekh2WFRRRFk4SXBJU2lJYmZBT1ZjUmNqSi1YZDBld2Y5RFRLSFJBaExReVE4UVh3MUw1NHBPSzRMcjRjeDBKbkhTUEZyLWpPLXRlbDdkSGY4Ml9yZXpEa2RhQ19HMmV4cjh1N2NhTEFsWTNQZDJhOTMtdG1OYi13TGtralZfeXFjRDdPVFRZOWVHYkRuX0hZLU1TdS01X2tYN2Z4QmJOd29SdFVGS0V1cEtEcmEzTFIyWWpWak93amtuMElhRnVqeTBWXzBiVVY5NnlVell1R2JBbzVaWjA5Z0JvTHBB?oc=5,2024-07-22 12:30:00,HT Tech,,
"Top Events on July 21: Parliament Monsoon Session meeting, Guru Purnima 2024, Infinix Note 40 5G launch, and more | Today News - Mint",https://news.google.com/rss/articles/CBMi-AFBVV95cUxPSkxoTVpZNG05MXFocG85TkVlemlkQjZUM0NkOURYcGxDaWtmbzJMZXFHb0pOcm1QLW5GYzNNd2stdkJlZkF5UGFTcG1uYnpxcllVel8tUU50ZXV1SHlTTmlUemkwaWNncFhoU0djOFowY0hJRlNXU2tFTmp2RkpwNG12Y3RSbkJwQ3dYMkprdUxqUGZZb3NlS0tYU2R6VzNqTG14WEcxemx3ZlhOMmtHeVBVRWlvaXpsVWtyc2RTYU8waGROTHM2SlhjTWlqYS1qQ1B4Zm45Skd0Z1JpbmFMTlhnMkp3Nk8tMDBXbmdDWk9Ud05JMlVjRtIB_gFBVV95cUxNT1Z2WmlRV3JUWXpINTgxdlZvb2VkaWZSQ2hYb0JTNzcxYmRMczNQb252dXlmd3dNU2dhVG9DNnRPZ1MyRm5LLXFJQmxicHNPNXVSQV84cF9TWWtfOGRlam5oaE00em5BUmgyRkd3NkJoajZoajZZRjM2enF1ZnV2TUZUdGZGbjI4UC1oN3ItZ0ozcnRPSVFpWWYzMXBiQ2ptWkhFYUlvZFE0NUN3czgzbXlPdF9SWWZZS0hUbkxlWEp4LS1oMkQ3UGpSWTItc2pCeWJIMGNFTVhaYTJBcEFrb1VQN2xrb0RwX1VnaUxGanl2UF80Qzc3NHM3bkRsQQ?oc=5,2024-07-21 12:30:00,Mint,,
Parliament Monsoon Session 2024 Day 1 Highlights: Both houses adjourn for the day - The Hindu,https://news.google.com/rss/articles/CBMisAFBVV95cUxOZnk3SHAzY1lIanhnbFBkNXJKZnlQTWE0aFJaMWJTLUJVY1YxOWlEd3g2Vml1eUZ4bUZENVhzdUt3YkxncVVvQjRkTEVMUEozdjU5MGNBaDh6aFZIWW5LZ0c3dk5ORmxvZjk0Yi1Ta25LSC12a3ItMkQtcUt1WFRhM0QtY2Ffcm5obEJkNkF1MDBMalNUckljX2dhbXkzMTIxMjlqUmRYUDNTWjNEYjVadg?oc=5,2024-07-22 12:30:00,The Hindu,,
