Title,Link,Date,Source,Summary,Term,LanguageQueried
"ఏపీలో భానుడి భగభగలు, రేపు 28 మండలాల్లో తీవ్ర వడగాలులు - Hindustan Times Telugu",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQRUZudklfWVhHSnZ2a19XX0VlRVp3UE5LbnhwdHFzZkNiT003eU9CMWVkREZncHZqOUtVLU1uc1U0MkxIUW1CbGtZNEQ4NXJqUVNqRy0yNGcwdVVnSHZ5MlZnRHNwdmc4bUpyZnNuSVBRcC1fZUpQZEtHazUwTHRDRUlJaDBObmZhblJkTkZBV0dJUFRHUm1RcXJma2ZoSjA1aTNPRDZpN3A4dHpDN29kd1gtUmJndUJLdEh6MlBwZEV0TjFGai13WDhGOWJmSFNYUTM3OTNBbGFUTUFKMVRUY3pVMzVROGtCeUFj0gHwAUFVX3lxTE9MMWxxUDBmQjJiZG5QaC13LUhaT3duR1YzMkl2ZGRqNmNMbWduTmM1ZWxkMjVjVnN5bW1nc2t5RkY5V1p2VHVQeGRtOXZQQjFOTzlyalByOGphMU9ZMlpFT2RuQ2h4VXd6ZHltNHI4b0tQZWU0Sk1DYkVCX1AyQUppTE9iVU5LOXl4SjZjWEIzYlhyOXNVYm91YUJudTdldTVTZWhKcjFTREYxU3dYY1E2c25ZdXdJTFhJaDNlX19EX1FOTnZWZVFyWEhxOVpYNkFZbHlYSXZVSmg1NkJoc01lZ1RIeF9Mcmh3VHpPb0swOA?oc=5,2025-04-21 22:42:00,Hindustan Times Telugu,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQRUZudklfWVhHSnZ2a19XX0VlRVp3UE5LbnhwdHFzZkNiT003eU9CMWVkREZncHZqOUtVLU1uc1U0MkxIUW1CbGtZNEQ4NXJqUVNqRy0yNGcwdVVnSHZ5MlZnRHNwdmc4bUpyZnNuSVBRcC1fZUpQZEtHazUwTHRDRUlJaDBObmZhblJkTkZBV0dJUFRHUm1RcXJma2ZoSjA1aTNPRDZpN3A4dHpDN29kd1gtUmJndUJLdEh6MlBwZEV0TjFGai13WDhGOWJmSFNYUTM3OTNBbGFUTUFKMVRUY3pVMzVROGtCeUFj0gHwAUFVX3lxTE9MMWxxUDBmQjJiZG5QaC13LUhaT3duR1YzMkl2ZGRqNmNMbWduTmM1ZWxkMjVjVnN5bW1nc2t5RkY5V1p2VHVQeGRtOXZQQjFOTzlyalByOGphMU9ZMlpFT2RuQ2h4VXd6ZHltNHI4b0tQZWU0Sk1DYkVCX1AyQUppTE9iVU5LOXl4SjZjWEIzYlhyOXNVYm91YUJudTdldTVTZWhKcjFTREYxU3dYY1E2c25ZdXdJTFhJaDNlX19EX1FOTnZWZVFyWEhxOVpYNkFZbHlYSXZVSmg1NkJoc01lZ1RIeF9Mcmh3VHpPb0swOA?oc=5"" target=""_blank"">ఏపీలో భానుడి భగభగలు, రేపు 28 మండలాల్లో తీవ్ర వడగాలులు</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times Telugu</font>",Heatwave,te
"Heat and Rain: 7 రోజులు వర్ష సూచన.. మరోవైపు భగ్గుమనే ఎండలు.. ఏపీ, తెలంగాణలో అక్కడ మాత్రం వానలు! - News18 Telugu",https://news.google.com/rss/articles/CBMigAJBVV95cUxNMHV3QVAzVmV6djZaYnFhWl80ZXRzZmdyb0JfVlluUGY4bU15akdPUzRhSkZDVTNGclBjd2g1bklRdHExZWZBd2V4blpxWXpyUnFiR2hlejdELV9Ga1NiOUxkN0VJckRqQktBZlBrVXVwSnplMTJad0RkUy1PMGpOd0NqdWhyaFpjTW8xYUl6QjBfU0dwbk5XQUxFclFEZUM2NHJVY3E3TkNzdWl2emxkem1JMXRvYS1lWlI2aGFoMVB2em8zMEt3V3I0dXh6cy15Ny1SOU1JUHI1S3BEV3l2SEtaeEJpQzRFRlY2eFE0ZkRPSFhnTzlfUGhFVzY1WW5v0gGIBEFVX3lxTFA5ZjJDalI3Z0JDcFlqUWJZaHNZbklaXzM4VXBhRlVhZG9pdU1DUnhPaU8wd3VNck92OUI4YTZteWFDYUVPSWlMLTZVNXFmNTBFczkwd2tPUEpNU2gzZzVjWVhZVTRDbG5QdGpTOTRJVE4yc2FjLTlzdmlBSXhzemNDNk5vajNxVTBBczhJSEo2c2U3LVd6NE9fb2xRb2hqeXg4eFAtNXpBeTZrSjlfM2VObmEwRlVnVTJ5a1BueXpkLW1JbVlfUms2UjRISndUcU9TWHhHeDJNMUxtQzZDS0h4bEJ0ZjFnNlpFY1dHUVVxVVU1N3lZcHFkMmlwd29odExPcWIteVBpU3ZZMGJ4SElVZmpHcEVVc1cwaGhJdTdBUjlwYkNleDlQRG1pdXZjRnp4b2NMaDd1VkZsenluOEdlVU5SS1pONDF6Q2NweEpwajNScXRZaEhHOG41MXZxUzJWeHVYcjVXZ19iN3N1UzR2WG5VSk5JTm03clNBNlhnc2JGd3QzR0tLUE90QmF0TW5pemt2aHFwcFhWMzJNUGk1SmFsWUdZYVE3bVZTU3JhRUEzcFI2X1FraW9qeWxkaGlkUTRicXA1RUFHTUkzcTd5UnppWUpmTzBDOHluXzJ4bkd0TEU5aXZHeDhTTVFvQmd1WFY1bW1JeXVBbWVmbEJWRkNBWEZ2ZnE?oc=5,2025-04-22 04:41:55,News18 Telugu,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxNMHV3QVAzVmV6djZaYnFhWl80ZXRzZmdyb0JfVlluUGY4bU15akdPUzRhSkZDVTNGclBjd2g1bklRdHExZWZBd2V4blpxWXpyUnFiR2hlejdELV9Ga1NiOUxkN0VJckRqQktBZlBrVXVwSnplMTJad0RkUy1PMGpOd0NqdWhyaFpjTW8xYUl6QjBfU0dwbk5XQUxFclFEZUM2NHJVY3E3TkNzdWl2emxkem1JMXRvYS1lWlI2aGFoMVB2em8zMEt3V3I0dXh6cy15Ny1SOU1JUHI1S3BEV3l2SEtaeEJpQzRFRlY2eFE0ZkRPSFhnTzlfUGhFVzY1WW5v0gGIBEFVX3lxTFA5ZjJDalI3Z0JDcFlqUWJZaHNZbklaXzM4VXBhRlVhZG9pdU1DUnhPaU8wd3VNck92OUI4YTZteWFDYUVPSWlMLTZVNXFmNTBFczkwd2tPUEpNU2gzZzVjWVhZVTRDbG5QdGpTOTRJVE4yc2FjLTlzdmlBSXhzemNDNk5vajNxVTBBczhJSEo2c2U3LVd6NE9fb2xRb2hqeXg4eFAtNXpBeTZrSjlfM2VObmEwRlVnVTJ5a1BueXpkLW1JbVlfUms2UjRISndUcU9TWHhHeDJNMUxtQzZDS0h4bEJ0ZjFnNlpFY1dHUVVxVVU1N3lZcHFkMmlwd29odExPcWIteVBpU3ZZMGJ4SElVZmpHcEVVc1cwaGhJdTdBUjlwYkNleDlQRG1pdXZjRnp4b2NMaDd1VkZsenluOEdlVU5SS1pONDF6Q2NweEpwajNScXRZaEhHOG41MXZxUzJWeHVYcjVXZ19iN3N1UzR2WG5VSk5JTm03clNBNlhnc2JGd3QzR0tLUE90QmF0TW5pemt2aHFwcFhWMzJNUGk1SmFsWUdZYVE3bVZTU3JhRUEzcFI2X1FraW9qeWxkaGlkUTRicXA1RUFHTUkzcTd5UnppWUpmTzBDOHluXzJ4bkd0TEU5aXZHeDhTTVFvQmd1WFY1bW1JeXVBbWVmbEJWRkNBWEZ2ZnE?oc=5"" target=""_blank"">Heat and Rain: 7 రోజులు వర్ష సూచన.. మరోవైపు భగ్గుమనే ఎండలు.. ఏపీ, తెలంగాణలో అక్కడ మాత్రం వానలు!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Telugu</font>",Heatwave,te
"తెలుగు రాష్ట్రాలకు IMD హెచ్చరిక.. ఈ జిల్లాల వాళ్ళు బయటికే రాకూడదంట, ఎందుకంటే - Boldsky Telugu",https://news.google.com/rss/articles/CBMiywFBVV95cUxNMlNRV2czTWwySEtvaGQ3WnY0Q3pVYlBXM1VWVl9TZGI5YjNSRE80TXE5d3p4VXlWQm9Nc2JJa0NYSzFWdWdWSi14TURzaFhMUkExYUJyN0JDT2sxU0hFNTd6QjFZYlZ2S3d3WDZ6ekRoYm1Pa21zUS04THozQUJ6QkppZl9nYTB0QjZZQUVDaEVBa2xFbzVSRW03TzRiWGJzX2VjeGJJSmlLOFJNN3VLU2dkcUFzXzNxemJ6SV90LWxPTjZ1bE55TzJKYw?oc=5,2025-04-21 14:29:11,Boldsky Telugu,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNMlNRV2czTWwySEtvaGQ3WnY0Q3pVYlBXM1VWVl9TZGI5YjNSRE80TXE5d3p4VXlWQm9Nc2JJa0NYSzFWdWdWSi14TURzaFhMUkExYUJyN0JDT2sxU0hFNTd6QjFZYlZ2S3d3WDZ6ekRoYm1Pa21zUS04THozQUJ6QkppZl9nYTB0QjZZQUVDaEVBa2xFbzVSRW03TzRiWGJzX2VjeGJJSmlLOFJNN3VLU2dkcUFzXzNxemJ6SV90LWxPTjZ1bE55TzJKYw?oc=5"" target=""_blank"">తెలుగు రాష్ట్రాలకు IMD హెచ్చరిక.. ఈ జిల్లాల వాళ్ళు బయటికే రాకూడదంట, ఎందుకంటే</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Boldsky Telugu</font>",Heatwave,te
IMD Weather Update: Heatwave Likely In Multiple States Over Next Three Days; Maximum Temperatures May Hit 42°C - news24online.com,https://news.google.com/rss/articles/CBMi3wFBVV95cUxONXVsUW1GVTF4YnE5TU1KejJjUVpIUTJ5eTlJenJocjd1cF9jSnBBSXU1UUM4bUZpSVo2YXNlTEctVnZtTVBXeDY2RUV0ZTJkWjNnNlJja25SdUpQWHBsNnBCN1dvVnE1QS1MeVRDWi1ENDRDWVFVNFJ5OGRqSEhyYi1OQXpVU3JEa0pzaTU5WTlzdldldmM4THd3SmhocUlWMF9SUm4tZ01OT0tzaE1yc2t0X0I5RXoxSnROR1h4eUItWkJqcUQ3dV8xY25wTDRhQlFLaXNGcWNIU3BFcGZB?oc=5,2025-04-22 09:47:58,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxONXVsUW1GVTF4YnE5TU1KejJjUVpIUTJ5eTlJenJocjd1cF9jSnBBSXU1UUM4bUZpSVo2YXNlTEctVnZtTVBXeDY2RUV0ZTJkWjNnNlJja25SdUpQWHBsNnBCN1dvVnE1QS1MeVRDWi1ENDRDWVFVNFJ5OGRqSEhyYi1OQXpVU3JEa0pzaTU5WTlzdldldmM4THd3SmhocUlWMF9SUm4tZ01OT0tzaE1yc2t0X0I5RXoxSnROR1h4eUItWkJqcUQ3dV8xY25wTDRhQlFLaXNGcWNIU3BFcGZB?oc=5"" target=""_blank"">IMD Weather Update: Heatwave Likely In Multiple States Over Next Three Days; Maximum Temperatures May Hit 42°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
IMD predicts heatwave conditions in April; Delhi govt launches action plan - Business Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxNZUxvcXRPNkxtMExQZWNRbjhqYW5xYlJtc194eFJpVlk0X005OTd5dlZVUDhvenljQzFCN0RKdEJzb1EyanJPdV9uVUU3TTU1VW9ucXQ5MXlRT3ZhOGdZWjJUQW5xLVFLWW9OX3RqV0hNbi1fUFFxN01femlKNEoxNDZNS2VyZUNUSE1rWnJNVXA0cHpobDZPMDlkMU1Eb01oU0RsMEV1LTI2RWNHUWljdk1kYkMyU2FiMm96ZkQ1bk96Q2YwVjRhWUZTbVDSAdIBQVVfeXFMTURQYkVOOFBBT054NzlHQ2I0OV85OEdaUzBFU2Nfb1owMHoyUC1tRkplRlZ4V2VfTDMtUlJFRFB1aldKV2s2T3JWVnJ2Mno3VWtzRjFDVmwyZ0cwWWVUMmlwSmJPMTBkQ05SV1hjXzZHZ1pneU5tOVBxM2tQYUI4UEo5UGktYVdDVTEtT2kyd0JvY1VzLUU5cEZLcHNQRkhPbDFfYTVSVWxQcUhsUXdZQi1lbFI0elVyMjJMSUFaWmZYT3dyZG12Z19RZEE3dTVTelh3?oc=5,2025-04-21 16:25:22,Business Today,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNZUxvcXRPNkxtMExQZWNRbjhqYW5xYlJtc194eFJpVlk0X005OTd5dlZVUDhvenljQzFCN0RKdEJzb1EyanJPdV9uVUU3TTU1VW9ucXQ5MXlRT3ZhOGdZWjJUQW5xLVFLWW9OX3RqV0hNbi1fUFFxN01femlKNEoxNDZNS2VyZUNUSE1rWnJNVXA0cHpobDZPMDlkMU1Eb01oU0RsMEV1LTI2RWNHUWljdk1kYkMyU2FiMm96ZkQ1bk96Q2YwVjRhWUZTbVDSAdIBQVVfeXFMTURQYkVOOFBBT054NzlHQ2I0OV85OEdaUzBFU2Nfb1owMHoyUC1tRkplRlZ4V2VfTDMtUlJFRFB1aldKV2s2T3JWVnJ2Mno3VWtzRjFDVmwyZ0cwWWVUMmlwSmJPMTBkQ05SV1hjXzZHZ1pneU5tOVBxM2tQYUI4UEo5UGktYVdDVTEtT2kyd0JvY1VzLUU5cEZLcHNQRkhPbDFfYTVSVWxQcUhsUXdZQi1lbFI0elVyMjJMSUFaWmZYT3dyZG12Z19RZEE3dTVTelh3?oc=5"" target=""_blank"">IMD predicts heatwave conditions in April; Delhi govt launches action plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",Heatwave,en
"Weather Update: Heavy Rainfall in Northeast, Heatwave Alerts for Rajasthan, MP, UP & More –Check Full Forecast Here - Krishi Jagran",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNaWRLYTBidTN0WHZXV3N6T3UyNE9DM3d1c3RvWUloNUpjaExWcEdoUVkzSi12TVc2ODdRNVl3QU5LVjJOcHgxSzc0bVhWcDJpYVdETmdtTEhuUkR5bWN4LUc3eXVqLTRzVUFxTEd5a2R3VVBFY2c2aFBmb2QzZTJHOVUyOFhjamZ3djhIRFB2cExNdDRRcEtmRE84VndGSG5DQWIya0M0V1oweHA0b3RRbURwbm14Q0g1dHBpQm95UWNkNm9WWmo4OExaQ0FKUXdkNERnTm14TTdBWFhSSnM1dXhieUE?oc=5,2025-04-22 07:39:42,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNaWRLYTBidTN0WHZXV3N6T3UyNE9DM3d1c3RvWUloNUpjaExWcEdoUVkzSi12TVc2ODdRNVl3QU5LVjJOcHgxSzc0bVhWcDJpYVdETmdtTEhuUkR5bWN4LUc3eXVqLTRzVUFxTEd5a2R3VVBFY2c2aFBmb2QzZTJHOVUyOFhjamZ3djhIRFB2cExNdDRRcEtmRE84VndGSG5DQWIya0M0V1oweHA0b3RRbURwbm14Q0g1dHBpQm95UWNkNm9WWmo4OExaQ0FKUXdkNERnTm14TTdBWFhSSnM1dXhieUE?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Northeast, Heatwave Alerts for Rajasthan, MP, UP & More –Check Full Forecast Here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
IMD Issues Heatwave and Rainfall Alerts for Multiple States; Delhi to See Dry Days with Rising Temperatures - Krishi Jagran,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQSzFNVzNURTBzWEpNSW9Tbkhua3ZGTVkydXpEemRKanVWYlZLWkcyWVFWYWVYOVdhTTViTms2TGZ5ZnR3SWx4djZyZ1NCRnc0WFVXaDI3RXVDbjBDbVdDSFpGbF9yTFZRNkQ1VG5UQVV4V3hEdXItRHNsejZwN3FNTHdKQjhqTHVkaW8zMHZ0aFlsN1l3V0pmMllza2xsRVctSjZOeDhEZmlldEVoYmlvVmxvZDlSMTlnUDhMTjluQ2NZb1gwb201cFJaY3o4aWpCWmx30gHbAUFVX3lxTE5aQTQyUnlmcElQdlZDVWhfQzNjQ0JEeUNrSW1pckZXR1N2NzFxSjhYdlpSXzhlQUdjb0c4UkJRTXlJaGpmMzU1OEtzWndmRFp3XzJUdlA3ajdjdEtIdVMxaDFxVTJvLW1SX2cwTVdzY3k1aENidVJmN05FUW5NQkYtTXdEdjRHUkVIaFJ6eHk2WnRkUndIT3M5bnRWNTZMS2otdVJlelJTYk9vV1puem5sTjZqeGhRU2xjVlhaTXlwRlBUeFdtMUljYUY4OGVtRjFhdFVGQ3dLNkdxcw?oc=5,2025-04-21 16:56:24,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQSzFNVzNURTBzWEpNSW9Tbkhua3ZGTVkydXpEemRKanVWYlZLWkcyWVFWYWVYOVdhTTViTms2TGZ5ZnR3SWx4djZyZ1NCRnc0WFVXaDI3RXVDbjBDbVdDSFpGbF9yTFZRNkQ1VG5UQVV4V3hEdXItRHNsejZwN3FNTHdKQjhqTHVkaW8zMHZ0aFlsN1l3V0pmMllza2xsRVctSjZOeDhEZmlldEVoYmlvVmxvZDlSMTlnUDhMTjluQ2NZb1gwb201cFJaY3o4aWpCWmx30gHbAUFVX3lxTE5aQTQyUnlmcElQdlZDVWhfQzNjQ0JEeUNrSW1pckZXR1N2NzFxSjhYdlpSXzhlQUdjb0c4UkJRTXlJaGpmMzU1OEtzWndmRFp3XzJUdlA3ajdjdEtIdVMxaDFxVTJvLW1SX2cwTVdzY3k1aENidVJmN05FUW5NQkYtTXdEdjRHUkVIaFJ6eHk2WnRkUndIT3M5bnRWNTZMS2otdVJlelJTYk9vV1puem5sTjZqeGhRU2xjVlhaTXlwRlBUeFdtMUljYUY4OGVtRjFhdFVGQ3dLNkdxcw?oc=5"" target=""_blank"">IMD Issues Heatwave and Rainfall Alerts for Multiple States; Delhi to See Dry Days with Rising Temperatures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"IMD Forecasts Heatwave in Central and Northern India, Heavy Rainfall in Northeast - - NEWS ON AIR",https://news.google.com/rss/articles/CBMirwFBVV95cUxQUUFOX0FNU3REbzljVlVUWWtUVVYwQ2VRbTBUQ2Z5OG9vS1c0RVVWRF9BQmcyZ0xrUmVYOTh2UUtybVFpTTBiRXYtbnlINTNZT19pZ2dncVoyUWo1TlludXhTRTZ1OWNCdjZ1eTFHQnVPRy1QUUhIVmQ4bEk0RnlDdUlfbkFkY1Q2M2xIRlFGR3VzZkc2T2xzYWRVcXVRTmNXY0Jjb1Rxalg4azV5MHpZ?oc=5,2025-04-21 21:13:07,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQUUFOX0FNU3REbzljVlVUWWtUVVYwQ2VRbTBUQ2Z5OG9vS1c0RVVWRF9BQmcyZ0xrUmVYOTh2UUtybVFpTTBiRXYtbnlINTNZT19pZ2dncVoyUWo1TlludXhTRTZ1OWNCdjZ1eTFHQnVPRy1QUUhIVmQ4bEk0RnlDdUlfbkFkY1Q2M2xIRlFGR3VzZkc2T2xzYWRVcXVRTmNXY0Jjb1Rxalg4azV5MHpZ?oc=5"" target=""_blank"">IMD Forecasts Heatwave in Central and Northern India, Heavy Rainfall in Northeast -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
"Weather update: IMD issues rainfall, heatwave alert in THESE states till April 26; details here - Mint",https://news.google.com/rss/articles/CBMi4gFBVV95cUxOSEs3eFNnczFad2hCdEViTklFTHBaMHI4YkN4QjBFYUxrd25HNVh1RDRCUmcxeWgtNVR6Y0ZLOVVKMTJrcFl5RDdlN2dYUHZLZWk4VmdMcUFycjdIa2ZnRV94QjBxcndkbW1VUVlLcmRlWmExaHE1X3JzTXZ5WHllaW1YSmgzempjUUE5SDMzMVhtc2pORmZ2bm5QSWlIVkxQNEpVdUliaHdvdnFPS2w2dGhYd3h6Y1ItdUpPSXhHWFNNZWU4Z19UdVlWa0VYWDNBNXkyX2stTmRZRGhqQ2N3LTV30gHnAUFVX3lxTFBpWFhRR3RrWE9DTUhsSk4xMF9XdEc2ZUVpZTNGUWV2WFIwZTIyWWRmN0NRNHV5UGoyMlRod2NscW1vckw1VDBiS3JuZEpINFRmZy1VV1U2c1hISVloZlh0cWs3dlJ2U2c5aUhKcnAwRzZWck94MExVOExjMnh5ZmVsQ3VUVmhuTXpkRlJuWVNoRzlDMmdGbXJhaHpaYm9wR0lNY0lEV1lKLVJHX3N1UnRaaXFXWktYdWVHSGoyNUMzcm5FUGlCcG8tVUdZR0owSzFERzBwWFZOZFJ1eTcyQlo4NW5zZlg3QQ?oc=5,2025-04-22 08:43:50,Mint,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOSEs3eFNnczFad2hCdEViTklFTHBaMHI4YkN4QjBFYUxrd25HNVh1RDRCUmcxeWgtNVR6Y0ZLOVVKMTJrcFl5RDdlN2dYUHZLZWk4VmdMcUFycjdIa2ZnRV94QjBxcndkbW1VUVlLcmRlWmExaHE1X3JzTXZ5WHllaW1YSmgzempjUUE5SDMzMVhtc2pORmZ2bm5QSWlIVkxQNEpVdUliaHdvdnFPS2w2dGhYd3h6Y1ItdUpPSXhHWFNNZWU4Z19UdVlWa0VYWDNBNXkyX2stTmRZRGhqQ2N3LTV30gHnAUFVX3lxTFBpWFhRR3RrWE9DTUhsSk4xMF9XdEc2ZUVpZTNGUWV2WFIwZTIyWWRmN0NRNHV5UGoyMlRod2NscW1vckw1VDBiS3JuZEpINFRmZy1VV1U2c1hISVloZlh0cWs3dlJ2U2c5aUhKcnAwRzZWck94MExVOExjMnh5ZmVsQ3VUVmhuTXpkRlJuWVNoRzlDMmdGbXJhaHpaYm9wR0lNY0lEV1lKLVJHX3N1UnRaaXFXWktYdWVHSGoyNUMzcm5FUGlCcG8tVUdZR0owSzFERzBwWFZOZFJ1eTcyQlo4NW5zZlg3QQ?oc=5"" target=""_blank"">Weather update: IMD issues rainfall, heatwave alert in THESE states till April 26; details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Heatwave,en
"Mercury continues to soar above normals in Pune, Chandrapur hottest in India at 45.6°C - Times of India",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPeTNNbzZKdXhvWlJGWU1tNjJBZHJsaXltdVNQQVl4R3R6MlgtRGVkUF8yNFdWeDJwRjc4YTR3Y2RsQTY0dVI2N3dqMnR5b3ItNVp1Z3ZFNHRTZnVYcXRGQklfQTRoYUtuZ1piazUzMmE4Q3k1ZlBZcmNGTnpabEg3X2FURnpwNjl3NjNxcHNoNlVzbVJWamR2UU1Ca0p4TnBtdlhKa3RVWXpaclpvSUQtMFhaczhUTkROeWZaUVNrWTg3N2hHYmFKa1d4RmZ1NzVUc3Q5V3cwR1RfSFJfelkwREU2NzIxdTRZUFh5eNIB8gFBVV95cUxQSU5xbEFNYXFHbUZ3ZzAtd2ViUmVTeGQ0aEE2VTlNYk80czRRSDRMVnUwX25lcGpKTkZWSnpKMktvSTZLcGUtNXlGWnQxV1Vac254dEo3ZDZYYjBCMzluaUxXT04xQlZMemt1LUN3WWczZHRjSFVwU244WFFtbG1nVDF0S1N3VjBqWWZUd0U3MzhVdi1LeHRCUEVpM19jSzRHWlJBbzdHR3V2TnVtWGwybzJic0g2UHdpVDlqN0JRWTJoRV9ib2E0bmV3ZmNzRkVfbWluWGRtWmdQSHduOF9qdTZCQ3RCU2NVLUhudktuLVRWdw?oc=5,2025-04-22 01:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPeTNNbzZKdXhvWlJGWU1tNjJBZHJsaXltdVNQQVl4R3R6MlgtRGVkUF8yNFdWeDJwRjc4YTR3Y2RsQTY0dVI2N3dqMnR5b3ItNVp1Z3ZFNHRTZnVYcXRGQklfQTRoYUtuZ1piazUzMmE4Q3k1ZlBZcmNGTnpabEg3X2FURnpwNjl3NjNxcHNoNlVzbVJWamR2UU1Ca0p4TnBtdlhKa3RVWXpaclpvSUQtMFhaczhUTkROeWZaUVNrWTg3N2hHYmFKa1d4RmZ1NzVUc3Q5V3cwR1RfSFJfelkwREU2NzIxdTRZUFh5eNIB8gFBVV95cUxQSU5xbEFNYXFHbUZ3ZzAtd2ViUmVTeGQ0aEE2VTlNYk80czRRSDRMVnUwX25lcGpKTkZWSnpKMktvSTZLcGUtNXlGWnQxV1Vac254dEo3ZDZYYjBCMzluaUxXT04xQlZMemt1LUN3WWczZHRjSFVwU244WFFtbG1nVDF0S1N3VjBqWWZUd0U3MzhVdi1LeHRCUEVpM19jSzRHWlJBbzdHR3V2TnVtWGwybzJic0g2UHdpVDlqN0JRWTJoRV9ib2E0bmV3ZmNzRkVfbWluWGRtWmdQSHduOF9qdTZCQ3RCU2NVLUhudktuLVRWdw?oc=5"" target=""_blank"">Mercury continues to soar above normals in Pune, Chandrapur hottest in India at 45.6°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
