Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: Heavy Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha, Strong Winds in Delhi - Krishi Jagran",https://news.google.com/rss/articles/CBMigwJBVV95cUxPbFRqdzJvYmlLQ1ROQkVDb0owVDMwbEJEVkliTEZyU1p1aHc2aEhta3FDZzhXYkZXdThGRFFKZk5qUVZocmRMM1A1MzN1MTVmal9HV1JIT0N4RWJtTWZjUTVqeWhnMnEtUWt3Z0NNQUZYTGtTbE1ZVnhLQmpvUU4zcVV5WVFRYVRIc3hPOFJoaHQ1eUxnR0Y2Sk1sNGxpZG1ULUJva3NRY1l4NXh6LTJYc2FUYzBwa0Q2Z3pLc1ktTXQwYVYzRGtCZTI0cVJxNHUwQnB1U3QzUEJ1dFBiVllTRWpLSkg4UFd3cE9MUE1aTWluMkRnSmVtS1ZBSjN4ckRMMFBV?oc=5,2025-03-28 06:06:40,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxPbFRqdzJvYmlLQ1ROQkVDb0owVDMwbEJEVkliTEZyU1p1aHc2aEhta3FDZzhXYkZXdThGRFFKZk5qUVZocmRMM1A1MzN1MTVmal9HV1JIT0N4RWJtTWZjUTVqeWhnMnEtUWt3Z0NNQUZYTGtTbE1ZVnhLQmpvUU4zcVV5WVFRYVRIc3hPOFJoaHQ1eUxnR0Y2Sk1sNGxpZG1ULUJva3NRY1l4NXh6LTJYc2FUYzBwa0Q2Z3pLc1ktTXQwYVYzRGtCZTI0cVJxNHUwQnB1U3QzUEJ1dFBiVllTRWpLSkg4UFd3cE9MUE1aTWluMkRnSmVtS1ZBSjN4ckRMMFBV?oc=5"" target=""_blank"">Weather Update: Heavy Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha, Strong Winds in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
"IMD Forecasts Heatwave In Odisha, Heavy Rain In Arunachal - Global Green News",https://news.google.com/rss/articles/CBMimwFBVV95cUxPN2Vpdi02WGdVYWd5cER1eGFoVFBqZnRSTUJNMGpRdnd6YWh2T3hkekVCX0YtTGRXREZLYzN4OXEwUWVaWWZXYzg1QjludlZ5dU5Wb09PekxNQVYyVGI5cUZINXh1bUtiZ3lVYUdJVTdaWFJtTnpRbDY0eHlpRExiVDlLeWpoRlhMMWtZcWpHdUlzRXE5NDNHQ3JWRQ?oc=5,2025-03-28 09:43:41,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPN2Vpdi02WGdVYWd5cER1eGFoVFBqZnRSTUJNMGpRdnd6YWh2T3hkekVCX0YtTGRXREZLYzN4OXEwUWVaWWZXYzg1QjludlZ5dU5Wb09PekxNQVYyVGI5cUZINXh1bUtiZ3lVYUdJVTdaWFJtTnpRbDY0eHlpRExiVDlLeWpoRlhMMWtZcWpHdUlzRXE5NDNHQ3JWRQ?oc=5"" target=""_blank"">IMD Forecasts Heatwave In Odisha, Heavy Rain In Arunachal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
"IMD Issues Alert for Heavy Rain, Snowfall in Jammu and Kashmir - The Impressive Times",https://news.google.com/rss/articles/CBMiV0FVX3lxTFBXTE9odDJ1SWNBZWlOQ0pEdVI1MXNoTjJZazNhV2xPZEdXQ01GT2lfT0pqXzR4VmZLWEFXRE94XzdTTnFZU29ORlgwU0JLRWxsT2dlT3NiNA?oc=5,2025-03-27 11:33:40,The Impressive Times,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTFBXTE9odDJ1SWNBZWlOQ0pEdVI1MXNoTjJZazNhV2xPZEdXQ01GT2lfT0pqXzR4VmZLWEFXRE94XzdTTnFZU29ORlgwU0JLRWxsT2dlT3NiNA?oc=5"" target=""_blank"">IMD Issues Alert for Heavy Rain, Snowfall in Jammu and Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Impressive Times</font>",Heatwave,en
"Heavy Rain, Thunderstorm Alerts Issued for Multiple Indian States as IMD Warns of Weather Shift - Udaipur Kiran",https://news.google.com/rss/articles/CBMivAFBVV95cUxQaWJMaXZNeU9KdVhrTnY4YzgyTTJYZEZmT3dvUEgtVnJBaDY3NmhFdFFuYW9vdkZVV0dWWmh1Rm5ZZGhtVDItbDFKSk5rWXdDTFVMS2EyRE8zUll0My1NelRhLVQwLWpja3R2M0N1V2o3eV9pT3RnaGRGb3E4eVZUX3NGNzA5X25lNl9DQW53QnFjUTB0MEdqZDVlLTNnVDZtNVRvWHdBYjJWc0xVVWhKN3JpYWUwSnQ4YXRwYg?oc=5,2025-03-27 11:55:25,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQaWJMaXZNeU9KdVhrTnY4YzgyTTJYZEZmT3dvUEgtVnJBaDY3NmhFdFFuYW9vdkZVV0dWWmh1Rm5ZZGhtVDItbDFKSk5rWXdDTFVMS2EyRE8zUll0My1NelRhLVQwLWpja3R2M0N1V2o3eV9pT3RnaGRGb3E4eVZUX3NGNzA5X25lNl9DQW53QnFjUTB0MEdqZDVlLTNnVDZtNVRvWHdBYjJWc0xVVWhKN3JpYWUwSnQ4YXRwYg?oc=5"" target=""_blank"">Heavy Rain, Thunderstorm Alerts Issued for Multiple Indian States as IMD Warns of Weather Shift</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
Odisha heatwave 2025 - Udaipur Kiran,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5QMl9XOExzWFFuNnFuUm9qanlsdHZTcUcxdG9CYmVuQlJmY0w0c3hSSk92WVN4aUpBcVMtS0xFdnpLc0pQV2U4SUFXSW1XMkp4a095eHdxYW05aC1ZcXdZ?oc=5,2025-03-27 11:55:25,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE5QMl9XOExzWFFuNnFuUm9qanlsdHZTcUcxdG9CYmVuQlJmY0w0c3hSSk92WVN4aUpBcVMtS0xFdnpLc0pQV2U4SUFXSW1XMkp4a095eHdxYW05aC1ZcXdZ?oc=5"" target=""_blank"">Odisha heatwave 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
"Weather Update: Heavy Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha, Strong Winds in Delhi - Krishi Jagran",https://news.google.com/rss/articles/CBMigwJBVV95cUxPbFRqdzJvYmlLQ1ROQkVDb0owVDMwbEJEVkliTEZyU1p1aHc2aEhta3FDZzhXYkZXdThGRFFKZk5qUVZocmRMM1A1MzN1MTVmal9HV1JIT0N4RWJtTWZjUTVqeWhnMnEtUWt3Z0NNQUZYTGtTbE1ZVnhLQmpvUU4zcVV5WVFRYVRIc3hPOFJoaHQ1eUxnR0Y2Sk1sNGxpZG1ULUJva3NRY1l4NXh6LTJYc2FUYzBwa0Q2Z3pLc1ktTXQwYVYzRGtCZTI0cVJxNHUwQnB1U3QzUEJ1dFBiVllTRWpLSkg4UFd3cE9MUE1aTWluMkRnSmVtS1ZBSjN4ckRMMFBV?oc=5,2025-03-28 06:06:40,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxPbFRqdzJvYmlLQ1ROQkVDb0owVDMwbEJEVkliTEZyU1p1aHc2aEhta3FDZzhXYkZXdThGRFFKZk5qUVZocmRMM1A1MzN1MTVmal9HV1JIT0N4RWJtTWZjUTVqeWhnMnEtUWt3Z0NNQUZYTGtTbE1ZVnhLQmpvUU4zcVV5WVFRYVRIc3hPOFJoaHQ1eUxnR0Y2Sk1sNGxpZG1ULUJva3NRY1l4NXh6LTJYc2FUYzBwa0Q2Z3pLc1ktTXQwYVYzRGtCZTI0cVJxNHUwQnB1U3QzUEJ1dFBiVllTRWpLSkg4UFd3cE9MUE1aTWluMkRnSmVtS1ZBSjN4ckRMMFBV?oc=5"" target=""_blank"">Weather Update: Heavy Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha, Strong Winds in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
"IMD Forecasts Heatwave In Odisha, Heavy Rain In Arunachal - Global Green News",https://news.google.com/rss/articles/CBMimwFBVV95cUxPN2Vpdi02WGdVYWd5cER1eGFoVFBqZnRSTUJNMGpRdnd6YWh2T3hkekVCX0YtTGRXREZLYzN4OXEwUWVaWWZXYzg1QjludlZ5dU5Wb09PekxNQVYyVGI5cUZINXh1bUtiZ3lVYUdJVTdaWFJtTnpRbDY0eHlpRExiVDlLeWpoRlhMMWtZcWpHdUlzRXE5NDNHQ3JWRQ?oc=5,2025-03-28 09:43:41,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPN2Vpdi02WGdVYWd5cER1eGFoVFBqZnRSTUJNMGpRdnd6YWh2T3hkekVCX0YtTGRXREZLYzN4OXEwUWVaWWZXYzg1QjludlZ5dU5Wb09PekxNQVYyVGI5cUZINXh1bUtiZ3lVYUdJVTdaWFJtTnpRbDY0eHlpRExiVDlLeWpoRlhMMWtZcWpHdUlzRXE5NDNHQ3JWRQ?oc=5"" target=""_blank"">IMD Forecasts Heatwave In Odisha, Heavy Rain In Arunachal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
"IMD Issues Alert for Heavy Rain, Snowfall in Jammu and Kashmir - The Impressive Times",https://news.google.com/rss/articles/CBMiV0FVX3lxTFBXTE9odDJ1SWNBZWlOQ0pEdVI1MXNoTjJZazNhV2xPZEdXQ01GT2lfT0pqXzR4VmZLWEFXRE94XzdTTnFZU29ORlgwU0JLRWxsT2dlT3NiNA?oc=5,2025-03-27 11:33:40,The Impressive Times,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTFBXTE9odDJ1SWNBZWlOQ0pEdVI1MXNoTjJZazNhV2xPZEdXQ01GT2lfT0pqXzR4VmZLWEFXRE94XzdTTnFZU29ORlgwU0JLRWxsT2dlT3NiNA?oc=5"" target=""_blank"">IMD Issues Alert for Heavy Rain, Snowfall in Jammu and Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Impressive Times</font>",Heatwave,en
"Heavy Rain, Thunderstorm Alerts Issued for Multiple Indian States as IMD Warns of Weather Shift - Udaipur Kiran",https://news.google.com/rss/articles/CBMivAFBVV95cUxQaWJMaXZNeU9KdVhrTnY4YzgyTTJYZEZmT3dvUEgtVnJBaDY3NmhFdFFuYW9vdkZVV0dWWmh1Rm5ZZGhtVDItbDFKSk5rWXdDTFVMS2EyRE8zUll0My1NelRhLVQwLWpja3R2M0N1V2o3eV9pT3RnaGRGb3E4eVZUX3NGNzA5X25lNl9DQW53QnFjUTB0MEdqZDVlLTNnVDZtNVRvWHdBYjJWc0xVVWhKN3JpYWUwSnQ4YXRwYg?oc=5,2025-03-27 11:55:25,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQaWJMaXZNeU9KdVhrTnY4YzgyTTJYZEZmT3dvUEgtVnJBaDY3NmhFdFFuYW9vdkZVV0dWWmh1Rm5ZZGhtVDItbDFKSk5rWXdDTFVMS2EyRE8zUll0My1NelRhLVQwLWpja3R2M0N1V2o3eV9pT3RnaGRGb3E4eVZUX3NGNzA5X25lNl9DQW53QnFjUTB0MEdqZDVlLTNnVDZtNVRvWHdBYjJWc0xVVWhKN3JpYWUwSnQ4YXRwYg?oc=5"" target=""_blank"">Heavy Rain, Thunderstorm Alerts Issued for Multiple Indian States as IMD Warns of Weather Shift</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
Odisha heatwave 2025 - Udaipur Kiran,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5QMl9XOExzWFFuNnFuUm9qanlsdHZTcUcxdG9CYmVuQlJmY0w0c3hSSk92WVN4aUpBcVMtS0xFdnpLc0pQV2U4SUFXSW1XMkp4a095eHdxYW05aC1ZcXdZ?oc=5,2025-03-27 11:55:25,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE5QMl9XOExzWFFuNnFuUm9qanlsdHZTcUcxdG9CYmVuQlJmY0w0c3hSSk92WVN4aUpBcVMtS0xFdnpLc0pQV2U4SUFXSW1XMkp4a095eHdxYW05aC1ZcXdZ?oc=5"" target=""_blank"">Odisha heatwave 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
