Title,Link,Date,Source,Summary,Place
Update on the monsoon: 14 states expect heavy rain until September 30 - Times Bull,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQck52bDlaMml2SzBKSkZaUExLQ2JIT2tOSkxqdmVpcnliYTFPVDJsLUpjbUpvQ2NnR3ZHU05aN0FNc21La1E1WWhyRFcyTjJpaVlQNTlGVVNHdVpTTXM2OXk2T2JELUhJZl9YaXBORUtzdldvZVB0NWYtNExTSzlaMzBCN0tZNmtOZ1pkZHJaeERQUVdqNXh2WFhsV3dtdVBFdTVYWWYyZUozQ3N3cWxVc1FYWGFzcmIy?oc=5,2024-09-25 09:41:47,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQck52bDlaMml2SzBKSkZaUExLQ2JIT2tOSkxqdmVpcnliYTFPVDJsLUpjbUpvQ2NnR3ZHU05aN0FNc21La1E1WWhyRFcyTjJpaVlQNTlGVVNHdVpTTXM2OXk2T2JELUhJZl9YaXBORUtzdldvZVB0NWYtNExTSzlaMzBCN0tZNmtOZ1pkZHJaeERQUVdqNXh2WFhsV3dtdVBFdTVYWWYyZUozQ3N3cWxVc1FYWGFzcmIy?oc=5"" target=""_blank"">Update on the monsoon: 14 states expect heavy rain until September 30</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Monsoon Begins Withdrawal With Excess Rainfall, IMD Warns Of Heavy Downpours In Coming Week - Outlook India",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPSGV1eVEzQWVrd2RJXzdlOTR2TWpKSFZJc3FNcUFETDh0eEVyTHBKSnp2dGVzVWk3VU5KTjdhSTIzbUYycy03dDZKUktTa1NsUHlLZnJJZDEwdXlpQUNwY3Nzc1I2YW1aM1dDUXQ2SHEySnQ5bDhEYm9jUEZNaEh1a2VTaUJ6cmphX3NReU13MHlIa2ZUTkJ3Uk9hcUtVajQtbzh4UXRFNEtUeFFPcG42SERIVkg3UUZuN1UyTUxCbl9UUFpreXRXU3BlZ3BvUWlUNUZrS9IB4gFBVV95cUxQeC1BNVdqZFJWQ2l2NjNuY3lTMnRpMW5uTzRDbG5LamUwcDBLblUxZi14U0hxSmRxWmZfZERjRm94TjQ0SnF3Ri1Fd0l5cTRJTXBNV0RrcDNWa0tlT0YwdUZ6U0FFemt2ZTBPZG5wRGVCNm5Kd3NCQV92TmhHYXQtLTd1MUMydnB6N3YxSGFEV25nMG02by1zdWF4ZzZEdFhMcTVxUzBsNTZXem5ZYVpjdC1kY09xc3EwUjk5YnhheHZ2OVRmdXhReUdGSHlmbFBWQUZBaW5xX29SbEs1Qm1sWGFR?oc=5,2024-09-24 18:17:30,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPSGV1eVEzQWVrd2RJXzdlOTR2TWpKSFZJc3FNcUFETDh0eEVyTHBKSnp2dGVzVWk3VU5KTjdhSTIzbUYycy03dDZKUktTa1NsUHlLZnJJZDEwdXlpQUNwY3Nzc1I2YW1aM1dDUXQ2SHEySnQ5bDhEYm9jUEZNaEh1a2VTaUJ6cmphX3NReU13MHlIa2ZUTkJ3Uk9hcUtVajQtbzh4UXRFNEtUeFFPcG42SERIVkg3UUZuN1UyTUxCbl9UUFpreXRXU3BlZ3BvUWlUNUZrS9IB4gFBVV95cUxQeC1BNVdqZFJWQ2l2NjNuY3lTMnRpMW5uTzRDbG5LamUwcDBLblUxZi14U0hxSmRxWmZfZERjRm94TjQ0SnF3Ri1Fd0l5cTRJTXBNV0RrcDNWa0tlT0YwdUZ6U0FFemt2ZTBPZG5wRGVCNm5Kd3NCQV92TmhHYXQtLTd1MUMydnB6N3YxSGFEV25nMG02by1zdWF4ZzZEdFhMcTVxUzBsNTZXem5ZYVpjdC1kY09xc3EwUjk5YnhheHZ2OVRmdXhReUdGSHlmbFBWQUZBaW5xX29SbEs1Qm1sWGFR?oc=5"" target=""_blank"">Monsoon Begins Withdrawal With Excess Rainfall, IMD Warns Of Heavy Downpours In Coming Week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",
Northeastern States Witnessing Unusual Rise in Temperatures - Arunachal24,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOQTJQMk9nN0QwYmFidDUxbnJRdDNqdmY4dDFJdTRGS1lZWl9OYVctM25wZV9TdEg0Y2xsQ1RORlVFVXdfZGRIcHQ4Y3pMc0lOUmxqVU03VzJUVXpqdk9UeTRUamtpUFdEQWhnYzUzRGx4OW5Pa293SW1vWmV6ZE5xWVJSanJmMkJvLW1N?oc=5,2024-09-25 07:19:54,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxOQTJQMk9nN0QwYmFidDUxbnJRdDNqdmY4dDFJdTRGS1lZWl9OYVctM25wZV9TdEg0Y2xsQ1RORlVFVXdfZGRIcHQ4Y3pMc0lOUmxqVU03VzJUVXpqdk9UeTRUamtpUFdEQWhnYzUzRGx4OW5Pa293SW1vWmV6ZE5xWVJSanJmMkJvLW1N?oc=5"" target=""_blank"">Northeastern States Witnessing Unusual Rise in Temperatures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
"Weather update: Monsoon starts withdrawal, IMD predicts widespread rains in these regions this week - DNA India",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOd0l5UXNPelJHSTlWaWlGcDVvdXVBelFwTnQxNFAtYmlYNEhOY01ZYTBZWUFpTmcxNF94U3BRWWJRLUZkTHMyd1FrblB5RUpiTHljX1cyNnNHWl9TbU9CRUhyOWRod3RvMWRwYXdTR0NFZ013SE5Gdy1XeU9wR194SEg3ZmRrQkx5MmZlQWFZZjJfTl84amtpWTdidkJvY1Nib2p1aEdvVlVBVmRGUlBWT3EzTDNFNTRoaVNCdDVldnhrTC1tQTBGUHNwY01ENV9KVE9USjh1UWhUNmvSAeABQVVfeXFMTUFVYkFzaHhsV2loa1pWNHFVMzJmS2Z4TlZfRFZlUmFSV3FYU0RPZElCNTNJbTFSUXJBNHRmQndaeDlCeUxFX0oyQXFCUXcwdklKTkNjZWtldU94Z2xUeVZwcVpyZ1Q3ZG9vNmgzOXJVZ2FNWW9meE5DQ0FfR09nS1V5YUFqUEw3OEN5ZlptSktLYUlKb204VFAwUjJKQzJZVF9tY01SSXNCNFFrZ0EySXFFX0ZlVXVZazQ1aE9sMGEtNXQ0dndoLTV1ejJzdUo4QThsODVZdmxKenlUT1hFRzU?oc=5,2024-09-24 13:21:00,DNA India,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOd0l5UXNPelJHSTlWaWlGcDVvdXVBelFwTnQxNFAtYmlYNEhOY01ZYTBZWUFpTmcxNF94U3BRWWJRLUZkTHMyd1FrblB5RUpiTHljX1cyNnNHWl9TbU9CRUhyOWRod3RvMWRwYXdTR0NFZ013SE5Gdy1XeU9wR194SEg3ZmRrQkx5MmZlQWFZZjJfTl84amtpWTdidkJvY1Nib2p1aEdvVlVBVmRGUlBWT3EzTDNFNTRoaVNCdDVldnhrTC1tQTBGUHNwY01ENV9KVE9USjh1UWhUNmvSAeABQVVfeXFMTUFVYkFzaHhsV2loa1pWNHFVMzJmS2Z4TlZfRFZlUmFSV3FYU0RPZElCNTNJbTFSUXJBNHRmQndaeDlCeUxFX0oyQXFCUXcwdklKTkNjZWtldU94Z2xUeVZwcVpyZ1Q3ZG9vNmgzOXJVZ2FNWW9meE5DQ0FfR09nS1V5YUFqUEw3OEN5ZlptSktLYUlKb204VFAwUjJKQzJZVF9tY01SSXNCNFFrZ0EySXFFX0ZlVXVZazQ1aE9sMGEtNXQ0dndoLTV1ejJzdUo4QThsODVZdmxKenlUT1hFRzU?oc=5"" target=""_blank"">Weather update: Monsoon starts withdrawal, IMD predicts widespread rains in these regions this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font>",
Delayed Monsoon Retreat Begins; 'Severe' Winter Likely | Decoding Weather Pattern Shifts - Outlook India,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNaGRzUG5HeGs0dG8wNldDT1JiQm9sWVExZFhzOHFqVUVaWkdGcllZYVdCbGlVTEpzS01tMDQ3QUZHaVpDRFhLbThzck5xT0VoUkxLc000NnZsczYxbWEwVzMzNV9vSGdDLTl0SE5HaURZSXFtcDVWdlFTbnRDeEEyNG11QmV4WVl2bm9QdFlyR2dIUkZ4alM1emxwQkVvZmFGZUlsRWgxZVc5dUFlaTNUdHIyb1hManBGdkdqU3RQd3U0RUZveTJQcNIB1gFBVV95cUxQQno5ZVN3azd0a2luZW5XdzJFQWdtWnFkQTd0azR0NEduRV9Sa2dxMWdnZ0dSWmZuT1AxcWpRV0gybDdkSWx5Q3VLSXI1LXMxSzRFUjFjNkEtaFhLNXZ1enBJenZHRFN2THFrMEdJZWplRU1sQnZEYXNWQ002ZlRWanBBcVJ6WFNtelR0eDhrTkF5Y0RhT0p2UWZmNVRRVVVmMTFmdVRIQmZMUGRic2hONGhKaE41WWlkeXRISXBxUnp6RXFlaThhR245WHMxRTl3dzVyVjJR?oc=5,2024-09-24 13:10:17,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNaGRzUG5HeGs0dG8wNldDT1JiQm9sWVExZFhzOHFqVUVaWkdGcllZYVdCbGlVTEpzS01tMDQ3QUZHaVpDRFhLbThzck5xT0VoUkxLc000NnZsczYxbWEwVzMzNV9vSGdDLTl0SE5HaURZSXFtcDVWdlFTbnRDeEEyNG11QmV4WVl2bm9QdFlyR2dIUkZ4alM1emxwQkVvZmFGZUlsRWgxZVc5dUFlaTNUdHIyb1hManBGdkdqU3RQd3U0RUZveTJQcNIB1gFBVV95cUxQQno5ZVN3azd0a2luZW5XdzJFQWdtWnFkQTd0azR0NEduRV9Sa2dxMWdnZ0dSWmZuT1AxcWpRV0gybDdkSWx5Q3VLSXI1LXMxSzRFUjFjNkEtaFhLNXZ1enBJenZHRFN2THFrMEdJZWplRU1sQnZEYXNWQ002ZlRWanBBcVJ6WFNtelR0eDhrTkF5Y0RhT0p2UWZmNVRRVVVmMTFmdVRIQmZMUGRic2hONGhKaE41WWlkeXRISXBxUnp6RXFlaThhR245WHMxRTl3dzVyVjJR?oc=5"" target=""_blank"">Delayed Monsoon Retreat Begins; 'Severe' Winter Likely | Decoding Weather Pattern Shifts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",
Scorching September: Gangtok Records Hottest Day Since 1969; NE Heat Records Skyrocket - The Sentinel Assam,https://news.google.com/rss/articles/CBMi4gFBVV95cUxObUs4VWUzUnZCUklLRHBSY3B5NDM4YWRrcnhFNDh6UWtaTjFWTm5sQy1ZRUk0WmNVMnBFb1RnWk50bEp1ZXdIeFViOFZwZHN3VENLM1F6NThOeGZOR19ySnRET0JGeU1TbUFQT3BEel84Y1pvVUtmS3BCYXlDcUNjc2xjN0tmeDQ3UDIzM2VDQ3lOUmJEdzNjTVRaZHB4Z29mTWoyaUcyUnF1eUx2VUFTbkVTYWN5RFZRaEpEZTU1TjhHUlpOSk10akhXbFVLMkVOOXpRZUhuWVlmckx3OHFrVkVn0gHvAUFVX3lxTE5xR0xuSDBEN1pJM19rRGtHbTJpcjNHVl9vX1NpMXNjMFB1THFsQlB2anlwb0dlVVFIS3M3dkZMZ0dmQzE4ZDNLcERLclYzWVpzRlF1Nk92RVRMeXh3RDdBV25TUjI4Z1piN1VJMTRTVEE0d1hnMzhfM2FqSlIxazhRel85MDBIR1NUc292dEpqTnNnZ2Q4MHRjMV9neTIyX0MyVkpzT3gxS0g0RVE0Vklkaml2MjJJa2NBMkN2WlJIUEllRHNnUTJVQVpZd3B4YWlPWW5qd2pYeHRZVFp4WEN3cmR4WlZXU1lEa2RUNkVB?oc=5,2024-09-25 09:06:18,The Sentinel Assam,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxObUs4VWUzUnZCUklLRHBSY3B5NDM4YWRrcnhFNDh6UWtaTjFWTm5sQy1ZRUk0WmNVMnBFb1RnWk50bEp1ZXdIeFViOFZwZHN3VENLM1F6NThOeGZOR19ySnRET0JGeU1TbUFQT3BEel84Y1pvVUtmS3BCYXlDcUNjc2xjN0tmeDQ3UDIzM2VDQ3lOUmJEdzNjTVRaZHB4Z29mTWoyaUcyUnF1eUx2VUFTbkVTYWN5RFZRaEpEZTU1TjhHUlpOSk10akhXbFVLMkVOOXpRZUhuWVlmckx3OHFrVkVn0gHvAUFVX3lxTE5xR0xuSDBEN1pJM19rRGtHbTJpcjNHVl9vX1NpMXNjMFB1THFsQlB2anlwb0dlVVFIS3M3dkZMZ0dmQzE4ZDNLcERLclYzWVpzRlF1Nk92RVRMeXh3RDdBV25TUjI4Z1piN1VJMTRTVEE0d1hnMzhfM2FqSlIxazhRel85MDBIR1NUc292dEpqTnNnZ2Q4MHRjMV9neTIyX0MyVkpzT3gxS0g0RVE0Vklkaml2MjJJa2NBMkN2WlJIUEllRHNnUTJVQVpZd3B4YWlPWW5qd2pYeHRZVFp4WEN3cmR4WlZXU1lEa2RUNkVB?oc=5"" target=""_blank"">Scorching September: Gangtok Records Hottest Day Since 1969; NE Heat Records Skyrocket</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel Assam</font>",
Weather Forecast- Very heavy rain in 15 states over the next 3 days - Times Bull,https://news.google.com/rss/articles/CBMitgFBVV95cUxORHlFUS15SEdkekpTU1B1bURLVVlfQmNPaTJveWZCSWswUmJtNzFiZU1XRGg0QlhxbVR3bTByZWZqRlRDclhsUnVSUV9Ib3gyYzN2eWMwMkZDQnE5NzNIMnY1OHo3blVtb19JTVlZLUliRmRWQmJNS2plbS1CZlJzaWotWVk4RS02eFZ6VlZRaUJKM2FTdkY5RHJqZzVsVUxZdDJfUmFkQUtwdmgwc21uZmo0eFFVQQ?oc=5,2024-09-24 18:35:29,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxORHlFUS15SEdkekpTU1B1bURLVVlfQmNPaTJveWZCSWswUmJtNzFiZU1XRGg0QlhxbVR3bTByZWZqRlRDclhsUnVSUV9Ib3gyYzN2eWMwMkZDQnE5NzNIMnY1OHo3blVtb19JTVlZLUliRmRWQmJNS2plbS1CZlJzaWotWVk4RS02eFZ6VlZRaUJKM2FTdkY5RHJqZzVsVUxZdDJfUmFkQUtwdmgwc21uZmo0eFFVQQ?oc=5"" target=""_blank"">Weather Forecast- Very heavy rain in 15 states over the next 3 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
Update on the monsoon: 14 states expect heavy rain until September 30 - indias.news,https://news.google.com/rss/articles/CBMikwFBVV95cUxQNERaQVo1aHFpcUVSN1lTcG5wTEthWjk2ODFuemlXT00wZm9YWlJWczVrQkdoblRoaS0yRlNTczNEOGxaUjJaRGdDVFVyZWlNT1dwel9yOWxNcmN6WlpkMmVSUVRnZDNVS014SU1nNldNRk55VUNXalJkLVpuS29jQzZRSWVZNlF3ZmlmdkhxYVU0R0k?oc=5,2024-09-25 09:52:23,indias.news,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQNERaQVo1aHFpcUVSN1lTcG5wTEthWjk2ODFuemlXT00wZm9YWlJWczVrQkdoblRoaS0yRlNTczNEOGxaUjJaRGdDVFVyZWlNT1dwel9yOWxNcmN6WlpkMmVSUVRnZDNVS014SU1nNldNRk55VUNXalJkLVpuS29jQzZRSWVZNlF3ZmlmdkhxYVU0R0k?oc=5"" target=""_blank"">Update on the monsoon: 14 states expect heavy rain until September 30</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
“Monsoon Season Wraps Up: Deficient Rainfall in Five Subdivisions” - Gulistan News| Home,https://news.google.com/rss/articles/CBMilgFBVV95cUxNdzRSYy1iU1hVM2Qya21PbEo3SE4wMWhQa05xc29Ob1dSQ2l2TWhZMy1rQTdyN3lxV0JXWTdDTDBFX2hWVGxNajBXQVFqb3lHTzZhWm1LY1VzWVpPckxRMHZoSF9sTHZxbTd6MDY1dnVtWlJJcU5hSjBsck9NenhCUVRpckdnbVpwTldqdVltaFFDZHF0YUE?oc=5,2024-09-25 00:45:10,Gulistan News| Home,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNdzRSYy1iU1hVM2Qya21PbEo3SE4wMWhQa05xc29Ob1dSQ2l2TWhZMy1rQTdyN3lxV0JXWTdDTDBFX2hWVGxNajBXQVFqb3lHTzZhWm1LY1VzWVpPckxRMHZoSF9sTHZxbTd6MDY1dnVtWlJJcU5hSjBsck9NenhCUVRpckdnbVpwTldqdVltaFFDZHF0YUE?oc=5"" target=""_blank"">“Monsoon Season Wraps Up: Deficient Rainfall in Five Subdivisions”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulistan News| Home</font>",
Weather Forecast- Very heavy rain in 15 states over the next 3 days - indias.news,https://news.google.com/rss/articles/CBMikAFBVV95cUxOTXpjLTZZalM2R2lHaWV0clJTU0NzUUlvR1Z6X3lwRzVaMXg3Rm92eF9aUzJpYjNjYkJFWUhjSEJMS0swNkhIN3ZDTmZZM0Y3UjBxY01DOFdzUUZjOEpPTm5wZ3ByT2VFZktzdmljQVhlYlFkMFlHV3ZyUTN3Uy1HdzBZUU56U2FQUEJmcXY4czc?oc=5,2024-09-24 21:23:47,indias.news,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxOTXpjLTZZalM2R2lHaWV0clJTU0NzUUlvR1Z6X3lwRzVaMXg3Rm92eF9aUzJpYjNjYkJFWUhjSEJMS0swNkhIN3ZDTmZZM0Y3UjBxY01DOFdzUUZjOEpPTm5wZ3ByT2VFZktzdmljQVhlYlFkMFlHV3ZyUTN3Uy1HdzBZUU56U2FQUEJmcXY4czc?oc=5"" target=""_blank"">Weather Forecast- Very heavy rain in 15 states over the next 3 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
