Title,Link,Date,Source,Summary,Place
"Heavy Rainfall Alerts: IMD Issues ‘Orange’ Alert For Delhi, ‘Red’ Alert For Gujarat - NewsX",https://news.google.com/rss/articles/CBMirwFBVV95cUxPVWZIa0kxVHdhai0xR3A1MUdqZ09MNGNIazJMN0lXenRLd3Y1eDFuTi1oWWUzQldkSVhrNjY2Szdkd0JDRlN2bmVIV2wxOUtGZDZNTWJwcGlSUzlXNFdveGVKeUZadGRhUjNzQV9kTEs5VnNDR1VBSEdsVnFNNHZZb3NTOG9Ja2dOTDlFdFJfWFdvdldydVN5QjNWSFV1bktTenhhOFluV2VMLVVnaWpn?oc=5,2024-10-24 21:25:23,NewsX,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPVWZIa0kxVHdhai0xR3A1MUdqZ09MNGNIazJMN0lXenRLd3Y1eDFuTi1oWWUzQldkSVhrNjY2Szdkd0JDRlN2bmVIV2wxOUtGZDZNTWJwcGlSUzlXNFdveGVKeUZadGRhUjNzQV9kTEs5VnNDR1VBSEdsVnFNNHZZb3NTOG9Ja2dOTDlFdFJfWFdvdldydVN5QjNWSFV1bktTenhhOFluV2VMLVVnaWpn?oc=5"" target=""_blank"">Heavy Rainfall Alerts: IMD Issues ‘Orange’ Alert For Delhi, ‘Red’ Alert For Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsX</font>",
Cyclone DANA: Northeast regions likely to experience widespread rainfall - Arunachal24,https://news.google.com/rss/articles/CBMimwFBVV95cUxONzN1TGg3MzBXVEk4eGh3TkZNNzBxRWxQUzg4RTZ6emwxdGdqdXlKTHhLLWxTRHJwR2hXa3pHVnhKQ2ptekdnM1hUaG1fNm5SV1A4WlNrWkx4SmpWQWphOHFwZDNOSkxtQ0wwakUwSUV1M2RiNVBvN2NkN1lxTmtrQlVabk1fTlpldzhTTDJxWDNXd1ZOc1IybGNRZw?oc=5,2024-10-24 17:48:08,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxONzN1TGg3MzBXVEk4eGh3TkZNNzBxRWxQUzg4RTZ6emwxdGdqdXlKTHhLLWxTRHJwR2hXa3pHVnhKQ2ptekdnM1hUaG1fNm5SV1A4WlNrWkx4SmpWQWphOHFwZDNOSkxtQ0wwakUwSUV1M2RiNVBvN2NkN1lxTmtrQlVabk1fTlpldzhTTDJxWDNXd1ZOc1IybGNRZw?oc=5"" target=""_blank"">Cyclone DANA: Northeast regions likely to experience widespread rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal: Daporijo Assembly Constituency is at the top in BJP Sadasyata Abhiyan 2024 - Arunachal24,https://news.google.com/rss/articles/CBMirAFBVV95cUxPei0wSXQ3MFdzR2p1U1hfa1gwdHBucEtORmE2ZkJRUkJmVnNySGp4eFk5NDJMZXZvdmx0aEJSTXpQSnl4NEM0eFZ6ejlEZ2QxWUdQbm5ERklRdVpZNFB6TE9xT0NlQ2hWcTRadDBiYVF0TVFCOXlxV3pVMTVzVmF3X093eFNuNmxXRjFCRHlrT3Jqd1JOYkpkQVJoTXZtb2V2bEFaQTZxVFBPYTkt?oc=5,2024-10-25 00:06:59,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPei0wSXQ3MFdzR2p1U1hfa1gwdHBucEtORmE2ZkJRUkJmVnNySGp4eFk5NDJMZXZvdmx0aEJSTXpQSnl4NEM0eFZ6ejlEZ2QxWUdQbm5ERklRdVpZNFB6TE9xT0NlQ2hWcTRadDBiYVF0TVFCOXlxV3pVMTVzVmF3X093eFNuNmxXRjFCRHlrT3Jqd1JOYkpkQVJoTXZtb2V2bEFaQTZxVFBPYTkt?oc=5"" target=""_blank"">Arunachal: Daporijo Assembly Constituency is at the top in BJP Sadasyata Abhiyan 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal: 7th state level Hangpan Dada memorial tournament begins in Namsai - Arunachal24,https://news.google.com/rss/articles/CBMioAFBVV95cUxOc0VTclBDaWVuc3cwdmV2dmF0RjhlVGlYQzhpRllDQU5QVWVIWWx6cW5qNzhGWm1Mc29Kc1lwbkt3RGtDRFNLeWVfY1ViTTBiS0ZTNi1KRFhJNFVZSTBNMi1Kc2h5bDZfRGZuOGo4UDZkRVB3N2dJekQzMWtOUDZGVGQ2NVZBM0JnT1FTeEwwVHJ0WVFwVFh6MlRWN09Ibmdo?oc=5,2024-10-24 21:32:31,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOc0VTclBDaWVuc3cwdmV2dmF0RjhlVGlYQzhpRllDQU5QVWVIWWx6cW5qNzhGWm1Mc29Kc1lwbkt3RGtDRFNLeWVfY1ViTTBiS0ZTNi1KRFhJNFVZSTBNMi1Kc2h5bDZfRGZuOGo4UDZkRVB3N2dJekQzMWtOUDZGVGQ2NVZBM0JnT1FTeEwwVHJ0WVFwVFh6MlRWN09Ibmdo?oc=5"" target=""_blank"">Arunachal: 7th state level Hangpan Dada memorial tournament begins in Namsai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
"Arunachal: Tawang Marathon 2024, here is the list of Winners - Arunachal24",https://news.google.com/rss/articles/CBMiigFBVV95cUxOU1pxRzBUQmdwYWFPQWZodzFXNWJnTW9pb3FrRHI4clhzdmNUb1Q5elRaUXlUVzR1V1NTMWdDdGoxcm9FMWJmWnZVR2h1WDZpUms1VTdaOXp5OGN5V0RWaFhPTzV0Q1ozTk1UZ3IzRnJEMjJkZ2RDaF93STA4X1ZFcG5VZlU3TlJVNUE?oc=5,2024-10-24 19:30:51,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOU1pxRzBUQmdwYWFPQWZodzFXNWJnTW9pb3FrRHI4clhzdmNUb1Q5elRaUXlUVzR1V1NTMWdDdGoxcm9FMWJmWnZVR2h1WDZpUms1VTdaOXp5OGN5V0RWaFhPTzV0Q1ozTk1UZ3IzRnJEMjJkZ2RDaF93STA4X1ZFcG5VZlU3TlJVNUE?oc=5"" target=""_blank"">Arunachal: Tawang Marathon 2024, here is the list of Winners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal: French Ambassador calls on the Governor - Arunachal24,https://news.google.com/rss/articles/CBMifkFVX3lxTE1qY3lZRkpkX29BV3IwVjNmeU5QX2RaYWQxeDQ2MFFZUzFMOUNKdVVfX1ctTUhMcFl3cDJKVEc1SkxJanFxTElmNmRfc2Y4dzJRZWZidEhqLVFCbUxOOTRVSVVjd1ZReGprZ0dTY01JSEpPaE5MTnpZcERyTXVNdw?oc=5,2024-10-24 19:43:22,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE1qY3lZRkpkX29BV3IwVjNmeU5QX2RaYWQxeDQ2MFFZUzFMOUNKdVVfX1ctTUhMcFl3cDJKVEc1SkxJanFxTElmNmRfc2Y4dzJRZWZidEhqLVFCbUxOOTRVSVVjd1ZReGprZ0dTY01JSEpPaE5MTnpZcERyTXVNdw?oc=5"" target=""_blank"">Arunachal: French Ambassador calls on the Governor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
"Arunachal: Chowna Mein Inaugurates Annual College Day of Indira Gandhi Govt College, Tezu - Arunachal24",https://news.google.com/rss/articles/CBMisAFBVV95cUxPT0c4RTVTSXR5QW16ZnQxbWFhb2JpbHJVTmZKcEM0M0NwWmlsZDdqZ2R3ZjhFU3RTZkZSaFVSWC02Mk1lRGVxTWFJS2tvOVktUmMtdUFhc1RIM0dJOTlvNGxGdlpmVFp1MmRNcHl1Rml6bUZ1ZXdfMFJ5TlU2VmFjZVotU1p6N3U1LUw2VnVZSzhOWnc3NzZDREhmTE9ZYW1ndUtEckVTX25hQ29iLVVfcQ?oc=5,2024-10-24 19:03:30,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPT0c4RTVTSXR5QW16ZnQxbWFhb2JpbHJVTmZKcEM0M0NwWmlsZDdqZ2R3ZjhFU3RTZkZSaFVSWC02Mk1lRGVxTWFJS2tvOVktUmMtdUFhc1RIM0dJOTlvNGxGdlpmVFp1MmRNcHl1Rml6bUZ1ZXdfMFJ5TlU2VmFjZVotU1p6N3U1LUw2VnVZSzhOWnc3NzZDREhmTE9ZYW1ndUtEckVTX25hQ29iLVVfcQ?oc=5"" target=""_blank"">Arunachal: Chowna Mein Inaugurates Annual College Day of Indira Gandhi Govt College, Tezu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal hosts Tawang International Marathon - Arunachal24,https://news.google.com/rss/articles/CBMieEFVX3lxTE00VU9zLWlqU2wtajZMdkZrNG1nM1lJb0pqbXdsMW81TndyVi1xdzhoV3ZPLVliYkUycWFIbTg4MGpOQkUzT0xZaUJXVHpEWjdHTlhuTUdXQWxNZHVyMXJXbDYzbHJ3QjlZeWlWNVp3aVhIQ3pMQWVEMg?oc=5,2024-10-24 18:18:15,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE00VU9zLWlqU2wtajZMdkZrNG1nM1lJb0pqbXdsMW81TndyVi1xdzhoV3ZPLVliYkUycWFIbTg4MGpOQkUzT0xZaUJXVHpEWjdHTlhuTUdXQWxNZHVyMXJXbDYzbHJ3QjlZeWlWNVp3aVhIQ3pMQWVEMg?oc=5"" target=""_blank"">Arunachal hosts Tawang International Marathon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal: Governor flags off Naval Motorcycle Expedition Team - Arunachal24,https://news.google.com/rss/articles/CBMijgFBVV95cUxNNHlOMk16ZDRRRC1XV2xjYWZkZlotSUpTMnVjSzlMMXNmLWpxeWNYdHdRcm1idi1rQ2VMb29BUXR4dkxoblBuWEVTREQ5UzV3YVNkMVYyM3I3QnhrNmxnMW1tV1ZUVUhpUWNaRGFHZTZOVk1OQnBCbERfY2NaTWVnN0NSbEhWSFRBczVGUldB?oc=5,2024-10-24 17:13:20,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNNHlOMk16ZDRRRC1XV2xjYWZkZlotSUpTMnVjSzlMMXNmLWpxeWNYdHdRcm1idi1rQ2VMb29BUXR4dkxoblBuWEVTREQ5UzV3YVNkMVYyM3I3QnhrNmxnMW1tV1ZUVUhpUWNaRGFHZTZOVk1OQnBCbERfY2NaTWVnN0NSbEhWSFRBczVGUldB?oc=5"" target=""_blank"">Arunachal: Governor flags off Naval Motorcycle Expedition Team</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
Arunachal: Governor graces 63rd Raising Day of ITBP - Arunachal24,https://news.google.com/rss/articles/CBMif0FVX3lxTE1QSUJZaHc5THRLT3RWYTA0U2ZyN2FPczNuUVZRdmZWUjl0YzlSVkpUSWpBZVNVNzJTYUVLWm5kX2dqVGx2QkdaQ3dQNTJkb1dnV29CZ0pjTEpaWHBWTWRvRkNEUlZyRkJsdWp5MmhFVlZlX2xrZG1kT2VwS0tOODg?oc=5,2024-10-24 16:00:03,Arunachal24,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1QSUJZaHc5THRLT3RWYTA0U2ZyN2FPczNuUVZRdmZWUjl0YzlSVkpUSWpBZVNVNzJTYUVLWm5kX2dqVGx2QkdaQ3dQNTJkb1dnV29CZ0pjTEpaWHBWTWRvRkNEUlZyRkJsdWp5MmhFVlZlX2xrZG1kT2VwS0tOODg?oc=5"" target=""_blank"">Arunachal: Governor graces 63rd Raising Day of ITBP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arunachal24</font>",
