Title,Link,Date,Source,Summary,Term,LanguageQueried
"मौसम अपडेट: गर्म हवा की लपटों से जनजीवन रहेगा प्रभावित, रात में भी लू चलने का अलर्ट - Patrika News",https://news.google.com/rss/articles/CBMiygFBVV95cUxNZEl1clVvMEhsajBPYktVZlQ0MWdNQzlMNzFxVm83V3NVZThBRDNkMk9oN1dnc2dHeTdHRkZROGVIVlFVUlNJSGMyZWMtX1lQZVJ5bmtNbU9MLUtxWHhlQmhYSUNPamNhVjhxalpreE9qeC1HVmhLdHZqVHhiOV9CbG9vSDFxVlVtTnVRYUtRanVFeGJHaF9mQkUzaUIzdVVsMFYwYlNPN3lCcWQ0YUthUC14TkZfTUZVd3BIWUZSbWR6d2NTV2tnc1Fn0gHKAUFVX3lxTE1kSXVyVW8wSGxqME9iS1VmVDQxZ01DOUw3MXFWbzdXc1VlOEFEM2QyT2g3V2dzZ0d5N0dGRlE4ZUhWUVVSU0lIYzJlYy1fWVBlUnlua01tT0wtS3FYeGVCaFhJQ09qY2FWOHFqWmt4T2p4LUdWaEt0dmpUeGI5X0Jsb29IMXFWVW1OdVFhS1FqdUV4YkdoX2ZCRTNpQjN1VWwwVjBiU083eUJxZDRhS2FQLXhORl9NRlV3cEhZRlJtZHp3Y1NXa2dzUWc?oc=5,2025-04-21 22:07:50,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNZEl1clVvMEhsajBPYktVZlQ0MWdNQzlMNzFxVm83V3NVZThBRDNkMk9oN1dnc2dHeTdHRkZROGVIVlFVUlNJSGMyZWMtX1lQZVJ5bmtNbU9MLUtxWHhlQmhYSUNPamNhVjhxalpreE9qeC1HVmhLdHZqVHhiOV9CbG9vSDFxVlVtTnVRYUtRanVFeGJHaF9mQkUzaUIzdVVsMFYwYlNPN3lCcWQ0YUthUC14TkZfTUZVd3BIWUZSbWR6d2NTV2tnc1Fn0gHKAUFVX3lxTE1kSXVyVW8wSGxqME9iS1VmVDQxZ01DOUw3MXFWbzdXc1VlOEFEM2QyT2g3V2dzZ0d5N0dGRlE4ZUhWUVVSU0lIYzJlYy1fWVBlUnlua01tT0wtS3FYeGVCaFhJQ09qY2FWOHFqWmt4T2p4LUdWaEt0dmpUeGI5X0Jsb29IMXFWVW1OdVFhS1FqdUV4YkdoX2ZCRTNpQjN1VWwwVjBiU083eUJxZDRhS2FQLXhORl9NRlV3cEhZRlJtZHp3Y1NXa2dzUWc?oc=5"" target=""_blank"">मौसम अपडेट: गर्म हवा की लपटों से जनजीवन रहेगा प्रभावित, रात में भी लू चलने का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Heatwave,as
"महाराष्ट्र के मराठवाड़ा-विदर्भ में गर्मी का कहर, नागपुर के लिए अगले 48 घंटे भारी, IMD ने दिया हीट वेव का अलर्ट - Navbharat Times",https://news.google.com/rss/articles/CBMitAJBVV95cUxQMU5LRkloV3lxMnRBbHp5aVQzZFEzb21nSkFNU25mOUNfZ0c2ZTNKQkFEUzZYYWk0c2pTeTRnSk9RZS1uMFFUSFd6UkpLVVNHLU5lRjVGR0xBMEV3VEJvYS15NGRFUHlIYlBIWHA0T3VPOHBEa08xYzUxYnJ5SF9Ec2ZoXzVKclRraGZmRl9QbGtRTFdINlVVclNKNnJDdGpncHNyck55bjlybnlGYW5FT0p3d0E1bkdYN2xhM2R2RTluOWw5MmlPRmROTGtJNlhRWnpNX01aSTlwOXdLUi1fSWtCVVlxQ1cxOGRwclN1S2V5RElEOXRiT0ZoR0h6R214YnRBdS00ZHhraURsRFBnNHFUY3VneTNvWWZwOEZDN1pKTWxhMi1rb1U0ZXBlVENIUmQ4atIBugJBVV95cUxQWF9TTm9wZTVRSjN2eUIwNFRZUlUxWElsbjFNS3U4ekVuWmZOUGd2d1E5QWdnT0x1dVgzOC1kVlA4X2t3bC1zYlNNNGxsSi1aUlVjMjA4OHNjemNpY19fTFNMQ1pVR1JMZnd1ZVhsOFhNREp6dnF1VHVGeVVFVm1oWWlMZ3haNEVyOWtta1VyanBvY3FCWkV0bUNsYTVQZ0dScUlOUW5hLUp2bk1LcVJBUEl4WC1WUU5rUXZJeGEzUFA0N1YweW53LUw0d0x2SWZPbG4tNGdrMDVfcGFHTTlLS3VjQUpBVnlybndwazBYcF9KVXJ2eElFc2lVMmNSYmtIN3pXUm85dWZGeDNRRjRtQ19hTWRxanRwakRTVkFNZHlmenozNVB6ellOSW9ZSlQ3aEpHWUdfcFZBQQ?oc=5,2025-04-21 10:42:25,Navbharat Times,"<a href=""https://news.google.com/rss/articles/CBMitAJBVV95cUxQMU5LRkloV3lxMnRBbHp5aVQzZFEzb21nSkFNU25mOUNfZ0c2ZTNKQkFEUzZYYWk0c2pTeTRnSk9RZS1uMFFUSFd6UkpLVVNHLU5lRjVGR0xBMEV3VEJvYS15NGRFUHlIYlBIWHA0T3VPOHBEa08xYzUxYnJ5SF9Ec2ZoXzVKclRraGZmRl9QbGtRTFdINlVVclNKNnJDdGpncHNyck55bjlybnlGYW5FT0p3d0E1bkdYN2xhM2R2RTluOWw5MmlPRmROTGtJNlhRWnpNX01aSTlwOXdLUi1fSWtCVVlxQ1cxOGRwclN1S2V5RElEOXRiT0ZoR0h6R214YnRBdS00ZHhraURsRFBnNHFUY3VneTNvWWZwOEZDN1pKTWxhMi1rb1U0ZXBlVENIUmQ4atIBugJBVV95cUxQWF9TTm9wZTVRSjN2eUIwNFRZUlUxWElsbjFNS3U4ekVuWmZOUGd2d1E5QWdnT0x1dVgzOC1kVlA4X2t3bC1zYlNNNGxsSi1aUlVjMjA4OHNjemNpY19fTFNMQ1pVR1JMZnd1ZVhsOFhNREp6dnF1VHVGeVVFVm1oWWlMZ3haNEVyOWtta1VyanBvY3FCWkV0bUNsYTVQZ0dScUlOUW5hLUp2bk1LcVJBUEl4WC1WUU5rUXZJeGEzUFA0N1YweW53LUw0d0x2SWZPbG4tNGdrMDVfcGFHTTlLS3VjQUpBVnlybndwazBYcF9KVXJ2eElFc2lVMmNSYmtIN3pXUm85dWZGeDNRRjRtQ19hTWRxanRwakRTVkFNZHlmenozNVB6ellOSW9ZSlQ3aEpHWUdfcFZBQQ?oc=5"" target=""_blank"">महाराष्ट्र के मराठवाड़ा-विदर्भ में गर्मी का कहर, नागपुर के लिए अगले 48 घंटे भारी, IMD ने दिया हीट वेव का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Navbharat Times</font>",Heatwave,as
कल का मौसम 22 April 2025 : उत्तर और पश्चिम भारत में हदें पार कर रहा पारा; UP-NCR में हीटवेव का अलर्ट; यहां बार - Times Now Navbharat,https://news.google.com/rss/articles/CBMipgJBVV95cUxPWUJpQVotYUlBa1dtVHVkZjZfOTFKbWdXVG5TTkVUd280NkNTNEZfd1psMGZOVV9Id3VzNW1uWlRPVUUzZUFFSGpJdF90VngzV0pFNy1ibnBIdW4tT1BzRmt2NE5pU0VuX1NQcHR4RnFJNTF0NFZLNnkxLW5oNGNDck1RQmFsSjZBbkJkMUtMUml3SWJiNUhxa19MbF9uSEVkQnVvNlJzbHRQRFFxS0Y2NmRHclR0dzlCckxYajdnSlE3dGZXZ0x3VGRQb0l1eGthLTRleWwyajhEUzh5V2U1MWZwd0JUVkxIeXgtSnB6blNEOS1jcFJOTTVfZ2hMUDhGYXN0bWV3WXQyaDVIMjM4MnBscUhXdE5qRUM4MlN0dnVWeFl0Y3fSAasCQVVfeXFMTkoyd0MtM0U2ZmpPSjRoVkxKZ2lHekUweWltYTVZazhqbUpFdlEyLVhWSnNBNDFJZ1BlZWsxUXlXRHEyQzRrajFjVmJYQlljNFJ1YWQtZkw5bUV6b0p0VDBoc05QUlRVX1owVXNKZldSVTBzYl9GZGlFOUcxSGZhYkdvSGIyX3ZnTFN6NEpFRzJnek14d1kwdGRfcDFsM0NFelJiaVRHRHlCSHlDQmViYy1zS2FQdVV3WjhFOEJNLWFtSGt2b0puY1l1dFVaLWtqUVZpM2UwYVVPWVl6QkhWQUw5WU9IYXVsVC1MVFNQM3BYZFVvZkxYbV9iUVVVaEJhd2phSFM0dTAtamdycThiV1J3N212cVRsUU5zWkN4NFk1enFRZnUzenduNGM?oc=5,2025-04-21 16:22:42,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMipgJBVV95cUxPWUJpQVotYUlBa1dtVHVkZjZfOTFKbWdXVG5TTkVUd280NkNTNEZfd1psMGZOVV9Id3VzNW1uWlRPVUUzZUFFSGpJdF90VngzV0pFNy1ibnBIdW4tT1BzRmt2NE5pU0VuX1NQcHR4RnFJNTF0NFZLNnkxLW5oNGNDck1RQmFsSjZBbkJkMUtMUml3SWJiNUhxa19MbF9uSEVkQnVvNlJzbHRQRFFxS0Y2NmRHclR0dzlCckxYajdnSlE3dGZXZ0x3VGRQb0l1eGthLTRleWwyajhEUzh5V2U1MWZwd0JUVkxIeXgtSnB6blNEOS1jcFJOTTVfZ2hMUDhGYXN0bWV3WXQyaDVIMjM4MnBscUhXdE5qRUM4MlN0dnVWeFl0Y3fSAasCQVVfeXFMTkoyd0MtM0U2ZmpPSjRoVkxKZ2lHekUweWltYTVZazhqbUpFdlEyLVhWSnNBNDFJZ1BlZWsxUXlXRHEyQzRrajFjVmJYQlljNFJ1YWQtZkw5bUV6b0p0VDBoc05QUlRVX1owVXNKZldSVTBzYl9GZGlFOUcxSGZhYkdvSGIyX3ZnTFN6NEpFRzJnek14d1kwdGRfcDFsM0NFelJiaVRHRHlCSHlDQmViYy1zS2FQdVV3WjhFOEJNLWFtSGt2b0puY1l1dFVaLWtqUVZpM2UwYVVPWVl6QkhWQUw5WU9IYXVsVC1MVFNQM3BYZFVvZkxYbV9iUVVVaEJhd2phSFM0dTAtamdycThiV1J3N212cVRsUU5zWkN4NFk1enFRZnUzenduNGM?oc=5"" target=""_blank"">कल का मौसम 22 April 2025 : उत्तर और पश्चिम भारत में हदें पार कर रहा पारा; UP-NCR में हीटवेव का अलर्ट; यहां बार</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Heatwave,as
"Weather update: IMD issues rainfall, heatwave alert in THESE states till April 26; details here - Mint",https://news.google.com/rss/articles/CBMi4gFBVV95cUxOSEs3eFNnczFad2hCdEViTklFTHBaMHI4YkN4QjBFYUxrd25HNVh1RDRCUmcxeWgtNVR6Y0ZLOVVKMTJrcFl5RDdlN2dYUHZLZWk4VmdMcUFycjdIa2ZnRV94QjBxcndkbW1VUVlLcmRlWmExaHE1X3JzTXZ5WHllaW1YSmgzempjUUE5SDMzMVhtc2pORmZ2bm5QSWlIVkxQNEpVdUliaHdvdnFPS2w2dGhYd3h6Y1ItdUpPSXhHWFNNZWU4Z19UdVlWa0VYWDNBNXkyX2stTmRZRGhqQ2N3LTV30gHnAUFVX3lxTFBpWFhRR3RrWE9DTUhsSk4xMF9XdEc2ZUVpZTNGUWV2WFIwZTIyWWRmN0NRNHV5UGoyMlRod2NscW1vckw1VDBiS3JuZEpINFRmZy1VV1U2c1hISVloZlh0cWs3dlJ2U2c5aUhKcnAwRzZWck94MExVOExjMnh5ZmVsQ3VUVmhuTXpkRlJuWVNoRzlDMmdGbXJhaHpaYm9wR0lNY0lEV1lKLVJHX3N1UnRaaXFXWktYdWVHSGoyNUMzcm5FUGlCcG8tVUdZR0owSzFERzBwWFZOZFJ1eTcyQlo4NW5zZlg3QQ?oc=5,2025-04-22 08:43:50,Mint,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOSEs3eFNnczFad2hCdEViTklFTHBaMHI4YkN4QjBFYUxrd25HNVh1RDRCUmcxeWgtNVR6Y0ZLOVVKMTJrcFl5RDdlN2dYUHZLZWk4VmdMcUFycjdIa2ZnRV94QjBxcndkbW1VUVlLcmRlWmExaHE1X3JzTXZ5WHllaW1YSmgzempjUUE5SDMzMVhtc2pORmZ2bm5QSWlIVkxQNEpVdUliaHdvdnFPS2w2dGhYd3h6Y1ItdUpPSXhHWFNNZWU4Z19UdVlWa0VYWDNBNXkyX2stTmRZRGhqQ2N3LTV30gHnAUFVX3lxTFBpWFhRR3RrWE9DTUhsSk4xMF9XdEc2ZUVpZTNGUWV2WFIwZTIyWWRmN0NRNHV5UGoyMlRod2NscW1vckw1VDBiS3JuZEpINFRmZy1VV1U2c1hISVloZlh0cWs3dlJ2U2c5aUhKcnAwRzZWck94MExVOExjMnh5ZmVsQ3VUVmhuTXpkRlJuWVNoRzlDMmdGbXJhaHpaYm9wR0lNY0lEV1lKLVJHX3N1UnRaaXFXWktYdWVHSGoyNUMzcm5FUGlCcG8tVUdZR0owSzFERzBwWFZOZFJ1eTcyQlo4NW5zZlg3QQ?oc=5"" target=""_blank"">Weather update: IMD issues rainfall, heatwave alert in THESE states till April 26; details here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Heatwave,en
"Weather Update: Heavy Rainfall in Northeast, Heatwave Alerts for Rajasthan, MP, UP & More –Check Full Forecast Here - Krishi Jagran",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNaWRLYTBidTN0WHZXV3N6T3UyNE9DM3d1c3RvWUloNUpjaExWcEdoUVkzSi12TVc2ODdRNVl3QU5LVjJOcHgxSzc0bVhWcDJpYVdETmdtTEhuUkR5bWN4LUc3eXVqLTRzVUFxTEd5a2R3VVBFY2c2aFBmb2QzZTJHOVUyOFhjamZ3djhIRFB2cExNdDRRcEtmRE84VndGSG5DQWIya0M0V1oweHA0b3RRbURwbm14Q0g1dHBpQm95UWNkNm9WWmo4OExaQ0FKUXdkNERnTm14TTdBWFhSSnM1dXhieUE?oc=5,2025-04-22 07:39:42,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNaWRLYTBidTN0WHZXV3N6T3UyNE9DM3d1c3RvWUloNUpjaExWcEdoUVkzSi12TVc2ODdRNVl3QU5LVjJOcHgxSzc0bVhWcDJpYVdETmdtTEhuUkR5bWN4LUc3eXVqLTRzVUFxTEd5a2R3VVBFY2c2aFBmb2QzZTJHOVUyOFhjamZ3djhIRFB2cExNdDRRcEtmRE84VndGSG5DQWIya0M0V1oweHA0b3RRbURwbm14Q0g1dHBpQm95UWNkNm9WWmo4OExaQ0FKUXdkNERnTm14TTdBWFhSSnM1dXhieUE?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Northeast, Heatwave Alerts for Rajasthan, MP, UP & More –Check Full Forecast Here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
IMD Issues Heatwave and Rainfall Alerts for Multiple States; Delhi to See Dry Days with Rising Temperatures - Krishi Jagran,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQSzFNVzNURTBzWEpNSW9Tbkhua3ZGTVkydXpEemRKanVWYlZLWkcyWVFWYWVYOVdhTTViTms2TGZ5ZnR3SWx4djZyZ1NCRnc0WFVXaDI3RXVDbjBDbVdDSFpGbF9yTFZRNkQ1VG5UQVV4V3hEdXItRHNsejZwN3FNTHdKQjhqTHVkaW8zMHZ0aFlsN1l3V0pmMllza2xsRVctSjZOeDhEZmlldEVoYmlvVmxvZDlSMTlnUDhMTjluQ2NZb1gwb201cFJaY3o4aWpCWmx30gHbAUFVX3lxTE5aQTQyUnlmcElQdlZDVWhfQzNjQ0JEeUNrSW1pckZXR1N2NzFxSjhYdlpSXzhlQUdjb0c4UkJRTXlJaGpmMzU1OEtzWndmRFp3XzJUdlA3ajdjdEtIdVMxaDFxVTJvLW1SX2cwTVdzY3k1aENidVJmN05FUW5NQkYtTXdEdjRHUkVIaFJ6eHk2WnRkUndIT3M5bnRWNTZMS2otdVJlelJTYk9vV1puem5sTjZqeGhRU2xjVlhaTXlwRlBUeFdtMUljYUY4OGVtRjFhdFVGQ3dLNkdxcw?oc=5,2025-04-21 16:56:24,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQSzFNVzNURTBzWEpNSW9Tbkhua3ZGTVkydXpEemRKanVWYlZLWkcyWVFWYWVYOVdhTTViTms2TGZ5ZnR3SWx4djZyZ1NCRnc0WFVXaDI3RXVDbjBDbVdDSFpGbF9yTFZRNkQ1VG5UQVV4V3hEdXItRHNsejZwN3FNTHdKQjhqTHVkaW8zMHZ0aFlsN1l3V0pmMllza2xsRVctSjZOeDhEZmlldEVoYmlvVmxvZDlSMTlnUDhMTjluQ2NZb1gwb201cFJaY3o4aWpCWmx30gHbAUFVX3lxTE5aQTQyUnlmcElQdlZDVWhfQzNjQ0JEeUNrSW1pckZXR1N2NzFxSjhYdlpSXzhlQUdjb0c4UkJRTXlJaGpmMzU1OEtzWndmRFp3XzJUdlA3ajdjdEtIdVMxaDFxVTJvLW1SX2cwTVdzY3k1aENidVJmN05FUW5NQkYtTXdEdjRHUkVIaFJ6eHk2WnRkUndIT3M5bnRWNTZMS2otdVJlelJTYk9vV1puem5sTjZqeGhRU2xjVlhaTXlwRlBUeFdtMUljYUY4OGVtRjFhdFVGQ3dLNkdxcw?oc=5"" target=""_blank"">IMD Issues Heatwave and Rainfall Alerts for Multiple States; Delhi to See Dry Days with Rising Temperatures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"IMD Forecasts Heatwave in Central and Northern India, Heavy Rainfall in Northeast - - NEWS ON AIR",https://news.google.com/rss/articles/CBMirwFBVV95cUxQUUFOX0FNU3REbzljVlVUWWtUVVYwQ2VRbTBUQ2Z5OG9vS1c0RVVWRF9BQmcyZ0xrUmVYOTh2UUtybVFpTTBiRXYtbnlINTNZT19pZ2dncVoyUWo1TlludXhTRTZ1OWNCdjZ1eTFHQnVPRy1QUUhIVmQ4bEk0RnlDdUlfbkFkY1Q2M2xIRlFGR3VzZkc2T2xzYWRVcXVRTmNXY0Jjb1Rxalg4azV5MHpZ?oc=5,2025-04-21 21:13:07,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQUUFOX0FNU3REbzljVlVUWWtUVVYwQ2VRbTBUQ2Z5OG9vS1c0RVVWRF9BQmcyZ0xrUmVYOTh2UUtybVFpTTBiRXYtbnlINTNZT19pZ2dncVoyUWo1TlludXhTRTZ1OWNCdjZ1eTFHQnVPRy1QUUhIVmQ4bEk0RnlDdUlfbkFkY1Q2M2xIRlFGR3VzZkc2T2xzYWRVcXVRTmNXY0Jjb1Rxalg4azV5MHpZ?oc=5"" target=""_blank"">IMD Forecasts Heatwave in Central and Northern India, Heavy Rainfall in Northeast -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
Weather Update: IMD Issues Yellow Alert For Thunderstorms Across Several States; What's In Store For Delhi? - MSN,https://news.google.com/rss/articles/CBMi9wFBVV95cUxPaE5VQ0F3OUMwMW4ySTdSYWYyTXNXb1UxRXRKR3dJdjVvUzMtd3hCei1nQWlNdnRLSkNYMVBZUkt1ck5vRzJFekw0aXI4dFJTY3lKRXVqNl9weXVUdlBTOGJjamRDREI3aG9nNDBfUGdzM1JRZnhqZVNKd1hZTEdyaXhoU3NJNUd4a3M3R2NNWGRrUVN1MlMxczZpelk3ZVlsOGUwX2JRZHVWVDZ2a2hNbXBFVmNCUUxsang1eHdodDNBWTlTOVM5dS1EamxzRXU3SmhObkVyaXJNQ3lldjRnbHREMkN5S0w1ajdqLUpRMW1Xa0t1NmQ4?oc=5,2025-04-21 10:19:57,MSN,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxPaE5VQ0F3OUMwMW4ySTdSYWYyTXNXb1UxRXRKR3dJdjVvUzMtd3hCei1nQWlNdnRLSkNYMVBZUkt1ck5vRzJFekw0aXI4dFJTY3lKRXVqNl9weXVUdlBTOGJjamRDREI3aG9nNDBfUGdzM1JRZnhqZVNKd1hZTEdyaXhoU3NJNUd4a3M3R2NNWGRrUVN1MlMxczZpelk3ZVlsOGUwX2JRZHVWVDZ2a2hNbXBFVmNCUUxsang1eHdodDNBWTlTOVM5dS1EamxzRXU3SmhObkVyaXJNQ3lldjRnbHREMkN5S0w1ajdqLUpRMW1Xa0t1NmQ4?oc=5"" target=""_blank"">Weather Update: IMD Issues Yellow Alert For Thunderstorms Across Several States; What's In Store For Delhi?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
IMD forecasts Light to moderate rainfall in J&K & Ladakh till April 21. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMivgFBVV95cUxPZTNzM0tldlZnUnpnQ2RpNHg4YkhVOHdIalpvR1B6MERaY0QyUUVxbUhrQ3h0YzZzSkpFTWZBWDRIZzJFcUJCRWU2WjFRUlZqZUpjUmZUYXZUSUhxaTQ1ZEJ6Zzk0d3JwYmdHN2Itc3FNOXBpU3JvU2s2SERQNThkRklERXQtdkFTVHlPME83T3pCWWhkWkZwb3FUa2k5MXQ0bHpPR3FhbEhtdHo1YS14ems2VUtja2xWZExaQ3V3?oc=5,2025-04-21 11:26:49,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPZTNzM0tldlZnUnpnQ2RpNHg4YkhVOHdIalpvR1B6MERaY0QyUUVxbUhrQ3h0YzZzSkpFTWZBWDRIZzJFcUJCRWU2WjFRUlZqZUpjUmZUYXZUSUhxaTQ1ZEJ6Zzk0d3JwYmdHN2Itc3FNOXBpU3JvU2s2SERQNThkRklERXQtdkFTVHlPME83T3pCWWhkWkZwb3FUa2k5MXQ0bHpPR3FhbEhtdHo1YS14ems2VUtja2xWZExaQ3V3?oc=5"" target=""_blank"">IMD forecasts Light to moderate rainfall in J&amp;K & Ladakh till April 21.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
Heatwave Alert: Delhi-NCR Braces for Five Days of Scorching Temperatures Over 40°C - udaipurkiran.in,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMHFhTG1XUUU5Q0FxS3E2ZU9QY01SbHhLTEpnYmk3NGpkSXRnUWtlZVdsaFBoNGlYb0pXVDNjS2hYZElJazNNUXI4dEVrZE9XZGZ2cUtyTGNGWEVKdkFTdVRiZjhsNE5SUXVaeVBCa3Q1ajJoOGQ4RmxveXIyYS1uVWhucnRodW9JSG9OdVJUUGYyWTQ0b01ZcDZpWlVjNGlvQmgzQ1Mwa01oQQ?oc=5,2025-04-21 17:41:58,udaipurkiran.in,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMHFhTG1XUUU5Q0FxS3E2ZU9QY01SbHhLTEpnYmk3NGpkSXRnUWtlZVdsaFBoNGlYb0pXVDNjS2hYZElJazNNUXI4dEVrZE9XZGZ2cUtyTGNGWEVKdkFTdVRiZjhsNE5SUXVaeVBCa3Q1ajJoOGQ4RmxveXIyYS1uVWhucnRodW9JSG9OdVJUUGYyWTQ0b01ZcDZpWlVjNGlvQmgzQ1Mwa01oQQ?oc=5"" target=""_blank"">Heatwave Alert: Delhi-NCR Braces for Five Days of Scorching Temperatures Over 40°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.in</font>",Heatwave,en
