Title,Link,Date,Source,Summary,Place
"Weather Update: There will be heavy rain in 11 states, Meteorological Department issued alert - Times Bull",https://news.google.com/rss/articles/CBMiowFBVV95cUxQZXp6RVJIekVQU29jeDFYS0t4QVp0VHpEbFlCVll5WnFTc3RpbHlPMElsbF9XcG43VzNDOUV1WWNhMEVGVFlIcFd2OUJIQzZQcW9FNHEwV3ZUWmpRbk1GZEt1cUpza2NGQ3E5MWxPdDJZdk5lZGJqQ2tnckxSUDBhd1VETEFycERRQ05hUFd0VEd1TjVUYWRDRFlXVmxkTkU3VlJj?oc=5,2024-10-04 08:35:24,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQZXp6RVJIekVQU29jeDFYS0t4QVp0VHpEbFlCVll5WnFTc3RpbHlPMElsbF9XcG43VzNDOUV1WWNhMEVGVFlIcFd2OUJIQzZQcW9FNHEwV3ZUWmpRbk1GZEt1cUpza2NGQ3E5MWxPdDJZdk5lZGJqQ2tnckxSUDBhd1VETEFycERRQ05hUFd0VEd1TjVUYWRDRFlXVmxkTkU3VlJj?oc=5"" target=""_blank"">Weather Update: There will be heavy rain in 11 states, Meteorological Department issued alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Durga Idols In Wraps, Guwahati’s Artisans Pray For Clear Skies - Guwahati Plus",https://news.google.com/rss/articles/CBMiowFBVV95cUxPSktHM0kyU2dSMzNDMWNkVVhoRWpGYTNZUmJ1ZWpGRVdYRTQxYldwUHRZUXd4X2FUX0pxa0VRYTVUOXhqUjJFSUh1eUJmT2pSM29JcmxBUkxVeTNLMmRza3d4a0J6c0xWbGgyM25OMVN6djlHOUhTc21CQVpEZV9JeWZpZF9EOEc3dVlyMk5ycnVlUURKbTZrYnRCWXIxSFZuZEpN0gGoAUFVX3lxTE5abTN0TEtybERYbXpuZ2JUenRMSXhaQ0tLa1g4YTRld3hRUjdMM3p6TmRhaUhBUnNNQXhWZ0Zncklnd1hGdlRtR3VZeTBFaFVNRXlzd1QxalphMXl1Q3h1MzVCZ2FRSEJZaFgtY21hNFV4STR3ZXlsNGhLR09TWExDYVF0M2RoeWRFbkNyNTlSajRIWlR2WFc3RlNWMEdSeTRURFkxd2x0bg?oc=5,2024-10-03 19:20:40,Guwahati Plus,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxPSktHM0kyU2dSMzNDMWNkVVhoRWpGYTNZUmJ1ZWpGRVdYRTQxYldwUHRZUXd4X2FUX0pxa0VRYTVUOXhqUjJFSUh1eUJmT2pSM29JcmxBUkxVeTNLMmRza3d4a0J6c0xWbGgyM25OMVN6djlHOUhTc21CQVpEZV9JeWZpZF9EOEc3dVlyMk5ycnVlUURKbTZrYnRCWXIxSFZuZEpN0gGoAUFVX3lxTE5abTN0TEtybERYbXpuZ2JUenRMSXhaQ0tLa1g4YTRld3hRUjdMM3p6TmRhaUhBUnNNQXhWZ0Zncklnd1hGdlRtR3VZeTBFaFVNRXlzd1QxalphMXl1Q3h1MzVCZ2FRSEJZaFgtY21hNFV4STR3ZXlsNGhLR09TWExDYVF0M2RoeWRFbkNyNTlSajRIWlR2WFc3RlNWMEdSeTRURFkxd2x0bg?oc=5"" target=""_blank"">Durga Idols In Wraps, Guwahati’s Artisans Pray For Clear Skies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Guwahati Plus</font>",
Weather alert: IMD predicts rainy Durga Puja in West Bengal - ANI News,https://news.google.com/rss/articles/CBMivwFBVV95cUxQTHhkWEtsTzgwT3RvTjNfeW1JZV93dFBzU2FTM2Rsb25mUWJrdlZMNVlpZG1INmVYaWNZcUtqRUJCTnRSOG5LM2NWMVBack14YVVyaGZISGhJMjV0MkhmbThzSUZBQVVWQjRwTnZMN3hxTldFdTZONm9ZNmc1N3NSUEpjeXU2ZHNwXzFwV3JGNFd3ODdHcF90dnhsZFJMMHgxTkhjeDktWnFSRHAxdTU5YkpjVjYxUk9vVDV5VEtPRQ?oc=5,2024-10-03 20:11:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQTHhkWEtsTzgwT3RvTjNfeW1JZV93dFBzU2FTM2Rsb25mUWJrdlZMNVlpZG1INmVYaWNZcUtqRUJCTnRSOG5LM2NWMVBack14YVVyaGZISGhJMjV0MkhmbThzSUZBQVVWQjRwTnZMN3hxTldFdTZONm9ZNmc1N3NSUEpjeXU2ZHNwXzFwV3JGNFd3ODdHcF90dnhsZFJMMHgxTkhjeDktWnFSRHAxdTU5YkpjVjYxUk9vVDV5VEtPRQ?oc=5"" target=""_blank"">Weather alert: IMD predicts rainy Durga Puja in West Bengal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",
Monsoon Alert- Meteorological Department issues Very heavy rain in 12 States for next 4 days - Times Bull,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPMzM5eUZNSlQzaUJndzlXUlMxOElXMFEtOUlXckxYc19SMS1ZWjk0bV9mQ0ZYdEthdU5YdHJvbzJYaG8xdm9VYVFZSWN5YzlqTldwTUt6Sy00NXRNU0FpanBCZ0xsWkxleFZuZkU1V3dLZkJia0hiV2I1UEliREFmd3Rnejd6ZU0yWURkeTI5TXk1cDNlS2lSVmNOQVE2TWZ1ZWVUb0xFVTlTREZtQVdnMkpEbzlMUU9CMWJEYzYyZjVKZXVYY04tRzRkY3d6LTdpLVk5U1Q5cw?oc=5,2024-10-03 19:11:16,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPMzM5eUZNSlQzaUJndzlXUlMxOElXMFEtOUlXckxYc19SMS1ZWjk0bV9mQ0ZYdEthdU5YdHJvbzJYaG8xdm9VYVFZSWN5YzlqTldwTUt6Sy00NXRNU0FpanBCZ0xsWkxleFZuZkU1V3dLZkJia0hiV2I1UEliREFmd3Rnejd6ZU0yWURkeTI5TXk1cDNlS2lSVmNOQVE2TWZ1ZWVUb0xFVTlTREZtQVdnMkpEbzlMUU9CMWJEYzYyZjVKZXVYY04tRzRkY3d6LTdpLVk5U1Q5cw?oc=5"" target=""_blank"">Monsoon Alert- Meteorological Department issues Very heavy rain in 12 States for next 4 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"After a dry Sept., rains expected in Bengaluru over next few days - The Hindu",https://news.google.com/rss/articles/CBMizAFBVV95cUxQREtHemxvZmw2a3VNRlVWdUNnWlRLY1g5SHpPTWNMLVNNdURzbzJZdTUwT29sLWlhbzNvYzFLa0R1Nk5MZ0x3ejFzeVRpZUs5R2xSVGkySWh6QXFrZ0pqbnZUbkR5RHFsMHZ1Y2twWUpmeUZQeDdYbU9hbWRST0IzMEpWcFhKdnE4YjdTOXFCbWFDcTNkb3A5MWI0bVo5NWVuMFV3N3JGeWhZREt0ZHhkS25SWjBLaDVEUVBSYU9sWFU5RV9jRVpXclZPZGHSAdMBQVVfeXFMTl8zWFllZGp2QzhKQnVUaXRhN282VnZpdUlKZmV3Uk1sYW1YNVgwOGg4UGlMeWI3R3d3QXYtTUVrZWFrX3hIbTdCVXRxRHExTHJ3UTBZMG5TVXVZMTNJWFpGNW9QXzEyUzNzbTZZZ3RHUl9HUm9lRUU2WjVGSkU5RzA4TUJIUU5Ba3RWcnZoaG5PTDlDOTdpMFBwTzdFZ3ZDVWVxMVphWVhwMU5iQ3RMeTZaWnJHeVBfTU9oa1pGaHA2V2h5d2NSSUZUeHM4UExrdWcyZw?oc=5,2024-10-04 00:39:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQREtHemxvZmw2a3VNRlVWdUNnWlRLY1g5SHpPTWNMLVNNdURzbzJZdTUwT29sLWlhbzNvYzFLa0R1Nk5MZ0x3ejFzeVRpZUs5R2xSVGkySWh6QXFrZ0pqbnZUbkR5RHFsMHZ1Y2twWUpmeUZQeDdYbU9hbWRST0IzMEpWcFhKdnE4YjdTOXFCbWFDcTNkb3A5MWI0bVo5NWVuMFV3N3JGeWhZREt0ZHhkS25SWjBLaDVEUVBSYU9sWFU5RV9jRVpXclZPZGHSAdMBQVVfeXFMTl8zWFllZGp2QzhKQnVUaXRhN282VnZpdUlKZmV3Uk1sYW1YNVgwOGg4UGlMeWI3R3d3QXYtTUVrZWFrX3hIbTdCVXRxRHExTHJ3UTBZMG5TVXVZMTNJWFpGNW9QXzEyUzNzbTZZZ3RHUl9HUm9lRUU2WjVGSkU5RzA4TUJIUU5Ba3RWcnZoaG5PTDlDOTdpMFBwTzdFZ3ZDVWVxMVphWVhwMU5iQ3RMeTZaWnJHeVBfTU9oa1pGaHA2V2h5d2NSSUZUeHM4UExrdWcyZw?oc=5"" target=""_blank"">After a dry Sept., rains expected in Bengaluru over next few days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
India needs climate-resilient solutions to deal with its monsoon mayhem - Down To Earth Magazine,https://news.google.com/rss/articles/CBMixAFBVV95cUxQakEtQU5BNjJmdG1OcUpjbzJ1bk9XS3BrdVNfbUI0LVcxWGxVQkUwVG1lM3BrZkQ1MnF6ZW5yQnczYmNNV2ZXbTlodDR2TDJ5M1BIVUlILWlMYVpKb0traE5NdFRvOVRya1pONWEtalc0R1M5SVNEZW5uTmdfOGVEVWV2WkZDeWVzLWd6Qkh4Nm9sOFdXaWRHUjFOTHZSMWYzRzFnSnEtdjBnZmFERDRpVl84d0FMWjVzZWRuYlJjbHl1SEpZ0gHSAUFVX3lxTE81X21TOTJFYl9kQm5NNG5TcVY3VGVJaGs3bEdJYmFVQ0VUSWN1Q1FaWG90TUpWdzBSU0l2SEZYZkFZLUc2ZUc5ZVR6Ty1BZGV0RThSWkRfMFhkSm1salAxOHFwc1hKQ3luMFdkZGVXWkVOallpRmF0V0dfVGVMdV9ZZFU5elRzUUZXTmgxSVZxRkFrdjQ5M2F3ODRFQUpMT0NFdXRfVl8xSzRnWDVrZkNSekhYX1Y5eklNSkxqbkR6amZXVE5UOUNvd2h0d1VNd0FtUQ?oc=5,2024-10-03 14:59:56,Down To Earth Magazine,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxQakEtQU5BNjJmdG1OcUpjbzJ1bk9XS3BrdVNfbUI0LVcxWGxVQkUwVG1lM3BrZkQ1MnF6ZW5yQnczYmNNV2ZXbTlodDR2TDJ5M1BIVUlILWlMYVpKb0traE5NdFRvOVRya1pONWEtalc0R1M5SVNEZW5uTmdfOGVEVWV2WkZDeWVzLWd6Qkh4Nm9sOFdXaWRHUjFOTHZSMWYzRzFnSnEtdjBnZmFERDRpVl84d0FMWjVzZWRuYlJjbHl1SEpZ0gHSAUFVX3lxTE81X21TOTJFYl9kQm5NNG5TcVY3VGVJaGs3bEdJYmFVQ0VUSWN1Q1FaWG90TUpWdzBSU0l2SEZYZkFZLUc2ZUc5ZVR6Ty1BZGV0RThSWkRfMFhkSm1salAxOHFwc1hKQ3luMFdkZGVXWkVOallpRmF0V0dfVGVMdV9ZZFU5elRzUUZXTmgxSVZxRkFrdjQ5M2F3ODRFQUpMT0NFdXRfVl8xSzRnWDVrZkNSekhYX1Y5eklNSkxqbkR6amZXVE5UOUNvd2h0d1VNd0FtUQ?oc=5"" target=""_blank"">India needs climate-resilient solutions to deal with its monsoon mayhem</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth Magazine</font>",
Monsoon Withdrawal Begins: Dry Weather Expected in Central India as Heavy Rains Target Northeast and South - Krishak Jagat English,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNMDU4S1ZGaThjeEc4RjZ1WlpaTlEwOW41cFBMVlk2UVF0WVVvV18waWpOSFcwU2pmc1pBeHJXMzVNZnZhSHpHYm80ZmNmQ3dhMm1XWERWeUliOEJ0TlhRM0ZEVTl2bWV1LVdES2pyZFVSX0lmVE5kZ2tqbDBhVkZlRExoLUFIMnZINER6V2U1N1BGTU5vSWlLd240NkZnRXh6a2tJN0VSd3Z0YkowZXJvYXBJLXE4QmFaT0laNHdTVnZsWUxNd3RWcWJRNHpNbDVyQko1RkJwODBiUTNiV3FBdF84RUs0QQ?oc=5,2024-10-03 17:50:57,Krishak Jagat English,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNMDU4S1ZGaThjeEc4RjZ1WlpaTlEwOW41cFBMVlk2UVF0WVVvV18waWpOSFcwU2pmc1pBeHJXMzVNZnZhSHpHYm80ZmNmQ3dhMm1XWERWeUliOEJ0TlhRM0ZEVTl2bWV1LVdES2pyZFVSX0lmVE5kZ2tqbDBhVkZlRExoLUFIMnZINER6V2U1N1BGTU5vSWlLd240NkZnRXh6a2tJN0VSd3Z0YkowZXJvYXBJLXE4QmFaT0laNHdTVnZsWUxNd3RWcWJRNHpNbDVyQko1RkJwODBiUTNiV3FBdF84RUs0QQ?oc=5"" target=""_blank"">Monsoon Withdrawal Begins: Dry Weather Expected in Central India as Heavy Rains Target Northeast and South</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishak Jagat English</font>",
"IMD issues Alert, Very heavy rain in northeast for next 4 days - North East India 24",https://news.google.com/rss/articles/CBMilgFBVV95cUxQanlwUEdmVDVqQUhGXzdQSlZFUWhuMkdFaS1ORVFzS0s5Yk9TMHl2WlE1cEp0MmVTakpsaDAwNEtNS1RMN18wR29Gc1B5c2RlRWJieUdWSGh3LWZRazktOU5YcXR2NEtGWUJidjhGMjBEWnBkaDNfZXgzOFItM1JCZkZtanUzOWdLUWdGYl9tN3ZmZ2lORXc?oc=5,2024-10-03 21:09:27,North East India 24,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxQanlwUEdmVDVqQUhGXzdQSlZFUWhuMkdFaS1ORVFzS0s5Yk9TMHl2WlE1cEp0MmVTakpsaDAwNEtNS1RMN18wR29Gc1B5c2RlRWJieUdWSGh3LWZRazktOU5YcXR2NEtGWUJidjhGMjBEWnBkaDNfZXgzOFItM1JCZkZtanUzOWdLUWdGYl9tN3ZmZ2lORXc?oc=5"" target=""_blank"">IMD issues Alert, Very heavy rain in northeast for next 4 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">North East India 24</font>",
"Today’s weather 4 October 2024: Monsoon bid farewell to these states including Delhi, it will rain here today, know where the weather will be. - Presswire18",https://news.google.com/rss/articles/CBMi9AFBVV95cUxOenZ1eW5DNUFUdnQ4WGVXS1V1bDNrMVBkcUM1UldicFVJejJjUE44Z01iNW5ydm8xbDJibVhwR0NOelJMeTBwZV9mV2U3WndZUFZEblJndHo3Y2NYNEZBRzZkN2U2clhGOGFpbGZsR2xCZUZFVThMRFlQSEkybk10LTRGLUQ3aktCc01IOUhSdlRDOVFuY0dMQlZJM2RkWWNXSll6Ri1DRzdPY3g4bElxMnMxS1gtUUNMWkowbjFNMlBzM2Q4d3BwRUtLa3REZmtmRXBjVUdyelk1by1OSjRicExvOWVwdHlCWlRmbVZMNk5lLUtC?oc=5,2024-10-04 06:48:03,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOenZ1eW5DNUFUdnQ4WGVXS1V1bDNrMVBkcUM1UldicFVJejJjUE44Z01iNW5ydm8xbDJibVhwR0NOelJMeTBwZV9mV2U3WndZUFZEblJndHo3Y2NYNEZBRzZkN2U2clhGOGFpbGZsR2xCZUZFVThMRFlQSEkybk10LTRGLUQ3aktCc01IOUhSdlRDOVFuY0dMQlZJM2RkWWNXSll6Ri1DRzdPY3g4bElxMnMxS1gtUUNMWkowbjFNMlBzM2Q4d3BwRUtLa3REZmtmRXBjVUdyelk1by1OSjRicExvOWVwdHlCWlRmbVZMNk5lLUtC?oc=5"" target=""_blank"">Today’s weather 4 October 2024: Monsoon bid farewell to these states including Delhi, it will rain here today, know where the weather will be.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
"Tomorrow’s weather 4 October 2024: Delhi-NCR is sweating due to heat again, in which parts of the country is rain kind? read weather update - Presswire18",https://news.google.com/rss/articles/CBMi8gFBVV95cUxPcWpDY0JJMnUyLUladjVOZHlsTVVIUnJIREYwTlFjQXFPRDg0ajgwU1RUbnhzSzJkcFJQM0FGTkhmTWtXUjMzdHJwTDd0MVBQLUlhRXdtMFJzZkxLa09ucHJVNUhiSUNIc1ViZERQQjNjMVlXbjJaVmRzUVdPZFlpZWhaeld0N2JwR2xNNmVXNWZHWTlhM2xOOVBxM1JWeXBGSzRzdlM1ZElpekNLbWJGZjIwVlF3dTc3SGd6V2FDd09MS18xOVM1TzFxNmZUTS1kRHlHcjRRbFNiU1RBZy1ja3Y1ZmZic0J3SXJ5NlFkWEVNdw?oc=5,2024-10-03 17:17:38,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxPcWpDY0JJMnUyLUladjVOZHlsTVVIUnJIREYwTlFjQXFPRDg0ajgwU1RUbnhzSzJkcFJQM0FGTkhmTWtXUjMzdHJwTDd0MVBQLUlhRXdtMFJzZkxLa09ucHJVNUhiSUNIc1ViZERQQjNjMVlXbjJaVmRzUVdPZFlpZWhaeld0N2JwR2xNNmVXNWZHWTlhM2xOOVBxM1JWeXBGSzRzdlM1ZElpekNLbWJGZjIwVlF3dTc3SGd6V2FDd09MS18xOVM1TzFxNmZUTS1kRHlHcjRRbFNiU1RBZy1ja3Y1ZmZic0J3SXJ5NlFkWEVNdw?oc=5"" target=""_blank"">Tomorrow’s weather 4 October 2024: Delhi-NCR is sweating due to heat again, in which parts of the country is rain kind? read weather update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
