Title,Link,Date,Source,Summary,Place
Calm before storm? Depression likely to cross coast near Chennai tomorrow - The Times of India,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQd1VGVi11VW5DM09aTFhHV0xiTjB4RHZfbGhUSm80bmZVUmRyeGIwR2NESmVDeHVMcndvNFk4bllnanBVUE1PVFAyZlRzbnJ6THFxM0djSkQzMWtRb2RjNzFTSHU3ektmUng3YjdUeU03N29scGtDcVlUS0dNR3dFN3hRcC1KbEtSdFB1UmVjbGFVWXd2V0lhTWo5ZXVtdUdwNE5fWlBHaVVJQjB0YVVPbFNaZ0xhNEpIVEVFTkc4M1cwdXRVcm82SkhaU0drMTdGckJmbjVRUjNDbTVBV19medIB5gFBVV95cUxObU16OHBBYXhLWE1pb3ROU1gzQllwSWZfOVNqTUNta2JuU3V4VVp3U2VKTmdUUjdOWnhmbzlmc1JFTmtrWW92b0tXTy1IMVQwZjNqejBNUVdRSlczWUZBOUptRTRIQXEtSFoyTGtUeXExeFg1VlZ1cVV5MS0yMXAwTi03dXJDb2J0V2k3NW96dGIyc0FoUXBaOGFzLXdWdjVSMVJEcV9INkJKU1JmTW9qSWt5ZGVscDB4cXZDejFPbG14dDVjZ3I0bmlHTThDMDhxX0Q4NjhTR2M1N0laTzRxWC1uYWdUZw?oc=5,2024-10-16 08:10:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQd1VGVi11VW5DM09aTFhHV0xiTjB4RHZfbGhUSm80bmZVUmRyeGIwR2NESmVDeHVMcndvNFk4bllnanBVUE1PVFAyZlRzbnJ6THFxM0djSkQzMWtRb2RjNzFTSHU3ektmUng3YjdUeU03N29scGtDcVlUS0dNR3dFN3hRcC1KbEtSdFB1UmVjbGFVWXd2V0lhTWo5ZXVtdUdwNE5fWlBHaVVJQjB0YVVPbFNaZ0xhNEpIVEVFTkc4M1cwdXRVcm82SkhaU0drMTdGckJmbjVRUjNDbTVBV19medIB5gFBVV95cUxObU16OHBBYXhLWE1pb3ROU1gzQllwSWZfOVNqTUNta2JuU3V4VVp3U2VKTmdUUjdOWnhmbzlmc1JFTmtrWW92b0tXTy1IMVQwZjNqejBNUVdRSlczWUZBOUptRTRIQXEtSFoyTGtUeXExeFg1VlZ1cVV5MS0yMXAwTi03dXJDb2J0V2k3NW96dGIyc0FoUXBaOGFzLXdWdjVSMVJEcV9INkJKU1JmTW9qSWt5ZGVscDB4cXZDejFPbG14dDVjZ3I0bmlHTThDMDhxX0Q4NjhTR2M1N0laTzRxWC1uYWdUZw?oc=5"" target=""_blank"">Calm before storm? Depression likely to cross coast near Chennai tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
Why southern states are receiving heavy rain now - India Today,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQY3R1dTB0Q1RKU0FzSHdldko4Wmh1cDBnY0FmM0xRbGtzQnRXb19VSXNnWmZFdUV4WHJwTTdlZWRWSXNDVGViMFAtaW80c3NjMXVtUUlvMklielkwR2E3M0Y0bnJpXzR5ckJvMmFGaWpzRTQ1RExXVWFfNEFUbGpNSkhObzFxZlktVkFqOVRQbEhaOXF3RGlYMm80NHNjVHRUbG0wU1A0WGszT2ktOUhNTU90d3I3bGZQTVhBR292YnhfRE3SAcgBQVVfeXFMT0pNRkliLUZzTHItRWlRSGJjUWU0Y0pWVlhRTVBTTzVZTlNaN2pMNmVPUjJoOXRzMmh2MEVGRU9taVk4WkpDdi1RVTJhZkpZdEFVSWh0cXNEdmRSNHVVSUZNdE5HVk9vRXFtZEpJREtNaEdoTW50YWhQU2tFM1lKZWE1M3g1ekdQZFBzb0tNdXN0N1Q3TmRFYmZQV1pOTlZVTHdnbE44clNINDEyOVI3cWg5ZmFHWGhTWWtqaHFaNGF1dHNoYWtMNjc?oc=5,2024-10-16 00:07:26,India Today,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQY3R1dTB0Q1RKU0FzSHdldko4Wmh1cDBnY0FmM0xRbGtzQnRXb19VSXNnWmZFdUV4WHJwTTdlZWRWSXNDVGViMFAtaW80c3NjMXVtUUlvMklielkwR2E3M0Y0bnJpXzR5ckJvMmFGaWpzRTQ1RExXVWFfNEFUbGpNSkhObzFxZlktVkFqOVRQbEhaOXF3RGlYMm80NHNjVHRUbG0wU1A0WGszT2ktOUhNTU90d3I3bGZQTVhBR292YnhfRE3SAcgBQVVfeXFMT0pNRkliLUZzTHItRWlRSGJjUWU0Y0pWVlhRTVBTTzVZTlNaN2pMNmVPUjJoOXRzMmh2MEVGRU9taVk4WkpDdi1RVTJhZkpZdEFVSWh0cXNEdmRSNHVVSUZNdE5HVk9vRXFtZEpJREtNaEdoTW50YWhQU2tFM1lKZWE1M3g1ekdQZFBzb0tNdXN0N1Q3TmRFYmZQV1pOTlZVTHdnbE44clNINDEyOVI3cWg5ZmFHWGhTWWtqaHFaNGF1dHNoYWtMNjc?oc=5"" target=""_blank"">Why southern states are receiving heavy rain now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
"Bengaluru weather update: IMD issues ‘orange’ alert, schools closed days due to heavy rain forecast | Top 10 Points | Today News - Mint",https://news.google.com/rss/articles/CBMihAJBVV95cUxQWjBoMFp6WGlrWGFxSVNlano2RE5DdkZwY0xFdE9IMXEtUHhaYVNZR09zSVd6d0NEcEVuczZGZzlLdHlfZHBVVVdlOTl3ZkVsSURzX1ZTTk56bkpfMEdtUUx3STU3c2Y2bVd4THgtZmFTeDR1UGpWaE44TWgzMElzbWUxSDZlWWNhZ2Y3TlJWNy1CbEdkZHhMZVozYTY1c0paVS1fQTRydXI4eGRuSU45Z3BhYmdzQ3NlNFF1eHJzSTJXM2h3RGVjRmRFMm54SHpCZ3JiNGpCUWdrOVBGMm5NdlRfSUJ1Vjhhc2RZTVVPYVRjeFBRYnA3eXFneFJURXVncVpKTtIBigJBVV95cUxQVXJaNXQwZi1WVTdURnE3SFlOajRHVEZ5OXpNbmk3a2dGMHF5bnBnSVRGZmdMTkhDa3dCM2VKM1FGM3lZMVRreTVuNk9xTTc2MnVsa3RQNEk5V0pXNkNnSE5KTTdlWDd2RzVYNFRPNDJ5bHJWSlNBNTJSV3I1VmlPZjZpTnpnRVlIMzM2a3NWMHREeVJlLVh0WENBNzZNNXc2QW03cFh2U1pLNVhIdDdiNEFkYkMyb0xmVWRwWVBVQ0F6RmpuOU5oN1ZFeTc2Wkpab2RSOUt6eEVxRFkyMkk2d19IQTBGeFdGNldTVGFleUFlM200dGdLYk5SMHNkT3BxMDZmbXpTOVdnZw?oc=5,2024-10-16 07:57:28,Mint,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxQWjBoMFp6WGlrWGFxSVNlano2RE5DdkZwY0xFdE9IMXEtUHhaYVNZR09zSVd6d0NEcEVuczZGZzlLdHlfZHBVVVdlOTl3ZkVsSURzX1ZTTk56bkpfMEdtUUx3STU3c2Y2bVd4THgtZmFTeDR1UGpWaE44TWgzMElzbWUxSDZlWWNhZ2Y3TlJWNy1CbEdkZHhMZVozYTY1c0paVS1fQTRydXI4eGRuSU45Z3BhYmdzQ3NlNFF1eHJzSTJXM2h3RGVjRmRFMm54SHpCZ3JiNGpCUWdrOVBGMm5NdlRfSUJ1Vjhhc2RZTVVPYVRjeFBRYnA3eXFneFJURXVncVpKTtIBigJBVV95cUxQVXJaNXQwZi1WVTdURnE3SFlOajRHVEZ5OXpNbmk3a2dGMHF5bnBnSVRGZmdMTkhDa3dCM2VKM1FGM3lZMVRreTVuNk9xTTc2MnVsa3RQNEk5V0pXNkNnSE5KTTdlWDd2RzVYNFRPNDJ5bHJWSlNBNTJSV3I1VmlPZjZpTnpnRVlIMzM2a3NWMHREeVJlLVh0WENBNzZNNXc2QW03cFh2U1pLNVhIdDdiNEFkYkMyb0xmVWRwWVBVQ0F6RmpuOU5oN1ZFeTc2Wkpab2RSOUt6eEVxRFkyMkk2d19IQTBGeFdGNldTVGFleUFlM200dGdLYk5SMHNkT3BxMDZmbXpTOVdnZw?oc=5"" target=""_blank"">Bengaluru weather update: IMD issues ‘orange’ alert, schools closed days due to heavy rain forecast | Top 10 Points | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Southwest monsoon withdraws from entire India - Deccan Chronicle,https://news.google.com/rss/articles/CBMilAFBVV95cUxNa1Q2S0NVQWdBYlI4R3FoaFJxMGlmRDVrY1JZYmZKYk1LNW1DOWh5WTJRYXNoNTlhWmxvU3pfR3UwZHNoU1pMMjJPWXo3VkNxZDhrdEVRSm1RbDRoOTc2SDc3WkJRdjc0OTNCSGlMSGlsYjRwQ1NmdEhwT0lNUU1ReU9KTjBLVWNFVk5hUGkyZk9rZE5k0gGaAUFVX3lxTE1JLTk4RGtEYkNoZERZYnZlUzMzS3ZZQm9NYkFaOGZzREpsUVRJc19LdFRvSjRwTDdsUXotN1JnS3o3enhRR2FXdjl2eUluVURodG1oMjVpSDdvOFVISFY1RE56S3IwUzduQVpobjY1ZXBOYUFNOTJDZTVLMkR3aWJsQ3FLLWJpTjhCVDY2a2czbTF0V2JoVkYzWkE?oc=5,2024-10-15 17:15:45,Deccan Chronicle,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNa1Q2S0NVQWdBYlI4R3FoaFJxMGlmRDVrY1JZYmZKYk1LNW1DOWh5WTJRYXNoNTlhWmxvU3pfR3UwZHNoU1pMMjJPWXo3VkNxZDhrdEVRSm1RbDRoOTc2SDc3WkJRdjc0OTNCSGlMSGlsYjRwQ1NmdEhwT0lNUU1ReU9KTjBLVWNFVk5hUGkyZk9rZE5k0gGaAUFVX3lxTE1JLTk4RGtEYkNoZERZYnZlUzMzS3ZZQm9NYkFaOGZzREpsUVRJc19LdFRvSjRwTDdsUXotN1JnS3o3enhRR2FXdjl2eUluVURodG1oMjVpSDdvOFVISFY1RE56S3IwUzduQVpobjY1ZXBOYUFNOTJDZTVLMkR3aWJsQ3FLLWJpTjhCVDY2a2czbTF0V2JoVkYzWkE?oc=5"" target=""_blank"">Southwest monsoon withdraws from entire India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font>",
ADRE Grade 4 admit card 2024 released at assam.gov.in - The Indian Express,https://news.google.com/rss/articles/CBMiowFBVV95cUxORjNfUmd4c3VEZlVMZVdNUDdsMGF3Vm94RDB5c1dTUDF6bzMxRVc4M2xBYXRwZ0NFQlVJSE1hSlEtMUhzYy1PS09GekU4ajNRamhFU3lxZ1NURTRRT0Jybnh0MUhoSGg1UlV6WFJwOS1xc2tQZnROcUVxTGNrMGNrM01JTGVjRE9aR2tzSFM4YjBqanpwajZlNThkU3FlVUE4VUFV0gGqAUFVX3lxTE5UMVlYSjRVRUN6cUtnT2F5MDdaOUZmWnBWWlF4VXdpMXZPQm9TcjJjZk9yWk1VeU1kOW5uN3k1QkZaeWUxZDFvUlhIS0hHZ0NFbFpySTVyQ1UzemtLdXV4QWpFZEcza2w5WlJwQk9KbFg0T0tZTklUTjRuMlBUeEtMVkJVaDV5c2VuZDJjVFBMWUE2OWlTOGJtZ2FTbDI0NzhNbW9zUndnLTZB?oc=5,2024-10-15 17:19:56,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxORjNfUmd4c3VEZlVMZVdNUDdsMGF3Vm94RDB5c1dTUDF6bzMxRVc4M2xBYXRwZ0NFQlVJSE1hSlEtMUhzYy1PS09GekU4ajNRamhFU3lxZ1NURTRRT0Jybnh0MUhoSGg1UlV6WFJwOS1xc2tQZnROcUVxTGNrMGNrM01JTGVjRE9aR2tzSFM4YjBqanpwajZlNThkU3FlVUE4VUFV0gGqAUFVX3lxTE5UMVlYSjRVRUN6cUtnT2F5MDdaOUZmWnBWWlF4VXdpMXZPQm9TcjJjZk9yWk1VeU1kOW5uN3k1QkZaeWUxZDFvUlhIS0hHZ0NFbFpySTVyQ1UzemtLdXV4QWpFZEcza2w5WlJwQk9KbFg0T0tZTklUTjRuMlBUeEtMVkJVaDV5c2VuZDJjVFBMWUE2OWlTOGJtZ2FTbDI0NzhNbW9zUndnLTZB?oc=5"" target=""_blank"">ADRE Grade 4 admit card 2024 released at assam.gov.in</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
"Heavy rain wreaks havoc in Chennai; schools, colleges shut after incessant rainfall - The Economic Times",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQWWhaSmc0OVZ2RVZvZ0t1a1JCcHh2bWZDc09oclJMN0RDMWhabFIwNzRIczJ0OWFRcnVTTHVTWk8wc2t1N1lad09fbHZYYU5pUWQ3aDhxUExtdmJDa3YwVmRQR1c1QTVpaGlSUVlENC1rX0ZKNU1IWk9meDU4Y2w0bWsteExtTldzaVVka0dTaEk2Rld5NDZfS1JrTmxIejVwU25WNEtJbWdfWDdyclJTYmRocWxhYjJEdTRiRm02STFSdG1tSDVJeWZObGJpMGFRckVHOUNleldzcUd6TXBV0gHfAUFVX3lxTFBZaFpKZzQ5VnZFVm9nS3VrUkJweHZtZkNzT2hyUkw3REMxaFpsUjA3NEhzMnQ5YVFydVNMdVNaTzBza3U3WVp3T19sdlhhTmlRZDdoOHFQTG12YkNrdjBWZFBHVzVBNWloaVJRWUQ0LWtfRko1TUhaT2Z4NThjbDRtay14TG1OV3NpVWRrR1NoSTZGV3k0Nl9LUmtObEh6NXBTblY0S0ltZ19YN3JyUlNiZGhxbGFiMkR1NGJGbTZJMVJ0bW1INUl5Zk5sYmkwYVFyRUc5Q2V6V3NxR3pNcFU?oc=5,2024-10-15 15:15:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQWWhaSmc0OVZ2RVZvZ0t1a1JCcHh2bWZDc09oclJMN0RDMWhabFIwNzRIczJ0OWFRcnVTTHVTWk8wc2t1N1lad09fbHZYYU5pUWQ3aDhxUExtdmJDa3YwVmRQR1c1QTVpaGlSUVlENC1rX0ZKNU1IWk9meDU4Y2w0bWsteExtTldzaVVka0dTaEk2Rld5NDZfS1JrTmxIejVwU25WNEtJbWdfWDdyclJTYmRocWxhYjJEdTRiRm02STFSdG1tSDVJeWZObGJpMGFRckVHOUNleldzcUd6TXBV0gHfAUFVX3lxTFBZaFpKZzQ5VnZFVm9nS3VrUkJweHZtZkNzT2hyUkw3REMxaFpsUjA3NEhzMnQ5YVFydVNMdVNaTzBza3U3WVp3T19sdlhhTmlRZDdoOHFQTG12YkNrdjBWZFBHVzVBNWloaVJRWUQ0LWtfRko1TUhaT2Z4NThjbDRtay14TG1OV3NpVWRrR1NoSTZGV3k0Nl9LUmtObEh6NXBTblY0S0ltZ19YN3JyUlNiZGhxbGFiMkR1NGJGbTZJMVJ0bW1INUl5Zk5sYmkwYVFyRUc5Q2V6V3NxR3pNcFU?oc=5"" target=""_blank"">Heavy rain wreaks havoc in Chennai; schools, colleges shut after incessant rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Southwest monsoon withdraws from entire Vidarbha with a surplus of 17% rains - The Times of India,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNb3lPcG91b0Y0R2JqY1J0NTdKcHpTdVJOemlfM3VHZHFkbWJxdGgyR1V5Tzhfb3JRNDJKbWF3MVVIVnVHcTQ5aktfR1AxeW12SUMyenNZcEQzVWQ4b01ybjc3aHpMcG1RdlkwOXJ2RHlYUzVOaE9tR2xybDJCcjB1YXhvV0stTTcwLWM1SmtJUWlSTmVHaFFiZ3hXVGl1NUtHQmtzLUlzTTV4ZDRqc3RDdjRKdGIxXzlJVy1Lc2R2RHdPc0lPYlh2Y09WbzdHaEFSamVMYWZtY2lrMmvSAeABQVVfeXFMT1hCVldPVC12V29HTzhiZUJ5LVhqbjlDdFBvck1DY3FkcmY1aFF1QUpvS0ZXUFBCRHZhaEJvN0drdkZISkJjZEJGQlMzZ1dJbE9KNnBiY1dBWk5CWHJ4NzNJazZJZF92bEx6cEJlNXlnajZJWTVEYVZvQTRxNm9zUXRqbXA0a1JKTENrcUlhblcyMnhKbGYwM21lNlUwZ0V1RzVRbndqWnlqN0hVb0NVQjZWc0dCTmpCMmEyS1ZxY0QxOEpCRllBQjlhRUpQcS1LRXAzZzBneWNpZk94N3hHeDc?oc=5,2024-10-16 00:49:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNb3lPcG91b0Y0R2JqY1J0NTdKcHpTdVJOemlfM3VHZHFkbWJxdGgyR1V5Tzhfb3JRNDJKbWF3MVVIVnVHcTQ5aktfR1AxeW12SUMyenNZcEQzVWQ4b01ybjc3aHpMcG1RdlkwOXJ2RHlYUzVOaE9tR2xybDJCcjB1YXhvV0stTTcwLWM1SmtJUWlSTmVHaFFiZ3hXVGl1NUtHQmtzLUlzTTV4ZDRqc3RDdjRKdGIxXzlJVy1Lc2R2RHdPc0lPYlh2Y09WbzdHaEFSamVMYWZtY2lrMmvSAeABQVVfeXFMT1hCVldPVC12V29HTzhiZUJ5LVhqbjlDdFBvck1DY3FkcmY1aFF1QUpvS0ZXUFBCRHZhaEJvN0drdkZISkJjZEJGQlMzZ1dJbE9KNnBiY1dBWk5CWHJ4NzNJazZJZF92bEx6cEJlNXlnajZJWTVEYVZvQTRxNm9zUXRqbXA0a1JKTENrcUlhblcyMnhKbGYwM21lNlUwZ0V1RzVRbndqWnlqN0hVb0NVQjZWc0dCTmpCMmEyS1ZxY0QxOEpCRllBQjlhRUpQcS1LRXAzZzBneWNpZk94N3hHeDc?oc=5"" target=""_blank"">Southwest monsoon withdraws from entire Vidarbha with a surplus of 17% rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Rainfall Warning: Northeast Monsoon Activity Commenced Over South India, Heavy Downpour Over THESE States - IM - Times Now",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPd19lTGoyNzl5aWNKWElUcmY5RUxHcUItNGRsX2NxTHdJcXJ3bl9qOXpRQkdXal9hTW5LSXR0cGs2WWRpQmxPMUk0bi04RkV2OWxySzNTNGxjeWtUZEU3VkliZHRQSDYyRFRNSXpUdFJBU3FTOVhQRzJsOWg5ZUJJNlFDU1ZaMlA2UkVEc3ZLYTlTVENNbHc3Qjc5V3puZ2dOSFB6dkpWdDdNT3ZSeTVtbXpUVGRnMTdLZ0dXVFRiWnJXSENKRUdpVU9DeDlhNElCTDM1NnZUMDlpUXk5MmJ0ZXV2b1VmUkJfel9mQ2dsQURLZDBTVlZzU0hrd9IBgAJBVV95cUxQR2ozdS0yOTlVUEF4VkgwdEIwZERmOWllOVJFdkY0eEZKV2Fyb1o1LTNXZXNwZTdnUUtHdUhMTUh5RFZyWE5jNjF0RUlWS21CZkFXOHNaZkIzZVRUalVkWHdoWmcySjJDX3BfN3JvTk9Pb2ZPdnJESGtRUkQzQXVMeWlmMUN0WGFMLTczVVkzUWs0LUg3bHd5RFJjMDFJWlYtem9PM3pQV2ZpcXJ1WmI3eVVrOTByTkwzWW41SGVwSVBLT0paY3k3ckFkcEVBWXA0UDZkYjFvYURUOHU4NEVJSlpxU1YybzlkOERZeEd4Vzl2bWV1cHo3LXNEX2E2T3At?oc=5,2024-10-15 19:22:00,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPd19lTGoyNzl5aWNKWElUcmY5RUxHcUItNGRsX2NxTHdJcXJ3bl9qOXpRQkdXal9hTW5LSXR0cGs2WWRpQmxPMUk0bi04RkV2OWxySzNTNGxjeWtUZEU3VkliZHRQSDYyRFRNSXpUdFJBU3FTOVhQRzJsOWg5ZUJJNlFDU1ZaMlA2UkVEc3ZLYTlTVENNbHc3Qjc5V3puZ2dOSFB6dkpWdDdNT3ZSeTVtbXpUVGRnMTdLZ0dXVFRiWnJXSENKRUdpVU9DeDlhNElCTDM1NnZUMDlpUXk5MmJ0ZXV2b1VmUkJfel9mQ2dsQURLZDBTVlZzU0hrd9IBgAJBVV95cUxQR2ozdS0yOTlVUEF4VkgwdEIwZERmOWllOVJFdkY0eEZKV2Fyb1o1LTNXZXNwZTdnUUtHdUhMTUh5RFZyWE5jNjF0RUlWS21CZkFXOHNaZkIzZVRUalVkWHdoWmcySjJDX3BfN3JvTk9Pb2ZPdnJESGtRUkQzQXVMeWlmMUN0WGFMLTczVVkzUWs0LUg3bHd5RFJjMDFJWlYtem9PM3pQV2ZpcXJ1WmI3eVVrOTByTkwzWW41SGVwSVBLT0paY3k3ckFkcEVBWXA0UDZkYjFvYURUOHU4NEVJSlpxU1YybzlkOERZeEd4Vzl2bWV1cHo3LXNEX2E2T3At?oc=5"" target=""_blank"">Rainfall Warning: Northeast Monsoon Activity Commenced Over South India, Heavy Downpour Over THESE States - IM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
Assam SLRC Releases ADRE Grade 4 Admit Card 2024 at slrcg4.sebaonline.org; Direct Link Here - Krishi Jagran,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcl84aUxBdzhCb2FVcklJb2JzVjlFbi1Ka1I3NWVHbjFJYUd0SklkQVNsZUpMYW5mLUoxQ1oxRGJJRkNUeHlnV0MzNTNtTTdqbUloRkpMN1N2c3R5MnR5Rm5XN014VXdqNkxSZFVKYjZWNWdSbmo5dGpHanRfVGE5WjhZTFM2X3JPM3ZuWFNNYkZhcnNRZjZNNHRISmFTRmxzZklsRThKQlZaMlA1cE5HSkh6WkRTcDlqdVhJ0gHDAUFVX3lxTE1IVHdMYXM1SkRMWjJ5czJqa3kwRC11eGRYLW1fYXdpcWQzZm1sS29XS2dyYTR6ajFvQUVrM2pmcVRUSUxnNUQ3aFF5eDgyQXN3VFVHSEc1S19jelFjbW5sYXlEcDUxcjFZaEZJdzc0Qm42WDU1bEUtamJBNkZONnhZaFh3LTgzWVBfQnB6SEd5NmhKODBlN0pEcDNYYVEwVjNyUkdKT0xGb0FvZ0NhZTJIb0tmeHBaUG5GLWNFZEVWZW5ORQ?oc=5,2024-10-15 17:17:08,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcl84aUxBdzhCb2FVcklJb2JzVjlFbi1Ka1I3NWVHbjFJYUd0SklkQVNsZUpMYW5mLUoxQ1oxRGJJRkNUeHlnV0MzNTNtTTdqbUloRkpMN1N2c3R5MnR5Rm5XN014VXdqNkxSZFVKYjZWNWdSbmo5dGpHanRfVGE5WjhZTFM2X3JPM3ZuWFNNYkZhcnNRZjZNNHRISmFTRmxzZklsRThKQlZaMlA1cE5HSkh6WkRTcDlqdVhJ0gHDAUFVX3lxTE1IVHdMYXM1SkRMWjJ5czJqa3kwRC11eGRYLW1fYXdpcWQzZm1sS29XS2dyYTR6ajFvQUVrM2pmcVRUSUxnNUQ3aFF5eDgyQXN3VFVHSEc1S19jelFjbW5sYXlEcDUxcjFZaEZJdzc0Qm42WDU1bEUtamJBNkZONnhZaFh3LTgzWVBfQnB6SEd5NmhKODBlN0pEcDNYYVEwVjNyUkdKT0xGb0FvZ0NhZTJIb0tmeHBaUG5GLWNFZEVWZW5ORQ?oc=5"" target=""_blank"">Assam SLRC Releases ADRE Grade 4 Admit Card 2024 at slrcg4.sebaonline.org; Direct Link Here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",
IMD announces withdrawal of southwest monsoon from Mumbai but issues yellow alert till Thursday - The Indian Express,https://news.google.com/rss/articles/CBMivgFBVV95cUxNMnlEVHNwdFJIUWxvU180Y1dPMC1YTlROVXZURTdPbzJqT0pvRzI4WU9Va0NCX0twLXZBclJZTE1tYzBwWlVfWFN3MFVtQmV5RnBSSWwxTkM2RW5VOEx2TmEtandoWnk0b2RZNGlPY1F0cXQ1dFNoc2trOV9RcTVZVWZIa010dWU1S05vb0FNTlJLbzJOTVVMVVdLeTFOZmtHa1E1b04tOVhRT3FMTGpGLVJ1ZFBsblZnZ0hobm130gG-AUFVX3lxTE0yeURUc3B0UkhRbG9TXzRjV08wLVhOVE5VdlRFN09vMmpPSm9HMjhZT1VrQ0JfS3AtdkFyUllMTW1jMHBaVV9YU3cwVW1CZXlGcFJJbDFOQzZFblU4THZOYS1qd2haeTRvZFk0aU9jUXRxdDV0U2hza2s5X1FxNVlVZkhrTXR1ZTVLTm9vQU1OUktvMk5NVUxVV0t5MU5ma0drUTVvTi05WFFPcUxMakYtUnVkUGxuVmdnSGhubXc?oc=5,2024-10-15 17:24:10,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNMnlEVHNwdFJIUWxvU180Y1dPMC1YTlROVXZURTdPbzJqT0pvRzI4WU9Va0NCX0twLXZBclJZTE1tYzBwWlVfWFN3MFVtQmV5RnBSSWwxTkM2RW5VOEx2TmEtandoWnk0b2RZNGlPY1F0cXQ1dFNoc2trOV9RcTVZVWZIa010dWU1S05vb0FNTlJLbzJOTVVMVVdLeTFOZmtHa1E1b04tOVhRT3FMTGpGLVJ1ZFBsblZnZ0hobm130gG-AUFVX3lxTE0yeURUc3B0UkhRbG9TXzRjV08wLVhOVE5VdlRFN09vMmpPSm9HMjhZT1VrQ0JfS3AtdkFyUllMTW1jMHBaVV9YU3cwVW1CZXlGcFJJbDFOQzZFblU4THZOYS1qd2haeTRvZFk0aU9jUXRxdDV0U2hza2s5X1FxNVlVZkhrTXR1ZTVLTm9vQU1OUktvMk5NVUxVV0t5MU5ma0drUTVvTi05WFFPcUxMakYtUnVkUGxuVmdnSGhubXc?oc=5"" target=""_blank"">IMD announces withdrawal of southwest monsoon from Mumbai but issues yellow alert till Thursday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
