Title,Link,Date,Source,Summary,Term,LanguageQueried
"Bihar weather update:गर्मी की मार शुरू! अगले पांच दिनों तक बिहार में बढ़ेगा तापमान, मौसम रहेगा शुष्क! - बिहार",https://news.google.com/rss/articles/CBMifEFVX3lxTFBBSTk2Z1hPbUlvRmxiMThFa19jRXpCaE5NSTdqcHZsY0plWGtLeHp5ZHBkVDd0TDRlbGVkSTVVczhuc3h6dGwyb0ZadE45UnZUYUo3NE9QT2Z1T29hZzB4MjJYWHczaFFFbzFZRFhWajFSMVhqV0RsZkNsYjXSAYQBQVVfeXFMTnpUMzVyeVItQkk0N2hBNjJkeEFWZlJZZnZ0WXBJUGZwRkdGWno0NkFuOGhtWlVndW1NWW54bzdKcnQ4cVlEZDBGX2xacEJ3Qklyb01QT05EZnhRWTRrUFdtY3doNmVXVXNUR0dCV1Z4UEV2b0ZrZVVnVHJLQmhabjQ4RVlr?oc=5,2025-03-24 07:15:16,बिहार,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTFBBSTk2Z1hPbUlvRmxiMThFa19jRXpCaE5NSTdqcHZsY0plWGtLeHp5ZHBkVDd0TDRlbGVkSTVVczhuc3h6dGwyb0ZadE45UnZUYUo3NE9QT2Z1T29hZzB4MjJYWHczaFFFbzFZRFhWajFSMVhqV0RsZkNsYjXSAYQBQVVfeXFMTnpUMzVyeVItQkk0N2hBNjJkeEFWZlJZZnZ0WXBJUGZwRkdGWno0NkFuOGhtWlVndW1NWW54bzdKcnQ4cVlEZDBGX2xacEJ3Qklyb01QT05EZnhRWTRrUFdtY3doNmVXVXNUR0dCV1Z4UEV2b0ZrZVVnVHJLQmhabjQ4RVlr?oc=5"" target=""_blank"">Bihar weather update:गर्मी की मार शुरू! अगले पांच दिनों तक बिहार में बढ़ेगा तापमान, मौसम रहेगा शुष्क!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">बिहार</font>",Heatwave,hi
"Bihar Weather: बिहार में अब गर्मी बरपाएगी कहर ! थमा बारिशों का दौर, 4 डिग्री तक बढ़ेगा पारा - News4Nation",https://news.google.com/rss/articles/CBMixAFBVV95cUxOSGdXNlFzcTNVOGlkeEh1aTNlT0kyaDg1MmFyOHFWOFNUY21BaHhIY3l1RFRIUGRFVU1mU2xidm5ncDFsMXRCMi1YamFQaEt0bU92OWhhc1FoM3JDNlI2emNreVEtRG00bEx1a2Y5OGpLYk1MQVNZY2h4amdpQzloczNXUnJhT3VZN2VXdGhybl9OXzB5MDJ5REcycU1ZeFhRSmM1MlNNSGw5UmVrcFBqRVlPaG5IU0Z2Y1NGTXpoVzJyVXRa0gHKAUFVX3lxTE9KY0ExaF80eXNzdjcxUUVpSUhjODFDYl9VM0FBeHBDa0lPNnY2ZVEydmdfdjNIMi1LcE9zTFhTRWtGblI2UjU3WVFEVnB0VVdSQ2kzaUZNVkowTTN5Nm9SQ2htM19EVE4tNTF0OVVKTXFfaU9CUWZ6U2NLaVh6aTZCLVloemhUaDNmVnkzNG5IdlQwVWNUY3Z0TzB1RXFUc2hlQWxMeTdjWDVjUFI3UWluWVd2U1R5QmtYTU9ZOFRaNFQ1UXJBTjVRdGc?oc=5,2025-03-24 06:29:00,News4Nation,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOSGdXNlFzcTNVOGlkeEh1aTNlT0kyaDg1MmFyOHFWOFNUY21BaHhIY3l1RFRIUGRFVU1mU2xidm5ncDFsMXRCMi1YamFQaEt0bU92OWhhc1FoM3JDNlI2emNreVEtRG00bEx1a2Y5OGpLYk1MQVNZY2h4amdpQzloczNXUnJhT3VZN2VXdGhybl9OXzB5MDJ5REcycU1ZeFhRSmM1MlNNSGw5UmVrcFBqRVlPaG5IU0Z2Y1NGTXpoVzJyVXRa0gHKAUFVX3lxTE9KY0ExaF80eXNzdjcxUUVpSUhjODFDYl9VM0FBeHBDa0lPNnY2ZVEydmdfdjNIMi1LcE9zTFhTRWtGblI2UjU3WVFEVnB0VVdSQ2kzaUZNVkowTTN5Nm9SQ2htM19EVE4tNTF0OVVKTXFfaU9CUWZ6U2NLaVh6aTZCLVloemhUaDNmVnkzNG5IdlQwVWNUY3Z0TzB1RXFUc2hlQWxMeTdjWDVjUFI3UWluWVd2U1R5QmtYTU9ZOFRaNFQ1UXJBTjVRdGc?oc=5"" target=""_blank"">Bihar Weather: बिहार में अब गर्मी बरपाएगी कहर ! थमा बारिशों का दौर, 4 डिग्री तक बढ़ेगा पारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News4Nation</font>",Heatwave,hi
"Punjab Weather and AQI Today: Warm start at 20.16 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMixgFBVV95cUxQQWFCVzF0TTBYZ2ZQbU5KdUVtV2NqLUhmLXNUUml2RHAtRnE0cTVUc2I4UmZLTjdTaWZFRjNUVkhXV24yajY2VEszeGRjeTVCMkVZbWVmUXpEZUlYc1pNZWY1UGc4NDFNRklvVVdGcEEwaXFEbTd4WXV1OE9ndURXYTZ0T05Xa1hvRGZUUS02cDlyMVZqSnR2QkwxSmJfdm9VamttanVZMFZ0S2FQTzBoMWppLUVsejJqa2xqdEVNcHhkVGNMNXfSAcsBQVVfeXFMT3ExQzJkSHVsUEFrc1NJNmtxYXZXRDZPQy1fR3ZVQWU3M1ZBelFnV3FTWkFlNENBTjV6MmZHbkhRMjZFMGUyUHVwdk5sLUk5ZW9OMTExX3hibUFEUmZJZDd0OEhOMUsyVTRTTzAzTnB4bEU3MkN6YXJDVjNJOHk2aklDdmRiUVpUREY5bVVya0VJdDVKaGtfdmVidDRCQU9nRnNwb3prS0RrTWdqVXJtdE05MVlWSmNaX3FNcmNtcEUzQ19fMHVRc2hTcjQ?oc=5,2025-03-24 07:10:25,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQQWFCVzF0TTBYZ2ZQbU5KdUVtV2NqLUhmLXNUUml2RHAtRnE0cTVUc2I4UmZLTjdTaWZFRjNUVkhXV24yajY2VEszeGRjeTVCMkVZbWVmUXpEZUlYc1pNZWY1UGc4NDFNRklvVVdGcEEwaXFEbTd4WXV1OE9ndURXYTZ0T05Xa1hvRGZUUS02cDlyMVZqSnR2QkwxSmJfdm9VamttanVZMFZ0S2FQTzBoMWppLUVsejJqa2xqdEVNcHhkVGNMNXfSAcsBQVVfeXFMT3ExQzJkSHVsUEFrc1NJNmtxYXZXRDZPQy1fR3ZVQWU3M1ZBelFnV3FTWkFlNENBTjV6MmZHbkhRMjZFMGUyUHVwdk5sLUk5ZW9OMTExX3hibUFEUmZJZDd0OEhOMUsyVTRTTzAzTnB4bEU3MkN6YXJDVjNJOHk2aklDdmRiUVpUREY5bVVya0VJdDVKaGtfdmVidDRCQU9nRnNwb3prS0RrTWdqVXJtdE05MVlWSmNaX3FNcmNtcEUzQ19fMHVRc2hTcjQ?oc=5"" target=""_blank"">Punjab Weather and AQI Today: Warm start at 20.16 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Weather Update: Delhi Heat To Intensify This Week, Rain Likely In Telangana, Karnataka And Other States Today | Check Forecast - Jagran English",https://news.google.com/rss/articles/CBMi9gFBVV95cUxQc25qbnktN3IwbWN2RVZsLW1NXzloRUt0RmdtdU1xRHJJWXBKbXJBMnVDTVc2cFpwdDRzRkVydVctNkFZbGJsbVl5cWVJb0dBbHhXYmtzN2ROUXVlQXJ6bDluYlRBbFhQM29IZFdRcGNXcGkxSkJyd0V3MlZUY0FITFFhdXBXRDlfRXNRSU1Sang3bzlfZkZKZlBmWHdzMzVvZEw2Zmg2WFJFT1N2bXgtVGlPR0J1Q1c3RHNpS3lrdmFTX2NiNFF5Rkh4d0RBd0RUU2ZCdVhuRldTVGd5a3ZGX0JOQXYtZ3c2ZXotNm1LNTRlNC1DWGc?oc=5,2025-03-24 09:00:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxQc25qbnktN3IwbWN2RVZsLW1NXzloRUt0RmdtdU1xRHJJWXBKbXJBMnVDTVc2cFpwdDRzRkVydVctNkFZbGJsbVl5cWVJb0dBbHhXYmtzN2ROUXVlQXJ6bDluYlRBbFhQM29IZFdRcGNXcGkxSkJyd0V3MlZUY0FITFFhdXBXRDlfRXNRSU1Sang3bzlfZkZKZlBmWHdzMzVvZEw2Zmg2WFJFT1N2bXgtVGlPR0J1Q1c3RHNpS3lrdmFTX2NiNFF5Rkh4d0RBd0RUU2ZCdVhuRldTVGd5a3ZGX0JOQXYtZ3c2ZXotNm1LNTRlNC1DWGc?oc=5"" target=""_blank"">Weather Update: Delhi Heat To Intensify This Week, Rain Likely In Telangana, Karnataka And Other States Today | Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
"Lucknow Weather and AQI Today: Warm start at 16.99 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPM0dzWUgzelRpcTdjN0dBRDBHSW1kcXhfR1g5SHkwOXNfWlVWSUxacmkzTk4xOHk3aWpQQXdka0RxZllsNXA5eUFHRmt0RXhYQkwwWEMwSzBxQnkwUXIwQTFNank1Q2V6amItTW1GRmp1ZTFPWXRpTEc0bkhUWW5xSFlCX2dSb1FFX3lJUnZOTndrRzBvd0hFYl8yNEJmTlZzQldXdHVscW11RHpabjhkTXRlNU8ya0liZUt0UDNCdFlRR3JvZ0g3SFl2RWhhVXpLLWNv?oc=5,2025-03-24 07:03:24,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPM0dzWUgzelRpcTdjN0dBRDBHSW1kcXhfR1g5SHkwOXNfWlVWSUxacmkzTk4xOHk3aWpQQXdka0RxZllsNXA5eUFHRmt0RXhYQkwwWEMwSzBxQnkwUXIwQTFNank1Q2V6amItTW1GRmp1ZTFPWXRpTEc0bkhUWW5xSFlCX2dSb1FFX3lJUnZOTndrRzBvd0hFYl8yNEJmTlZzQldXdHVscW11RHpabjhkTXRlNU8ya0liZUt0UDNCdFlRR3JvZ0g3SFl2RWhhVXpLLWNv?oc=5"" target=""_blank"">Lucknow Weather and AQI Today: Warm start at 16.99 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Haryana Weather and AQI Today: Warm start at 20.12 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMixwFBVV95cUxQUGt4SDJNY0htWVZOWEYzYzB3ZDN6VVVQWlBXdXkzcVZCQWROWWxBT1huLUlSdEtiRkVuWkxabFRWT2JDSk91NUxibUREZ094bEZWeEhmcnBGTW5mbXJlT21rbzBFUUdSZVJ5UmFOMVp5ZnczUy1zNnFCZnIzVGZ0cVluSThWNDB3cFdqMWxkNldJQTlQUEt6S29hNV8xNGJYQkIzVHN2b0d5V0lQeDNyWWZ6ZWdqRmJna3ltemJJUTlYLTlDWmtN0gHMAUFVX3lxTE1vRjcyOUlMVlhBRTBsOGgzN0JzdF81aWFaLXl3UEpNVVV1SVo3SVZZUmNlSjkyY3lOS0tQUVhoaVU0Q1h2Ti11Sk42RTh3cnZPb19IdG9UUHJ5MVhZVjdySW5jTjVIUllzeHJRVG9jNXlUS3ZocE1oUnVRUTdMaVM2WGVwN0xTbU9hMFVCVnRxQnJTOXVpbHF3WUM3RFhWZzN6UlIzRUZEQmhJUkhwaVN5Z1NPWHZFSjF5OGZyQUR6dU1na1ZvalNtemotSw?oc=5,2025-03-24 07:10:45,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQUGt4SDJNY0htWVZOWEYzYzB3ZDN6VVVQWlBXdXkzcVZCQWROWWxBT1huLUlSdEtiRkVuWkxabFRWT2JDSk91NUxibUREZ094bEZWeEhmcnBGTW5mbXJlT21rbzBFUUdSZVJ5UmFOMVp5ZnczUy1zNnFCZnIzVGZ0cVluSThWNDB3cFdqMWxkNldJQTlQUEt6S29hNV8xNGJYQkIzVHN2b0d5V0lQeDNyWWZ6ZWdqRmJna3ltemJJUTlYLTlDWmtN0gHMAUFVX3lxTE1vRjcyOUlMVlhBRTBsOGgzN0JzdF81aWFaLXl3UEpNVVV1SVo3SVZZUmNlSjkyY3lOS0tQUVhoaVU0Q1h2Ti11Sk42RTh3cnZPb19IdG9UUHJ5MVhZVjdySW5jTjVIUllzeHJRVG9jNXlUS3ZocE1oUnVRUTdMaVM2WGVwN0xTbU9hMFVCVnRxQnJTOXVpbHF3WUM3RFhWZzN6UlIzRUZEQmhJUkhwaVN5Z1NPWHZFSjF5OGZyQUR6dU1na1ZvalNtemotSw?oc=5"" target=""_blank"">Haryana Weather and AQI Today: Warm start at 20.12 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Gurugram Weather and AQI Today: Warm start at 18.02 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNSDV0cHVhWUktZHVDdGxDakdFQWVlbVlYcFdIZnU3M3BfVW1GZnd1aUdtZVY4MXp1bjlELVdsNkxIUkdzZ3NHMVZQTEdiTnFON2ZBeFpJelJNeTNhb1ZsRUVJODRhcE9SdGxTeE8zTjNIWkdhemc3T0FBTzV2dzlaRURESGlsWmRYS04yS2lMak5JX1Y3M2dMdjI1WUJPMHRUS0gwN0hpclZXeVNkUWs3Z0Q2VnRmYVo0eU52QUZzemZZOTNjUlJlVHpBUUlYbjd1dXBJSE5n?oc=5,2025-03-24 07:08:05,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNSDV0cHVhWUktZHVDdGxDakdFQWVlbVlYcFdIZnU3M3BfVW1GZnd1aUdtZVY4MXp1bjlELVdsNkxIUkdzZ3NHMVZQTEdiTnFON2ZBeFpJelJNeTNhb1ZsRUVJODRhcE9SdGxTeE8zTjNIWkdhemc3T0FBTzV2dzlaRURESGlsWmRYS04yS2lMak5JX1Y3M2dMdjI1WUJPMHRUS0gwN0hpclZXeVNkUWs3Z0Q2VnRmYVo0eU52QUZzemZZOTNjUlJlVHpBUUlYbjd1dXBJSE5n?oc=5"" target=""_blank"">Gurugram Weather and AQI Today: Warm start at 18.02 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Noida Weather and AQI Today: Warm start at 18.16 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMizgFBVV95cUxQV3JNR21ZeTFYVW9IZ0VXcHBmZDBUNm9QT2k3cFlsZ0c5YWFJNVA0RG9KU0lCejVXMXhZVU5Odzl2aDZvMEQ0bG1KYW0yNUlBVk1tZ2N4UE9kaXlKVk1Wb1RaMVFXSjVyd3RRcmY4R2VKcFJPVzZxNVN6Z0RfQndtMUxzV3VEVllCc0RIMGN4WGhYdW55RzRBY2tOaHpWNDdjXzhvYThiNlJaTk1vX2FrUjFjRFZoRlNYZFdSeUNtQmMyVUV3UHRtaHNDQ3lmQQ?oc=5,2025-03-24 07:07:45,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQV3JNR21ZeTFYVW9IZ0VXcHBmZDBUNm9QT2k3cFlsZ0c5YWFJNVA0RG9KU0lCejVXMXhZVU5Odzl2aDZvMEQ0bG1KYW0yNUlBVk1tZ2N4UE9kaXlKVk1Wb1RaMVFXSjVyd3RRcmY4R2VKcFJPVzZxNVN6Z0RfQndtMUxzV3VEVllCc0RIMGN4WGhYdW55RzRBY2tOaHpWNDdjXzhvYThiNlJaTk1vX2FrUjFjRFZoRlNYZFdSeUNtQmMyVUV3UHRtaHNDQ3lmQQ?oc=5"" target=""_blank"">Noida Weather and AQI Today: Warm start at 18.16 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Ahmedabad Weather and AQI Today: Warm start at 22.02 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMixAFBVV95cUxOQjRSSEc1c0lUODhPOXdydUFlZzlITlZJYW1hSURpc0JFZWpDTlZ2Nm9Xc2RSdWNIdUw5VzFiRmcyNUp2TFFWR1cxYVl0Y2xTZUs0RnExbkI5cDJLbW5nVFB3bDg3ZDM5WEIyZTBJa3Zzck5Zem5jbVQydUM5Nzl0c2djSDd2a2xRQzNHclBsbC1acVBEdm5EY3Q5Zkc3cmJWMV95b0F5TEZ5UHFaR2FaYWNDOEJSb1lQTHg5aUhWTHpRS0FX?oc=5,2025-03-24 07:02:43,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOQjRSSEc1c0lUODhPOXdydUFlZzlITlZJYW1hSURpc0JFZWpDTlZ2Nm9Xc2RSdWNIdUw5VzFiRmcyNUp2TFFWR1cxYVl0Y2xTZUs0RnExbkI5cDJLbW5nVFB3bDg3ZDM5WEIyZTBJa3Zzck5Zem5jbVQydUM5Nzl0c2djSDd2a2xRQzNHclBsbC1acVBEdm5EY3Q5Zkc3cmJWMV95b0F5TEZ5UHFaR2FaYWNDOEJSb1lQTHg5aUhWTHpRS0FX?oc=5"" target=""_blank"">Ahmedabad Weather and AQI Today: Warm start at 22.02 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Pune Weather and AQI Today: Warm start at 23.52 °C, check weather forecast for March 24, 2025 - Hindustan Times",https://news.google.com/rss/articles/CBMiywFBVV95cUxNVkxmbHI0bkR4Vm9pWjF0MFhhRmhibm9hTzNnVFF3VTF2cW45VURJOWs5QTBKSU00ang3azIwTHlzU1ZBeGZQbEQ1dlozT3hTU09YX0FmZmNxOGpVTy03R2tURmpVbUt1NVo3NXNpV1JlRkpJVUJrVEFmNmlDWl9ISktqLV8zVnBlWjFMWG52aVZqaFRQX0ZydXBDUTc5TENudmc3UmJramY5bGNZZmNNRUU1aDZSclIxWTNZZDlvZXJWM2d4RzMxRklMQQ?oc=5,2025-03-24 07:04:24,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNVkxmbHI0bkR4Vm9pWjF0MFhhRmhibm9hTzNnVFF3VTF2cW45VURJOWs5QTBKSU00ang3azIwTHlzU1ZBeGZQbEQ1dlozT3hTU09YX0FmZmNxOGpVTy03R2tURmpVbUt1NVo3NXNpV1JlRkpJVUJrVEFmNmlDWl9ISktqLV8zVnBlWjFMWG52aVZqaFRQX0ZydXBDUTc5TENudmc3UmJramY5bGNZZmNNRUU1aDZSclIxWTNZZDlvZXJWM2d4RzMxRklMQQ?oc=5"" target=""_blank"">Pune Weather and AQI Today: Warm start at 23.52 °C, check weather forecast for March 24, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
