Title,Link,Date,Source,Summary,Term,LanguageQueried
"दिल्ली से लेकर यूपी-बिहार तक, कई राज्यों में हीटवेव का अलर्ट; IMD ने बताया, कहां होगी बारिश - Hindustan",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOQlVIZkJXNlk3dGZxM09MSFVUdkNxRnNGMlg2ZzIyNXItMjk1SENyaFBqR0NoV2I3UnBuZmNreXpYVDEwSmhtWmt3YU5UWm9WbFM5SWNFTml5S3VTWElfNG1jWEtIb2FGclJ0Wm5xcklxQ0RZYUFiNl9vMXZCRFQ4ZFVDWFM5TmhWcTM0bS03YjdnOHlpcDl0Znh2OUl3T2dNMjVWaWJJc0Jhcm40Q0lDTUNWMFFiampScHdnM0ZTaEdPaXpmZXdvbTdmNGpIcXZGb2xHaHZ4NNIB3AFBVV95cUxNQndGMmdKR2F2eGsxLXlUdnhMTjBac2NpZWVzbmM5MktuTm1KQTRQWVRpV3NJaTcwcHlRNVNMaF9FbHZPbFMwQmxONnprT1dhVl9lTGZ5MXVILXFBMWJHZk1feHdpU2ZMRzlQRjExU3RybmMtTmFyLXFBTDZsZUlBZE9Pc2E3M2N6dU9sdmlnSmYxMkFheHV0Q3ZnYlhpNTYySk1KUjN1VlJlbTItQnpkbGpLNURUcXkwbkVONml3Wlk4el9YNDNfQ3ZnOVlpMTZHSHhfQWFuYktkeGl1?oc=5,2025-04-05 11:35:34,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOQlVIZkJXNlk3dGZxM09MSFVUdkNxRnNGMlg2ZzIyNXItMjk1SENyaFBqR0NoV2I3UnBuZmNreXpYVDEwSmhtWmt3YU5UWm9WbFM5SWNFTml5S3VTWElfNG1jWEtIb2FGclJ0Wm5xcklxQ0RZYUFiNl9vMXZCRFQ4ZFVDWFM5TmhWcTM0bS03YjdnOHlpcDl0Znh2OUl3T2dNMjVWaWJJc0Jhcm40Q0lDTUNWMFFiampScHdnM0ZTaEdPaXpmZXdvbTdmNGpIcXZGb2xHaHZ4NNIB3AFBVV95cUxNQndGMmdKR2F2eGsxLXlUdnhMTjBac2NpZWVzbmM5MktuTm1KQTRQWVRpV3NJaTcwcHlRNVNMaF9FbHZPbFMwQmxONnprT1dhVl9lTGZ5MXVILXFBMWJHZk1feHdpU2ZMRzlQRjExU3RybmMtTmFyLXFBTDZsZUlBZE9Pc2E3M2N6dU9sdmlnSmYxMkFheHV0Q3ZnYlhpNTYySk1KUjN1VlJlbTItQnpkbGpLNURUcXkwbkVONml3Wlk4el9YNDNfQ3ZnOVlpMTZHSHhfQWFuYktkeGl1?oc=5"" target=""_blank"">दिल्ली से लेकर यूपी-बिहार तक, कई राज्यों में हीटवेव का अलर्ट; IMD ने बताया, कहां होगी बारिश</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Heatwave,hi
"कल का मौसम 06 April 2025 : उमड़-घुमड़ कर छाएंगे बादल, बारिश के साथ आधी-ओलावृष्टि का खतरा; मौसम विभाग का बड़ा अ - Times Now Navbharat",https://news.google.com/rss/articles/CBMioAJBVV95cUxObUFMUnZRYVFSeDRCd3U5UVlMM2Z3WDNlbDE4Yl9pVkJVUEhJMmlPQVdDWkJNRG9YeXVpVWxPcTYwN285OTFFUDRvRmZhQVQwcVEtaWZoRkNCeWpWYnUwMGJ3Nzc3S3hITElISVNfNVpkZTVUdGtsejVQYnozRjZKdlpXNV9VamZ0Rkc2Y2tocG85bTRmOXZmWm5xcWJMaVdKWlJnal9CelNUS2l2bUdnSGNMb0lUVUJka1Ffa3dkQVF2RHEzbGNkdWNNNWRDMkNKWmt6NlR2aG9YcXhGTEwwbk5VbVZGd0hqOTdYbG9mUHFldVdlRVRMMHM5RXprRlR1MnFFb0czRG44bnB3VVlHOVJiSlZCYV9Bb3o5MVYtTmTSAaYCQVVfeXFMTnZXSVVxaHJnOXVWMFhwWTdRTXRCaW90T3hlQzg2T2hacTI4c3Y1QXZmSlBuUlg5WDlZV1JqNzNzb2t2d01PVTlIRGVmT3U5QldhM2NBdktMN050ZHFBUC15T1JDZngtSlVKeEx3WlJXNmd4LUQtSS03YkZfWTZDN1E0ek9rN0VkdzFjNktNYTdLOERQV2pOeHVNb1JzbUE5MExvSlJTYWZSbWk2ZXM3d3U4MXZjcWRqcmVEMDBNVTQ3OWtwQzVLb2xMb291X0FTUWpNWjBZZ3VwczdnQlh5aGFzZTBqMzhVdFNlV2Nhek93QUxnSGVsN2Q2M29qcXRfOFUtUzV6MHlzTk1RT2pnTXlNUU5MdlJFWG12OHBBeHVxRlB5UTNn?oc=5,2025-04-05 16:32:12,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMioAJBVV95cUxObUFMUnZRYVFSeDRCd3U5UVlMM2Z3WDNlbDE4Yl9pVkJVUEhJMmlPQVdDWkJNRG9YeXVpVWxPcTYwN285OTFFUDRvRmZhQVQwcVEtaWZoRkNCeWpWYnUwMGJ3Nzc3S3hITElISVNfNVpkZTVUdGtsejVQYnozRjZKdlpXNV9VamZ0Rkc2Y2tocG85bTRmOXZmWm5xcWJMaVdKWlJnal9CelNUS2l2bUdnSGNMb0lUVUJka1Ffa3dkQVF2RHEzbGNkdWNNNWRDMkNKWmt6NlR2aG9YcXhGTEwwbk5VbVZGd0hqOTdYbG9mUHFldVdlRVRMMHM5RXprRlR1MnFFb0czRG44bnB3VVlHOVJiSlZCYV9Bb3o5MVYtTmTSAaYCQVVfeXFMTnZXSVVxaHJnOXVWMFhwWTdRTXRCaW90T3hlQzg2T2hacTI4c3Y1QXZmSlBuUlg5WDlZV1JqNzNzb2t2d01PVTlIRGVmT3U5QldhM2NBdktMN050ZHFBUC15T1JDZngtSlVKeEx3WlJXNmd4LUQtSS03YkZfWTZDN1E0ek9rN0VkdzFjNktNYTdLOERQV2pOeHVNb1JzbUE5MExvSlJTYWZSbWk2ZXM3d3U4MXZjcWRqcmVEMDBNVTQ3OWtwQzVLb2xMb291X0FTUWpNWjBZZ3VwczdnQlh5aGFzZTBqMzhVdFNlV2Nhek93QUxnSGVsN2Q2M29qcXRfOFUtUzV6MHlzTk1RT2pnTXlNUU5MdlJFWG12OHBBeHVxRlB5UTNn?oc=5"" target=""_blank"">कल का मौसम 06 April 2025 : उमड़-घुमड़ कर छाएंगे बादल, बारिश के साथ आधी-ओलावृष्टि का खतरा; मौसम विभाग का बड़ा अ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Heatwave,hi
"IMD Issues Heatwave Alert for Bihar, UP & Chhattisgarh, Rainfall Likely in Northeast - upexciseportal.in",https://news.google.com/rss/articles/CBMikwFBVV95cUxPUUVYWU1MSlk2YU9VSEZXZUZ2WHp6eFZHb3dzRy1QaXhOcXpya19sU0JqN1JxOVhTRk8tQnRialdPUUh5OHlwbjF3bGJlRmhmdzFwel9uY1phWlZ3eTZhRnI3REFVN3dnS3JybzlWblZyejh0U1NjUVpOR3ZPMW5Md3pldEFSbjAzRjl3ZmpDWUxGYWs?oc=5,2025-04-05 19:46:00,upexciseportal.in,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPUUVYWU1MSlk2YU9VSEZXZUZ2WHp6eFZHb3dzRy1QaXhOcXpya19sU0JqN1JxOVhTRk8tQnRialdPUUh5OHlwbjF3bGJlRmhmdzFwel9uY1phWlZ3eTZhRnI3REFVN3dnS3JybzlWblZyejh0U1NjUVpOR3ZPMW5Md3pldEFSbjAzRjl3ZmpDWUxGYWs?oc=5"" target=""_blank"">IMD Issues Heatwave Alert for Bihar, UP & Chhattisgarh, Rainfall Likely in Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">upexciseportal.in</font>",Heatwave,en
Heatwave alert over parts of NW India including Delhi until April 8: IMD - Hindustan Times,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNcEd3M3VJMEhHMVZRR1A3ODN2dkljRWU5MWVHYXllaVU4MkNLcEVYRVRKZkZGSUlPRm9zdmY0b21lc3JtVlE5NFM4Q2pKd21UazBXWVNHNDhfbnhVWVRldHZZVVZ4Nld0Z0p2RjFyZ3RlR1pUdThEYjRza2JHTnBnLUVQb1lEcFFPcGZjdmt1MFRoMXNDLVVodmJyR3JrdTdHdnpWT2w0TGlKRUhzYzM3b1UxRzRjcXdYNUZxblpZUzV5MVc0a2p0aTlzSGtWNjI1aEFXMNIB1AFBVV95cUxNcEd3M3VJMEhHMVZRR1A3ODN2dkljRWU5MWVHYXllaVU4MkNLcEVYRVRKZkZGSUlPRm9zdmY0b21lc3JtVlE5NFM4Q2pKd21UazBXWVNHNDhfbnhVWVRldHZZVVZ4Nld0Z0p2RjFyZ3RlR1pUdThEYjRza2JHTnBnLUVQb1lEcFFPcGZjdmt1MFRoMXNDLVVodmJyR3JrdTdHdnpWT2w0TGlKRUhzYzM3b1UxRzRjcXdYNUZxblpZUzV5MVc0a2p0aTlzSGtWNjI1aEFXMA?oc=5,2025-04-05 15:38:02,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNcEd3M3VJMEhHMVZRR1A3ODN2dkljRWU5MWVHYXllaVU4MkNLcEVYRVRKZkZGSUlPRm9zdmY0b21lc3JtVlE5NFM4Q2pKd21UazBXWVNHNDhfbnhVWVRldHZZVVZ4Nld0Z0p2RjFyZ3RlR1pUdThEYjRza2JHTnBnLUVQb1lEcFFPcGZjdmt1MFRoMXNDLVVodmJyR3JrdTdHdnpWT2w0TGlKRUhzYzM3b1UxRzRjcXdYNUZxblpZUzV5MVc0a2p0aTlzSGtWNjI1aEFXMNIB1AFBVV95cUxNcEd3M3VJMEhHMVZRR1A3ODN2dkljRWU5MWVHYXllaVU4MkNLcEVYRVRKZkZGSUlPRm9zdmY0b21lc3JtVlE5NFM4Q2pKd21UazBXWVNHNDhfbnhVWVRldHZZVVZ4Nld0Z0p2RjFyZ3RlR1pUdThEYjRza2JHTnBnLUVQb1lEcFFPcGZjdmt1MFRoMXNDLVVodmJyR3JrdTdHdnpWT2w0TGlKRUhzYzM3b1UxRzRjcXdYNUZxblpZUzV5MVc0a2p0aTlzSGtWNjI1aEFXMA?oc=5"" target=""_blank"">Heatwave alert over parts of NW India including Delhi until April 8: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Delhi-NCR to sizzle at 42°C, heatwave warning issued for next six days - MSN",https://news.google.com/rss/articles/CBMiugFBVV95cUxQblRiWG9HOG1pOWwtU2d5c3R6WFA5TXl4bTdMb25BQk1BME45UWU4aDlXVUE1bHNBTE5jejhoejBqVi1qQWxESk1BZ3p0S3V0Xy1kSW5kdGI3UTlCUDJ0blhYb2lnaWo0cU1SNEVGYmxzQS1kRU9ESVlPYnR2cDh4enAyWDJMMFg1RzVnaHk2TWYtOVVibUN5VWRHczhFVHpzcUVueExxMGY5V19qMThyS1FQbjA4N29zRHc?oc=5,2025-04-06 08:26:23,MSN,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQblRiWG9HOG1pOWwtU2d5c3R6WFA5TXl4bTdMb25BQk1BME45UWU4aDlXVUE1bHNBTE5jejhoejBqVi1qQWxESk1BZ3p0S3V0Xy1kSW5kdGI3UTlCUDJ0blhYb2lnaWo0cU1SNEVGYmxzQS1kRU9ESVlPYnR2cDh4enAyWDJMMFg1RzVnaHk2TWYtOVVibUN5VWRHczhFVHpzcUVueExxMGY5V19qMThyS1FQbjA4N29zRHc?oc=5"" target=""_blank"">Delhi-NCR to sizzle at 42°C, heatwave warning issued for next six days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Weather Update: IMD Issues Heatwave Alerts for Delhi, Rajasthan, and Gujarat; Heavy Rain Forecast in Kerala, Assam, and Andaman - Krishi Jagran",https://news.google.com/rss/articles/CBMi9gFBVV95cUxQV19EVDFITmdNUkNtX3cxNVY2SVItMlVYVV9CSVQ1MF9PQ1BoYUptWXlJRmo3T1JMY19YSjRocm9ianl4ajBoWVpCaDhaQW9yVVVJM1F5ZzBtMDQza3F2dElsNEYza3UxX01CQW4zVnBXdENzbVprZGtSSjRCQkJIZmsyZjVaaUdZVGFYT2FjNWVaZzhOMWZGTC04T0t1VWpBQnRydEhUNlRXTW1hXzVwbkM5Nk5sRDZ2NExyWHRucl9Cdk1SeDN6dzZBcEczcUpNSG5oOG1EQXFDNzZVdjZOczR2REFmWDJLclZsM0pmaWlIdzNLY2c?oc=5,2025-04-06 07:24:57,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxQV19EVDFITmdNUkNtX3cxNVY2SVItMlVYVV9CSVQ1MF9PQ1BoYUptWXlJRmo3T1JMY19YSjRocm9ianl4ajBoWVpCaDhaQW9yVVVJM1F5ZzBtMDQza3F2dElsNEYza3UxX01CQW4zVnBXdENzbVprZGtSSjRCQkJIZmsyZjVaaUdZVGFYT2FjNWVaZzhOMWZGTC04T0t1VWpBQnRydEhUNlRXTW1hXzVwbkM5Nk5sRDZ2NExyWHRucl9Cdk1SeDN6dzZBcEczcUpNSG5oOG1EQXFDNzZVdjZOczR2REFmWDJLclZsM0pmaWlIdzNLY2c?oc=5"" target=""_blank"">Weather Update: IMD Issues Heatwave Alerts for Delhi, Rajasthan, and Gujarat; Heavy Rain Forecast in Kerala, Assam, and Andaman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
Severe Heatwave Alert: IMD Predicts 42°C in Delhi and North India – April 2025 Update - Hindustan Herald,https://news.google.com/rss/articles/CBMibkFVX3lxTFBpN2JmRU9YTHEyUHc5bF9TZHlTVzZ0cV9sSnBmb3d3dGpraDFndXExaDZXYjJsSmY4eEEwWXJOd2l3bE56bHg5OUstaER5NFRfTXhIYU41ZFlJWkF0dTE5LWZ4Q0Rld0Jrdk4wWnZ3?oc=5,2025-04-05 15:06:00,Hindustan Herald,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFBpN2JmRU9YTHEyUHc5bF9TZHlTVzZ0cV9sSnBmb3d3dGpraDFndXExaDZXYjJsSmY4eEEwWXJOd2l3bE56bHg5OUstaER5NFRfTXhIYU41ZFlJWkF0dTE5LWZ4Q0Rld0Jrdk4wWnZ3?oc=5"" target=""_blank"">Severe Heatwave Alert: IMD Predicts 42°C in Delhi and North India – April 2025 Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Herald</font>",Heatwave,en
"North and West India to battle heatwave in coming days while rain drenches South and East, says IMD scientist - MSN",https://news.google.com/rss/articles/CBMi7gFBVV95cUxPbUdySFpyV1ZCQjQtY0cxX2h6Nk9aZ2d5YXNNX2QxS1hFMUNkVWwtVHhSRWhES2RmMnhqS2VmS2pTN1VtSWRLdFFOS0dPY2tCay1GRTFKSjVqdDhaQnlPRVdxZlhCcFlxdFBsdVpYUG1kZkZrUlJITXppQ0pOMkdIM3AxZUhSZjhFLTJqOE1FUE0xbl9SdHlxOWQxV0czRTdvWTZLRWc0X01YME41LVJFaFZvaE13M21lTFYxdnJ5ZlVXQnRxbUlJTE5pNXBPdXdfSjQ2WE5VUmZwNFZveThiSXRqbzBnR0RoMlhORTNR?oc=5,2025-04-05 21:16:15,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxPbUdySFpyV1ZCQjQtY0cxX2h6Nk9aZ2d5YXNNX2QxS1hFMUNkVWwtVHhSRWhES2RmMnhqS2VmS2pTN1VtSWRLdFFOS0dPY2tCay1GRTFKSjVqdDhaQnlPRVdxZlhCcFlxdFBsdVpYUG1kZkZrUlJITXppQ0pOMkdIM3AxZUhSZjhFLTJqOE1FUE0xbl9SdHlxOWQxV0czRTdvWTZLRWc0X01YME41LVJFaFZvaE13M21lTFYxdnJ5ZlVXQnRxbUlJTE5pNXBPdXdfSjQ2WE5VUmZwNFZveThiSXRqbzBnR0RoMlhORTNR?oc=5"" target=""_blank"">North and West India to battle heatwave in coming days while rain drenches South and East, says IMD scientist</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
IMD warns of heatwave conditions in Delhi and these states; temperature to touch 42 degrees - MSN,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOQzlFWkFJRndPVnNORkVjbHhjeWx0Smt6MHNZZnpjck1MYUVUR2NjcFFZUnM2QXFEeXRsSVFYUVcxMFoyLW90QWJrQ1ppN2JiRVFKUGxaNjhmZUFwSlQwZmh6WFRyY1JYdWFjdHp2R0RMdXlmQkptN05XSG1vNGJlNkpYdHRDSi13ZGdpSTZXX0lQUXpsMVh4YW5uTUgzRHpQdGZZTzlBNlk3MUp0U3EyVUNJenJJOEFaZ3RxUkxMUUNjWW5SeDFISHFtQTNwNldYQzQ1Uk5n?oc=5,2025-04-05 11:06:38,MSN,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOQzlFWkFJRndPVnNORkVjbHhjeWx0Smt6MHNZZnpjck1MYUVUR2NjcFFZUnM2QXFEeXRsSVFYUVcxMFoyLW90QWJrQ1ppN2JiRVFKUGxaNjhmZUFwSlQwZmh6WFRyY1JYdWFjdHp2R0RMdXlmQkptN05XSG1vNGJlNkpYdHRDSi13ZGdpSTZXX0lQUXpsMVh4YW5uTUgzRHpQdGZZTzlBNlk3MUp0U3EyVUNJenJJOEFaZ3RxUkxMUUNjWW5SeDFISHFtQTNwNldYQzQ1Uk5n?oc=5"" target=""_blank"">IMD warns of heatwave conditions in Delhi and these states; temperature to touch 42 degrees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Punjab Summers: Temperature likely to clock up to 45°C between THESE dates, intense heatwave from.. - True Scoop News",https://news.google.com/rss/articles/CBMipgFBVV95cUxQUG1CNTZiVXlkM2l0bVpHam1udHhlMk9WNG5mWTVPZlAzYXpUbmEydUFEb1pPdDRJY2kxV1RMSzhNOTAwaFlLU3BsTGZQSHN0WGw1UHVfYVZQN2JzR2hCc1d4R1hEVENpS3dIeUd4NkpZd0VYaGJDR1dXMUZINmJXWnZGaTNFQWpxbUdoMGI2T1g5ZkE5UHNOZjZOaTlVTGt1M2dTYWhn?oc=5,2025-04-05 10:42:13,True Scoop News,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQUG1CNTZiVXlkM2l0bVpHam1udHhlMk9WNG5mWTVPZlAzYXpUbmEydUFEb1pPdDRJY2kxV1RMSzhNOTAwaFlLU3BsTGZQSHN0WGw1UHVfYVZQN2JzR2hCc1d4R1hEVENpS3dIeUd4NkpZd0VYaGJDR1dXMUZINmJXWnZGaTNFQWpxbUdoMGI2T1g5ZkE5UHNOZjZOaTlVTGt1M2dTYWhn?oc=5"" target=""_blank"">Punjab Summers: Temperature likely to clock up to 45°C between THESE dates, intense heatwave from..</a>&nbsp;&nbsp;<font color=""#6f6f6f"">True Scoop News</font>",Heatwave,en
