Title,Link,Date,Source,Summary,Place
Southwest Monsoon Withdrawal Begins; Heavy Rainfall Expected Over These Regions During Next 3-4 Days - NDTV Profit,https://news.google.com/rss/articles/CBMiywFBVV95cUxOUHFJakNneFJqWVpzMXo4MkQ3UW9NbUpZOUpYazdFeVM2a1prNk4xR05TSU01MVV4NGtOUHpfMHZ5bnNkRkJSYzJ1UzJRd3ZwMkhMbzJ5TTBmLW5ZZC1GQThMOHd1UzlPX0JCREY0SnhDOGRvaUZYdUI3NGJhN3p3akVXbnV6TWE4OVdNQ3lhZkN5X3VZN0ptdlVieEZkdjFXR012a0lNdkZiWTdEZ0c5N2t3anUwdU4xSlNhRHhsSGRFcERMdk9oZUJXcw?oc=5,2024-09-23 18:07:08,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOUHFJakNneFJqWVpzMXo4MkQ3UW9NbUpZOUpYazdFeVM2a1prNk4xR05TSU01MVV4NGtOUHpfMHZ5bnNkRkJSYzJ1UzJRd3ZwMkhMbzJ5TTBmLW5ZZC1GQThMOHd1UzlPX0JCREY0SnhDOGRvaUZYdUI3NGJhN3p3akVXbnV6TWE4OVdNQ3lhZkN5X3VZN0ptdlVieEZkdjFXR012a0lNdkZiWTdEZ0c5N2t3anUwdU4xSlNhRHhsSGRFcERMdk9oZUJXcw?oc=5"" target=""_blank"">Southwest Monsoon Withdrawal Begins; Heavy Rainfall Expected Over These Regions During Next 3-4 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",
"Monsoon Update- warning of very heavy rain today in 8 states, check the full forecast - Times Bull",https://news.google.com/rss/articles/CBMizAFBVV95cUxPWDE1NmlGWFNCSkhQQ201Q2FDNmxaU05HOTZlalFCUy0tM29ZNUpkTThKNmd5UENaVUx5c3c4RklPc1dTR2UwQ1VaWFgwT3VmbFZMUWRQeU5wSUVZMWFpS2JHdEFvSE1jemZxQjFHaHlfRnZRRnF6aVlpcmxKX0UzVmdkdlJPVnJtemZLdTNmN2xrenRaUUZjTm1mQVNkZ3kwNXdiTVpPQ014M3JDYVpOMThLcDdxRmtaZ2RqeUR4SU9kTWRtSTRrR1dZVjY?oc=5,2024-09-24 09:15:07,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPWDE1NmlGWFNCSkhQQ201Q2FDNmxaU05HOTZlalFCUy0tM29ZNUpkTThKNmd5UENaVUx5c3c4RklPc1dTR2UwQ1VaWFgwT3VmbFZMUWRQeU5wSUVZMWFpS2JHdEFvSE1jemZxQjFHaHlfRnZRRnF6aVlpcmxKX0UzVmdkdlJPVnJtemZLdTNmN2xrenRaUUZjTm1mQVNkZ3kwNXdiTVpPQ014M3JDYVpOMThLcDdxRmtaZ2RqeUR4SU9kTWRtSTRrR1dZVjY?oc=5"" target=""_blank"">Monsoon Update- warning of very heavy rain today in 8 states, check the full forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Monsoon withdrawal soon, but heavy rains to continue across India: IMD - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2NjMU5UR1VtVXhyOTJuQ1JFQURkRXFuaXU3Y1JXUWVRMjIzRUJxdkFlZGstQjh3ZUNBSjY3TGc4UDRhc3Z0OGxubFNrWDRqSmpuS1JWRGZsRTVSalM4U1NlRlRvdlRLc1ZkOUtXeEFZQ0NqRU9Rdm1mVXEzaEdjRjhodC00ZzV2Nm1yWmlrWU9IaEhScjVBNXlIRXQtUzlZXzUtbHRzN25wRlpnSEtCOU5jMjRQQjg4bl92eFVTT2kwdXZOV2czeGVBNVNqUdIB0wFBVV95cUxNUmhVYWVDajRtYWh1dlFiTU1WUXpYQWhQY24wOGFTWGVnY25UZ2duX1JTTU54aTZYV056a2xZdldyQ1FFdVFUbllIQ0FVUldpUlZzSENRbGNQZXlFLXlpZ29jN3RKa2J5ZGxwajlxcElKTVIzRk5vQlJwME1FSWxUaHpOSHRVZFA3MjNtWHF5MzAxd1hjbFRCcnVFTzdlbWZyWEtmREc4R29wTm5QM19uZ3MtM1RHOGlMRHFoODNBN1A5V1BRcmFfSkxRbFBhQWw4WmVF?oc=5,2024-09-23 16:54:02,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2NjMU5UR1VtVXhyOTJuQ1JFQURkRXFuaXU3Y1JXUWVRMjIzRUJxdkFlZGstQjh3ZUNBSjY3TGc4UDRhc3Z0OGxubFNrWDRqSmpuS1JWRGZsRTVSalM4U1NlRlRvdlRLc1ZkOUtXeEFZQ0NqRU9Rdm1mVXEzaEdjRjhodC00ZzV2Nm1yWmlrWU9IaEhScjVBNXlIRXQtUzlZXzUtbHRzN25wRlpnSEtCOU5jMjRQQjg4bl92eFVTT2kwdXZOV2czeGVBNVNqUdIB0wFBVV95cUxNUmhVYWVDajRtYWh1dlFiTU1WUXpYQWhQY24wOGFTWGVnY25UZ2duX1JTTU54aTZYV056a2xZdldyQ1FFdVFUbllIQ0FVUldpUlZzSENRbGNQZXlFLXlpZ29jN3RKa2J5ZGxwajlxcElKTVIzRk5vQlJwME1FSWxUaHpOSHRVZFA3MjNtWHF5MzAxd1hjbFRCcnVFTzdlbWZyWEtmREc4R29wTm5QM19uZ3MtM1RHOGlMRHFoODNBN1A5V1BRcmFfSkxRbFBhQWw4WmVF?oc=5"" target=""_blank"">Monsoon withdrawal soon, but heavy rains to continue across India: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"After 6-day delay, southwest monsoon withdraws from northwest Rajasthan and Kutch: IMD - The Indian Express",https://news.google.com/rss/articles/CBMiygFBVV95cUxPSnctdzZMb293MGRzZUh6WVhCaEV6ZjBjQU9lWUp0WmtEWnd2MUhMamxRQU9jWk55cWFqY2NmSFB5eHhHdlAwbHlCR0Z4Z3dpUWZXVmtGRTdPM05MdHEyZ0pUbXhxaTVQSnNqdVl0a21CQ3lYTU9NOFF5OHhpWEp4MnAyM3JtbVp5UDJBSW5lcGtJWTRfNWRfVkMzOVU1NTBTMWJxUndDT2pHR1FCdldZVUQtOUpBZEhCdlRNRDB1RlQ1NjVBOGpDbnFB0gHQAUFVX3lxTE5GcTA1OUtmWllRSUZ6VG51THdaVDV4SF9ESWZ1VE9scXhoejM1NXdKb1l3cl8xRjBHTWFNSkQ0ZTJzTW1jSWpsWGhZVkNrNjZCOWFvWkRFWUxjV1NiQkYwQzd6eGdIVE1SUk1oR3M0TkFYR0p5X3NBZlFLUnlNakp1SEcxTnNKVXBqbG9PelBuNElwVFNqdENtNXB3eHVwWTgyRDVYenFTYVQ2bnE3TFlpSmhEUjFKNXZEVFcxSW9pWXI3SUNabGUyczlNNkJBZnU?oc=5,2024-09-23 14:46:11,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPSnctdzZMb293MGRzZUh6WVhCaEV6ZjBjQU9lWUp0WmtEWnd2MUhMamxRQU9jWk55cWFqY2NmSFB5eHhHdlAwbHlCR0Z4Z3dpUWZXVmtGRTdPM05MdHEyZ0pUbXhxaTVQSnNqdVl0a21CQ3lYTU9NOFF5OHhpWEp4MnAyM3JtbVp5UDJBSW5lcGtJWTRfNWRfVkMzOVU1NTBTMWJxUndDT2pHR1FCdldZVUQtOUpBZEhCdlRNRDB1RlQ1NjVBOGpDbnFB0gHQAUFVX3lxTE5GcTA1OUtmWllRSUZ6VG51THdaVDV4SF9ESWZ1VE9scXhoejM1NXdKb1l3cl8xRjBHTWFNSkQ0ZTJzTW1jSWpsWGhZVkNrNjZCOWFvWkRFWUxjV1NiQkYwQzd6eGdIVE1SUk1oR3M0TkFYR0p5X3NBZlFLUnlNakp1SEcxTnNKVXBqbG9PelBuNElwVFNqdENtNXB3eHVwWTgyRDVYenFTYVQ2bnE3TFlpSmhEUjFKNXZEVFcxSW9pWXI3SUNabGUyczlNNkJBZnU?oc=5"" target=""_blank"">After 6-day delay, southwest monsoon withdraws from northwest Rajasthan and Kutch: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
"Monsoon begins retreat from northwest India, despite slow start India records 5% surplus rainfall - Business Today",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPX215WEh5S2w2ejk3Z3FLVW5JOGctSkEyQ0JmcGNPZ21ldGNlcWRnZHhyWlJfTEhsSzg3dUowWVFnQjJVMVA2MVNSSmZ2WXlSTzV6YUdhM2FyYV9FcUg1Q1pFX1JMbDZ1akx0Ty1tb1U0TndFaGg1X0gtbHk0ajlaczFSc1EtOURYdEcwWl9pY0NRUGJHOWZXR3dUdVM4anZlcFp6RmR4Zk9tZzdpbkQyZjdMX3hwRWdsamY5ZkZydHhRQng0TTVzdGo1M0E2V1RUcUloWWRNT25Kby1LUEJ1Y0NRYnJreGtzNkE?oc=5,2024-09-23 18:44:28,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPX215WEh5S2w2ejk3Z3FLVW5JOGctSkEyQ0JmcGNPZ21ldGNlcWRnZHhyWlJfTEhsSzg3dUowWVFnQjJVMVA2MVNSSmZ2WXlSTzV6YUdhM2FyYV9FcUg1Q1pFX1JMbDZ1akx0Ty1tb1U0TndFaGg1X0gtbHk0ajlaczFSc1EtOURYdEcwWl9pY0NRUGJHOWZXR3dUdVM4anZlcFp6RmR4Zk9tZzdpbkQyZjdMX3hwRWdsamY5ZkZydHhRQng0TTVzdGo1M0E2V1RUcUloWWRNT25Kby1LUEJ1Y0NRYnJreGtzNkE?oc=5"" target=""_blank"">Monsoon begins retreat from northwest India, despite slow start India records 5% surplus rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",
"MC Daily Monsoon Tracker: Kharif sowing rises 0.8%, rainfall surplus dries out to 29-day low - Moneycontrol",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOd3phSldOMWdUZC1EUWlWV1Z1RzVVM0pINm5ZRUNoTU9OdEw3RExvVjlyaDlIblBqNDlzS1VXR05peFU1cnRvNHdSZjl5Zm02T24xVmdCTmlqMXRXYzFWcU1WY2psRWtpS1FUb2ZLMC03MHMwWnVOZjY2VDdmZTA5UkRBcC1VS3UtWURvZVFFa3ozNW11cmx3Nk5CWG0tdk5UQUFrVks2OHZodTF0cVRmVzM2RjF4RVIzb1ZQUUpEZ3BxbFU3c25VRE1EcFROT0FwbnhCek9rdVpEUUHSAeABQVVfeXFMTmppNW5xTzlqZ0ZELU1pNTdWZEtHRk5QY051YmI3WS1OOXpiZnh2VThxeDZmOUFJQS1jMXZhM3plQnlDcGlBWmtCUG5jdzhHX1BfX2lpczNKc3VTRURYeTh2V01WUmdlSFc2QkNFYVVwYUZTZHRocHU2RnVfOC1BTEtJQ0Y5SGdNWGJwaGhIMXdwZUhuRUt3NGotV18xNUZJdGJSbmZqN0Itb08xUmNQdkMyVVkxM01YR1dncGlJU0tCVzMxZGNvWHYyTUE1U19sMkJ2UWhKNmt5MFQyNTdEa28?oc=5,2024-09-24 09:02:08,Moneycontrol,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxOd3phSldOMWdUZC1EUWlWV1Z1RzVVM0pINm5ZRUNoTU9OdEw3RExvVjlyaDlIblBqNDlzS1VXR05peFU1cnRvNHdSZjl5Zm02T24xVmdCTmlqMXRXYzFWcU1WY2psRWtpS1FUb2ZLMC03MHMwWnVOZjY2VDdmZTA5UkRBcC1VS3UtWURvZVFFa3ozNW11cmx3Nk5CWG0tdk5UQUFrVks2OHZodTF0cVRmVzM2RjF4RVIzb1ZQUUpEZ3BxbFU3c25VRE1EcFROT0FwbnhCek9rdVpEUUHSAeABQVVfeXFMTmppNW5xTzlqZ0ZELU1pNTdWZEtHRk5QY051YmI3WS1OOXpiZnh2VThxeDZmOUFJQS1jMXZhM3plQnlDcGlBWmtCUG5jdzhHX1BfX2lpczNKc3VTRURYeTh2V01WUmdlSFc2QkNFYVVwYUZTZHRocHU2RnVfOC1BTEtJQ0Y5SGdNWGJwaGhIMXdwZUhuRUt3NGotV18xNUZJdGJSbmZqN0Itb08xUmNQdkMyVVkxM01YR1dncGlJU0tCVzMxZGNvWHYyTUE1U19sMkJ2UWhKNmt5MFQyNTdEa28?oc=5"" target=""_blank"">MC Daily Monsoon Tracker: Kharif sowing rises 0.8%, rainfall surplus dries out to 29-day low</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>",
"Weather Update: IMD Issues Yellow Alert For Mumbai, Southwest Monsoon Withdraws - News24",https://news.google.com/rss/articles/CBMitwFBVV95cUxPNWdYQmNVTXQ5b1hodVVPQTlVbnJuNmdKUVJZZ3JyTTREcUZFbVZYYUtsSHBLZktKaE1JT19WRVg5THp4RjJVb0xtRjZXVF82dnpkYlhqUzFoeTZNZnFFRzQ0d2d6NGJoS3NjTXpzUC0wLXNDNGtYdE0wbUNreExsZlg0TDlyUnZUa1ExY0ZKNzZjdXBqVEFmZThzOFpRSHJBRlNETGRpLU96RjFNUk1IRjJEWkZhMXPSAcgBQVVfeXFMTkN4UzNPQnZjcTBnTFl1S3I5aXhtV2l0cWtpLTRUWWtRQlZXZE90aWdhZlMtclQ2RmR0LVlsNWx3UTRoYjBRMkZmNjUyTmNzUDRaUXpja2RFLS1BU3g5TFdQMVdaUG1pRkZkbXIzUVZWNnd2WTd1QWY3TS14Z2hpREhxSGZKZzRxanNmOG9MQjh4Uk5yMjdvYTY0dFlfY2Q1dElCOTlOcG83SXlpaXVScmtRRXFuNHNqVWl6ZFJzU2pzUzZVRjVXNzM?oc=5,2024-09-24 07:41:02,News24,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPNWdYQmNVTXQ5b1hodVVPQTlVbnJuNmdKUVJZZ3JyTTREcUZFbVZYYUtsSHBLZktKaE1JT19WRVg5THp4RjJVb0xtRjZXVF82dnpkYlhqUzFoeTZNZnFFRzQ0d2d6NGJoS3NjTXpzUC0wLXNDNGtYdE0wbUNreExsZlg0TDlyUnZUa1ExY0ZKNzZjdXBqVEFmZThzOFpRSHJBRlNETGRpLU96RjFNUk1IRjJEWkZhMXPSAcgBQVVfeXFMTkN4UzNPQnZjcTBnTFl1S3I5aXhtV2l0cWtpLTRUWWtRQlZXZE90aWdhZlMtclQ2RmR0LVlsNWx3UTRoYjBRMkZmNjUyTmNzUDRaUXpja2RFLS1BU3g5TFdQMVdaUG1pRkZkbXIzUVZWNnd2WTd1QWY3TS14Z2hpREhxSGZKZzRxanNmOG9MQjh4Uk5yMjdvYTY0dFlfY2Q1dElCOTlOcG83SXlpaXVScmtRRXFuNHNqVWl6ZFJzU2pzUzZVRjVXNzM?oc=5"" target=""_blank"">Weather Update: IMD Issues Yellow Alert For Mumbai, Southwest Monsoon Withdraws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",
"Today’s School Assembly News Headlines (24th September): PM Modi Interacts with Tech Leaders in US, Discusses India's Growth Prospects, IMD Predicts Heavy Rainfall Across India This Week and More - Jagran Josh",https://news.google.com/rss/articles/CBMi8wFBVV95cUxNR242ampfLTFjUEY2aGtEbktUSWEzNXZwM2RNMXVxUS1QdWFfazhqUTlGRWx0VFB6NGZ1ejJhdHhMcHkxY0l0YUNDLXpUQ2pmNlNZTW53MVpHel8wZnRJLUx5SnlqZkM0a1VLV3Fhb0pGWEFDakxIeUE5NXpmOFZwaDd2VV9FQkZVNjQ4Y3U4MGMyaDBYZnBuNkthUGhQNEVHVGR0d0doZjdxMGZOcXdDeFJ1Tm9NQURmelAycEVEaEQ5U1I3T1RNaWdwSkRJT1NPM0ZNQWROS2s3MFZJY2drLWlsdC1TUFRta00tR2lJS1ZZQ1k?oc=5,2024-09-23 17:16:35,Jagran Josh,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxNR242ampfLTFjUEY2aGtEbktUSWEzNXZwM2RNMXVxUS1QdWFfazhqUTlGRWx0VFB6NGZ1ejJhdHhMcHkxY0l0YUNDLXpUQ2pmNlNZTW53MVpHel8wZnRJLUx5SnlqZkM0a1VLV3Fhb0pGWEFDakxIeUE5NXpmOFZwaDd2VV9FQkZVNjQ4Y3U4MGMyaDBYZnBuNkthUGhQNEVHVGR0d0doZjdxMGZOcXdDeFJ1Tm9NQURmelAycEVEaEQ5U1I3T1RNaWdwSkRJT1NPM0ZNQWROS2s3MFZJY2drLWlsdC1TUFRta00tR2lJS1ZZQ1k?oc=5"" target=""_blank"">Today’s School Assembly News Headlines (24th September): PM Modi Interacts with Tech Leaders in US, Discusses India's Growth Prospects, IMD Predicts Heavy Rainfall Across India This Week and More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>",
India's monsoon begins to retreat after delivering surplus rains: IMD - Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxOdE4yQTNZRFN4aHB3TE56YjZHNGtCU3hmYzZvaGtKR3VMNDhFTk4zdk1iRGw3cllEazF4NkhLZEhDZklpRkdma1dXZTRzYTlLY21IMGtyTDVmdjdhd1ZBQzZHR2tLRUI0VXgzd29pb2VzNTM1V05iYzBDaTFOQkh0QnBzSTNmWHByNWJwVWJKRzBPRUs4ZWRnVVZycTJZMzJFREdweTJ0Q29WYkUtTWRHYW8ybnRnZUNTcFYxMHFRQkRfczRTeGxfdjlxNFEzUdIB0wFBVV95cUxNQWo2NGxXY0pHUmZzLW9IN3JjSTZkbDdsNGJKZnZEYlBieWJCLWxEMG45UFJRc1FpSHUtNjE3SGt1dTRGRmNfbGNaelNSTElBeDBkUkhnQ1NranRkeHZOYm53MktLblo1d2J4dG5HTmRjcmRleXN3XzhRMlQ4RmpwTndDV1I1d1llVk93ZVVMQ1BPT1laYTJRR2UyakFQemZzak14M1Q1S1B2T0F6Mjl6Tm1oOWtzRGl0bkdWd3hPdkt6WEozVjJWeHJ4THFnLXp5S1Fn?oc=5,2024-09-23 20:48:22,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdE4yQTNZRFN4aHB3TE56YjZHNGtCU3hmYzZvaGtKR3VMNDhFTk4zdk1iRGw3cllEazF4NkhLZEhDZklpRkdma1dXZTRzYTlLY21IMGtyTDVmdjdhd1ZBQzZHR2tLRUI0VXgzd29pb2VzNTM1V05iYzBDaTFOQkh0QnBzSTNmWHByNWJwVWJKRzBPRUs4ZWRnVVZycTJZMzJFREdweTJ0Q29WYkUtTWRHYW8ybnRnZUNTcFYxMHFRQkRfczRTeGxfdjlxNFEzUdIB0wFBVV95cUxNQWo2NGxXY0pHUmZzLW9IN3JjSTZkbDdsNGJKZnZEYlBieWJCLWxEMG45UFJRc1FpSHUtNjE3SGt1dTRGRmNfbGNaelNSTElBeDBkUkhnQ1NranRkeHZOYm53MktLblo1d2J4dG5HTmRjcmRleXN3XzhRMlQ4RmpwTndDV1I1d1llVk93ZVVMQ1BPT1laYTJRR2UyakFQemZzak14M1Q1S1B2T0F6Mjl6Tm1oOWtzRGl0bkdWd3hPdkt6WEozVjJWeHJ4THFnLXp5S1Fn?oc=5"" target=""_blank"">India's monsoon begins to retreat after delivering surplus rains: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Monsoon Forecast- warning very heavy rains in 9 states in the next 4 days - Times Bull,https://news.google.com/rss/articles/CBMivgFBVV95cUxQTkRad2tPYzJiOHAzbENTUGdsQzd4c1hKQ00zcUNON3dER1hINjk2amxIM3dGMkZKY25oVVZCNElMUmFUZUt3dkxwdGtjUXFGSUxtS1BVeW1vekM1U0dueGxWQ0VXNU5ua0FyX1lJd0VOYURFX2tqLXpGalFlTkJCLTRWbzU2a3VFTm5ld3NfRXlvUW91MkJFa3RoX3ZZbUNhWE1IUWNTaWI1WXc5MkJPZmdKbGRqM2t4bnZtLXBB?oc=5,2024-09-23 18:57:51,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQTkRad2tPYzJiOHAzbENTUGdsQzd4c1hKQ00zcUNON3dER1hINjk2amxIM3dGMkZKY25oVVZCNElMUmFUZUt3dkxwdGtjUXFGSUxtS1BVeW1vekM1U0dueGxWQ0VXNU5ua0FyX1lJd0VOYURFX2tqLXpGalFlTkJCLTRWbzU2a3VFTm5ld3NfRXlvUW91MkJFa3RoX3ZZbUNhWE1IUWNTaWI1WXc5MkJPZmdKbGRqM2t4bnZtLXBB?oc=5"" target=""_blank"">Monsoon Forecast- warning very heavy rains in 9 states in the next 4 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
IMD Weather update: Isolated rainfall predicted in parts of India - Business Standard,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPdnZOa05iTUxkZDhqcHUyTFhQR1dwalZDdVpwTDEyZzVaSkd1MWxwSEh0Tk9lM2J2RmhZa1FWVFFiVmVDSmJXRTVkUEQwUHl6eGxKS2plVjBOcklwaXgyTXFKZEEwb0FZbE5kV2dhQjl6WjVHbkprOVhxUlNuRWlaNHZtRUJrd2g1RXpnaUpBSE94ZUVXXzdOTGhya1JrdW13TGliYXVGNDUyQktGQXUtT3lXRjE2QVg2dXZJMkhQdTFTNGQ4eWJPQdIBzgFBVV95cUxPcHFSczlwVk05aHhHT25PaThENG5JbE9ERlRrNVp5eklGVnRfWHRRdlVBejJaNDV1U2hRa3JZVF8tVVpoWXpONEczTFdiNnZ3YlpjQ0swMXU0OFF6eTZJOUsySUt4Mi1yazdSUFBhMlowQ0QzaWJEUXd1cUFfSGdDamRhWjdSRUo0SUVwd0JaZEJ6WDByQUdDMG5URExyUDVqcUlYaWtzOWtQdkJ0cDJXUUJ2cDdWM2hjcmVvbXNEaGVBcVJYc0FjRnNVaGxNdw?oc=5,2024-09-23 14:10:07,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPdnZOa05iTUxkZDhqcHUyTFhQR1dwalZDdVpwTDEyZzVaSkd1MWxwSEh0Tk9lM2J2RmhZa1FWVFFiVmVDSmJXRTVkUEQwUHl6eGxKS2plVjBOcklwaXgyTXFKZEEwb0FZbE5kV2dhQjl6WjVHbkprOVhxUlNuRWlaNHZtRUJrd2g1RXpnaUpBSE94ZUVXXzdOTGhya1JrdW13TGliYXVGNDUyQktGQXUtT3lXRjE2QVg2dXZJMkhQdTFTNGQ4eWJPQdIBzgFBVV95cUxPcHFSczlwVk05aHhHT25PaThENG5JbE9ERlRrNVp5eklGVnRfWHRRdlVBejJaNDV1U2hRa3JZVF8tVVpoWXpONEczTFdiNnZ3YlpjQ0swMXU0OFF6eTZJOUsySUt4Mi1yazdSUFBhMlowQ0QzaWJEUXd1cUFfSGdDamRhWjdSRUo0SUVwd0JaZEJ6WDByQUdDMG5URExyUDVqcUlYaWtzOWtQdkJ0cDJXUUJ2cDdWM2hjcmVvbXNEaGVBcVJYc0FjRnNVaGxNdw?oc=5"" target=""_blank"">IMD Weather update: Isolated rainfall predicted in parts of India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
