Title,Link,Date,Source,Summary,Place
"Nepal floods and landslides kill at least 66 people, 69 missing - Reuters",https://news.google.com/rss/articles/CBMivwFBVV95cUxPNEtGWTVZMFdhazNPc016STRDTkhGUVVKRjlza0hlaG5COGFXRkJ1a1kzbTB4ZWxzcXM3eWIwZmJXNTZFeTJweExydnhzWE5RWWZLUDRLZG5raVhNaEt5clR6UENBUVg0UklxNWIyTnFrUFdGT3dHa1R2VHE3Y0diVGlRQnJIYlBXbGVBRExIYXI0d3lZUmJwdVFnM2poYV9hVlBGQlhmMWwyUmJaelptTzRLR0hRdUF0dDRrbjRzRQ?oc=5,2024-09-28 21:28:20,Reuters,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPNEtGWTVZMFdhazNPc016STRDTkhGUVVKRjlza0hlaG5COGFXRkJ1a1kzbTB4ZWxzcXM3eWIwZmJXNTZFeTJweExydnhzWE5RWWZLUDRLZG5raVhNaEt5clR6UENBUVg0UklxNWIyTnFrUFdGT3dHa1R2VHE3Y0diVGlRQnJIYlBXbGVBRExIYXI0d3lZUmJwdVFnM2poYV9hVlBGQlhmMWwyUmJaelptTzRLR0hRdUF0dDRrbjRzRQ?oc=5"" target=""_blank"">Nepal floods and landslides kill at least 66 people, 69 missing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",
101 dead in Nepal floods after relentless monsoon rains - The Hindu,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOclpfYmVlbVFRcGwyOG5YSHNrZHZlRzlPdUpqWEJxMWRvWGdoaFYzRnZ0andQMjM2eTNaSU9lZUdMM1B2bTZDeEp0eGlYUE5PTldYUnM1azRrWVdBSV9sUlItWTUtWkx1ZzZqNU1UU2V6b3RIVHJJQkF2MEJOdl9VR0tNVi1UQUtPSWRxc1BUYXlxMnFwSnFhTXQ5d055WFg1UGo0bmpHUWNBaEhxRGNTbWJRcnRSMmFpZ1VR0gHCAUFVX3lxTE9nWUtENlFJalVWOHFHdjhtS1oxakxfcWpsdUtHRDh2UUQxNFlHVXNyRTA0VWVJRFNFOExFWG1ldkNFMjUyWllxR3NPZlJNTmpsLThQNkE1SlRmV2NKdWxPbjdQZlRaQVNHWWpITEtjWjJFN2FSVlVCNXlfVjBHcllYMW83eGgtLVk5b0psRUhtMzI3QUFRU04zUFNLcjFicmtfSGN5czZYcC1hRVhZZGxQUlUzRkZEeGljQ2tfXzloTWhn?oc=5,2024-09-29 09:45:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOclpfYmVlbVFRcGwyOG5YSHNrZHZlRzlPdUpqWEJxMWRvWGdoaFYzRnZ0andQMjM2eTNaSU9lZUdMM1B2bTZDeEp0eGlYUE5PTldYUnM1azRrWVdBSV9sUlItWTUtWkx1ZzZqNU1UU2V6b3RIVHJJQkF2MEJOdl9VR0tNVi1UQUtPSWRxc1BUYXlxMnFwSnFhTXQ5d055WFg1UGo0bmpHUWNBaEhxRGNTbWJRcnRSMmFpZ1VR0gHCAUFVX3lxTE9nWUtENlFJalVWOHFHdjhtS1oxakxfcWpsdUtHRDh2UUQxNFlHVXNyRTA0VWVJRFNFOExFWG1ldkNFMjUyWllxR3NPZlJNTmpsLThQNkE1SlRmV2NKdWxPbjdQZlRaQVNHWWpITEtjWjJFN2FSVlVCNXlfVjBHcllYMW83eGgtLVk5b0psRUhtMzI3QUFRU04zUFNLcjFicmtfSGN5czZYcC1hRVhZZGxQUlUzRkZEeGljQ2tfXzloTWhn?oc=5"" target=""_blank"">101 dead in Nepal floods after relentless monsoon rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
Flash Floods Devastate 13.5 Lakh Lives Across 12 Districts of Bihar; Heavy Rains to Continue on September 28 - The Weather Channel,https://news.google.com/rss/articles/CBMivwFBVV95cUxQYm5vM01rMm1GTWhwNmdMcTRLVmdsYzFZUTZuaDhib2NxaVNuaUhhNVE0VnVKRFFEQ0YwOHBRMDJDMk5WWktnNElZNXNMUmItNGFrQjdxRmN6OVBEelg4XzB3LW1hOHp6dXFGVlBhRElXMEloZ090SGN6d2xDclhNQlJJZE9xQVdfTWdTMk9BT3V6amtTUmstalQ2bjJqM3BLTDl4Ukp0bTJNN3BPenBnQ0Itd2FqS3o3bWpBU0xUUQ?oc=5,2024-09-28 13:21:38,The Weather Channel,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQYm5vM01rMm1GTWhwNmdMcTRLVmdsYzFZUTZuaDhib2NxaVNuaUhhNVE0VnVKRFFEQ0YwOHBRMDJDMk5WWktnNElZNXNMUmItNGFrQjdxRmN6OVBEelg4XzB3LW1hOHp6dXFGVlBhRElXMEloZ090SGN6d2xDclhNQlJJZE9xQVdfTWdTMk9BT3V6amtTUmstalQ2bjJqM3BLTDl4Ukp0bTJNN3BPenBnQ0Itd2FqS3o3bWpBU0xUUQ?oc=5"" target=""_blank"">Flash Floods Devastate 13.5 Lakh Lives Across 12 Districts of Bihar; Heavy Rains to Continue on September 28</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Weather Channel</font>",
"At least 38 people killed, 29 missing in Nepal floods and landslides - Al Jazeera English",https://news.google.com/rss/articles/CBMimgFBVV95cUxQMERJQ0VQaWlDX1EwWm1PUm5POTF1dzdHVHlmV0tqdy1xZUN4Wm5SaDQ3d3lDUVJNR2FmQjEzUllzVlJPY2Z0LV8xVGM5SW5MMENtc0hoVUE1M0EycFhhMjl2V2VFR1I1Tm1Md0EzX0FKaElyQVp1akhYZ29uaDVueUZQd1pFVGExcldPc281akJDdTZjT2gxSHNB0gGfAUFVX3lxTE1kYk5tck02X0dDd01ESlJfNkN4eUVNVEtZYm15ejI2d2ZtbklXLXgwR2Z4SnI3NTRLWDZWT3FrNzZQLUtvdnhsc2pTVEg2Z2o5QlN6WHVyb01oaFVYQVhmdVR1cDhLQkdmSERuNElLZ2xSVzVadmJYQ2VwbXl3d0ZzaXpUanEtQWFEREp5QlVQanZGd1Z0Rk1Gc2FaRTUtVQ?oc=5,2024-09-28 14:58:21,Al Jazeera English,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQMERJQ0VQaWlDX1EwWm1PUm5POTF1dzdHVHlmV0tqdy1xZUN4Wm5SaDQ3d3lDUVJNR2FmQjEzUllzVlJPY2Z0LV8xVGM5SW5MMENtc0hoVUE1M0EycFhhMjl2V2VFR1I1Tm1Md0EzX0FKaElyQVp1akhYZ29uaDVueUZQd1pFVGExcldPc281akJDdTZjT2gxSHNB0gGfAUFVX3lxTE1kYk5tck02X0dDd01ESlJfNkN4eUVNVEtZYm15ejI2d2ZtbklXLXgwR2Z4SnI3NTRLWDZWT3FrNzZQLUtvdnhsc2pTVEg2Z2o5QlN6WHVyb01oaFVYQVhmdVR1cDhLQkdmSERuNElLZ2xSVzVadmJYQ2VwbXl3d0ZzaXpUanEtQWFEREp5QlVQanZGd1Z0Rk1Gc2FaRTUtVQ?oc=5"" target=""_blank"">At least 38 people killed, 29 missing in Nepal floods and landslides</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font>",
India records above-normal rainfall in June-September - The New Indian Express,https://news.google.com/rss/articles/CBMitwFBVV95cUxQMWg2MHdXZy1yamVzNktVTzRLZ1VfOXRIbkFHcThUZUJXcEF5aWlmdnB5ZFRrYXVJaHROYlVhRE5PMVZ3aUpKeW1SUVV0NlZnbVl1Y2hfdEM1TDRtRXRSRUxfYThCQjRCY0ttUklhb0U3ZWVfUFYxcENYXzZmNzNaemhoMlYyT3RFLURYOVFZdTlORlQ3V2VJTVhwbUxnQnFUUWNtZlZlWnN6bkU0VFNnMVhiMGRWR2fSAcQBQVVfeXFMTTdST3oya1AzU1hURTBFd3hubWlLTWk4UHFBXzNCVEV4NldLbkxkZjJMX3p6VlA0d3hnbnd3QzRjcWQ2OWI2RVh2SmtHZzlDd0xlcEpXWkZXY2JnVERJT3NndXhKZGRVSWZ3TjdPM3lnQko5R1VBSGtrZmZRbEZBX0duSnp0aVZudlJYTkpXc09naklfNFpNUzZEVHZ3WGQ4R1Q3X0pUaUxOdHc3a1p6S291QnU1VGlRZlE5SlBIUlNsU1NXVQ?oc=5,2024-09-29 08:01:50,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQMWg2MHdXZy1yamVzNktVTzRLZ1VfOXRIbkFHcThUZUJXcEF5aWlmdnB5ZFRrYXVJaHROYlVhRE5PMVZ3aUpKeW1SUVV0NlZnbVl1Y2hfdEM1TDRtRXRSRUxfYThCQjRCY0ttUklhb0U3ZWVfUFYxcENYXzZmNzNaemhoMlYyT3RFLURYOVFZdTlORlQ3V2VJTVhwbUxnQnFUUWNtZlZlWnN6bkU0VFNnMVhiMGRWR2fSAcQBQVVfeXFMTTdST3oya1AzU1hURTBFd3hubWlLTWk4UHFBXzNCVEV4NldLbkxkZjJMX3p6VlA0d3hnbnd3QzRjcWQ2OWI2RVh2SmtHZzlDd0xlcEpXWkZXY2JnVERJT3NndXhKZGRVSWZ3TjdPM3lnQko5R1VBSGtrZmZRbEZBX0duSnp0aVZudlJYTkpXc09naklfNFpNUzZEVHZ3WGQ4R1Q3X0pUaUxOdHc3a1p6S291QnU1VGlRZlE5SlBIUlNsU1NXVQ?oc=5"" target=""_blank"">India records above-normal rainfall in June-September</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Spectre of floods over Bihar after highest discharge of water from barrages on Kosi, Gandak since 1968, 2003 respectively - Down To Earth Magazine",https://news.google.com/rss/articles/CBMi_AFBVV95cUxNY24yd3ZIS1RwWjNROXNFNUgtYkpoRWVmekRFWktqZTkta3FMY3RtdEtyNjQ4ZDhjbEhnSkRuNFIzZXZEWUJCd00weUEwWmpfZVVHdEVPOGRmOUJMcXFueVNlYlViRGU0NHpaN1hhVTBKSGV2OEZ3NFpzT3lKRk1IOUJFcWpOVWF5dVEyT3d4TTR0Z0VIRkRMZmJGcXJIWVo5b2FvWXhyZDF5LTNwN3JJZkU5RmMzOG9hNjZWdGtfblozdkVPb1A2dGlNaXZvNjlJb2s1SHJ5akVUOVF4TExPSkhsaTlrOE5oQjQ5Nm4wTThGUkhPSVNwSUg1bjPSAYoCQVVfeXFMTjZGblFEVENaUzlWWjh1ejNRVHRFTFRONmFKYm5uTU5JUGFWeGg0XzEwRnFvb2NBTEN6R3Q0NC1pbkYtcVZrWWkxTm9Oc2JsUUJPa0ZjMzI3a2ZZTW00OTdxbWh4aWNHYUU2S2V5VU9QcmhnSjJMZE5Yc0FuVGVCcFF2aTlub2dlSFl5NFlyYlFZM1RmSlJDakZDMWwtM2Q5UUc3c2Jzb3RoWklfTU5oZEczNnpQc0VIVDNOSTdoRUxYX2RxSDRaWmRNYzlZa0JsSDJqT2Nmd05zU2R0aTROb21pSW93emQxd005M1k1TTdfaXhEREJLbUY2VXdIVHQ1QkZWWDB4Wlg0akE?oc=5,2024-09-29 03:01:01,Down To Earth Magazine,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNY24yd3ZIS1RwWjNROXNFNUgtYkpoRWVmekRFWktqZTkta3FMY3RtdEtyNjQ4ZDhjbEhnSkRuNFIzZXZEWUJCd00weUEwWmpfZVVHdEVPOGRmOUJMcXFueVNlYlViRGU0NHpaN1hhVTBKSGV2OEZ3NFpzT3lKRk1IOUJFcWpOVWF5dVEyT3d4TTR0Z0VIRkRMZmJGcXJIWVo5b2FvWXhyZDF5LTNwN3JJZkU5RmMzOG9hNjZWdGtfblozdkVPb1A2dGlNaXZvNjlJb2s1SHJ5akVUOVF4TExPSkhsaTlrOE5oQjQ5Nm4wTThGUkhPSVNwSUg1bjPSAYoCQVVfeXFMTjZGblFEVENaUzlWWjh1ejNRVHRFTFRONmFKYm5uTU5JUGFWeGg0XzEwRnFvb2NBTEN6R3Q0NC1pbkYtcVZrWWkxTm9Oc2JsUUJPa0ZjMzI3a2ZZTW00OTdxbWh4aWNHYUU2S2V5VU9QcmhnSjJMZE5Yc0FuVGVCcFF2aTlub2dlSFl5NFlyYlFZM1RmSlJDakZDMWwtM2Q5UUc3c2Jzb3RoWklfTU5oZEczNnpQc0VIVDNOSTdoRUxYX2RxSDRaWmRNYzlZa0JsSDJqT2Nmd05zU2R0aTROb21pSW93emQxd005M1k1TTdfaXhEREJLbUY2VXdIVHQ1QkZWWDB4Wlg0akE?oc=5"" target=""_blank"">Spectre of floods over Bihar after highest discharge of water from barrages on Kosi, Gandak since 1968, 2003 respectively</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth Magazine</font>",
Flood alert in Bihar following heavy discharge of water from Birpur barrage - Business Standard,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOMllHWEJxajNMNEJveXZxZHFfVVRaSnFybE5ubjB0akRQNFVzRDktVjNuX2VfWWEyY2d3b01QWTNkb1FoaXU3NWV0YURKTDNyOFQ5cW11cWVFRzJQczhURm8zdVZkbmdzU0haQmNBZzJBbXZLQmRjNTluakZhNmZKVko0SFlEQTRJRXd3LXU3dHIzNllIbXJ1MGRFbElwaktRUlYzTFgwZ1ZQano3WFkzamV2MTNjMHY4T1hpNFRnbnpHU3BzSno3b0lTb1Y1NzJFNTE4d24yZ9IB3AFBVV95cUxNRUZoLUYwMXVHRUFpRE9mWHVad1VpWUxpREE5QS1PTkM1djRCZDVjMHBlR2FyLWx2cERsWkVrV1dIejVpRTB4TkpxR0ZNTi1aMDlGVzNBbWw1VWd2OTJEUEV1WGIxQUZITGh4RGdZXzN0MTFDMVBFWTBOXzZ1ek1GSEdWYTJiR1JObnYwTzNSaHltMm9Ncy13RDZXeG1tZmpIbTRpVUFGQ3VXSE1TM1Q0S19vY3plWEtiak9lRG9TYWhYNXJidGNjSWpSenVCYlBBeUpQM1BLY2tnZVZu?oc=5,2024-09-29 09:16:11,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOMllHWEJxajNMNEJveXZxZHFfVVRaSnFybE5ubjB0akRQNFVzRDktVjNuX2VfWWEyY2d3b01QWTNkb1FoaXU3NWV0YURKTDNyOFQ5cW11cWVFRzJQczhURm8zdVZkbmdzU0haQmNBZzJBbXZLQmRjNTluakZhNmZKVko0SFlEQTRJRXd3LXU3dHIzNllIbXJ1MGRFbElwaktRUlYzTFgwZ1ZQano3WFkzamV2MTNjMHY4T1hpNFRnbnpHU3BzSno3b0lTb1Y1NzJFNTE4d24yZ9IB3AFBVV95cUxNRUZoLUYwMXVHRUFpRE9mWHVad1VpWUxpREE5QS1PTkM1djRCZDVjMHBlR2FyLWx2cERsWkVrV1dIejVpRTB4TkpxR0ZNTi1aMDlGVzNBbWw1VWd2OTJEUEV1WGIxQUZITGh4RGdZXzN0MTFDMVBFWTBOXzZ1ek1GSEdWYTJiR1JObnYwTzNSaHltMm9Ncy13RDZXeG1tZmpIbTRpVUFGQ3VXSE1TM1Q0S19vY3plWEtiak9lRG9TYWhYNXJidGNjSWpSenVCYlBBeUpQM1BLY2tnZVZu?oc=5"" target=""_blank"">Flood alert in Bihar following heavy discharge of water from Birpur barrage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Nepal: Flood in Kathmandu kills 32, 12 missing - The Financial Express",https://news.google.com/rss/articles/CBMisgFBVV95cUxQSV9RYmJ0V3ExSnFYckdWWHJJdEhVbWVCNGxid1hLbUR1XzVmYnZ3WGdVbkNYUk5uUnN1R0NUcnhsb09pV2xOekp6VGZSUkNtRzNYRTNodWJJQ2RyTmp2b2NqZThDLWo1OU9BSHBrcTJ3andFLXEwZUJSVUtKZ1VKb3pDSU9JWTl6elc5czJ1Z3FSS2pyYkg4MG9Mamk0d203UzhTUnVQWEJFTWtDVzFSNkNn0gG4AUFVX3lxTE9BRzRLU2gwRUpQNElaMjVkWmlXYWJZVk9yaFpMRFV2SjlyM1VEQ1pPVV9FeTBLcjV1VTRIeEpTa2lMWkN1TVExWFZaVndSRmdNaWR6WWR3bHIyMkVibjZnd3lJOGN1RVRDSkhOQ3ViYzF4RTlFUVR2VXdUVTB2bmhPZWxTanBVQzRGeks1ZXV4TW5kMXVob1BjTzhkbVdpb2V5RnR2eHpHbHpXWTN3d1RXXzNTeFFxU0I?oc=5,2024-09-28 15:37:11,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQSV9RYmJ0V3ExSnFYckdWWHJJdEhVbWVCNGxid1hLbUR1XzVmYnZ3WGdVbkNYUk5uUnN1R0NUcnhsb09pV2xOekp6VGZSUkNtRzNYRTNodWJJQ2RyTmp2b2NqZThDLWo1OU9BSHBrcTJ3andFLXEwZUJSVUtKZ1VKb3pDSU9JWTl6elc5czJ1Z3FSS2pyYkg4MG9Mamk0d203UzhTUnVQWEJFTWtDVzFSNkNn0gG4AUFVX3lxTE9BRzRLU2gwRUpQNElaMjVkWmlXYWJZVk9yaFpMRFV2SjlyM1VEQ1pPVV9FeTBLcjV1VTRIeEpTa2lMWkN1TVExWFZaVndSRmdNaWR6WWR3bHIyMkVibjZnd3lJOGN1RVRDSkhOQ3ViYzF4RTlFUVR2VXdUVTB2bmhPZWxTanBVQzRGeks1ZXV4TW5kMXVob1BjTzhkbVdpb2V5RnR2eHpHbHpXWTN3d1RXXzNTeFFxU0I?oc=5"" target=""_blank"">Nepal: Flood in Kathmandu kills 32, 12 missing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
"Flood alert in Bihar after release of water from Valmikinagar, Birpur barrages - Moneycontrol",https://news.google.com/rss/articles/CBMiywFBVV95cUxQeUF5NnVHU3RqazFBNHVEU3VFczg1NlF1dmt3X2Q3VkI1emNfU0RHc2VzNEtwMmVWS05fUGFrc21Wa0pQVnVPbDQ3bDZrUlB2bmVHbXFpbWpLR2JtQ3JKbkY1cE91VHRKS1ZWV3dZTjhZYkZpQzQxMGdTSVRoeTVpYkxTZ0RGR1lwUUpQMUJEb0RvalM0d0VHOUlRTFI4ckJyaVVzb0J3LUdhelozT3Z1N2pldVhoYTlvTTY2aHZLVFBMQjJ5TkNCZmJfTdIB0AFBVV95cUxNdnF6UUdFTTUyT2xfMXI2YlVxNEJLdjZVTGFBUnE3V2NUNHItYVhqejR1Q09BWUhSNU9uV0dJQVJUR28zdkV6YldjVFdmZDlFOXVSODdBY0xfOGJDaFBKU1VtV1RzVmswd2ZnQW9EOUotSXVtM3VYOHFCLXpKNkdPN2JtSTBMZUp3d0gwSHJqNU13VWFOMm9MaEl0QS1hWWlzcEVodkVHY0NJNjM0SmNNczlYMnNmNlV3WUdZYjNzVnRFRncxaWVIRXpNQU9QbjRD?oc=5,2024-09-28 15:04:07,Moneycontrol,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQeUF5NnVHU3RqazFBNHVEU3VFczg1NlF1dmt3X2Q3VkI1emNfU0RHc2VzNEtwMmVWS05fUGFrc21Wa0pQVnVPbDQ3bDZrUlB2bmVHbXFpbWpLR2JtQ3JKbkY1cE91VHRKS1ZWV3dZTjhZYkZpQzQxMGdTSVRoeTVpYkxTZ0RGR1lwUUpQMUJEb0RvalM0d0VHOUlRTFI4ckJyaVVzb0J3LUdhelozT3Z1N2pldVhoYTlvTTY2aHZLVFBMQjJ5TkNCZmJfTdIB0AFBVV95cUxNdnF6UUdFTTUyT2xfMXI2YlVxNEJLdjZVTGFBUnE3V2NUNHItYVhqejR1Q09BWUhSNU9uV0dJQVJUR28zdkV6YldjVFdmZDlFOXVSODdBY0xfOGJDaFBKU1VtV1RzVmswd2ZnQW9EOUotSXVtM3VYOHFCLXpKNkdPN2JtSTBMZUp3d0gwSHJqNU13VWFOMm9MaEl0QS1hWWlzcEVodkVHY0NJNjM0SmNNczlYMnNmNlV3WUdZYjNzVnRFRncxaWVIRXpNQU9QbjRD?oc=5"" target=""_blank"">Flood alert in Bihar after release of water from Valmikinagar, Birpur barrages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>",
"Weather, Rain Live Updates: Flash floods alert in Bihar; heavy rain lashes parts of Himachal, Rajasthan, Madhya Pradesh - The Financial Express",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQazBFX0RmOUFGOHQ3aktvY0pCalVzYVBiak5acTJkNkJZazFrV2ZlVTBocjlIa2hpQ1RmNWRVLWlTY1ZWUlVMaFB1Qm9YVUZhQkhLa2pXTTlWZVR5OE85TlplWXRqRTNfR004dXY5S3ZXZkpfeldOUk1KUXJTa3JBbTgteTU0RGJWSWJjZUItQWlXWnAyejR4STNMOTh3ZjlaWXVpWEtGWjA1SHNTWGZPRlR0UmxUcXN4dUxQZXRyeTQ5T2d0b1FlNG5wczZJWEFNaHVyaXdMRF9abjNDSDZDQjhB0gHoAUFVX3lxTE5CNVhzOGlfN3lqWEk3ejZLcWU2aGNyTFpDNDVRSTZsWTl1OGVURTNOUU1ZWXA5cnJhamN6QU9lendzN3RvZ05HQU5iMFRvRHZEbXc0RHl0Vmk5LVdMblZ2SVpydjRTOTEycngyZTB0dTltRV9MUGgtQ0RLWGtzVkpUdUF3c1Rkd25EU2RHU3BjYlZmVTVVaHFVRmpiMHpjdWZ6ZTFSc3BZLU5aQ0U4VmhQTFdvc3ZtdjZoV3Btcm11QTFNS0VPRDI0ODJfbGw3Vm9xemJEZjlfRHhKUmJHWnprSDM5VTlab1E?oc=5,2024-09-28 23:57:10,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQazBFX0RmOUFGOHQ3aktvY0pCalVzYVBiak5acTJkNkJZazFrV2ZlVTBocjlIa2hpQ1RmNWRVLWlTY1ZWUlVMaFB1Qm9YVUZhQkhLa2pXTTlWZVR5OE85TlplWXRqRTNfR004dXY5S3ZXZkpfeldOUk1KUXJTa3JBbTgteTU0RGJWSWJjZUItQWlXWnAyejR4STNMOTh3ZjlaWXVpWEtGWjA1SHNTWGZPRlR0UmxUcXN4dUxQZXRyeTQ5T2d0b1FlNG5wczZJWEFNaHVyaXdMRF9abjNDSDZDQjhB0gHoAUFVX3lxTE5CNVhzOGlfN3lqWEk3ejZLcWU2aGNyTFpDNDVRSTZsWTl1OGVURTNOUU1ZWXA5cnJhamN6QU9lendzN3RvZ05HQU5iMFRvRHZEbXc0RHl0Vmk5LVdMblZ2SVpydjRTOTEycngyZTB0dTltRV9MUGgtQ0RLWGtzVkpUdUF3c1Rkd25EU2RHU3BjYlZmVTVVaHFVRmpiMHpjdWZ6ZTFSc3BZLU5aQ0U4VmhQTFdvc3ZtdjZoV3Btcm11QTFNS0VPRDI0ODJfbGw3Vm9xemJEZjlfRHhKUmJHWnprSDM5VTlab1E?oc=5"" target=""_blank"">Weather, Rain Live Updates: Flash floods alert in Bihar; heavy rain lashes parts of Himachal, Rajasthan, Madhya Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
