Title,Link,Date,Source,Summary,Term,LanguageQueried
"MP में भोपाल समेत 30 जिलों में बारिश-आंधी का अलर्ट, ग्वालियर-जबलपुर में शुरू हुई तेज गर्मी - Zee News",https://news.google.com/rss/articles/CBMikAJBVV95cUxQVkZxVVpzV0tEMGVPQmVORzQ5cENNWEtQRWJFQkJuZHpBSW80WllLdElTcU16Nkc1SXZnaFh2NGsyelNibW1pbWtHX1dLNWliblQtZTZrcXdyNXFtaHdJWnplakwwYlRiNVBJQVJYR0wxR0kwUWpYaDJTRlloMzZVQ3IwSUtzbDhsZ2w4QVZYRHVuX0xPcUIyNjBPX3Y0dTMxNGFkRkRjaWtaMGZ3ZFIyVXRoZHVQY21RTFdQY0VnT29kOEFVTGRhX0dod0dPTEE0a2FrZ1hQOWdxNnJKSUZNRUhqZ1hBSVFocGdPaWZobFZiU01oakxwWk1VNldYXzg1bEozZFEwYlVBejUxcFNkadIBlgJBVV95cUxOT2YzVTJlZzZHMGthUkR0ZHREMDdVLVRrekZ5UF9fbjZrZHg3R0VPcy11WEFpbXNsUk0wbTgyOW9nT3dFZDMtQ19pamxQc2ZhaG9ubldPRno3WURaSG9ibE5SZFhYTlFvZ2xEU0c3QjZhSTRmeUM1YTVZeW5oRmo2NXJlMWxLS0dPc1pwUDJZclo4bFZFaTVra0pwQ1JXZHpZUzJobS1UWGVQamlmQjVkQjRvaGYya2xYaUxJaDdXNkU1NGROZlJrMERHdlBkeGFPNmpodTZwSWNwSXV2b25IVklIZWpPNmZVYmV0SFpUMmVUenFFNVloaDNjd0hXdUdUZDBRY1g3b0NzVnFOeFloSnlESHQ3Zw?oc=5,2025-05-14 08:08:35,Zee News,"<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxQVkZxVVpzV0tEMGVPQmVORzQ5cENNWEtQRWJFQkJuZHpBSW80WllLdElTcU16Nkc1SXZnaFh2NGsyelNibW1pbWtHX1dLNWliblQtZTZrcXdyNXFtaHdJWnplakwwYlRiNVBJQVJYR0wxR0kwUWpYaDJTRlloMzZVQ3IwSUtzbDhsZ2w4QVZYRHVuX0xPcUIyNjBPX3Y0dTMxNGFkRkRjaWtaMGZ3ZFIyVXRoZHVQY21RTFdQY0VnT29kOEFVTGRhX0dod0dPTEE0a2FrZ1hQOWdxNnJKSUZNRUhqZ1hBSVFocGdPaWZobFZiU01oakxwWk1VNldYXzg1bEozZFEwYlVBejUxcFNkadIBlgJBVV95cUxOT2YzVTJlZzZHMGthUkR0ZHREMDdVLVRrekZ5UF9fbjZrZHg3R0VPcy11WEFpbXNsUk0wbTgyOW9nT3dFZDMtQ19pamxQc2ZhaG9ubldPRno3WURaSG9ibE5SZFhYTlFvZ2xEU0c3QjZhSTRmeUM1YTVZeW5oRmo2NXJlMWxLS0dPc1pwUDJZclo4bFZFaTVra0pwQ1JXZHpZUzJobS1UWGVQamlmQjVkQjRvaGYya2xYaUxJaDdXNkU1NGROZlJrMERHdlBkeGFPNmpodTZwSWNwSXV2b25IVklIZWpPNmZVYmV0SFpUMmVUenFFNVloaDNjd0hXdUdUZDBRY1g3b0NzVnFOeFloSnlESHQ3Zw?oc=5"" target=""_blank"">MP में भोपाल समेत 30 जिलों में बारिश-आंधी का अलर्ट, ग्वालियर-जबलपुर में शुरू हुई तेज गर्मी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,hi
"CG Weather Update : गर्मी से मिलेगी राहत, अगले 5 दिनों तक बारिश-आंधी की संभावना - Lalluram",https://news.google.com/rss/articles/CBMipAFBVV95cUxQZjFscE9lLTV0Z3lfOEhYenNyNW9Ed1JjZVh0UU1Zd2JIb2VwMFdlVXhzd0xtRUFVOFVXVmlUMWhVS3pJakJhZGI5RWVIUHRRbFpZSDd3WDhKbDJqdFJvVUd2eGsyM1pGcmI1cG9tMmdFTXA4ajNUYkJUZmhlbERsZF9QTXpuMVoyWlNVTFVRc0s5UnF2NDF5M21xalFJeS1uYkRDYQ?oc=5,2025-05-14 07:34:39,Lalluram,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQZjFscE9lLTV0Z3lfOEhYenNyNW9Ed1JjZVh0UU1Zd2JIb2VwMFdlVXhzd0xtRUFVOFVXVmlUMWhVS3pJakJhZGI5RWVIUHRRbFpZSDd3WDhKbDJqdFJvVUd2eGsyM1pGcmI1cG9tMmdFTXA4ajNUYkJUZmhlbERsZF9QTXpuMVoyWlNVTFVRc0s5UnF2NDF5M21xalFJeS1uYkRDYQ?oc=5"" target=""_blank"">CG Weather Update : गर्मी से मिलेगी राहत, अगले 5 दिनों तक बारिश-आंधी की संभावना</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lalluram</font>",Disaster,hi
"पेड़ गिरने से 11 kv का टूटा खंभा, शहर के आधे हिस्से में बिजली व्यवस्था ठप - ETV Bharat",https://news.google.com/rss/articles/CBMi6gFBVV95cUxOS2pmaHRMZ016NG5rUDlrOEJNOGJqSWJIWU9wa1YtX202VUljeGxtSEVwYUpFTjFTSk5KaDlvZktvZHQwWnZEZXZXM094UlJMdThfRzhncFlselU1ekVkLTA5ZkhPVGN4d2lNT2VPN2R2M0piRjZzejVmSWtydVJpM3diaHZSTTlRcUFiUjJqTW1Yc09yYlEzb0NZTVlxYmZuMGhtaVpCdGxQRFJ5LWMyQVpVcXM4Z09xaS0xbHNDaVk4SWNhTS1EVFh0a1o3S21RYUhCOWJaT2JnOVREaUNUR2Q3bDM2amhJUEHSAe8BQVVfeXFMTVQtVjJtdkc0NHJSN3FaNWNubjBGejg2bWJzMnBwNXkwdnlUeDFhVFR6b2lpMDdjeGx4RzFBRklwVVduczBQb1BQMGdTY2c0SWotLXNrSjVfMXdGUUhrRmh1N29EUnUtWWVKbUlYQkJFMklzaV9wTUdTQlBtdHdJOTc3YlVrWE9GOFhQeWp1LVFFQTgtcUpvN2dRZU5icXRvUmN2d0pWdHF0QzVGZ0p2Y2dJS001UHdHODl5clJ1TzZONGZzZkVzYXhYaldOalVIaXN3R19MR3Ewbm1sMTJldUo4Z0F6SVdKc3VkZG01SWM?oc=5,2025-05-13 22:49:07,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOS2pmaHRMZ016NG5rUDlrOEJNOGJqSWJIWU9wa1YtX202VUljeGxtSEVwYUpFTjFTSk5KaDlvZktvZHQwWnZEZXZXM094UlJMdThfRzhncFlselU1ekVkLTA5ZkhPVGN4d2lNT2VPN2R2M0piRjZzejVmSWtydVJpM3diaHZSTTlRcUFiUjJqTW1Yc09yYlEzb0NZTVlxYmZuMGhtaVpCdGxQRFJ5LWMyQVpVcXM4Z09xaS0xbHNDaVk4SWNhTS1EVFh0a1o3S21RYUhCOWJaT2JnOVREaUNUR2Q3bDM2amhJUEHSAe8BQVVfeXFMTVQtVjJtdkc0NHJSN3FaNWNubjBGejg2bWJzMnBwNXkwdnlUeDFhVFR6b2lpMDdjeGx4RzFBRklwVVduczBQb1BQMGdTY2c0SWotLXNrSjVfMXdGUUhrRmh1N29EUnUtWWVKbUlYQkJFMklzaV9wTUdTQlBtdHdJOTc3YlVrWE9GOFhQeWp1LVFFQTgtcUpvN2dRZU5icXRvUmN2d0pWdHF0QzVGZ0p2Y2dJS001UHdHODl5clJ1TzZONGZzZkVzYXhYaldOalVIaXN3R19MR3Ewbm1sMTJldUo4Z0F6SVdKc3VkZG01SWM?oc=5"" target=""_blank"">पेड़ गिरने से 11 kv का टूटा खंभा, शहर के आधे हिस्से में बिजली व्यवस्था ठप</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Disaster,hi
"Chhattisgarh Weather : आज 20 से ज्यादा जिलों में मेघगर्जन-आंधी और बारिश का अलर्ट, कब होगी मानसून की दस्तक? पढ़े IMD का पूर्वानुमान - MP Breaking News",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPU2xwbzNaQ1JQWEhEcXYwbHJQbWVwVDhsQmx3bHJJSWR2UUFEdUtzSWhTbFgxUVN4S2V1Wms0c2J0UjBEbVd0SkdqcFU0cUtwS1h3ZmZWQTZSN1VfTTB0TmxCVkJ1MC1wdWFnQU81aEdNOWswVUF0WEljcG5tVW9WazNNVk5NZC1hVlM4Y1hSOHowSlREWUU1MUNwNmNwVWJTclQtS3lObDdaMEFyLVRVTnFqUk1aUmZzYm1mZW5FcHFqcDlNak5TZE14MlRqS0RJTU1WekUwaE9ORXZ3TmJOWnMtb3VkcW15UkRKd2VyNXozZzlDbXQ3UWZhcw?oc=5,2025-05-13 12:45:30,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPU2xwbzNaQ1JQWEhEcXYwbHJQbWVwVDhsQmx3bHJJSWR2UUFEdUtzSWhTbFgxUVN4S2V1Wms0c2J0UjBEbVd0SkdqcFU0cUtwS1h3ZmZWQTZSN1VfTTB0TmxCVkJ1MC1wdWFnQU81aEdNOWswVUF0WEljcG5tVW9WazNNVk5NZC1hVlM4Y1hSOHowSlREWUU1MUNwNmNwVWJTclQtS3lObDdaMEFyLVRVTnFqUk1aUmZzYm1mZW5FcHFqcDlNak5TZE14MlRqS0RJTU1WekUwaE9ORXZ3TmJOWnMtb3VkcW15UkRKd2VyNXozZzlDbXQ3UWZhcw?oc=5"" target=""_blank"">Chhattisgarh Weather : आज 20 से ज्यादा जिलों में मेघगर्जन-आंधी और बारिश का अलर्ट, कब होगी मानसून की दस्तक? पढ़े IMD का पूर्वानुमान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Disaster,hi
"छत्तीसगढ़ के 16 जिलों में मौसम रहेगा खराब, आंधी-तूफान के साथ होगी बारिश; ऑरेंज व येलो अलर्ट जारी - Hindustan",https://news.google.com/rss/articles/CBMi_wFBVV95cUxOZVpoZ20wSXdCQjh0TENpZ0o1TzNSR3dXSEI1QkE4b3djazZHdjlqSlZqZzJTd19tdGJzYmZOckd1c3Z0MlhJZ3hwcWE2bjYxX015MWk3aURyenFaQUU3NnltNWpuRG1LNWN2WmozeXp5NnlaN01yOHg0RzhNRTlpV25WNnRQWGx1NmI4ZXF6QmJUTTdiOXBORXRNWk00WHN2YVlXc3RveV9JbUw4SzNYMzNNVzl6NGtmQW5WVFN2TU1ublBIWlAzZFpIUzN0U09NaVhuWmxpSnhNeHdncWtKTjdCR0dvMDIzWTF4MFhtTEdXc0kySDlFQlhNUXo1dDjSAYQCQVVfeXFMTkdNV19Fb2taR2ZYekNjOFRpU2tORHdIOFpUTldyVGxPdHlMMnNEekZ1RDRxTE0tdGt4U2p3RjNyeUhmUjdPbktfWmhwSWlueGtnbUljSzlLOG01M1ZzLU1xdlgtOXkzWFdkdE5EbmZZbjhEdGdvbjd0T0pJVzBWODg0OGk2enU5QzZvQllKOU5xTDAtOExTSlpZeFNYSWh5WEEydkJUejBzSDVQMzhBTml6UGF3R21yY0RkdC1VdUN0MzJnLXFNVExVc0JMSGVyZ3U1eXF4dGh4QnhWX1gzckc0WW9FMmVualREQWJ2eEJKY2d2NTV6MXczczRmaU5NcVA2bng?oc=5,2025-05-13 16:01:06,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxOZVpoZ20wSXdCQjh0TENpZ0o1TzNSR3dXSEI1QkE4b3djazZHdjlqSlZqZzJTd19tdGJzYmZOckd1c3Z0MlhJZ3hwcWE2bjYxX015MWk3aURyenFaQUU3NnltNWpuRG1LNWN2WmozeXp5NnlaN01yOHg0RzhNRTlpV25WNnRQWGx1NmI4ZXF6QmJUTTdiOXBORXRNWk00WHN2YVlXc3RveV9JbUw4SzNYMzNNVzl6NGtmQW5WVFN2TU1ublBIWlAzZFpIUzN0U09NaVhuWmxpSnhNeHdncWtKTjdCR0dvMDIzWTF4MFhtTEdXc0kySDlFQlhNUXo1dDjSAYQCQVVfeXFMTkdNV19Fb2taR2ZYekNjOFRpU2tORHdIOFpUTldyVGxPdHlMMnNEekZ1RDRxTE0tdGt4U2p3RjNyeUhmUjdPbktfWmhwSWlueGtnbUljSzlLOG01M1ZzLU1xdlgtOXkzWFdkdE5EbmZZbjhEdGdvbjd0T0pJVzBWODg0OGk2enU5QzZvQllKOU5xTDAtOExTSlpZeFNYSWh5WEEydkJUejBzSDVQMzhBTml6UGF3R21yY0RkdC1VdUN0MzJnLXFNVExVc0JMSGVyZ3U1eXF4dGh4QnhWX1gzckc0WW9FMmVualREQWJ2eEJKY2d2NTV6MXczczRmaU5NcVA2bng?oc=5"" target=""_blank"">छत्तीसगढ़ के 16 जिलों में मौसम रहेगा खराब, आंधी-तूफान के साथ होगी बारिश; ऑरेंज व येलो अलर्ट जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"CG Weather Update : मौसम विभाग ने जारी किया ऑरेंज और येलो अलर्ट, रायपुर में तेज आंधी से पेड़ गिरे, जनजीवन प्रभावित - The Rural Press",https://news.google.com/rss/articles/CBMigwJBVV95cUxQUHZPZEVYelB0YzhZNC1lVk1hcGdqQmZmY2ZQc2hlaGx2SDhEVUM3aUt3cHhwa3MteGdxSlpQZWpPYmhIcmdwVDFlMTAzclZSc3h2SDg1Ym43Si1FM2Y1QWh0c3hmU25xVDZrZnoxeXBUOERISGplOGg2ay1INjJlWGZwN3lKZlY5c2lPWmgyMDNjTGdxVURpM1RiSENNTi1CaWlKNnV5Sk1HQnVkR2c3NEp1WVdOek9BemNBSjY1ZVpXMTZYcGZjMlp4X3ZUWWQ0Y041czVleTlsVVVBTHVCb09LV0FyUTFON2lPZHpTQVpzRUxhdVR5emZSVzZpaUlwWVU4?oc=5,2025-05-13 19:04:19,The Rural Press,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxQUHZPZEVYelB0YzhZNC1lVk1hcGdqQmZmY2ZQc2hlaGx2SDhEVUM3aUt3cHhwa3MteGdxSlpQZWpPYmhIcmdwVDFlMTAzclZSc3h2SDg1Ym43Si1FM2Y1QWh0c3hmU25xVDZrZnoxeXBUOERISGplOGg2ay1INjJlWGZwN3lKZlY5c2lPWmgyMDNjTGdxVURpM1RiSENNTi1CaWlKNnV5Sk1HQnVkR2c3NEp1WVdOek9BemNBSjY1ZVpXMTZYcGZjMlp4X3ZUWWQ0Y041czVleTlsVVVBTHVCb09LV0FyUTFON2lPZHpTQVpzRUxhdVR5emZSVzZpaUlwWVU4?oc=5"" target=""_blank"">CG Weather Update : मौसम विभाग ने जारी किया ऑरेंज और येलो अलर्ट, रायपुर में तेज आंधी से पेड़ गिरे, जनजीवन प्रभावित</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Rural Press</font>",Disaster,hi
"MP के 45, राजस्थान के 8 जिलों में अलर्ट: कई राज्यों में बारिश शुरू; 50km प्रति घंटे की रफ्तार से चलेंगी हवा... - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOGQ3SkV5emx1b2kxTFptR285aHZsYUg5TXYtOTRMcnhlekNhbGhvM28xS2hMZFRaeWpGSGNUc3c5b3N0UHVxQklGSk9iUWpEUVY2ZTRsRHVBZ3VjZ1NBZHFKNk9uWmhGTEozRU1GNlo1RlJRTmF0ZXNyeVhPdlBxTUxwOTJxcUVxREpyMVk0aWtCbVFmbjVsY0FKV2czN3hvV3pPeXF2Z1RhR1I4aUFYb2FUd2RjZVRWUllpN053c3ZYNFhBemN6RUpET1JiNTZz0gHWAUFVX3lxTE96elpzRGt4QzlMTktuSmhKemZNcndYMHNWQTYyczBGSk8tdnFpN1M1WUpCYmxsTUs4VWNfejZQMDRKdVhjS0tPVFFKc2NCdnpsblNKaHRWTFEyMnJxWDF4bG4xVlktcmt4M2l5OHJLTGE3V3BqOEpxck14Nk1lSEYxZXNwRlRvdW1OTmJVRENzcjgtMkZMZ2tOeU9SVzVRc1IxSC1VOEVOZmNjQUhyM2Q0aWRxOFc2RjJpZ0ViYl9fLWY2ajNrYk8yTnhHb0xpNkJOdEVLVUE?oc=5,2025-05-13 18:18:35,Dainik Bhaskar,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOGQ3SkV5emx1b2kxTFptR285aHZsYUg5TXYtOTRMcnhlekNhbGhvM28xS2hMZFRaeWpGSGNUc3c5b3N0UHVxQklGSk9iUWpEUVY2ZTRsRHVBZ3VjZ1NBZHFKNk9uWmhGTEozRU1GNlo1RlJRTmF0ZXNyeVhPdlBxTUxwOTJxcUVxREpyMVk0aWtCbVFmbjVsY0FKV2czN3hvV3pPeXF2Z1RhR1I4aUFYb2FUd2RjZVRWUllpN053c3ZYNFhBemN6RUpET1JiNTZz0gHWAUFVX3lxTE96elpzRGt4QzlMTktuSmhKemZNcndYMHNWQTYyczBGSk8tdnFpN1M1WUpCYmxsTUs4VWNfejZQMDRKdVhjS0tPVFFKc2NCdnpsblNKaHRWTFEyMnJxWDF4bG4xVlktcmt4M2l5OHJLTGE3V3BqOEpxck14Nk1lSEYxZXNwRlRvdW1OTmJVRENzcjgtMkZMZ2tOeU9SVzVRc1IxSC1VOEVOZmNjQUhyM2Q0aWRxOFc2RjJpZ0ViYl9fLWY2ajNrYk8yTnhHb0xpNkJOdEVLVUE?oc=5"" target=""_blank"">MP के 45, राजस्थान के 8 जिलों में अलर्ट: कई राज्यों में बारिश शुरू; 50km प्रति घंटे की रफ्तार से चलेंगी हवा...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Bhaskar</font>",Disaster,hi
"आज का मौसम: भोपाल में बारिश, इंदौर-ग्वालियर समेत 38 जिलों में आंधी का अलर्ट; जानें IMD का पूर्वानुमान |... - haribhoomi.com",https://news.google.com/rss/articles/CBMizAFBVV95cUxOUU9yODVmYklSSzBENXV4ejBkUW0xc2JienBCWXdRNHlicWJLNlg2NDdtNklSdXN5YW0xUTF2VjlzanRmMTFTcU9qSlY1ZDhvNnhqcnJ4bU91WUhlTVZneWFtdzItTUNyVDF5clhHYy1TZzBiaFRJYU5pZzJHRV96UVJqdzFkbll4TG9tOEg5c3R4UFEtLTB2b29WcmhEb3VWZ2pTLVZGbnZjbVRRdkM1TU9VdHRBQ3hrbXlHOF9MZTJyc3N0eVhXVlVfeGHSAdIBQVVfeXFMTmZsWXVmNEtXNUpnZWs3S0IyVy1obUVMQUtYd1ZtZVc3RXlseGV3SVY3SUQ1RjhrcjFQdHdjRlVJOExrNl9SQWRIWGZ0Qm1ZUG1XZkVoZVN1MlhsQTRneGNlbkNlMnd0dTFsNkVVOG9pMkREeGE2SnZiNWFvLXFRYi0wRTRNUTBlLVlCT2pyQ1NPblR3aWJ2aVptWGNIRnJOaUxBaHdfblJtbDd2bEJUOXhsS2xWX3FCZ1Q4MG9mQzJ6cmRuTVNrbm9fYmVRZUxlRUJB?oc=5,2025-05-13 15:33:29,haribhoomi.com,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOUU9yODVmYklSSzBENXV4ejBkUW0xc2JienBCWXdRNHlicWJLNlg2NDdtNklSdXN5YW0xUTF2VjlzanRmMTFTcU9qSlY1ZDhvNnhqcnJ4bU91WUhlTVZneWFtdzItTUNyVDF5clhHYy1TZzBiaFRJYU5pZzJHRV96UVJqdzFkbll4TG9tOEg5c3R4UFEtLTB2b29WcmhEb3VWZ2pTLVZGbnZjbVRRdkM1TU9VdHRBQ3hrbXlHOF9MZTJyc3N0eVhXVlVfeGHSAdIBQVVfeXFMTmZsWXVmNEtXNUpnZWs3S0IyVy1obUVMQUtYd1ZtZVc3RXlseGV3SVY3SUQ1RjhrcjFQdHdjRlVJOExrNl9SQWRIWGZ0Qm1ZUG1XZkVoZVN1MlhsQTRneGNlbkNlMnd0dTFsNkVVOG9pMkREeGE2SnZiNWFvLXFRYi0wRTRNUTBlLVlCT2pyQ1NPblR3aWJ2aVptWGNIRnJOaUxBaHdfblJtbDd2bEJUOXhsS2xWX3FCZ1Q4MG9mQzJ6cmRuTVNrbm9fYmVRZUxlRUJB?oc=5"" target=""_blank"">आज का मौसम: भोपाल में बारिश, इंदौर-ग्वालियर समेत 38 जिलों में आंधी का अलर्ट; जानें IMD का पूर्वानुमान |...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">haribhoomi.com</font>",Disaster,hi
"छत्तीसगढ़ में बदला मौसम का मिजाज, कहर बनकर बरसेगा बादल? जानिए कहां कहां अलर्ट - Zee News",https://news.google.com/rss/articles/CBMirAJBVV95cUxNWWZyWFlUWVQ2RW5HeE9vNVFKckk4ZWpfcG90RkdUeFBVUHk0T0UwcnBnM2tkdFFfUmtyTHZOaG9DOGxhOHYwaWpsTEZ6R0szWW1xdGNYMDRSQmd6TS1xdnRsY3d5WFV6aml2clFYVkZqNnZFWmRfQTRwQWpoWE9tc3ZIMWVtdVdRMmRBS3dKb1hvSTdoYzFBX0w4RnBiTVM3cENCX2tONHdBdHZPOExBM1JCV1Z4QkxLRTVWWWpUWjkxTFB2NlUweUZVRmg2OGRRNGdpWm9ZQngzdWJWZU40MGV4WWF0NE0xNmNHamswRVoweFlqWGk5SUh6bldSRXJjS3ppd1ZuSm9ra1NsWWs0NlFPRHB5V2p1UHd3V1dvY2dWS19heUpTeGRYVGw?oc=5,2025-05-13 18:56:32,Zee News,"<a href=""https://news.google.com/rss/articles/CBMirAJBVV95cUxNWWZyWFlUWVQ2RW5HeE9vNVFKckk4ZWpfcG90RkdUeFBVUHk0T0UwcnBnM2tkdFFfUmtyTHZOaG9DOGxhOHYwaWpsTEZ6R0szWW1xdGNYMDRSQmd6TS1xdnRsY3d5WFV6aml2clFYVkZqNnZFWmRfQTRwQWpoWE9tc3ZIMWVtdVdRMmRBS3dKb1hvSTdoYzFBX0w4RnBiTVM3cENCX2tONHdBdHZPOExBM1JCV1Z4QkxLRTVWWWpUWjkxTFB2NlUweUZVRmg2OGRRNGdpWm9ZQngzdWJWZU40MGV4WWF0NE0xNmNHamswRVoweFlqWGk5SUh6bldSRXJjS3ppd1ZuSm9ra1NsWWs0NlFPRHB5V2p1UHd3V1dvY2dWS19heUpTeGRYVGw?oc=5"" target=""_blank"">छत्तीसगढ़ में बदला मौसम का मिजाज, कहर बनकर बरसेगा बादल? जानिए कहां कहां अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,hi
"60-70 किमी की रफ्तार से चली आंधी, कई स्थानों पर गिरे पेड़, मकान हुए क्षतिग्रस्त - todaystudio.in",https://news.google.com/rss/articles/CBMingFBVV95cUxPRkxMcDd1S2g2SG5zMk5RUTJNYzBFQk5tSy14emVIeDVjZTZ4RnFWRW9uMFNGbEZ4Skw1ZkFHaWZQU3dRVGtwMUV4T1BSYmJwTi1RcUk5X0NDcjUtTy1tbDAwa09aUGlEVXFLMVItQWhyN1pFamt6SW9sMGFudkkzblQzVXJYWnQ5UG02Rm15SDJmX09zd1gzc0I3M3huUdIBngFBVV95cUxPRkxMcDd1S2g2SG5zMk5RUTJNYzBFQk5tSy14emVIeDVjZTZ4RnFWRW9uMFNGbEZ4Skw1ZkFHaWZQU3dRVGtwMUV4T1BSYmJwTi1RcUk5X0NDcjUtTy1tbDAwa09aUGlEVXFLMVItQWhyN1pFamt6SW9sMGFudkkzblQzVXJYWnQ5UG02Rm15SDJmX09zd1gzc0I3M3huUQ?oc=5,2025-05-13 19:49:41,todaystudio.in,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPRkxMcDd1S2g2SG5zMk5RUTJNYzBFQk5tSy14emVIeDVjZTZ4RnFWRW9uMFNGbEZ4Skw1ZkFHaWZQU3dRVGtwMUV4T1BSYmJwTi1RcUk5X0NDcjUtTy1tbDAwa09aUGlEVXFLMVItQWhyN1pFamt6SW9sMGFudkkzblQzVXJYWnQ5UG02Rm15SDJmX09zd1gzc0I3M3huUdIBngFBVV95cUxPRkxMcDd1S2g2SG5zMk5RUTJNYzBFQk5tSy14emVIeDVjZTZ4RnFWRW9uMFNGbEZ4Skw1ZkFHaWZQU3dRVGtwMUV4T1BSYmJwTi1RcUk5X0NDcjUtTy1tbDAwa09aUGlEVXFLMVItQWhyN1pFamt6SW9sMGFudkkzblQzVXJYWnQ5UG02Rm15SDJmX09zd1gzc0I3M3huUQ?oc=5"" target=""_blank"">60-70 किमी की रफ्तार से चली आंधी, कई स्थानों पर गिरे पेड़, मकान हुए क्षतिग्रस्त</a>&nbsp;&nbsp;<font color=""#6f6f6f"">todaystudio.in</font>",Disaster,hi
