Title,Link,Date,Source,Summary,Term,LanguageQueried
"Chhattisgarh Weather: 24 घंटे बाद बदलेगा मौसम, फिर शुरू होगा वर्षा का दौर, 5 दिनों तक आंधी-तूफान का अलर्ट - MP Breaking News",https://news.google.com/rss/articles/CBMi-wFBVV95cUxQZENMMlh2X2NZajJCMnNCeDR3ei1za3VNdW52RVJvckZ6SUE2MDlOYzY4Uk5JRWVRZDNXelR5eGpUTzBrendfQW45Rk9QTlRkV2lfQm9aZHJBS3J6bEd6OEpDbEZaSWtCajBjak1LYnZPTGtXd2ExbjRtcDQwRjNmX1Y1RUVyVzRTcE9sQnJZZ1kyX19vNVBYLTFFaEg5QjZRTFFHaTZubW1kTVFJeDNOY2piYTZDZC1tTzBrQV9xc1RIVUpfaVlKeTNtSk1UM1RPUkVncko2TFJfdkZZSTJUVTYwQ19nOUo2RHJmRUxEcENES3JiSEJUNEZCUQ?oc=5,2025-08-05 13:45:51,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQZENMMlh2X2NZajJCMnNCeDR3ei1za3VNdW52RVJvckZ6SUE2MDlOYzY4Uk5JRWVRZDNXelR5eGpUTzBrendfQW45Rk9QTlRkV2lfQm9aZHJBS3J6bEd6OEpDbEZaSWtCajBjak1LYnZPTGtXd2ExbjRtcDQwRjNmX1Y1RUVyVzRTcE9sQnJZZ1kyX19vNVBYLTFFaEg5QjZRTFFHaTZubW1kTVFJeDNOY2piYTZDZC1tTzBrQV9xc1RIVUpfaVlKeTNtSk1UM1RPUkVncko2TFJfdkZZSTJUVTYwQ19nOUo2RHJmRUxEcENES3JiSEJUNEZCUQ?oc=5"" target=""_blank"">Chhattisgarh Weather: 24 घंटे बाद बदलेगा मौसम, फिर शुरू होगा वर्षा का दौर, 5 दिनों तक आंधी-तूफान का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Disaster,hi
"Weather Update Today: छत्तीसगढ़ में अगले पांच दिन तेज़ आंधी-तूफान और बारिश के आसार, IMD का अलर्ट - MSN",https://news.google.com/rss/articles/CBMizgVBVV95cUxQOGtyRmNicWxMZW55M1VoNkVBRzBCOC1FbzdYUnFwRWF3WUhOSnZySXZNLTJZWFdrN0YwWU5pRm4zUlNoMlFSakhmQkZ0enNaN3Q5RzBjM3c2dU9MVGFzNGEwczJPSHI0bU05RUNsVUZvczhYcnZVeXpoMk9fV1Z3VGdrT09rTEtDU3B2a193UHNNVFkxNHFITnphMmRERWpza01YS0Fxek5GVXdqQ2Vvdl9aS3p6ek50YzVPcHZmT3FTLXVJRXVnRmlKVU4wenRwbFhoOTNBWGhleG95eWt0cEpqM1VoZVNUU1lBZTBKWENCcmlUWGxMSjVlTmlFdk8xT3FxdENHY19RR1hvVmxSOWk0cUpacXNFRmVaQzU3WF9vM3dqRWN6bm5LdTRTdHFaNjlTaGVoaWVJVFMzOVBCMGpHaXc2OTVtRTRVdnE1OFl6dXVLREtFSmZhSDVMYllFRHdWRV9FS29VM294Mmdod1drVTF0OHhURHFfX3htSFVlUjVxYks1QXpyU2Nka3BZeVJDNzZsTjBtRU5fNVdJQTZoVzBzOEFqU1MwaDhhcEE4TWJmYk5pejM1M3dudm9tSXp4V0lDRHR2cTgySk11UEQtR3h5MG0tanE0cWFfMDdZNFI1Z1FOUDFxZWZzaEswby1mWFc4cmRwU0ZtSERvQzdYdl9LX2t2R0RMZHpRTjdES1FSamVlaVNzTFU3aEtsZUlXOFZpUllLMmVscXNVTGtWTVdqMjhnSng1Zng3TzlVQ0c5ejdmaGVuOG85dkhRdEpmbWx0MHFqODBoSEE3d1ZHemVfQ3RReUtCY1M2VUVKLXVRcDFwUnFIZ2l5SGR5cjdlaFhSSlFwaHZTUFgzc3VQT3JHb2Npcy1PMDR0RHZkSDhTTlh1ZUJZb0lFenhHLWtFb1h0Um1nWldHZ2RVYVNlQnY3anVlemdEZ2xR?oc=5,2025-08-05 19:05:55,MSN,"<a href=""https://news.google.com/rss/articles/CBMizgVBVV95cUxQOGtyRmNicWxMZW55M1VoNkVBRzBCOC1FbzdYUnFwRWF3WUhOSnZySXZNLTJZWFdrN0YwWU5pRm4zUlNoMlFSakhmQkZ0enNaN3Q5RzBjM3c2dU9MVGFzNGEwczJPSHI0bU05RUNsVUZvczhYcnZVeXpoMk9fV1Z3VGdrT09rTEtDU3B2a193UHNNVFkxNHFITnphMmRERWpza01YS0Fxek5GVXdqQ2Vvdl9aS3p6ek50YzVPcHZmT3FTLXVJRXVnRmlKVU4wenRwbFhoOTNBWGhleG95eWt0cEpqM1VoZVNUU1lBZTBKWENCcmlUWGxMSjVlTmlFdk8xT3FxdENHY19RR1hvVmxSOWk0cUpacXNFRmVaQzU3WF9vM3dqRWN6bm5LdTRTdHFaNjlTaGVoaWVJVFMzOVBCMGpHaXc2OTVtRTRVdnE1OFl6dXVLREtFSmZhSDVMYllFRHdWRV9FS29VM294Mmdod1drVTF0OHhURHFfX3htSFVlUjVxYks1QXpyU2Nka3BZeVJDNzZsTjBtRU5fNVdJQTZoVzBzOEFqU1MwaDhhcEE4TWJmYk5pejM1M3dudm9tSXp4V0lDRHR2cTgySk11UEQtR3h5MG0tanE0cWFfMDdZNFI1Z1FOUDFxZWZzaEswby1mWFc4cmRwU0ZtSERvQzdYdl9LX2t2R0RMZHpRTjdES1FSamVlaVNzTFU3aEtsZUlXOFZpUllLMmVscXNVTGtWTVdqMjhnSng1Zng3TzlVQ0c5ejdmaGVuOG85dkhRdEpmbWx0MHFqODBoSEE3d1ZHemVfQ3RReUtCY1M2VUVKLXVRcDFwUnFIZ2l5SGR5cjdlaFhSSlFwaHZTUFgzc3VQT3JHb2Npcy1PMDR0RHZkSDhTTlh1ZUJZb0lFenhHLWtFb1h0Um1nWldHZ2RVYVNlQnY3anVlemdEZ2xR?oc=5"" target=""_blank"">Weather Update Today: छत्तीसगढ़ में अगले पांच दिन तेज़ आंधी-तूफान और बारिश के आसार, IMD का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,hi
छत्तीसगढ़ में अगले पांच दिनों तक उत्तरी हिस्से में आंधी-तूफान की चेतावनी - Tarun Mitra,https://news.google.com/rss/articles/CBMiugFBVV95cUxNYVFia3dIcnR3ZGlHTm9WLXV3WU1ydzR6NGtVaDllQjQzajFDQjRHTlFNd3AzcGlYSXJiUWN1TUE3cWVfelV3NVRHQ1FHY0NuM1REUTRrMUZZTmxYaV90ejU4ejVyMlNBN054MVlxbC1xdWs1cGRNd0tuNkFzdkY4SjAycDJyc3c5d1YxNFdQSTBKelB5QXc4OTVTNUlZdV81QWVHemJKaFlUcWNKaWZ6dEdGWklWc2JUcGc?oc=5,2025-08-05 11:28:36,Tarun Mitra,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNYVFia3dIcnR3ZGlHTm9WLXV3WU1ydzR6NGtVaDllQjQzajFDQjRHTlFNd3AzcGlYSXJiUWN1TUE3cWVfelV3NVRHQ1FHY0NuM1REUTRrMUZZTmxYaV90ejU4ejVyMlNBN054MVlxbC1xdWs1cGRNd0tuNkFzdkY4SjAycDJyc3c5d1YxNFdQSTBKelB5QXc4OTVTNUlZdV81QWVHemJKaFlUcWNKaWZ6dEdGWklWc2JUcGc?oc=5"" target=""_blank"">छत्तीसगढ़ में अगले पांच दिनों तक उत्तरी हिस्से में आंधी-तूफान की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tarun Mitra</font>",Disaster,hi
छत्तीसगढ़ में अगले पांच दिनों तक उत्तरी हिस्से में आंधी-तूफान की चेतावनी - Vocal TV,https://news.google.com/rss/articles/CBMilgFBVV95cUxOTEp5OG9HLUExQXg0NmxKNm9LYnZTcV9nR2N0UzhUVlJaMW1mcWpuVlBWWUR6LVR6ZHVWVHBNTnFfeTBWWW5kMy1salFxS1Z5SGhEcnYtcWxFZTZWaXktUHdXNk9Sek9GQy16bkdzUXJxX2F4WW9FWlBLUUpOdlJvcFRPZXBHTjBXMmN4ckdWcjVCTU9ic0E?oc=5,2025-08-05 11:06:00,Vocal TV,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOTEp5OG9HLUExQXg0NmxKNm9LYnZTcV9nR2N0UzhUVlJaMW1mcWpuVlBWWUR6LVR6ZHVWVHBNTnFfeTBWWW5kMy1salFxS1Z5SGhEcnYtcWxFZTZWaXktUHdXNk9Sek9GQy16bkdzUXJxX2F4WW9FWlBLUUpOdlJvcFRPZXBHTjBXMmN4ckdWcjVCTU9ic0E?oc=5"" target=""_blank"">छत्तीसगढ़ में अगले पांच दिनों तक उत्तरी हिस्से में आंधी-तूफान की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vocal TV</font>",Disaster,hi
"छत्तीसगढ़ में 5 दिन आंधी-तूफान और बिजली गिरने का अलर्ट: 17 जिलों में असर, कल से पूरे प्रदेश में होगी बारिश - Aaj Ki Jandhara",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQTWo2ZmFGekJiLU1ZTE10NkV4TU8xVV9JTmoxcFVIZVdob3liU19sYUw1Z3FCaEpxT2x2bmVacTQ3VWdETkEtRFBmeS1QNDJNRjFIV3NJSG5mT054YUlkOFFoeHJxTUdNNDN1OHRWQUV1NG5uOWk2OFdqX3hzU2VXVGlKdEhQQ2pjZGEtbENHbHlhakRkZFdESFNHX3pNRmlEelctS2pnOUN5ekFOeTN1S0RQUmw0eVdtWlRzZ2tTZkxNSl9zb0x6b1Q2UlN2MHhmd0FfcUJ3Z1RUbnZr?oc=5,2025-08-05 12:29:05,Aaj Ki Jandhara,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQTWo2ZmFGekJiLU1ZTE10NkV4TU8xVV9JTmoxcFVIZVdob3liU19sYUw1Z3FCaEpxT2x2bmVacTQ3VWdETkEtRFBmeS1QNDJNRjFIV3NJSG5mT054YUlkOFFoeHJxTUdNNDN1OHRWQUV1NG5uOWk2OFdqX3hzU2VXVGlKdEhQQ2pjZGEtbENHbHlhakRkZFdESFNHX3pNRmlEelctS2pnOUN5ekFOeTN1S0RQUmw0eVdtWlRzZ2tTZkxNSl9zb0x6b1Q2UlN2MHhmd0FfcUJ3Z1RUbnZr?oc=5"" target=""_blank"">छत्तीसगढ़ में 5 दिन आंधी-तूफान और बिजली गिरने का अलर्ट: 17 जिलों में असर, कल से पूरे प्रदेश में होगी बारिश</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj Ki Jandhara</font>",Disaster,hi
Category Chhattisgarh - Storm warning for five days - Tarun Mitra,https://news.google.com/rss/articles/CBMihAFBVV95cUxQQU9HUXNVWUNoMktlUGtIOTlvU0NreXIyU1l2OTZzVGdDM1NGSTI2bWhJZ080MElYX2RsQVBXVG5icDJlQUMtN0poU01CNzlBYldBTHhuTDlmMzZCZGFjbzlVWXE4VFNiblBzeGZfX3FTcm1MUWZ3aHVOU21pQWpXQ2J4elg?oc=5,2025-08-05 11:28:36,Tarun Mitra,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQQU9HUXNVWUNoMktlUGtIOTlvU0NreXIyU1l2OTZzVGdDM1NGSTI2bWhJZ080MElYX2RsQVBXVG5icDJlQUMtN0poU01CNzlBYldBTHhuTDlmMzZCZGFjbzlVWXE4VFNiblBzeGZfX3FTcm1MUWZ3aHVOU21pQWpXQ2J4elg?oc=5"" target=""_blank"">Category Chhattisgarh - Storm warning for five days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tarun Mitra</font>",Disaster,hi
"CG ka Mausam: रायपुर समेत पूरे प्रदेश में बदलेगा मौसम का मिजाज, हल्की से मध्यम बारिश का सिलसिला जारी, उमस से मिलेगी राहत - Bansal news",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQXzVMQUo1SVZZQ09vLUVWUjZ4M0xCVTBJenpZOXlKUm1OdXF3emhRQ3IxY2RabmxUczR5ZVFONXpNTWtRV1N5aWJuZ3JVRU9OU1lCV0NFUjQzM1pMRmw1NjcwQW1MTGRqX2NydUc3TmV3U0tyZG52WHM0eWZnX2dsdTVFUk50VUVWQ0R0MGZRLU51dGNLa3J6eFNJcEpnejVnWEZhZm9hOUNpWm1fcXpFWmJPbjFUZWp6?oc=5,2025-08-06 08:22:14,Bansal news,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQXzVMQUo1SVZZQ09vLUVWUjZ4M0xCVTBJenpZOXlKUm1OdXF3emhRQ3IxY2RabmxUczR5ZVFONXpNTWtRV1N5aWJuZ3JVRU9OU1lCV0NFUjQzM1pMRmw1NjcwQW1MTGRqX2NydUc3TmV3U0tyZG52WHM0eWZnX2dsdTVFUk50VUVWQ0R0MGZRLU51dGNLa3J6eFNJcEpnejVnWEZhZm9hOUNpWm1fcXpFWmJPbjFUZWp6?oc=5"" target=""_blank"">CG ka Mausam: रायपुर समेत पूरे प्रदेश में बदलेगा मौसम का मिजाज, हल्की से मध्यम बारिश का सिलसिला जारी, उमस से मिलेगी राहत</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bansal news</font>",Disaster,hi
"CG Weather Update Today: प्रदेश में फिर एक्टिव होगा मानसून, राजधानी समेत इन जिलों में होगी भारी बारिश, जानें आपके इलाके में कैसा रहेगा मौसम का हाल - IBC24 News",https://news.google.com/rss/articles/CBMitwFBVV95cUxQRjZlejlvUHMzbVNiWExkNmZ2aEtCMkplM3VjQUdxUU1Gb2xnZnJTUTdnYmF4NXhhN01ieG1LSGZsX1Z4YkJXWXdsb2l2YnUyMVdZTjBGRTRkd1FGOHBuaEJnUkotMVFMbFlfbFFvc3JIdWlsM0NsMGZLSG96SklOckJtdEFUZjJMZi1mY0dYdXp2Z1o3QzV5ZUcyMUloRG02dndXUzA5dEt6TDVRTnVpSkpJSUIzbGPSAbwBQVVfeXFMTzBJOVNHek41N3NMb2V4WXVyc1EyWEpPUWNESU13bl9kNUx6Ry0yY2dmaXJkaERTLS1TV2UwQ01EVzJMTVRDalNSM3BlY2syWi1MX3RaRmctTGJuQTFvOFhSQ0NwaVRFVExqYzJqSzRQd0ZDazU0NHdpR3FZMXpya3o5TElLcFFnVmVQVUt3THdPc0hkOTBBMTNyZ1E0ZGszaVpaaGd2dkc2YTVtSUp0b3oyUEFRUHVnTDVONFA?oc=5,2025-08-06 06:56:00,IBC24 News,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQRjZlejlvUHMzbVNiWExkNmZ2aEtCMkplM3VjQUdxUU1Gb2xnZnJTUTdnYmF4NXhhN01ieG1LSGZsX1Z4YkJXWXdsb2l2YnUyMVdZTjBGRTRkd1FGOHBuaEJnUkotMVFMbFlfbFFvc3JIdWlsM0NsMGZLSG96SklOckJtdEFUZjJMZi1mY0dYdXp2Z1o3QzV5ZUcyMUloRG02dndXUzA5dEt6TDVRTnVpSkpJSUIzbGPSAbwBQVVfeXFMTzBJOVNHek41N3NMb2V4WXVyc1EyWEpPUWNESU13bl9kNUx6Ry0yY2dmaXJkaERTLS1TV2UwQ01EVzJMTVRDalNSM3BlY2syWi1MX3RaRmctTGJuQTFvOFhSQ0NwaVRFVExqYzJqSzRQd0ZDazU0NHdpR3FZMXpya3o5TElLcFFnVmVQVUt3THdPc0hkOTBBMTNyZ1E0ZGszaVpaaGd2dkc2YTVtSUp0b3oyUEFRUHVnTDVONFA?oc=5"" target=""_blank"">CG Weather Update Today: प्रदेश में फिर एक्टिव होगा मानसून, राजधानी समेत इन जिलों में होगी भारी बारिश, जानें आपके इलाके में कैसा रहेगा मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBC24 News</font>",Disaster,hi
"छत्तीसगढ़ में कल से होगी तेज बारिश,तूफान आने के भी आसार - hindi.pardaphash.com",https://news.google.com/rss/articles/CBMivgFBVV95cUxPMlF5N0xhOGtCajlWeV9UbVo2dGM0Si1kRTBwazYzaW1tN2V6T2UwVzdZejUwNG9DeU1XQkhOclRYTzlwV3Zfb2QwY1NiWUxENGJtQ25hRU93SVZPc0pFWmVtTjNjOGFrNy0ycVg5M3YzVHo5WC1YNm50Q3JMWWF6YW5LbGdlVWpvUkRXSWZ3QUdiY0xCTm4xMl9CblFubExSczFUSFRjbnFkT3VEWDBUaDY3cVJMb05zc2FqUEt30gHDAUFVX3lxTE0wVHZrZVFRNmNoN25hX3VaWUZ4WE5DajYwdVY4Tk5rLW0zQ2dJMldIMmFyTFMta2k4NjVFQ2dRVGJtT2FJTzVhX2hEakwyMXptaTBTeUxwbElHZUJ6ZEtNU1J4MGJ4cDVpLVlfakFvbjhRMk80X3FSUnoxZUk3dDVPUVVWRGZXOUczaHREYWJPa1I2V3lPMk1ONkppdFdZUG1ra3ZYWFF5cEhfUUdLNVRPSURYTnZMWk5CZnlSTEN5d0dFdw?oc=5,2025-08-05 15:25:48,hindi.pardaphash.com,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPMlF5N0xhOGtCajlWeV9UbVo2dGM0Si1kRTBwazYzaW1tN2V6T2UwVzdZejUwNG9DeU1XQkhOclRYTzlwV3Zfb2QwY1NiWUxENGJtQ25hRU93SVZPc0pFWmVtTjNjOGFrNy0ycVg5M3YzVHo5WC1YNm50Q3JMWWF6YW5LbGdlVWpvUkRXSWZ3QUdiY0xCTm4xMl9CblFubExSczFUSFRjbnFkT3VEWDBUaDY3cVJMb05zc2FqUEt30gHDAUFVX3lxTE0wVHZrZVFRNmNoN25hX3VaWUZ4WE5DajYwdVY4Tk5rLW0zQ2dJMldIMmFyTFMta2k4NjVFQ2dRVGJtT2FJTzVhX2hEakwyMXptaTBTeUxwbElHZUJ6ZEtNU1J4MGJ4cDVpLVlfakFvbjhRMk80X3FSUnoxZUk3dDVPUVVWRGZXOUczaHREYWJPa1I2V3lPMk1ONkppdFdZUG1ra3ZYWFF5cEhfUUdLNVRPSURYTnZMWk5CZnlSTEN5d0dFdw?oc=5"" target=""_blank"">छत्तीसगढ़ में कल से होगी तेज बारिश,तूफान आने के भी आसार</a>&nbsp;&nbsp;<font color=""#6f6f6f"">hindi.pardaphash.com</font>",Disaster,hi
"छत्तीसगढ़ में मौसम विभाग की चेतावनी, रायपुर समेत इन जिलों में तेज आंधी, वज्रपात और झमाझम बारिश का अलर्ट - Dainik Chhattisgarh watch -",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPVmdIeVdOOVk2TFl5Sk9Rdm9MWmF3dDhSZE9IUEEtdmxWbTBpTHRKcFVrZU5HeGJVTW5RYVlRbjBVRlRwOHdjTDVKeWlld1VrLXRJejRiZnlOTUNQMGNiX3hOazRUSDBMQVBiM2dwenZMcGJMcnR0UXhHUG9sdlQ3M3hYMENFdmpCRGFOX3NGX2xmamt6UGRkeUo5ZElaa25ZOGpxcXlJX1F5QWlwTWV4TkNIRG1ZRm9wdzE4?oc=5,2025-08-05 13:23:57,Dainik Chhattisgarh watch -,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPVmdIeVdOOVk2TFl5Sk9Rdm9MWmF3dDhSZE9IUEEtdmxWbTBpTHRKcFVrZU5HeGJVTW5RYVlRbjBVRlRwOHdjTDVKeWlld1VrLXRJejRiZnlOTUNQMGNiX3hOazRUSDBMQVBiM2dwenZMcGJMcnR0UXhHUG9sdlQ3M3hYMENFdmpCRGFOX3NGX2xmamt6UGRkeUo5ZElaa25ZOGpxcXlJX1F5QWlwTWV4TkNIRG1ZRm9wdzE4?oc=5"" target=""_blank"">छत्तीसगढ़ में मौसम विभाग की चेतावनी, रायपुर समेत इन जिलों में तेज आंधी, वज्रपात और झमाझम बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Chhattisgarh watch -</font>",Disaster,hi
