Title,Link,Date,Source,Summary,Term,LanguageQueried
Hot Weather in Rajasthan: झुलसाने वाली गर्मी ने छीना चैन… दो तीन दिन राहत के मंडराएंगे मेघ - Patrika News,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOYzF1a0x6NjB6YTQ1V1I5UlE3X0pSdm5YeUJqZXhlRGRkS204OXhUVEZZckdCNjd5VnZmbng5dm9rcHM1WHpwMWR2SGxyeldpd0Jhc0pIMU13TEhuVFpaM2lMNjF3eDJ0MXZZaWFnNjJSU1dxOEZ2djVRU2Q2Zk5BSkpjTWc0a2dtbG44cWxscWtiNWdoM1VocXoyWFVIRld4VXJ5b2lTNi1rNUMzeEcyN2o3NzFLT0I1RTZRQzFTVkp1YXprdl95T2JWYjQ4UjlkYlQ4c0JUdlJ2bm5CUU5j0gHfAUFVX3lxTE5jMXVrTHo2MHphNDVXUjlSUTdfSlJ2blh5QmpleGVEZGRLbTg5eFRURllyR0I2N3lWdmZueDl2b2twczVYenAxZHZIbHJ6V2l3QmFzSkgxTXdMSG5UWlozaUw2MXd4MnQxdllpYWc2MlJTV3E4RnZ2NVFTZDZmTkFKSmNNZzRrZ21sbjhxbGxxa2I1Z2gzVWhxejJYVUhGV3hVcnlvaVM2LWs1QzN4RzI3ajc3MUtPQjVFNlFDMVNWSnVhemt2X3lPYlZiNDhSOWRiVDhzQlR2UnZubkJRTmM?oc=5,2025-03-26 10:01:34,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOYzF1a0x6NjB6YTQ1V1I5UlE3X0pSdm5YeUJqZXhlRGRkS204OXhUVEZZckdCNjd5VnZmbng5dm9rcHM1WHpwMWR2SGxyeldpd0Jhc0pIMU13TEhuVFpaM2lMNjF3eDJ0MXZZaWFnNjJSU1dxOEZ2djVRU2Q2Zk5BSkpjTWc0a2dtbG44cWxscWtiNWdoM1VocXoyWFVIRld4VXJ5b2lTNi1rNUMzeEcyN2o3NzFLT0I1RTZRQzFTVkp1YXprdl95T2JWYjQ4UjlkYlQ4c0JUdlJ2bm5CUU5j0gHfAUFVX3lxTE5jMXVrTHo2MHphNDVXUjlSUTdfSlJ2blh5QmpleGVEZGRLbTg5eFRURllyR0I2N3lWdmZueDl2b2twczVYenAxZHZIbHJ6V2l3QmFzSkgxTXdMSG5UWlozaUw2MXd4MnQxdllpYWc2MlJTV3E4RnZ2NVFTZDZmTkFKSmNNZzRrZ21sbjhxbGxxa2I1Z2gzVWhxejJYVUhGV3hVcnlvaVM2LWs1QzN4RzI3ajc3MUtPQjVFNlFDMVNWSnVhemt2X3lPYlZiNDhSOWRiVDhzQlR2UnZubkJRTmM?oc=5"" target=""_blank"">Hot Weather in Rajasthan: झुलसाने वाली गर्मी ने छीना चैन… दो तीन दिन राहत के मंडराएंगे मेघ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Heatwave,hi
"CG Weather Update Today: प्रदेश में बदल सकता है मौसम का मिजाज, इन इलाकों में लोगों मिलेगी गर्मी से राहत - IBC24 News (हिंदी)",https://news.google.com/rss/articles/CBMiywFBVV95cUxNNjBXRXc3TzlDSzNJcFl0MUxCWjJob3pQMHBrR1ZDcnZyeHp3NDg0ZzgxcmxqT2RzWE1tNTRoM1l0OWpEZ2FLdXJHMjhFZG5xQ2tHTXlwUm1XTnp1ZU9mcVVjUXdjUk9lNGNOQTFvUXBqSzhsLXF6MjBIUnZwbkt1b2NiMWcwS0s1RlZCcjVhRHliS2pxTnpxV3BOTjd6bVhQLWdXT0NjSHgydEpwQ3hjbE9KMkh3WFRVdUU1c2hGakl5dzVKT2Exd2tyTdIB0AFBVV95cUxPczE0eWptQnRpMDdRNE1JMlI5ZTNFbVFBQWhzcVNyU3czQXh3dm1MT1BwUWl5ZGhGMGxBelJjbEQzMnpSbnEwcHFTNHd0SlRYSFd0STZvelJfZUZGNUR4NERpWUExZTVjbXZzLUNBWFZ6cGpyVzZQUWE2WWtCVUdQa2huWGVzV2U0ZDcxX2pIQXJ2SGlfdE10MFgzZ01FcGozenhhSTAzTzM5c1hFOWNUTnNOeG9pN0N2UEVxVkdBNGZJYnpiSC1EZGF4U2hrbVNv?oc=5,2025-03-26 07:23:00,IBC24 News (हिंदी),"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNNjBXRXc3TzlDSzNJcFl0MUxCWjJob3pQMHBrR1ZDcnZyeHp3NDg0ZzgxcmxqT2RzWE1tNTRoM1l0OWpEZ2FLdXJHMjhFZG5xQ2tHTXlwUm1XTnp1ZU9mcVVjUXdjUk9lNGNOQTFvUXBqSzhsLXF6MjBIUnZwbkt1b2NiMWcwS0s1RlZCcjVhRHliS2pxTnpxV3BOTjd6bVhQLWdXT0NjSHgydEpwQ3hjbE9KMkh3WFRVdUU1c2hGakl5dzVKT2Exd2tyTdIB0AFBVV95cUxPczE0eWptQnRpMDdRNE1JMlI5ZTNFbVFBQWhzcVNyU3czQXh3dm1MT1BwUWl5ZGhGMGxBelJjbEQzMnpSbnEwcHFTNHd0SlRYSFd0STZvelJfZUZGNUR4NERpWUExZTVjbXZzLUNBWFZ6cGpyVzZQUWE2WWtCVUdQa2huWGVzV2U0ZDcxX2pIQXJ2SGlfdE10MFgzZ01FcGozenhhSTAzTzM5c1hFOWNUTnNOeG9pN0N2UEVxVkdBNGZJYnpiSC1EZGF4U2hrbVNv?oc=5"" target=""_blank"">CG Weather Update Today: प्रदेश में बदल सकता है मौसम का मिजाज, इन इलाकों में लोगों मिलेगी गर्मी से राहत</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBC24 News (हिंदी)</font>",Heatwave,hi
"छत्तीसगढ़ में फिर चढ़ा पारा: राजनांदगांव सबसे गर्म, अगले चार दिन और बढ़ेगी तपन - Hindi Hashtagu",https://news.google.com/rss/articles/CBMi7wFBVV95cUxNZkExRW1fZFJ5eUNNYXl2Q204ckVGZGtxaWFOb1pVbTJGME5EaGZwdTVxNVZyeWY4cDhmZ29UWlMzYjhzT2JiMUdUelo4bTFUVElHeGZOUl9JOVVQSXotSkVPNHlZVE1VZlpKcHZNaFp3UDJNTGJoWWlUa0NYTFBQWndmSjMwNGNnZDFmVXpIZE9MMGpYaHRCTHM2ZDhfa2lGWWNKQ0xIUzdLMXFsandhS1UzVnhYRVJUby1ZcDJURkNDSnpyV3ZjWWVFWkJIekItNWlTVUQzbTM1Vk1xRjR6Z0xrdG1id2dJRng1VWtXZ9IB7wFBVV95cUxNZkExRW1fZFJ5eUNNYXl2Q204ckVGZGtxaWFOb1pVbTJGME5EaGZwdTVxNVZyeWY4cDhmZ29UWlMzYjhzT2JiMUdUelo4bTFUVElHeGZOUl9JOVVQSXotSkVPNHlZVE1VZlpKcHZNaFp3UDJNTGJoWWlUa0NYTFBQWndmSjMwNGNnZDFmVXpIZE9MMGpYaHRCTHM2ZDhfa2lGWWNKQ0xIUzdLMXFsandhS1UzVnhYRVJUby1ZcDJURkNDSnpyV3ZjWWVFWkJIekItNWlTVUQzbTM1Vk1xRjR6Z0xrdG1id2dJRng1VWtXZw?oc=5,2025-03-25 12:37:53,Hindi Hashtagu,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNZkExRW1fZFJ5eUNNYXl2Q204ckVGZGtxaWFOb1pVbTJGME5EaGZwdTVxNVZyeWY4cDhmZ29UWlMzYjhzT2JiMUdUelo4bTFUVElHeGZOUl9JOVVQSXotSkVPNHlZVE1VZlpKcHZNaFp3UDJNTGJoWWlUa0NYTFBQWndmSjMwNGNnZDFmVXpIZE9MMGpYaHRCTHM2ZDhfa2lGWWNKQ0xIUzdLMXFsandhS1UzVnhYRVJUby1ZcDJURkNDSnpyV3ZjWWVFWkJIekItNWlTVUQzbTM1Vk1xRjR6Z0xrdG1id2dJRng1VWtXZ9IB7wFBVV95cUxNZkExRW1fZFJ5eUNNYXl2Q204ckVGZGtxaWFOb1pVbTJGME5EaGZwdTVxNVZyeWY4cDhmZ29UWlMzYjhzT2JiMUdUelo4bTFUVElHeGZOUl9JOVVQSXotSkVPNHlZVE1VZlpKcHZNaFp3UDJNTGJoWWlUa0NYTFBQWndmSjMwNGNnZDFmVXpIZE9MMGpYaHRCTHM2ZDhfa2lGWWNKQ0xIUzdLMXFsandhS1UzVnhYRVJUby1ZcDJURkNDSnpyV3ZjWWVFWkJIekItNWlTVUQzbTM1Vk1xRjR6Z0xrdG1id2dJRng1VWtXZw?oc=5"" target=""_blank"">छत्तीसगढ़ में फिर चढ़ा पारा: राजनांदगांव सबसे गर्म, अगले चार दिन और बढ़ेगी तपन</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindi Hashtagu </font>",Heatwave,hi
"Weather Update: North India Braces for Heatwave, South Sees Storms and Rain - Patrika News",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQeUpiNm1XcTlqVTZYSEQ4ZVI0MUlzdzBIVWpWdFNmMlYzVjJ1bG1sTF85UTVtWndSMFVnX0tvOHdxajlpalFCTkFjZVNFUjFFQlRtcGlxdjdGeWRyc2pWbHRBOWpVb1djT2pHV3l0QTVaQnBBUjlyb2E4cHljS2hEUklYSUYwdHI0RzJ6S0JNZnBnN2JSSTR0aWxkVzhuRVFkWHVLc29iNUVXend1YndCLTh0SlFPdDNuUC1zQWVhWmfSAcgBQVVfeXFMTXA2ZHhhWkdFN0hZU256SE1ETW5sT1JtVU5yM3oySk5OWmlOMGlnY1ZRTWtyMGlUWFRfUnkwTHN5YW16LXQwTU9yQTg0amFnZE4wSVBTZEFrRW1TZi1fbV9pWmFudkNBWnRSazdyM2lKZkZQLTJ2N2Z6X09fOUZuYXlERXN0aWpGb3phamJoZTF3Ri04cVNESE5wTmdSNm1QOUE1MzBtZWg0QlZqY0JCYlJicWxhVmx0RVYxdWNlaFowSXNUbUxMNHI?oc=5,2025-03-26 09:00:45,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQeUpiNm1XcTlqVTZYSEQ4ZVI0MUlzdzBIVWpWdFNmMlYzVjJ1bG1sTF85UTVtWndSMFVnX0tvOHdxajlpalFCTkFjZVNFUjFFQlRtcGlxdjdGeWRyc2pWbHRBOWpVb1djT2pHV3l0QTVaQnBBUjlyb2E4cHljS2hEUklYSUYwdHI0RzJ6S0JNZnBnN2JSSTR0aWxkVzhuRVFkWHVLc29iNUVXend1YndCLTh0SlFPdDNuUC1zQWVhWmfSAcgBQVVfeXFMTXA2ZHhhWkdFN0hZU256SE1ETW5sT1JtVU5yM3oySk5OWmlOMGlnY1ZRTWtyMGlUWFRfUnkwTHN5YW16LXQwTU9yQTg0amFnZE4wSVBTZEFrRW1TZi1fbV9pWmFudkNBWnRSazdyM2lKZkZQLTJ2N2Z6X09fOUZuYXlERXN0aWpGb3phamJoZTF3Ri04cVNESE5wTmdSNm1QOUE1MzBtZWg0QlZqY0JCYlJicWxhVmx0RVYxdWNlaFowSXNUbUxMNHI?oc=5"" target=""_blank"">Weather Update: North India Braces for Heatwave, South Sees Storms and Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Heatwave,en
"Weather Update: IMD Predicts Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra and Karnataka, Heatwave in Rajasthan and Odisha - Krishi Jagran",https://news.google.com/rss/articles/CBMihwJBVV95cUxQZTVrU0tzUlUtOG9ZQ2Z1djFGZUwzUHpvX05NSXI1Q3htMXdmRTNfS1dPVVFLWmViWk43WFU4d0tYakppc1hRdVFibGxrQXlrcHBuVi00WkRTRWtqSXo1SThNeFk1bDFMR0h3bjFIdXYwbVRQcEFXNGoyTm02M2JjM0dDOHJIOTVWN1BKbjc4YUxzclVxU1V0XzdfcWExMnZKcDNBVS1hdEQxcVA4bkprenFRMlRHY2lhTmZrSEw3dy1fQlZsU0hiZ0M4d3NrVGIyZXVCN2RXbml4WHZXc3JCbHVkUWw1LWV0LUprX2hoNUNyN25hVkduemZvY0xucV9sNUR0b3Jxcw?oc=5,2025-03-26 06:41:28,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxQZTVrU0tzUlUtOG9ZQ2Z1djFGZUwzUHpvX05NSXI1Q3htMXdmRTNfS1dPVVFLWmViWk43WFU4d0tYakppc1hRdVFibGxrQXlrcHBuVi00WkRTRWtqSXo1SThNeFk1bDFMR0h3bjFIdXYwbVRQcEFXNGoyTm02M2JjM0dDOHJIOTVWN1BKbjc4YUxzclVxU1V0XzdfcWExMnZKcDNBVS1hdEQxcVA4bkprenFRMlRHY2lhTmZrSEw3dy1fQlZsU0hiZ0M4d3NrVGIyZXVCN2RXbml4WHZXc3JCbHVkUWw1LWV0LUprX2hoNUNyN25hVkduemZvY0xucV9sNUR0b3Jxcw?oc=5"" target=""_blank"">Weather Update: IMD Predicts Snowfall in Kashmir and Ladakh, Thunderstorms in Maharashtra and Karnataka, Heatwave in Rajasthan and Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
Delhi braces for hotter days ahead as temperature continues rising - Business Standard,https://news.google.com/rss/articles/CBMixgFBVV95cUxPZ0hOVWUxT3RXOVNKTjZqNG5CTzB6U3BOcE5IdFZESGNIVmZNTkF2VTBiOEFXOVA0YldoSUZwX1FJQTVsSW5fWnlwSktUUFVMSlkyTGM3Z3BCMjIxbHIzQTV4RW1KZXhoYW00THJtbjhDLTZKNVpyMDBRRDRlQ1FSdGNobXhfa1JhX1FLRVU2ZlhHVmlkZU9LT0EyZjM1dG9BY1BfRmdiaVdaN2d0am1ON1VaTkF6ZDhZaHY1WUY3Umk2Y25Wb1HSAcsBQVVfeXFMTzA1SWpsOTBOV3ZkbGYxTDdLVGpmbG82ZDRzVjFRb3RQcmpKV0hqbUdfNjcyUGtJdVBvNTY5QkFsa3dGb2hoOUJqQmRKc3FycEpscEJVeFItWlV0a2hLakpEbm1JR1lHek1YOV8xNDVzejB6Rlg0ejZfNml0N1B0NnBaaWFvaWRfWFpveUE2ZEw5QTFjdkNYLW90eEkxRFRoZVZkVnpZblU1VkFiS2tObm5rS1BCOE9pREVIY0NzYTh4ZmxfV2RjOF80eEU?oc=5,2025-03-26 09:20:22,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPZ0hOVWUxT3RXOVNKTjZqNG5CTzB6U3BOcE5IdFZESGNIVmZNTkF2VTBiOEFXOVA0YldoSUZwX1FJQTVsSW5fWnlwSktUUFVMSlkyTGM3Z3BCMjIxbHIzQTV4RW1KZXhoYW00THJtbjhDLTZKNVpyMDBRRDRlQ1FSdGNobXhfa1JhX1FLRVU2ZlhHVmlkZU9LT0EyZjM1dG9BY1BfRmdiaVdaN2d0am1ON1VaTkF6ZDhZaHY1WUY3Umk2Y25Wb1HSAcsBQVVfeXFMTzA1SWpsOTBOV3ZkbGYxTDdLVGpmbG82ZDRzVjFRb3RQcmpKV0hqbUdfNjcyUGtJdVBvNTY5QkFsa3dGb2hoOUJqQmRKc3FycEpscEJVeFItWlV0a2hLakpEbm1JR1lHek1YOV8xNDVzejB6Rlg0ejZfNml0N1B0NnBaaWFvaWRfWFpveUE2ZEw5QTFjdkNYLW90eEkxRFRoZVZkVnpZblU1VkFiS2tObm5rS1BCOE9pREVIY0NzYTh4ZmxfV2RjOF80eEU?oc=5"" target=""_blank"">Delhi braces for hotter days ahead as temperature continues rising</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
"Delhi Sizzles: Temperature Set To Reach 37°C, Air Quality Deteriorates - ETV Bharat",https://news.google.com/rss/articles/CBMixgFBVV95cUxQUVoybURTZ1JrVHlSWUhTUTM0Y0NYNGFfZkh5RXQ0VjJNTUlJbWNjQVcwOFR3WVlMYXNuZmV0dDFzQnZHaEJjaTlmUllla3B5eVBtQVUzaE5YTDBkMGdvdHNhOHdHbDBiVVhpQXhEMFZJM0VaWVprenJQdHpHUmpXbUYtQWJTVnlKZ1REZ2gwT0llZHQyb2ZhWXdaclZuWEd0NlE0VWdObHJyMnFSS0lUWkdqYXNMcHBVczhXMGdHRzFmTmZnLVHSAcsBQVVfeXFMTnhxeTV1Q0plNzlvUm1DT0FhWnljNXRUT25aai00WjFUQ1llV041dTZMR2xmOWdWcEIzb3NwTFI1cHdTMHBoQkp5c3MzanluS25HQWEyNldFZHZINjhlZXU5VkY5Sk9jSW1GUDdEdmhoV0lBNjdDYmlOZmhMTG5uSHVDa3FJM2R3QndTQm00czg1ZGZlM2t0N1pUVExPQmNLT2kwSGQ0TW95Yk52YTJnOTVCYVlLbVNyN3RSQW96X3JYdkJ1RUVvX2tYTWM?oc=5,2025-03-25 15:11:33,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQUVoybURTZ1JrVHlSWUhTUTM0Y0NYNGFfZkh5RXQ0VjJNTUlJbWNjQVcwOFR3WVlMYXNuZmV0dDFzQnZHaEJjaTlmUllla3B5eVBtQVUzaE5YTDBkMGdvdHNhOHdHbDBiVVhpQXhEMFZJM0VaWVprenJQdHpHUmpXbUYtQWJTVnlKZ1REZ2gwT0llZHQyb2ZhWXdaclZuWEd0NlE0VWdObHJyMnFSS0lUWkdqYXNMcHBVczhXMGdHRzFmTmZnLVHSAcsBQVVfeXFMTnhxeTV1Q0plNzlvUm1DT0FhWnljNXRUT25aai00WjFUQ1llV041dTZMR2xmOWdWcEIzb3NwTFI1cHdTMHBoQkp5c3MzanluS25HQWEyNldFZHZINjhlZXU5VkY5Sk9jSW1GUDdEdmhoV0lBNjdDYmlOZmhMTG5uSHVDa3FJM2R3QndTQm00czg1ZGZlM2t0N1pUVExPQmNLT2kwSGQ0TW95Yk52YTJnOTVCYVlLbVNyN3RSQW96X3JYdkJ1RUVvX2tYTWM?oc=5"" target=""_blank"">Delhi Sizzles: Temperature Set To Reach 37°C, Air Quality Deteriorates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"Delhi air remains in 'poor' category, AQI at 235 as temperature rises - Business Standard",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQUmluWFZpNTFnN3RhajlXVjZzR1NMMTdqaTJUUkRNT0w0UHJ6QU9PYlBmeW1FTGVjbkFaU3FPWmF6bXJXX1VoaVE3MjVqQXZYdzFVWTBwdk5rS25GcFJMSEE5TXhqUVMzR2E2TGtQbGt6OVU3eDhkYS1IQ3dqLXk4VHFFNVNhYVpmV1RHM0ZoM2VZMjNZTVNZdEpYOHpwWVVJeFRBcG8wd0lKODBwb1BiTlhVMXBTMkN0U0h6TzVuRXNncWFGbHZZTnA3SDRMOWRaY080?oc=5,2025-03-26 09:23:43,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQUmluWFZpNTFnN3RhajlXVjZzR1NMMTdqaTJUUkRNT0w0UHJ6QU9PYlBmeW1FTGVjbkFaU3FPWmF6bXJXX1VoaVE3MjVqQXZYdzFVWTBwdk5rS25GcFJMSEE5TXhqUVMzR2E2TGtQbGt6OVU3eDhkYS1IQ3dqLXk4VHFFNVNhYVpmV1RHM0ZoM2VZMjNZTVNZdEpYOHpwWVVJeFRBcG8wd0lKODBwb1BiTlhVMXBTMkN0U0h6TzVuRXNncWFGbHZZTnA3SDRMOWRaY080?oc=5"" target=""_blank"">Delhi air remains in 'poor' category, AQI at 235 as temperature rises</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
IMD issues alert of heavy rain and thunderstorm for these states; Know the weather of the country - informalnewz,https://news.google.com/rss/articles/CBMizAFBVV95cUxNUkdFTHVPOUR6WFlJb2lqb0F5bGU3bzJPazI5aTYtRDVhcVBHLVNKYkh5WHdOMDJlVUh4VU5pbUpHd2ZERDI5VVd6aWlTRi0wMWxIb3VBQWhmNEFGcHY5cUJfeTh1V3VZMHlCR1pVRnE1NGlIMDBDdjk5cXJ5NlpHU0sybDktZFA2bmI3OTJVc0dva2ZReEVjMWdUYkgtVExxUXVTbkQ0S3FRcVhUTUVfQ0RLc1Brd1lGZ2VDVDVfTGZfOEVrcjFST1hWdzHSAcwBQVVfeXFMTVJHRUx1TzlEelhZSW9pam9BeWxlN28yT2syOWk2LUQ1YXFQRy1TSmJIeVh3TjAyZVVIeFVOaW1KR3dmREQyOVVXemlpU0YtMDFsSG91QUFoZjRBRnB2OXFCX3k4dVd1WTB5QkdaVUZxNTRpSDAwQ3Y5OXFyeTZaR1NLMmw5LWRQNm5iNzkyVXNHb2tmUXhFYzFnVGJILVRMcVF1U25ENEtxUXFYVE1FX0NES3NQa3dZRmdlQ1Q1X0xmXzhFa3IxUk9YVncx?oc=5,2025-03-25 16:00:53,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNUkdFTHVPOUR6WFlJb2lqb0F5bGU3bzJPazI5aTYtRDVhcVBHLVNKYkh5WHdOMDJlVUh4VU5pbUpHd2ZERDI5VVd6aWlTRi0wMWxIb3VBQWhmNEFGcHY5cUJfeTh1V3VZMHlCR1pVRnE1NGlIMDBDdjk5cXJ5NlpHU0sybDktZFA2bmI3OTJVc0dva2ZReEVjMWdUYkgtVExxUXVTbkQ0S3FRcVhUTUVfQ0RLc1Brd1lGZ2VDVDVfTGZfOEVrcjFST1hWdzHSAcwBQVVfeXFMTVJHRUx1TzlEelhZSW9pam9BeWxlN28yT2syOWk2LUQ1YXFQRy1TSmJIeVh3TjAyZVVIeFVOaW1KR3dmREQyOVVXemlpU0YtMDFsSG91QUFoZjRBRnB2OXFCX3k4dVd1WTB5QkdaVUZxNTRpSDAwQ3Y5OXFyeTZaR1NLMmw5LWRQNm5iNzkyVXNHb2tmUXhFYzFnVGJILVRMcVF1U25ENEtxUXFYVE1FX0NES3NQa3dZRmdlQ1Q1X0xmXzhFa3IxUk9YVncx?oc=5"" target=""_blank"">IMD issues alert of heavy rain and thunderstorm for these states; Know the weather of the country</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
Heavy Rain Alert: There will be heavy rain with strong storm in these states for 5 days – big warnin ... - informalnewz,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMTlkRXhrYmRLdHU5NjlCYTlhVEZRNnRfUU04ZzVHMVZRQVJENzRldE5zYW9GUjhmS0loa3hhQXBKMGJPLUJoVkM2b1BjV0lsYU1Ba0RFbEtOTTAxTU9ieGZiZ3NFMURtMi04MlIxekphVURkVEFHSk1DV29oRTFKb2lOdkhyUUtqYTVIY095aENuMktBcHJHaGdFSncxSjI4NEg3TEJnSEd3OFhRVXpYMEtxYVVrVHQ4T2NFN0pqNlB6TTVVTzRqTXNOQ3ZSdzF30gHYAUFVX3lxTE1SclIzWERYZzA1T0tXZHVIay1xbEg5ZzFjN01GSEtDbV9naXpNTEFGSmNWT3h6SVd0UkxRME01MGgyUVl3VVgwRFlQaVZQQzY0OVFhZXV3a1I1NFJyay0tOHdudnlMT2d5U1QxcXRzSC1YYUlNY0VSZEF3dWZfNDhaLWRVaTRKbXlINXNTUnE4ZjI4Y3k0ajdNVXZadXVFWWltekwzZE1May1Qd0x1cXBZR1gxeUlzTEVlVTUwNUtBLU9sVzlhOTFGR0FZS0dkZ29DMFZPSExsRg?oc=5,2025-03-25 10:46:22,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMTlkRXhrYmRLdHU5NjlCYTlhVEZRNnRfUU04ZzVHMVZRQVJENzRldE5zYW9GUjhmS0loa3hhQXBKMGJPLUJoVkM2b1BjV0lsYU1Ba0RFbEtOTTAxTU9ieGZiZ3NFMURtMi04MlIxekphVURkVEFHSk1DV29oRTFKb2lOdkhyUUtqYTVIY095aENuMktBcHJHaGdFSncxSjI4NEg3TEJnSEd3OFhRVXpYMEtxYVVrVHQ4T2NFN0pqNlB6TTVVTzRqTXNOQ3ZSdzF30gHYAUFVX3lxTE1SclIzWERYZzA1T0tXZHVIay1xbEg5ZzFjN01GSEtDbV9naXpNTEFGSmNWT3h6SVd0UkxRME01MGgyUVl3VVgwRFlQaVZQQzY0OVFhZXV3a1I1NFJyay0tOHdudnlMT2d5U1QxcXRzSC1YYUlNY0VSZEF3dWZfNDhaLWRVaTRKbXlINXNTUnE4ZjI4Y3k0ajdNVXZadXVFWWltekwzZE1May1Qd0x1cXBZR1gxeUlzTEVlVTUwNUtBLU9sVzlhOTFGR0FZS0dkZ29DMFZPSExsRg?oc=5"" target=""_blank"">Heavy Rain Alert: There will be heavy rain with strong storm in these states for 5 days – big warnin ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
