Title,Link,Date,Source,Summary,Term,LanguageQueried
"CG Weather News: छत्तीसगढ़ में बदलेगा मौसम का मिजाज, आने वाले दो दिन हॉट डे, फिर मिलेगा गर्मी से राहत - अमर उजाला",https://news.google.com/rss/articles/CBMigAJBVV95cUxPdmNYNE04WFVLVHVDSlY3OTMwMFhoUUZwMGo3VGV6TnQ5R01QY0s3clo3R2ZqZ3dNcC1MSnBaVlZSVUd3MzFrNXhhYU05TzgxdEp5T3hzcWxXSHhla2xkanVVaDA4bVJBaTBOUjVteTVibkEybGx2ZW5tYW9acDVNVENvRDFHbVhPZUZSUTMzS0xkZDhmcm9OVEhHT2cyQXZOM1Y5UktIQWtTcUE3dU91RGgwcG1CTEVsTzlBZm5VUzQwOS1WN1ZWNjZPanB5a1JERDZUbUJXRlNqbG9kRlQ1ajRtWlJVNnplV2xvOUVXOFJHbmpVdmh2MWdyeEJqd2xI?oc=5,2025-03-30 10:27:59,अमर उजाला,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPdmNYNE04WFVLVHVDSlY3OTMwMFhoUUZwMGo3VGV6TnQ5R01QY0s3clo3R2ZqZ3dNcC1MSnBaVlZSVUd3MzFrNXhhYU05TzgxdEp5T3hzcWxXSHhla2xkanVVaDA4bVJBaTBOUjVteTVibkEybGx2ZW5tYW9acDVNVENvRDFHbVhPZUZSUTMzS0xkZDhmcm9OVEhHT2cyQXZOM1Y5UktIQWtTcUE3dU91RGgwcG1CTEVsTzlBZm5VUzQwOS1WN1ZWNjZPanB5a1JERDZUbUJXRlNqbG9kRlQ1ajRtWlJVNnplV2xvOUVXOFJHbmpVdmh2MWdyeEJqd2xI?oc=5"" target=""_blank"">CG Weather News: छत्तीसगढ़ में बदलेगा मौसम का मिजाज, आने वाले दो दिन हॉट डे, फिर मिलेगा गर्मी से राहत</a>&nbsp;&nbsp;<font color=""#6f6f6f"">अमर उजाला</font>",Heatwave,hi
"Chhattisgarh Weather : अप्रैल से फिर बदलेगा मौसम, बादल बारिश की संभावना, हॉट डे की भी चेतावनी, पढ़े IMD का नया अपडेट - MP Breaking News",https://news.google.com/rss/articles/CBMi-gFBVV95cUxPbTB0RlZtMm1mbkktVml6OGRhei1XMmkyazBCU1oyTWxxLXFCMDVpbGNWXzhQbzdBY2lCYmFacWNGTEdYQTZELUtvWFBIcGFWRUJ2YnQ0ZVloWGlrTlM5RU5BQnlkYmtKblYtOWFROGpTQVVObDJsb3BRazJvZ3JwNkkwTWlTS3R4eklmVDJfb1JKS2dfVXBFUzVtQlJMZVNMSzQwMXFyYWZzOFBYMEFzMDhITkdKLXNJR3NpZ2M4aERUOXlIT1hpYkdBZmVlUGotYmdIVkM3am1xV01QdTZqMWs3Q0JHOFViZkI5eDV1NWNSekExMV80MU93?oc=5,2025-03-30 15:34:07,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxPbTB0RlZtMm1mbkktVml6OGRhei1XMmkyazBCU1oyTWxxLXFCMDVpbGNWXzhQbzdBY2lCYmFacWNGTEdYQTZELUtvWFBIcGFWRUJ2YnQ0ZVloWGlrTlM5RU5BQnlkYmtKblYtOWFROGpTQVVObDJsb3BRazJvZ3JwNkkwTWlTS3R4eklmVDJfb1JKS2dfVXBFUzVtQlJMZVNMSzQwMXFyYWZzOFBYMEFzMDhITkdKLXNJR3NpZ2M4aERUOXlIT1hpYkdBZmVlUGotYmdIVkM3am1xV01QdTZqMWs3Q0JHOFViZkI5eDV1NWNSekExMV80MU93?oc=5"" target=""_blank"">Chhattisgarh Weather : अप्रैल से फिर बदलेगा मौसम, बादल बारिश की संभावना, हॉट डे की भी चेतावनी, पढ़े IMD का नया अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Heatwave,hi
"CG Weather Update News: छत्तीसगढ़ में भीषण गर्मी का कहर जारी, इन जिलों में पारा 40 के पार, तेज धूप से बचने के लिए आजमाएं ये उपाय - IBC24 News (हिंदी)",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQ2k5OVRDbmIzMVEtbXN6Q1h0UkN3RVM3bWJhMERUc0RWZVBzNWNHNWZzOXM0NUQ5Wjg5dGRPVDRVZ3M4YkptQm1FM3J4QXE2MkdEUFRsbjZwclotV290ZVV0dEpPZl83ZzNwbVEteElOdm5PaGdPeHlGZW5jQUR5QmMzdUo5MDlXeUxwUTJfOWFLenh0X2xHYU83eFA2TzRzdnJ2V29IWU1NYTdZT3RRVHgtSnJhV0pJNjZQTUdKMk1JRHI5cUxhctIBzgFBVV95cUxQNzFTVng4dm5nMHJkTHQ1TkUwQVBLZ2RRcHNZZzJ0NTY4ZDgwVVhueE1JU0EzbFRWZnZMaUF6NnVjaDhVQWZnYWNaOUJzbi1lVFV5eURjamJhODJYYXlWUnFOcFlKMlo5eGtBTmtyRWZ4RUktT0JLbHpxdl90anJocURYMFB1RTVZWVZyTlJsN2lwSXhlMnlWVG1qZDFwLUFuOFpNTzQyNkw2cEVwTlJ1anRLSnRPbkpRTXVKMlM1a0otRlRZY3I3aWdydG1Edw?oc=5,2025-03-30 13:55:00,IBC24 News (हिंदी),"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQ2k5OVRDbmIzMVEtbXN6Q1h0UkN3RVM3bWJhMERUc0RWZVBzNWNHNWZzOXM0NUQ5Wjg5dGRPVDRVZ3M4YkptQm1FM3J4QXE2MkdEUFRsbjZwclotV290ZVV0dEpPZl83ZzNwbVEteElOdm5PaGdPeHlGZW5jQUR5QmMzdUo5MDlXeUxwUTJfOWFLenh0X2xHYU83eFA2TzRzdnJ2V29IWU1NYTdZT3RRVHgtSnJhV0pJNjZQTUdKMk1JRHI5cUxhctIBzgFBVV95cUxQNzFTVng4dm5nMHJkTHQ1TkUwQVBLZ2RRcHNZZzJ0NTY4ZDgwVVhueE1JU0EzbFRWZnZMaUF6NnVjaDhVQWZnYWNaOUJzbi1lVFV5eURjamJhODJYYXlWUnFOcFlKMlo5eGtBTmtyRWZ4RUktT0JLbHpxdl90anJocURYMFB1RTVZWVZyTlJsN2lwSXhlMnlWVG1qZDFwLUFuOFpNTzQyNkw2cEVwTlJ1anRLSnRPbkpRTXVKMlM1a0otRlRZY3I3aWdydG1Edw?oc=5"" target=""_blank"">CG Weather Update News: छत्तीसगढ़ में भीषण गर्मी का कहर जारी, इन जिलों में पारा 40 के पार, तेज धूप से बचने के लिए आजमाएं ये उपाय</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBC24 News (हिंदी)</font>",Heatwave,hi
"कल का मौसम 31 March 2025: गर्मी से झुलसेंगे कई राज्य, इन जगहों पर बादल रहेंगे मेहरबान, पहाड़ों पर भी बदला रहेग - Times Now Navbharat",https://news.google.com/rss/articles/CBMijgJBVV95cUxQdThMU0lJU0RmRl9QZkU3aDRYb2h3YzVodVN1SzFGYVRBUEZ6ZERiY2ZWQ0NBanhNb25CTEowZkJoaTllanBobDFPTkFwOEV4QzJrTXlmT2k5blk0bXE0bUFVZGJnblFBUk5hT2IxVWN1UlhwNWRjeXhOQlRabG5PMEFiblBxeFhBWUxpeXoxb2VIOExRM0R6WGVxU0dqT3pXMHJIMEdOOG1vUHpMTTVVNTljOXY3Tjh5VjZveTJUUU56TG05SjM5YjBOSFp1cVQ5TmhVMFJndGFTZk1ndks4WGs3SXZEalJONGNneXlqbGdXZDh1aFpzYUdUYkwtang3UHJLLUxGMnlvOF94akHSAZMCQVVfeXFMT21MSGRNYk1TNFA1T3NteGE0bVhjYTlfNjBLMndwRGlFOUdkTUtOUURBSHNzazQ0ckpFdm5vQmFhbTdvVURwLWU4NFI4WDZab3p5TGVaVUw2WmZ4Y0RHRC1oUVRjWGwxYVc1ME1PQk9sZ3FCbDUzd04tTnpST0ViT21WZDBZZ25MYlZUd3N5c2FMMUU0eDdpSGhyb3JJdzFkUnVHcjQtaVQwVzRxNF91dEszU0hYYTNpeU9sdWV3OF9iZ1FtbkNuajRKWEpKQ3dlMWZLSzhkSC1EZ203NS1mRWJHOS1ESlF1UkwxcDZmX1BaZ3RwY2dCUFhqcFBZQTljWHFCa0trRnlXWHFiY0lkM0QyMTQ?oc=5,2025-03-30 17:04:33,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQdThMU0lJU0RmRl9QZkU3aDRYb2h3YzVodVN1SzFGYVRBUEZ6ZERiY2ZWQ0NBanhNb25CTEowZkJoaTllanBobDFPTkFwOEV4QzJrTXlmT2k5blk0bXE0bUFVZGJnblFBUk5hT2IxVWN1UlhwNWRjeXhOQlRabG5PMEFiblBxeFhBWUxpeXoxb2VIOExRM0R6WGVxU0dqT3pXMHJIMEdOOG1vUHpMTTVVNTljOXY3Tjh5VjZveTJUUU56TG05SjM5YjBOSFp1cVQ5TmhVMFJndGFTZk1ndks4WGs3SXZEalJONGNneXlqbGdXZDh1aFpzYUdUYkwtang3UHJLLUxGMnlvOF94akHSAZMCQVVfeXFMT21MSGRNYk1TNFA1T3NteGE0bVhjYTlfNjBLMndwRGlFOUdkTUtOUURBSHNzazQ0ckpFdm5vQmFhbTdvVURwLWU4NFI4WDZab3p5TGVaVUw2WmZ4Y0RHRC1oUVRjWGwxYVc1ME1PQk9sZ3FCbDUzd04tTnpST0ViT21WZDBZZ25MYlZUd3N5c2FMMUU0eDdpSGhyb3JJdzFkUnVHcjQtaVQwVzRxNF91dEszU0hYYTNpeU9sdWV3OF9iZ1FtbkNuajRKWEpKQ3dlMWZLSzhkSC1EZ203NS1mRWJHOS1ESlF1UkwxcDZmX1BaZ3RwY2dCUFhqcFBZQTljWHFCa0trRnlXWHFiY0lkM0QyMTQ?oc=5"" target=""_blank"">कल का मौसम 31 March 2025: गर्मी से झुलसेंगे कई राज्य, इन जगहों पर बादल रहेंगे मेहरबान, पहाड़ों पर भी बदला रहेग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Heatwave,hi
"CG- बारिश का अलर्ट : भीषण गरमी के बीच बदलने वाला है छत्तीसगढ़ का मौसम, 2 दिन बाद बारिश के साथ चलेगी आंधी, गिरेगा तापमान - Newwaynews24",https://news.google.com/rss/articles/CBMizwFBVV95cUxOYWNKWXdwNFRfZGE5ZkJsSmlRdUdBcTlfd09NcUZjQl9ZLUUxUkFCNnF5LUNSc1d3MV9OZnpJaHFwOWF3Mm9PQ1g2UnVhbDJTTTRPbXJUZVBEMnEwenJJaUtaY2p0dEcyNHpHWWcxYUVDTHJMeFVPS0s1WC1ScnZZNVczUEdLUS1PaVhRRnFOT0o0V3QtNy0wY3c1ejVoNVh6V0c5M05mOUp0VEVlSWZMcm9ZVlU1OS1Od1VtcWwzSmkwWGowUUFONm9iZXBGSDg?oc=5,2025-03-30 12:31:00,Newwaynews24,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOYWNKWXdwNFRfZGE5ZkJsSmlRdUdBcTlfd09NcUZjQl9ZLUUxUkFCNnF5LUNSc1d3MV9OZnpJaHFwOWF3Mm9PQ1g2UnVhbDJTTTRPbXJUZVBEMnEwenJJaUtaY2p0dEcyNHpHWWcxYUVDTHJMeFVPS0s1WC1ScnZZNVczUEdLUS1PaVhRRnFOT0o0V3QtNy0wY3c1ejVoNVh6V0c5M05mOUp0VEVlSWZMcm9ZVlU1OS1Od1VtcWwzSmkwWGowUUFONm9iZXBGSDg?oc=5"" target=""_blank"">CG- बारिश का अलर्ट : भीषण गरमी के बीच बदलने वाला है छत्तीसगढ़ का मौसम, 2 दिन बाद बारिश के साथ चलेगी आंधी, गिरेगा तापमान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newwaynews24</font>",Heatwave,hi
"CG Weather News: छत्तीसगढ़ में भीषण गर्मी का कहर जारी, 1 अप्रैल से इन जिलों में बारिश की संभावना... - RGH NEWS",https://news.google.com/rss/articles/CBMiUEFVX3lxTE9UaUNzZFRCeVpfZkNuZXJTOGNNaDhQdWRaNEd4NkswTng4MGFTVlh1aUFWQkNsUmNMYnJraXhCd3JPSVZJaWJZTWIzN0dZU09P?oc=5,2025-03-30 16:44:57,RGH NEWS,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE9UaUNzZFRCeVpfZkNuZXJTOGNNaDhQdWRaNEd4NkswTng4MGFTVlh1aUFWQkNsUmNMYnJraXhCd3JPSVZJaWJZTWIzN0dZU09P?oc=5"" target=""_blank"">CG Weather News: छत्तीसगढ़ में भीषण गर्मी का कहर जारी, 1 अप्रैल से इन जिलों में बारिश की संभावना...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RGH NEWS</font>",Heatwave,hi
"Weather Forecast: IMD Issues Alert As Rains To Lash These States, Heatwave in Gujarat | Check Updates - Jagran English",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNZllKMVlNYTY0dmsxTDItZ1pLMzFNUkZKbkJmWUtGdks5WEVmRm5tXzZrWU9INmpEMUYybExfNkhYcDFPb3NKM0lmNnA3aWhGQzdqbnItNFg2UXA4Ui0wLU9sdnNBajltU18wbURFYW85VW9LUE1qVmlmNkRiSE9FYWtDVGprMzhIWE83UjhRMWtWd0pyTWczMkdQX3hTUGhEV2NUYnFmT1VKSUxxYWtLVG9yYlc0UnJ1b1Rnanp1Y2pONFJuQUlNSGd1UzNuLUtSRjNJVXFR?oc=5,2025-03-31 07:45:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNZllKMVlNYTY0dmsxTDItZ1pLMzFNUkZKbkJmWUtGdks5WEVmRm5tXzZrWU9INmpEMUYybExfNkhYcDFPb3NKM0lmNnA3aWhGQzdqbnItNFg2UXA4Ui0wLU9sdnNBajltU18wbURFYW85VW9LUE1qVmlmNkRiSE9FYWtDVGprMzhIWE83UjhRMWtWd0pyTWczMkdQX3hTUGhEV2NUYnFmT1VKSUxxYWtLVG9yYlc0UnJ1b1Rnanp1Y2pONFJuQUlNSGd1UzNuLUtSRjNJVXFR?oc=5"" target=""_blank"">Weather Forecast: IMD Issues Alert As Rains To Lash These States, Heatwave in Gujarat | Check Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
"IMD Forecasts Rain, Thunderstorms In MH, Gujarat,AP and Telangana For Next 4 Days - Global Green News",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNUxxdWxtYjEzUkRjd0cwREV0b0lzRXQ2S0ZnY0QwT1daTEYzemFlT0szMHFDWWdCZXFkbFp5eGNvUHFxMEFmYjhuenYtSkxrTWxUd1RXVlNsRm5ZLWhZTzFkUWd6VW11cDk3VU9QanNtVWJHTnlubWI3THAyUjFZMTMtNWxoV182SjA2SkViSkFGQXB5YW5FbV9NVzR0SEgwOC00dVY0am96OUg0bzdpU1c4TEpNOE9J?oc=5,2025-03-30 21:59:45,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNUxxdWxtYjEzUkRjd0cwREV0b0lzRXQ2S0ZnY0QwT1daTEYzemFlT0szMHFDWWdCZXFkbFp5eGNvUHFxMEFmYjhuenYtSkxrTWxUd1RXVlNsRm5ZLWhZTzFkUWd6VW11cDk3VU9QanNtVWJHTnlubWI3THAyUjFZMTMtNWxoV182SjA2SkViSkFGQXB5YW5FbV9NVzR0SEgwOC00dVY0am96OUg0bzdpU1c4TEpNOE9J?oc=5"" target=""_blank"">IMD Forecasts Rain, Thunderstorms In MH, Gujarat,AP and Telangana For Next 4 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
"In March, yellow alert for rain replaces yellow alert for heat - The Times of India",https://news.google.com/rss/articles/CBMizAFBVV95cUxOWElNUWVJd1g2ZkJ6VkdoelEzWnJMUlFRUUZtR1d4ZVE3X2tXbVk4WldMSXNLWElpLURsVVlwTV96R0YyZUtWSUd0ZUI2Znh4YnpnOERCMnVFaWM4RmJVTDlGUlNFVk55akd0b2lwRnpwOGVZelNsVjRFNGhFeDRjTHh3U1hPRmQ3cU90WUZVYTNXcEJNNEhwa28tZXBnUHp0OUZfWUMwRVdIQmFEMHQ4LWx0eXJWOUxOUlBQamNWckFiRnBkV1V6T21aRWLSAdIBQVVfeXFMTjZsNm16VFVPekVSMUN4LTJCYWZZNy1nRWlSanNOaDlXWHFJdzlsRFAzbzZ2U1dUTW9tSU94VUhadUYyZllFNUdLMHFhNElVN1FjY1J5UF80eVk3QXdZZl9DZEJ6SjZaWlFlek1NS3hIYk53azhVUHdPR2JhWExQTzNSSEl4N3lZMmtvcG92RzBGZ0dQZHBhTzJYV1hEOWttaC04c1ZDWi1PMWk5MUpRcGdBaTdYM0hEUFRsVUdmcU96Wm1VNTBTMXdqdmx5c3hrc3VR?oc=5,2025-03-30 23:51:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOWElNUWVJd1g2ZkJ6VkdoelEzWnJMUlFRUUZtR1d4ZVE3X2tXbVk4WldMSXNLWElpLURsVVlwTV96R0YyZUtWSUd0ZUI2Znh4YnpnOERCMnVFaWM4RmJVTDlGUlNFVk55akd0b2lwRnpwOGVZelNsVjRFNGhFeDRjTHh3U1hPRmQ3cU90WUZVYTNXcEJNNEhwa28tZXBnUHp0OUZfWUMwRVdIQmFEMHQ4LWx0eXJWOUxOUlBQamNWckFiRnBkV1V6T21aRWLSAdIBQVVfeXFMTjZsNm16VFVPekVSMUN4LTJCYWZZNy1nRWlSanNOaDlXWHFJdzlsRFAzbzZ2U1dUTW9tSU94VUhadUYyZllFNUdLMHFhNElVN1FjY1J5UF80eVk3QXdZZl9DZEJ6SjZaWlFlek1NS3hIYk53azhVUHdPR2JhWExQTzNSSEl4N3lZMmtvcG92RzBGZ0dQZHBhTzJYV1hEOWttaC04c1ZDWi1PMWk5MUpRcGdBaTdYM0hEUFRsVUdmcU96Wm1VNTBTMXdqdmx5c3hrc3VR?oc=5"" target=""_blank"">In March, yellow alert for rain replaces yellow alert for heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Heatwave,en
"In March, yellow alert for rain replaces yellow alert for heat - MSN",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNE1DSWVZQnlYUkQwQUlNb0ZFYmc2MUp1VDhWbWNtZDAwZ1ZSZkFtS2lFLXFMWl9tMEdGR2tQZ28zNXlsRnlrNGNrdmFsYW40SnEtQ2tIZTJaSFpWNmFhSEpzaVBmWkdINVhud25oYWN1a0JXdjJWVzhmbzdNS3N6a0FqUUxyZTE4NjRydzhxNURlMzItczBiNm1BMS03eGtwazkwN3ZWYXcwbGwyb0c1Qm1BeTh1dmFSX3pFcGNVN1ZDeHZpTTUxTUZlVTFONXQ1TXc?oc=5,2025-03-31 01:54:05,MSN,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNE1DSWVZQnlYUkQwQUlNb0ZFYmc2MUp1VDhWbWNtZDAwZ1ZSZkFtS2lFLXFMWl9tMEdGR2tQZ28zNXlsRnlrNGNrdmFsYW40SnEtQ2tIZTJaSFpWNmFhSEpzaVBmWkdINVhud25oYWN1a0JXdjJWVzhmbzdNS3N6a0FqUUxyZTE4NjRydzhxNURlMzItczBiNm1BMS03eGtwazkwN3ZWYXcwbGwyb0c1Qm1BeTh1dmFSX3pFcGNVN1ZDeHZpTTUxTUZlVTFONXQ1TXc?oc=5"" target=""_blank"">In March, yellow alert for rain replaces yellow alert for heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"IMD Alert: Heavy storm and rain will occur in these 6 states, Meteorological Department has issued an alert - informalnewz",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPbEk5R0w5UkJhNVFtWFQ5OFJnc2Y3ZzJfdlRpbjBtWFR5Q254S0JKTl9FQlNid2Njb2I1dUNxckVUREpoeFJCTXVCZ01YUFlZdFQ5ekRCcjBNc2ZtNUZHdUFRYzNmR0g0RWxxbTR0SVlsYUNoOHo2elhGTUVyWjA5N3QySjBPM2VVV0hoWlVDNm5lT2hNbXBiLWo3TFRxVzY2U1RVeVNsUVVlNjRFSVFyRkx5Wk9kYVpHaWVTWmVoTDdqLVHSAcMBQVVfeXFMT2xJOUdMOVJCYTVRbVhUOThSZ3NmN2cyX3ZUaW4wbVhUeUNueEtCSk5fRUJTYndjY29iNXVDcXJFVERKaHhSQk11QmdNWFBZWXRUOXpEQnIwTXNmbTVGR3VBUWMzZkdINEVscW00dElZbGFDaDh6NnpYRk1FclowOTd0MkowTzNlVVdIaFpVQzZuZU9oTW1wYi1qN0xUcVc2NlNUVXlTbFFVZTY0RUlRckZMeVpPZGFaR2llU1plaEw3ai1R?oc=5,2025-03-31 09:14:54,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPbEk5R0w5UkJhNVFtWFQ5OFJnc2Y3ZzJfdlRpbjBtWFR5Q254S0JKTl9FQlNid2Njb2I1dUNxckVUREpoeFJCTXVCZ01YUFlZdFQ5ekRCcjBNc2ZtNUZHdUFRYzNmR0g0RWxxbTR0SVlsYUNoOHo2elhGTUVyWjA5N3QySjBPM2VVV0hoWlVDNm5lT2hNbXBiLWo3TFRxVzY2U1RVeVNsUVVlNjRFSVFyRkx5Wk9kYVpHaWVTWmVoTDdqLVHSAcMBQVVfeXFMT2xJOUdMOVJCYTVRbVhUOThSZ3NmN2cyX3ZUaW4wbVhUeUNueEtCSk5fRUJTYndjY29iNXVDcXJFVERKaHhSQk11QmdNWFBZWXRUOXpEQnIwTXNmbTVGR3VBUWMzZkdINEVscW00dElZbGFDaDh6NnpYRk1FclowOTd0MkowTzNlVVdIaFpVQzZuZU9oTW1wYi1qN0xUcVc2NlNUVXlTbFFVZTY0RUlRckZMeVpPZGFaR2llU1plaEw3ai1R?oc=5"" target=""_blank"">IMD Alert: Heavy storm and rain will occur in these 6 states, Meteorological Department has issued an alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
