Title,Link,Date,Source,Summary,Term,LanguageQueried
Rain fails to bring relief from heat - Times of India,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdmtFWDdUNHRTeUJhbGVMRG1rRzZtNmdpUklQdERzOXRiNEtIRlg0U2E2TVZmSGxOSEFWaURGekI2Z3dqakpxUTNpeUMwamppLUs4ZHBrTXRkYVVjTjg4LWlvOEFOcWFYcS1QRjktSFh2OVJaQjMtNUlIdEFaU0tYa1pXWTJKNEd4cDFvWnBnNl9aSGhqNGFDRlA2ZUNTYXVQLU1ic3c5cVpIRjjSAbABQVVfeXFMTUZFSVY1WldORGZ1UzFIcFdibHZ2eVlXNzdhdVNvOE9YM0RUZzdRQjlRcmJ5WjJ0WTFmVGR1OEp1anBRREhiUWs1MnVEUjdVTUZfYUVIOS1xeUdPWHlmTGtMRDFSR1NDODBWUjVZWjEyM0t4d1VHcllTMmJIQ0xHZWdWM3RIbk5GRnVJRVllWkV5aWNQMTVKNlFwakFkdmo0NFhFeHVLelo3NXgtZnlaVVo?oc=5,2025-04-04 00:01:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdmtFWDdUNHRTeUJhbGVMRG1rRzZtNmdpUklQdERzOXRiNEtIRlg0U2E2TVZmSGxOSEFWaURGekI2Z3dqakpxUTNpeUMwamppLUs4ZHBrTXRkYVVjTjg4LWlvOEFOcWFYcS1QRjktSFh2OVJaQjMtNUlIdEFaU0tYa1pXWTJKNEd4cDFvWnBnNl9aSGhqNGFDRlA2ZUNTYXVQLU1ic3c5cVpIRjjSAbABQVVfeXFMTUZFSVY1WldORGZ1UzFIcFdibHZ2eVlXNzdhdVNvOE9YM0RUZzdRQjlRcmJ5WjJ0WTFmVGR1OEp1anBRREhiUWs1MnVEUjdVTUZfYUVIOS1xeUdPWHlmTGtMRDFSR1NDODBWUjVZWjEyM0t4d1VHcllTMmJIQ0xHZWdWM3RIbk5GRnVJRVllWkV5aWNQMTVKNlFwakFkdmo0NFhFeHVLelo3NXgtZnlaVVo?oc=5"" target=""_blank"">Rain fails to bring relief from heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
South Goa MP writes to Union min to revoke April school start - Times of India,https://news.google.com/rss/articles/CBMizAFBVV95cUxPYU9EM2EtSlZSVHRYN0hydzVUNXUtNndBMV9DTlBISjdZQVRGZ3RDRUpUZVhnVUYwRW5IQ0hSOWppdDVjQmdxREJoQ2NQSnFXcm5abDlqbmRXSlRndGJYSnNybXd1d0ZvUFVJRVJ1aURLeEdpbk1QcGlPTkZPWGVTeS1kVDVFZTNkNVZiN2lFYjhOa3kzeWNNNTliY0hmdXdQbllwT2R6STNzdXU0cW5sSUxNWkp3enVqTXMxYlgwZ1hDdHRxZFZYQ3o1c2LSAdIBQVVfeXFMUFdqOVlRbzJQNGEtYkZUc3NrM0owdTBrcUhHbEYzbnVUOHFjUlByQmRJa19GdV9GMVdWdWZrOEcwZmFObGE5cjJuZWk4MWtzTkdLRm1LT2UyZGxKRVZKdmFzeWlUb2NvMlJiMll5MUJlMGtSYlNDTVBVNnhGSGFwTkNLU0NzbGl6dlRjeUx3dWZiM1lhOEhLdUdvX202VnVJM0ppNVhtb09lTl9PVHBjS3lUb2hmSnkzeXJYWDFnX1UwV2k0Tl9DX2JLMUp2UF9yQzhn?oc=5,2025-04-04 00:32:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPYU9EM2EtSlZSVHRYN0hydzVUNXUtNndBMV9DTlBISjdZQVRGZ3RDRUpUZVhnVUYwRW5IQ0hSOWppdDVjQmdxREJoQ2NQSnFXcm5abDlqbmRXSlRndGJYSnNybXd1d0ZvUFVJRVJ1aURLeEdpbk1QcGlPTkZPWGVTeS1kVDVFZTNkNVZiN2lFYjhOa3kzeWNNNTliY0hmdXdQbllwT2R6STNzdXU0cW5sSUxNWkp3enVqTXMxYlgwZ1hDdHRxZFZYQ3o1c2LSAdIBQVVfeXFMUFdqOVlRbzJQNGEtYkZUc3NrM0owdTBrcUhHbEYzbnVUOHFjUlByQmRJa19GdV9GMVdWdWZrOEcwZmFObGE5cjJuZWk4MWtzTkdLRm1LT2UyZGxKRVZKdmFzeWlUb2NvMlJiMll5MUJlMGtSYlNDTVBVNnhGSGFwTkNLU0NzbGl6dlRjeUx3dWZiM1lhOEhLdUdvX202VnVJM0ppNVhtb09lTl9PVHBjS3lUb2hmSnkzeXJYWDFnX1UwV2k0Tl9DX2JLMUp2UF9yQzhn?oc=5"" target=""_blank"">South Goa MP writes to Union min to revoke April school start</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ... - informalnewz",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5,2025-04-03 15:29:00,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5"" target=""_blank"">Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Disaster,en
Viriato calls for Unesco tag for tiatr - Times of India,https://news.google.com/rss/articles/CBMirgFBVV95cUxOZk5seEN2NnlzdnlNdlBlbWRyYjBiQ3VxZU5rVG1BT3pCT3k3LVBMMVBJZDhRM3JFRVFHWllJZEdwNUR5RmtiRlNxUnhDTG45b1RkMl9pY1pkanAtZnUyYjNsV3FEQnpLd0xkbnlkZVc2SWhIZ0FWT1pFS3BQWG5sUDhPVEZCSFhXTlVTM09zYmIwWjVnMm9YZlk5cmZFTEpQSm0wQTV0YTIzQTFRUmfSAbMBQVVfeXFMT3ZSNE5xWUczWVA0NnpDUGR1Vjd2b2tOeHFLMEdmekdvWE5Fd2JjTVF4NXdEekJSdHA3cm9ZVEZrdmJfZjd0M1VCOGN6enBSeldkbU9jUDdENEc2Qkd5TGdXdUl6N1NoZ1ZySkRja2ZXSFJWREtmWEdXcEt5UGU0OEk3dlVXMDVoeGhHcU9DcVg2RDhfdEZvN0pvTVpGazZ4Y2hjYWpWUlQ2MlNrWVdGS2w2SDA?oc=5,2025-04-04 00:34:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOZk5seEN2NnlzdnlNdlBlbWRyYjBiQ3VxZU5rVG1BT3pCT3k3LVBMMVBJZDhRM3JFRVFHWllJZEdwNUR5RmtiRlNxUnhDTG45b1RkMl9pY1pkanAtZnUyYjNsV3FEQnpLd0xkbnlkZVc2SWhIZ0FWT1pFS3BQWG5sUDhPVEZCSFhXTlVTM09zYmIwWjVnMm9YZlk5cmZFTEpQSm0wQTV0YTIzQTFRUmfSAbMBQVVfeXFMT3ZSNE5xWUczWVA0NnpDUGR1Vjd2b2tOeHFLMEdmekdvWE5Fd2JjTVF4NXdEekJSdHA3cm9ZVEZrdmJfZjd0M1VCOGN6enBSeldkbU9jUDdENEc2Qkd5TGdXdUl6N1NoZ1ZySkRja2ZXSFJWREtmWEdXcEt5UGU0OEk3dlVXMDVoeGhHcU9DcVg2RDhfdEZvN0pvTVpGazZ4Y2hjYWpWUlQ2MlNrWVdGS2w2SDA?oc=5"" target=""_blank"">Viriato calls for Unesco tag for tiatr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
Complaint against sand mining at Khandepar - Times of India,https://news.google.com/rss/articles/CBMiswFBVV95cUxOeUw4c1NvblRlazFIOElhMFpiV2U4UEpMR1FwNHZ1SV85U1lJV1Y0QmRmT3FHMkY2NXlJOGNlbGYwV2dVWURTNzdYbzZDU0FzYzdqMU1QUEUyTS12NC1MWjFzZmQxTkNtd0Q3V2g4UndxdVgzSHQ4YkdNYjVFb1NFYzgtbURxajRUUV9zOEliRnlSemc3VmtHcTM5Tk5kUk1PNE84ck15a0t5bmFFZVdxQXkyWdIBuAFBVV95cUxPSms4eWJMdkc1T081Z3FjbVptNy1vUWZ2YkFEZElsM01kbXFDVGtCNU9FZ05qblM3UTlYMUs1ZTgta245R3QxU2Z1aUYxenpjOGNCNlQ5Y1NXOERVcHhaN1h0ZGpSbFZPd2ZtMzh3RFZjWTJuaUZ4bFh3VVNwR0tuTkFNLVROTUVvSlFxWDRjc25uYV9QVW1mTEZMYVBBNTl3Q05QcGdFOVh5TEpBWWVSN2hfeUExckVm?oc=5,2025-04-04 00:21:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOeUw4c1NvblRlazFIOElhMFpiV2U4UEpMR1FwNHZ1SV85U1lJV1Y0QmRmT3FHMkY2NXlJOGNlbGYwV2dVWURTNzdYbzZDU0FzYzdqMU1QUEUyTS12NC1MWjFzZmQxTkNtd0Q3V2g4UndxdVgzSHQ4YkdNYjVFb1NFYzgtbURxajRUUV9zOEliRnlSemc3VmtHcTM5Tk5kUk1PNE84ck15a0t5bmFFZVdxQXkyWdIBuAFBVV95cUxPSms4eWJMdkc1T081Z3FjbVptNy1vUWZ2YkFEZElsM01kbXFDVGtCNU9FZ05qblM3UTlYMUs1ZTgta245R3QxU2Z1aUYxenpjOGNCNlQ5Y1NXOERVcHhaN1h0ZGpSbFZPd2ZtMzh3RFZjWTJuaUZ4bFh3VVNwR0tuTkFNLVROTUVvSlFxWDRjc25uYV9QVW1mTEZMYVBBNTl3Q05QcGdFOVh5TEpBWWVSN2hfeUExckVm?oc=5"" target=""_blank"">Complaint against sand mining at Khandepar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Mapusa dy collector’s office gets bomb threat, turns hoax - Times of India",https://news.google.com/rss/articles/CBMixAFBVV95cUxPaXI1aUVTanJPZFE0RUFkRktZYkdkRVYyZ0VBOWFfbS1hMV9FWER3bWY3SkR6TUtSa0ItbFEzdmljOEtiOTd2WWJkYl9oSEZhTjJ1WmswTEs0bkxLMHg4NURqanMwVzhBWDF0SGVCSUFwVzhYZWxnVXljZGpzN294czlqVFhUbTV1Z0tzR1FHMDB4WnQ0V3N3cDd6ZnVDSGJka0pLaU1QczE4SllBZDJ3QVdJTkRuNDMtLVZrb0I3bENiRG5I0gHKAUFVX3lxTE1VQmRBUTNuWkxTbDJybFkwRWZtSGRoUWRCZFA5d280aS15R1BDSl96Y1lwOU9jNmhLUG9Od213SkU0N29GdWFyTWNGWUFCUHZMZWVwVmJXZ0NlU3pvekhnbVlpWE1LT3ZJcWJwRUU0eGJkY3dWdG9RQUp0OXJJYzd1Z2NRd2lsUi1TN0tvcGNLTmFLbGtoNDlZX3VPbUhKMTByTng3bmc1YmkyclRjakRyYzlDb3hLTG9EckdqR2VIR0IwTUg0Vk5uemc?oc=5,2025-04-03 23:46:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPaXI1aUVTanJPZFE0RUFkRktZYkdkRVYyZ0VBOWFfbS1hMV9FWER3bWY3SkR6TUtSa0ItbFEzdmljOEtiOTd2WWJkYl9oSEZhTjJ1WmswTEs0bkxLMHg4NURqanMwVzhBWDF0SGVCSUFwVzhYZWxnVXljZGpzN294czlqVFhUbTV1Z0tzR1FHMDB4WnQ0V3N3cDd6ZnVDSGJka0pLaU1QczE4SllBZDJ3QVdJTkRuNDMtLVZrb0I3bENiRG5I0gHKAUFVX3lxTE1VQmRBUTNuWkxTbDJybFkwRWZtSGRoUWRCZFA5d280aS15R1BDSl96Y1lwOU9jNmhLUG9Od213SkU0N29GdWFyTWNGWUFCUHZMZWVwVmJXZ0NlU3pvekhnbVlpWE1LT3ZJcWJwRUU0eGJkY3dWdG9RQUp0OXJJYzd1Z2NRd2lsUi1TN0tvcGNLTmFLbGtoNDlZX3VPbUhKMTByTng3bmc1YmkyclRjakRyYzlDb3hLTG9EckdqR2VIR0IwTUg0Vk5uemc?oc=5"" target=""_blank"">Mapusa dy collector’s office gets bomb threat, turns hoax</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
Rain fails to bring relief from heat - Times of India,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdmtFWDdUNHRTeUJhbGVMRG1rRzZtNmdpUklQdERzOXRiNEtIRlg0U2E2TVZmSGxOSEFWaURGekI2Z3dqakpxUTNpeUMwamppLUs4ZHBrTXRkYVVjTjg4LWlvOEFOcWFYcS1QRjktSFh2OVJaQjMtNUlIdEFaU0tYa1pXWTJKNEd4cDFvWnBnNl9aSGhqNGFDRlA2ZUNTYXVQLU1ic3c5cVpIRjjSAbABQVVfeXFMTUZFSVY1WldORGZ1UzFIcFdibHZ2eVlXNzdhdVNvOE9YM0RUZzdRQjlRcmJ5WjJ0WTFmVGR1OEp1anBRREhiUWs1MnVEUjdVTUZfYUVIOS1xeUdPWHlmTGtMRDFSR1NDODBWUjVZWjEyM0t4d1VHcllTMmJIQ0xHZWdWM3RIbk5GRnVJRVllWkV5aWNQMTVKNlFwakFkdmo0NFhFeHVLelo3NXgtZnlaVVo?oc=5,2025-04-04 00:01:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdmtFWDdUNHRTeUJhbGVMRG1rRzZtNmdpUklQdERzOXRiNEtIRlg0U2E2TVZmSGxOSEFWaURGekI2Z3dqakpxUTNpeUMwamppLUs4ZHBrTXRkYVVjTjg4LWlvOEFOcWFYcS1QRjktSFh2OVJaQjMtNUlIdEFaU0tYa1pXWTJKNEd4cDFvWnBnNl9aSGhqNGFDRlA2ZUNTYXVQLU1ic3c5cVpIRjjSAbABQVVfeXFMTUZFSVY1WldORGZ1UzFIcFdibHZ2eVlXNzdhdVNvOE9YM0RUZzdRQjlRcmJ5WjJ0WTFmVGR1OEp1anBRREhiUWs1MnVEUjdVTUZfYUVIOS1xeUdPWHlmTGtMRDFSR1NDODBWUjVZWjEyM0t4d1VHcllTMmJIQ0xHZWdWM3RIbk5GRnVJRVllWkV5aWNQMTVKNlFwakFkdmo0NFhFeHVLelo3NXgtZnlaVVo?oc=5"" target=""_blank"">Rain fails to bring relief from heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
South Goa MP writes to Union min to revoke April school start - Times of India,https://news.google.com/rss/articles/CBMizAFBVV95cUxPYU9EM2EtSlZSVHRYN0hydzVUNXUtNndBMV9DTlBISjdZQVRGZ3RDRUpUZVhnVUYwRW5IQ0hSOWppdDVjQmdxREJoQ2NQSnFXcm5abDlqbmRXSlRndGJYSnNybXd1d0ZvUFVJRVJ1aURLeEdpbk1QcGlPTkZPWGVTeS1kVDVFZTNkNVZiN2lFYjhOa3kzeWNNNTliY0hmdXdQbllwT2R6STNzdXU0cW5sSUxNWkp3enVqTXMxYlgwZ1hDdHRxZFZYQ3o1c2LSAdIBQVVfeXFMUFdqOVlRbzJQNGEtYkZUc3NrM0owdTBrcUhHbEYzbnVUOHFjUlByQmRJa19GdV9GMVdWdWZrOEcwZmFObGE5cjJuZWk4MWtzTkdLRm1LT2UyZGxKRVZKdmFzeWlUb2NvMlJiMll5MUJlMGtSYlNDTVBVNnhGSGFwTkNLU0NzbGl6dlRjeUx3dWZiM1lhOEhLdUdvX202VnVJM0ppNVhtb09lTl9PVHBjS3lUb2hmSnkzeXJYWDFnX1UwV2k0Tl9DX2JLMUp2UF9yQzhn?oc=5,2025-04-04 00:32:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPYU9EM2EtSlZSVHRYN0hydzVUNXUtNndBMV9DTlBISjdZQVRGZ3RDRUpUZVhnVUYwRW5IQ0hSOWppdDVjQmdxREJoQ2NQSnFXcm5abDlqbmRXSlRndGJYSnNybXd1d0ZvUFVJRVJ1aURLeEdpbk1QcGlPTkZPWGVTeS1kVDVFZTNkNVZiN2lFYjhOa3kzeWNNNTliY0hmdXdQbllwT2R6STNzdXU0cW5sSUxNWkp3enVqTXMxYlgwZ1hDdHRxZFZYQ3o1c2LSAdIBQVVfeXFMUFdqOVlRbzJQNGEtYkZUc3NrM0owdTBrcUhHbEYzbnVUOHFjUlByQmRJa19GdV9GMVdWdWZrOEcwZmFObGE5cjJuZWk4MWtzTkdLRm1LT2UyZGxKRVZKdmFzeWlUb2NvMlJiMll5MUJlMGtSYlNDTVBVNnhGSGFwTkNLU0NzbGl6dlRjeUx3dWZiM1lhOEhLdUdvX202VnVJM0ppNVhtb09lTl9PVHBjS3lUb2hmSnkzeXJYWDFnX1UwV2k0Tl9DX2JLMUp2UF9yQzhn?oc=5"" target=""_blank"">South Goa MP writes to Union min to revoke April school start</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ... - informalnewz",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5,2025-04-03 15:29:00,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5"" target=""_blank"">Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Disaster,en
Viriato calls for Unesco tag for tiatr - Times of India,https://news.google.com/rss/articles/CBMirgFBVV95cUxOZk5seEN2NnlzdnlNdlBlbWRyYjBiQ3VxZU5rVG1BT3pCT3k3LVBMMVBJZDhRM3JFRVFHWllJZEdwNUR5RmtiRlNxUnhDTG45b1RkMl9pY1pkanAtZnUyYjNsV3FEQnpLd0xkbnlkZVc2SWhIZ0FWT1pFS3BQWG5sUDhPVEZCSFhXTlVTM09zYmIwWjVnMm9YZlk5cmZFTEpQSm0wQTV0YTIzQTFRUmfSAbMBQVVfeXFMT3ZSNE5xWUczWVA0NnpDUGR1Vjd2b2tOeHFLMEdmekdvWE5Fd2JjTVF4NXdEekJSdHA3cm9ZVEZrdmJfZjd0M1VCOGN6enBSeldkbU9jUDdENEc2Qkd5TGdXdUl6N1NoZ1ZySkRja2ZXSFJWREtmWEdXcEt5UGU0OEk3dlVXMDVoeGhHcU9DcVg2RDhfdEZvN0pvTVpGazZ4Y2hjYWpWUlQ2MlNrWVdGS2w2SDA?oc=5,2025-04-04 00:34:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOZk5seEN2NnlzdnlNdlBlbWRyYjBiQ3VxZU5rVG1BT3pCT3k3LVBMMVBJZDhRM3JFRVFHWllJZEdwNUR5RmtiRlNxUnhDTG45b1RkMl9pY1pkanAtZnUyYjNsV3FEQnpLd0xkbnlkZVc2SWhIZ0FWT1pFS3BQWG5sUDhPVEZCSFhXTlVTM09zYmIwWjVnMm9YZlk5cmZFTEpQSm0wQTV0YTIzQTFRUmfSAbMBQVVfeXFMT3ZSNE5xWUczWVA0NnpDUGR1Vjd2b2tOeHFLMEdmekdvWE5Fd2JjTVF4NXdEekJSdHA3cm9ZVEZrdmJfZjd0M1VCOGN6enBSeldkbU9jUDdENEc2Qkd5TGdXdUl6N1NoZ1ZySkRja2ZXSFJWREtmWEdXcEt5UGU0OEk3dlVXMDVoeGhHcU9DcVg2RDhfdEZvN0pvTVpGazZ4Y2hjYWpWUlQ2MlNrWVdGS2w2SDA?oc=5"" target=""_blank"">Viriato calls for Unesco tag for tiatr</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
