Title,Link,Date,Source,Summary,Term,LanguageQueried
"Heatwave in Delhi as mercury soars to 48.9 deg Celsius, IMD issues orange alert till June 11 - CNBC TV18",https://news.google.com/rss/articles/CBMisgFBVV95cUxQNGhmaEJEQVMxNkt4aE9PQ1lfbDlFOS1yUTdDZGdfSm5jOVc0eUhFOUpjOTdXWmQ0ekdRWmxaMHdIUXg1RTlvejYzc0pib1V1ZmkzX3FRSm1PczY2aFpYRXFOdmVTSUF2M1pHbktyVE9QTEs3WVVCRGw5bmJDTEZ0aWg0cDhCMmZKWmdSNU5YSWs2eXlsWkFfT3M1Q1pPQllSaEFIN05XaEN4LXhBWEx2VkVR0gG3AUFVX3lxTE95dTF3cndmN3hja1QtNFJkbTJiMElCMGFTLW1waXNqSDZhTzJ1cWRCTWhMRWZGR2pWS2NDYkI4eU9Dd3ItSi1fallUdkpTUmdlbGZNdWlhcWJaOHBHeGJuc1M5cWJPbDlhWW1Nbi1sMkg5a1pVV2dNMnhFRnNIbFhFY2RTMzd1S19XS2pwMng2WTBjRUJFbVpCQVVmSS1obUJsR0M1UGJINksxNEdQb1lCeWN6UHdrYw?oc=5,2025-06-10 08:57:58,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQNGhmaEJEQVMxNkt4aE9PQ1lfbDlFOS1yUTdDZGdfSm5jOVc0eUhFOUpjOTdXWmQ0ekdRWmxaMHdIUXg1RTlvejYzc0pib1V1ZmkzX3FRSm1PczY2aFpYRXFOdmVTSUF2M1pHbktyVE9QTEs3WVVCRGw5bmJDTEZ0aWg0cDhCMmZKWmdSNU5YSWs2eXlsWkFfT3M1Q1pPQllSaEFIN05XaEN4LXhBWEx2VkVR0gG3AUFVX3lxTE95dTF3cndmN3hja1QtNFJkbTJiMElCMGFTLW1waXNqSDZhTzJ1cWRCTWhMRWZGR2pWS2NDYkI4eU9Dd3ItSi1fallUdkpTUmdlbGZNdWlhcWJaOHBHeGJuc1M5cWJPbDlhWW1Nbi1sMkg5a1pVV2dNMnhFRnNIbFhFY2RTMzd1S19XS2pwMng2WTBjRUJFbVpCQVVmSS1obUJsR0M1UGJINksxNEdQb1lCeWN6UHdrYw?oc=5"" target=""_blank"">Heatwave in Delhi as mercury soars to 48.9 deg Celsius, IMD issues orange alert till June 11</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
"Weather Update: Heavy Rainfall and Heatwave Alerts Across Tamil Nadu, Maharashtra, Bihar, Delhi and Other States till June 15 - Krishi Jagran",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxMQk16YmI1STlCQlpQbnB4QjA0WV85NmNZZUZ1bTlXMUpkbHF2UnZuZnNNQUJHc3JtaEt5ZVdSeE1USElQVUJDRzdFM0Y2QzB4RVNjeUFoSFo5N3E2d1dVSHg4RXhnWjRqN2otT01IVHk5dXVaY3ViczNKalJYajNJLUpmc0tUaFBHM21Db3QzV2gxMldJOHZOYWhsWlBqbXhGRHd6VjRsWnNCMWlXVWhDSk9zRjNUdHlwekpyc1VlX1NNNXdLU3BEVVVmQTdiMjdDaGhCR05aV1JXengyYjVWY0xUaG9YU1lBd3dCalFoZXRZdVE?oc=5,2025-06-10 07:22:30,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxMQk16YmI1STlCQlpQbnB4QjA0WV85NmNZZUZ1bTlXMUpkbHF2UnZuZnNNQUJHc3JtaEt5ZVdSeE1USElQVUJDRzdFM0Y2QzB4RVNjeUFoSFo5N3E2d1dVSHg4RXhnWjRqN2otT01IVHk5dXVaY3ViczNKalJYajNJLUpmc0tUaFBHM21Db3QzV2gxMldJOHZOYWhsWlBqbXhGRHd6VjRsWnNCMWlXVWhDSk9zRjNUdHlwekpyc1VlX1NNNXdLU3BEVVVmQTdiMjdDaGhCR05aV1JXengyYjVWY0xUaG9YU1lBd3dCalFoZXRZdVE?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall and Heatwave Alerts Across Tamil Nadu, Maharashtra, Bihar, Delhi and Other States till June 15</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Monsoon to pick up pace, weather dept issues orange alert for Goa on June 13 - Times of India",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPWkpidUt5TmVXMVc5T1Zrb0t5dzJkR0hFV3UtRE1rRkpmeDE5ZWt3ZEUwNHdXTzF5S29uVVUxSnRXOG5xNEUwdC1ZUEREZEhGcWdVemVDWjNQQ1ZZV1hMT3Y3THpEQjgzNWhpMTEwVnB5ejlJUHRidWtRX1FzVXo2X0lfby1BWjRDQmY5dGU2bU9RN1MyZG1vZDJJN2RhbUhqQ2RYWW5BUzlUX1MwS3pGZVBMbm95VTVmMm5hMlVsWDdmRmtZbEltYVdTRzNheExjZGQwdHlaZUVKZncxWF9N0gHkAUFVX3lxTE9hZXRac0Vncm4zUXFQX2JSRk1TcXZuQ3RYZ0RPaVBhbW5rSzFQeTBwX1VrUWk2dGxSWVRfQzluWXVxNzdZSEJJdEJacVM0NWthNTBfVFRpRkdOc0prNFk0WVBiQmNIOWFfWllZUXpBMENMbEZpb1JWVnBKNjlqa19wcVhDTjh4cEYybTJRV0NaTlh6WGFzTk0wck9CdjFQam5TTXBrT05ncnFWU0Z4Mi1YNEZVV19mU2tzYWxOQS1YTTFFNEhadExybVNFQUdYM0FpWVdnd1d0Q3ZUZldRNmNtTm9WYQ?oc=5,2025-06-09 23:59:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPWkpidUt5TmVXMVc5T1Zrb0t5dzJkR0hFV3UtRE1rRkpmeDE5ZWt3ZEUwNHdXTzF5S29uVVUxSnRXOG5xNEUwdC1ZUEREZEhGcWdVemVDWjNQQ1ZZV1hMT3Y3THpEQjgzNWhpMTEwVnB5ejlJUHRidWtRX1FzVXo2X0lfby1BWjRDQmY5dGU2bU9RN1MyZG1vZDJJN2RhbUhqQ2RYWW5BUzlUX1MwS3pGZVBMbm95VTVmMm5hMlVsWDdmRmtZbEltYVdTRzNheExjZGQwdHlaZUVKZncxWF9N0gHkAUFVX3lxTE9hZXRac0Vncm4zUXFQX2JSRk1TcXZuQ3RYZ0RPaVBhbW5rSzFQeTBwX1VrUWk2dGxSWVRfQzluWXVxNzdZSEJJdEJacVM0NWthNTBfVFRpRkdOc0prNFk0WVBiQmNIOWFfWllZUXpBMENMbEZpb1JWVnBKNjlqa19wcVhDTjh4cEYybTJRV0NaTlh6WGFzTk0wck9CdjFQam5TTXBrT05ncnFWU0Z4Mi1YNEZVV19mU2tzYWxOQS1YTTFFNEhadExybVNFQUdYM0FpWVdnd1d0Q3ZUZldRNmNtTm9WYQ?oc=5"" target=""_blank"">Monsoon to pick up pace, weather dept issues orange alert for Goa on June 13</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Forest dept, BITS tie up to devise an early warning system for fires in Goa - Times of India",https://news.google.com/rss/articles/CBMi3gFBVV95cUxPSWdZaGl2U29VNHc3X1JjRmxEdllzbW1CQkJ2OTdROXZoYkFBdmhVcGVEUXFtUktWMEtodnFBRjhraEp5S1BoNVVWcm9uWFZJcUNwLTlkRjFxSFBxdThBZVU2VWQwNUFOc1JSV242Ym5fU0picGpsSlZYWFNvbXN2Q24xbFlQSGhOUWRDM0x5cHM3Rml1SFVqalUyWVBQMVdzbTJVSlplQXpVU054VFZwWUFxV1RrZEZ0cTk2U3p4enI5NExYdG9XRGFoRXFRcmdLOGJBUnY5cmZodTlQLVE?oc=5,2025-06-10 00:09:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPSWdZaGl2U29VNHc3X1JjRmxEdllzbW1CQkJ2OTdROXZoYkFBdmhVcGVEUXFtUktWMEtodnFBRjhraEp5S1BoNVVWcm9uWFZJcUNwLTlkRjFxSFBxdThBZVU2VWQwNUFOc1JSV242Ym5fU0picGpsSlZYWFNvbXN2Q24xbFlQSGhOUWRDM0x5cHM3Rml1SFVqalUyWVBQMVdzbTJVSlplQXpVU054VFZwWUFxV1RrZEZ0cTk2U3p4enI5NExYdG9XRGFoRXFRcmdLOGJBUnY5cmZodTlQLVE?oc=5"" target=""_blank"">Forest dept, BITS tie up to devise an early warning system for fires in Goa</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
Monsoon Alert: Heavy rain warning with lightning in these states - Times Bull,https://news.google.com/rss/articles/CBMinwFBVV95cUxNZ1pmY1dxMlJ4T0gtMndmQ2VZWGc4X0gyakk3SGlPbEVpRUZGMXdBT3hyMHJyZXpZM0pmLVlCQXNoM0FBYS1FQ09Tenh0N2s0TGxfamtSalowbTRGYmd1MFFGTmZMQlRnanZjTjVkVHEzQmJXRF9uZGhhT0pXNTZEUy03SS1CT3RIdUNjT2ZRVU05empSMGVZRVVqU0JTNFk?oc=5,2025-06-10 06:21:24,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxNZ1pmY1dxMlJ4T0gtMndmQ2VZWGc4X0gyakk3SGlPbEVpRUZGMXdBT3hyMHJyZXpZM0pmLVlCQXNoM0FBYS1FQ09Tenh0N2s0TGxfamtSalowbTRGYmd1MFFGTmZMQlRnanZjTjVkVHEzQmJXRF9uZGhhT0pXNTZEUy03SS1CT3RIdUNjT2ZRVU05empSMGVZRVVqU0JTNFk?oc=5"" target=""_blank"">Monsoon Alert: Heavy rain warning with lightning in these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
"No sign of respite from sweltering heat as IMD predicts heatwave in Delhi, UP, other states - News9live",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMWFxOE5EV0JUalNMRVFMeTYzZ0JnNy0yd1M1U0RheDd1V2QyemdXUzFUUlJ3R09FZzhiRUpHc0ZpVmlRbkFqQ29jSW55OVFibDh2LWJrTmdNN3g0ZUZrYUk1Y05sRERFbXdCdXR0Ym1ISUllajl5X1ZfN1hrRDlISFpOZWtubnBYSU94MUo2TzJ5VWFiS2xPcnZRam54NTRFU0E2Qk5ESGZYR3VmVWh0WTFQenY2MEw4OWIxM1o1VFBnNkhCNnVvNNIBzgFBVV95cUxOQlZ4bVpFdm1SSE1WZ000X1piemRzamE1WGNvOVAtYW15NmNxemhoZHJ1UFROSUZvUDNwNW14bFhfTHdDU0VYd21NeDNBLU5TTFNSbUZKelgxYkdsZmNRMlNzam1lWU41ZXo1cjBBSl9qQ3ItdkpvdGNyU01nekhSUW1uWWJoUmE1cm1Pc0xhNTVLRjJsaE1BOWZBa3ZsbERaWGtrLS1xWnFSZlZGT2xhX3BUdVg3Q1J6Tzl2Z3BnaWN2MHFreGMxTVRNUXlhQQ?oc=5,2025-06-10 09:42:41,News9live,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMWFxOE5EV0JUalNMRVFMeTYzZ0JnNy0yd1M1U0RheDd1V2QyemdXUzFUUlJ3R09FZzhiRUpHc0ZpVmlRbkFqQ29jSW55OVFibDh2LWJrTmdNN3g0ZUZrYUk1Y05sRERFbXdCdXR0Ym1ISUllajl5X1ZfN1hrRDlISFpOZWtubnBYSU94MUo2TzJ5VWFiS2xPcnZRam54NTRFU0E2Qk5ESGZYR3VmVWh0WTFQenY2MEw4OWIxM1o1VFBnNkhCNnVvNNIBzgFBVV95cUxOQlZ4bVpFdm1SSE1WZ000X1piemRzamE1WGNvOVAtYW15NmNxemhoZHJ1UFROSUZvUDNwNW14bFhfTHdDU0VYd21NeDNBLU5TTFNSbUZKelgxYkdsZmNRMlNzam1lWU41ZXo1cjBBSl9qQ3ItdkpvdGNyU01nekhSUW1uWWJoUmE1cm1Pc0xhNTVLRjJsaE1BOWZBa3ZsbERaWGtrLS1xWnFSZlZGT2xhX3BUdVg3Q1J6Tzl2Z3BnaWN2MHFreGMxTVRNUXlhQQ?oc=5"" target=""_blank"">No sign of respite from sweltering heat as IMD predicts heatwave in Delhi, UP, other states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9live</font>",Heatwave,en
Expect Heavy To Very Heavy Rainfall In South Peninsular India: IMD - MENAFN.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxNV21TWGJ4aTdCSzFFMHBQSE5VRERDU2drOWZCd2FqbEVhczRUSndzckgxMTRvLThwbVlkUVQ5djdkNHlTMnpsQ0lvRGRkd0Z6VzFJbjVfclR4cWlmZF85YjJqMHZRbnNQai1scGlpbnJwQ2FQeE92S2VkNmg5b08yZEFmbGFpaElhOWQtYjROUGJVU3lOYmVkcy0yWQ?oc=5,2025-06-09 12:43:43,MENAFN.com,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNV21TWGJ4aTdCSzFFMHBQSE5VRERDU2drOWZCd2FqbEVhczRUSndzckgxMTRvLThwbVlkUVQ5djdkNHlTMnpsQ0lvRGRkd0Z6VzFJbjVfclR4cWlmZF85YjJqMHZRbnNQai1scGlpbnJwQ2FQeE92S2VkNmg5b08yZEFmbGFpaElhOWQtYjROUGJVU3lOYmVkcy0yWQ?oc=5"" target=""_blank"">Expect Heavy To Very Heavy Rainfall In South Peninsular India: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MENAFN.com</font>",Heatwave,en
"Heatwave in Delhi as mercury soars to 48.9 deg Celsius, IMD issues orange alert till June 11 - CNBC TV18",https://news.google.com/rss/articles/CBMisgFBVV95cUxQNGhmaEJEQVMxNkt4aE9PQ1lfbDlFOS1yUTdDZGdfSm5jOVc0eUhFOUpjOTdXWmQ0ekdRWmxaMHdIUXg1RTlvejYzc0pib1V1ZmkzX3FRSm1PczY2aFpYRXFOdmVTSUF2M1pHbktyVE9QTEs3WVVCRGw5bmJDTEZ0aWg0cDhCMmZKWmdSNU5YSWs2eXlsWkFfT3M1Q1pPQllSaEFIN05XaEN4LXhBWEx2VkVR0gG3AUFVX3lxTE95dTF3cndmN3hja1QtNFJkbTJiMElCMGFTLW1waXNqSDZhTzJ1cWRCTWhMRWZGR2pWS2NDYkI4eU9Dd3ItSi1fallUdkpTUmdlbGZNdWlhcWJaOHBHeGJuc1M5cWJPbDlhWW1Nbi1sMkg5a1pVV2dNMnhFRnNIbFhFY2RTMzd1S19XS2pwMng2WTBjRUJFbVpCQVVmSS1obUJsR0M1UGJINksxNEdQb1lCeWN6UHdrYw?oc=5,2025-06-10 08:57:58,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQNGhmaEJEQVMxNkt4aE9PQ1lfbDlFOS1yUTdDZGdfSm5jOVc0eUhFOUpjOTdXWmQ0ekdRWmxaMHdIUXg1RTlvejYzc0pib1V1ZmkzX3FRSm1PczY2aFpYRXFOdmVTSUF2M1pHbktyVE9QTEs3WVVCRGw5bmJDTEZ0aWg0cDhCMmZKWmdSNU5YSWs2eXlsWkFfT3M1Q1pPQllSaEFIN05XaEN4LXhBWEx2VkVR0gG3AUFVX3lxTE95dTF3cndmN3hja1QtNFJkbTJiMElCMGFTLW1waXNqSDZhTzJ1cWRCTWhMRWZGR2pWS2NDYkI4eU9Dd3ItSi1fallUdkpTUmdlbGZNdWlhcWJaOHBHeGJuc1M5cWJPbDlhWW1Nbi1sMkg5a1pVV2dNMnhFRnNIbFhFY2RTMzd1S19XS2pwMng2WTBjRUJFbVpCQVVmSS1obUJsR0M1UGJINksxNEdQb1lCeWN6UHdrYw?oc=5"" target=""_blank"">Heatwave in Delhi as mercury soars to 48.9 deg Celsius, IMD issues orange alert till June 11</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
"Weather Update: Heavy Rainfall and Heatwave Alerts Across Tamil Nadu, Maharashtra, Bihar, Delhi and Other States till June 15 - Krishi Jagran",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxMQk16YmI1STlCQlpQbnB4QjA0WV85NmNZZUZ1bTlXMUpkbHF2UnZuZnNNQUJHc3JtaEt5ZVdSeE1USElQVUJDRzdFM0Y2QzB4RVNjeUFoSFo5N3E2d1dVSHg4RXhnWjRqN2otT01IVHk5dXVaY3ViczNKalJYajNJLUpmc0tUaFBHM21Db3QzV2gxMldJOHZOYWhsWlBqbXhGRHd6VjRsWnNCMWlXVWhDSk9zRjNUdHlwekpyc1VlX1NNNXdLU3BEVVVmQTdiMjdDaGhCR05aV1JXengyYjVWY0xUaG9YU1lBd3dCalFoZXRZdVE?oc=5,2025-06-10 07:22:30,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxMQk16YmI1STlCQlpQbnB4QjA0WV85NmNZZUZ1bTlXMUpkbHF2UnZuZnNNQUJHc3JtaEt5ZVdSeE1USElQVUJDRzdFM0Y2QzB4RVNjeUFoSFo5N3E2d1dVSHg4RXhnWjRqN2otT01IVHk5dXVaY3ViczNKalJYajNJLUpmc0tUaFBHM21Db3QzV2gxMldJOHZOYWhsWlBqbXhGRHd6VjRsWnNCMWlXVWhDSk9zRjNUdHlwekpyc1VlX1NNNXdLU3BEVVVmQTdiMjdDaGhCR05aV1JXengyYjVWY0xUaG9YU1lBd3dCalFoZXRZdVE?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall and Heatwave Alerts Across Tamil Nadu, Maharashtra, Bihar, Delhi and Other States till June 15</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Monsoon to pick up pace, weather dept issues orange alert for Goa on June 13 - Times of India",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPWkpidUt5TmVXMVc5T1Zrb0t5dzJkR0hFV3UtRE1rRkpmeDE5ZWt3ZEUwNHdXTzF5S29uVVUxSnRXOG5xNEUwdC1ZUEREZEhGcWdVemVDWjNQQ1ZZV1hMT3Y3THpEQjgzNWhpMTEwVnB5ejlJUHRidWtRX1FzVXo2X0lfby1BWjRDQmY5dGU2bU9RN1MyZG1vZDJJN2RhbUhqQ2RYWW5BUzlUX1MwS3pGZVBMbm95VTVmMm5hMlVsWDdmRmtZbEltYVdTRzNheExjZGQwdHlaZUVKZncxWF9N0gHkAUFVX3lxTE9hZXRac0Vncm4zUXFQX2JSRk1TcXZuQ3RYZ0RPaVBhbW5rSzFQeTBwX1VrUWk2dGxSWVRfQzluWXVxNzdZSEJJdEJacVM0NWthNTBfVFRpRkdOc0prNFk0WVBiQmNIOWFfWllZUXpBMENMbEZpb1JWVnBKNjlqa19wcVhDTjh4cEYybTJRV0NaTlh6WGFzTk0wck9CdjFQam5TTXBrT05ncnFWU0Z4Mi1YNEZVV19mU2tzYWxOQS1YTTFFNEhadExybVNFQUdYM0FpWVdnd1d0Q3ZUZldRNmNtTm9WYQ?oc=5,2025-06-09 23:59:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPWkpidUt5TmVXMVc5T1Zrb0t5dzJkR0hFV3UtRE1rRkpmeDE5ZWt3ZEUwNHdXTzF5S29uVVUxSnRXOG5xNEUwdC1ZUEREZEhGcWdVemVDWjNQQ1ZZV1hMT3Y3THpEQjgzNWhpMTEwVnB5ejlJUHRidWtRX1FzVXo2X0lfby1BWjRDQmY5dGU2bU9RN1MyZG1vZDJJN2RhbUhqQ2RYWW5BUzlUX1MwS3pGZVBMbm95VTVmMm5hMlVsWDdmRmtZbEltYVdTRzNheExjZGQwdHlaZUVKZncxWF9N0gHkAUFVX3lxTE9hZXRac0Vncm4zUXFQX2JSRk1TcXZuQ3RYZ0RPaVBhbW5rSzFQeTBwX1VrUWk2dGxSWVRfQzluWXVxNzdZSEJJdEJacVM0NWthNTBfVFRpRkdOc0prNFk0WVBiQmNIOWFfWllZUXpBMENMbEZpb1JWVnBKNjlqa19wcVhDTjh4cEYybTJRV0NaTlh6WGFzTk0wck9CdjFQam5TTXBrT05ncnFWU0Z4Mi1YNEZVV19mU2tzYWxOQS1YTTFFNEhadExybVNFQUdYM0FpWVdnd1d0Q3ZUZldRNmNtTm9WYQ?oc=5"" target=""_blank"">Monsoon to pick up pace, weather dept issues orange alert for Goa on June 13</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
