Title,Link,Date,Source,Summary,Place
"Monsoon withdraws, but heavy rain keeps 1 foot in - The Times of India",https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSzQwZFB5ZUZ4VVZ6UFp2REt0Q2Nid01ReFVXRlJYcHI3TGNVbXdwdnhYQV9FSnc3aWZYbjc5ckJrQWNsblRQVjF0SmtoMFBZdE13bzQyTkhRR0tvZm53WDJFWUh3SGp5QkdwRU00ZEZ0clFJS01Ecy02MDZjd0lTX0FLekZEQzBHVk5XZnZRQ1pqOXBJZDhlSGdNWGxkYjhCblNEcndYMVk1YWFQWktxRW9SMC16U0xBUDYw0gHAAUFVX3lxTE5qcTFpU0pCcjVmVFdFMFZyZVJnd1NuSUx2amtNUkluZ1NVaThCZ2hfREI4a1MyVHZFZC1CcEE3RmlndTNVZGZyUWthMkk0Z0Rwc2ZkSVZqcm4wal83azJuRng1OVI0SmhTOEFSSVpFTjcySm5DUEJVR1RuUUxwQzdxUVBMakFIelJMRmNjMmlkS00xYkF1NlI2TTY4SzlUZmNmRFBpaXUwYktTTnRJMWVJNi0tUFJrNFplVk41R3kteQ?oc=5,2024-10-15 23:55:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSzQwZFB5ZUZ4VVZ6UFp2REt0Q2Nid01ReFVXRlJYcHI3TGNVbXdwdnhYQV9FSnc3aWZYbjc5ckJrQWNsblRQVjF0SmtoMFBZdE13bzQyTkhRR0tvZm53WDJFWUh3SGp5QkdwRU00ZEZ0clFJS01Ecy02MDZjd0lTX0FLekZEQzBHVk5XZnZRQ1pqOXBJZDhlSGdNWGxkYjhCblNEcndYMVk1YWFQWktxRW9SMC16U0xBUDYw0gHAAUFVX3lxTE5qcTFpU0pCcjVmVFdFMFZyZVJnd1NuSUx2amtNUkluZ1NVaThCZ2hfREI4a1MyVHZFZC1CcEE3RmlndTNVZGZyUWthMkk0Z0Rwc2ZkSVZqcm4wal83azJuRng1OVI0SmhTOEFSSVpFTjcySm5DUEJVR1RuUUxwQzdxUVBMakFIelJMRmNjMmlkS00xYkF1NlI2TTY4SzlUZmNmRFBpaXUwYktTTnRJMWVJNi0tUFJrNFplVk41R3kteQ?oc=5"" target=""_blank"">Monsoon withdraws, but heavy rain keeps 1 foot in</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"IMD Weather Update: Intense Downpour Prompts Red Alert In Tamil Nadu, Poor AQI in Delhi - News24",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPOGNxellXeUgxZy0zcTdpeFBPMVZCUmtoVlJ2QXJHR3diT1Q1UllFM3BZSFphcWRmSHFqNzk3R0pyTkNKVk9rQmgyb09KZU5SLWU4UXEza0czWHVPSEVvSndRT0xSMDF6cmNvMGl5VzJyYjdDcDlkTE1aQXNoOFY5dGNrb3FNUFNidXVNamJYWGhHWkhlZEJUTVVvbVVJVWpIaUdPRk43X3JPT3huYWhFZDkwWFJvOHlZZUJrZWxTTmdIUQ?oc=5,2024-10-16 08:05:18,News24,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPOGNxellXeUgxZy0zcTdpeFBPMVZCUmtoVlJ2QXJHR3diT1Q1UllFM3BZSFphcWRmSHFqNzk3R0pyTkNKVk9rQmgyb09KZU5SLWU4UXEza0czWHVPSEVvSndRT0xSMDF6cmNvMGl5VzJyYjdDcDlkTE1aQXNoOFY5dGNrb3FNUFNidXVNamJYWGhHWkhlZEJUTVVvbVVJVWpIaUdPRk43X3JPT3huYWhFZDkwWFJvOHlZZUJrZWxTTmdIUQ?oc=5"" target=""_blank"">IMD Weather Update: Intense Downpour Prompts Red Alert In Tamil Nadu, Poor AQI in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",
"Low Pressure becomes well marked, to intensify further, heavy rains lash TN - Goa Chronicle",https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGRXM1ltWEhCS0dOamJsNm5EamJSWXRxQVgwem1NeVhMUjg0dE1saGMyOG5xNmp2RXltS0JvTDVuVUFiOVNGcGNFUml5NXpFaDBLcGlaeVlOVzc1NlFSMkZpWE9NTVFtRUJVTHBPMU5mYlkyNkg0NV9fWGFrTVR3cXp2bWdKQUdKSnBVQk95VVRZZ09WVkJHbjV0cVE3NzYx?oc=5,2024-10-15 12:51:10,Goa Chronicle,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGRXM1ltWEhCS0dOamJsNm5EamJSWXRxQVgwem1NeVhMUjg0dE1saGMyOG5xNmp2RXltS0JvTDVuVUFiOVNGcGNFUml5NXpFaDBLcGlaeVlOVzc1NlFSMkZpWE9NTVFtRUJVTHBPMU5mYlkyNkg0NV9fWGFrTVR3cXp2bWdKQUdKSnBVQk95VVRZZ09WVkJHbjV0cVE3NzYx?oc=5"" target=""_blank"">Low Pressure becomes well marked, to intensify further, heavy rains lash TN</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goa Chronicle</font>",
"IMD announces onset of northeast monsoon; Heavy rains lash Tamil Nadu, Andhra Pradesh and parts of Karnataka - The New Indian Express",https://news.google.com/rss/articles/CBMi-gFBVV95cUxQcjhiNi1YZi1kVFJuYWJ6TUU4TUxZbFhfcGY1OUE2b1daUTBwWVR1cDk0RjB5b08td3haWUNlaHRZQjlWOWhtY2wzR05LdlRyOGZLUGxZeWlfMllRTzFsSkZZQlNld1FxVFk5bHBDOVJ0QnNUN0Q5Zjk3YjRpSlV5YzhSbHdKcERqT0hTWHFNLWtpaWc0Si1UMHQtMVJ5TDl1MlBvVTZwZmlsQUZUenFnWG9vT2pyajlaeW12MmZrSmd0RGRLa1pnMFBJYUx4MUItYW1nRERNTXFqVzdibW5lR1lOYXVjbzNBdWpJbHZOUEZWS0Y3TW5YTFRB0gGHAkFVX3lxTE8zVzZqcGVpS183U0xlNU95X1ZhNDdtSEN0TmttRXNVa21nZjA2VGlNUm9Ha2g5U2hIR1AxU25MSmpqelJ6QVo3bTMtX2ZhWFRoRGxEbWh2cjVabTFiQ09TWXVxN01lcmZkVXVNZk5PNE43STFjVnE4LWJ4T0tmLVAway1JcEJxTjdYTFlzSGZDVTRWOHFoajV6ZXRPaWxCbnBzQ3p0by16MFdtYnRDQ3dLTFpaRHdYYnRrano4WnpGTHgtdU5GSkJqVVJFN1RBZmhYZi1vY3FtLXF4bEdDUXJvaXZhYjlpOFFWS3lrYksya1lINVZ2cURHejBhaHFXam9IQkMxeV9V?oc=5,2024-10-15 15:49:59,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQcjhiNi1YZi1kVFJuYWJ6TUU4TUxZbFhfcGY1OUE2b1daUTBwWVR1cDk0RjB5b08td3haWUNlaHRZQjlWOWhtY2wzR05LdlRyOGZLUGxZeWlfMllRTzFsSkZZQlNld1FxVFk5bHBDOVJ0QnNUN0Q5Zjk3YjRpSlV5YzhSbHdKcERqT0hTWHFNLWtpaWc0Si1UMHQtMVJ5TDl1MlBvVTZwZmlsQUZUenFnWG9vT2pyajlaeW12MmZrSmd0RGRLa1pnMFBJYUx4MUItYW1nRERNTXFqVzdibW5lR1lOYXVjbzNBdWpJbHZOUEZWS0Y3TW5YTFRB0gGHAkFVX3lxTE8zVzZqcGVpS183U0xlNU95X1ZhNDdtSEN0TmttRXNVa21nZjA2VGlNUm9Ha2g5U2hIR1AxU25MSmpqelJ6QVo3bTMtX2ZhWFRoRGxEbWh2cjVabTFiQ09TWXVxN01lcmZkVXVNZk5PNE43STFjVnE4LWJ4T0tmLVAway1JcEJxTjdYTFlzSGZDVTRWOHFoajV6ZXRPaWxCbnBzQ3p0by16MFdtYnRDQ3dLTFpaRHdYYnRrano4WnpGTHgtdU5GSkJqVVJFN1RBZmhYZi1vY3FtLXF4bEdDUXJvaXZhYjlpOFFWS3lrYksya1lINVZ2cURHejBhaHFXam9IQkMxeV9V?oc=5"" target=""_blank"">IMD announces onset of northeast monsoon; Heavy rains lash Tamil Nadu, Andhra Pradesh and parts of Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Rainfall Warning: Northeast Monsoon Activity Commenced Over South India, Heavy Downpour Over THESE States - IM - Times Now",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPd19lTGoyNzl5aWNKWElUcmY5RUxHcUItNGRsX2NxTHdJcXJ3bl9qOXpRQkdXal9hTW5LSXR0cGs2WWRpQmxPMUk0bi04RkV2OWxySzNTNGxjeWtUZEU3VkliZHRQSDYyRFRNSXpUdFJBU3FTOVhQRzJsOWg5ZUJJNlFDU1ZaMlA2UkVEc3ZLYTlTVENNbHc3Qjc5V3puZ2dOSFB6dkpWdDdNT3ZSeTVtbXpUVGRnMTdLZ0dXVFRiWnJXSENKRUdpVU9DeDlhNElCTDM1NnZUMDlpUXk5MmJ0ZXV2b1VmUkJfel9mQ2dsQURLZDBTVlZzU0hrd9IBgAJBVV95cUxQR2ozdS0yOTlVUEF4VkgwdEIwZERmOWllOVJFdkY0eEZKV2Fyb1o1LTNXZXNwZTdnUUtHdUhMTUh5RFZyWE5jNjF0RUlWS21CZkFXOHNaZkIzZVRUalVkWHdoWmcySjJDX3BfN3JvTk9Pb2ZPdnJESGtRUkQzQXVMeWlmMUN0WGFMLTczVVkzUWs0LUg3bHd5RFJjMDFJWlYtem9PM3pQV2ZpcXJ1WmI3eVVrOTByTkwzWW41SGVwSVBLT0paY3k3ckFkcEVBWXA0UDZkYjFvYURUOHU4NEVJSlpxU1YybzlkOERZeEd4Vzl2bWV1cHo3LXNEX2E2T3At?oc=5,2024-10-15 19:22:00,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPd19lTGoyNzl5aWNKWElUcmY5RUxHcUItNGRsX2NxTHdJcXJ3bl9qOXpRQkdXal9hTW5LSXR0cGs2WWRpQmxPMUk0bi04RkV2OWxySzNTNGxjeWtUZEU3VkliZHRQSDYyRFRNSXpUdFJBU3FTOVhQRzJsOWg5ZUJJNlFDU1ZaMlA2UkVEc3ZLYTlTVENNbHc3Qjc5V3puZ2dOSFB6dkpWdDdNT3ZSeTVtbXpUVGRnMTdLZ0dXVFRiWnJXSENKRUdpVU9DeDlhNElCTDM1NnZUMDlpUXk5MmJ0ZXV2b1VmUkJfel9mQ2dsQURLZDBTVlZzU0hrd9IBgAJBVV95cUxQR2ozdS0yOTlVUEF4VkgwdEIwZERmOWllOVJFdkY0eEZKV2Fyb1o1LTNXZXNwZTdnUUtHdUhMTUh5RFZyWE5jNjF0RUlWS21CZkFXOHNaZkIzZVRUalVkWHdoWmcySjJDX3BfN3JvTk9Pb2ZPdnJESGtRUkQzQXVMeWlmMUN0WGFMLTczVVkzUWs0LUg3bHd5RFJjMDFJWlYtem9PM3pQV2ZpcXJ1WmI3eVVrOTByTkwzWW41SGVwSVBLT0paY3k3ckFkcEVBWXA0UDZkYjFvYURUOHU4NEVJSlpxU1YybzlkOERZeEd4Vzl2bWV1cHo3LXNEX2E2T3At?oc=5"" target=""_blank"">Rainfall Warning: Northeast Monsoon Activity Commenced Over South India, Heavy Downpour Over THESE States - IM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
Northeast Monsoon Begins in Southeast Peninsular India - News Karnataka,https://news.google.com/rss/articles/CBMinAFBVV95cUxNQmYyOUFjRmtvOEw3WkF2ZnY2XzZkYVRCU0tNc284S1NjcERJck4tU21SdFg3bjhXSUNlVnVDSW51NXQzNS04b2d1c0ZaS193eTAyRVpLS0VqMDZsVDgybHRUUzJaNGVXUGZqWnF1Q3g1TDFEN1AwNy1JV3N1RDVWNzJ2NENVaUxCOGo4OGkzLUdGY1Z2Z3pIRWFFRlo?oc=5,2024-10-15 21:10:17,News Karnataka,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNQmYyOUFjRmtvOEw3WkF2ZnY2XzZkYVRCU0tNc284S1NjcERJck4tU21SdFg3bjhXSUNlVnVDSW51NXQzNS04b2d1c0ZaS193eTAyRVpLS0VqMDZsVDgybHRUUzJaNGVXUGZqWnF1Q3g1TDFEN1AwNy1JV3N1RDVWNzJ2NENVaUxCOGo4OGkzLUdGY1Z2Z3pIRWFFRlo?oc=5"" target=""_blank"">Northeast Monsoon Begins in Southeast Peninsular India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Karnataka</font>",
"Northeast monsoon arrives over Tamil Nadu, triggers intense rain spell over northern districts - The Hindu",https://news.google.com/rss/articles/CBMi9gFBVV95cUxNelRqek9GeDMtc1pjSlRjbFRudUo3MUwzc05BRkJndnRxQ0N0ZUhGcm1SRUcxY1JVRG03SjNPdEE4eThkSjVxQ29MamM4Sy1GTDM5SFZOczNnYVpsUEJJMkFCbGtQM3pmVjBEVm1heEx4RnpEUlFVYWdiSHZ2eWJrZjBvbm9TMlVxRC1GVTVxNXhXaEdvb2dVOXJwdWFyZ1RFdXBNWW1oS0FONUMzZTUwZ1k3RWFjeEtFc2lvOHI2WUpaTndmZmlIcDNFWDJSa1ZqdVVHeXB2Y2ZNVTM4T2pvWC1WLUdxeUxhQVhjdjRHZkNtNTN1VWfSAfwBQVVfeXFMTkpqREx2NnZOT2xKOHEyVUtrY3NFWk1vMktwNnJyemhlcnc0NXYtOHlnd0FrWDRtOUxjdmU2aWVtMmxaMjRCUnBPejU0bGhVVExhTHZQTk85YW5XYi1NRmdOWE1xLUVwdkdoMnRRbWNWRC1vdFF5aS1mYS1QU1NBeDh6UXI2ZW1fWjZDNmZ4N3QxU0dMX25EVjA2Z0UxLXNRZHJnLUtfcW9uMDBIeUxSUFFPTmhjUjBhb2NtUXU0NWlQSXVrQ1diNkk3djVhcHZxbDY5ZHk3THV6UGtjRDlSblhla19zVjlMalNRM3Jla19laUdSeGlQUy1Db3lD?oc=5,2024-10-16 00:20:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNelRqek9GeDMtc1pjSlRjbFRudUo3MUwzc05BRkJndnRxQ0N0ZUhGcm1SRUcxY1JVRG03SjNPdEE4eThkSjVxQ29MamM4Sy1GTDM5SFZOczNnYVpsUEJJMkFCbGtQM3pmVjBEVm1heEx4RnpEUlFVYWdiSHZ2eWJrZjBvbm9TMlVxRC1GVTVxNXhXaEdvb2dVOXJwdWFyZ1RFdXBNWW1oS0FONUMzZTUwZ1k3RWFjeEtFc2lvOHI2WUpaTndmZmlIcDNFWDJSa1ZqdVVHeXB2Y2ZNVTM4T2pvWC1WLUdxeUxhQVhjdjRHZkNtNTN1VWfSAfwBQVVfeXFMTkpqREx2NnZOT2xKOHEyVUtrY3NFWk1vMktwNnJyemhlcnc0NXYtOHlnd0FrWDRtOUxjdmU2aWVtMmxaMjRCUnBPejU0bGhVVExhTHZQTk85YW5XYi1NRmdOWE1xLUVwdkdoMnRRbWNWRC1vdFF5aS1mYS1QU1NBeDh6UXI2ZW1fWjZDNmZ4N3QxU0dMX25EVjA2Z0UxLXNRZHJnLUtfcW9uMDBIeUxSUFFPTmhjUjBhb2NtUXU0NWlQSXVrQ1diNkk3djVhcHZxbDY5ZHk3THV6UGtjRDlSblhla19zVjlMalNRM3Jla19laUdSeGlQUy1Db3lD?oc=5"" target=""_blank"">Northeast monsoon arrives over Tamil Nadu, triggers intense rain spell over northern districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
Mumbai Weather Today: IMD Predicts Post Monsoon Showers; Air Quality Declines - Free Press Journal,https://news.google.com/rss/articles/CBMitAFBVV95cUxOLURFaWQ5T0ZOQklvemdicEhwUjVxZE53dWhyanVjNzdIXzlMeGZSTUYtR294RjJtX04tMXp5N3RReUNRM1lua2RBYnFtODFfam1iN2VaaGZiWUlSMXp1RWtsSWZ1TmtMSk1NVXo3R1NPN0g3NngxY3Z2aUpwRG9oVk5ac3pZcF9QMXpaRG5oUkdoSlBXOFpfSng2b3NCM0xpTVhXam00cWExTDdTdGZud1ROMEHSAboBQVVfeXFMTmVMN0kzMlY0QkVIZ21XZEhqRTBYencxSWpBYkJZUjVHUDRuNzczeTZzc3RNZGFZdG5zTkE5dHlrSmkxa1hBUWowcDh4Z2V0OVlxWG5JTEo0S1pFR3dHU2Y4TmE5bC12b1dLUV9TVnFVLTdIUllqaGdyOXBaSTZsMlBtYVQwSER4MmVQQ2FKREctbURMcHdpQkVTRi1lWTJQbi05bm9tV1BoalhOWTRsX2w2dGtSSlp5MXlB?oc=5,2024-10-16 09:04:44,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOLURFaWQ5T0ZOQklvemdicEhwUjVxZE53dWhyanVjNzdIXzlMeGZSTUYtR294RjJtX04tMXp5N3RReUNRM1lua2RBYnFtODFfam1iN2VaaGZiWUlSMXp1RWtsSWZ1TmtMSk1NVXo3R1NPN0g3NngxY3Z2aUpwRG9oVk5ac3pZcF9QMXpaRG5oUkdoSlBXOFpfSng2b3NCM0xpTVhXam00cWExTDdTdGZud1ROMEHSAboBQVVfeXFMTmVMN0kzMlY0QkVIZ21XZEhqRTBYencxSWpBYkJZUjVHUDRuNzczeTZzc3RNZGFZdG5zTkE5dHlrSmkxa1hBUWowcDh4Z2V0OVlxWG5JTEo0S1pFR3dHU2Y4TmE5bC12b1dLUV9TVnFVLTdIUllqaGdyOXBaSTZsMlBtYVQwSER4MmVQQ2FKREctbURMcHdpQkVTRi1lWTJQbi05bm9tV1BoalhOWTRsX2w2dGtSSlp5MXlB?oc=5"" target=""_blank"">Mumbai Weather Today: IMD Predicts Post Monsoon Showers; Air Quality Declines</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
"Bengaluru weather update: IMD issues ‘orange’ alert, schools closed days due to heavy rain forecast | Top 10 Points | Today News - Mint",https://news.google.com/rss/articles/CBMihAJBVV95cUxQWjBoMFp6WGlrWGFxSVNlano2RE5DdkZwY0xFdE9IMXEtUHhaYVNZR09zSVd6d0NEcEVuczZGZzlLdHlfZHBVVVdlOTl3ZkVsSURzX1ZTTk56bkpfMEdtUUx3STU3c2Y2bVd4THgtZmFTeDR1UGpWaE44TWgzMElzbWUxSDZlWWNhZ2Y3TlJWNy1CbEdkZHhMZVozYTY1c0paVS1fQTRydXI4eGRuSU45Z3BhYmdzQ3NlNFF1eHJzSTJXM2h3RGVjRmRFMm54SHpCZ3JiNGpCUWdrOVBGMm5NdlRfSUJ1Vjhhc2RZTVVPYVRjeFBRYnA3eXFneFJURXVncVpKTtIBigJBVV95cUxQVXJaNXQwZi1WVTdURnE3SFlOajRHVEZ5OXpNbmk3a2dGMHF5bnBnSVRGZmdMTkhDa3dCM2VKM1FGM3lZMVRreTVuNk9xTTc2MnVsa3RQNEk5V0pXNkNnSE5KTTdlWDd2RzVYNFRPNDJ5bHJWSlNBNTJSV3I1VmlPZjZpTnpnRVlIMzM2a3NWMHREeVJlLVh0WENBNzZNNXc2QW03cFh2U1pLNVhIdDdiNEFkYkMyb0xmVWRwWVBVQ0F6RmpuOU5oN1ZFeTc2Wkpab2RSOUt6eEVxRFkyMkk2d19IQTBGeFdGNldTVGFleUFlM200dGdLYk5SMHNkT3BxMDZmbXpTOVdnZw?oc=5,2024-10-16 07:57:28,Mint,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxQWjBoMFp6WGlrWGFxSVNlano2RE5DdkZwY0xFdE9IMXEtUHhaYVNZR09zSVd6d0NEcEVuczZGZzlLdHlfZHBVVVdlOTl3ZkVsSURzX1ZTTk56bkpfMEdtUUx3STU3c2Y2bVd4THgtZmFTeDR1UGpWaE44TWgzMElzbWUxSDZlWWNhZ2Y3TlJWNy1CbEdkZHhMZVozYTY1c0paVS1fQTRydXI4eGRuSU45Z3BhYmdzQ3NlNFF1eHJzSTJXM2h3RGVjRmRFMm54SHpCZ3JiNGpCUWdrOVBGMm5NdlRfSUJ1Vjhhc2RZTVVPYVRjeFBRYnA3eXFneFJURXVncVpKTtIBigJBVV95cUxQVXJaNXQwZi1WVTdURnE3SFlOajRHVEZ5OXpNbmk3a2dGMHF5bnBnSVRGZmdMTkhDa3dCM2VKM1FGM3lZMVRreTVuNk9xTTc2MnVsa3RQNEk5V0pXNkNnSE5KTTdlWDd2RzVYNFRPNDJ5bHJWSlNBNTJSV3I1VmlPZjZpTnpnRVlIMzM2a3NWMHREeVJlLVh0WENBNzZNNXc2QW03cFh2U1pLNVhIdDdiNEFkYkMyb0xmVWRwWVBVQ0F6RmpuOU5oN1ZFeTc2Wkpab2RSOUt6eEVxRFkyMkk2d19IQTBGeFdGNldTVGFleUFlM200dGdLYk5SMHNkT3BxMDZmbXpTOVdnZw?oc=5"" target=""_blank"">Bengaluru weather update: IMD issues ‘orange’ alert, schools closed days due to heavy rain forecast | Top 10 Points | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
"After CM meet, Dudhsagar tour operators rev up jeeps - The Times of India",https://news.google.com/rss/articles/CBMivwFBVV95cUxNV3hFSnY5WVJyM3ZCVWZ4TlNJQW45a2ttLTc1ZW41NWJhaXRHX2xsT2ZXb0UyQW0zOTlmc05Fb1ZhdmFUdGZrODR0a0ptN2F3N0pmdzcwaE9zbk5aVzl3SmZzaU01amJIMklXeUEtdnp4THJ1ZWJsQzVoTDdmM2luU3d4ellkRlBCc2V3RlNUQXpvZzBKUnE5TlNDcWRoNmJ4WmkzcThTbFRNSnpQekZlUDlzakRQRFUxT1JnZTd2QdIBxAFBVV95cUxOZHE3OFN5SFN3cE1uX0Vjc2hQQlNxTXo3RFVMM211aUdyaklVM3g5Nkl1TVluV3VhZ3QzNlFYaTU3RTZKVjhZaGhHX2FBM2NjVUJzOGI5Z2hIcjJ0OGg1MnJXMG92MzJna3ljWEtBLVNURDdxeS16SE5CR2hzTXN3TUhUM2pJZm4tSmM3OU1Yb2Utc2w5N0VnMjU1bTkxWWszemMzWmxxSlgzWndTdlE2eFJ5eGpPcFgtdXFremRaSFFlaFFO?oc=5,2024-10-15 23:51:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNV3hFSnY5WVJyM3ZCVWZ4TlNJQW45a2ttLTc1ZW41NWJhaXRHX2xsT2ZXb0UyQW0zOTlmc05Fb1ZhdmFUdGZrODR0a0ptN2F3N0pmdzcwaE9zbk5aVzl3SmZzaU01amJIMklXeUEtdnp4THJ1ZWJsQzVoTDdmM2luU3d4ellkRlBCc2V3RlNUQXpvZzBKUnE5TlNDcWRoNmJ4WmkzcThTbFRNSnpQekZlUDlzakRQRFUxT1JnZTd2QdIBxAFBVV95cUxOZHE3OFN5SFN3cE1uX0Vjc2hQQlNxTXo3RFVMM211aUdyaklVM3g5Nkl1TVluV3VhZ3QzNlFYaTU3RTZKVjhZaGhHX2FBM2NjVUJzOGI5Z2hIcjJ0OGg1MnJXMG92MzJna3ljWEtBLVNURDdxeS16SE5CR2hzTXN3TUhUM2pJZm4tSmM3OU1Yb2Utc2w5N0VnMjU1bTkxWWszemMzWmxxSlgzWndTdlE2eFJ5eGpPcFgtdXFremRaSFFlaFFO?oc=5"" target=""_blank"">After CM meet, Dudhsagar tour operators rev up jeeps</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
