Title,Link,Date,Source,Summary,Term,LanguageQueried
Who is Kavya Maran Boyfriend | કાવ્યા મારનનું દુશ્મન પર આવ્યું દિલ...કોણ છે SRHની માલકણનો બોયફ્રેન્ડ ? - Zee News,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOSUZUZFpOb0s0WTZacmhQUm5saTVudk5HS2hudk9ESlhnYlJENGR6dFhPZl9lNE9GLUV6THU1cWRaR0lwcGl0S1ZJOW16QTlmMnQ0RmdhZTQxRld5TzUybnhfM2EtOTUtd3VjbkdvN3pJbnZfYVdVbHJqS3B0YlhjbURiWElzb2xaWE9EdDdaSlhXZkJvZG1lNGdOMmcycnJHdjBkRE9IbDR1c21BQ2pPalNoQ2pIY2JXQkhRRzFEdVBDdmhFVmx6SWRpbmc4d0ZtN1E0?oc=5,2025-04-03 11:27:40,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOSUZUZFpOb0s0WTZacmhQUm5saTVudk5HS2hudk9ESlhnYlJENGR6dFhPZl9lNE9GLUV6THU1cWRaR0lwcGl0S1ZJOW16QTlmMnQ0RmdhZTQxRld5TzUybnhfM2EtOTUtd3VjbkdvN3pJbnZfYVdVbHJqS3B0YlhjbURiWElzb2xaWE9EdDdaSlhXZkJvZG1lNGdOMmcycnJHdjBkRE9IbDR1c21BQ2pPalNoQ2pIY2JXQkhRRzFEdVBDdmhFVmx6SWRpbmc4d0ZtN1E0?oc=5"" target=""_blank"">Who is Kavya Maran Boyfriend | કાવ્યા મારનનું દુશ્મન પર આવ્યું દિલ...કોણ છે SRHની માલકણનો બોયફ્રેન્ડ ?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,gu
The US tariff tsunami: Gujarat’s exports caught in Crossfire! - Times of India,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNekgwOURFNEdLQXEzVl9ScmpqSUIxU2RabEkwSnpxOEhlSGhyVzBYWGhQV2VBNm9ZY2ZJOVB0WE9GbkFva3ZDdzR1bDJCZkR6SVFBSmFtUllDZG9YNGlJMkpKd1QyN1NXeWJueDR5Rkl4S2tOV3RRdU9XUnBsb3U1SjNwMzVUekVlTHZLclFIWUpWX0gxeldReEtnNWhpWXVzNmRZbHJwZ0ZpN3ozeVdObGl5bW5rTkh1ZHdrc3dNcTF4N0VmV3Q4ZDdaV1FUZFdH0gHWAUFVX3lxTE43MmpVS3d3S1g3MFloQ3ZlZGhxOW5zanJ2QWM0NDNpekJDdkZjcGwtb0p6VzZabnVtQ3BialhfY25yUFduX3BKaTNoX1ZKRWVCWklTU2VabEZOOVFvZ0gtTXJjR2ZIM3RIYmx1WGxfRnBuNmp6ejFzZER5Qk1BUW04NFpVUS1lVU1EbWJMZnk0UGU4LW1jOXBjcTdUV0NMSFI3RzVPYjNMU1drREdZVU1PLXBjaEpLbFdoX0RNeXA0YVNCbzB0YUdkZi1uWVBTTHp1STRpbnc?oc=5,2025-04-03 23:50:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNekgwOURFNEdLQXEzVl9ScmpqSUIxU2RabEkwSnpxOEhlSGhyVzBYWGhQV2VBNm9ZY2ZJOVB0WE9GbkFva3ZDdzR1bDJCZkR6SVFBSmFtUllDZG9YNGlJMkpKd1QyN1NXeWJueDR5Rkl4S2tOV3RRdU9XUnBsb3U1SjNwMzVUekVlTHZLclFIWUpWX0gxeldReEtnNWhpWXVzNmRZbHJwZ0ZpN3ozeVdObGl5bW5rTkh1ZHdrc3dNcTF4N0VmV3Q4ZDdaV1FUZFdH0gHWAUFVX3lxTE43MmpVS3d3S1g3MFloQ3ZlZGhxOW5zanJ2QWM0NDNpekJDdkZjcGwtb0p6VzZabnVtQ3BialhfY25yUFduX3BKaTNoX1ZKRWVCWklTU2VabEZOOVFvZ0gtTXJjR2ZIM3RIYmx1WGxfRnBuNmp6ejFzZER5Qk1BUW04NFpVUS1lVU1EbWJMZnk0UGU4LW1jOXBjcTdUV0NMSFI3RzVPYjNMU1drREdZVU1PLXBjaEpLbFdoX0RNeXA0YVNCbzB0YUdkZi1uWVBTTHp1STRpbnc?oc=5"" target=""_blank"">The US tariff tsunami: Gujarat’s exports caught in Crossfire!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ... - informalnewz",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5,2025-04-03 15:29:00,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UdIB1wFBVV95cUxPS21rY3dfUlhDdGc0eEpYY2FmZjBUNzk3c2V3b1VwMGcwU3lRb2pNY0lnbElFZnBYbkZXamdWVlFLdFlDa2tzbU9pQjVDdlBEU21fSWpJSFlRUHZxT0xPZTdhT0x4OW10cFBmSGppUDU1UnlwZGF1QjFQMlktczZvaGJLMXYzOWthZy11azROcWV1Zm9iTWFza25Va095a3YySG1Od3hjci1tZkZuOVlVMnFLeTdfRjliQTZCTUZ5Nk9ZMEVUVTQ0czFqSVZnc2s1SElMQlQ3UQ?oc=5"" target=""_blank"">Weather Update: Storm, rain and snowfall in some states, heat wave in some places, know the condition of y ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Disaster,en
Pilot killed in Gujarat Jaguar crash had got engaged just 10 days ago - Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNanNqak5JVTlLdGNYckJneE41NlBRNmdBdV9kVHFMYU1JMXhKMHpHSDNWeklEUER5Zmh5N3BIWTRjVkh0MjlXMWhmWk9vU3NUcHZaOEdrd1NXY05WV3JIVTF2ZjdpUnNNVVhZNzNCZFB3cGQyWkZyRWpIMW1ia0gzbHlPdmR4aHlpV0lnWGw1Ym9MV1VVaVdJQk1jWm9aNXFtNFRzTk4xZWJIaVFKamY1aWFpd3g0aHJYV0xfRzNLeExPTXQzNnVzUlVuZ0tjMko1ZVJZ0gHYAUFVX3lxTFBUVTMtSmZHbGdoY2g0ay1GZVJQLVdtZkdDaFVybjRrdDZzMjFDejVNd2llRF9OMm9iR0VhWWp5dm0xRzdUU3plLWtJQTFtUzZPd3lYTzNPMnZXY2tiSnBIUFRuYmlWcER5S0E0R2N2WDlGMUxXVXlTN1Y3Y2d1bmptZHFuNVJCYjkwS1lNRGVMOWJ1VEQ5VDE2WXA3Zlk4WW1WMVRZOXhrenhtV05ad09EbWtTS0QyWXJLc2ZWN3A0YnRaaS03dmd6elA3NENlLUZXNHRJME1NUw?oc=5,2025-04-04 03:30:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNanNqak5JVTlLdGNYckJneE41NlBRNmdBdV9kVHFMYU1JMXhKMHpHSDNWeklEUER5Zmh5N3BIWTRjVkh0MjlXMWhmWk9vU3NUcHZaOEdrd1NXY05WV3JIVTF2ZjdpUnNNVVhZNzNCZFB3cGQyWkZyRWpIMW1ia0gzbHlPdmR4aHlpV0lnWGw1Ym9MV1VVaVdJQk1jWm9aNXFtNFRzTk4xZWJIaVFKamY1aWFpd3g0aHJYV0xfRzNLeExPTXQzNnVzUlVuZ0tjMko1ZVJZ0gHYAUFVX3lxTFBUVTMtSmZHbGdoY2g0ay1GZVJQLVdtZkdDaFVybjRrdDZzMjFDejVNd2llRF9OMm9iR0VhWWp5dm0xRzdUU3plLWtJQTFtUzZPd3lYTzNPMnZXY2tiSnBIUFRuYmlWcER5S0E0R2N2WDlGMUxXVXlTN1Y3Y2d1bmptZHFuNVJCYjkwS1lNRGVMOWJ1VEQ5VDE2WXA3Zlk4WW1WMVRZOXhrenhtV05ad09EbWtTS0QyWXJLc2ZWN3A0YnRaaS03dmd6elA3NENlLUZXNHRJME1NUw?oc=5"" target=""_blank"">Pilot killed in Gujarat Jaguar crash had got engaged just 10 days ago</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
Evaluating the intensity of Typhoons over the West Pacific basin | Request PDF - ResearchGate,https://news.google.com/rss/articles/CBMivwFBVV95cUxPTmRVOFl3YU51cldNR0FGR085dkZJR0dIWUFBN3FYU2ZiUGVwbUNrQU1xdUJQOXZpTTNMM09HVngxVXQ5RzhKS2kyRzVWSmV3MG5NNEFGTVdmcUVCWC0wSnlQd09mQlhFMUFYSndVZFhNZmFMTnlsbUNHMURudEJjdmYwWFpzN09VTXRJMWZ4cWk2bk1qUnFYMGZaRlhhdHFpSERXT2NBRjJYdkVzd2FoOFlOVHRBSDc0LUFVazF3dw?oc=5,2025-04-03 10:22:03,ResearchGate,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPTmRVOFl3YU51cldNR0FGR085dkZJR0dIWUFBN3FYU2ZiUGVwbUNrQU1xdUJQOXZpTTNMM09HVngxVXQ5RzhKS2kyRzVWSmV3MG5NNEFGTVdmcUVCWC0wSnlQd09mQlhFMUFYSndVZFhNZmFMTnlsbUNHMURudEJjdmYwWFpzN09VTXRJMWZ4cWk2bk1qUnFYMGZaRlhhdHFpSERXT2NBRjJYdkVzd2FoOFlOVHRBSDc0LUFVazF3dw?oc=5"" target=""_blank"">Evaluating the intensity of Typhoons over the West Pacific basin | Request PDF</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ResearchGate</font>",Disaster,en
Gujarat govt rolls out 200cr unified fire services plan - Times of India,https://news.google.com/rss/articles/CBMizAFBVV95cUxOSi1CMDctakxvSG5RaXlfdzJkcG8wOEdNSzJBMnFVV1RiOVhJeVRfRFltT0RCRV9FeXVWTm8tR3dhemtERUEwOEY2Y1JNemRiMjNGYjBoOUZfQU1EQzEyUy1oRmVyX29pQVFReXBtVGRZOEE1aENBSDJMQk9Zd24ySzNZR0lIVWs3Y1FOdDV1NnF0ZnVqdTNXT1M1OEJlOTlQajFGQ2p4MHphXzJxUnBTaHV3VWM2NENZLTQ2czd4RUZ3UldfdEYtMnJadFrSAdIBQVVfeXFMUERLMmN3eTdBVEhmeUtlazV2T0RKQkpaZWg4cVZfM0ZkZHMxVG9FQzd1SXFUZDVWUHdnVWV1N05oVkN0Q0xKcUNOaGhNLVlzT1dlaURnc1NvRmt0TU94aWxnLWVEZ2ZSZ3A0aVBqRFdTY3FQeV9tcnV6aDJaS2F5MHZZYUo1V3dPVXV2Qi1tMENtaEd2RXoyUTF3VHgzUW1oQkhPQjc4RDRtWmpId05kdlYzRG1rMWdxbTlOZzlFbGFPMExrZTdGMVVSMHNfYm1ZYVhR?oc=5,2025-04-04 00:02:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOSi1CMDctakxvSG5RaXlfdzJkcG8wOEdNSzJBMnFVV1RiOVhJeVRfRFltT0RCRV9FeXVWTm8tR3dhemtERUEwOEY2Y1JNemRiMjNGYjBoOUZfQU1EQzEyUy1oRmVyX29pQVFReXBtVGRZOEE1aENBSDJMQk9Zd24ySzNZR0lIVWs3Y1FOdDV1NnF0ZnVqdTNXT1M1OEJlOTlQajFGQ2p4MHphXzJxUnBTaHV3VWM2NENZLTQ2czd4RUZ3UldfdEYtMnJadFrSAdIBQVVfeXFMUERLMmN3eTdBVEhmeUtlazV2T0RKQkpaZWg4cVZfM0ZkZHMxVG9FQzd1SXFUZDVWUHdnVWV1N05oVkN0Q0xKcUNOaGhNLVlzT1dlaURnc1NvRmt0TU94aWxnLWVEZ2ZSZ3A0aVBqRFdTY3FQeV9tcnV6aDJaS2F5MHZZYUo1V3dPVXV2Qi1tMENtaEd2RXoyUTF3VHgzUW1oQkhPQjc4RDRtWmpId05kdlYzRG1rMWdxbTlOZzlFbGFPMExrZTdGMVVSMHNfYm1ZYVhR?oc=5"" target=""_blank"">Gujarat govt rolls out 200cr unified fire services plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
PM-JAY review: Gujarat to finalise cardiac stent pricing soon - Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQOVAzeERlRHBpbXlDQmU1T215S3hrSDJ1T2tVbXRBV3pwRV9mSkc3bHM0WXd2MndSRTRSVHZmcW9ldE1aNmk4bVZrNVhHUXZDb2VGdV9NOVo4ZDNaX1A1ckw1RGtRTmZSUlFoZlduTldld2FKbFR0RENyeWtHdHIzdnNueS11ZVFwbWxhbm1SMXMxdG1GRHNjY2VMQkRlaVJfbUFIT3ItSGdTT19TZ09fY3hiMjNBRDFwRlpCUU1aWTlFZ3N2V1hkclZsU0ptMUhUcnJN0gHYAUFVX3lxTE1TWGFrS3Atam9KMk5YMklyMUNLbkN4MFBqSG02UkpfU1hEWGpCX1pzMGxOWS04RUdSTzNnZExrckhVSzZYeFdOVXlOV2F4dVZmaWpGREFpc1c1c1pzOFc4cEdPNTJwY0pwbXVaVllFZDYzanZsM2NfWEstbUV1cHpLSXBpb3k2b0tzb0R2bi10MnUwQU9VWTVQRUVQYmY2djFPMkNIMVJTTWp5c2w5aTlpcE1TaEF6WnpTR2ZGUE4zZG92U1dQT1ZOVF9GYXc0dk5QM21aaDM3OA?oc=5,2025-04-03 23:35:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQOVAzeERlRHBpbXlDQmU1T215S3hrSDJ1T2tVbXRBV3pwRV9mSkc3bHM0WXd2MndSRTRSVHZmcW9ldE1aNmk4bVZrNVhHUXZDb2VGdV9NOVo4ZDNaX1A1ckw1RGtRTmZSUlFoZlduTldld2FKbFR0RENyeWtHdHIzdnNueS11ZVFwbWxhbm1SMXMxdG1GRHNjY2VMQkRlaVJfbUFIT3ItSGdTT19TZ09fY3hiMjNBRDFwRlpCUU1aWTlFZ3N2V1hkclZsU0ptMUhUcnJN0gHYAUFVX3lxTE1TWGFrS3Atam9KMk5YMklyMUNLbkN4MFBqSG02UkpfU1hEWGpCX1pzMGxOWS04RUdSTzNnZExrckhVSzZYeFdOVXlOV2F4dVZmaWpGREFpc1c1c1pzOFc4cEdPNTJwY0pwbXVaVllFZDYzanZsM2NfWEstbUV1cHpLSXBpb3k2b0tzb0R2bi10MnUwQU9VWTVQRUVQYmY2djFPMkNIMVJTTWp5c2w5aTlpcE1TaEF6WnpTR2ZGUE4zZG92U1dQT1ZOVF9GYXc0dk5QM21aaDM3OA?oc=5"" target=""_blank"">PM-JAY review: Gujarat to finalise cardiac stent pricing soon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
Teachers issue deadline to Gujarat govt on old pension scheme - Times of India,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQYUJXdjh3Sklvb3lPNEhpWFpKU0o1UGRCVHBibTMwMjZoUXg4QWV0Yk1SVkQzUXYwT0UyMEVTRzVpSmNIeW5uQzFxWEhpUGU5ZVpPYkU3QndUeXN4VlpqaW5IV3VMOThRM2dsRXJISFVNNjNLTHdyVXZFaHp0aVo0ZXVrb2tDQmhvRHUzdjhjSjhBVTY4VTFiNFNRMDdMUlh3aFNXSmY1b1FlMWtDWHVpOGRSY21Ga3NUVDRtQm9JNnNGS0NraHZXNDRoa01ZX1hZRW1PaNIB2gFBVV95cUxPcEtKMW91US1Mb3E0OW5ld0pJYnJLOFdsRDRhZ3hNbWxKb0NyWGFyQmxEbzBnSUMxclZ5cWk3ak0wR1JNZVFTRldNSm9SR1dLZWEzYURoRHMxVU9EQUhrR1d2M0tSTy1oRFJ2NkhSYUktS2pKRTBpajlXZWZhM25yYW1KLS13SDNYa0VJS3JuR2NScU81cmN0T0QwTmVoSzRoTHRnN3hEYnVWY1N2bS10Z2RNNmx6bEllN2wxY1VHTU9JS2M3UUhGdWthWjZwT2JlQTlKNFhBMWVGQQ?oc=5,2025-04-04 00:11:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQYUJXdjh3Sklvb3lPNEhpWFpKU0o1UGRCVHBibTMwMjZoUXg4QWV0Yk1SVkQzUXYwT0UyMEVTRzVpSmNIeW5uQzFxWEhpUGU5ZVpPYkU3QndUeXN4VlpqaW5IV3VMOThRM2dsRXJISFVNNjNLTHdyVXZFaHp0aVo0ZXVrb2tDQmhvRHUzdjhjSjhBVTY4VTFiNFNRMDdMUlh3aFNXSmY1b1FlMWtDWHVpOGRSY21Ga3NUVDRtQm9JNnNGS0NraHZXNDRoa01ZX1hZRW1PaNIB2gFBVV95cUxPcEtKMW91US1Mb3E0OW5ld0pJYnJLOFdsRDRhZ3hNbWxKb0NyWGFyQmxEbzBnSUMxclZ5cWk3ak0wR1JNZVFTRldNSm9SR1dLZWEzYURoRHMxVU9EQUhrR1d2M0tSTy1oRFJ2NkhSYUktS2pKRTBpajlXZWZhM25yYW1KLS13SDNYa0VJS3JuR2NScU81cmN0T0QwTmVoSzRoTHRnN3hEYnVWY1N2bS10Z2RNNmx6bEllN2wxY1VHTU9JS2M3UUhGdWthWjZwT2JlQTlKNFhBMWVGQQ?oc=5"" target=""_blank"">Teachers issue deadline to Gujarat govt on old pension scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Registration for diploma to degree common entrance test (DDCET) in Gujarat extended to April 9, exam on A - Times of India",https://news.google.com/rss/articles/CBMilAJBVV95cUxPdG9lRGZaZkRLZlQyd3ZpZDh3ZEpvQjFDS1pZdkxXNTVTNG1jZWttblAwdXpmNTRYbXJSUFdKUGtMU2RJTGhGQ1drMURtTjN1VlUxM2s2SXg4OHIya203R0tPX29mOHpXVF9Td3NMZzVkN1lkMmhONFVNRHBmWmRCcGdQWWI2bnhIbVBpcWhWQ1BLZ1FKOVVwbi1FN01UZTU4aVpwdDI3LVFGY1dEVXFkblpqUm9UaTRQdEdSWml2N3ljQ2l4ZkdZMG5hYjhXdkdNV2t6QXZvWmxTVUhDQ1A2dFZ0blNSZVhDSlBtSFhHUlpCQUJBakxnX2hOeHlUelpEZThSMk40ZlBlckRITVNvd3g5cEXSAZoCQVVfeXFMTWM3SDlJdFlBU2tmR0t2YmlvOVlFQmxubDBRTEJUNjJ2Q0RDWjZJa0JhTktjRmhZVGpZaWZhaFozTzFsSXVTUDgwQU1XMV9hLUpoZFk3eFVZbkZVRy1aOE9XS2RYX1ZaT0VIWHdheG10UlREU2tYSGVGNHZXNnQySnQyZWZZdGRjWl90SjV4eWJtWkJRNUlJRkJoaFJVMkEwdWNCazJ5R2dJNzJUM21JeXlpM1FBeDVJOVBVWWVFdGo3MUZRRFAwNkQwQTBVZjIwbjBBR0cwa2JEM3pJVUctbU9jamxYV0xFQmpXVEh4XzZmU0hNVWV4RF9GQVhyeWZOVVFpdUVhbk5jVWZIUHRUeFBSdUw4SGRoYjd3?oc=5,2025-04-04 00:11:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMilAJBVV95cUxPdG9lRGZaZkRLZlQyd3ZpZDh3ZEpvQjFDS1pZdkxXNTVTNG1jZWttblAwdXpmNTRYbXJSUFdKUGtMU2RJTGhGQ1drMURtTjN1VlUxM2s2SXg4OHIya203R0tPX29mOHpXVF9Td3NMZzVkN1lkMmhONFVNRHBmWmRCcGdQWWI2bnhIbVBpcWhWQ1BLZ1FKOVVwbi1FN01UZTU4aVpwdDI3LVFGY1dEVXFkblpqUm9UaTRQdEdSWml2N3ljQ2l4ZkdZMG5hYjhXdkdNV2t6QXZvWmxTVUhDQ1A2dFZ0blNSZVhDSlBtSFhHUlpCQUJBakxnX2hOeHlUelpEZThSMk40ZlBlckRITVNvd3g5cEXSAZoCQVVfeXFMTWM3SDlJdFlBU2tmR0t2YmlvOVlFQmxubDBRTEJUNjJ2Q0RDWjZJa0JhTktjRmhZVGpZaWZhaFozTzFsSXVTUDgwQU1XMV9hLUpoZFk3eFVZbkZVRy1aOE9XS2RYX1ZaT0VIWHdheG10UlREU2tYSGVGNHZXNnQySnQyZWZZdGRjWl90SjV4eWJtWkJRNUlJRkJoaFJVMkEwdWNCazJ5R2dJNzJUM21JeXlpM1FBeDVJOVBVWWVFdGo3MUZRRFAwNkQwQTBVZjIwbjBBR0cwa2JEM3pJVUctbU9jamxYV0xFQmpXVEh4XzZmU0hNVWV4RF9GQVhyeWZOVVFpdUVhbk5jVWZIUHRUeFBSdUw4SGRoYjd3?oc=5"" target=""_blank"">Registration for diploma to degree common entrance test (DDCET) in Gujarat extended to April 9, exam on A</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
IPL 2025: Virat Kohli fans flood Arshad Warsi’s Instagram after mistaking him for GT pacer Arshad Khan - Cricket Times,https://news.google.com/rss/articles/CBMizwFBVV95cUxQSXRrSHoybWtXc0FJdmNVRHU3QVlMcnRWUEM4WllyTnp4NkdEcVo5dWI1RzZXYXN3LVFhamFvQWp3RUdlV0NCVXo4bVNub2hGWVB1dnBxRXNvc3Q1TC1wUEc2SmtrUl8wQ2hjbFRSTERHZ1ZUZWlwWHBqUFhYSjVXcFRRbkI3X0E5QzhTa1daNDVGVUh1bVE1NjlUZzFCYzhiQU5vYmZNUjJnTzdrODVkUWpESkl0dEhESEt1eGpTWkJTZG5NMW5uZUptX21XZ2s?oc=5,2025-04-03 15:05:09,Cricket Times,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQSXRrSHoybWtXc0FJdmNVRHU3QVlMcnRWUEM4WllyTnp4NkdEcVo5dWI1RzZXYXN3LVFhamFvQWp3RUdlV0NCVXo4bVNub2hGWVB1dnBxRXNvc3Q1TC1wUEc2SmtrUl8wQ2hjbFRSTERHZ1ZUZWlwWHBqUFhYSjVXcFRRbkI3X0E5QzhTa1daNDVGVUh1bVE1NjlUZzFCYzhiQU5vYmZNUjJnTzdrODVkUWpESkl0dEhESEt1eGpTWkJTZG5NMW5uZUptX21XZ2s?oc=5"" target=""_blank"">IPL 2025: Virat Kohli fans flood Arshad Warsi’s Instagram after mistaking him for GT pacer Arshad Khan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cricket Times</font>",Disaster,en
