Title,Link,Date,Source,Summary,Term,LanguageQueried
"દેવભૂમિ દ્વારકામાં જબરદસ્ત પૂર! ભારે વરસાદના રૌદ્ર સ્વરૂપમાં 42 ગામ અસ્તવ્યસ્ત, જાણો કેવી છે સ્થિતિ? - Zee News",https://news.google.com/rss/articles/CBMi9wFBVV95cUxQd2k5cFQ5SHlGdzFGNnFHcUpvNlBMX0xaWTFhdW1UbFR5bFBpMkNydkdFX3lPWU94c2lpUzVzU2dCeVM4S3Jkd25kUk5Dakd6Y2VjOFNwcl9FWFppVmc0LS1kTEwzcUpjR2lkSXk1cU5iNm1EMEphUXIyR1dUanB1SFpQalV2bW9wTDNmS1Bmdzc3U25RM1R0TUhlVFV0TjdMNVBvX0RMQVdTMzd1ODdhRWtQV29aaGdpaHJrOTYydUpCTEVRVDRGNkxUbkFlWHZJZ1V6YU52MXFnVGJBTHJHNkVIQndHZ3pIUVpoWnNlaDdiMkNMSU5N0gH8AUFVX3lxTE1QcjZlRF9kZ1VTZnZlM3VSSGJvSHlkOEVZdmxnR254b3VYT2d3Nmp3VEhXcEQwREJNN3NzTFdKMExYNWdCRGxtVWsweXgxZG9mMlk4V3ZuSDBrQUlPaGFMQXJOOTRjQWRNLUZlRWg1VmM2Y29EclJYOVdJbVRhMEc4NHI5aXF1eDNidVdVSFRPU1NNQ1pVUUhPNEw1QXBPUzYzSk52MWdQY1hEV09YOUZvOW1TNzRQOFdsdnNTOEdhUWpRY3pobUtXRnptbjZQbnVGdnFUeXlxUmxjc1NTQmV3dmJKMjBOWWlNSmQwZzd2bFFPUEpBcC1mbW1Tcg?oc=5,2025-08-22 08:54:37,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxQd2k5cFQ5SHlGdzFGNnFHcUpvNlBMX0xaWTFhdW1UbFR5bFBpMkNydkdFX3lPWU94c2lpUzVzU2dCeVM4S3Jkd25kUk5Dakd6Y2VjOFNwcl9FWFppVmc0LS1kTEwzcUpjR2lkSXk1cU5iNm1EMEphUXIyR1dUanB1SFpQalV2bW9wTDNmS1Bmdzc3U25RM1R0TUhlVFV0TjdMNVBvX0RMQVdTMzd1ODdhRWtQV29aaGdpaHJrOTYydUpCTEVRVDRGNkxUbkFlWHZJZ1V6YU52MXFnVGJBTHJHNkVIQndHZ3pIUVpoWnNlaDdiMkNMSU5N0gH8AUFVX3lxTE1QcjZlRF9kZ1VTZnZlM3VSSGJvSHlkOEVZdmxnR254b3VYT2d3Nmp3VEhXcEQwREJNN3NzTFdKMExYNWdCRGxtVWsweXgxZG9mMlk4V3ZuSDBrQUlPaGFMQXJOOTRjQWRNLUZlRWg1VmM2Y29EclJYOVdJbVRhMEc4NHI5aXF1eDNidVdVSFRPU1NNQ1pVUUhPNEw1QXBPUzYzSk52MWdQY1hEV09YOUZvOW1TNzRQOFdsdnNTOEdhUWpRY3pobUtXRnptbjZQbnVGdnFUeXlxUmxjc1NTQmV3dmJKMjBOWWlNSmQwZzd2bFFPUEpBcC1mbW1Tcg?oc=5"" target=""_blank"">દેવભૂમિ દ્વારકામાં જબરદસ્ત પૂર! ભારે વરસાદના રૌદ્ર સ્વરૂપમાં 42 ગામ અસ્તવ્યસ્ત, જાણો કેવી છે સ્થિતિ?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,gu
Surat News : નશાકારક દવાઓના દુરુપયોગ અને વેચાણને લઈ સુરતમાં SOG પોલીસની સાથે ફૂડ એન્ડ ડ્રગ્સ વિભાગે પાડયા દરોડા - Sandesh,https://news.google.com/rss/articles/CBMihwJBVV95cUxPZFFUMk8tWmdTYnhGUlZ2VG9xUHNsX0s3SEVLMDU1dEw3amtQNm5Ib1pla3BlSDJfdnJQcjBpZGxsTUFXOEJua1p1ckdzZTlyUk5keXBWbFctTGpLV25mTnNtcmJnTVBXZE9lZk1TOGo3SkpDTGlhbWFWYnViZExSVUpSYzVSWnVDdmpyNl9ZMk5XWk9tUjJObHNQbndzRTQtdzJDa0NXRGZkVTlqM0JsQXhTdFVPVnEtem0wMDNQZ0ZEcEkwSmUtbEt3TXQ0VUNhcnUwMlBhNUhTeC1hRmZIVGF6dFpiSURzcmhydXE4NWJSM2JfTWM3QjdfNmp2Zk5Cc2RwQi1mbw?oc=5,2025-08-22 09:34:11,Sandesh,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxPZFFUMk8tWmdTYnhGUlZ2VG9xUHNsX0s3SEVLMDU1dEw3amtQNm5Ib1pla3BlSDJfdnJQcjBpZGxsTUFXOEJua1p1ckdzZTlyUk5keXBWbFctTGpLV25mTnNtcmJnTVBXZE9lZk1TOGo3SkpDTGlhbWFWYnViZExSVUpSYzVSWnVDdmpyNl9ZMk5XWk9tUjJObHNQbndzRTQtdzJDa0NXRGZkVTlqM0JsQXhTdFVPVnEtem0wMDNQZ0ZEcEkwSmUtbEt3TXQ0VUNhcnUwMlBhNUhTeC1hRmZIVGF6dFpiSURzcmhydXE4NWJSM2JfTWM3QjdfNmp2Zk5Cc2RwQi1mbw?oc=5"" target=""_blank"">Surat News : નશાકારક દવાઓના દુરુપયોગ અને વેચાણને લઈ સુરતમાં SOG પોલીસની સાથે ફૂડ એન્ડ ડ્રગ્સ વિભાગે પાડયા દરોડા</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sandesh</font>",Disaster,gu
"155 કિમીની સ્પીડે આવી રહ્યું છે ભયંકર 'વાવાઝોડું', મચાવશે અનેક શહેરોમાં તબાહી, હજારોનું સ્થળાંતર - VTV Gujarati",https://news.google.com/rss/articles/CBMiswFBVV95cUxNOU5FRzRNNmJmNFU3aWVPV21CT0xHQlR0UWhMTF9NbXo2OGVVcVhFWXpVZlNCeXloODFQbXVCZmVwNHJ4TElpVVAtQmdIM1lwOTBZdWVGU1IxRzRNN0l1WjdLUE1kZWJYUUFqSS1ibVJXVnkydDNIdjV6aGs2MndMdUNGNTdUc3o1Z01KYS1hZU5UblhGTEl4cEZLOUF1SFdCbjFPMmtVUEFWc1RPOVVCam1fRQ?oc=5,2025-08-22 08:28:33,VTV Gujarati,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNOU5FRzRNNmJmNFU3aWVPV21CT0xHQlR0UWhMTF9NbXo2OGVVcVhFWXpVZlNCeXloODFQbXVCZmVwNHJ4TElpVVAtQmdIM1lwOTBZdWVGU1IxRzRNN0l1WjdLUE1kZWJYUUFqSS1ibVJXVnkydDNIdjV6aGs2MndMdUNGNTdUc3o1Z01KYS1hZU5UblhGTEl4cEZLOUF1SFdCbjFPMmtVUEFWc1RPOVVCam1fRQ?oc=5"" target=""_blank"">155 કિમીની સ્પીડે આવી રહ્યું છે ભયંકર 'વાવાઝોડું', મચાવશે અનેક શહેરોમાં તબાહી, હજારોનું સ્થળાંતર</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VTV Gujarati</font>",Disaster,gu
Surat માં નશાકારક સીરપના ગેરકાયદે વેચાણ પર SOGએ પાડ્યા દરોડા - Gujarat First,https://news.google.com/rss/articles/CBMiygFBVV95cUxQdWFoS19iMDFjTGtudDN1eEdnZlQyNkE4LS1KU0lkdFhlVDVfWmw4ZjZZVXAydHNYM3Q3ZXk2LWk5dnhQakduQVBtVE5yYXZ2MDlGbEtXWjNvVlpwYmVwSmlEblExa1NBTzliNWtkX3J3aG55UEVjSDc4Vml4YThoM08xckdRWVBVbUlnSVJQX3BmZTZWS3hBZ1dqNUQ2TzNKYXNwRy11NmpTekVHZ2ZsNktEWGpBTkFyZ203SzM0dzNXNE5zcEdHRnlR?oc=5,2025-08-21 21:50:12,Gujarat First,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQdWFoS19iMDFjTGtudDN1eEdnZlQyNkE4LS1KU0lkdFhlVDVfWmw4ZjZZVXAydHNYM3Q3ZXk2LWk5dnhQakduQVBtVE5yYXZ2MDlGbEtXWjNvVlpwYmVwSmlEblExa1NBTzliNWtkX3J3aG55UEVjSDc4Vml4YThoM08xckdRWVBVbUlnSVJQX3BmZTZWS3hBZ1dqNUQ2TzNKYXNwRy11NmpTekVHZ2ZsNktEWGpBTkFyZ203SzM0dzNXNE5zcEdHRnlR?oc=5"" target=""_blank"">Surat માં નશાકારક સીરપના ગેરકાયદે વેચાણ પર SOGએ પાડ્યા દરોડા</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gujarat First</font>",Disaster,gu
"જુનાગઢમાં આભ ફાટ્યું! ઘેડ પંથક ફરીથી ડૂબ્યું, પાણીથી તબાહીની જુઓ તસવીરો - Zee News",https://news.google.com/rss/articles/CBMixwFBVV95cUxPSjM4Ym9kZG4wc0NvTEtTZ0VjYWNKLVVBU3pxd3cxT2hiQzJvTGxpdVIyc2huTERuQ0JwdnlUcUpVdzQ3aXNpU0RmOTdGRmVwVkNzSDhxTEZGTjRsNEtUcy0xcWx3Y1lvbVJzM1NNRzNNc3p1U0d0UjB4Q3FHcG1HSVhrcFYyREZQT1F4cHdPVEwzZkVUNklpMWFqWTlEOFRrQ21oVnpScjltMVU0SHhyWGl0M2hLZWtYYTB1M3VWT1VIUG9SLXpF?oc=5,2025-08-21 18:26:13,Zee News,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPSjM4Ym9kZG4wc0NvTEtTZ0VjYWNKLVVBU3pxd3cxT2hiQzJvTGxpdVIyc2huTERuQ0JwdnlUcUpVdzQ3aXNpU0RmOTdGRmVwVkNzSDhxTEZGTjRsNEtUcy0xcWx3Y1lvbVJzM1NNRzNNc3p1U0d0UjB4Q3FHcG1HSVhrcFYyREZQT1F4cHdPVEwzZkVUNklpMWFqWTlEOFRrQ21oVnpScjltMVU0SHhyWGl0M2hLZWtYYTB1M3VWT1VIUG9SLXpF?oc=5"" target=""_blank"">જુનાગઢમાં આભ ફાટ્યું! ઘેડ પંથક ફરીથી ડૂબ્યું, પાણીથી તબાહીની જુઓ તસવીરો</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,gu
"કોણ છે કુખ્યાત ઈમ્તિયાઝ, જેને કારણે સોશિયલ મીડિયા ઈન્ફ્લુએન્સર જન્નત મીરે આપઘાતનો પ્રયાસ કર્યો - Zee News",https://news.google.com/rss/articles/CBMixwFBVV95cUxQLXEyUG41eVhTTTNfZkpCR2QwRjVtamtkM1FwWUVvTHBqWmRncU1qWUVZcTRWWF9nejNkaFZOcjFsOXpSMzJBejZDS1VkUHQtZXFYWmszalc2Mm5MQkNKc3o2QVRaSjVpOEt3LTgtdDVZMlE1SWFoRXNyUzlJUjZYbEFHV29mYW96OWs1ZUZKVEEyYVVaajFlX1o2V0MxSlNNak10MmNTZFlzbzVXN2xUaFQyYTdIYkJwa29nbHJYdXR0aWNPaHFn0gHMAUFVX3lxTFBBelVmUEpkTk1pMTBlX09SY1I3dTYtbVlMRDJDSmRpS1ljS2daOHBSQjRKNGJjSnZtWW1UVzVvZlZEWWMtblVCbnJCNGEyaHhodWJaVDdTajdJb3dyem9lXzhvcWx3XzFQaDJIMHd2Sy1oc1NUck42eWZhREROdWZEdHZvUUZoYmpDX3pHbmVYZmhrWnlYeTRDYkFOTUVXUVVyM0xmbksyeFJuYXQzWmpFMG1Oa0t1VFJVWXJDQXVzVDRETTVzbmY1ekw1Ng?oc=5,2025-08-21 16:02:00,Zee News,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQLXEyUG41eVhTTTNfZkpCR2QwRjVtamtkM1FwWUVvTHBqWmRncU1qWUVZcTRWWF9nejNkaFZOcjFsOXpSMzJBejZDS1VkUHQtZXFYWmszalc2Mm5MQkNKc3o2QVRaSjVpOEt3LTgtdDVZMlE1SWFoRXNyUzlJUjZYbEFHV29mYW96OWs1ZUZKVEEyYVVaajFlX1o2V0MxSlNNak10MmNTZFlzbzVXN2xUaFQyYTdIYkJwa29nbHJYdXR0aWNPaHFn0gHMAUFVX3lxTFBBelVmUEpkTk1pMTBlX09SY1I3dTYtbVlMRDJDSmRpS1ljS2daOHBSQjRKNGJjSnZtWW1UVzVvZlZEWWMtblVCbnJCNGEyaHhodWJaVDdTajdJb3dyem9lXzhvcWx3XzFQaDJIMHd2Sy1oc1NUck42eWZhREROdWZEdHZvUUZoYmpDX3pHbmVYZmhrWnlYeTRDYkFOTUVXUVVyM0xmbksyeFJuYXQzWmpFMG1Oa0t1VFJVWXJDQXVzVDRETTVzbmY1ekw1Ng?oc=5"" target=""_blank"">કોણ છે કુખ્યાત ઈમ્તિયાઝ, જેને કારણે સોશિયલ મીડિયા ઈન્ફ્લુએન્સર જન્નત મીરે આપઘાતનો પ્રયાસ કર્યો</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,gu
"પોરબંદર: પૂરના પાણીમાં ટેન્કર સહિત 13 લોકો તણાયા, NDRFએ કર્યું રેસ્ક્યુ ઓપરેશન - Zee News",https://news.google.com/rss/articles/CBMiwwFBVV95cUxOS0JodnNmZ3RhVVVhNVM1UlpON0JTQ3FRb00tRHNEREpRbVFSM3NqTHFIOVAxTHk4dzgtakxPcVMxTWFSSzFCRkJRRnJmbElGUkF4VTN1d2p2bGE5cmE4VmJfUkNMN1RNbC1WRGhsSUdleW11NVdVSWNHSjBhTC1yRnppNXJ0LXBoQll5anlocWItdzE4WENrZWc1ZGt4SG51YmlMOXgyQWd5QjRaZmZTM3hicXoweFdfUTJ2S2ZZRzZZTDDSAcgBQVVfeXFMTXh5a1lOYm9FVFhqMFBzQ0JSaWpKZWVkSFA3NlN3R1pnbXVtNk5ETGZTanVoeUtDMHoxbldWMmFldVEyd1dITkJWYkRtR0RkaWgwd0NLaWtMMXMtOW9zVEdEbGJMWHBJNzZGakRZNnpFMVFPMXNaTXpwRVdyXy1COHdKY1hwZXpzQWRET2lQLXZkTDYwT19ESzZ0Mzg1NTNtUnlWU1FMcktnSUZXRlJiQW9wcHVBLUsySHE2THZ1cWhtT3FENWlqdFQ?oc=5,2025-08-21 17:50:03,Zee News,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxOS0JodnNmZ3RhVVVhNVM1UlpON0JTQ3FRb00tRHNEREpRbVFSM3NqTHFIOVAxTHk4dzgtakxPcVMxTWFSSzFCRkJRRnJmbElGUkF4VTN1d2p2bGE5cmE4VmJfUkNMN1RNbC1WRGhsSUdleW11NVdVSWNHSjBhTC1yRnppNXJ0LXBoQll5anlocWItdzE4WENrZWc1ZGt4SG51YmlMOXgyQWd5QjRaZmZTM3hicXoweFdfUTJ2S2ZZRzZZTDDSAcgBQVVfeXFMTXh5a1lOYm9FVFhqMFBzQ0JSaWpKZWVkSFA3NlN3R1pnbXVtNk5ETGZTanVoeUtDMHoxbldWMmFldVEyd1dITkJWYkRtR0RkaWgwd0NLaWtMMXMtOW9zVEdEbGJMWHBJNzZGakRZNnpFMVFPMXNaTXpwRVdyXy1COHdKY1hwZXpzQWRET2lQLXZkTDYwT19ESzZ0Mzg1NTNtUnlWU1FMcktnSUZXRlJiQW9wcHVBLUsySHE2THZ1cWhtT3FENWlqdFQ?oc=5"" target=""_blank"">પોરબંદર: પૂરના પાણીમાં ટેન્કર સહિત 13 લોકો તણાયા, NDRFએ કર્યું રેસ્ક્યુ ઓપરેશન</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,gu
Hurricane Erin approaches North Carolina in US storm and flooding expected - GujaratSamachar English,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOVi1vSnh3VW96bHBvVFRCekJwRnY2Q1pxYU1iNzlvb3JuN3I4ZjJjR1MxMXkxbXFmUXp1aTVjdEg2ZlRiTGl4U2tteURUckZLcUV3Vl9CbHdSa0hUZEhFZzlTaUpqVUNRU2R5R0hyZ2dvZkotZHBSSHUzV2I1MWkyTk1oZXJUSzdTUENZZ1llWktHYk9tT3FQb1hlT0JLS3RFeGxuWUo4d2JlaUtqM0htX005Y0FRYzVsTGVpRmxsTURTeHNqMS1BeA?oc=5,2025-08-21 12:28:27,GujaratSamachar English,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOVi1vSnh3VW96bHBvVFRCekJwRnY2Q1pxYU1iNzlvb3JuN3I4ZjJjR1MxMXkxbXFmUXp1aTVjdEg2ZlRiTGl4U2tteURUckZLcUV3Vl9CbHdSa0hUZEhFZzlTaUpqVUNRU2R5R0hyZ2dvZkotZHBSSHUzV2I1MWkyTk1oZXJUSzdTUENZZ1llWktHYk9tT3FQb1hlT0JLS3RFeGxuWUo4d2JlaUtqM0htX005Y0FRYzVsTGVpRmxsTURTeHNqMS1BeA?oc=5"" target=""_blank"">Hurricane Erin approaches North Carolina in US storm and flooding expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GujaratSamachar English</font>",Disaster,en
"Breaking: Heavy Rain Triggers Flood-Like Situation In Gujarat, Red And Orange Alerts Issued - MSN",https://news.google.com/rss/articles/CBMi9AFBVV95cUxNTmtOZEYwWEhaLUFjYUpBQi1ZV3hoQ1Jodl81X1VIWUVpaUhPM18wWnBwQUVpbjhiWmpjckVMdnBfWFhpaC1LUThjWXNzUVdycVQ2T0VNdWhkSVNyU195aThIdVBXWmdJSWRKcHYtUmZPbTRwMFhvS2NJclpCSGViLWZMVnVQMmlRNHZWaUhHQ1YzTVNtMGhJSVNJNzZHUjhXX2p3WVl0WEhiM2U1dnFEZEZBSDFkanBjR2I3cHVvT09iVHVoWllCcjhrX01RWU5TWlQ3UFZXWXRiQjdpd2VjY0JSNTlyQWpCbmhBbXg5ZDVyYjBX?oc=5,2025-08-21 17:06:22,MSN,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxNTmtOZEYwWEhaLUFjYUpBQi1ZV3hoQ1Jodl81X1VIWUVpaUhPM18wWnBwQUVpbjhiWmpjckVMdnBfWFhpaC1LUThjWXNzUVdycVQ2T0VNdWhkSVNyU195aThIdVBXWmdJSWRKcHYtUmZPbTRwMFhvS2NJclpCSGViLWZMVnVQMmlRNHZWaUhHQ1YzTVNtMGhJSVNJNzZHUjhXX2p3WVl0WEhiM2U1dnFEZEZBSDFkanBjR2I3cHVvT09iVHVoWllCcjhrX01RWU5TWlQ3UFZXWXRiQjdpd2VjY0JSNTlyQWpCbmhBbXg5ZDVyYjBX?oc=5"" target=""_blank"">Breaking: Heavy Rain Triggers Flood-Like Situation In Gujarat, Red And Orange Alerts Issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"School Holidays in August 2025 LIVE: School Remain Closed in Maharashtra, Kerala, Karnataka, J&K and Other States Due to Rain - Jagran Josh",https://news.google.com/rss/articles/CBMikwJBVV95cUxPN0JYblR0SjRqQk5FVUtGSlpBbnNjSWllWFo1Qk91c2RRUk9jcTBNc0hteUNyZmg5SUtaV2pVRWxnajhva0VGMW9SY0ZxY3lVS2Jid1EtLXZoLVRCekVHNENSbktJbE13UjdJVU1YdHNRa3F5Yi1hNlIzQldTZ0ZUcXhzZWZieXdTbm5MOWYzdjBZU1hYR2tSY0RRcFQyT09BNlhEUlBzMDAyUEg2VkI1NWdGYjJxclAyRUNjWHRqWHRaT3gwQ1Z3YTZ6Z2RWVm0ta0tiOVRpcDEtczVwVVZMSDFheER4a1Zsb001bVRHbFVrempPZ2lKRXNHT3o4MGVIcUlyQlB6UXFBYzBSYVdGWWZhMA?oc=5,2025-08-21 13:56:52,Jagran Josh,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxPN0JYblR0SjRqQk5FVUtGSlpBbnNjSWllWFo1Qk91c2RRUk9jcTBNc0hteUNyZmg5SUtaV2pVRWxnajhva0VGMW9SY0ZxY3lVS2Jid1EtLXZoLVRCekVHNENSbktJbE13UjdJVU1YdHNRa3F5Yi1hNlIzQldTZ0ZUcXhzZWZieXdTbm5MOWYzdjBZU1hYR2tSY0RRcFQyT09BNlhEUlBzMDAyUEg2VkI1NWdGYjJxclAyRUNjWHRqWHRaT3gwQ1Z3YTZ6Z2RWVm0ta0tiOVRpcDEtczVwVVZMSDFheER4a1Zsb001bVRHbFVrempPZ2lKRXNHT3o4MGVIcUlyQlB6UXFBYzBSYVdGWWZhMA?oc=5"" target=""_blank"">School Holidays in August 2025 LIVE: School Remain Closed in Maharashtra, Kerala, Karnataka, J&amp;K and Other States Due to Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>",Disaster,en
