Title,Link,Date,Source,Summary,Term,LanguageQueried
"Gujarat Weather Report: ગુજરાતમાં 48 કલાક ભારે! ચાર જિલ્લામાં હીટવેવની આગાહી, જાણો તમારા વિસ્તારમાં કેવું ર... - News18 Gujarati",https://news.google.com/rss/articles/CBMi2AFBVV95cUxQQmJ1QWwzU1BkeTJ2cFVsUXpUS3RmdThsYVh5YXMzSWpwVXgyUEVMb0twTzd6Y1VoWUJLckswS0xXRFhoQjZoekNhcmhwT05VTHZuQmxoU2RnWDQ5MU9VWlQ2dEVwaXphdHZYRUF3RFBXY0xoQTdqVWQxaFhwejkzU01JRW5rcHNZZjY4bmV6ZXBMN0JtX2dwRUY4bGFVLUVUSnc2QnBxRFVGRlZrUEVyVGthVUF6Y3J2SDBCM3poVUZvYlZpR2ExbzZIa01nby1PRENncFp0XzHSAbwCQVVfeXFMUDVQbngzY0VoUVROMVcyamZ4OGNVMU9SMTN2S09uSWtadlJUbS1mRjkydzZTODlXb1ZRbm1fNGdBM1VtSTRuaUJlZFBNTmhJN2tUSmJPckxHdWRidUthRXBtc1FNUzdOVTFHYWFKUXBYcFZLU2dSampSUldvSjREdjJBTDRBVGt0eGJkTUlQeHUxRjh0aWVYOXF1S3BjS1lzb09CODMtQmxPNExqa19LdThERXljUXF1T2NEejhWMElCbkt3X1JaRVd4QXhKWXoyZlgxVi1OS1dhQ3pSVVk2WEZjaU1XX1pTanZ3TEFma1F6Yld3dWllbi1YbmhjWXZCVG8zT3A3Tk9DdkxoVXc2RGIzMnVfcTdPRTQ0dHl3bU50Yk5LTzRqQXA3YzBTcnlqYWF5LUZUVnJ2RmtmWA?oc=5,2025-04-28 14:06:27,News18 Gujarati,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQQmJ1QWwzU1BkeTJ2cFVsUXpUS3RmdThsYVh5YXMzSWpwVXgyUEVMb0twTzd6Y1VoWUJLckswS0xXRFhoQjZoekNhcmhwT05VTHZuQmxoU2RnWDQ5MU9VWlQ2dEVwaXphdHZYRUF3RFBXY0xoQTdqVWQxaFhwejkzU01JRW5rcHNZZjY4bmV6ZXBMN0JtX2dwRUY4bGFVLUVUSnc2QnBxRFVGRlZrUEVyVGthVUF6Y3J2SDBCM3poVUZvYlZpR2ExbzZIa01nby1PRENncFp0XzHSAbwCQVVfeXFMUDVQbngzY0VoUVROMVcyamZ4OGNVMU9SMTN2S09uSWtadlJUbS1mRjkydzZTODlXb1ZRbm1fNGdBM1VtSTRuaUJlZFBNTmhJN2tUSmJPckxHdWRidUthRXBtc1FNUzdOVTFHYWFKUXBYcFZLU2dSampSUldvSjREdjJBTDRBVGt0eGJkTUlQeHUxRjh0aWVYOXF1S3BjS1lzb09CODMtQmxPNExqa19LdThERXljUXF1T2NEejhWMElCbkt3X1JaRVd4QXhKWXoyZlgxVi1OS1dhQ3pSVVk2WEZjaU1XX1pTanZ3TEFma1F6Yld3dWllbi1YbmhjWXZCVG8zT3A3Tk9DdkxoVXc2RGIzMnVfcTdPRTQ0dHl3bU50Yk5LTzRqQXA3YzBTcnlqYWF5LUZUVnJ2RmtmWA?oc=5"" target=""_blank"">Gujarat Weather Report: ગુજરાતમાં 48 કલાક ભારે! ચાર જિલ્લામાં હીટવેવની આગાહી, જાણો તમારા વિસ્તારમાં કેવું ર...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Gujarati</font>",Heatwave,gu
"ગુજરાતમાં ગરમીનો પ્રકોપ યથાવત્, જાણો હવામાન વિભાગની આગાહી - chitralekha.com",https://news.google.com/rss/articles/CBMiuwFBVV95cUxOUEFfYU1JcGI1TFJfcmwyZFZDWEFhMmtfdGN5ck5kMEh2Y0Z3enkwRzlWVHNjRVoybWdEUXNiLVdIV3lsbmlyRy03cWVfTHlLUHdjV2ZKTjlpU3lKSFZoY2RScHFGS01IOHpWRDktMHJBMGs4b0ZXTjZLS2ZTY20wdklZb182VEVEWko2OEdRRE50RDNMX3hGQmo2SWtQMkJOTFdkUXNZSHVJTTVPdm8tblprN3RnSFNEanVz?oc=5,2025-04-28 12:32:28,chitralekha.com,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOUEFfYU1JcGI1TFJfcmwyZFZDWEFhMmtfdGN5ck5kMEh2Y0Z3enkwRzlWVHNjRVoybWdEUXNiLVdIV3lsbmlyRy03cWVfTHlLUHdjV2ZKTjlpU3lKSFZoY2RScHFGS01IOHpWRDktMHJBMGs4b0ZXTjZLS2ZTY20wdklZb182VEVEWko2OEdRRE50RDNMX3hGQmo2SWtQMkJOTFdkUXNZSHVJTTVPdm8tblprN3RnSFNEanVz?oc=5"" target=""_blank"">ગુજરાતમાં ગરમીનો પ્રકોપ યથાવત્, જાણો હવામાન વિભાગની આગાહી</a>&nbsp;&nbsp;<font color=""#6f6f6f"">chitralekha.com</font>",Heatwave,gu
Brace up for 44.9°C - Ahmedabad Mirror,https://news.google.com/rss/articles/CBMieEFVX3lxTE12eG9yaU5fdDh6M1d5Y19pU25ic1pEUjJKcmlFWmN1MDMzdndlejQ4OVRIVi1tYXZQTGxrbFFUQTBqLTdOM25Yc0VxZzNWaUxRblFWbG9nRjZqRVFISFhTSjE4ZUNhVE5UN1JsaGdVY2lMUkp4OHFFVw?oc=5,2025-04-29 09:53:29,Ahmedabad Mirror,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE12eG9yaU5fdDh6M1d5Y19pU25ic1pEUjJKcmlFWmN1MDMzdndlejQ4OVRIVi1tYXZQTGxrbFFUQTBqLTdOM25Yc0VxZzNWaUxRblFWbG9nRjZqRVFISFhTSjE4ZUNhVE5UN1JsaGdVY2lMUkp4OHFFVw?oc=5"" target=""_blank"">Brace up for 44.9°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ahmedabad Mirror</font>",Heatwave,en
"IMD forecasts heat wave in northern, western India - - NEWS ON AIR",https://news.google.com/rss/articles/CBMihgFBVV95cUxNQzR4ZEJIb3dMcnA3ZTVaOVVkUGlXWDZrSzNhMks1aHAzbjkxWE1BQUQ3bVF2NTBmSmFYRUxfaU03eTVuMVo3TExvUlRoanQ3Y05CYjc0LXd1WFN5MmlTbW9xSExwajAzTUkyZHJiZF8yRGlwR1hjemxTVUNsOXppQk9yRXRPQQ?oc=5,2025-04-28 15:53:58,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNQzR4ZEJIb3dMcnA3ZTVaOVVkUGlXWDZrSzNhMks1aHAzbjkxWE1BQUQ3bVF2NTBmSmFYRUxfaU03eTVuMVo3TExvUlRoanQ3Y05CYjc0LXd1WFN5MmlTbW9xSExwajAzTUkyZHJiZF8yRGlwR1hjemxTVUNsOXppQk9yRXRPQQ?oc=5"" target=""_blank"">IMD forecasts heat wave in northern, western India -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
"At 46.2 degrees, Rajkot records its highest temperature of season; Saurashtra and Kutch districts under heat wave alert - The Indian Express",https://news.google.com/rss/articles/CBMizAFBVV95cUxPbHFWajNiRXpHdWdWcFVlODQzTW44Z3I0VjlPLTZEakNTUDNwa3UtemJGRU12QXRBZEtZM3RBa0JuQzJCSGFBdFFYVDBmTzhPUWE5VWlfQUV1RXVXQnhGZE1WeGliS3lQb3JSeHhScFdEOC1rdGZCWFQ2a3JNX3dITkVrZkhTUEVZbVZLYXhPM0JhempRNzBRMVUzeFZOZGh3RENPX1BNdV9QUFdxTWJQc3dySXNUQ3dQRzhqbG5VTi04LWNNaGJVc2h5eELSAdMBQVVfeXFMTk54RV9lbUR0Mjl3NnpZOFZnMS1CbHBkSE5uSEJmaEFuN2stS3AtOVY5Q1VaOUV0TXR3cDN5bElGYWdpczJWeFE0V3BJX1hyWF9wVmdYNk5aRHhfemtOZnMtamFRVDBNU0NIS0xiYjktWUd2S3RJZ3pLdFVQS2k0YVlGZ2pWWDhoajh4Sm43RWVwQVFvQWNjVndTbnlQcWloWlYwNkQzV0gzYm1KMk5SVzlPSTZOVFFDRUxNS01XUTFyWjJ0RnRTdnFOcC1iczJTZzZqYw?oc=5,2025-04-28 22:24:14,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPbHFWajNiRXpHdWdWcFVlODQzTW44Z3I0VjlPLTZEakNTUDNwa3UtemJGRU12QXRBZEtZM3RBa0JuQzJCSGFBdFFYVDBmTzhPUWE5VWlfQUV1RXVXQnhGZE1WeGliS3lQb3JSeHhScFdEOC1rdGZCWFQ2a3JNX3dITkVrZkhTUEVZbVZLYXhPM0JhempRNzBRMVUzeFZOZGh3RENPX1BNdV9QUFdxTWJQc3dySXNUQ3dQRzhqbG5VTi04LWNNaGJVc2h5eELSAdMBQVVfeXFMTk54RV9lbUR0Mjl3NnpZOFZnMS1CbHBkSE5uSEJmaEFuN2stS3AtOVY5Q1VaOUV0TXR3cDN5bElGYWdpczJWeFE0V3BJX1hyWF9wVmdYNk5aRHhfemtOZnMtamFRVDBNU0NIS0xiYjktWUd2S3RJZ3pLdFVQS2k0YVlGZ2pWWDhoajh4Sm43RWVwQVFvQWNjVndTbnlQcWloWlYwNkQzV0gzYm1KMk5SVzlPSTZOVFFDRUxNS01XUTFyWjJ0RnRTdnFOcC1iczJTZzZqYw?oc=5"" target=""_blank"">At 46.2 degrees, Rajkot records its highest temperature of season; Saurashtra and Kutch districts under heat wave alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Heatwave,en
"Weather Update: IMD Issues Alerts for Heavy Rains, Thunderstorms, and Duststorms Across India, Impacting Assam, Rajasthan, Punjab, Gujarat, and More - Krishi Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxQaGpvWnh4MkZIckUzeGVnVDV3UEVHUlh6Um1JTTBBTlVrSUF6RVRhMGVtOTZsNU90Yk1TRWw0SWRad3NZb1pGOVFEWXZuLUFSb2hWRFgycEFsZi1EUlFGNW9tVWlBMEFSY0pEbnNkS0dGRkRUSVA5VkVDcTJialdRdjJnLUlBak5qTElJVHR6cnFESkM3T1Zoem1HNlN6YVlkZ0x6Q3hKa3dDa21pVk5HamEtZTEwR0t6Y0VhbU5CczFoUGYwRVdKVzZIMDh6d3p0X08ydVQ5MTRzeDdnTnVtdUg5cF9zY2U3emVpdzBIMXJ5eVkyRXQxVU93SjBwZnZzZzFicExhenNiYThaTjM0?oc=5,2025-04-29 07:56:15,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxQaGpvWnh4MkZIckUzeGVnVDV3UEVHUlh6Um1JTTBBTlVrSUF6RVRhMGVtOTZsNU90Yk1TRWw0SWRad3NZb1pGOVFEWXZuLUFSb2hWRFgycEFsZi1EUlFGNW9tVWlBMEFSY0pEbnNkS0dGRkRUSVA5VkVDcTJialdRdjJnLUlBak5qTElJVHR6cnFESkM3T1Zoem1HNlN6YVlkZ0x6Q3hKa3dDa21pVk5HamEtZTEwR0t6Y0VhbU5CczFoUGYwRVdKVzZIMDh6d3p0X08ydVQ5MTRzeDdnTnVtdUg5cF9zY2U3emVpdzBIMXJ5eVkyRXQxVU93SjBwZnZzZzFicExhenNiYThaTjM0?oc=5"" target=""_blank"">Weather Update: IMD Issues Alerts for Heavy Rains, Thunderstorms, and Duststorms Across India, Impacting Assam, Rajasthan, Punjab, Gujarat, and More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Daily weather tracker: Heatwave in many northern states, hailstorms in Odisha and Chhattisgarh, heavy rain in the Northeast - Down To Earth",https://news.google.com/rss/articles/CBMi-gFBVV95cUxNRlpTSzhURzhxZGFDQnE2cGVTNGRhWUx5RDIweUxOejdyQllJd0ctcjlOLUZ3SVZyQWQ3OVAydWZaYmFRWDFuUVZOTnd0T20tSld2RGxlQmhCSTRaZ2xkcVJKQTdtT3EyNkkyemlNQjYzTDNyZUdjTlBRMDhLbzJwWVg0ZWl4bzk5clgtZ1BfZmNvTjcxSW4ydzVNTEw0Ym1WMlJKelZVdGloMm9ra3FuUF9hRDl6aUhMd0FLX0NrMGJ2cngzR2hETHhDRVlGalY3cDF3YW9vdk9qa0lkdWhpOS1SQU9MZzNsbVZTWHRfYXdzSDZpdXY1Y3Bn0gGHAkFVX3lxTE5zMXFNeURqMkJRcTR1U2JYaVREb3hwNVVzVTNSNXVqaVJHNXozR18yR1BuSEhiRDNFeV9ITE43SWczN3YzRkRRTmoxSkxFOURwa29PWjVwcDNFQWVhYXdhUmtXM3NoWU5UalhmYzBORnloQXBKTnVrVUdDbE41Wkp2d0cySzdVU2dMRE9wc0l5SzFHMjNqNF9WSXp1bDNVQW5Vb0lPNUNGV1ZFdnI0UFNXSDJEbEhXbmhtTlpQSnloMzRxUXNLbE1LMU91SDJIN2YwTkI4dlRrdzZyUkZBS2h5YTBPUy03NkZ4eUQtTFZxTmsxaS1FdDk5SkZiaGxZRnhHZjFuMnZZ?oc=5,2025-04-28 16:26:57,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxNRlpTSzhURzhxZGFDQnE2cGVTNGRhWUx5RDIweUxOejdyQllJd0ctcjlOLUZ3SVZyQWQ3OVAydWZaYmFRWDFuUVZOTnd0T20tSld2RGxlQmhCSTRaZ2xkcVJKQTdtT3EyNkkyemlNQjYzTDNyZUdjTlBRMDhLbzJwWVg0ZWl4bzk5clgtZ1BfZmNvTjcxSW4ydzVNTEw0Ym1WMlJKelZVdGloMm9ra3FuUF9hRDl6aUhMd0FLX0NrMGJ2cngzR2hETHhDRVlGalY3cDF3YW9vdk9qa0lkdWhpOS1SQU9MZzNsbVZTWHRfYXdzSDZpdXY1Y3Bn0gGHAkFVX3lxTE5zMXFNeURqMkJRcTR1U2JYaVREb3hwNVVzVTNSNXVqaVJHNXozR18yR1BuSEhiRDNFeV9ITE43SWczN3YzRkRRTmoxSkxFOURwa29PWjVwcDNFQWVhYXdhUmtXM3NoWU5UalhmYzBORnloQXBKTnVrVUdDbE41Wkp2d0cySzdVU2dMRE9wc0l5SzFHMjNqNF9WSXp1bDNVQW5Vb0lPNUNGV1ZFdnI0UFNXSDJEbEhXbmhtTlpQSnloMzRxUXNLbE1LMU91SDJIN2YwTkI4dlRrdzZyUkZBS2h5YTBPUy03NkZ4eUQtTFZxTmsxaS1FdDk5SkZiaGxZRnhHZjFuMnZZ?oc=5"" target=""_blank"">Daily weather tracker: Heatwave in many northern states, hailstorms in Odisha and Chhattisgarh, heavy rain in the Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Delhi Weather Update: Residents To Get Relief From Scorching Heat; Rain Expected This Week – Check Forecast - news24online.com,https://news.google.com/rss/articles/CBMi_wFBVV95cUxOaEU4bTZGdHRBXzVLWDk5cS1kUGt5YlRFblRLV1BPUDJhZVd1ZFhENU82WFJjZlBUYU9lNVNRcWpvbVlfUUNsS1gyV3Y3QkdxNjVZMDBCMlRJVnVVNTZQTm5mOExwUVQ2TExub2tuYXRaQWxmczVEbGR5MkRTaHZPYTRwZ2RPRzZwTXJja29MUXdWa1pmNDhpX3NxSEpsWTZ2UjdZTmdReVRSenNHOW00STVaXzFkQ05SR1VCRTNnMHlOUlVHMVFhdklQcXlOSE5kTnQzZDA1OHc0anE1OUN6Z1JfR0diWUJoMkFIWG5PZlNsV0FoTHF2allFWjR3ZXc?oc=5,2025-04-29 06:57:38,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxOaEU4bTZGdHRBXzVLWDk5cS1kUGt5YlRFblRLV1BPUDJhZVd1ZFhENU82WFJjZlBUYU9lNVNRcWpvbVlfUUNsS1gyV3Y3QkdxNjVZMDBCMlRJVnVVNTZQTm5mOExwUVQ2TExub2tuYXRaQWxmczVEbGR5MkRTaHZPYTRwZ2RPRzZwTXJja29MUXdWa1pmNDhpX3NxSEpsWTZ2UjdZTmdReVRSenNHOW00STVaXzFkQ05SR1VCRTNnMHlOUlVHMVFhdklQcXlOSE5kTnQzZDA1OHc0anE1OUN6Z1JfR0diWUJoMkFIWG5PZlNsV0FoTHF2allFWjR3ZXc?oc=5"" target=""_blank"">Delhi Weather Update: Residents To Get Relief From Scorching Heat; Rain Expected This Week – Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Delhi braces for rain as IMD issues yellow alert, hail and storm warning issued for these states - Business Today",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNNkM3ZTJrdXV6VVhiS1MwWVZVMm5hTHZ6WmtQVURBTk8tSmpmUW1BOFExVkJuLVk0NF9aSjNweUczZk9pWFlWSDlVNkRIVVd3d1h5emtUaTJCUzBsZFFobUdmTzFxQkRpMU05eVdJc1llbUFDTzM3ZV9IYjNzdVJoblRFRkQxcndBdGpyOUcyaTNSajVVVGJWZTdKY1BONjhnbTZpb1pWNjhJZkJxUzhBVHVVdmdGVzNWNU4zS3RzWmUwcGFIZUU0dXNnTXhUVXY3TmRoUGNRTUNMZ1lHWFhtVHJEbW01b1dBclHSAe8BQVVfeXFMUGkwNkpBZGlIOHZ3SzN1UjB4Wm9TVEZtUm9ZU0lZS2NjZnFZQThhVlAxSm9Xdkw2dUVuSzNzWnJHbkVER3BLZVlHUFBTRUIzemQxZGxHcHpvQXpSbVJpbGt3Q1BvNWNLUEtmR3lQZW9GT2JsYjdkY0FpTmRQdE5XQWpoUHQ2YnIwRThFdmJWUnlfUXBuYXcwekFVWXotak9zM3hCRmo1ZE1QTm5QZjRDc3JyRUh5WmE3cUtrdUgwRFRyYkxEN05VQVdrNTNDQjRWRzFvT2VpVmh2NWM2UXQwaVBzWmtXTDZQTlZXQ3dpTm8?oc=5,2025-04-28 18:45:40,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNNkM3ZTJrdXV6VVhiS1MwWVZVMm5hTHZ6WmtQVURBTk8tSmpmUW1BOFExVkJuLVk0NF9aSjNweUczZk9pWFlWSDlVNkRIVVd3d1h5emtUaTJCUzBsZFFobUdmTzFxQkRpMU05eVdJc1llbUFDTzM3ZV9IYjNzdVJoblRFRkQxcndBdGpyOUcyaTNSajVVVGJWZTdKY1BONjhnbTZpb1pWNjhJZkJxUzhBVHVVdmdGVzNWNU4zS3RzWmUwcGFIZUU0dXNnTXhUVXY3TmRoUGNRTUNMZ1lHWFhtVHJEbW01b1dBclHSAe8BQVVfeXFMUGkwNkpBZGlIOHZ3SzN1UjB4Wm9TVEZtUm9ZU0lZS2NjZnFZQThhVlAxSm9Xdkw2dUVuSzNzWnJHbkVER3BLZVlHUFBTRUIzemQxZGxHcHpvQXpSbVJpbGt3Q1BvNWNLUEtmR3lQZW9GT2JsYjdkY0FpTmRQdE5XQWpoUHQ2YnIwRThFdmJWUnlfUXBuYXcwekFVWXotak9zM3hCRmo1ZE1QTm5QZjRDc3JyRUh5WmE3cUtrdUgwRFRyYkxEN05VQVdrNTNDQjRWRzFvT2VpVmh2NWM2UXQwaVBzWmtXTDZQTlZXQ3dpTm8?oc=5"" target=""_blank"">Delhi braces for rain as IMD issues yellow alert, hail and storm warning issued for these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",Heatwave,en
"IMD warns blistering heatwave in Punjab, Haryana, Rajasthan, Madhya Pradesh, cloudy skies in Delhi-NCR - MSN",https://news.google.com/rss/articles/CBMi9gJBVV95cUxPbU5qcC1HYjdycU9lOFp4ZUZuQjNzZW1VZWFBLVZrQk1ZRTVPNGhITmF2ZlBlLVBoY3pvWmdDeE84OVRCNmlFNk1zaEY1X1dIUmN0YWNaendGQllzRHYySHk0dXZ1RmR1eHJ3R19FeUliSE12eDRnWjhtUGx3eXM4UUVVZ3BMRGxYajUtVmlJa2ZDUVhvc0ZCVWFxc2NRazRhZW4yQVZCY3YwVzM5bGdIS2NxZEl1cTNqRnQ1SFVnWW9kUnA5Y0pzeDFiN18xdHVNdEJzTldFQzJlLXV2SWxmd3FOcEg2amlxUWNvRUZfY3NUS08wNF8tbkRndWpQYmFycEpKem5EQTdPT0dzSmRaOGF6QjlmdGpIVWJlYTdyMU8xcUUtbnR3ZVJLX0dsTGtwalFtSmZNQmQ4cW56V2lVeW1IM3FpRW90ZkVhbHVuN1JEOG9WWnZSODlESURuTjNWRFhPUmZmdTdxTWxzLXhxa3BnVTczZw?oc=5,2025-04-29 06:16:13,MSN,"<a href=""https://news.google.com/rss/articles/CBMi9gJBVV95cUxPbU5qcC1HYjdycU9lOFp4ZUZuQjNzZW1VZWFBLVZrQk1ZRTVPNGhITmF2ZlBlLVBoY3pvWmdDeE84OVRCNmlFNk1zaEY1X1dIUmN0YWNaendGQllzRHYySHk0dXZ1RmR1eHJ3R19FeUliSE12eDRnWjhtUGx3eXM4UUVVZ3BMRGxYajUtVmlJa2ZDUVhvc0ZCVWFxc2NRazRhZW4yQVZCY3YwVzM5bGdIS2NxZEl1cTNqRnQ1SFVnWW9kUnA5Y0pzeDFiN18xdHVNdEJzTldFQzJlLXV2SWxmd3FOcEg2amlxUWNvRUZfY3NUS08wNF8tbkRndWpQYmFycEpKem5EQTdPT0dzSmRaOGF6QjlmdGpIVWJlYTdyMU8xcUUtbnR3ZVJLX0dsTGtwalFtSmZNQmQ4cW56V2lVeW1IM3FpRW90ZkVhbHVuN1JEOG9WWnZSODlESURuTjNWRFhPUmZmdTdxTWxzLXhxa3BnVTczZw?oc=5"" target=""_blank"">IMD warns blistering heatwave in Punjab, Haryana, Rajasthan, Madhya Pradesh, cloudy skies in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
