Title,Link,Date,Source,Summary,Place
Why respiratory diseases become worse during monsoon and how to protect against them - The Indian Express,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPUm1IXzh1by15dzlGNkFySWxNYTZxVFQ3RG1qVHRhaWNEcFpGcXRTM2JoTm90ZnJEeDk2dldyT3lQS3FwOU9qNWstU1dKdXVaWDE5b1hPNm9rTG90RllEQzBhSG9XclIxQ0NfckJ4U0IyUG1pZGkwb2RqeTNHT1hzUHhPY3JzMmxLTEpmaDFIcnpHVGxSdVludlpycXU0RTJMWE1id0ZnUml1VWcwWGVQS2FTaW1Scm5lVzkwNXVndTFJZGdMbER1OUttZXdUM2VLck1zaWhMX3QtUUXSAeIBQVVfeXFMT3pMcVRvQ2tkSnhCRmEyZXkyakV5dGV2aFZVVTJxalVlT2s5VU1jS0ZyZDZwT0sza2FGbVdIVmZvU1ZGNmcySTVGaEZxVFdXTEIyOFhaeHU4U2xMWkVleVlvWkppZ3JlbGpBYUtKUElYd2h6X3hob2djMF9wSnY2RXhYX3ZrSDVHdy1rUjkteDR0Z0pEcXlRS3J5cmhpX2tPNUs1cC1sZEtDRGVZYWJlZ3dpRUhnUDRIay0zaUJzUTQ0dVhnV2NQcUczOWthTWZWazBxUi1PWDdUYzRTeFF2SUx4QQ?oc=5,2024-08-07 20:30:29,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPUm1IXzh1by15dzlGNkFySWxNYTZxVFQ3RG1qVHRhaWNEcFpGcXRTM2JoTm90ZnJEeDk2dldyT3lQS3FwOU9qNWstU1dKdXVaWDE5b1hPNm9rTG90RllEQzBhSG9XclIxQ0NfckJ4U0IyUG1pZGkwb2RqeTNHT1hzUHhPY3JzMmxLTEpmaDFIcnpHVGxSdVludlpycXU0RTJMWE1id0ZnUml1VWcwWGVQS2FTaW1Scm5lVzkwNXVndTFJZGdMbER1OUttZXdUM2VLck1zaWhMX3QtUUXSAeIBQVVfeXFMT3pMcVRvQ2tkSnhCRmEyZXkyakV5dGV2aFZVVTJxalVlT2s5VU1jS0ZyZDZwT0sza2FGbVdIVmZvU1ZGNmcySTVGaEZxVFdXTEIyOFhaeHU4U2xMWkVleVlvWkppZ3JlbGpBYUtKUElYd2h6X3hob2djMF9wSnY2RXhYX3ZrSDVHdy1rUjkteDR0Z0pEcXlRS3J5cmhpX2tPNUs1cC1sZEtDRGVZYWJlZ3dpRUhnUDRIay0zaUJzUTQ0dVhnV2NQcUczOWthTWZWazBxUi1PWDdUYzRTeFF2SUx4QQ?oc=5"" target=""_blank"">Why respiratory diseases become worse during monsoon and how to protect against them</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
Gujarat witnesses dry spell; only 10 mm rainfall recorded up to 6 pm on Wednesday - DeshGujarat,https://news.google.com/rss/articles/CBMitwFBVV95cUxPTTlHRnBVQlV5OXQyaVNfMjl4TGJwaTNkWEtxd1g0T005WGZJUnhKcDVuWkg0RExHbXJhZWN4YVlDeUdZRVp6VDZhSjhoV2ViM285azN0S2Z5VE9JcW9YZDNZWGVqZ3VGcjBwOUtqNXVKU252Ym1odUdyOVdRd01NNDBXTGtZSVkxdDlxdHB0eXpTOWhHT0FyVUdkVVE3NHpIUEoyYmpXb2VjeFZXZzNVMlRJQWNQZ3c?oc=5,2024-08-08 00:06:21,DeshGujarat,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPTTlHRnBVQlV5OXQyaVNfMjl4TGJwaTNkWEtxd1g0T005WGZJUnhKcDVuWkg0RExHbXJhZWN4YVlDeUdZRVp6VDZhSjhoV2ViM285azN0S2Z5VE9JcW9YZDNZWGVqZ3VGcjBwOUtqNXVKU252Ym1odUdyOVdRd01NNDBXTGtZSVkxdDlxdHB0eXpTOWhHT0FyVUdkVVE3NHpIUEoyYmpXb2VjeFZXZzNVMlRJQWNQZ3c?oc=5"" target=""_blank"">Gujarat witnesses dry spell; only 10 mm rainfall recorded up to 6 pm on Wednesday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DeshGujarat</font>",
IMD issues 'orange' alert in 10 states; flash flood warning in Himachal - Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxQS05GMWtfbWFURzZNNHoydkJiUTU3Wnd5WkxFbVNzZXB5Q05zU0FveV81MDNFZ2N1M0swVDZ4QTlpNld6WjNSbkNpZzcwT2JVc0tvc3FBVFp0eC1oRFVoVzgwV29aazlZQ1VmZHJlQ0huOEFSdG16anZqWFV2czFWZzBqRi0takprRzNlMFp0WnpwYnpscFplZ2JmYXhjdklINkhKV3IzUlY0MGRkNEN3bVNzNGRCbFNUckNLcVpSbVdqLUtUUEU2bU5tR1JIUdIB0wFBVV95cUxOV3pvclJmLTBwMFNzV01mREhNYUFDaXdoWG40ZjBfR0RPMkx6LWpXTEROX1NVT3B5bUZVNVBjT2JmUGlFbFNpZ1J6dHpLdmVKTTRLXy14eVF2MnUwamg0THdtWEU5eGxSSHdZdXFBcGFqVnRDTmQ2U2hmY1Vpb0RWNFdvVlhaTFRmcnNkUlB3Vkx3OEl3aUNtLWFkZk5PeFlNUV9jSWdmQ3U1TTM4emJHUjltS1ZWMlV4OFNERUJVdERaUmIyY2VjYlNYMUJFcS1TczJF?oc=5,2024-08-07 12:49:00,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQS05GMWtfbWFURzZNNHoydkJiUTU3Wnd5WkxFbVNzZXB5Q05zU0FveV81MDNFZ2N1M0swVDZ4QTlpNld6WjNSbkNpZzcwT2JVc0tvc3FBVFp0eC1oRFVoVzgwV29aazlZQ1VmZHJlQ0huOEFSdG16anZqWFV2czFWZzBqRi0takprRzNlMFp0WnpwYnpscFplZ2JmYXhjdklINkhKV3IzUlY0MGRkNEN3bVNzNGRCbFNUckNLcVpSbVdqLUtUUEU2bU5tR1JIUdIB0wFBVV95cUxOV3pvclJmLTBwMFNzV01mREhNYUFDaXdoWG40ZjBfR0RPMkx6LWpXTEROX1NVT3B5bUZVNVBjT2JmUGlFbFNpZ1J6dHpLdmVKTTRLXy14eVF2MnUwamg0THdtWEU5eGxSSHdZdXFBcGFqVnRDTmQ2U2hmY1Vpb0RWNFdvVlhaTFRmcnNkUlB3Vkx3OEl3aUNtLWFkZk5PeFlNUV9jSWdmQ3U1TTM4emJHUjltS1ZWMlV4OFNERUJVdERaUmIyY2VjYlNYMUJFcS1TczJF?oc=5"" target=""_blank"">IMD issues 'orange' alert in 10 states; flash flood warning in Himachal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Which places may get heavy rain in Gujarat from August 8? Here is the IMD forecast - DeshGujarat,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPN0xLdVpaLUc0SDl1SXM5ZHRDdy12TlN1Vm42UVhLYUF3dkRWalBRcEdrbi1mRFhKOVY0eXFISnp1RTRNNEZaQS1PdWZ2elJ1cnlMTjZJZFd4QlcwNTJvV1A2dS1FZWNlcjRBMjljcjJxUzJZdkZZUEVTcWYtTjFLWGNfZndjbTJfR3hIcjg0Ym9MakhtQkdId0JzUWNBZFU1UVB1X01EUE1sVGhkUkloTHk1cmZtaXBh?oc=5,2024-08-07 16:00:00,DeshGujarat,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPN0xLdVpaLUc0SDl1SXM5ZHRDdy12TlN1Vm42UVhLYUF3dkRWalBRcEdrbi1mRFhKOVY0eXFISnp1RTRNNEZaQS1PdWZ2elJ1cnlMTjZJZFd4QlcwNTJvV1A2dS1FZWNlcjRBMjljcjJxUzJZdkZZUEVTcWYtTjFLWGNfZndjbTJfR3hIcjg0Ym9MakhtQkdId0JzUWNBZFU1UVB1X01EUE1sVGhkUkloTHk1cmZtaXBh?oc=5"" target=""_blank"">Which places may get heavy rain in Gujarat from August 8? Here is the IMD forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DeshGujarat</font>",
"Weather Today (August 8): Heavy Rains May Lash Uttarakhand, Rajasthan, Madhya Pradesh, Vidarbha, Chhattisgarh - The Weather Channel",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOVGVVYzNlcVZWd0I0cEFtbDhaa0pHam9YQkJuUHhEdHdkRDA3TVcxLU40SUxVV1FEN2VxMXRaV3haYTBrQ2tsRXJOS25icEE3QzQwUDJJLXR4aFNqWGdMc0RlekJNLVdNdmFvTWNLNzdNVTB2bzg0UV9lbGc5T25oNFdweUV5b1FQaHNHUDZVUDVIMXlnRnY5aTBJWGlhZFVfUVM1M1FubDRuME92QzdScnhvcWJWd0l3N1FOYmo3bldydw?oc=5,2024-08-08 10:05:31,The Weather Channel,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOVGVVYzNlcVZWd0I0cEFtbDhaa0pHam9YQkJuUHhEdHdkRDA3TVcxLU40SUxVV1FEN2VxMXRaV3haYTBrQ2tsRXJOS25icEE3QzQwUDJJLXR4aFNqWGdMc0RlekJNLVdNdmFvTWNLNzdNVTB2bzg0UV9lbGc5T25oNFdweUV5b1FQaHNHUDZVUDVIMXlnRnY5aTBJWGlhZFVfUVM1M1FubDRuME92QzdScnhvcWJWd0l3N1FOYmo3bldydw?oc=5"" target=""_blank"">Weather Today (August 8): Heavy Rains May Lash Uttarakhand, Rajasthan, Madhya Pradesh, Vidarbha, Chhattisgarh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Weather Channel</font>",
Weather Update: Delhi-NCR experience heavy rainfalls; IMD forecasts more downpours ahead | Today News - Mint,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQUGFOWm8tTlR2NlJQNU1xNjZQZGVKRjFiQzIzSGFxS2FwSlR0Rm1PeUs0QnMwQWFybEU1MmgyYllHeGtBbWpYM19ndy0xM3oxcE54U184dHdLa0JTNFY0VEVQUmx6bFVzMzJJdUI4THVMS1ZOUEZmT2lmVmg5X2hrWEVQSnZJdHNmcnk4ME1nWXU1REZwRTE4YTRSdzhRVHBiYzNsS2JsUEdZM25fenk1YzBaQkE5cG1yNWtsTWZnOWJyUDdXNFY5OVdSYzVHSnRqSldzUk1sVDY1QdIB3wFBVV95cUxQT3c1ZW1OTHcwUXVZNm5qQ3BKV2M1MFhqT2VISHI3cV85aXlNdERlTDFZdFhSa3pkN1M0UkdodHNyWkhvejVBQ3ZUb2lWVWkxcThKd2s5TGdSSHZvb3VvS09vRGREYmd3YUxScE9rZS1UdHJXWmlHVmYxQ0RrMFBZRWxaQXlmOHR4N0x3LWVfN3RTWGFFVWg1ZVNkZTRGVzhyUGNqUGtZRmY0dVdlOHl0aTN0STZ4VFVyeUFIYm9BUnJUR1M0bXg3aXlzdnZmbkhmbzNNQ1Rwc3FwbVcyZnBV?oc=5,2024-08-07 17:52:30,Mint,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQUGFOWm8tTlR2NlJQNU1xNjZQZGVKRjFiQzIzSGFxS2FwSlR0Rm1PeUs0QnMwQWFybEU1MmgyYllHeGtBbWpYM19ndy0xM3oxcE54U184dHdLa0JTNFY0VEVQUmx6bFVzMzJJdUI4THVMS1ZOUEZmT2lmVmg5X2hrWEVQSnZJdHNmcnk4ME1nWXU1REZwRTE4YTRSdzhRVHBiYzNsS2JsUEdZM25fenk1YzBaQkE5cG1yNWtsTWZnOWJyUDdXNFY5OVdSYzVHSnRqSldzUk1sVDY1QdIB3wFBVV95cUxQT3c1ZW1OTHcwUXVZNm5qQ3BKV2M1MFhqT2VISHI3cV85aXlNdERlTDFZdFhSa3pkN1M0UkdodHNyWkhvejVBQ3ZUb2lWVWkxcThKd2s5TGdSSHZvb3VvS09vRGREYmd3YUxScE9rZS1UdHJXWmlHVmYxQ0RrMFBZRWxaQXlmOHR4N0x3LWVfN3RTWGFFVWg1ZVNkZTRGVzhyUGNqUGtZRmY0dVdlOHl0aTN0STZ4VFVyeUFIYm9BUnJUR1M0bXg3aXlzdnZmbkhmbzNNQ1Rwc3FwbVcyZnBV?oc=5"" target=""_blank"">Weather Update: Delhi-NCR experience heavy rainfalls; IMD forecasts more downpours ahead | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Indus flood swamps 5 villages - The Express Tribune,https://news.google.com/rss/articles/CBMidEFVX3lxTE5pY3o0Qzd3bVJsbUtUY0pocVRSRjhRS2poTDc3RmtuT2Nad2pyaU5YNTFFdkU1SnYyejRvcDZ5OTFiNS1PRVp0eUVVT2NKd2FnTTZQODA1b1JKaVZSSG9MTERmQTdob1lKbFZmWEoxRjA3b0FI0gF8QVVfeXFMUFJXcmJrZjlDUTNIZHl0MHRqSldPNDJvSkFjZFpsWUc3RHlBV0RtLUIxWW9HaUFlaUNySUM4Ry05YlNXMWVVWG9MemZwYW5RN1o2LW9NcGJiZm1xNUJtWng3QlYxd0tCQ215YWFGcGJ3WkFtd2dESWUzenE5TA?oc=5,2024-08-08 03:39:22,The Express Tribune,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE5pY3o0Qzd3bVJsbUtUY0pocVRSRjhRS2poTDc3RmtuT2Nad2pyaU5YNTFFdkU1SnYyejRvcDZ5OTFiNS1PRVp0eUVVT2NKd2FnTTZQODA1b1JKaVZSSG9MTERmQTdob1lKbFZmWEoxRjA3b0FI0gF8QVVfeXFMUFJXcmJrZjlDUTNIZHl0MHRqSldPNDJvSkFjZFpsWUc3RHlBV0RtLUIxWW9HaUFlaUNySUM4Ry05YlNXMWVVWG9MemZwYW5RN1o2LW9NcGJiZm1xNUJtWng3QlYxd0tCQ215YWFGcGJ3WkFtd2dESWUzenE5TA?oc=5"" target=""_blank"">Indus flood swamps 5 villages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Express Tribune</font>",
"IMD weather forecast: Light rain in Delhi, Noida; orange alert in 5 states - Business Standard",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNZ0E2N3lWOGhUU20tWEVsamRrdjJFSzJ2UjdVZHBYU2RhdGNTUzlDaGJ1ZW5WbHREeEVPYllvRU1scWh5TzAxSmlZTDNlNHF4RGFYSDM5LTRKdVlWdVRuU2xVQXJoNlFyb0tVYUFaVGVWVTU4ZkFpaWJqSVN1U0x4anhEa2FYUzNvZ29BVkJVay1HMnZhaVQ0T2NUUDRLdzZsMW5kSDkyREFocFIzOVptX3pwdy1BZExHeWJjZER5d2wtUVMwaVZDam1NVmtlbDVORGfSAdcBQVVfeXFMTmsyYjdsNEJiZ1lqSXE4OVdtUlpHcEc1M2RBQ3FseEI0MzZLdXFENWtaTWZGZFNUZmFlOGNCNXVtLWZIU0pIbHZRQng5NHRBNFdyMWpQbkRsaTZYOVRMZE9YMlJtZUp1SkZGa1JxOGk5WEtTRGJ5X0ZrcDVBNmlRRGUyYUg1Qk9OM3ByaGN3RWx2RTVfUS1aX1pOMmhsWVM4LWw5eU5nSURmbVZQd1RKVjdjZkNOV1ZxYlRDblZKVGtIWFpQNmYtcmF4SHl5djVoSHppazYyQ2s?oc=5,2024-08-08 11:08:23,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNZ0E2N3lWOGhUU20tWEVsamRrdjJFSzJ2UjdVZHBYU2RhdGNTUzlDaGJ1ZW5WbHREeEVPYllvRU1scWh5TzAxSmlZTDNlNHF4RGFYSDM5LTRKdVlWdVRuU2xVQXJoNlFyb0tVYUFaVGVWVTU4ZkFpaWJqSVN1U0x4anhEa2FYUzNvZ29BVkJVay1HMnZhaVQ0T2NUUDRLdzZsMW5kSDkyREFocFIzOVptX3pwdy1BZExHeWJjZER5d2wtUVMwaVZDam1NVmtlbDVORGfSAdcBQVVfeXFMTmsyYjdsNEJiZ1lqSXE4OVdtUlpHcEc1M2RBQ3FseEI0MzZLdXFENWtaTWZGZFNUZmFlOGNCNXVtLWZIU0pIbHZRQng5NHRBNFdyMWpQbkRsaTZYOVRMZE9YMlJtZUp1SkZGa1JxOGk5WEtTRGJ5X0ZrcDVBNmlRRGUyYUg1Qk9OM3ByaGN3RWx2RTVfUS1aX1pOMmhsWVM4LWw5eU5nSURmbVZQd1RKVjdjZkNOV1ZxYlRDblZKVGtIWFpQNmYtcmF4SHl5djVoSHppazYyQ2s?oc=5"" target=""_blank"">IMD weather forecast: Light rain in Delhi, Noida; orange alert in 5 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"More monsoon rains likely in Islamabad, Rawalpindi, Pakistan - BOL News",https://news.google.com/rss/articles/CBMiogFBVV95cUxOalBTejNUaXpiaWlBbFBMWXJWVUJWWGR6eVpudi1kNTBfcHMxV1c3ZkJQV0YxS1BHZmlWVDh5Qm5kQ25TekphUEd5d3pDV1lIZUcyNlF0SzIxQlFjdlBJOHdSQ3M5VGtTUjk3ZGxmUlo2WUV0eWhDTktWQS1qc2VEbHVSeGhjVll1MzVHSk44XzBvUFJfdnMtUjJWM21kWkQ5S0HSAacBQVVfeXFMT19mMDBoSkNoTDNXMWZuVjl4eUlKTFp1bkRXSU5ua01nOGFqLUdYcFpCbmEzTGowcnhhNzNsSGNmWmRQVkthMTF0VmZHYzlPR0l6dGZXcTgtZFBYaUlJSXRJdTUyOUJVT3JkNk1RSlQwcExwSGg2cjBDV0NldEFiNnFBTTYtcTU3VGlmY1ptbTVlSWR6a3NYOW9UcHhPM3ZKRkNSa19haVE?oc=5,2024-08-07 23:03:22,BOL News,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOalBTejNUaXpiaWlBbFBMWXJWVUJWWGR6eVpudi1kNTBfcHMxV1c3ZkJQV0YxS1BHZmlWVDh5Qm5kQ25TekphUEd5d3pDV1lIZUcyNlF0SzIxQlFjdlBJOHdSQ3M5VGtTUjk3ZGxmUlo2WUV0eWhDTktWQS1qc2VEbHVSeGhjVll1MzVHSk44XzBvUFJfdnMtUjJWM21kWkQ5S0HSAacBQVVfeXFMT19mMDBoSkNoTDNXMWZuVjl4eUlKTFp1bkRXSU5ua01nOGFqLUdYcFpCbmEzTGowcnhhNzNsSGNmWmRQVkthMTF0VmZHYzlPR0l6dGZXcTgtZFBYaUlJSXRJdTUyOUJVT3JkNk1RSlQwcExwSGg2cjBDV0NldEFiNnFBTTYtcTU3VGlmY1ptbTVlSWR6a3NYOW9UcHhPM3ZKRkNSa19haVE?oc=5"" target=""_blank"">More monsoon rains likely in Islamabad, Rawalpindi, Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BOL News</font>",
"Heavy Rainfall Expected in Balochistan on August 8, 2024 - Pkrevenue.com",https://news.google.com/rss/articles/CBMihAFBVV95cUxQdDdGbXBiVlp1UUFLeFJ0dHdHRVRTUnpDTUpEc2FmdGxWSi1zTC03YUh0Zi1TcHJJbmVjZ3RFSEhFSTVlQ041c0JTV09NQjUyVURnSHBMSUNQVnZFcTZXQ0ZDZkZnMTZ0QkJzUGU0cF9LTERVdW5vaTUySzFoYjVjaXJBSVU?oc=5,2024-08-07 17:09:27,Pkrevenue.com,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxQdDdGbXBiVlp1UUFLeFJ0dHdHRVRTUnpDTUpEc2FmdGxWSi1zTC03YUh0Zi1TcHJJbmVjZ3RFSEhFSTVlQ041c0JTV09NQjUyVURnSHBMSUNQVnZFcTZXQ0ZDZkZnMTZ0QkJzUGU0cF9LTERVdW5vaTUySzFoYjVjaXJBSVU?oc=5"" target=""_blank"">Heavy Rainfall Expected in Balochistan on August 8, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pkrevenue.com</font>",
