Title,Link,Date,Source,Summary,Place
2024 monsoon season ends with 7.6% more rain than normal: IMD - The Tribune India,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdmYwcm9DbGswc3ctYmpfcU5YRy14T1FPYVE1TjdUWGYwUWdld0FFWWlfaG44Mks2YnlFdEpYY2pucm1iVHVuTVRGajYyZEZZX19uOFBiZTRTMEhSVlhhT2FPa0RHaEpBdmVrMDdpUXVRUjhWYUFiVEpHeHBoc29DdWM3WVM2ODBfTmhKSWRkeGwtV3VBN1ltQXg3VDI5N3lsWXfSAaYBQVVfeXFMTzRfMjRmaHJWUzFFNWFUM0ZPS1hTV1hHMlpRQlgtc095QzRZNVZ4VTdsUXhrNXNfLUVRNDFFOWdVZUlPZWU4ZUFneGpsZjVYNW4xc0prNlVxekU1RWJ0cnVvTVgwUWZwUUl1eXBoQ2xUSy13SWJwRVczWnVqbXJLR1pwNy1vR0h6SDlRRzJub0RGVzRzbV9WcDVWMmZUc1BsZmpKeHFHZw?oc=5,2024-10-01 16:47:34,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNdmYwcm9DbGswc3ctYmpfcU5YRy14T1FPYVE1TjdUWGYwUWdld0FFWWlfaG44Mks2YnlFdEpYY2pucm1iVHVuTVRGajYyZEZZX19uOFBiZTRTMEhSVlhhT2FPa0RHaEpBdmVrMDdpUXVRUjhWYUFiVEpHeHBoc29DdWM3WVM2ODBfTmhKSWRkeGwtV3VBN1ltQXg3VDI5N3lsWXfSAaYBQVVfeXFMTzRfMjRmaHJWUzFFNWFUM0ZPS1hTV1hHMlpRQlgtc095QzRZNVZ4VTdsUXhrNXNfLUVRNDFFOWdVZUlPZWU4ZUFneGpsZjVYNW4xc0prNlVxekU1RWJ0cnVvTVgwUWZwUUl1eXBoQ2xUSy13SWJwRVczWnVqbXJLR1pwNy1vR0h6SDlRRzJub0RGVzRzbV9WcDVWMmZUc1BsZmpKeHFHZw?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6% more rain than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
"More low-pressure systems, no breaks drive above-normal monsoon rains in India - Deccan Herald",https://news.google.com/rss/articles/CBMivAFBVV95cUxOVmlwd1MwMTlvUTl1ckNscDlPNmVQU2ZINjRXeXNzMHdWb1NINllzU05WTDdJZy15WGlkaVNxemNkSGlRQU5KTVZaTks4TFhiNXZYNVRQM25jTXJsQUVraEdual9udmo2aEEwaHdfOHJkVkF1aUVsWVFpWG1VWDhuaE9OWC1ic2pZc1BTNnViYU16RjA5YzlDNE9kOFJrZUYteHlzb3M3YVF1UmlXdzdsbjBlZ1dDbmVBaC11Nw?oc=5,2024-10-02 03:04:01,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOVmlwd1MwMTlvUTl1ckNscDlPNmVQU2ZINjRXeXNzMHdWb1NINllzU05WTDdJZy15WGlkaVNxemNkSGlRQU5KTVZaTks4TFhiNXZYNVRQM25jTXJsQUVraEdual9udmo2aEEwaHdfOHJkVkF1aUVsWVFpWG1VWDhuaE9OWC1ic2pZc1BTNnViYU16RjA5YzlDNE9kOFJrZUYteHlzb3M3YVF1UmlXdzdsbjBlZ1dDbmVBaC11Nw?oc=5"" target=""_blank"">More low-pressure systems, no breaks drive above-normal monsoon rains in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",
IMD reports 7.6% more rainfall during this year's monsoon - The Times of India,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYUtJTFJvalFQaUVnbmV1al9zQWwwVGpMdFFBZVBSVndzX1NqOGVaYWlVNDlmRC1yNW5UNHJPallUNmxnUWpWSHRRdEF0SFRFZUtZXzNWOFBIc2x4OHI2enl1d2VsSU1xTGhvbkNkd1VvTWRLZTZ6MDRwN2tBSmNCUmJFa1IwT2F4dGprMUs4X2F4UnYwaG9oeVVDekMzVHgyemhmS2hIOVBDYjhudGNNYmpDdVVISEJrRmR1TkpEQmrSAcYBQVVfeXFMTl9SOFE3cmhkUnhpeWVicEFuQldPYWt2cXVkdGctSGJRRGdJZVVBU1FwOHpwcTFUZnB6b3NNUGd6SVQ2Y3NnSzlYMy01TldEY3p2bGQ5T2ptNFdYSlNWdkc3cDNBWWxXaXR5eXEzZWhQMnhld21fS3lGMFNOdFZQQWhsTHNOVnFiSUpfVG1YNUROeHI0RjMwR0g4R1ZPUi1zblNtLWdZRmVueXFPLVhBMWFoMWZyS0NFeWNHcGVEaUJpa2JBcW5n?oc=5,2024-10-01 18:01:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYUtJTFJvalFQaUVnbmV1al9zQWwwVGpMdFFBZVBSVndzX1NqOGVaYWlVNDlmRC1yNW5UNHJPallUNmxnUWpWSHRRdEF0SFRFZUtZXzNWOFBIc2x4OHI2enl1d2VsSU1xTGhvbkNkd1VvTWRLZTZ6MDRwN2tBSmNCUmJFa1IwT2F4dGprMUs4X2F4UnYwaG9oeVVDekMzVHgyemhmS2hIOVBDYjhudGNNYmpDdVVISEJrRmR1TkpEQmrSAcYBQVVfeXFMTl9SOFE3cmhkUnhpeWVicEFuQldPYWt2cXVkdGctSGJRRGdJZVVBU1FwOHpwcTFUZnB6b3NNUGd6SVQ2Y3NnSzlYMy01TldEY3p2bGQ5T2ptNFdYSlNWdkc3cDNBWWxXaXR5eXEzZWhQMnhld21fS3lGMFNOdFZQQWhsTHNOVnFiSUpfVG1YNUROeHI0RjMwR0g4R1ZPUi1zblNtLWdZRmVueXFPLVhBMWFoMWZyS0NFeWNHcGVEaUJpa2JBcW5n?oc=5"" target=""_blank"">IMD reports 7.6% more rainfall during this year's monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
2024 monsoon season ends with 7.6% more rainfall than normal: IMD - The Indian Express,https://news.google.com/rss/articles/CBMinwFBVV95cUxOcGZweUVVbGhOVzRhUTdtVWdfY2ZsVEJ0Y0RUNUdkTHUwQnFLT05BOGxkbjk3S3c1UThWY25XNGVTRWxjZG9lTUxjTGlVb2hXb0xYa2lkUnR5REdGZlRqb015RXZ3aWl6dThGZUJ6YXpnU0RVSjYyZ3lQdFlQd2JxUDRRQ2o4NThSQjFCLVM4REF1RUVzVHdsYzZLVGF4b2_SAaYBQVVfeXFMT2FzM3JwTW1Wdk1KUnVOVUVWYnlIWXoxNTJVZlk2VEw1Nl9kX2lmNGFnVF9Bam12aG1uQ0ZPOG1zVXlxbE1nX2xfM2IzVHVWNnI5ZklNR1NxTmNhX2VERExOSEVLdEFqOGtwZlFLT3I0VV9IVkQta0hLcmlsbDdINl9sd3hXX0F1NnpZRTdHMHgxa3VRd3RCZW9iaEMzZUh0WVhrNVptZw?oc=5,2024-10-01 17:02:44,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOcGZweUVVbGhOVzRhUTdtVWdfY2ZsVEJ0Y0RUNUdkTHUwQnFLT05BOGxkbjk3S3c1UThWY25XNGVTRWxjZG9lTUxjTGlVb2hXb0xYa2lkUnR5REdGZlRqb015RXZ3aWl6dThGZUJ6YXpnU0RVSjYyZ3lQdFlQd2JxUDRRQ2o4NThSQjFCLVM4REF1RUVzVHdsYzZLVGF4b2_SAaYBQVVfeXFMT2FzM3JwTW1Wdk1KUnVOVUVWYnlIWXoxNTJVZlk2VEw1Nl9kX2lmNGFnVF9Bam12aG1uQ0ZPOG1zVXlxbE1nX2xfM2IzVHVWNnI5ZklNR1NxTmNhX2VERExOSEVLdEFqOGtwZlFLT3I0VV9IVkQta0hLcmlsbDdINl9sd3hXX0F1NnpZRTdHMHgxa3VRd3RCZW9iaEMzZUh0WVhrNVptZw?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6% more rainfall than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
2024 monsoon season ends with 7.6% more rainfall than normal: IMD - Moneycontrol,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPOE8xX3o5TUtmUlM2RXhQUjNPNS1seDFoOU83NlBBZExsZmd4dnhJZ2h0WEdZSk5YTzlFa1F2SlVpZ1VfR2JmemFsLTI4VU1nb1pYOVFhT18zVlI0T2JyVjhYa0NHLV81N0JtWjZIdlBGU3hQeHFrNU1iMDAxWFVMVmFTRUUxSzhRd3dfZTNDdmdLN241YTVvN0ZOS1NKWUZLamJ5cTZxZ3lZNktuMXIzbmdld0FFR3oy0gG-AUFVX3lxTE1oVy1BaERodVNCX09MU1htQlAyVEFTMWY0eHJaaFduTEVQc25iVzREY203SnM3emN2TzRCUm1kemp2LTV5elVxaTh3eUxnUkZleXVBZXpwQWZETzQ0eVhOSnZQOHJkeTRZeWVqcmhQMm04TkIzZ3I0WlFjNXVCSTZsQ0JDZ3p3azA4VU1OTkJyN2h3WjhBN3RobC11OFRQNE1OM0Jpb3h3UGc1UTN3dkJVMVV6R0h2Mm0tRlpRc1E?oc=5,2024-10-01 16:58:12,Moneycontrol,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPOE8xX3o5TUtmUlM2RXhQUjNPNS1seDFoOU83NlBBZExsZmd4dnhJZ2h0WEdZSk5YTzlFa1F2SlVpZ1VfR2JmemFsLTI4VU1nb1pYOVFhT18zVlI0T2JyVjhYa0NHLV81N0JtWjZIdlBGU3hQeHFrNU1iMDAxWFVMVmFTRUUxSzhRd3dfZTNDdmdLN241YTVvN0ZOS1NKWUZLamJ5cTZxZ3lZNktuMXIzbmdld0FFR3oy0gG-AUFVX3lxTE1oVy1BaERodVNCX09MU1htQlAyVEFTMWY0eHJaaFduTEVQc25iVzREY203SnM3emN2TzRCUm1kemp2LTV5elVxaTh3eUxnUkZleXVBZXpwQWZETzQ0eVhOSnZQOHJkeTRZeWVqcmhQMm04TkIzZ3I0WlFjNXVCSTZsQ0JDZ3p3azA4VU1OTkJyN2h3WjhBN3RobC11OFRQNE1OM0Jpb3h3UGc1UTN3dkJVMVV6R0h2Mm0tRlpRc1E?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6% more rainfall than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>",
2024 monsoon season ends with 7.6 per cent more rainfall than normal: IMD - India TV News,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNLUFSWmRuUlBBZmdaLVZGakJRUGlPSmFpMV83TVk5Q0lHZHRWSkxQZUlHLS10WWlPMFdZUVZZTHF5MXBQWWVCUDFaTHZsMmdicXpiX3ZwZ1hhTnlqLVI0OHcyWDRmWE16YkJCd21BcTF5Qmt5TXZsd3VQYmVlaE5UMFJuSmtjekttRmcxVV9kNXR3NWcwNndjMGc0Njk1b3NWYldESk1jam1oclV1MW1lQVp4OUlYWVV3TmY3QXp1TTlqQmtLYkVQT0FlVFRGcV9KYzJjVnBJUVlGMHEz0gHiAUFVX3lxTE96RWcyWEtXMV9Ec0dTX1B3bXNsVm5yZm9pX1VnSXZISTdrbk9jMGVCNGtfNUFCeFpzLWoteTM1djItUlc0Z0VXT2VxTmR0VFU5bUsyQUE0RlJDdC1QQ1RzVnd4MFUwUTd0UkhIQW1kV1V5VFNqRHVlTnNFaTV4bDZWVDk3RHJpZ21lWkdNVjE5WTJqYVA5dDBBU0tmOTZ5YXYyM2tHTHktMzlQZ01qeU5xVEprZm1WNUFxTjd1SVhrNndwbVJaY2dnYmFJR3FKdTVVd29CeV9GeTBMWWlKeHJER1E?oc=5,2024-10-01 16:30:42,India TV News,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNLUFSWmRuUlBBZmdaLVZGakJRUGlPSmFpMV83TVk5Q0lHZHRWSkxQZUlHLS10WWlPMFdZUVZZTHF5MXBQWWVCUDFaTHZsMmdicXpiX3ZwZ1hhTnlqLVI0OHcyWDRmWE16YkJCd21BcTF5Qmt5TXZsd3VQYmVlaE5UMFJuSmtjekttRmcxVV9kNXR3NWcwNndjMGc0Njk1b3NWYldESk1jam1oclV1MW1lQVp4OUlYWVV3TmY3QXp1TTlqQmtLYkVQT0FlVFRGcV9KYzJjVnBJUVlGMHEz0gHiAUFVX3lxTE96RWcyWEtXMV9Ec0dTX1B3bXNsVm5yZm9pX1VnSXZISTdrbk9jMGVCNGtfNUFCeFpzLWoteTM1djItUlc0Z0VXT2VxTmR0VFU5bUsyQUE0RlJDdC1QQ1RzVnd4MFUwUTd0UkhIQW1kV1V5VFNqRHVlTnNFaTV4bDZWVDk3RHJpZ21lWkdNVjE5WTJqYVA5dDBBU0tmOTZ5YXYyM2tHTHktMzlQZ01qeU5xVEprZm1WNUFxTjd1SVhrNndwbVJaY2dnYmFJR3FKdTVVd29CeV9GeTBMWWlKeHJER1E?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6 per cent more rainfall than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",
2024 monsoon season ends with 7.6% more rainfall than normal: IMD - Press Trust of India,https://news.google.com/rss/articles/CBMirwFBVV95cUxNNU9wSG1yRE5zT3ZCMElYdU15TzZGZzZzaTNXb2Rnb1llUnk0NXctdXpfVGZ1ZHdnWDRrV1NfcWphWkdRUXpvd3cwdXhOVWlRTWtnV3NmYWN5S1lkREVtS2FrdGNjNERrT0VIMHVqUGNBWlVxOU9OYU9YcXlaYzhhNzVzd3NqNUlVNlBKNnlCZWdRTG13VkxtTTF6MkoyMmswYWZXMlZ5eUR0YjhVSVFV?oc=5,2024-10-01 17:59:26,Press Trust of India,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNNU9wSG1yRE5zT3ZCMElYdU15TzZGZzZzaTNXb2Rnb1llUnk0NXctdXpfVGZ1ZHdnWDRrV1NfcWphWkdRUXpvd3cwdXhOVWlRTWtnV3NmYWN5S1lkREVtS2FrdGNjNERrT0VIMHVqUGNBWlVxOU9OYU9YcXlaYzhhNzVzd3NqNUlVNlBKNnlCZWdRTG13VkxtTTF6MkoyMmswYWZXMlZ5eUR0YjhVSVFV?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6% more rainfall than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Press Trust of India</font>",
Monsoon Season 2024 Ends With 7.6% More Rainfall Than Normal: IMD - News18,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNS0tSSk1xVXh0NEVNWXRjYUdkY1BwSGRyVUVUbjBfZkc2S3JYb0pqcHFUNTh3VEZ1RThDcjRzMWgyQmI5aGFkdXFxYXo1RTFCQWNxLUUwVnhjektKRjNkaTNMVXBfWWJEOXgwQmtKcE1ocTkxUWtiSG1sOVlhRGxUejBEdFgwMFhEaElIcFh0di1xRjNHclMxLTh4cGNKNk1tYVFGdGI2NHDSAa4BQVVfeXFMT1NIMnlhZzFqZS1tQ09zeXl1TmtZMFoxeHJqWlhVMHB0OU0xbGVYeWRvWkI0ZlZid2N6YlItLU90cml6R3VFeERfSkNqZXlBWk5zMFVnOUMxNGFjX0FETlMxM2ZKN0dWSENnWGNJRXVkUXBCZzZ2NGdwZnVHbEZfVWNwdnBvVGplMmJCblV2ZXU4QmhVSWR0R256YjZoM0xiUVBCamZ4ZjEwQ3RRNWhB?oc=5,2024-10-01 17:02:35,News18,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNS0tSSk1xVXh0NEVNWXRjYUdkY1BwSGRyVUVUbjBfZkc2S3JYb0pqcHFUNTh3VEZ1RThDcjRzMWgyQmI5aGFkdXFxYXo1RTFCQWNxLUUwVnhjektKRjNkaTNMVXBfWWJEOXgwQmtKcE1ocTkxUWtiSG1sOVlhRGxUejBEdFgwMFhEaElIcFh0di1xRjNHclMxLTh4cGNKNk1tYVFGdGI2NHDSAa4BQVVfeXFMT1NIMnlhZzFqZS1tQ09zeXl1TmtZMFoxeHJqWlhVMHB0OU0xbGVYeWRvWkI0ZlZid2N6YlItLU90cml6R3VFeERfSkNqZXlBWk5zMFVnOUMxNGFjX0FETlMxM2ZKN0dWSENnWGNJRXVkUXBCZzZ2NGdwZnVHbEZfVWNwdnBvVGplMmJCblV2ZXU4QmhVSWR0R256YjZoM0xiUVBCamZ4ZjEwQ3RRNWhB?oc=5"" target=""_blank"">Monsoon Season 2024 Ends With 7.6% More Rainfall Than Normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",
"India Records 7.6% Above Normal Rainfall As Monsoon Season Ends, Says IMD - NDTV Profit",https://news.google.com/rss/articles/CBMipwFBVV95cUxNOXg1U1RkMmExSkkyVVJJWmlfeTdpVXJjYUF0dllpQldqMHgwZFJCamN2SXF6cmVnZVBjek1iU1ZDQUpMVDA1dk1wUE1zVDg2STFUdjBod1ZpYTQzTjdrcGhQeTk0d2hvRXVFQ0gzUnl6YUNsVWVCZ1BtNURtM0ctUi1BUkRQeWEzaXlzM2dsWEU0YmxINUlwY25lN2Z3bkF1VDRKSjluSdIBrAFBVV95cUxQUDR5ejRJOVY0QTRaaGVGLTR0M0pBUVNTN2EtenUyUjdfYlcxUTlXUHdYaWpkaXM2bDdWZ0FvOS04ZHBmUEJoNGtzUGJ5ZW1ubVZyQjRxU2p6bGZVeXhjTVZmVlBuR0RaNjl2S1BCcnJCeElXdDBUdDRrM2h4YnlnbWU3Nm9fcmdxa0o5NkxUVGRGbjJiMXVIbldBamhsZW1ENFJfaVkwZFpMdm94?oc=5,2024-10-01 19:30:29,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNOXg1U1RkMmExSkkyVVJJWmlfeTdpVXJjYUF0dllpQldqMHgwZFJCamN2SXF6cmVnZVBjek1iU1ZDQUpMVDA1dk1wUE1zVDg2STFUdjBod1ZpYTQzTjdrcGhQeTk0d2hvRXVFQ0gzUnl6YUNsVWVCZ1BtNURtM0ctUi1BUkRQeWEzaXlzM2dsWEU0YmxINUlwY25lN2Z3bkF1VDRKSjluSdIBrAFBVV95cUxQUDR5ejRJOVY0QTRaaGVGLTR0M0pBUVNTN2EtenUyUjdfYlcxUTlXUHdYaWpkaXM2bDdWZ0FvOS04ZHBmUEJoNGtzUGJ5ZW1ubVZyQjRxU2p6bGZVeXhjTVZmVlBuR0RaNjl2S1BCcnJCeElXdDBUdDRrM2h4YnlnbWU3Nm9fcmdxa0o5NkxUVGRGbjJiMXVIbldBamhsZW1ENFJfaVkwZFpMdm94?oc=5"" target=""_blank"">India Records 7.6% Above Normal Rainfall As Monsoon Season Ends, Says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",
October Weather Outlook: IMD Anticipates Excess Rainfall and Rising Temperatures - PUNE.NEWS,https://news.google.com/rss/articles/CBMisgFBVV95cUxPbHZrMG5oMngteW8yeXJlaDI0ZFdNeXBfZjBlUm15MkJKRG1TNXJ3ZWJyY0VmMjhfVWtVWWl0c1ZkYTlBZ3NEYUtYLTJ4WUtxUUVXdTZmUFZFZEl0ekxHRkdtUmFkUi02bThZamFXNXRraFdkS2ZBZnZrMW1ya1YzTENpeERWWVg4NjhaU1NUZnN2NkJSMS1mM2dEM2x1SlBrOThkRlhySmxaTVg2NXM3T0N3?oc=5,2024-10-01 18:31:30,PUNE.NEWS,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPbHZrMG5oMngteW8yeXJlaDI0ZFdNeXBfZjBlUm15MkJKRG1TNXJ3ZWJyY0VmMjhfVWtVWWl0c1ZkYTlBZ3NEYUtYLTJ4WUtxUUVXdTZmUFZFZEl0ekxHRkdtUmFkUi02bThZamFXNXRraFdkS2ZBZnZrMW1ya1YzTENpeERWWVg4NjhaU1NUZnN2NkJSMS1mM2dEM2x1SlBrOThkRlhySmxaTVg2NXM3T0N3?oc=5"" target=""_blank"">October Weather Outlook: IMD Anticipates Excess Rainfall and Rising Temperatures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE.NEWS</font>",
