Title,Link,Date,Source,Summary,Term,LanguageQueried
"मई में मानसून जैसी बरसात! दिल्ली-NCR में आज सुबह आंधी-बारिश का डबल अटैक, हरियाणा से बिहार तक बरसे बादल; IMD का - Times Now Navbharat",https://news.google.com/rss/articles/CBMihwJBVV95cUxQVG9oN2xiWTE0cUhXVmpSLXVpUmItb1d4cFUxTjBkblJXSVlhcnJYRkNvcUpSVnRwQ2ZLR21Sc3pfY3drNnZaT1lvRTM2QnRWU3phWHY0LWZXZ09pNEpKZ2R5VFZUMEJXeFdid0ZIUU5wNmJHRXNaYWdnWktNcXAxTVhwR0c5cHBVS2NYMjNfLUNYNl8xQ2VmR1BWbk1GMDZkb2NQc0NjeTljQlpVR3pqV3dpS2g3MVNPeFdpeHBLaXFpRUN3OHB1OEFKanRZaHE1RGwxRDVCWGJMQ2IwN1A0aEJ2T0owLTN5bTNpOVBVaEduLXJ1UHpsUlFoX01sYUpFSkRXSHhDVdIBjAJBVV95cUxQUlN4ZjN4U1k0TGNFckhUMDdUcVNIdUFMSkliQnlUWGhFQ0Jjb3p0SHh2bDE4R211dENTNldTekE2T0cwRmgtRjZ4WUdGSmVoV2RRc2twbmUyYmFYOU1peEMydXNnLXE3S3RZMnFlaFdyRl9KQlcxQTl0QW10UjNyN1RSaUJpSU9oSlN5dUwxWDFIVnZJWDc4MzBKaGQwT2ZUZTVuelpoZE1qR3BjOWVTMlhoYTdwZEJGVlVfa21NNGViYWxfd0F0S0xNaXN4clNCRlpDZWFwdktiblhQMS1IdDhYc0RUMnl5X09wdmlhUjhmNjlTR25WN2JTQ1pKVlBQaVBZaHVRbHdkazhH?oc=5,2025-05-02 07:58:03,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxQVG9oN2xiWTE0cUhXVmpSLXVpUmItb1d4cFUxTjBkblJXSVlhcnJYRkNvcUpSVnRwQ2ZLR21Sc3pfY3drNnZaT1lvRTM2QnRWU3phWHY0LWZXZ09pNEpKZ2R5VFZUMEJXeFdid0ZIUU5wNmJHRXNaYWdnWktNcXAxTVhwR0c5cHBVS2NYMjNfLUNYNl8xQ2VmR1BWbk1GMDZkb2NQc0NjeTljQlpVR3pqV3dpS2g3MVNPeFdpeHBLaXFpRUN3OHB1OEFKanRZaHE1RGwxRDVCWGJMQ2IwN1A0aEJ2T0owLTN5bTNpOVBVaEduLXJ1UHpsUlFoX01sYUpFSkRXSHhDVdIBjAJBVV95cUxQUlN4ZjN4U1k0TGNFckhUMDdUcVNIdUFMSkliQnlUWGhFQ0Jjb3p0SHh2bDE4R211dENTNldTekE2T0cwRmgtRjZ4WUdGSmVoV2RRc2twbmUyYmFYOU1peEMydXNnLXE3S3RZMnFlaFdyRl9KQlcxQTl0QW10UjNyN1RSaUJpSU9oSlN5dUwxWDFIVnZJWDc4MzBKaGQwT2ZUZTVuelpoZE1qR3BjOWVTMlhoYTdwZEJGVlVfa21NNGViYWxfd0F0S0xNaXN4clNCRlpDZWFwdktiblhQMS1IdDhYc0RUMnl5X09wdmlhUjhmNjlTR25WN2JTQ1pKVlBQaVBZaHVRbHdkazhH?oc=5"" target=""_blank"">मई में मानसून जैसी बरसात! दिल्ली-NCR में आज सुबह आंधी-बारिश का डबल अटैक, हरियाणा से बिहार तक बरसे बादल; IMD का</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Heatwave,hi
Here are 5 health issues caused during extreme heat conditions. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0NtZ0h4TlJyLVZCU2JVdGpSQUhYb3VYcmZRaU5Eazl0dHByQzNLTTdKUUVlZzdtRzc4T1BQZnpULWRsOXQ3d0IzSXlHX2ZkQXlfWDU1QjQ0U3hjQUp3VmxtRU9EYzJONlRWOHlJMy0wdnIyaElCa01OODFwNDFnazNOTnRFX3pzazcyX001VWdVR3FWQlFuRTM0ZVdpbTJjbG1QMmtpMTEtZ2pi?oc=5,2025-05-02 01:34:30,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0NtZ0h4TlJyLVZCU2JVdGpSQUhYb3VYcmZRaU5Eazl0dHByQzNLTTdKUUVlZzdtRzc4T1BQZnpULWRsOXQ3d0IzSXlHX2ZkQXlfWDU1QjQ0U3hjQUp3VmxtRU9EYzJONlRWOHlJMy0wdnIyaElCa01OODFwNDFnazNOTnRFX3pzazcyX001VWdVR3FWQlFuRTM0ZVdpbTJjbG1QMmtpMTEtZ2pi?oc=5"" target=""_blank"">Here are 5 health issues caused during extreme heat conditions.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
"Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR - Siasat.com",https://news.google.com/rss/articles/CBMipAFBVV95cUxQY2dSUEVVNXU3RkdWRFYwcE1yS1lUM1dubmc1c2NKT29xaVpQckxuOW1XYzlFX0xGdV9CNlNhN0lRbFZXMF9MOWRGdWFESGNXOXgzelQ4MVhmeXB5Z1ljYkJtYThpSXJybTFkbURBMzZUbFBCaVZ3bjRtdl9ZVnI5Q2VzVnJXaU5odHdMSjVHd056eGZTOUlaT09hQlZnamlzUzJDdtIBqgFBVV95cUxNM0hKR2VFalpuRGxYakdWOE5la1RkMXQ3cE0tX1UzaS1lMmxFaHNMcXlHX3BGMmwwbFppTlRQczJIOTdTamlqZ3ZrbjcxMnB6ZzM1N2RWYTVzNDFIbWx1YTNUSDBIc2ZSb2ZMOTBvRHZMVmdaTHBubEI2UEw2QWdwQnNBaklNUDd2YWhzVXBjaHk0RG93djE5Z0RkdnlyS3VQcUhQR1JDQzFoZw?oc=5,2025-05-02 08:20:00,Siasat.com,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQY2dSUEVVNXU3RkdWRFYwcE1yS1lUM1dubmc1c2NKT29xaVpQckxuOW1XYzlFX0xGdV9CNlNhN0lRbFZXMF9MOWRGdWFESGNXOXgzelQ4MVhmeXB5Z1ljYkJtYThpSXJybTFkbURBMzZUbFBCaVZ3bjRtdl9ZVnI5Q2VzVnJXaU5odHdMSjVHd056eGZTOUlaT09hQlZnamlzUzJDdtIBqgFBVV95cUxNM0hKR2VFalpuRGxYakdWOE5la1RkMXQ3cE0tX1UzaS1lMmxFaHNMcXlHX3BGMmwwbFppTlRQczJIOTdTamlqZ3ZrbjcxMnB6ZzM1N2RWYTVzNDFIbWx1YTNUSDBIc2ZSb2ZMOTBvRHZMVmdaTHBubEI2UEw2QWdwQnNBaklNUDd2YWhzVXBjaHk0RG93djE5Z0RkdnlyS3VQcUhQR1JDQzFoZw?oc=5"" target=""_blank"">Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Siasat.com</font>",Heatwave,en
"IMD warns blistering heatwave in Punjab, Haryana, Rajasthan, Madhya Pradesh, cloudy skies in Delhi-NCR - MSN",https://news.google.com/rss/articles/CBMigwNBVV95cUxOdHF2VVVzcHhJQXNCWFRyTDRmRmV3UzMxYm5mdFZRM3FfR0taRVg2LUtvSVJsVDdMRHBodjM2YXVWeWw4bEpzOS0xalNqeE9OblI5Z0tsU2k1SW5SRmNWWEhqWjJuSHBqcklUb1llLUFKdjAya1pSWUIzWkZQbm9fdXdYUlVhbzZUdzBjcHo3SE95RmdCem13T0w2d3BHOXc2eHJ4WnlDeWhHclBCem55WHpjZkpMMmpBOGpibjNVSjIwdGZoQktvY2RqZlZYVXd3dzJneGNsRVhGY3pHYlo0Rm4wRTZieU0ybHV3S2xwRkg4VGZxbGhEam84YlM2RlZLN2dPcW9lWjNKVWplUTh5UHp0MThlQ2YyamJIV0xxWE84ekdaNnZnWTlaVjEzZW81YkR5TFdsNU1xTVRoem80a2VLWElHeWhRcVo0SUdQcTRwT1ZQZEFtZjJmNUNoWDN6cFZETVgzYk4zd3phN05wMXBXWkVmdUlqUmZ4enVFc0xjV0k?oc=5,2025-05-01 18:18:05,MSN,"<a href=""https://news.google.com/rss/articles/CBMigwNBVV95cUxOdHF2VVVzcHhJQXNCWFRyTDRmRmV3UzMxYm5mdFZRM3FfR0taRVg2LUtvSVJsVDdMRHBodjM2YXVWeWw4bEpzOS0xalNqeE9OblI5Z0tsU2k1SW5SRmNWWEhqWjJuSHBqcklUb1llLUFKdjAya1pSWUIzWkZQbm9fdXdYUlVhbzZUdzBjcHo3SE95RmdCem13T0w2d3BHOXc2eHJ4WnlDeWhHclBCem55WHpjZkpMMmpBOGpibjNVSjIwdGZoQktvY2RqZlZYVXd3dzJneGNsRVhGY3pHYlo0Rm4wRTZieU0ybHV3S2xwRkg4VGZxbGhEam84YlM2RlZLN2dPcW9lWjNKVWplUTh5UHp0MThlQ2YyamJIV0xxWE84ekdaNnZnWTlaVjEzZW81YkR5TFdsNU1xTVRoem80a2VLWElHeWhRcVo0SUdQcTRwT1ZQZEFtZjJmNUNoWDN6cFZETVgzYk4zd3phN05wMXBXWkVmdUlqUmZ4enVFc0xjV0k?oc=5"" target=""_blank"">IMD warns blistering heatwave in Punjab, Haryana, Rajasthan, Madhya Pradesh, cloudy skies in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Above-Normal Heatwave Expected? India Braces for Extreme Weather in May - outlookbusiness.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxQMFBpVC16QV85OWRRQ1d3NUtfRElhck9HTmxpYklUZzR0dWxTS1Q2OTdobE5ORFdKOXEyOUZFWEM4WnFRNlhaM19fZFVHUXg5cVphRlBqWHR0U0N6YW5lY0hqS2tsSTJoQVJzRHZra2tyQUQ0OE5xQ1ZrTzllRkxKb3lmYjFWb3dUOXNHWTFlbk1FNERiR0t5Rm40RFE2TEZhcUxyMXZMcXo2SlBwWmc0RVJ6dFPSAcIBQVVfeXFMUF9BX1pWRzloUlpZMERoeXQxX1pUYlJRZFJjelhGMGRvc0lual9zUUlxODNJUjBocjBWNHBjWVJzLWcxakJac2E3MlhTdkNiTUxEQ3h6MDBCdWhaNGlZejFuOUx2N1lLVkNtNG1pUGo1d3ZDWWJ4S0k3bGdLRExkRG1UVFgycHVFLVQ5cTVNNTIzS1dOUVBPLUthc2Z4ZUVpdGM0dHFJemJsaFliNm02SmxTZGZCNkZ6X0hLenVDVTlVYXc?oc=5,2025-05-01 13:09:31,outlookbusiness.com,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQMFBpVC16QV85OWRRQ1d3NUtfRElhck9HTmxpYklUZzR0dWxTS1Q2OTdobE5ORFdKOXEyOUZFWEM4WnFRNlhaM19fZFVHUXg5cVphRlBqWHR0U0N6YW5lY0hqS2tsSTJoQVJzRHZra2tyQUQ0OE5xQ1ZrTzllRkxKb3lmYjFWb3dUOXNHWTFlbk1FNERiR0t5Rm40RFE2TEZhcUxyMXZMcXo2SlBwWmc0RVJ6dFPSAcIBQVVfeXFMUF9BX1pWRzloUlpZMERoeXQxX1pUYlJRZFJjelhGMGRvc0lual9zUUlxODNJUjBocjBWNHBjWVJzLWcxakJac2E3MlhTdkNiTUxEQ3h6MDBCdWhaNGlZejFuOUx2N1lLVkNtNG1pUGo1d3ZDWWJ4S0k3bGdLRExkRG1UVFgycHVFLVQ5cTVNNTIzS1dOUVBPLUthc2Z4ZUVpdGM0dHFJemJsaFliNm02SmxTZGZCNkZ6X0hLenVDVTlVYXc?oc=5"" target=""_blank"">Above-Normal Heatwave Expected? India Braces for Extreme Weather in May</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outlookbusiness.com</font>",Heatwave,en
Rain could slam the brakes on heatwave spell in Gurgaon this weekend - Times of India,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQWVRCRWVwd242YkJFX1pYcER3ZHJxN3Y1Zll1cEtCczVzXzRHNGQ0dnZ4dFM0NXE4allHOUN0RUxvU3V1RWdUR2FZLWhuWGFmQi0ySHFERFQ0c0NGZE5OandUVEVXRVl4U1FxS3N0Wkp6MjBaTk53WUd4YkpfaVRBdzJQWWdZcWhtaG1mNDlxQ2FMOWIxM1A0Z2NxcTBTV2hYMTdfRU02VXBaT25BRjExOGstYVp0SXpFV1o0TzJCYmd4TGFIRXlxVk5xaG5xUWh4QUZMTG1naTJqZHPSAeABQVVfeXFMUHlYNFl3OHIxSGU3TUtmb1luU1VLbU1fYjJCTWtGT0ZHRXJzMnFjQWRyMFZqX2txMXM1RXMyYUZ4TEdERVcyOUtQVElmVGxuVkNqUWhSaG4xMkNyWXowejY1SkxoVW54WTZhM2szbzJ2cnpXRU1IODBmOEtkWVhxUVJMN2YybUx6cEtCa3hSX3loaUJJaWFqZ0U1Vjg1Y3lTMXZLSnZEU21FN1NVcmZxdTZGczJJT0Rpb2FZNERMRDRaR000bmdUNFRIbGdWeWg1SEFlYkwwY1BWVDBYdjFFdVQ?oc=5,2025-05-02 00:13:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQWVRCRWVwd242YkJFX1pYcER3ZHJxN3Y1Zll1cEtCczVzXzRHNGQ0dnZ4dFM0NXE4allHOUN0RUxvU3V1RWdUR2FZLWhuWGFmQi0ySHFERFQ0c0NGZE5OandUVEVXRVl4U1FxS3N0Wkp6MjBaTk53WUd4YkpfaVRBdzJQWWdZcWhtaG1mNDlxQ2FMOWIxM1A0Z2NxcTBTV2hYMTdfRU02VXBaT25BRjExOGstYVp0SXpFV1o0TzJCYmd4TGFIRXlxVk5xaG5xUWh4QUZMTG1naTJqZHPSAeABQVVfeXFMUHlYNFl3OHIxSGU3TUtmb1luU1VLbU1fYjJCTWtGT0ZHRXJzMnFjQWRyMFZqX2txMXM1RXMyYUZ4TEdERVcyOUtQVElmVGxuVkNqUWhSaG4xMkNyWXowejY1SkxoVW54WTZhM2szbzJ2cnpXRU1IODBmOEtkWVhxUVJMN2YybUx6cEtCa3hSX3loaUJJaWFqZ0U1Vjg1Y3lTMXZLSnZEU21FN1NVcmZxdTZGczJJT0Rpb2FZNERMRDRaR000bmdUNFRIbGdWeWg1SEFlYkwwY1BWVDBYdjFFdVQ?oc=5"" target=""_blank"">Rain could slam the brakes on heatwave spell in Gurgaon this weekend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2 - Down To Earth,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5,2025-05-01 10:19:36,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5"" target=""_blank"">Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
"A Hotter-Than-Usual May Likely, Double Heatwave Days, Warns IMD - ETV Bharat",https://news.google.com/rss/articles/CBMiswFBVV95cUxOUzZKUDl4d0VLZEczX0hoUExQQ2xkUDVSeWlTN2xxTzJfaFVHcUFxLWNrTTh4UHczaDhLbExkb01ua3hyMk1TelFkU1NIM3JDZXFEdzVhTXlzNFJkNm1lX2M4blltNTBkaV9BVGFTZkt2MVJTOXkzU3hfMnEycEo0ZFlabk9fYU1tWnFYcjNhZ1RqQzctUDVFSVpsSldldmxOcVBJQzl1bVd5MFV0UkJyX1RGd9IBuAFBVV95cUxPMnJwMkFKVXA2RmlaQTlvV01VeU9LU0hMOV8xOU5aaVVVMDY3ZkJjdXE0WnNDQVkxVGh4NTB6QjBlQ3BtMkgxY2NBUGlfV1QydUVnOG1vVzA3RTdId1FRX1AtMW5BUGp2U3JWc0l0ektWdlRUMThSVzFiNkhsc2xPZkZEZHZkbE5RZFlINGwzZTFJRWV1ZmJkYV9CbHUwY05EelV0TjV4V3IzYnE4Nm1Ga1hUR09OMjF1?oc=5,2025-05-01 13:47:56,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOUzZKUDl4d0VLZEczX0hoUExQQ2xkUDVSeWlTN2xxTzJfaFVHcUFxLWNrTTh4UHczaDhLbExkb01ua3hyMk1TelFkU1NIM3JDZXFEdzVhTXlzNFJkNm1lX2M4blltNTBkaV9BVGFTZkt2MVJTOXkzU3hfMnEycEo0ZFlabk9fYU1tWnFYcjNhZ1RqQzctUDVFSVpsSldldmxOcVBJQzl1bVd5MFV0UkJyX1RGd9IBuAFBVV95cUxPMnJwMkFKVXA2RmlaQTlvV01VeU9LU0hMOV8xOU5aaVVVMDY3ZkJjdXE0WnNDQVkxVGh4NTB6QjBlQ3BtMkgxY2NBUGlfV1QydUVnOG1vVzA3RTdId1FRX1AtMW5BUGp2U3JWc0l0ektWdlRUMThSVzFiNkhsc2xPZkZEZHZkbE5RZFlINGwzZTFJRWV1ZmJkYV9CbHUwY05EelV0TjV4V3IzYnE4Nm1Ga1hUR09OMjF1?oc=5"" target=""_blank"">A Hotter-Than-Usual May Likely, Double Heatwave Days, Warns IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"Heavy rains and thunderstorms lash Delhi-NCR, offer respite from heatwave - Daijiworld",https://news.google.com/rss/articles/CBMiakFVX3lxTFBMUlcwMjhaMmxndDNoUDR5bmJidHdWTmp5UFZJbkt0dFYxcW9kNTA3TVRCVzhfQW1MbFZaeHNxQkU5Q3FUUm5aWDFxbFMzdTJOaS16VGI1YXlvOWNCSEVod2NDNVE2MUFwR0E?oc=5,2025-05-02 08:54:58,Daijiworld,"<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTFBMUlcwMjhaMmxndDNoUDR5bmJidHdWTmp5UFZJbkt0dFYxcW9kNTA3TVRCVzhfQW1MbFZaeHNxQkU5Q3FUUm5aWDFxbFMzdTJOaS16VGI1YXlvOWNCSEVod2NDNVE2MUFwR0E?oc=5"" target=""_blank"">Heavy rains and thunderstorms lash Delhi-NCR, offer respite from heatwave</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daijiworld</font>",Heatwave,en
"Cooler days ahead for Delhi, north India as IMD predicts rain, thunderstorm, sounds yellow alert - The Indian Express",https://news.google.com/rss/articles/CBMioAFBVV95cUxPcTBjeHppbWQtMG4tTktITWlVQWduOFl4anc5X0pCVmVYY2gxQ0ZaOHpaME0wRGxFVmxDTm41a0xXdEtYQS02bXdsU2sxUjVBVXhMWVNxYTlMeUd0c1I2dGYwV3ZJS3ZZOWpjdDlhX2h1WUNNRzdXd1NzNlI0aXJibnNUX1M5ZFkzR0FpeTJyRG9QYWVHaUc2YllPcVhDeURa0gGnAUFVX3lxTE83U2ZUZVBWVnl4RjZveVdjTTNDZ2FoMHJhVG15ZGhaQ3JxN0xUSzhQUW4xbTZPVWM1Q3cwQlZkY3ktUzlIZktQUXhLd291cGlSWG1zb2dZUkxMc2x0U1M1bHFRTEZFaGFGQ3RpQmFRVzhHTTBlbkF6cnZ3QXJ4ejVQZVNqVGpuREhLTFNWX0ZXaDNfZGNxRDJWajBkS1lJM2xiaXhEdjJ3?oc=5,2025-05-01 10:48:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPcTBjeHppbWQtMG4tTktITWlVQWduOFl4anc5X0pCVmVYY2gxQ0ZaOHpaME0wRGxFVmxDTm41a0xXdEtYQS02bXdsU2sxUjVBVXhMWVNxYTlMeUd0c1I2dGYwV3ZJS3ZZOWpjdDlhX2h1WUNNRzdXd1NzNlI0aXJibnNUX1M5ZFkzR0FpeTJyRG9QYWVHaUc2YllPcVhDeURa0gGnAUFVX3lxTE83U2ZUZVBWVnl4RjZveVdjTTNDZ2FoMHJhVG15ZGhaQ3JxN0xUSzhQUW4xbTZPVWM1Q3cwQlZkY3ktUzlIZktQUXhLd291cGlSWG1zb2dZUkxMc2x0U1M1bHFRTEZFaGFGQ3RpQmFRVzhHTTBlbkF6cnZ3QXJ4ejVQZVNqVGpuREhLTFNWX0ZXaDNfZGNxRDJWajBkS1lJM2xiaXhEdjJ3?oc=5"" target=""_blank"">Cooler days ahead for Delhi, north India as IMD predicts rain, thunderstorm, sounds yellow alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Heatwave,en
"Uttarakhand Orange Alert: Rain, Hailstorms, Strong Winds Over Next 5 Days: Heat Wave In Jammu, West Rajasthan - globalgreenews.com",https://news.google.com/rss/articles/CBMi2wFBVV95cUxQM09XRXE2M294WVEzSEMyYTF4MnQtSWdidFpRdTRROVJaMkwyMFRxMm9WSWxETVEtYXZOVm1WZDZIQUtUdDVTZzRpU2xZNlgtTnhHamlwSkZvd2M5dkxYd29LZ0t3aEU5MGNxSWlpQy1kRmYxVldsbElIS2JaWHYzcWcySENZdHRCSk9KamljZDB5dVRsU1dmTEd3ZHg1UUdKS2N5dnNKaTdkRU55ZDZpdllVenJ2UkhXTGZyc0g1OUJfdzZ5dzRUbHVJTHFvTHVSX1hiOExIZU1DOG8?oc=5,2025-05-01 11:42:36,globalgreenews.com,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQM09XRXE2M294WVEzSEMyYTF4MnQtSWdidFpRdTRROVJaMkwyMFRxMm9WSWxETVEtYXZOVm1WZDZIQUtUdDVTZzRpU2xZNlgtTnhHamlwSkZvd2M5dkxYd29LZ0t3aEU5MGNxSWlpQy1kRmYxVldsbElIS2JaWHYzcWcySENZdHRCSk9KamljZDB5dVRsU1dmTEd3ZHg1UUdKS2N5dnNKaTdkRU55ZDZpdllVenJ2UkhXTGZyc0g1OUJfdzZ5dzRUbHVJTHFvTHVSX1hiOExIZU1DOG8?oc=5"" target=""_blank"">Uttarakhand Orange Alert: Rain, Hailstorms, Strong Winds Over Next 5 Days: Heat Wave In Jammu, West Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">globalgreenews.com</font>",Heatwave,en
