Title,Link,Date,Source,Summary,Term,LanguageQueried
"हरियाणा में गर्मी का कहर: दो दिन लू का यलो अलर्ट, अधिकतम तापमान 45 डिग्री के पार, हिसार जिला रहा सबसे गर्म - ETV Bharat",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNYTE5dW9XNE9OMmVOYnVqeVlnLUtCVXFNT3d0NEZHY3Vqd29rWHIzalBQOW4xbDRXZmpoaFZncjdhNUxzN0FYcWpmUDY3QjJIRWUycWEyeE04a0N3STNneFlkQmcyQkxkTTVmRHZoYWJFb0ptTUpQM1BSVXFzY0JxZXBfVWRNbkY5VTE5NC1PSVhaRUZOMUpuTXZQVlh1T1ZhZ2NlbU5YRGlHNWpzTjFlLVJxT3E4SGlLeVhkVUgzVzFVUm5ybG9zWGFlRG5CYmRCSzh0U1Z5Z0xPNFB0QWpzMjYzUDfSAeoBQVVfeXFMTUZGMzNPemN0NFhQXzQ1bXJBVE1SV0pYcmR1dHlmb3dESEFwQ3dZeHU2S1NUYjZzX2V2RjRnOWs1S1JRcUJocGdQOExXT1JaTzlTYlI3c1ljV2lkdFZDMkZseHNYbkcwNW9IVjJ6UTFoNWgxWHdLUEhtSjhnM2gtemlZUjZpeWxpd0FyQ3Vfa3NIU0RkeFh2TS1XU3NrVEFmNUM2UDlhUXJGZzFGZ3pqVjdsRWVhRU9fSTBWclR6OHFkNDNMNGJSSkxlZ1REZDhlRWprYlAxYVYyWXJTU3NXZ0hSMi1DdXlOMDV3?oc=5,2025-05-20 08:50:03,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNYTE5dW9XNE9OMmVOYnVqeVlnLUtCVXFNT3d0NEZHY3Vqd29rWHIzalBQOW4xbDRXZmpoaFZncjdhNUxzN0FYcWpmUDY3QjJIRWUycWEyeE04a0N3STNneFlkQmcyQkxkTTVmRHZoYWJFb0ptTUpQM1BSVXFzY0JxZXBfVWRNbkY5VTE5NC1PSVhaRUZOMUpuTXZQVlh1T1ZhZ2NlbU5YRGlHNWpzTjFlLVJxT3E4SGlLeVhkVUgzVzFVUm5ybG9zWGFlRG5CYmRCSzh0U1Z5Z0xPNFB0QWpzMjYzUDfSAeoBQVVfeXFMTUZGMzNPemN0NFhQXzQ1bXJBVE1SV0pYcmR1dHlmb3dESEFwQ3dZeHU2S1NUYjZzX2V2RjRnOWs1S1JRcUJocGdQOExXT1JaTzlTYlI3c1ljV2lkdFZDMkZseHNYbkcwNW9IVjJ6UTFoNWgxWHdLUEhtSjhnM2gtemlZUjZpeWxpd0FyQ3Vfa3NIU0RkeFh2TS1XU3NrVEFmNUM2UDlhUXJGZzFGZ3pqVjdsRWVhRU9fSTBWclR6OHFkNDNMNGJSSkxlZ1REZDhlRWprYlAxYVYyWXJTU3NXZ0hSMi1DdXlOMDV3?oc=5"" target=""_blank"">हरियाणा में गर्मी का कहर: दो दिन लू का यलो अलर्ट, अधिकतम तापमान 45 डिग्री के पार, हिसार जिला रहा सबसे गर्म</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,hi
हॉट ​िस्ट्रप मिल में ऑयल लीकेज से लगी आग - Dainik Bhaskar,https://news.google.com/rss/articles/CBMiugFBVV95cUxNS05aNlRFMzJvQzA0OU1CR0JucmozWnR2NWtaSmZ3TjBFbkZrcEVhaC1lM01LUTlKRTRmT1ZvbVVTdmptQ0dZSjBOUjlTT21TbVRNTXN4VjhGZVFZUkM0M1RKcDdXOTU3VjZ4TlExVWp5VWI4SWcxdmtOS2dTYklUb2V5SF9pSEo4eVBBNXBGU0lvd1RvbWwwYzQ4OWpNeWxmRVNyd1lodUVTY2VQNE9tQjEtcC1JejFCVUHSAb8BQVVfeXFMTmMycmVsRUNXM3hlbHlkdThCNzlUaGNWeERkTFJ3bGQ5NWRLME9QY2lGSlpzWnVhUHQ4VjdPVXlKa3lINXpmRlZac2FQczF0MHBLRWhUMEtIek4yRDVPZmt2bm83X3h6OFRGNDNlNHBKazRmQUhVZXJ6QTQxbEdnSGJOSHNjZjRCalBORlFLRUhLdlA0THRhTkpNUDhfY3p4dm5heGU0QlR4RGJmVU5ZSS1oYUJIb2VOVWNFYzdMZDQ?oc=5,2025-05-20 04:20:11,Dainik Bhaskar,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNS05aNlRFMzJvQzA0OU1CR0JucmozWnR2NWtaSmZ3TjBFbkZrcEVhaC1lM01LUTlKRTRmT1ZvbVVTdmptQ0dZSjBOUjlTT21TbVRNTXN4VjhGZVFZUkM0M1RKcDdXOTU3VjZ4TlExVWp5VWI4SWcxdmtOS2dTYklUb2V5SF9pSEo4eVBBNXBGU0lvd1RvbWwwYzQ4OWpNeWxmRVNyd1lodUVTY2VQNE9tQjEtcC1JejFCVUHSAb8BQVVfeXFMTmMycmVsRUNXM3hlbHlkdThCNzlUaGNWeERkTFJ3bGQ5NWRLME9QY2lGSlpzWnVhUHQ4VjdPVXlKa3lINXpmRlZac2FQczF0MHBLRWhUMEtIek4yRDVPZmt2bm83X3h6OFRGNDNlNHBKazRmQUhVZXJ6QTQxbEdnSGJOSHNjZjRCalBORlFLRUhLdlA0THRhTkpNUDhfY3p4dm5heGU0QlR4RGJmVU5ZSS1oYUJIb2VOVWNFYzdMZDQ?oc=5"" target=""_blank"">हॉट ​िस्ट्रप मिल में ऑयल लीकेज से लगी आग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Bhaskar</font>",Heatwave,hi
Haryana Weather Update: हरियाणा में आज और कल चलेंगी लू - Aaj Samaj,https://news.google.com/rss/articles/CBMihgFBVV95cUxOd0ZlREtwNVFaSWJ2eGZCVlNEVEU1Q3Q3RjJVeXloWVhWeTFoUVIyX3EtTTY0VUsxMWhranRpT0d2S0VDOFhsT3NKdVM1NzRUSkJMVVVCU3JNZWZqNEozUTBwd3ZuZHNqR3pLVE1PMkJic09NYWRCd05lSGlYZlVXdTlRN2RHQQ?oc=5,2025-05-20 07:30:00,Aaj Samaj,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOd0ZlREtwNVFaSWJ2eGZCVlNEVEU1Q3Q3RjJVeXloWVhWeTFoUVIyX3EtTTY0VUsxMWhranRpT0d2S0VDOFhsT3NKdVM1NzRUSkJMVVVCU3JNZWZqNEozUTBwd3ZuZHNqR3pLVE1PMkJic09NYWRCd05lSGlYZlVXdTlRN2RHQQ?oc=5"" target=""_blank"">Haryana Weather Update: हरियाणा में आज और कल चलेंगी लू</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj Samaj</font>",Heatwave,hi
"दिल्ली-हरियाणा और बिहार समेत इन 11 राज्यों में आंधी-बारिश की संभावना, पढ़ें IMD की लेटेस्ट रिपोर्ट! - Krishi Jagran Hindi",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUi1sbzBCQU0yWWpvZlI4ZEhtNHpKQlY1OUpTOC1YZVJEN0VPVm5fbFQ4ZHRoQzVjeGdzb3ljbFRhVk1Qbi1Mdkg3RU1TQzFuak9VSDNlOThaeG5PeEQwb1Fqd2pIbFV3RWx6RjVQM3hVTnpQWk5ER01jVFl5c0NuOEc1TWZOSXc2b091b3RPOTE5UzR2UDZUWDRCQUJNUzJ0SmVINFVCbXNoNjBBZXlOSlVoOU93bUZIdS04bmMtZ0FOQnlfalVWb3NZazNITDdPNmM40gHbAUFVX3lxTFBHVjJsQ2dFTDM2YlVCRnk0OExNTmhqWDVmc1JzOWxqQldsQVZDNVZFU3dDbE03b1B2aDdLd2pLZE1DTG9uNEx5WVZ1SmtqbzdQTU9wSVUyelh3enJXUHRNWjF6aG84WHg5MlBTeHIxa2Rud1RuWjZaeEFsMFBRUkNnbUtZb0c0TWktcXJ6TGM5V3ZWbEdEM1JTTk1qMGZaYWpaMWt5UGNCRlpTQ2NnUFU4V29sQmFEdVBQSWMtRVdBYjlJdFcwa1VJZVRjMnp5X3h2S0FWdHVxTXFWUQ?oc=5,2025-05-19 10:47:21,Krishi Jagran Hindi,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUi1sbzBCQU0yWWpvZlI4ZEhtNHpKQlY1OUpTOC1YZVJEN0VPVm5fbFQ4ZHRoQzVjeGdzb3ljbFRhVk1Qbi1Mdkg3RU1TQzFuak9VSDNlOThaeG5PeEQwb1Fqd2pIbFV3RWx6RjVQM3hVTnpQWk5ER01jVFl5c0NuOEc1TWZOSXc2b091b3RPOTE5UzR2UDZUWDRCQUJNUzJ0SmVINFVCbXNoNjBBZXlOSlVoOU93bUZIdS04bmMtZ0FOQnlfalVWb3NZazNITDdPNmM40gHbAUFVX3lxTFBHVjJsQ2dFTDM2YlVCRnk0OExNTmhqWDVmc1JzOWxqQldsQVZDNVZFU3dDbE03b1B2aDdLd2pLZE1DTG9uNEx5WVZ1SmtqbzdQTU9wSVUyelh3enJXUHRNWjF6aG84WHg5MlBTeHIxa2Rud1RuWjZaeEFsMFBRUkNnbUtZb0c0TWktcXJ6TGM5V3ZWbEdEM1JTTk1qMGZaYWpaMWt5UGNCRlpTQ2NnUFU4V29sQmFEdVBQSWMtRVdBYjlJdFcwa1VJZVRjMnp5X3h2S0FWdHVxTXFWUQ?oc=5"" target=""_blank"">दिल्ली-हरियाणा और बिहार समेत इन 11 राज्यों में आंधी-बारिश की संभावना, पढ़ें IMD की लेटेस्ट रिपोर्ट!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran Hindi</font>",Heatwave,hi
IMD warns of heatwave in Gurgaon over next 3 days - Times of India,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPLXVQZ2pNV21ERTlSczk1bFVBYXVtaEVmWDhnbEVnWXhKZ0MtcUJBaVk3cmZ4dkllckRCYXpNLTVHNHRQUDdUeXlmYzZ4Q3dMUHpBSTBkcUlqRzBGeWNNbUVYVmlLTGk4ZkNMWXhCbV9GWklFTlBFcXZla3NDUjZwTlVFY0w4QXliSTViaUJ2djFmMGR1a1ljcE00RzBLXzR5Ql9WX1ZvRDFqazRuREZJbldNZVdBUzFNMDlaUDhBc1Zjd9IBxwFBVV95cUxNb1dXU2NPYjRYOVNYbVFJNmZLWU8wQk8tM0tJd0ZZdW9kNFJhVDYzUHUtOEd0Qi05aG05Q1ZxTFp4dVdBbkJPNFU5V21pcFFESmQxLVBsd1ZYYlgzSzloanJHdlFJSFJmeVk3S1RyaU9DMEV0RDhEUDNrQ3FGckllVXZfandrREJaTHdZZG9jd0tzUjd6bE5XS1VBek00Q05mdXJrLXFic3Jsemd2TnJPRGVEMm1JdWdDM1FiNGFha3UyMXlmMW40?oc=5,2025-05-19 20:53:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPLXVQZ2pNV21ERTlSczk1bFVBYXVtaEVmWDhnbEVnWXhKZ0MtcUJBaVk3cmZ4dkllckRCYXpNLTVHNHRQUDdUeXlmYzZ4Q3dMUHpBSTBkcUlqRzBGeWNNbUVYVmlLTGk4ZkNMWXhCbV9GWklFTlBFcXZla3NDUjZwTlVFY0w4QXliSTViaUJ2djFmMGR1a1ljcE00RzBLXzR5Ql9WX1ZvRDFqazRuREZJbldNZVdBUzFNMDlaUDhBc1Zjd9IBxwFBVV95cUxNb1dXU2NPYjRYOVNYbVFJNmZLWU8wQk8tM0tJd0ZZdW9kNFJhVDYzUHUtOEd0Qi05aG05Q1ZxTFp4dVdBbkJPNFU5V21pcFFESmQxLVBsd1ZYYlgzSzloanJHdlFJSFJmeVk3S1RyaU9DMEV0RDhEUDNrQ3FGckllVXZfandrREJaTHdZZG9jd0tzUjd6bE5XS1VBek00Q05mdXJrLXFic3Jsemd2TnJPRGVEMm1JdWdDM1FiNGFha3UyMXlmMW40?oc=5"" target=""_blank"">IMD warns of heatwave in Gurgaon over next 3 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Very heavy rainfall expected over Karnataka, Konkan, Kerala and these states till May 25 - CNBC TV18",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOLXdLSWt5ei04cDNQR0tDVDNGOE81WFFaUWxqTHFmdTVqdENhRzJRRzRvUzUyclgxWFVRY3lfdl9BS0xUWnpocUg3SzlKT2lVUkcyTXBBRTMxeXhjM0liUjltSUdXSnduOG9jMnZoc3dDYXVPOG1GNHRtM1NyUUZiVkdmZGU4UUR3YmI1TGZXazA1ZTYzQlNKVVVFRl9JVjdUS0FFclFJY1BPZzZVdjc0eDlFbW9sOEx3N3VNb3FjYW1oYnlyT1JzbldDSktUNEJ6aWVCQndLS2R6UnVFUmlDbTVvNU51ZknSAewBQVVfeXFMTlhPWkkyamRiNW9oXzJHM01EbUROVTE2QW9FT3cybEpzLWFFQVRwMG4zbTZfZElUbkJIN2RrWElfbmhyVDl4VzV4ZlBaclRNNzFaSWM2bUZxMTBxdjZPN1g0cWg3QXRZdkJkVGlEVDN3S1p3Y1VWYjh3ZjRVSEFReEVyZms0Qm9HaTdMMGE2SVdyQjFkQlNXcTVRZGx0Mm4yaFRzOXNKNzBfczA1VUViN2kySFNQUm1QS2h4QjNzTzRFdDlVY1dRNHFnenJNcDR5WDlMTDhQN1lNbkhvN0cwOGY0QlNZaXhlaDNycDU?oc=5,2025-05-20 09:09:09,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOLXdLSWt5ei04cDNQR0tDVDNGOE81WFFaUWxqTHFmdTVqdENhRzJRRzRvUzUyclgxWFVRY3lfdl9BS0xUWnpocUg3SzlKT2lVUkcyTXBBRTMxeXhjM0liUjltSUdXSnduOG9jMnZoc3dDYXVPOG1GNHRtM1NyUUZiVkdmZGU4UUR3YmI1TGZXazA1ZTYzQlNKVVVFRl9JVjdUS0FFclFJY1BPZzZVdjc0eDlFbW9sOEx3N3VNb3FjYW1oYnlyT1JzbldDSktUNEJ6aWVCQndLS2R6UnVFUmlDbTVvNU51ZknSAewBQVVfeXFMTlhPWkkyamRiNW9oXzJHM01EbUROVTE2QW9FT3cybEpzLWFFQVRwMG4zbTZfZElUbkJIN2RrWElfbmhyVDl4VzV4ZlBaclRNNzFaSWM2bUZxMTBxdjZPN1g0cWg3QXRZdkJkVGlEVDN3S1p3Y1VWYjh3ZjRVSEFReEVyZms0Qm9HaTdMMGE2SVdyQjFkQlNXcTVRZGx0Mm4yaFRzOXNKNzBfczA1VUViN2kySFNQUm1QS2h4QjNzTzRFdDlVY1dRNHFnenJNcDR5WDlMTDhQN1lNbkhvN0cwOGY0QlNZaXhlaDNycDU?oc=5"" target=""_blank"">Very heavy rainfall expected over Karnataka, Konkan, Kerala and these states till May 25</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
Why is the usually dry weather May so hot and humid in Delhi - India Today,https://news.google.com/rss/articles/CBMizAFBVV95cUxObnhDbVBDelI2MmFicngweDYtN21MdXo3NV93OEpwbF9mTmV6MkRjajAtY1NvOTRRUUZ3Rm82UkRqcFptVS12T0I4Q2JsWGM5LUFUa1VHMmhRMmhRVjAyOXB3NTNDSHBUVHFDZ1ltcno2QzV0alNpSVpDTFlNcHpwcUhKTG1LTHZJdy1fckdJU203RjNPR1R5SFd5MWVTdUh2bEFGZUNERjZVZk1laXJtSERUXzJVcmJUeG9fTWNoeEQ1OFB6VHFhN0hTV3LSAdIBQVVfeXFMTlVlRklycWgwdlotMHBPNVFqQWdQaGdWM1dsZEhXb0NEbmdoSXJxM2JGLWV3N1h5WTVSMG10TUVqUWswa0VYX2ZFY0FJUElPQ1RIMVY5X1dSOFFnNXFMTVdCbmRMQ0pTeDRJXzVBWFpFLWFGa2FwcTFBc1BtQ2JYbHNJbE44X1otZFJTdERHSVFmTnpISmtHeE1UR1FZM0pGWXBCSnNEOXZSdzJ5TG1HTVIxZGprM0ItZlRId2lDd1ppTkZEUFdMY3RrLXpsSnJSazVn?oc=5,2025-05-19 21:17:57,India Today,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxObnhDbVBDelI2MmFicngweDYtN21MdXo3NV93OEpwbF9mTmV6MkRjajAtY1NvOTRRUUZ3Rm82UkRqcFptVS12T0I4Q2JsWGM5LUFUa1VHMmhRMmhRVjAyOXB3NTNDSHBUVHFDZ1ltcno2QzV0alNpSVpDTFlNcHpwcUhKTG1LTHZJdy1fckdJU203RjNPR1R5SFd5MWVTdUh2bEFGZUNERjZVZk1laXJtSERUXzJVcmJUeG9fTWNoeEQ1OFB6VHFhN0hTV3LSAdIBQVVfeXFMTlVlRklycWgwdlotMHBPNVFqQWdQaGdWM1dsZEhXb0NEbmdoSXJxM2JGLWV3N1h5WTVSMG10TUVqUWswa0VYX2ZFY0FJUElPQ1RIMVY5X1dSOFFnNXFMTVdCbmRMQ0pTeDRJXzVBWFpFLWFGa2FwcTFBc1BtQ2JYbHNJbE44X1otZFJTdERHSVFmTnpISmtHeE1UR1FZM0pGWXBCSnNEOXZSdzJ5TG1HTVIxZGprM0ItZlRId2lDd1ppTkZEUFdMY3RrLXpsSnJSazVn?oc=5"" target=""_blank"">Why is the usually dry weather May so hot and humid in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Heatwave,en
Daily weather tracker: Extremely heavy rain likely over Karnataka and Konkan on May 20-21 - Down To Earth,https://news.google.com/rss/articles/CBMizwFBVV95cUxQUnBrd2N0OU5XRlE4QjV6YTJ1R0xjbzdDTWt2ZjhXODF5VnBfY0VWVGYza3hqanNORVRlWWNiUnUyQ0QtNDMtaEFJMG1vSmJJMmg3N3UwOTRyb3JxcGcyblVXTnpQWl9oa1ZrbEZOT2tRZFRoWmltSFdYcGJTWVp0NnhxQ21fTmhlX3FHZ2dFd0twdkZyZW5JNktNU0dPQ0t3Y0hFMG1wajJLNGJoYVMzRDdUeE5mVVFkMVRfXzVTblpYa1NpYS1rRVNuTS1tTG_SAdwBQVVfeXFMUExPRlhXV2dvM2VuTDFrZDhSdVluRWVfaXlVWnE1SDZwajk1Ym52bFBZOUtvblMybFFobW9oeDRYUVMwVl9VNGxyWmFEOV9nb1BnSTZRMG5vS19UMHZrWXNXT0ZhQ3BLU1hnTV9HMXZOTWprX1dfMVNpYVVUYklMbUJJYmNkTl8yNjVXOS1KUGx5YWpsQXI0RFYwN3RVb2dOSldqeWo5anlFdHBBZHNCY0w1eF9OLVBBTUN4Q2NDR2xOUUZ1Z1JFaUpIT1I3cjNHV1pNX21WMElINEFYSA?oc=5,2025-05-19 18:10:34,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQUnBrd2N0OU5XRlE4QjV6YTJ1R0xjbzdDTWt2ZjhXODF5VnBfY0VWVGYza3hqanNORVRlWWNiUnUyQ0QtNDMtaEFJMG1vSmJJMmg3N3UwOTRyb3JxcGcyblVXTnpQWl9oa1ZrbEZOT2tRZFRoWmltSFdYcGJTWVp0NnhxQ21fTmhlX3FHZ2dFd0twdkZyZW5JNktNU0dPQ0t3Y0hFMG1wajJLNGJoYVMzRDdUeE5mVVFkMVRfXzVTblpYa1NpYS1rRVNuTS1tTG_SAdwBQVVfeXFMUExPRlhXV2dvM2VuTDFrZDhSdVluRWVfaXlVWnE1SDZwajk1Ym52bFBZOUtvblMybFFobW9oeDRYUVMwVl9VNGxyWmFEOV9nb1BnSTZRMG5vS19UMHZrWXNXT0ZhQ3BLU1hnTV9HMXZOTWprX1dfMVNpYVVUYklMbUJJYmNkTl8yNjVXOS1KUGx5YWpsQXI0RFYwN3RVb2dOSldqeWo5anlFdHBBZHNCY0w1eF9OLVBBTUN4Q2NDR2xOUUZ1Z1JFaUpIT1I3cjNHV1pNX21WMElINEFYSA?oc=5"" target=""_blank"">Daily weather tracker: Extremely heavy rain likely over Karnataka and Konkan on May 20-21</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Delhi Weather: Why Is May So Hot And Humid In Delhi? - Times Now,https://news.google.com/rss/articles/CBMipgFBVV95cUxPYmZ3ZmlrcnE1ZWV1alpjRDZiMkFIU1pXZEtqbkVwM2hWc0Z4cjdheUpUYmpJbFFtSWFmMUswR1B4d1R2SURBb1lXckpJM3hlODdLZ2tYY3RNOUtBbGZxcjhsd1dPWWxJYnplcHBnSWdyQ083aUx6YlN3cG8tUGhHbGZmU3lPSWdyREpkU3NTZmVsbkVXTGFqNEpGOFpOZGhMRWRENURn0gGrAUFVX3lxTE8zNjV0UDFRS3NtNFhyU2taQTFHQ2ZYUnBiYmhSVXczeDBwWUd0T1NyYUpWX3dyVS00UE90OGlIWmdKZmFIY2ExREhVaVBpeTVrX2o4RmU3d09WWVQtS3RwbGJBeDFfUHA0QnZoSE5QVUtIRVJyMmYtX1UtOGFzYXZ5VTIyU1QwVUFHSjl0SWNPQjNuQWZUbVZlQjFqRWZhMXZnWGo1THFUU19jRQ?oc=5,2025-05-19 22:12:58,Times Now,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPYmZ3ZmlrcnE1ZWV1alpjRDZiMkFIU1pXZEtqbkVwM2hWc0Z4cjdheUpUYmpJbFFtSWFmMUswR1B4d1R2SURBb1lXckpJM3hlODdLZ2tYY3RNOUtBbGZxcjhsd1dPWWxJYnplcHBnSWdyQ083aUx6YlN3cG8tUGhHbGZmU3lPSWdyREpkU3NTZmVsbkVXTGFqNEpGOFpOZGhMRWRENURn0gGrAUFVX3lxTE8zNjV0UDFRS3NtNFhyU2taQTFHQ2ZYUnBiYmhSVXczeDBwWUd0T1NyYUpWX3dyVS00UE90OGlIWmdKZmFIY2ExREhVaVBpeTVrX2o4RmU3d09WWVQtS3RwbGJBeDFfUHA0QnZoSE5QVUtIRVJyMmYtX1UtOGFzYXZ5VTIyU1QwVUFHSjl0SWNPQjNuQWZUbVZlQjFqRWZhMXZnWGo1THFUU19jRQ?oc=5"" target=""_blank"">Delhi Weather: Why Is May So Hot And Humid In Delhi?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Heatwave,en
"IMD Weather Update: Rain Forecast For Kerala, Karnataka; Heatwave Persists In Rajasthan, Haryana, Delhi-NCR - Jagran English",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPdkxjQTZueEYydktaTXBDbk4zNENrb2d0NU9kRHlkU2U2VTB0bEI3S0VDanJDSmFrUU54TjB4NHFFeklhUGZtNi1LaTFnZFFub08taDFBcGNoNkFKX2xhdGNOdVIzT0ZBQ2Y3dUlodEZwS1ZNdm9qV0x6U3ZHdzZaek1MajJEQzJaN2p1cUdNUld0M1ZmbVFkVFdrV3B3a0pUV2JtQ3hleTZjbVdfRS1uVVE4N2xLTDVNamhDMWJWOUVMUkVmYm1NWHlwd1ZiSmpHVldSdUFFNS1JYzZLRDhsSg?oc=5,2025-05-19 19:38:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPdkxjQTZueEYydktaTXBDbk4zNENrb2d0NU9kRHlkU2U2VTB0bEI3S0VDanJDSmFrUU54TjB4NHFFeklhUGZtNi1LaTFnZFFub08taDFBcGNoNkFKX2xhdGNOdVIzT0ZBQ2Y3dUlodEZwS1ZNdm9qV0x6U3ZHdzZaek1MajJEQzJaN2p1cUdNUld0M1ZmbVFkVFdrV3B3a0pUV2JtQ3hleTZjbVdfRS1uVVE4N2xLTDVNamhDMWJWOUVMUkVmYm1NWHlwd1ZiSmpHVldSdUFFNS1JYzZLRDhsSg?oc=5"" target=""_blank"">IMD Weather Update: Rain Forecast For Kerala, Karnataka; Heatwave Persists In Rajasthan, Haryana, Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
