Title,Link,Date,Source,Summary,Place
Will the monsoons retreat be delayed this year too? - The Tribune India,https://news.google.com/rss/articles/CBMilgFBVV95cUxPOHJoSGc4VEhsMVZ0V1pycDU1dURDakdBNmRQeWl5RG1JeUMyWTEyOVhyNVZINmpLdWNabWhtV2lOSGJlQnd3QktMLWluYkVtOVU5Tl9NeklwMm5kMVdJdlZfbGw2ZEdhcFBpcWlMV1FHc3ZSRWwyNkhTUHhIeFo4TWRWTHJRdnJ5R1VhSDFvOEhLNjVfT0HSAZoBQVVfeXFMTnEzRnkwcWEzR2VzWVE0R0thZU5tNndEcTZKbk8wOXVYNjFLSzBrV1hHUnUtbXRadlVWbWJuMF9FRTE5eE16UzRXZ1JKcW9mTkJaeUMwOGxsenlXYWo1SVliSmFsQ3pHeW9RTXhnLW5BWk1aTUVrVVhsUEJPV1U5cmtpOEZWc2xDWFpBY1E0eUtRMTRCTnh6bEREUQ?oc=5,2024-09-09 21:30:45,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPOHJoSGc4VEhsMVZ0V1pycDU1dURDakdBNmRQeWl5RG1JeUMyWTEyOVhyNVZINmpLdWNabWhtV2lOSGJlQnd3QktMLWluYkVtOVU5Tl9NeklwMm5kMVdJdlZfbGw2ZEdhcFBpcWlMV1FHc3ZSRWwyNkhTUHhIeFo4TWRWTHJRdnJ5R1VhSDFvOEhLNjVfT0HSAZoBQVVfeXFMTnEzRnkwcWEzR2VzWVE0R0thZU5tNndEcTZKbk8wOXVYNjFLSzBrV1hHUnUtbXRadlVWbWJuMF9FRTE5eE16UzRXZ1JKcW9mTkJaeUMwOGxsenlXYWo1SVliSmFsQ3pHeW9RTXhnLW5BWk1aTUVrVVhsUEJPV1U5cmtpOEZWc2xDWFpBY1E0eUtRMTRCTnh6bEREUQ?oc=5"" target=""_blank"">Will the monsoons retreat be delayed this year too?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
IMD predicts light to moderate rainfall in some Himachal Pradesh districts - Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNMGxRNGR1TTZSekxTTlNaU2hKall5NFdGYllBSUNNVjl0YXIxTFJGMFZzSUd2QS0tY0EzRXFBaG9ta2p5cVczVzduTXZBNjRoUXpDSVh3MTlFNGdtczFISnoycnJuMXlFc3JiVHlaeWE1VGlJSzhYLThjZnlJd2ZMQ3diSTg5aHBNUmJCWjZBSDhfXzZZdnlzOUhrVGJmWmVTNGIwRzFnOEpibm5maTI3NUt0dWtwNXpJWGd2NFhodFZtMGYzNWV1S2c1MzBENDFPcEtTckhB0gHbAUFVX3lxTE1FUDlVR0NkTUVHVVZNSlFMNHNjQnZMMmZFb2NFUVB2SEs5R2txLWgtREVsMnpVUWJ1aDMwVU10Y3RYVy1peXU3VklyQnBvdWlVRWdySFd0WXBrRWkzczhBRy1zcU5nc21yZFlwVjBuQXZMRnR4Q1lJMnFQUXZNRUVhb0RBeU1OLTNlUTZhM2FzeVJPS2ZIdGw2dEhEWFNhZ29WVXJQdVJtQWRKVTllNUpSNFlBSERGcld0ZVhBeS1BOGZTRklfbUh2ajhCYTBVSHJDQUlPQ1N4U0E2MA?oc=5,2024-09-10 09:53:06,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNMGxRNGR1TTZSekxTTlNaU2hKall5NFdGYllBSUNNVjl0YXIxTFJGMFZzSUd2QS0tY0EzRXFBaG9ta2p5cVczVzduTXZBNjRoUXpDSVh3MTlFNGdtczFISnoycnJuMXlFc3JiVHlaeWE1VGlJSzhYLThjZnlJd2ZMQ3diSTg5aHBNUmJCWjZBSDhfXzZZdnlzOUhrVGJmWmVTNGIwRzFnOEpibm5maTI3NUt0dWtwNXpJWGd2NFhodFZtMGYzNWV1S2c1MzBENDFPcEtTckhB0gHbAUFVX3lxTE1FUDlVR0NkTUVHVVZNSlFMNHNjQnZMMmZFb2NFUVB2SEs5R2txLWgtREVsMnpVUWJ1aDMwVU10Y3RYVy1peXU3VklyQnBvdWlVRWdySFd0WXBrRWkzczhBRy1zcU5nc21yZFlwVjBuQXZMRnR4Q1lJMnFQUXZNRUVhb0RBeU1OLTNlUTZhM2FzeVJPS2ZIdGw2dEhEWFNhZ29WVXJQdVJtQWRKVTllNUpSNFlBSERGcld0ZVhBeS1BOGZTRklfbUh2ajhCYTBVSHJDQUlPQ1N4U0E2MA?oc=5"" target=""_blank"">IMD predicts light to moderate rainfall in some Himachal Pradesh districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Heavy Rainfall and Floods Disrupt Several States: IMD Alerts Issued, Delhis Air Quality Deteriorates - News24",https://news.google.com/rss/articles/CBMirgFBVV95cUxOODgySGJ0OGdYZkNGU3p4Zms1M2JSREdJWUNlTGlkVDVaa3ZPeUxQVGRpZzJ5cmVDZklYaG14aGY3b3dOTzVUbTVsZm40dFk2T2tNWjdtOXVZVE9Eb1pNMGd4VWdreG00NFRPTWVTYmlzTjFsamtqLThqZHZvYWlJOEJKSy05RTdNVXNXSFVkVm5MUkR4UDBTakdGdUhvel8tek5LTkJmVDZDem9mblHSAb8BQVVfeXFMTW5NZE1ER3F6dDFhWndMMThERkVTVF9LYW9ncjI3N0ZYRnVwUmdlZXk0QmpDamszU1ZYel9TbnhSOUs3dmh2SWFhRTBha1dFeXMtYVlfc3NtXzNaZnVuWkt5VG93aVhsdFQxS0lvWmY4WVV6V2p6ME1VOFJxbTlIbUk4THkwZTBJYVc2OUhZQjI1ZWs5QTl6cThxV3lpa1hJb18zNnJIajFycWRZV3BuaUpXcHQ1ODZrV0toNGtRQVk?oc=5,2024-09-10 06:37:48,News24,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOODgySGJ0OGdYZkNGU3p4Zms1M2JSREdJWUNlTGlkVDVaa3ZPeUxQVGRpZzJ5cmVDZklYaG14aGY3b3dOTzVUbTVsZm40dFk2T2tNWjdtOXVZVE9Eb1pNMGd4VWdreG00NFRPTWVTYmlzTjFsamtqLThqZHZvYWlJOEJKSy05RTdNVXNXSFVkVm5MUkR4UDBTakdGdUhvel8tek5LTkJmVDZDem9mblHSAb8BQVVfeXFMTW5NZE1ER3F6dDFhWndMMThERkVTVF9LYW9ncjI3N0ZYRnVwUmdlZXk0QmpDamszU1ZYel9TbnhSOUs3dmh2SWFhRTBha1dFeXMtYVlfc3NtXzNaZnVuWkt5VG93aVhsdFQxS0lvWmY4WVV6V2p6ME1VOFJxbTlIbUk4THkwZTBJYVc2OUhZQjI1ZWs5QTl6cThxV3lpa1hJb18zNnJIajFycWRZV3BuaUpXcHQ1ODZrV0toNGtRQVk?oc=5"" target=""_blank"">Heavy Rainfall and Floods Disrupt Several States: IMD Alerts Issued, Delhis Air Quality Deteriorates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",
MP Weather Updates: Red Alert For Heavy Rain In Many Districts; Intense Evening Showers To Drench Bhopal - Free Press Journal,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQeko4VklETHM2M3dVV0JTNktlSlBPc00yMDhEZWh5dlpwYlRremNCdWR0cXdLQllOQ25sa0Q0U1FZUTRRdmEtQ1p0emJ2ZzRmMm1IYVdDUldMTUMteURxNmRMaE9Fdk1tR0lmeGhCdG5FZHotRi0tV05JSGMxanVWY04zQVQtMUZraVVhYURzckZ4QlBsNUxQY0I2ZWloZVpqOXlRSWdSZk5KWGhhV0RVcENfdE9LcTRUZ3ZndW9QUlNwaVYybnBDWVp4eVJWWjBWQWUzSF9MMGnSAd4BQVVfeXFMTXlqd1h0Qlg1X3B5eUxtRlRSekszcTFUV2l5cHF4cjdJd2pQc0NJU2RVX2xtcHFoVDFxV0U4ekVuUUJIdGFGZnhwY2MxSDFQTFowam1zbGFxcklOeEVjZUpWb2F6dWptaElmczRKMVBueGZkZ3pvTTBESGdMcFNDbGFCdXh3ZGZpMHM5RzBaODB4WjNhbUV1eE1CWXhjZm5MOVd2eENTVDZNMUpYb3NEcVFvd0pxd2k2TnQwS2xDbGg0UXpDS3lPRzhwSXVIQzEwT3c1SGd5Q3Zpd1RKeVln?oc=5,2024-09-09 23:54:38,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQeko4VklETHM2M3dVV0JTNktlSlBPc00yMDhEZWh5dlpwYlRremNCdWR0cXdLQllOQ25sa0Q0U1FZUTRRdmEtQ1p0emJ2ZzRmMm1IYVdDUldMTUMteURxNmRMaE9Fdk1tR0lmeGhCdG5FZHotRi0tV05JSGMxanVWY04zQVQtMUZraVVhYURzckZ4QlBsNUxQY0I2ZWloZVpqOXlRSWdSZk5KWGhhV0RVcENfdE9LcTRUZ3ZndW9QUlNwaVYybnBDWVp4eVJWWjBWQWUzSF9MMGnSAd4BQVVfeXFMTXlqd1h0Qlg1X3B5eUxtRlRSekszcTFUV2l5cHF4cjdJd2pQc0NJU2RVX2xtcHFoVDFxV0U4ekVuUUJIdGFGZnhwY2MxSDFQTFowam1zbGFxcklOeEVjZUpWb2F6dWptaElmczRKMVBueGZkZ3pvTTBESGdMcFNDbGFCdXh3ZGZpMHM5RzBaODB4WjNhbUV1eE1CWXhjZm5MOVd2eENTVDZNMUpYb3NEcVFvd0pxd2k2TnQwS2xDbGg0UXpDS3lPRzhwSXVIQzEwT3c1SGd5Q3Zpd1RKeVln?oc=5"" target=""_blank"">MP Weather Updates: Red Alert For Heavy Rain In Many Districts; Intense Evening Showers To Drench Bhopal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
Monsoon Update- Heavy to Very Heavy Rainfall and Flood Alerts for the Next 48 Hours - Times Bull,https://news.google.com/rss/articles/CBMiywFBVV95cUxPdVMxbmFjc1liLTJEV3BVZTBsRzFDVnA2MmtrQ0FRUkxUR2xCS1YzbGdieUppRW8xVVExelEzRmIzNFZXRjJzdTVVM29MN0o0c2NrRDhtbUZ2d2hSeWdqY1lqTHBsRTQzSC1EMmtiazhIdVBUeTdpZi1GOXUtOTdKN0tYakl2cGJLSXF2bGhMdzZ6T3hPUmdLMGx1djV2a1lGQmRhOGdhZUptekNlM3hTNVFENlRsdXlJTnFNWDhIalFMMjl5NjFFZ09TQQ?oc=5,2024-09-09 20:17:04,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPdVMxbmFjc1liLTJEV3BVZTBsRzFDVnA2MmtrQ0FRUkxUR2xCS1YzbGdieUppRW8xVVExelEzRmIzNFZXRjJzdTVVM29MN0o0c2NrRDhtbUZ2d2hSeWdqY1lqTHBsRTQzSC1EMmtiazhIdVBUeTdpZi1GOXUtOTdKN0tYakl2cGJLSXF2bGhMdzZ6T3hPUmdLMGx1djV2a1lGQmRhOGdhZUptekNlM3hTNVFENlRsdXlJTnFNWDhIalFMMjl5NjFFZ09TQQ?oc=5"" target=""_blank"">Monsoon Update- Heavy to Very Heavy Rainfall and Flood Alerts for the Next 48 Hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
IMD weather 2024: Met issues red and orange alert for several states - Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxQQVRoR3BXZmk2T1BZaE5YWU56Rll3OGRBaUt2UEhjZGx3cUt6VV80N0JWTGdmaXdqOXU1aFJfejJ1NjVFWG5FbHBHR3FIdW41Q1lKRHBFNFlLYWxzX1V2YTVSSjNvXzNNQTdzRWg0d3c2TldmdTFUcWpzOFhRUmh6NDRwaTZ0Y0pFMTVQR2x4QldaUzd0SWVCNTVmaEJDdEpRTW5TSzBUeThKdlc1RHFxSzZ5R09ZZEl1NWJLTEpMVHdidzVPLTVkUmJ6NXXSAdIBQVVfeXFMUG9rNTgwdHo5YVZTR0xiMTB6NzhqMnZackpzWUxYNW00b3hEem5EZnAzXzZaNC1mckFaOFZrbTUwblQyYXotRk9MT2dPSmhlQUIyWXc2ZGJKYWxVQzF4SXhRczlKQ0Nsd3BkdkYzM05xcmJTLW0wT3BLb2x0N3pwNENvSnFIV0dSTGYzV2VERUZQSWxrekVyaHNDaDZhcTlJNEUwWGRyQmszR2dOOGpvS2ItdkhUMDhjb1lBZ0UwQk1RYkF2eUF5SDBkY24tcVlFd3dB?oc=5,2024-09-09 16:31:31,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQQVRoR3BXZmk2T1BZaE5YWU56Rll3OGRBaUt2UEhjZGx3cUt6VV80N0JWTGdmaXdqOXU1aFJfejJ1NjVFWG5FbHBHR3FIdW41Q1lKRHBFNFlLYWxzX1V2YTVSSjNvXzNNQTdzRWg0d3c2TldmdTFUcWpzOFhRUmh6NDRwaTZ0Y0pFMTVQR2x4QldaUzd0SWVCNTVmaEJDdEpRTW5TSzBUeThKdlc1RHFxSzZ5R09ZZEl1NWJLTEpMVHdidzVPLTVkUmJ6NXXSAdIBQVVfeXFMUG9rNTgwdHo5YVZTR0xiMTB6NzhqMnZackpzWUxYNW00b3hEem5EZnAzXzZaNC1mckFaOFZrbTUwblQyYXotRk9MT2dPSmhlQUIyWXc2ZGJKYWxVQzF4SXhRczlKQ0Nsd3BkdkYzM05xcmJTLW0wT3BLb2x0N3pwNENvSnFIV0dSTGYzV2VERUZQSWxrekVyaHNDaDZhcTlJNEUwWGRyQmszR2dOOGpvS2ItdkhUMDhjb1lBZ0UwQk1RYkF2eUF5SDBkY24tcVlFd3dB?oc=5"" target=""_blank"">IMD weather 2024: Met issues red and orange alert for several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Kharif area registers 2.2 % increase with sowing period nearing end - Babushahi.com,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBBTjIwd29QVTJueVc2YUp1aG5GdXhPOW51aUpjN2FXT0MtQ0RPNDZhMDlsMnNBNW1RS0d0VEZ0MWdyR0pNTVVEMFFXODJXVTlINzg0RXZiMHpLQlZxbWc?oc=5,2024-09-09 19:57:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFBBTjIwd29QVTJueVc2YUp1aG5GdXhPOW51aUpjN2FXT0MtQ0RPNDZhMDlsMnNBNW1RS0d0VEZ0MWdyR0pNTVVEMFFXODJXVTlINzg0RXZiMHpLQlZxbWc?oc=5"" target=""_blank"">Kharif area registers 2.2 % increase with sowing period nearing end</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",
Weather Forecast- IMD predicts Very Heavy Rains & Thunderstorms in 8 states for the next 48 hours - indias.news,https://news.google.com/rss/articles/CBMitgFBVV95cUxPYVAyNGtCaHlXM3lpZlpxb1JNVzZSVV9NNnEycFlnVHVJVk5hWlpjVVBtVm9qeDl4SEpNQ1ZRRXkyMFFVdVl4NlJQbEdtdVJ1aUR6RWZRMVEzUmtmT2xZMEM5NmNqenFHdjZROXVwMjRmYTBDdUtKY3FLQm5rTkl2bnZOd2J5cnpFMzR1N1dLaHNlQ1Q3TXlfYzZZeTRFWmJOVDlEREI3dDJLMDFZLTVzNTdhTGJkdw?oc=5,2024-09-10 09:53:16,indias.news,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPYVAyNGtCaHlXM3lpZlpxb1JNVzZSVV9NNnEycFlnVHVJVk5hWlpjVVBtVm9qeDl4SEpNQ1ZRRXkyMFFVdVl4NlJQbEdtdVJ1aUR6RWZRMVEzUmtmT2xZMEM5NmNqenFHdjZROXVwMjRmYTBDdUtKY3FLQm5rTkl2bnZOd2J5cnpFMzR1N1dLaHNlQ1Q3TXlfYzZZeTRFWmJOVDlEREI3dDJLMDFZLTVzNTdhTGJkdw?oc=5"" target=""_blank"">Weather Forecast- IMD predicts Very Heavy Rains & Thunderstorms in 8 states for the next 48 hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
Heavy rain over last few days lead to closure of over 60 roads in Himachal - Business Standard,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOeDhNM0JpOFJjb01fRlM1M1lSUlZSVDRiSEIxUG5Jb3AxWkJlX1A0bzJDdE5yQnVUaTd3OHh0blVOT2ozRGJXQmcyMXJJSU9qRlRWRTRSdEFlbGw1a0hWdE1fUHlfR1R3dnJwbWpyVUV2VjBWc3lxRktIS3owYVJIVU5iZ0ltYzRPZUJ0WnJKMUFERHdEM0pSb2xUR3d5dE1SUGVIcWF1MzkzN3N2RXlJOGx5dUFyMHBkUFlNNkFGYjNQYjZYUUhNTzBDSzNCb2s0R2F4eDV30gHbAUFVX3lxTFBDS3VjNnVmOEo4VDJaS0c1SUR6UHF4NzhaX2EyQkE3WVdyRFFMZzJSNUUtdnJPajNrXzRDNVQyREZFTEpkZ2gtMXU0aXFsX3dxdWxZbFdIVlVwbi1YeGVrT0tGMWszakFkOHhaVnJmczEtcEo1aVdvekRRWmdfYlpjSGRGNUhxVUplQTFOa3hCTUN2dmZacEg3UjVmR0FaekxNR3NRQUotRUsyVnBPY2d3dDhJVEtYTnc1d2ZGNkU5cjVOSDBCRjAtWlhaYnBLeko0b1p2cTRFelNXTQ?oc=5,2024-09-09 13:57:53,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOeDhNM0JpOFJjb01fRlM1M1lSUlZSVDRiSEIxUG5Jb3AxWkJlX1A0bzJDdE5yQnVUaTd3OHh0blVOT2ozRGJXQmcyMXJJSU9qRlRWRTRSdEFlbGw1a0hWdE1fUHlfR1R3dnJwbWpyVUV2VjBWc3lxRktIS3owYVJIVU5iZ0ltYzRPZUJ0WnJKMUFERHdEM0pSb2xUR3d5dE1SUGVIcWF1MzkzN3N2RXlJOGx5dUFyMHBkUFlNNkFGYjNQYjZYUUhNTzBDSzNCb2s0R2F4eDV30gHbAUFVX3lxTFBDS3VjNnVmOEo4VDJaS0c1SUR6UHF4NzhaX2EyQkE3WVdyRFFMZzJSNUUtdnJPajNrXzRDNVQyREZFTEpkZ2gtMXU0aXFsX3dxdWxZbFdIVlVwbi1YeGVrT0tGMWszakFkOHhaVnJmczEtcEo1aVdvekRRWmdfYlpjSGRGNUhxVUplQTFOa3hCTUN2dmZacEg3UjVmR0FaekxNR3NRQUotRUsyVnBPY2d3dDhJVEtYTnc1d2ZGNkU5cjVOSDBCRjAtWlhaYnBLeko0b1p2cTRFelNXTQ?oc=5"" target=""_blank"">Heavy rain over last few days lead to closure of over 60 roads in Himachal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Monsoon Update – Heavy to Very Heavy Rainfall and Flood Alerts for the Next 48 Hours - indias.news,https://news.google.com/rss/articles/CBMipgFBVV95cUxNd3BtU2szN1RMeTlxUnBKNG4tNnh1TzQwbFdUd0xrVmI2SWdrS3VGRHJrUmdfc1UxaUdWMm5tU01MT0NpZjdJZDNWdmdCWDE1LU8yR1hnZWQxNTl3Q21YSGFDWjFoZl9GMC00VWt5bGFPQkdQU3R2T0s1OENiSGcxXzd3X0RHSmd1REZTUXFMQi0xUWttRFpSMERrMkpiVnJ2MzZMcVZ3?oc=5,2024-09-09 20:48:09,indias.news,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNd3BtU2szN1RMeTlxUnBKNG4tNnh1TzQwbFdUd0xrVmI2SWdrS3VGRHJrUmdfc1UxaUdWMm5tU01MT0NpZjdJZDNWdmdCWDE1LU8yR1hnZWQxNTl3Q21YSGFDWjFoZl9GMC00VWt5bGFPQkdQU3R2T0s1OENiSGcxXzd3X0RHSmd1REZTUXFMQi0xUWttRFpSMERrMkpiVnJ2MzZMcVZ3?oc=5"" target=""_blank"">Monsoon Update – Heavy to Very Heavy Rainfall and Flood Alerts for the Next 48 Hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
