Title,Link,Date,Source,Summary,Place
Vinesh Phogat Election Result: Vinesh Phogat Triumphs While Other Athletes Falter - SpeaksLY,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5RdnR0WWRpSVFremYyNFNYVFZIb05kTnUwb2JkX01KS2oxMEU5OUlka0ttc1d3aGpIQU45c0E3Z3dFcW5kTGhOTGhqTUlUNzVraEM0dkt2STh4SlF1UnpxekRkOGhKUQ?oc=5,2024-10-09 10:10:21,SpeaksLY,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5RdnR0WWRpSVFremYyNFNYVFZIb05kTnUwb2JkX01KS2oxMEU5OUlka0ttc1d3aGpIQU45c0E3Z3dFcW5kTGhOTGhqTUlUNzVraEM0dkt2STh4SlF1UnpxekRkOGhKUQ?oc=5"" target=""_blank"">Vinesh Phogat Election Result: Vinesh Phogat Triumphs While Other Athletes Falter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SpeaksLY</font>",
Rain to continue for at least next three days: IMD - The Times of India,https://news.google.com/rss/articles/CBMiiwJBVV95cUxPQjU2bkh6MGtCSXBIVFI2RUxUQktwZC05NEJmRkZ6ZWI0dlNyM0NQQU43QWVidHVKUHMyX1ZUeXB5bGEyVDJtNE9xVEVhZ0hZbjYtN3ZRVVVlS0J6QjZfY0lNb1d3VTVPVWM4bTRrWEhmMjJ5WEN1djJTTnJhTnhZSlJ0clJwTVhhcVN4Uy1mbHZQYldlNXpOWV9hQTktYlpjZnhoVVVRRmxiNmluU05haWZBcTRyeUNNZ0hzOGJfVHFvRDc1aWsxVUNCbWdicW8yTGcxUlE5ZWhzWVh2SE1uWjRIQ3Z2OGNVYWhaZ2x3T29tRTR0emRhWVN2QVNtSUxpeXdsSVliYTJZWFXSAZACQVVfeXFMUGZIN2ZwbkdmcElJbURuVUdaOS1PMDRkWEw4Y013NUZXZXo5Q3l4MnkwUG5nTkFydTNWcjZSU1ByckI3RnRza3pWbmdPWkFBQlRNQVhCLXEzcWMwSlk2R2tqZ2ctTHpZZWVMVVpwUUNobFhvSzdUaTVaVC1tdTlOdUtSLXQyanRUVXVGT1htbE5iYzlkRDViZDJJYWdwXzZ5Vm9hT2VmR19hYlNZZC0xRUh1ckJRdnY3UTBsMDJjY1oxUEdGTlNOWXRLcEw1Y1dTZUVpWW1MMHZUbGJJcVk2TGFxaE10SWliVUxpMHNrS0trWFJCZmxuVFJ3R0NMbkdJZVBTMjQ2WUsyWjVudmRPTFo?oc=5,2024-10-09 04:45:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxPQjU2bkh6MGtCSXBIVFI2RUxUQktwZC05NEJmRkZ6ZWI0dlNyM0NQQU43QWVidHVKUHMyX1ZUeXB5bGEyVDJtNE9xVEVhZ0hZbjYtN3ZRVVVlS0J6QjZfY0lNb1d3VTVPVWM4bTRrWEhmMjJ5WEN1djJTTnJhTnhZSlJ0clJwTVhhcVN4Uy1mbHZQYldlNXpOWV9hQTktYlpjZnhoVVVRRmxiNmluU05haWZBcTRyeUNNZ0hzOGJfVHFvRDc1aWsxVUNCbWdicW8yTGcxUlE5ZWhzWVh2SE1uWjRIQ3Z2OGNVYWhaZ2x3T29tRTR0emRhWVN2QVNtSUxpeXdsSVliYTJZWFXSAZACQVVfeXFMUGZIN2ZwbkdmcElJbURuVUdaOS1PMDRkWEw4Y013NUZXZXo5Q3l4MnkwUG5nTkFydTNWcjZSU1ByckI3RnRza3pWbmdPWkFBQlRNQVhCLXEzcWMwSlk2R2tqZ2ctTHpZZWVMVVpwUUNobFhvSzdUaTVaVC1tdTlOdUtSLXQyanRUVXVGT1htbE5iYzlkRDViZDJJYWdwXzZ5Vm9hT2VmR19hYlNZZC0xRUh1ckJRdnY3UTBsMDJjY1oxUEdGTlNOWXRLcEw1Y1dTZUVpWW1MMHZUbGJJcVk2TGFxaE10SWliVUxpMHNrS0trWFJCZmxuVFJ3R0NMbkdJZVBTMjQ2WUsyWjVudmRPTFo?oc=5"" target=""_blank"">Rain to continue for at least next three days: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
IMD Weather Update: Heavy Downpour Predicted In Tamil Nadu And Various Region of Northeast India - News24,https://news.google.com/rss/articles/CBMizwFBVV95cUxOeXktOWRhb1E1ckVIalhESzMtWHMxY2czMFhvbnhaUGdpd1ViWFM5SDQ0TW1jMG9adDZjQWh4eUVHTGl1VnVmTzdDUVRIYmZnN1llTUVCRl9QaUFvcHdUcEhiMTFGM3V3cjdwNFppeE41aUZqVUZpRTdnQ00wb1VUaVlZTGkxX0NTbGk0eW44UEtsZ3VtdEVZWk5WeEF3eFFjdFQ5VWl1cDktZWhlQU5UU1BySkdNT1psTnVSalJYQ0pfd1JzbmlENVp0WXFCUUE?oc=5,2024-10-09 07:14:41,News24,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOeXktOWRhb1E1ckVIalhESzMtWHMxY2czMFhvbnhaUGdpd1ViWFM5SDQ0TW1jMG9adDZjQWh4eUVHTGl1VnVmTzdDUVRIYmZnN1llTUVCRl9QaUFvcHdUcEhiMTFGM3V3cjdwNFppeE41aUZqVUZpRTdnQ00wb1VUaVlZTGkxX0NTbGk0eW44UEtsZ3VtdEVZWk5WeEF3eFFjdFQ5VWl1cDktZWhlQU5UU1BySkdNT1psTnVSalJYQ0pfd1JzbmlENVp0WXFCUUE?oc=5"" target=""_blank"">IMD Weather Update: Heavy Downpour Predicted In Tamil Nadu And Various Region of Northeast India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",
Maharashtra Rain Update: Rain Likely to Return in Parts of the State from Today - SpeaksLY,https://news.google.com/rss/articles/CBMipwFBVV95cUxQbGF3dV8tN29zMS1ma19OZUNWZHdSLTFKMEhhaWJ2bWN0V2UxVDZjSVZxTnZDZzdsVjlISFFBdXdjUmliXzR0bmJnR3c0aW5xUXp4TXU5LW1DbHlfSk10OEt0c0RGNGk4alU5U25qNzhWZVhLRkVZOExQMnA2dG1HNHNDSHprRHRHalJ2QkFUbC1RNjlCeTBUcVkzLXVKenNQTnpQR05QUQ?oc=5,2024-10-09 08:40:15,SpeaksLY,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQbGF3dV8tN29zMS1ma19OZUNWZHdSLTFKMEhhaWJ2bWN0V2UxVDZjSVZxTnZDZzdsVjlISFFBdXdjUmliXzR0bmJnR3c0aW5xUXp4TXU5LW1DbHlfSk10OEt0c0RGNGk4alU5U25qNzhWZVhLRkVZOExQMnA2dG1HNHNDSHprRHRHalJ2QkFUbC1RNjlCeTBUcVkzLXVKenNQTnpQR05QUQ?oc=5"" target=""_blank"">Maharashtra Rain Update: Rain Likely to Return in Parts of the State from Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SpeaksLY</font>",
"Kolkata Weather and AQI Today: Warm start at 26.1 °C, check weather forecast for October 9, 2024 - MSN",https://news.google.com/rss/articles/CBMi2AFBVV95cUxNZkVJTHRrZmliSFdUYndYUnV0VFpsWkhLZzNMeXVnRVJDNC0yRlVLYU1tT3hVOWh5Ml9ZY19HdmI4R0g1SmJBSkpINGs5ejZQUU4wTkxYRC1UZXdaamszQm9zSHJSQ0c5TGdUaWlaa1puQ2E0UXlmeXFDODNMR2IyYlFMcDdaSUhROVRKMHdUTWJSQ2UzeEpqS3Yybjc1azhmU0E3NEpDQ0dhN1l1VWJjY2VGakJPaTR5RTdsLS1ZWG9qaURNd2lXejlfaFUyQUFWV3NMT0dSckE?oc=5,2024-10-09 07:26:49,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNZkVJTHRrZmliSFdUYndYUnV0VFpsWkhLZzNMeXVnRVJDNC0yRlVLYU1tT3hVOWh5Ml9ZY19HdmI4R0g1SmJBSkpINGs5ejZQUU4wTkxYRC1UZXdaamszQm9zSHJSQ0c5TGdUaWlaa1puQ2E0UXlmeXFDODNMR2IyYlFMcDdaSUhROVRKMHdUTWJSQ2UzeEpqS3Yybjc1azhmU0E3NEpDQ0dhN1l1VWJjY2VGakJPaTR5RTdsLS1ZWG9qaURNd2lXejlfaFUyQUFWV3NMT0dSckE?oc=5"" target=""_blank"">Kolkata Weather and AQI Today: Warm start at 26.1 °C, check weather forecast for October 9, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Rain brings relief to people from soaring temperature in Coimbatore - The Hindu,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQZjhydUctRkdIVEEtNm1lS0VWWms5QUYwSW11NE1FNUVibmxRclRfQWJUYTk4NXhWald1N0VwWUVoU2UyeEx6QkdIZGx3eGVPbmQ1bDVfZlFsN2lMOTJIQkNoLUI0T3ZUNm9uZ1djUmRYTjY0bjlQdF9lS3RZekJGdWlhZTBIWXgyQ09hd2xEUjVuTWtrWkQ4ZGNfNHJuZldscE9qbjFWS1FqNE5tSFYzck56ZXp0NnUwWnJGaWJTSWt5YzVtRUtGOXRlNU1YTmRk0gHXAUFVX3lxTE1ocVBGUTNlUnhveGVYRTZIN1JOTm02REZsME5ibFVyWDJlU0RJUFR5RkZDdmRrdG5PYjIzX29yMjJrOVhvM1d4aXFubnB2SHI3RE9UbmJpX1UxSUlzM3pNVHNSc09XWmp4dGlXdU5ES0lZZ0tVd2xvRkFYaGlicHNTd0V5SWo3S29oalN6eUxNS3ptQXNIc29wdGh1c0s1UzFaR3ZjTkw4UHdZVnY5T041aWZZSS1PVEpobU1KWjl5aEg3SU1aSjExT01PVFM3a3N1UjhJcTU4?oc=5,2024-10-08 19:35:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQZjhydUctRkdIVEEtNm1lS0VWWms5QUYwSW11NE1FNUVibmxRclRfQWJUYTk4NXhWald1N0VwWUVoU2UyeEx6QkdIZGx3eGVPbmQ1bDVfZlFsN2lMOTJIQkNoLUI0T3ZUNm9uZ1djUmRYTjY0bjlQdF9lS3RZekJGdWlhZTBIWXgyQ09hd2xEUjVuTWtrWkQ4ZGNfNHJuZldscE9qbjFWS1FqNE5tSFYzck56ZXp0NnUwWnJGaWJTSWt5YzVtRUtGOXRlNU1YTmRk0gHXAUFVX3lxTE1ocVBGUTNlUnhveGVYRTZIN1JOTm02REZsME5ibFVyWDJlU0RJUFR5RkZDdmRrdG5PYjIzX29yMjJrOVhvM1d4aXFubnB2SHI3RE9UbmJpX1UxSUlzM3pNVHNSc09XWmp4dGlXdU5ES0lZZ0tVd2xvRkFYaGlicHNTd0V5SWo3S29oalN6eUxNS3ptQXNIc29wdGh1c0s1UzFaR3ZjTkw4UHdZVnY5T041aWZZSS1PVEpobU1KWjl5aEg3SU1aSjExT01PVFM3a3N1UjhJcTU4?oc=5"" target=""_blank"">Rain brings relief to people from soaring temperature in Coimbatore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
IMD extends yellow alert as rain barrels down on state - The Times of India,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPUTE5UmdmQmpDRjVvY2ZyYWxvVTEzT20xeTJGTVc4bDJOanROMHA3ZFdpSnB6M2FPWjRENzhOYVMtV2V2RVktZnhsS01LdFFrV3g0SEtrMU9yd3pncUFzejQ1clZBZmo1ZDQwSUkwVlVNbjRaZkNDMkNLcmVhMkVGbE9OVFBsdDZuSDJlTFNYRkF4TTktbzRZczhVck5hbHFiSzUtVnlJa2NuTF9LbzJmSW1VX3hZMHV6b1Y3a1U2TERTYmfSAcgBQVVfeXFMTWhoWll0NGdDeXRocDFHNUs0bDJFSjVUOG5oQTBjSTBhY0lOOEVzb085aUx5d1JFQTZyeWFQdVgyQ0IwSVJ4VTg2ek1uVGQ0U0NVQjBGdGxMYk9YX3RncGVhN1ZVNHQwZDVBM1BmX0hRRHVXLXBScDJrdkQ1OVdrZ0dlRHJoUGt1M1FsTHc5bW1WeUc5SWpxcGZvY1dkZVBFSGw5VVhnaDdyXzdYOGRPeENoYzQ5UEVwbUR2UjE0WHUxTUF5SkNZT1Q?oc=5,2024-10-09 00:38:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPUTE5UmdmQmpDRjVvY2ZyYWxvVTEzT20xeTJGTVc4bDJOanROMHA3ZFdpSnB6M2FPWjRENzhOYVMtV2V2RVktZnhsS01LdFFrV3g0SEtrMU9yd3pncUFzejQ1clZBZmo1ZDQwSUkwVlVNbjRaZkNDMkNLcmVhMkVGbE9OVFBsdDZuSDJlTFNYRkF4TTktbzRZczhVck5hbHFiSzUtVnlJa2NuTF9LbzJmSW1VX3hZMHV6b1Y3a1U2TERTYmfSAcgBQVVfeXFMTWhoWll0NGdDeXRocDFHNUs0bDJFSjVUOG5oQTBjSTBhY0lOOEVzb085aUx5d1JFQTZyeWFQdVgyQ0IwSVJ4VTg2ek1uVGQ0U0NVQjBGdGxMYk9YX3RncGVhN1ZVNHQwZDVBM1BmX0hRRHVXLXBScDJrdkQ1OVdrZ0dlRHJoUGt1M1FsTHc5bW1WeUc5SWpxcGZvY1dkZVBFSGw5VVhnaDdyXzdYOGRPeENoYzQ5UEVwbUR2UjE0WHUxTUF5SkNZT1Q?oc=5"" target=""_blank"">IMD extends yellow alert as rain barrels down on state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
Coimbatore braces for northeast monsoon - The Times of India,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNZ2FUdy1sWk5UZFRMLTZjLWdfdW5qV3pXR1lWTEExUUVtWTROUDBSQzBKNTczcWc0RHZ6Z0xtUlRNT25PbllaY1FqbFRkTmNoWmhqQ3BDanRDcE1qbndYU3JjbnZNd2dsVU9SZzJRZDZKQ2pUaURmMTROYS1FbkNjWTkxaFlfcFVaMnVIdS1RY1V3cmthbXVTWEltaHFTTnVJSTBVaDQ5ZzIwVlFEcV9yM2dyZGw5dWdhVDItN3g0SHZKbk15YjJZZzhrMy1LSU94YlJObV81cW1SZjByc1pLa2NVQ2FjZTRjelNPaU1aWnFFSW9L0gH6AUFVX3lxTE8zTi1MRzQ5Yi12eG1NS3ZuLXN1ZjR1aXFKcmRCR0N2aXB1U1Eyb0xfa0pIbnU2Z2xoX3BWRHV2Z1VrS3N1VFpEeEt4QXkyWDVNNURQeTUtQWttZnRfR3FUd01CZUotY1MwT0pQcUFVVmV1VXAtQzB2QnZGUE9GTFgtSklkZHdGeXEyenlFNU9nSFNlWWJWRHRZWGtzVkZuSk9YNG9KTUp0cDZvcXFaQ0xZWVJIdmlJU0FuLXE4azFvT2d0ZFhZTFlaWW5yUi1NQ0tHNzl0czR4UGNCamdmVGQ4WGJkY1hJTnpUS0oyelltRGhzTzBQVmdaMFE?oc=5,2024-10-09 00:21:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxNZ2FUdy1sWk5UZFRMLTZjLWdfdW5qV3pXR1lWTEExUUVtWTROUDBSQzBKNTczcWc0RHZ6Z0xtUlRNT25PbllaY1FqbFRkTmNoWmhqQ3BDanRDcE1qbndYU3JjbnZNd2dsVU9SZzJRZDZKQ2pUaURmMTROYS1FbkNjWTkxaFlfcFVaMnVIdS1RY1V3cmthbXVTWEltaHFTTnVJSTBVaDQ5ZzIwVlFEcV9yM2dyZGw5dWdhVDItN3g0SHZKbk15YjJZZzhrMy1LSU94YlJObV81cW1SZjByc1pLa2NVQ2FjZTRjelNPaU1aWnFFSW9L0gH6AUFVX3lxTE8zTi1MRzQ5Yi12eG1NS3ZuLXN1ZjR1aXFKcmRCR0N2aXB1U1Eyb0xfa0pIbnU2Z2xoX3BWRHV2Z1VrS3N1VFpEeEt4QXkyWDVNNURQeTUtQWttZnRfR3FUd01CZUotY1MwT0pQcUFVVmV1VXAtQzB2QnZGUE9GTFgtSklkZHdGeXEyenlFNU9nSFNlWWJWRHRZWGtzVkZuSk9YNG9KTUp0cDZvcXFaQ0xZWVJIdmlJU0FuLXE4azFvT2d0ZFhZTFlaWW5yUi1NQ0tHNzl0czR4UGNCamdmVGQ4WGJkY1hJTnpUS0oyelltRGhzTzBQVmdaMFE?oc=5"" target=""_blank"">Coimbatore braces for northeast monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"With dust back on roads as rain stops, air quality on the downhill again - The Times of India",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMFg2V0VpM3ZaLTNvcEotaVp0NXB2Y1VwSlRQcGQ0UjQyUVFad0FyUUdFQ1ZCazVlTG5wR0Y5d0VJNFA4Z19UMVlKMDJZazlVU0E2cUpzOTRUNmVWbHpZclpzSHVUUUVLODBDS0JCUWZDbGVfQ2EzY29Kd05aMkkwQzlCZjlEMmlyUGFsZHdDR2ZTNTZid3VzbWt0UlVVdWwyLU5zTDBCcGlSUXkzd2t5WmJmZW9mdUhXUnNNYWRaMWFPcm1abkphY2FIQTNqR1pu0gHWAUFVX3lxTE1fd3lhOGpJRFlzOU1NUFpPd1ZVTEMtVXRhb04yUHNkeXE5MVUtaGpBcXVrZGE2ZlBJUzRqbWV3ZVEza0R1OUJJOFo5WlZjRkVGUlBFckdkaUtDWmZmdmk2eWJOTHh3S2pkR3J4bHhHaEszeXU5d0p1WkxObkE1UzRObUhBV25HdGVKaEpyWDhlajczOVZTMEZtZXpoY2hIOFZKSVZWcFVQV0NMTHNQUWYxcHo4dHRlMzRCbUFWRjhHLUR1SWpXbkw3bUFZN3JtaWhpbzZFRXc?oc=5,2024-10-08 20:27:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOMFg2V0VpM3ZaLTNvcEotaVp0NXB2Y1VwSlRQcGQ0UjQyUVFad0FyUUdFQ1ZCazVlTG5wR0Y5d0VJNFA4Z19UMVlKMDJZazlVU0E2cUpzOTRUNmVWbHpZclpzSHVUUUVLODBDS0JCUWZDbGVfQ2EzY29Kd05aMkkwQzlCZjlEMmlyUGFsZHdDR2ZTNTZid3VzbWt0UlVVdWwyLU5zTDBCcGlSUXkzd2t5WmJmZW9mdUhXUnNNYWRaMWFPcm1abkphY2FIQTNqR1pu0gHWAUFVX3lxTE1fd3lhOGpJRFlzOU1NUFpPd1ZVTEMtVXRhb04yUHNkeXE5MVUtaGpBcXVrZGE2ZlBJUzRqbWV3ZVEza0R1OUJJOFo5WlZjRkVGUlBFckdkaUtDWmZmdmk2eWJOTHh3S2pkR3J4bHhHaEszeXU5d0p1WkxObkE1UzRObUhBV25HdGVKaEpyWDhlajczOVZTMEZtZXpoY2hIOFZKSVZWcFVQV0NMTHNQUWYxcHo4dHRlMzRCbUFWRjhHLUR1SWpXbkw3bUFZN3JtaWhpbzZFRXc?oc=5"" target=""_blank"">With dust back on roads as rain stops, air quality on the downhill again</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Rainfall Update: Heavy rains expected in these 12 states, know the weather condition across the country - informalnewz",https://news.google.com/rss/articles/CBMiywFBVV95cUxQaDVwLUVNMDQ4R3ZHTV9rM3FJbG1CZXhIM3FOcmdPTkdkZmlKY2YxX0lXQ0VPMHF4Qk5BbHBGOU8xRkJXRk5fWGQ1SVBTSUlTeFRzMmViUVdaenY1a09QUFRXZE9XeGpUcnE5ZGVVMElVbVprUnRRX2dManAxNXBYMUhFd3FQcy1MLUx6N2NleG84a0VJNmdOS1I3SWotSldmd1JlOXpPWUpuVllPUndvUjlINWJPNFRxT3I0UGw1bmFQOGJBRllRQkY1VdIBywFBVV95cUxQaDVwLUVNMDQ4R3ZHTV9rM3FJbG1CZXhIM3FOcmdPTkdkZmlKY2YxX0lXQ0VPMHF4Qk5BbHBGOU8xRkJXRk5fWGQ1SVBTSUlTeFRzMmViUVdaenY1a09QUFRXZE9XeGpUcnE5ZGVVMElVbVprUnRRX2dManAxNXBYMUhFd3FQcy1MLUx6N2NleG84a0VJNmdOS1I3SWotSldmd1JlOXpPWUpuVllPUndvUjlINWJPNFRxT3I0UGw1bmFQOGJBRllRQkY1VQ?oc=5,2024-10-09 08:46:03,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQaDVwLUVNMDQ4R3ZHTV9rM3FJbG1CZXhIM3FOcmdPTkdkZmlKY2YxX0lXQ0VPMHF4Qk5BbHBGOU8xRkJXRk5fWGQ1SVBTSUlTeFRzMmViUVdaenY1a09QUFRXZE9XeGpUcnE5ZGVVMElVbVprUnRRX2dManAxNXBYMUhFd3FQcy1MLUx6N2NleG84a0VJNmdOS1I3SWotSldmd1JlOXpPWUpuVllPUndvUjlINWJPNFRxT3I0UGw1bmFQOGJBRllRQkY1VdIBywFBVV95cUxQaDVwLUVNMDQ4R3ZHTV9rM3FJbG1CZXhIM3FOcmdPTkdkZmlKY2YxX0lXQ0VPMHF4Qk5BbHBGOU8xRkJXRk5fWGQ1SVBTSUlTeFRzMmViUVdaenY1a09QUFRXZE9XeGpUcnE5ZGVVMElVbVprUnRRX2dManAxNXBYMUhFd3FQcy1MLUx6N2NleG84a0VJNmdOS1I3SWotSldmd1JlOXpPWUpuVllPUndvUjlINWJPNFRxT3I0UGw1bmFQOGJBRllRQkY1VQ?oc=5"" target=""_blank"">Rainfall Update: Heavy rains expected in these 12 states, know the weather condition across the country</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",
