Title,Link,Date,Source,Summary,Term,LanguageQueried
"बारिश-तूफान, मंडी में बरसे आफत के ओले - Janta Se Rishta",https://news.google.com/rss/articles/CBMifEFVX3lxTE9nVTM2TTZuOFQwaTRZZHVhcUNiMGJPUHd5SzRuR0N1YmplRlFSXzdfNXhhUHFPd3pkbThhdjJ2aHk2TW92YUJHNk1sTlp4Y29PS29VUlNoMGh1aHAwb3pVRzNrcFRObGtsR3AwalVyWTZybVhmaHRuNy1Yc0TSAYIBQVVfeXFMUFRTMlUtUm1XQ2djSlpCX3VwdjRvSm4wa2JqLVd2QkNvWlJhYS16eVJ1eWIwZDBaRjc4dGczWkY0TEFCMUt3NXpIampQbVVQbXpJVEdrYV9vVVlBTGVDTjRsZWp1VGk5YVdSWEU4REh0VVUzLUVSLXZmWGRhcXF6NXVvdw?oc=5,2025-03-17 16:49:01,Janta Se Rishta,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE9nVTM2TTZuOFQwaTRZZHVhcUNiMGJPUHd5SzRuR0N1YmplRlFSXzdfNXhhUHFPd3pkbThhdjJ2aHk2TW92YUJHNk1sTlp4Y29PS29VUlNoMGh1aHAwb3pVRzNrcFRObGtsR3AwalVyWTZybVhmaHRuNy1Yc0TSAYIBQVVfeXFMUFRTMlUtUm1XQ2djSlpCX3VwdjRvSm4wa2JqLVd2QkNvWlJhYS16eVJ1eWIwZDBaRjc4dGczWkY0TEFCMUt3NXpIampQbVVQbXpJVEdrYV9vVVlBTGVDTjRsZWp1VGk5YVdSWEU4REh0VVUzLUVSLXZmWGRhcXF6NXVvdw?oc=5"" target=""_blank"">बारिश-तूफान, मंडी में बरसे आफत के ओले</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Se Rishta</font>",Disaster,hi
Brace for above normal temperatures in HP from March to May: IMD - MSN,https://news.google.com/rss/articles/CBMisgFBVV95cUxNeUpZZkN4MThEeU9aNENremdqSk1SdC1zcFhucUVfUU91N0djOU5WUjVUNnVPUVJMcGZsRzhVQUxnU1EtN1lSRDR3MGZfX3N6T2ZwaXFEWkRJX2hHZDRCYlJaRnJLWkdLQkZ4eXk3MlZjcEpkeUxBQzFINUxyeV9mcDN6SHBGb0ViWThwd1FvNVB1dVJGQUk0LWVOT3A2bjh0NUx6eHZ1c2t0OVp3bUZkSjlB?oc=5,2025-03-17 14:52:15,MSN,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNeUpZZkN4MThEeU9aNENremdqSk1SdC1zcFhucUVfUU91N0djOU5WUjVUNnVPUVJMcGZsRzhVQUxnU1EtN1lSRDR3MGZfX3N6T2ZwaXFEWkRJX2hHZDRCYlJaRnJLWkdLQkZ4eXk3MlZjcEpkeUxBQzFINUxyeV9mcDN6SHBGb0ViWThwd1FvNVB1dVJGQUk0LWVOT3A2bjh0NUx6eHZ1c2t0OVp3bUZkSjlB?oc=5"" target=""_blank"">Brace for above normal temperatures in HP from March to May: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Tamil Nadu School Holiday: Heavy Rainfall Expected In THESE Districts, IMD Issues Orange Alert; Schools Shut - Check Weather Forecast - MSN",https://news.google.com/rss/articles/CBMiiAJBVV95cUxNQ3o0N01yc29aaUJpSGRXU1BrcVQ5NGhIUFlpeV9yUlNfdGVSckpoN01ZYzlrZUxDNzgzM0l0d1hWdHVLeGpIUlhrQ19uZkJMazZkY0JaS1N5dzZJazhieXBDODk4NlJ1YmJrSjN5YnVNN1ZDVkVqQUpBM0ZvYXpkZnJFa19MRGRRaFIydkZDUVduTzNVQ0c0UnNVeXI2WURtSnYzZlAxcVprbDN2TWNRNXE0MVpJMFFUbHJhaFRvREYxazJ1czAyem90OU4zMGdsaEFiWDBqYVFpV3Z0blhONEhFUFl5SEhoOTVhSWR2TjVSY0FxMUd1VTI0eDlYRTdOZWRXVWZoVHU?oc=5,2025-03-17 15:06:49,MSN,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxNQ3o0N01yc29aaUJpSGRXU1BrcVQ5NGhIUFlpeV9yUlNfdGVSckpoN01ZYzlrZUxDNzgzM0l0d1hWdHVLeGpIUlhrQ19uZkJMazZkY0JaS1N5dzZJazhieXBDODk4NlJ1YmJrSjN5YnVNN1ZDVkVqQUpBM0ZvYXpkZnJFa19MRGRRaFIydkZDUVduTzNVQ0c0UnNVeXI2WURtSnYzZlAxcVprbDN2TWNRNXE0MVpJMFFUbHJhaFRvREYxazJ1czAyem90OU4zMGdsaEFiWDBqYVFpV3Z0blhONEhFUFl5SEhoOTVhSWR2TjVSY0FxMUd1VTI0eDlYRTdOZWRXVWZoVHU?oc=5"" target=""_blank"">Tamil Nadu School Holiday: Heavy Rainfall Expected In THESE Districts, IMD Issues Orange Alert; Schools Shut - Check Weather Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Delhi Records Hottest Day This Year On Holi, IMD Forecasts Rain Before Intense Rise In Temperature - MSN",https://news.google.com/rss/articles/CBMilwNBVV95cUxQSzVEZzl2bU5mRW9rUnVGM1h1d1p4ZFhZRzNiYldMY2dSWTBhS2VibEVGWmRyMjUtdEhxb3VRSDBFOWtySG9jQzNVb05INkFhMlBjUWpMVnJfUG1YVWg4Qmp4Sjd0N0VYbW9RZDFhbmZNUi1MLVl0a2hwTDVwVk9RdWZzU1dKakNfTGxka3JnUzczX1VSVVZCRHhiT1Z1eUhvTFpEd2ZBQ0RtdGJCbUhqeUFJSlM1YlZ6aDNGQkZUOXh3eDNsSHZzeGVmQ0k0MmZZQlBBbG15VkVoRnhGcFQ2N1VYUkJuamJCZ3FRQ1l4SFRMVnNPSmJBbzk2VHJISjRycWJCblowd19adWl1cHlEOW5OM2cyV1czQzFDTlNVQlMwblF4ZzVEM0FremV3NUJadWtFUTZOOVdnbWxfT0J6VUhOT2NLMnBCTGF2TS13WmJ0N0hJeTQ4Q3AyWmlKMzBmM3RJWWZoWl9sZ3BmTnNtZ1p1ZnpZNjFyeHBCakxNRFlGcktKbXFhWmRvM2VXR1RJZkY5TkU0dw?oc=5,2025-03-17 10:19:52,MSN,"<a href=""https://news.google.com/rss/articles/CBMilwNBVV95cUxQSzVEZzl2bU5mRW9rUnVGM1h1d1p4ZFhZRzNiYldMY2dSWTBhS2VibEVGWmRyMjUtdEhxb3VRSDBFOWtySG9jQzNVb05INkFhMlBjUWpMVnJfUG1YVWg4Qmp4Sjd0N0VYbW9RZDFhbmZNUi1MLVl0a2hwTDVwVk9RdWZzU1dKakNfTGxka3JnUzczX1VSVVZCRHhiT1Z1eUhvTFpEd2ZBQ0RtdGJCbUhqeUFJSlM1YlZ6aDNGQkZUOXh3eDNsSHZzeGVmQ0k0MmZZQlBBbG15VkVoRnhGcFQ2N1VYUkJuamJCZ3FRQ1l4SFRMVnNPSmJBbzk2VHJISjRycWJCblowd19adWl1cHlEOW5OM2cyV1czQzFDTlNVQlMwblF4ZzVEM0FremV3NUJadWtFUTZOOVdnbWxfT0J6VUhOT2NLMnBCTGF2TS13WmJ0N0hJeTQ4Q3AyWmlKMzBmM3RJWWZoWl9sZ3BmTnNtZ1p1ZnpZNjFyeHBCakxNRFlGcktKbXFhWmRvM2VXR1RJZkY5TkU0dw?oc=5"" target=""_blank"">Delhi Records Hottest Day This Year On Holi, IMD Forecasts Rain Before Intense Rise In Temperature</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"U.S. Weather: Severe weather moves east after tornadoes, winds, wildfires kill at least 39 people - The Hindu",https://news.google.com/rss/articles/CBMi2AFBVV95cUxNUGYxamwwMUt2U2dLTFliOG41RGJ5blV4eGRaRDVfbHQ3VVpnOTFTa2s5ZnNiQzZDR2t6OTcwUnF6OGNCRFFSS0xTVkowdmdKNDNTbnhpMEJ0dXc3VEpEZmhDYUw5YkZRdjBPZGNOMlpMTWxjRTBKSm1WbGxmTEV0M1BEN2VmbXl1dG9RYjhxTklWTXRsb1hZaFl6TTc0YnFhZ3pWVktfVm01aERoWmVaXzIyZ3dUcmlvcVRTM2ZwbXk0VVdEUzh1a1VTbDVXV2tVUUdpbUJ2QlrSAd8BQVVfeXFMUDBMeVQyVVAwSWNJNXp2NlE2M1hRdE56R3BhN1JlQXl3YVRQMGRtU2otaWNPam9kc1dhWW5qdU5QYXVUSVVqa0E2cjRocGlvWkdUTWNrZjJRc3NjTG5rN0Z2a1F6VnVKWi1tcGVsbDFGQ0NiR01NSU41RWFjbWFRaVZJdkl6N2hvblZPSjJpTWcxNkZwUlV3Ml9Eai1hTlhsSWgxLU8zQ00tUGotUWFoT3JRQ0YxVDd2dDU0d2I5X0YyckstVGdGYjlsUlhVQzJkUDZFeUw3c2VXS2huSFhQTQ?oc=5,2025-03-17 12:41:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNUGYxamwwMUt2U2dLTFliOG41RGJ5blV4eGRaRDVfbHQ3VVpnOTFTa2s5ZnNiQzZDR2t6OTcwUnF6OGNCRFFSS0xTVkowdmdKNDNTbnhpMEJ0dXc3VEpEZmhDYUw5YkZRdjBPZGNOMlpMTWxjRTBKSm1WbGxmTEV0M1BEN2VmbXl1dG9RYjhxTklWTXRsb1hZaFl6TTc0YnFhZ3pWVktfVm01aERoWmVaXzIyZ3dUcmlvcVRTM2ZwbXk0VVdEUzh1a1VTbDVXV2tVUUdpbUJ2QlrSAd8BQVVfeXFMUDBMeVQyVVAwSWNJNXp2NlE2M1hRdE56R3BhN1JlQXl3YVRQMGRtU2otaWNPam9kc1dhWW5qdU5QYXVUSVVqa0E2cjRocGlvWkdUTWNrZjJRc3NjTG5rN0Z2a1F6VnVKWi1tcGVsbDFGQ0NiR01NSU41RWFjbWFRaVZJdkl6N2hvblZPSjJpTWcxNkZwUlV3Ml9Eai1hTlhsSWgxLU8zQ00tUGotUWFoT3JRQ0YxVDd2dDU0d2I5X0YyckstVGdGYjlsUlhVQzJkUDZFeUw3c2VXS2huSFhQTQ?oc=5"" target=""_blank"">U.S. Weather: Severe weather moves east after tornadoes, winds, wildfires kill at least 39 people</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Avalanche alert in Himachal Pradesh! IMD issues warning in four districts; check prediction here - MSN,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNdGJkTVdCb18ycmx2WWVOWEp4R3I5MTRpZ0tUNGotb1BrVkJ4c25TU1ZhTVYyZ1V0V0ZtbXR6aG5xeDBRdmUzeDVyRUVUQ3lHeTRSOFVuQ3E2ZENCSUNKVXUyc3JXQjJndnVYWDRVY3hIZjFscmRwUnZIeFQxdk5GX2tJS3JDaGRHcHc3VjVZT2wtODZrOFV3UXlWTjNiemlLbFk4V0Z3RUFrUU9heE9ETEJMT1dDdnk1RHlZd3lkaWIzcUUyakt4X2FsRGl5ODJrZVpidEZXSlFiUTg?oc=5,2025-03-17 18:22:24,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNdGJkTVdCb18ycmx2WWVOWEp4R3I5MTRpZ0tUNGotb1BrVkJ4c25TU1ZhTVYyZ1V0V0ZtbXR6aG5xeDBRdmUzeDVyRUVUQ3lHeTRSOFVuQ3E2ZENCSUNKVXUyc3JXQjJndnVYWDRVY3hIZjFscmRwUnZIeFQxdk5GX2tJS3JDaGRHcHc3VjVZT2wtODZrOFV3UXlWTjNiemlLbFk4V0Z3RUFrUU9heE9ETEJMT1dDdnk1RHlZd3lkaWIzcUUyakt4X2FsRGl5ODJrZVpidEZXSlFiUTg?oc=5"" target=""_blank"">Avalanche alert in Himachal Pradesh! IMD issues warning in four districts; check prediction here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Tornado thread moves to southern US as big storm unleashes winds, wildfires - MSN",https://news.google.com/rss/articles/CBMiwAFBVV95cUxOTlVSTEpTeGNObVdNVjdERHhsZTc5X0Vac3F6c3BVaThlLS05U0dvbm1hYW5pTFdiaGVnZS1RWHF0dXVSQ2lEb2ZmelduNTJiaXdyWUM2czNaNzBpcDRTcFFweWh3MEpVQjV1azZ1VV9FeVpvTmJnWUFrbUNWa1hhQ2lpcy15YWE1WTk1bjRqUWsxSjVYYUwySmF6elZhcFdzR081MnI2UFVLLXEzS1RjbzQ2X2tibDUwUnZKVGszRlg?oc=5,2025-03-17 13:27:52,MSN,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxOTlVSTEpTeGNObVdNVjdERHhsZTc5X0Vac3F6c3BVaThlLS05U0dvbm1hYW5pTFdiaGVnZS1RWHF0dXVSQ2lEb2ZmelduNTJiaXdyWUM2czNaNzBpcDRTcFFweWh3MEpVQjV1azZ1VV9FeVpvTmJnWUFrbUNWa1hhQ2lpcy15YWE1WTk1bjRqUWsxSjVYYUwySmF6elZhcFdzR081MnI2UFVLLXEzS1RjbzQ2X2tibDUwUnZKVGszRlg?oc=5"" target=""_blank"">Tornado thread moves to southern US as big storm unleashes winds, wildfires</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
‘World will breach 1.5C° by Sept 2029 if trend continues’ - MSN,https://news.google.com/rss/articles/CBMipgFBVV95cUxQNmt5cko5bFVKSlRBbUpSY2xLb1lJWXJBZTBSVjd5Z3FNOTdtbC1pcWZ3WEtoQjhDZzc0WVpQeVFZSDA0MlJuVHBub0hhVHl4QzIxdVY1Z3Fhb2ItYW1oN3JEVnFTUW5BUnJKLU12UERKeXdQN3BKUjNVZTVPQUxQV01zYTN1Yi1Ka1h2dExzb19aaGdUeEZUYVVmTFg0LUI0NGhmbEZ3?oc=5,2025-03-17 16:30:30,MSN,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxQNmt5cko5bFVKSlRBbUpSY2xLb1lJWXJBZTBSVjd5Z3FNOTdtbC1pcWZ3WEtoQjhDZzc0WVpQeVFZSDA0MlJuVHBub0hhVHl4QzIxdVY1Z3Fhb2ItYW1oN3JEVnFTUW5BUnJKLU12UERKeXdQN3BKUjNVZTVPQUxQV01zYTN1Yi1Ka1h2dExzb19aaGdUeEZUYVVmTFg0LUI0NGhmbEZ3?oc=5"" target=""_blank"">‘World will breach 1.5C° by Sept 2029 if trend continues’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Heavy rains lash Tamil Nadu, Pondy, 'Fengal' continues to move towards coastline - MSN",https://news.google.com/rss/articles/CBMi5gJBVV95cUxOM2V0TlJWcWNXdUdOV3NGOW8zMzZacU1NajZaTmU1bHhHZjZQWnJYYUozWUlTbGpYazJVN1NYZWZMbTVUMVh5M3hFYlpkemFjVmRoLW5FWFJXbk54RkxoVmJRYzMyV1VKQnVReFd0dGJxN2lES3FxUXM4ZGt4Q1VrVElQa1NPTEtDWW5yclM1VTRCc1JoZ0EwemloeVhCWjIyUGQxT1ZqeDQxcmdEOWJ4azltQnVHZkVRb2RUZTlaU1BxYWQxRHZQaS1qQWJ5dDhRMzJrQjZpSkN6UWRYbFZnLS12MDhGZzcwdmI2SDRBT3BZMTdSVmZYaVdLa3oyYnBzNlZlM0tZdm5INDZtdHV2UzlsY3RSLUMyR2djVy10a3oyT2RsMDNaSjBjQjlKRi1ualNHVXphUG5lclB0SzhjRHM3bklhaTdqLTZNUGVjekhCV0FSc1pYbDhoWjdCNnB3cmROYUFn?oc=5,2025-03-17 14:02:53,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5gJBVV95cUxOM2V0TlJWcWNXdUdOV3NGOW8zMzZacU1NajZaTmU1bHhHZjZQWnJYYUozWUlTbGpYazJVN1NYZWZMbTVUMVh5M3hFYlpkemFjVmRoLW5FWFJXbk54RkxoVmJRYzMyV1VKQnVReFd0dGJxN2lES3FxUXM4ZGt4Q1VrVElQa1NPTEtDWW5yclM1VTRCc1JoZ0EwemloeVhCWjIyUGQxT1ZqeDQxcmdEOWJ4azltQnVHZkVRb2RUZTlaU1BxYWQxRHZQaS1qQWJ5dDhRMzJrQjZpSkN6UWRYbFZnLS12MDhGZzcwdmI2SDRBT3BZMTdSVmZYaVdLa3oyYnBzNlZlM0tZdm5INDZtdHV2UzlsY3RSLUMyR2djVy10a3oyT2RsMDNaSjBjQjlKRi1ualNHVXphUG5lclB0SzhjRHM3bklhaTdqLTZNUGVjekhCV0FSc1pYbDhoWjdCNnB3cmROYUFn?oc=5"" target=""_blank"">Heavy rains lash Tamil Nadu, Pondy, 'Fengal' continues to move towards coastline</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Delhi Weather: National capital records minimum temperature of 16.8 degrees celsius, AQI 'satisfactory' - MSN",https://news.google.com/rss/articles/CBMi_AFBVV95cUxOa3NOTXY0Q2lIRi1LVTlRX2l0el9JaUIxY1BUSmZSNmR5WFpCd0VjQ3poaUNPX1JyWTJyWGZ1SzE0TzUwenFzUGpMdnBrS2lpclVDaW02dkFJQ0VXT3VadEh2aDlENkhsTkVkb0txQV9lYy1yTk1id3NzSGxZTFU3Tm5ySWNkQXR3UlBKbnRUU3paX1lHWThQekRQOF9rTGVLb214YzY1Z2NfQU5BVm1EeTFqOUJhR2FkbWZqQkhZbnFzQlJvNlU1cEFjTjY2RU9zcTUxdnlqUW9ORVE5bVVsNnVWbFZ1YmtPaUVhQ0FTdkNvX1dDbWZuRVlwdjk?oc=5,2025-03-17 11:13:53,MSN,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxOa3NOTXY0Q2lIRi1LVTlRX2l0el9JaUIxY1BUSmZSNmR5WFpCd0VjQ3poaUNPX1JyWTJyWGZ1SzE0TzUwenFzUGpMdnBrS2lpclVDaW02dkFJQ0VXT3VadEh2aDlENkhsTkVkb0txQV9lYy1yTk1id3NzSGxZTFU3Tm5ySWNkQXR3UlBKbnRUU3paX1lHWThQekRQOF9rTGVLb214YzY1Z2NfQU5BVm1EeTFqOUJhR2FkbWZqQkhZbnFzQlJvNlU1cEFjTjY2RU9zcTUxdnlqUW9ORVE5bVVsNnVWbFZ1YmtPaUVhQ0FTdkNvX1dDbWZuRVlwdjk?oc=5"" target=""_blank"">Delhi Weather: National capital records minimum temperature of 16.8 degrees celsius, AQI 'satisfactory'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
