Title,Link,Date,Source,Summary,Term,LanguageQueried
"Himachal Weather: हिमाचल में गर्मी का प्रकोप फिर बढ़ा, आज से तीन दिन तक आंधी-तूफान का खतरा - Jagran",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRHhkbi0weGhIcDhSbnlwaEcxay1VakE1RlNKNWhqNERhQlZvaGlDQkdaODNoaGtrd1dHRUR3STEzMHhGZ1h3elBjVDB4VkF0dWprSnpObWVPcmRadV9qNEUzTFJvOFJicHFDMDB5Z0VfNWJZR2lZOUlqTVRZWVhDUnV0MmhpQjYzenFCU21LQXFoSHpfTW9PVkVwLXhXSmhYOEVnOEgxS1NwcE8xd1EwX1h3RVppS2lndF9MdnR6d2dEX1pmOWpjQi1zd2tZbkdPX2c?oc=5,2025-06-15 07:22:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRHhkbi0weGhIcDhSbnlwaEcxay1VakE1RlNKNWhqNERhQlZvaGlDQkdaODNoaGtrd1dHRUR3STEzMHhGZ1h3elBjVDB4VkF0dWprSnpObWVPcmRadV9qNEUzTFJvOFJicHFDMDB5Z0VfNWJZR2lZOUlqTVRZWVhDUnV0MmhpQjYzenFCU21LQXFoSHpfTW9PVkVwLXhXSmhYOEVnOEgxS1NwcE8xd1EwX1h3RVppS2lndF9MdnR6d2dEX1pmOWpjQi1zd2tZbkdPX2c?oc=5"" target=""_blank"">Himachal Weather: हिमाचल में गर्मी का प्रकोप फिर बढ़ा, आज से तीन दिन तक आंधी-तूफान का खतरा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Disaster,hi
जानी ब्लॉक प्रमुख ने किसानों के लिए मुआवजे की मांग की - Hindustan,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNR3BhU2VkQkw1d28zTWZHVXFBMFFNNkpZbjdMRFpQdW40d2duQVhmd1ZjNVhEMzQ5SzNicUF6LWtNZUc3UkxxVVIydnF3YU9EenRFRVlsLUw1c19UU2tWMDhwVmViQzBvMXRleHRIVldqMmNkbFlqREs4ODBuYmpveUVoWTJxYW1sRjhRcEhZUEJ3YWdsbERTRWJfTkRJNFhfX0t6dWJxT2Jqa3dVb0FXMlU4NU5kbTNxTXphTTd4eVdtVzNGN2FTbXJCWDNlS0dEX210MnRBa2d2WEJyakdGanMxTGowSDYyWGd30gHrAUFVX3lxTE1HcGFTZWRCTDV3bzNNZkdVcUEwUU02SlluN0xEWlB1bjR3Z25BWGZ3VmM1WEQzNDlLM2JxQXota01lRzdSTHFVUjJ2cXdhT0R6dEVFWWwtTDVzX1RTa1YwOHBWZWJDMG8xdGV4dEhWV2oyY2RsWWpESzg4MG5iam95RWhZMnFhbWxGOFFwSFlQQndhZ2xsRFNFYl9OREk0WF9fS3p1YnFPYmprd1VvQVcyVTg1TmRtM3FNemFNN3h5V21XM0Y3YVNtckJYM2VLR0RfbXQydEFrZ3ZYQnJqR0ZqczFMajBINjJYZ3c?oc=5,2025-06-15 00:21:13,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNR3BhU2VkQkw1d28zTWZHVXFBMFFNNkpZbjdMRFpQdW40d2duQVhmd1ZjNVhEMzQ5SzNicUF6LWtNZUc3UkxxVVIydnF3YU9EenRFRVlsLUw1c19UU2tWMDhwVmViQzBvMXRleHRIVldqMmNkbFlqREs4ODBuYmpveUVoWTJxYW1sRjhRcEhZUEJ3YWdsbERTRWJfTkRJNFhfX0t6dWJxT2Jqa3dVb0FXMlU4NU5kbTNxTXphTTd4eVdtVzNGN2FTbXJCWDNlS0dEX210MnRBa2d2WEJyakdGanMxTGowSDYyWGd30gHrAUFVX3lxTE1HcGFTZWRCTDV3bzNNZkdVcUEwUU02SlluN0xEWlB1bjR3Z25BWGZ3VmM1WEQzNDlLM2JxQXota01lRzdSTHFVUjJ2cXdhT0R6dEVFWWwtTDVzX1RTa1YwOHBWZWJDMG8xdGV4dEhWV2oyY2RsWWpESzg4MG5iam95RWhZMnFhbWxGOFFwSFlQQndhZ2xsRFNFYl9OREk0WF9fS3p1YnFPYmprd1VvQVcyVTg1TmRtM3FNemFNN3h5V21XM0Y3YVNtckJYM2VLR0RfbXQydEFrZ3ZYQnJqR0ZqczFMajBINjJYZ3c?oc=5"" target=""_blank"">जानी ब्लॉक प्रमुख ने किसानों के लिए मुआवजे की मांग की</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"मिर्जापुर के कई इलाकों में बारिश और आंधी-तूफान, गर्मी से मिली राहत, देखें VIDEO - Amar Ujala",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQR2FzckVGMGw5Rzk5dDczWnhNU3ZwcEJHWDM3ZWxOMWQ2WDdWazQzNkpPU3hzeTFQbzRQSWwwRnBTeVJGQmcxUVpaa25pRW9TMXB5NzJITFp3RGJQOWpHMERVT1BPM1FEWjFOdExDZ0hzN2gyQktiZHFtQVZmVmIxWTF3ekdYRHB0RVl6NVpGaEE0bjJfRFRBUUJVa0hMV2pWT3F3Z1Utd0puSkZmUmw1bDNRWXZ4bThLMGxZU25DOE45ejlNclVNbDQ4MUFfMFNWYzA4NUVR0gHbAUFVX3lxTE01LUdta1ZRbHc4Z1lZdzdJRFlZRVVxYlVFdG0yQ3lYc2h5NUcyS1J0UWM0SFlYVlRuU1U5UTBCdkhMZktFcjVTbGM0YVpPZzNELWtDYzdHWTFNOUtpRFA2Yl9lQUYyWGplLW1FN2lHdUFVQmczSEZYYmMxRFRrYjBuWnJaSnBGQXdLYmM3TVE5WUFZYWUyU0t4UUg0emlqTkcyTWJ5a29WRVZjTUtZMGZhMjdKVWY1cEp5dFprV2Y5RThKQzlqUmJBUV9Pc2E0VTZ3SmJpT0JwX3RyNA?oc=5,2025-06-14 23:37:58,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQR2FzckVGMGw5Rzk5dDczWnhNU3ZwcEJHWDM3ZWxOMWQ2WDdWazQzNkpPU3hzeTFQbzRQSWwwRnBTeVJGQmcxUVpaa25pRW9TMXB5NzJITFp3RGJQOWpHMERVT1BPM1FEWjFOdExDZ0hzN2gyQktiZHFtQVZmVmIxWTF3ekdYRHB0RVl6NVpGaEE0bjJfRFRBUUJVa0hMV2pWT3F3Z1Utd0puSkZmUmw1bDNRWXZ4bThLMGxZU25DOE45ejlNclVNbDQ4MUFfMFNWYzA4NUVR0gHbAUFVX3lxTE01LUdta1ZRbHc4Z1lZdzdJRFlZRVVxYlVFdG0yQ3lYc2h5NUcyS1J0UWM0SFlYVlRuU1U5UTBCdkhMZktFcjVTbGM0YVpPZzNELWtDYzdHWTFNOUtpRFA2Yl9lQUYyWGplLW1FN2lHdUFVQmczSEZYYmMxRFRrYjBuWnJaSnBGQXdLYmM3TVE5WUFZYWUyU0t4UUg0emlqTkcyTWJ5a29WRVZjTUtZMGZhMjdKVWY1cEp5dFprV2Y5RThKQzlqUmJBUV9Pc2E0VTZ3SmJpT0JwX3RyNA?oc=5"" target=""_blank"">मिर्जापुर के कई इलाकों में बारिश और आंधी-तूफान, गर्मी से मिली राहत, देखें VIDEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
"Video | Himachal Pradesh: Chamba में भारी Landslide से मचा हड़कंप, देखें Viral Video - NDTV.in",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQd0tDZUVqWUhUSEFhcGdTVnFwQTU2blhwd1k1QkZoMUlwNkIzbmxSeDdUZGNHcnk3bklEOENFTThYNzNoakx0WDFkNUZkemhkNThFanJqTHBwbDZzNmstaHdUa2k5aS1ER0pXSVRsX1NsR282WXRPS25IajFqOVRqNE55YUpfbS1adVRBa0QxWUx2MGhIdkExRmVoTFhNRzRSVmFnNHJTLXI?oc=5,2025-06-14 14:31:30,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQd0tDZUVqWUhUSEFhcGdTVnFwQTU2blhwd1k1QkZoMUlwNkIzbmxSeDdUZGNHcnk3bklEOENFTThYNzNoakx0WDFkNUZkemhkNThFanJqTHBwbDZzNmstaHdUa2k5aS1ER0pXSVRsX1NsR282WXRPS25IajFqOVRqNE55YUpfbS1adVRBa0QxWUx2MGhIdkExRmVoTFhNRzRSVmFnNHJTLXI?oc=5"" target=""_blank"">Video | Himachal Pradesh: Chamba में भारी Landslide से मचा हड़कंप, देखें Viral Video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"चंबा में दरका पहाड़, सड़क पर बिखरा मलबा... भयानक भूस्खलन का वीडियो आया सामने, कुंडी-सुनारा मार्ग पर आवागमन बंद - आज तक",https://news.google.com/rss/articles/CBMi7wFBVV95cUxOdG5rNWN5YmoxVTgwYmtwRmY4U29lcFdERGZXOXlVZnBhVHg1QUNqbGJoNFVZa0Q2c2lzN0xuUFJmeFZGY3Z1Sk03T1E1MHdIZS1RUFZDTzZ2NHo1bzJIYjRKZ0djcW5CaEllczdRSk02QzFBWGdQQXROZWgydmRwMmhhcDRwYkN0bHlnX2tsWG1fZHZQWGFxUzJDb200LW5BRnQ3NzNnY01VODhNM2xoVDZyZHoyeUNxRURWNmtOdEU4V254MVZGTVdUdEVobGJROEdDZzdGTjVyeHk3eGxVY2hITkJOVTI4aWd2WnZmb9IB7wFBVV95cUxOdG5rNWN5YmoxVTgwYmtwRmY4U29lcFdERGZXOXlVZnBhVHg1QUNqbGJoNFVZa0Q2c2lzN0xuUFJmeFZGY3Z1Sk03T1E1MHdIZS1RUFZDTzZ2NHo1bzJIYjRKZ0djcW5CaEllczdRSk02QzFBWGdQQXROZWgydmRwMmhhcDRwYkN0bHlnX2tsWG1fZHZQWGFxUzJDb200LW5BRnQ3NzNnY01VODhNM2xoVDZyZHoyeUNxRURWNmtOdEU4V254MVZGTVdUdEVobGJROEdDZzdGTjVyeHk3eGxVY2hITkJOVTI4aWd2WnZmbw?oc=5,2025-06-14 13:40:25,आज तक,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxOdG5rNWN5YmoxVTgwYmtwRmY4U29lcFdERGZXOXlVZnBhVHg1QUNqbGJoNFVZa0Q2c2lzN0xuUFJmeFZGY3Z1Sk03T1E1MHdIZS1RUFZDTzZ2NHo1bzJIYjRKZ0djcW5CaEllczdRSk02QzFBWGdQQXROZWgydmRwMmhhcDRwYkN0bHlnX2tsWG1fZHZQWGFxUzJDb200LW5BRnQ3NzNnY01VODhNM2xoVDZyZHoyeUNxRURWNmtOdEU4V254MVZGTVdUdEVobGJROEdDZzdGTjVyeHk3eGxVY2hITkJOVTI4aWd2WnZmb9IB7wFBVV95cUxOdG5rNWN5YmoxVTgwYmtwRmY4U29lcFdERGZXOXlVZnBhVHg1QUNqbGJoNFVZa0Q2c2lzN0xuUFJmeFZGY3Z1Sk03T1E1MHdIZS1RUFZDTzZ2NHo1bzJIYjRKZ0djcW5CaEllczdRSk02QzFBWGdQQXROZWgydmRwMmhhcDRwYkN0bHlnX2tsWG1fZHZQWGFxUzJDb200LW5BRnQ3NzNnY01VODhNM2xoVDZyZHoyeUNxRURWNmtOdEU4V254MVZGTVdUdEVobGJROEdDZzdGTjVyeHk3eGxVY2hITkJOVTI4aWd2WnZmbw?oc=5"" target=""_blank"">चंबा में दरका पहाड़, सड़क पर बिखरा मलबा... भयानक भूस्खलन का वीडियो आया सामने, कुंडी-सुनारा मार्ग पर आवागमन बंद</a>&nbsp;&nbsp;<font color=""#6f6f6f"">आज तक</font>",Disaster,hi
"Weather Alert: 14,15,16 से 20 जून तक गरजेंगे बादल, पंजाब-दिल्ली समेत इन राज्यों में बारिश का अलर्ट - Punjab Kesari",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOSDl0R0NacXVLbmFtSGE2MVFXVE85YU9rNVBBNFFtWTF2dFpKVG0zUmtVV0pUUjVWUU9mLVkzbzZPUUVUcmVQZGx2cnB5am5Sd214MkdZc2tJdkpfeldkNHg2eFdidktialdCRlJUcFdJUzc5OGFMZE5rcUpHVlZqY29pWk9lVjMyaHlWX09Najh5SDBpczRDTjRpUG9NODItMlcxLUtEMER1dWRQUnFxTGJlUTYyaXdCUlNjY0M2Q3hqQdIBwgFBVV95cUxOSDl0R0NacXVLbmFtSGE2MVFXVE85YU9rNVBBNFFtWTF2dFpKVG0zUmtVV0pUUjVWUU9mLVkzbzZPUUVUcmVQZGx2cnB5am5Sd214MkdZc2tJdkpfeldkNHg2eFdidktialdCRlJUcFdJUzc5OGFMZE5rcUpHVlZqY29pWk9lVjMyaHlWX09Najh5SDBpczRDTjRpUG9NODItMlcxLUtEMER1dWRQUnFxTGJlUTYyaXdCUlNjY0M2Q3hqQQ?oc=5,2025-06-14 18:33:00,Punjab Kesari,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOSDl0R0NacXVLbmFtSGE2MVFXVE85YU9rNVBBNFFtWTF2dFpKVG0zUmtVV0pUUjVWUU9mLVkzbzZPUUVUcmVQZGx2cnB5am5Sd214MkdZc2tJdkpfeldkNHg2eFdidktialdCRlJUcFdJUzc5OGFMZE5rcUpHVlZqY29pWk9lVjMyaHlWX09Najh5SDBpczRDTjRpUG9NODItMlcxLUtEMER1dWRQUnFxTGJlUTYyaXdCUlNjY0M2Q3hqQdIBwgFBVV95cUxOSDl0R0NacXVLbmFtSGE2MVFXVE85YU9rNVBBNFFtWTF2dFpKVG0zUmtVV0pUUjVWUU9mLVkzbzZPUUVUcmVQZGx2cnB5am5Sd214MkdZc2tJdkpfeldkNHg2eFdidktialdCRlJUcFdJUzc5OGFMZE5rcUpHVlZqY29pWk9lVjMyaHlWX09Najh5SDBpczRDTjRpUG9NODItMlcxLUtEMER1dWRQUnFxTGJlUTYyaXdCUlNjY0M2Q3hqQQ?oc=5"" target=""_blank"">Weather Alert: 14,15,16 से 20 जून तक गरजेंगे बादल, पंजाब-दिल्ली समेत इन राज्यों में बारिश का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Punjab Kesari</font>",Disaster,hi
"एमपी में आंधी-तूफान से मची तबाही, बिजली गिरने से 4 की मौत, भारी नुकसान भी - Patrika News",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOSWhTb0c5QVFMSlEzRVE4NWdWTDlBRUhTOHZjbGcxY0dxZjNzUmdGM25XWlZkbE1zYkhDOUEzU285dWlFa0UxVEhJZ3ZuSVkzVml0SkN4bWJQbU9GSG1zbWpVaVB2bGlIZksyTTJwVEpSOGk0SXRRZGtCblhCTHExcU5Ca09hSW9EejhmVV83OE9vMmY1OVlnSWF3S3JYQzZRam5KQnNtUXV0QUtkMkNFTEFQUHFDcUR0Z3NyYlFJLWNIR29UcktuMjA5cEtUeXNwQUFOedIB1AFBVV95cUxOSWhTb0c5QVFMSlEzRVE4NWdWTDlBRUhTOHZjbGcxY0dxZjNzUmdGM25XWlZkbE1zYkhDOUEzU285dWlFa0UxVEhJZ3ZuSVkzVml0SkN4bWJQbU9GSG1zbWpVaVB2bGlIZksyTTJwVEpSOGk0SXRRZGtCblhCTHExcU5Ca09hSW9EejhmVV83OE9vMmY1OVlnSWF3S3JYQzZRam5KQnNtUXV0QUtkMkNFTEFQUHFDcUR0Z3NyYlFJLWNIR29UcktuMjA5cEtUeXNwQUFOeQ?oc=5,2025-06-14 11:16:45,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOSWhTb0c5QVFMSlEzRVE4NWdWTDlBRUhTOHZjbGcxY0dxZjNzUmdGM25XWlZkbE1zYkhDOUEzU285dWlFa0UxVEhJZ3ZuSVkzVml0SkN4bWJQbU9GSG1zbWpVaVB2bGlIZksyTTJwVEpSOGk0SXRRZGtCblhCTHExcU5Ca09hSW9EejhmVV83OE9vMmY1OVlnSWF3S3JYQzZRam5KQnNtUXV0QUtkMkNFTEFQUHFDcUR0Z3NyYlFJLWNIR29UcktuMjA5cEtUeXNwQUFOedIB1AFBVV95cUxOSWhTb0c5QVFMSlEzRVE4NWdWTDlBRUhTOHZjbGcxY0dxZjNzUmdGM25XWlZkbE1zYkhDOUEzU285dWlFa0UxVEhJZ3ZuSVkzVml0SkN4bWJQbU9GSG1zbWpVaVB2bGlIZksyTTJwVEpSOGk0SXRRZGtCblhCTHExcU5Ca09hSW9EejhmVV83OE9vMmY1OVlnSWF3S3JYQzZRam5KQnNtUXV0QUtkMkNFTEFQUHFDcUR0Z3NyYlFJLWNIR29UcktuMjA5cEtUeXNwQUFOeQ?oc=5"" target=""_blank"">एमपी में आंधी-तूफान से मची तबाही, बिजली गिरने से 4 की मौत, भारी नुकसान भी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Disaster,hi
"Ujjain News: ऐसा तूफान कि लोगों के देखते-देखते उड़ गया टीन शेड, घटना का वीडियो हो रहा वायरल - Amar Ujala",https://news.google.com/rss/articles/CBMisgJBVV95cUxPT1pmYmN0NmIyQldxNFpCSEZ6Y0lyUjRvWHo0dzY4ZlVxUUtoNmk3dVduaUlkSjEzbXpwZlowUkpBRFgzTU5mdm9nQ2hpZ0JwdGZhQ0RlR3NkZlVCV24yaGFXSmZPN3ZmTG40TlFWY0l3MmJzNGF4emFZTTd0NlVJRXl5MW9fUjd4LUVGcEVJUmVrTWszdjlxVjNxbEdoWm1hWl82YnVqa0FBcFZ6QkNLWDdSVENaaTNPZE5Vc2M4ZXhOeG1HVG56TG9RajhKMjVxNDA1eDBtVzZvU0lyNVRvWVdLUHkxNDZqbk9yTkF1OEVuWTBPb05Vbm8zZU11dS12bC1Xc2lIeXBNVU1QS3JoRl80X3pza1l5dnJNZm1yVmFNeklaZXlVNlJleU41eGRxSWfSAbcCQVVfeXFMUGN3VFBVR1pvSngtbm01Z1RaM19sRlFzVEoyRkt3VENvMXRQeVZONW1HUDNxb19lSEpXTFdEWTNiVFhYY2lRTHJFaFJSdmhYdkZPX29YQV9tcGNPVzFiNEJkdE81Y1NwRHlnQVpWUllXcE1kOVU1dnNVNkduVHBzeUYwTTVQWEVCbDgxZHdBVFBoUVl5STg1eC1hbTVCVlFSalVwdXVDS2tPRlhnS1NyMU5CSjJaREZUNHJrVFhodWpTVWpYTk5VSWxEeG5hZHF4UF9DU2wyeUxRQmt6OC0yaDhuX1FENGtsc3cxVkMtZndPRFJwYmZndlkyUkYwUGZKWlJDWVBmc3N3ZEtFZHhvWkFFOUM5ejk2SUlyQjZkVDgydjcyLThTbVJjNF9mMkJuUUxMOGdNazA?oc=5,2025-06-14 23:14:01,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMisgJBVV95cUxPT1pmYmN0NmIyQldxNFpCSEZ6Y0lyUjRvWHo0dzY4ZlVxUUtoNmk3dVduaUlkSjEzbXpwZlowUkpBRFgzTU5mdm9nQ2hpZ0JwdGZhQ0RlR3NkZlVCV24yaGFXSmZPN3ZmTG40TlFWY0l3MmJzNGF4emFZTTd0NlVJRXl5MW9fUjd4LUVGcEVJUmVrTWszdjlxVjNxbEdoWm1hWl82YnVqa0FBcFZ6QkNLWDdSVENaaTNPZE5Vc2M4ZXhOeG1HVG56TG9RajhKMjVxNDA1eDBtVzZvU0lyNVRvWVdLUHkxNDZqbk9yTkF1OEVuWTBPb05Vbm8zZU11dS12bC1Xc2lIeXBNVU1QS3JoRl80X3pza1l5dnJNZm1yVmFNeklaZXlVNlJleU41eGRxSWfSAbcCQVVfeXFMUGN3VFBVR1pvSngtbm01Z1RaM19sRlFzVEoyRkt3VENvMXRQeVZONW1HUDNxb19lSEpXTFdEWTNiVFhYY2lRTHJFaFJSdmhYdkZPX29YQV9tcGNPVzFiNEJkdE81Y1NwRHlnQVpWUllXcE1kOVU1dnNVNkduVHBzeUYwTTVQWEVCbDgxZHdBVFBoUVl5STg1eC1hbTVCVlFSalVwdXVDS2tPRlhnS1NyMU5CSjJaREZUNHJrVFhodWpTVWpYTk5VSWxEeG5hZHF4UF9DU2wyeUxRQmt6OC0yaDhuX1FENGtsc3cxVkMtZndPRFJwYmZndlkyUkYwUGZKWlJDWVBmc3N3ZEtFZHhvWkFFOUM5ejk2SUlyQjZkVDgydjcyLThTbVJjNF9mMkJuUUxMOGdNazA?oc=5"" target=""_blank"">Ujjain News: ऐसा तूफान कि लोगों के देखते-देखते उड़ गया टीन शेड, घटना का वीडियो हो रहा वायरल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
"आगरा-दिल्ली में भीषण गर्मी से राहत के आसार! आज आंधी-तूफान और बारिश का अनुमान, तापमान में आएगी बड़ी गिरावट - agra bharat",https://news.google.com/rss/articles/CBMiswFBVV95cUxORmMteWh3X0pRZFNhazUwTWpxYzdvbVJsc0R3Nl9YcjZkOGJpX0dUc1hrb3BKZ2RLalRJSW5Td29NVVJWd3JUbUVDM1RFbHdCUnBxZHNfSmxJMHd4WmVxNGEwb3hmY1FvWUN6akZMYlNQRW9pMlM2LTZoUEhWWVFwZ0NJNGtlMmdmZFRFMkpSZUxfcUduYV9zc2tqd0tQZGw0bklnem9CTmZsYUhFbXJCS2JzUQ?oc=5,2025-06-14 15:01:58,agra bharat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxORmMteWh3X0pRZFNhazUwTWpxYzdvbVJsc0R3Nl9YcjZkOGJpX0dUc1hrb3BKZ2RLalRJSW5Td29NVVJWd3JUbUVDM1RFbHdCUnBxZHNfSmxJMHd4WmVxNGEwb3hmY1FvWUN6akZMYlNQRW9pMlM2LTZoUEhWWVFwZ0NJNGtlMmdmZFRFMkpSZUxfcUduYV9zc2tqd0tQZGw0bklnem9CTmZsYUhFbXJCS2JzUQ?oc=5"" target=""_blank"">आगरा-दिल्ली में भीषण गर्मी से राहत के आसार! आज आंधी-तूफान और बारिश का अनुमान, तापमान में आएगी बड़ी गिरावट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">agra bharat</font>",Disaster,hi
"तूफान-धमाके और बारिश, गर्मी और बढ़ी - Janta Se Rishta",https://news.google.com/rss/articles/CBMif0FVX3lxTFB1LUFrY211MGlYS1plS2wycmhtZGRJbFJJRHRhcEdiYUdHUlhqbDJHMVZvYU9HUjNsUS15VWlCWDl6RC1qbGZBa1loeXM3b3dSOWtudW1vallKS0lsR3lSMi1lNjhPb1V1d25CeXZmLTQySVpsRG9RYVdPOUhOTXPSAYQBQVVfeXFMT2FGWW1iYkJFNzBSSjBLWTQ1ZnpMZHd1cDJ3cl9hNmFUMTFKUFNhUjhXNklOdFJqaldqNGlPUlZYMDhXREVpSk9RSHR3Vl9SaFhQV2ZQMEd6ekEwWGk0OEdJSHNhV3VIV21aTWNZWW1BcXRubnVSUzJaVm5BQy1FTGNCRTh2?oc=5,2025-06-14 17:00:02,Janta Se Rishta,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTFB1LUFrY211MGlYS1plS2wycmhtZGRJbFJJRHRhcEdiYUdHUlhqbDJHMVZvYU9HUjNsUS15VWlCWDl6RC1qbGZBa1loeXM3b3dSOWtudW1vallKS0lsR3lSMi1lNjhPb1V1d25CeXZmLTQySVpsRG9RYVdPOUhOTXPSAYQBQVVfeXFMT2FGWW1iYkJFNzBSSjBLWTQ1ZnpMZHd1cDJ3cl9hNmFUMTFKUFNhUjhXNklOdFJqaldqNGlPUlZYMDhXREVpSk9RSHR3Vl9SaFhQV2ZQMEd6ekEwWGk0OEdJSHNhV3VIV21aTWNZWW1BcXRubnVSUzJaVm5BQy1FTGNCRTh2?oc=5"" target=""_blank"">तूफान-धमाके और बारिश, गर्मी और बढ़ी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Se Rishta</font>",Disaster,hi
