Title,Link,Date,Source,Summary,Term,LanguageQueried
"Himachal Mausam: हिमाचल में गर्मी का सितम जारी, कई जिलों में लू चलने की चेतावनी; ऊना में सबसे ज्यादा तापमान - Jagran",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNdmV3VEpJZkQzM21LeFZyU2syd2ZLNW91RDhOZUVGaDZtTElST3N2cUM1dXhnQ1oybHhfQ0xHc1huNnJVcmlPUFYxT21ZYmU2d29IWjVHMF9RaDFRQlQ5WkdKX1RQT1h6Q0dJZ2RPNjRXTTlHZXhUY3NvQnhQOE44TXhINldoQU1SWkZoSmxHNHY2Zno4NXhTUU1hamZzSS1Sb1g1bVFfeEdkaVBvS0tONzZpdlI1YnlwTkJ0RjUtb0Y2LVZERktwNG82bXhjdW90bFl6SUIxN1NjYm90a1ZvQ1FwX3FCLUo2TVZBTTB3?oc=5,2025-04-06 07:24:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNdmV3VEpJZkQzM21LeFZyU2syd2ZLNW91RDhOZUVGaDZtTElST3N2cUM1dXhnQ1oybHhfQ0xHc1huNnJVcmlPUFYxT21ZYmU2d29IWjVHMF9RaDFRQlQ5WkdKX1RQT1h6Q0dJZ2RPNjRXTTlHZXhUY3NvQnhQOE44TXhINldoQU1SWkZoSmxHNHY2Zno4NXhTUU1hamZzSS1Sb1g1bVFfeEdkaVBvS0tONzZpdlI1YnlwTkJ0RjUtb0Y2LVZERktwNG82bXhjdW90bFl6SUIxN1NjYm90a1ZvQ1FwX3FCLUo2TVZBTTB3?oc=5"" target=""_blank"">Himachal Mausam: हिमाचल में गर्मी का सितम जारी, कई जिलों में लू चलने की चेतावनी; ऊना में सबसे ज्यादा तापमान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Heatwave,hi
"Himachal Weather : प्रदेश में गर्मी छुड़ाने लगी पसीने, इन जिलों में लू का यलो अलर्ट - Divya Himachal",https://news.google.com/rss/articles/CBMi7AFBVV95cUxOREpYTGMwSG10NlV4WUtncmJkUnp6dW1YVTdhd1FaYXVqbEVlUFNURG0wSmdDRHFkZ0I3WVZLaE1wMWRESWxzYXBISDJiYlFlQmp2NnlnbE80ZmlEVjJZU01ZMDlmMjFsdnp4RTQ4Y3hFX1dhek94c1pGRmJyYXZmbjhQdHp0RzZsWGcweF82ZlY2REVYdzR4ZUw4Zkd1SmY2VmZha0cwd09oVF9lS3cwWWdkYkcydExZLUxxX3FwcThESDZlTU5zWmFqSWxHaFpGSy1lb0E3X0ZLZHFmT2k4SmI3OS1MOHEtSlBQb9IB8gFBVV95cUxQNkNUSmdMNkJnVWhEaU1WVl9IV2JTa25Wb1Z4MEhUS0wwcXJERmZxRHVVcm1ZZ0k0SllMMlM4RGFtT0FiNzF0ZXFaT2UxRi12OEpGRzFCTk1oSE0tSTRWbExTOU9vS1gwWU5SR0dna3F6VVpTUUxHd2swVWE1OEtUNzZKbGhlTDFBd1ZlWElrTHFWandndWFCZWlNSnl5LTVGaHNrSl80RHlpemkzaHNLcXRCcmtMaExPeEFvdWJ0a1FXdWEtTVRPVVZ5ME4zWGtxX2N5bXRXU1B2am9QNDJUMzZhemtoanI1b2N3X2Y2TWJzdw?oc=5,2025-04-05 22:05:00,Divya Himachal,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOREpYTGMwSG10NlV4WUtncmJkUnp6dW1YVTdhd1FaYXVqbEVlUFNURG0wSmdDRHFkZ0I3WVZLaE1wMWRESWxzYXBISDJiYlFlQmp2NnlnbE80ZmlEVjJZU01ZMDlmMjFsdnp4RTQ4Y3hFX1dhek94c1pGRmJyYXZmbjhQdHp0RzZsWGcweF82ZlY2REVYdzR4ZUw4Zkd1SmY2VmZha0cwd09oVF9lS3cwWWdkYkcydExZLUxxX3FwcThESDZlTU5zWmFqSWxHaFpGSy1lb0E3X0ZLZHFmT2k4SmI3OS1MOHEtSlBQb9IB8gFBVV95cUxQNkNUSmdMNkJnVWhEaU1WVl9IV2JTa25Wb1Z4MEhUS0wwcXJERmZxRHVVcm1ZZ0k0SllMMlM4RGFtT0FiNzF0ZXFaT2UxRi12OEpGRzFCTk1oSE0tSTRWbExTOU9vS1gwWU5SR0dna3F6VVpTUUxHd2swVWE1OEtUNzZKbGhlTDFBd1ZlWElrTHFWandndWFCZWlNSnl5LTVGaHNrSl80RHlpemkzaHNLcXRCcmtMaExPeEFvdWJ0a1FXdWEtTVRPVVZ5ME4zWGtxX2N5bXRXU1B2am9QNDJUMzZhemtoanI1b2N3X2Y2TWJzdw?oc=5"" target=""_blank"">Himachal Weather : प्रदेश में गर्मी छुड़ाने लगी पसीने, इन जिलों में लू का यलो अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Divya Himachal</font>",Heatwave,hi
"कल का मौसम 06 April 2025 : उमड़-घुमड़ कर छाएंगे बादल, बारिश के साथ आधी-ओलावृष्टि का खतरा; मौसम विभाग का बड़ा अ - Times Now Navbharat",https://news.google.com/rss/articles/CBMioAJBVV95cUxObUFMUnZRYVFSeDRCd3U5UVlMM2Z3WDNlbDE4Yl9pVkJVUEhJMmlPQVdDWkJNRG9YeXVpVWxPcTYwN285OTFFUDRvRmZhQVQwcVEtaWZoRkNCeWpWYnUwMGJ3Nzc3S3hITElISVNfNVpkZTVUdGtsejVQYnozRjZKdlpXNV9VamZ0Rkc2Y2tocG85bTRmOXZmWm5xcWJMaVdKWlJnal9CelNUS2l2bUdnSGNMb0lUVUJka1Ffa3dkQVF2RHEzbGNkdWNNNWRDMkNKWmt6NlR2aG9YcXhGTEwwbk5VbVZGd0hqOTdYbG9mUHFldVdlRVRMMHM5RXprRlR1MnFFb0czRG44bnB3VVlHOVJiSlZCYV9Bb3o5MVYtTmTSAaYCQVVfeXFMTnZXSVVxaHJnOXVWMFhwWTdRTXRCaW90T3hlQzg2T2hacTI4c3Y1QXZmSlBuUlg5WDlZV1JqNzNzb2t2d01PVTlIRGVmT3U5QldhM2NBdktMN050ZHFBUC15T1JDZngtSlVKeEx3WlJXNmd4LUQtSS03YkZfWTZDN1E0ek9rN0VkdzFjNktNYTdLOERQV2pOeHVNb1JzbUE5MExvSlJTYWZSbWk2ZXM3d3U4MXZjcWRqcmVEMDBNVTQ3OWtwQzVLb2xMb291X0FTUWpNWjBZZ3VwczdnQlh5aGFzZTBqMzhVdFNlV2Nhek93QUxnSGVsN2Q2M29qcXRfOFUtUzV6MHlzTk1RT2pnTXlNUU5MdlJFWG12OHBBeHVxRlB5UTNn?oc=5,2025-04-05 16:32:12,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMioAJBVV95cUxObUFMUnZRYVFSeDRCd3U5UVlMM2Z3WDNlbDE4Yl9pVkJVUEhJMmlPQVdDWkJNRG9YeXVpVWxPcTYwN285OTFFUDRvRmZhQVQwcVEtaWZoRkNCeWpWYnUwMGJ3Nzc3S3hITElISVNfNVpkZTVUdGtsejVQYnozRjZKdlpXNV9VamZ0Rkc2Y2tocG85bTRmOXZmWm5xcWJMaVdKWlJnal9CelNUS2l2bUdnSGNMb0lUVUJka1Ffa3dkQVF2RHEzbGNkdWNNNWRDMkNKWmt6NlR2aG9YcXhGTEwwbk5VbVZGd0hqOTdYbG9mUHFldVdlRVRMMHM5RXprRlR1MnFFb0czRG44bnB3VVlHOVJiSlZCYV9Bb3o5MVYtTmTSAaYCQVVfeXFMTnZXSVVxaHJnOXVWMFhwWTdRTXRCaW90T3hlQzg2T2hacTI4c3Y1QXZmSlBuUlg5WDlZV1JqNzNzb2t2d01PVTlIRGVmT3U5QldhM2NBdktMN050ZHFBUC15T1JDZngtSlVKeEx3WlJXNmd4LUQtSS03YkZfWTZDN1E0ek9rN0VkdzFjNktNYTdLOERQV2pOeHVNb1JzbUE5MExvSlJTYWZSbWk2ZXM3d3U4MXZjcWRqcmVEMDBNVTQ3OWtwQzVLb2xMb291X0FTUWpNWjBZZ3VwczdnQlh5aGFzZTBqMzhVdFNlV2Nhek93QUxnSGVsN2Q2M29qcXRfOFUtUzV6MHlzTk1RT2pnTXlNUU5MdlJFWG12OHBBeHVxRlB5UTNn?oc=5"" target=""_blank"">कल का मौसम 06 April 2025 : उमड़-घुमड़ कर छाएंगे बादल, बारिश के साथ आधी-ओलावृष्टि का खतरा; मौसम विभाग का बड़ा अ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Heatwave,hi
From Sizzling Heat to Stormy Skies: IMD Predicts April’s Extremes - Pragativadi,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSml3NThabzVFLVhFRHdIOUM3QUpqRjItclRTT3dyQ1lXRllSTlFuR2JuXzQ3UTU3N05JLVNRTTlqSGZyVzZ4LV9XOFpVZlltNkJ1S0pvWnFHVWZrYzg2TjI4VGkxRWZGemRXZFN5VFpwNVBLQXJhUEd6TURBanZYbWN0aTA1SWNzVTZDOTZ1WXU4Zw?oc=5,2025-04-05 18:55:09,Pragativadi,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNSml3NThabzVFLVhFRHdIOUM3QUpqRjItclRTT3dyQ1lXRllSTlFuR2JuXzQ3UTU3N05JLVNRTTlqSGZyVzZ4LV9XOFpVZlltNkJ1S0pvWnFHVWZrYzg2TjI4VGkxRWZGemRXZFN5VFpwNVBLQXJhUEd6TURBanZYbWN0aTA1SWNzVTZDOTZ1WXU4Zw?oc=5"" target=""_blank"">From Sizzling Heat to Stormy Skies: IMD Predicts April’s Extremes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pragativadi</font>",Heatwave,en
IMD warns of heatwave conditions in Delhi and these states; temperature to touch 42 degrees - Hindustan Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOUU9sX002VUlBaXBBbjdzYk1UMTl3RlU5SXFURjdWcXJvaVlQcjVTUmVnSWpRSTgzNDRyOGthaFp1YkpaTTN4b1NkYm0zam5IZWJtMEs5RVNHVmhHR2Q5cU5Vd2steWlHTGxNczRvckdYdjNCZTk5WjhuRlppNWVMOWFBYm40Z01odk85eXQxNFQ5T2V6MDJRWVRqOGpkeTdDZTJJTU9xNFNqYzV0MlAxQ05PRVkxbXBBejFoMFZpMnFFbDhPZHE1Rm9BYVFsRm1xenhsQkZiM1pieTdhVktyU2daMjEzSDA?oc=5,2025-04-05 10:42:48,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOUU9sX002VUlBaXBBbjdzYk1UMTl3RlU5SXFURjdWcXJvaVlQcjVTUmVnSWpRSTgzNDRyOGthaFp1YkpaTTN4b1NkYm0zam5IZWJtMEs5RVNHVmhHR2Q5cU5Vd2steWlHTGxNczRvckdYdjNCZTk5WjhuRlppNWVMOWFBYm40Z01odk85eXQxNFQ5T2V6MDJRWVRqOGpkeTdDZTJJTU9xNFNqYzV0MlAxQ05PRVkxbXBBejFoMFZpMnFFbDhPZHE1Rm9BYVFsRm1xenhsQkZiM1pieTdhVktyU2daMjEzSDA?oc=5"" target=""_blank"">IMD warns of heatwave conditions in Delhi and these states; temperature to touch 42 degrees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
Severe Heatwave Alert: IMD Predicts 42°C in Delhi and North India – April 2025 Update - Hindustan Herald,https://news.google.com/rss/articles/CBMibkFVX3lxTFBpN2JmRU9YTHEyUHc5bF9TZHlTVzZ0cV9sSnBmb3d3dGpraDFndXExaDZXYjJsSmY4eEEwWXJOd2l3bE56bHg5OUstaER5NFRfTXhIYU41ZFlJWkF0dTE5LWZ4Q0Rld0Jrdk4wWnZ3?oc=5,2025-04-05 15:06:00,Hindustan Herald,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFBpN2JmRU9YTHEyUHc5bF9TZHlTVzZ0cV9sSnBmb3d3dGpraDFndXExaDZXYjJsSmY4eEEwWXJOd2l3bE56bHg5OUstaER5NFRfTXhIYU41ZFlJWkF0dTE5LWZ4Q0Rld0Jrdk4wWnZ3?oc=5"" target=""_blank"">Severe Heatwave Alert: IMD Predicts 42°C in Delhi and North India – April 2025 Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Herald</font>",Heatwave,en
"Heatwave Grips North India as Delhi, Rajasthan, Gujarat on IMD Alert; Bangalore To Experience Light Rain - Goodreturns",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPeU0wejVHYlEtZ05YQTBOTzhEdE5MRFNsZURRV1dpUGc5VUpMNHVSRHVTVGQxcllCWGFlTVhSWVNXM0c2dGFnajZRdThoVkpGYU5ZZF9uWmc3VlRHdmZCazdwRDdvY255NFdVUWRwTVAyUmRraHFpU3M3dDlfaTJIV0tGV0VYUXNWeGZxRDJqTVRVZHpsU1ExZjBuRFJYWVJaSFRNcVo2LWVRUUdnU1d0bzRKcGpHc2tFVjVlejhmbGJJZW9uYWtDNFI0Yy1YUWNrOHA3bU9hcDQ?oc=5,2025-04-05 18:26:08,Goodreturns,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPeU0wejVHYlEtZ05YQTBOTzhEdE5MRFNsZURRV1dpUGc5VUpMNHVSRHVTVGQxcllCWGFlTVhSWVNXM0c2dGFnajZRdThoVkpGYU5ZZF9uWmc3VlRHdmZCazdwRDdvY255NFdVUWRwTVAyUmRraHFpU3M3dDlfaTJIV0tGV0VYUXNWeGZxRDJqTVRVZHpsU1ExZjBuRFJYWVJaSFRNcVo2LWVRUUdnU1d0bzRKcGpHc2tFVjVlejhmbGJJZW9uYWtDNFI0Yy1YUWNrOHA3bU9hcDQ?oc=5"" target=""_blank"">Heatwave Grips North India as Delhi, Rajasthan, Gujarat on IMD Alert; Bangalore To Experience Light Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Goodreturns</font>",Heatwave,en
"Weather alert: Heavy rain, hailstorm and heatwave warnings issued in these states - CNBC TV18",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPdEpzcGVoY0NKUDBSWHdPVkNQQzVReldlY2xobHFLYjA1eDdGX1l2WlpnVjJocE43RVdTa0RoYlVIaUhWTWFnR2taQ0VTVTRIVWpZZ0FjSGx0WXBqQ25TZlgxUk05a0Q3X0U5U0MxdDJlcWluVldZM0tVX2NHelBQdHNnUXFSVWpvWkNsdFFFS3VCNE8wUmRIN2lhX0d0bElWVi1XTG5kZjZoLUI1SEFwQy0yVEhnZGx1c2VhZEFMN3FYcC1TZUdONVJ1anRuMFVBaXVqZDJaQdIB3AFBVV95cUxPdzQ4bGdpTmhla0h4bHFMUFRNSTlMMkhjc1pGaHZQeUpxMm9pMlJ5SWhENGhiRm1oYUEwdkttQ0hTNEVUd3lfZXkzWTJFa09xZ2dlUWpBWGh6LTJIbGRSWUd1Z3RIblVTdU9WYlgyRGV6XzJLNGk4YktHclpkTW04TzRmUHZ6MjJHd280bzFnQUYzQWloUHdXWllGRGtWTGhFQzRSOVJXR2doVlZuMXN1WUJ1MnM2UEsyWkx1VEJ4VGVnTUNPbzF0OXJob1l1aU9mZDhkQnljWmxqSnpv?oc=5,2025-04-05 12:58:27,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPdEpzcGVoY0NKUDBSWHdPVkNQQzVReldlY2xobHFLYjA1eDdGX1l2WlpnVjJocE43RVdTa0RoYlVIaUhWTWFnR2taQ0VTVTRIVWpZZ0FjSGx0WXBqQ25TZlgxUk05a0Q3X0U5U0MxdDJlcWluVldZM0tVX2NHelBQdHNnUXFSVWpvWkNsdFFFS3VCNE8wUmRIN2lhX0d0bElWVi1XTG5kZjZoLUI1SEFwQy0yVEhnZGx1c2VhZEFMN3FYcC1TZUdONVJ1anRuMFVBaXVqZDJaQdIB3AFBVV95cUxPdzQ4bGdpTmhla0h4bHFMUFRNSTlMMkhjc1pGaHZQeUpxMm9pMlJ5SWhENGhiRm1oYUEwdkttQ0hTNEVUd3lfZXkzWTJFa09xZ2dlUWpBWGh6LTJIbGRSWUd1Z3RIblVTdU9WYlgyRGV6XzJLNGk4YktHclpkTW04TzRmUHZ6MjJHd280bzFnQUYzQWloUHdXWllGRGtWTGhFQzRSOVJXR2doVlZuMXN1WUJ1MnM2UEsyWkx1VEJ4VGVnTUNPbzF0OXJob1l1aU9mZDhkQnljWmxqSnpv?oc=5"" target=""_blank"">Weather alert: Heavy rain, hailstorm and heatwave warnings issued in these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
Temperature Set to Rise in Himachal; Met Department Issues Yellow Alert - The News Himachal,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPM2hVdnpGWFRtSW15UUY3ZUJtOFMxa2lkbi04V3dIbS1iRC1WVjlDQjNqMERNczVoSlFZM0tvSW5HYTlOSWZRLXl6a0hZMVlxZVpjRWNpWVh4QnZzMmVPTllkRXVVMGljazltY1pvOHFObmJucm9TTFNBNGFnRmFlR0E5UnFqRVhPYUV3Vm0yM0hSSGc2SXNERVktWDN1WGhDRHIxWlpPWXZTa00?oc=5,2025-04-05 14:26:37,The News Himachal,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPM2hVdnpGWFRtSW15UUY3ZUJtOFMxa2lkbi04V3dIbS1iRC1WVjlDQjNqMERNczVoSlFZM0tvSW5HYTlOSWZRLXl6a0hZMVlxZVpjRWNpWVh4QnZzMmVPTllkRXVVMGljazltY1pvOHFObmJucm9TTFNBNGFnRmFlR0E5UnFqRVhPYUV3Vm0yM0hSSGc2SXNERVktWDN1WGhDRHIxWlpPWXZTa00?oc=5"" target=""_blank"">Temperature Set to Rise in Himachal; Met Department Issues Yellow Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Himachal</font>",Heatwave,en
Heatwave Alert Issued for Northwest and Central India; Delhi May Touch 42°C by April 8 - Krishi Jagran,https://news.google.com/rss/articles/CBMitwFBVV95cUxQbm1tT3NZSlp2eURBSmNrNlZtOHNTNU11ajZqeHU3X09zTFh0SWxwaE9jWDBWem5TNmlBeHY3NTFta216djV6WUJqSHVlTHJ1eVJ6YnFBUkJsZHdBODhpNXR0aWR2QzNwa0VkZHV5QlU1a0pHd1dJanM2ellkUm5OUUlySEZZZjVLYW1KRFhGOHA5UGF0cERNWUdhREs3SHAwejl4aURZZWJOUnlublltS1A5RndWZTDSAb8BQVVfeXFMTUVtNm1FY2JRZUxOVy1xcUpRelVhSHdnZ09QbUJmQlNvRkh5T3RVdVpLbXJjdURaZmMxdEJPRWREVGRyZVJBb21DeUR6Zng4T0FWN3VITzFaYXZiUkhjM1hMM3lnZjVyRktMaWJZMWJGUHpqa0JlQ3c1dzhmR1AweUd6Ul9Xc0NBa0R2WTRmNzRuRzB4M0hZSTMwbXlWSU5aZktPbDBOVlQ2eEVMaFA5cTdObXdhcE9nbXY0ZFA1VUU?oc=5,2025-04-05 16:16:18,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQbm1tT3NZSlp2eURBSmNrNlZtOHNTNU11ajZqeHU3X09zTFh0SWxwaE9jWDBWem5TNmlBeHY3NTFta216djV6WUJqSHVlTHJ1eVJ6YnFBUkJsZHdBODhpNXR0aWR2QzNwa0VkZHV5QlU1a0pHd1dJanM2ellkUm5OUUlySEZZZjVLYW1KRFhGOHA5UGF0cERNWUdhREs3SHAwejl4aURZZWJOUnlublltS1A5RndWZTDSAb8BQVVfeXFMTUVtNm1FY2JRZUxOVy1xcUpRelVhSHdnZ09QbUJmQlNvRkh5T3RVdVpLbXJjdURaZmMxdEJPRWREVGRyZVJBb21DeUR6Zng4T0FWN3VITzFaYXZiUkhjM1hMM3lnZjVyRktMaWJZMWJGUHpqa0JlQ3c1dzhmR1AweUd6Ul9Xc0NBa0R2WTRmNzRuRzB4M0hZSTMwbXlWSU5aZktPbDBOVlQ2eEVMaFA5cTdObXdhcE9nbXY0ZFA1VUU?oc=5"" target=""_blank"">Heatwave Alert Issued for Northwest and Central India; Delhi May Touch 42°C by April 8</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
