Title,Link,Date,Source,Summary,Term,LanguageQueried
"8 से 14 जून तक होगी भयंकर बारिश तो कई राज्यों तपेगी धरती, IMD ने जारी किया अलर्ट - Patrika News",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPVXpHZlZJMVdGZ3NvRTZkMHBHcmkxMnVMcUlJYURUWk5HLXF5OFY4bS1DcllYekFJMUxKb0ZTNTJJVGdzTHU0SWtFcEgzVms4NDBzRDVLSXluUUhrcUktOV90S1dGSV9Mck95VThXWm1PaS13Z1luQ2xtenF1dEFkVm1oZGx1V1hWSzV2RVd1T0Vrdk5RTjBibmQ2T3h4d29aaUVHaWJ0NlRyU19KYThNMlZSSWZTc0J0MjRjUW1rUUVxZTFaNVlfMWZ0ZDVKbFFqRTVaR29VeVkwRTNPQjdVOWQ3TjhlVDlKMFVvZHAwZ2LSAfABQVVfeXFMT1V6R2ZWSTFXRmdzb0U2ZDBwR3JpMTJ1THFJSWFEVFpORy1xeThWOG0tQ3JZWHpBSTFMSm9GUzUySVRnc0x1NElrRXBIM1ZrODQwc0Q1S0l5blFIa3FJLTlfdEtXRklfTHJPeVU4V1ptT2ktd2dZbkNsbXpxdXRBZFZtaGRsdVdYVks1dkVXdU9Fa3ZOUU4wYm5kNk94eHdvWmlFR2lidDZUclNfSmE4TTJWUklmU3NCdDI0Y1Fta1FFcWUxWjVZXzFmdGQ1SmxRakU1WkdvVXlZMEUzT0I3VTlkN044ZVQ5SjBVb2RwMGdi?oc=5,2025-06-08 15:05:51,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPVXpHZlZJMVdGZ3NvRTZkMHBHcmkxMnVMcUlJYURUWk5HLXF5OFY4bS1DcllYekFJMUxKb0ZTNTJJVGdzTHU0SWtFcEgzVms4NDBzRDVLSXluUUhrcUktOV90S1dGSV9Mck95VThXWm1PaS13Z1luQ2xtenF1dEFkVm1oZGx1V1hWSzV2RVd1T0Vrdk5RTjBibmQ2T3h4d29aaUVHaWJ0NlRyU19KYThNMlZSSWZTc0J0MjRjUW1rUUVxZTFaNVlfMWZ0ZDVKbFFqRTVaR29VeVkwRTNPQjdVOWQ3TjhlVDlKMFVvZHAwZ2LSAfABQVVfeXFMT1V6R2ZWSTFXRmdzb0U2ZDBwR3JpMTJ1THFJSWFEVFpORy1xeThWOG0tQ3JZWHpBSTFMSm9GUzUySVRnc0x1NElrRXBIM1ZrODQwc0Q1S0l5blFIa3FJLTlfdEtXRklfTHJPeVU4V1ptT2ktd2dZbkNsbXpxdXRBZFZtaGRsdVdYVks1dkVXdU9Fa3ZOUU4wYm5kNk94eHdvWmlFR2lidDZUclNfSmE4TTJWUklmU3NCdDI0Y1Fta1FFcWUxWjVZXzFmdGQ1SmxRakU1WkdvVXlZMEUzT0I3VTlkN044ZVQ5SjBVb2RwMGdi?oc=5"" target=""_blank"">8 से 14 जून तक होगी भयंकर बारिश तो कई राज्यों तपेगी धरती, IMD ने जारी किया अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Heatwave,hi
"Weather Update: UP में उमस भरी गर्मी का कहर ! आगरा में तापमान 44.8 डिग्री, लू की चेतावनी जारी, कब मिलेगी... - Newstrack",https://news.google.com/rss/articles/CBMie0FVX3lxTE1UeUt2TUtMZzRPRnhEdGF3cnA3Z0FvTy1XRDNxMmtfVjFuOEJRMm9McktFWXJKYUlTZmd2dlRMVzNmY3JoOWozTUhOV01mLUFTeDdDUVh4MVYwQlFTMzdNeXRONWlCckFiUVY1Nm5Gc0ZPRTFWQ01KQmJoMNIBgAFBVV95cUxOUm9QeDFlekZtUHB6RVpoTW1fVVNfcEJJNXpEaHFQSXhza0xGbjFEZHZPNGZFT2VoeFlTS3BLejlUSXJTQ21SQTVnc1U2V29XZGpYdTJyZ1RoaXlEUm1lREhNSkItRVRIWTBqNkkxZ24zY0NZNEpXdFNvX2lSMEUwRA?oc=5,2025-06-08 20:27:52,Newstrack,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE1UeUt2TUtMZzRPRnhEdGF3cnA3Z0FvTy1XRDNxMmtfVjFuOEJRMm9McktFWXJKYUlTZmd2dlRMVzNmY3JoOWozTUhOV01mLUFTeDdDUVh4MVYwQlFTMzdNeXRONWlCckFiUVY1Nm5Gc0ZPRTFWQ01KQmJoMNIBgAFBVV95cUxOUm9QeDFlekZtUHB6RVpoTW1fVVNfcEJJNXpEaHFQSXhza0xGbjFEZHZPNGZFT2VoeFlTS3BLejlUSXJTQ21SQTVnc1U2V29XZGpYdTJyZ1RoaXlEUm1lREhNSkItRVRIWTBqNkkxZ24zY0NZNEpXdFNvX2lSMEUwRA?oc=5"" target=""_blank"">Weather Update: UP में उमस भरी गर्मी का कहर ! आगरा में तापमान 44.8 डिग्री, लू की चेतावनी जारी, कब मिलेगी...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newstrack</font>",Heatwave,hi
"Hot Weather: उत्तर भारत में सताएगी गर्मी, राजस्थान में फिर 46 तक तक जा सकता है पारा - Aaj Samaj",https://news.google.com/rss/articles/CBMisAFBVV95cUxNT0ZxX2IyODBPZjV4QXZ3ekpyMGh5TWUwMGYzMEZQajRlcDhfbHdYV05FZHNKdElmb19jTGtmaDdIdGxHRFJmdkUyb0x2SU9jX3I3VkJvWXhPeUxycDc4ZTVzZHdsLWxBbVdlbDhkTFZSaHNjNTJ3bTdFbk5Zc3pwQ0RSN0hyQkJwUnBMVWpMcFoya0Yzakg0Yl9ka0JmSlBpalQydzlrZThqVDRpU1kzXw?oc=5,2025-06-08 16:13:34,Aaj Samaj,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNT0ZxX2IyODBPZjV4QXZ3ekpyMGh5TWUwMGYzMEZQajRlcDhfbHdYV05FZHNKdElmb19jTGtmaDdIdGxHRFJmdkUyb0x2SU9jX3I3VkJvWXhPeUxycDc4ZTVzZHdsLWxBbVdlbDhkTFZSaHNjNTJ3bTdFbk5Zc3pwQ0RSN0hyQkJwUnBMVWpMcFoya0Yzakg0Yl9ka0JmSlBpalQydzlrZThqVDRpU1kzXw?oc=5"" target=""_blank"">Hot Weather: उत्तर भारत में सताएगी गर्मी, राजस्थान में फिर 46 तक तक जा सकता है पारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj Samaj</font>",Heatwave,hi
"Delhi Weather: IMD predicts intense heat, No rain for a week in northwest India - Business Today",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNOHhndzJlVU1XRnpkQndCSmFXZXhMUVdEbmo2ODEyM2EyWk5xeWVSVUdfLTVBRGNyMi1YYXN6d0l2akRqRzRLTXp5OEdZMk1OZUxjMy1PS2tTLVEyVTFmS1o1LUNmRFZCd3NoU3ZXcXRsMkZ6TzJZUGtmTjBiaEdmRkhTRWNmWm1kN29DcEt4TXExMFVzaUw3cmIzWDFRUGpBN3QyRUJxYUlEQlZRMW9mNW9yRkxhS29uNVRyUlBzSTdOUm5GSmdxVWFfSURwWmpXT1HSAdcBQVVfeXFMT0g5RlB2eEF0NkdHT0FDWnNsTTI1cWtnaTZ1RWRzU3hLSVNOMDQ5YWpaT01GaTlZTXZqU001X2h1RzEtOU1aSXlDRnV3WEZVdGtpQVd3VFUwY29WN0dfaE0zX18wUHZiX3FNOFhRQUxYaDg4NEdlaTZNMlcydXNkWTJIRUJnUkJsX0tfZWhGVFNmNXlCd0Nod29BR3EtWmlEUFZKSW9raTZvU3c0d0NjNjJEaDJraWswZkE1WGJvTlZrMi1BaWJYeXY5RTRNU3NkTHpjVms0Yjg?oc=5,2025-06-09 07:52:43,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNOHhndzJlVU1XRnpkQndCSmFXZXhMUVdEbmo2ODEyM2EyWk5xeWVSVUdfLTVBRGNyMi1YYXN6d0l2akRqRzRLTXp5OEdZMk1OZUxjMy1PS2tTLVEyVTFmS1o1LUNmRFZCd3NoU3ZXcXRsMkZ6TzJZUGtmTjBiaEdmRkhTRWNmWm1kN29DcEt4TXExMFVzaUw3cmIzWDFRUGpBN3QyRUJxYUlEQlZRMW9mNW9yRkxhS29uNVRyUlBzSTdOUm5GSmdxVWFfSURwWmpXT1HSAdcBQVVfeXFMT0g5RlB2eEF0NkdHT0FDWnNsTTI1cWtnaTZ1RWRzU3hLSVNOMDQ5YWpaT01GaTlZTXZqU001X2h1RzEtOU1aSXlDRnV3WEZVdGtpQVd3VFUwY29WN0dfaE0zX18wUHZiX3FNOFhRQUxYaDg4NEdlaTZNMlcydXNkWTJIRUJnUkJsX0tfZWhGVFNmNXlCd0Nod29BR3EtWmlEUFZKSW9raTZvU3c0d0NjNjJEaDJraWswZkE1WGJvTlZrMi1BaWJYeXY5RTRNU3NkTHpjVms0Yjg?oc=5"" target=""_blank"">Delhi Weather: IMD predicts intense heat, No rain for a week in northwest India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",Heatwave,en
"Heatwave Alert: Delhi-NCR, Punjab and many more brace for impact – IMD says no respite till THIS date - financialexpress.com",https://news.google.com/rss/articles/CBMi5AFBVV95cUxNU1RVQzFNUVItYXduOXB4R2hqRXA0OFFSUFY1MmxCYkp5TG5pYzl6V2Fha1N4UThMd1pvSnNwODRHOGtIclVEdmpjVl9xNlk4YklrUzBUY0FDcEdoTC1ad1RyNElSZlRVTm54SXRqeUpxTDJvbHN5VzBVSFA4bTBrRTFzbDFqT2RHcEZCYS1OdURUREk1X3A1UGxpU2tPRDlla1M3MWFmVTRVMEowRzYxT1FQUXFHS1VKUGpRZmY1RENzaV9udEdQT0tPd3FVSE9xNFBZcXNINzhfa1RzT1UydjY3VVU?oc=5,2025-06-09 08:46:10,financialexpress.com,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNU1RVQzFNUVItYXduOXB4R2hqRXA0OFFSUFY1MmxCYkp5TG5pYzl6V2Fha1N4UThMd1pvSnNwODRHOGtIclVEdmpjVl9xNlk4YklrUzBUY0FDcEdoTC1ad1RyNElSZlRVTm54SXRqeUpxTDJvbHN5VzBVSFA4bTBrRTFzbDFqT2RHcEZCYS1OdURUREk1X3A1UGxpU2tPRDlla1M3MWFmVTRVMEowRzYxT1FQUXFHS1VKUGpRZmY1RENzaV9udEdQT0tPd3FVSE9xNFBZcXNINzhfa1RzT1UydjY3VVU?oc=5"" target=""_blank"">Heatwave Alert: Delhi-NCR, Punjab and many more brace for impact – IMD says no respite till THIS date</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>",Heatwave,en
"IMD update: Delhi-NCR, THESE northern states brace for intense heatwave, light rain likely later this week - Mint",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQaU9ISG41SUdxTzVZZWo3YlRNZzh0SlJmcUNZWWtFZGsyTXVRSGRCSTltbXowSVVUTUdkY1FTQkc4Nm01UTFCQkxVaVNqSFpXREczUDNTLWpaQkpsQUMxNF8zMFFCUzhWVW9CVk52bGtwQ005ZmhyTTVXRU03V1I4SHJZcDFTM1cwRVRvR0VEeTl6TXY0SHd0SjlQVzZYMTZpenI3dUNqZjlOXzNtTmVQMmNxRVlxOGpKdjlOZkUzR0pjM0lmOVgwblNrUkRMRGctWGV0QzlUY0dlTmVQWFJVM0FVbFZtYWRvNm1nTWxyaG_SAfYBQVVfeXFMTjI2MXA2LTJEUmwyWi1jYzVJRWRLM3NMNXZENWU1SkVaVmtvdXhISEZzZ2tvc1JZZWhpNWh1V21CMmd5MDdhbFJvWlpKajRBYVdobUY0R0hYbzdCVWh4a1BzWHdWTFNieWVKWFIzLXNuak9fd2hSMjRyWm9BU2pOMTlqWDgtYVpnNWQ4NjQwdlowOWZuZG5yWEdPdDd4cVpOM3A0bU5Yd3I2RDRndVYwMllOSGFuWFNGODZ2QlFuakNZdGNTWThZb0k1SG56RFhZeVcyNlZwODZ5ZzJBR3Y5V1hGYkp2YmI3eUQwLXF4XzRZQmhkQTFB?oc=5,2025-06-09 06:27:19,Mint,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQaU9ISG41SUdxTzVZZWo3YlRNZzh0SlJmcUNZWWtFZGsyTXVRSGRCSTltbXowSVVUTUdkY1FTQkc4Nm01UTFCQkxVaVNqSFpXREczUDNTLWpaQkpsQUMxNF8zMFFCUzhWVW9CVk52bGtwQ005ZmhyTTVXRU03V1I4SHJZcDFTM1cwRVRvR0VEeTl6TXY0SHd0SjlQVzZYMTZpenI3dUNqZjlOXzNtTmVQMmNxRVlxOGpKdjlOZkUzR0pjM0lmOVgwblNrUkRMRGctWGV0QzlUY0dlTmVQWFJVM0FVbFZtYWRvNm1nTWxyaG_SAfYBQVVfeXFMTjI2MXA2LTJEUmwyWi1jYzVJRWRLM3NMNXZENWU1SkVaVmtvdXhISEZzZ2tvc1JZZWhpNWh1V21CMmd5MDdhbFJvWlpKajRBYVdobUY0R0hYbzdCVWh4a1BzWHdWTFNieWVKWFIzLXNuak9fd2hSMjRyWm9BU2pOMTlqWDgtYVpnNWQ4NjQwdlowOWZuZG5yWEdPdDd4cVpOM3A0bU5Yd3I2RDRndVYwMllOSGFuWFNGODZ2QlFuakNZdGNTWThZb0k1SG56RFhZeVcyNlZwODZ5ZzJBR3Y5V1hGYkp2YmI3eUQwLXF4XzRZQmhkQTFB?oc=5"" target=""_blank"">IMD update: Delhi-NCR, THESE northern states brace for intense heatwave, light rain likely later this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Heatwave,en
Visakhapatnam grapples with extreme weather change - The Hindu,https://news.google.com/rss/articles/CBMivgFBVV95cUxNNFc2NmZZSnVKdWtxVlQ1WUhGLUhJaXZXcFViVDM3bEZmQklGSl95LVRQUmYwczdreFdMWGFfa2pSRnczTkpyX01DQ0FOZW95NjNUTzJCTS1TVWEwbWd3X3pBbUtBYzZMWUNfbjdldUdsSGl0dmUwc3VuakR6di1ybzRDUUI4VERjWnB2Q29SYzVPdktSMDBtOEdDVE0xSU5Oc2JCS3lLeDdNTkZla1EtemkyTl9icy1zMG9lZU9R0gHEAUFVX3lxTFBFV00wNlZxRFpDbkxZVW5xOGpKUXdGS1lhb0p2aG9xaXl0elMwRXlKZ1hMTkNObE1kVzJUUWRVUUNFX0VEV1lmTERyeGVWRVV0LVFoSmJwUkxodlFCNHZjeUNobTFiR0NVLVJneWFPdlpkUDcyaVNrUi1UbkFkMDFzTF9HRjV0Y21zNnY4MHNwTXNRQjJwdXJ3ZWU2N3A1Y3k5Y2ZpcU5wdDJaMWRYNlNwU1JCc0owcUVJZUxqOThsWm1GZnc?oc=5,2025-06-08 20:40:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNNFc2NmZZSnVKdWtxVlQ1WUhGLUhJaXZXcFViVDM3bEZmQklGSl95LVRQUmYwczdreFdMWGFfa2pSRnczTkpyX01DQ0FOZW95NjNUTzJCTS1TVWEwbWd3X3pBbUtBYzZMWUNfbjdldUdsSGl0dmUwc3VuakR6di1ybzRDUUI4VERjWnB2Q29SYzVPdktSMDBtOEdDVE0xSU5Oc2JCS3lLeDdNTkZla1EtemkyTl9icy1zMG9lZU9R0gHEAUFVX3lxTFBFV00wNlZxRFpDbkxZVW5xOGpKUXdGS1lhb0p2aG9xaXl0elMwRXlKZ1hMTkNObE1kVzJUUWRVUUNFX0VEV1lmTERyeGVWRVV0LVFoSmJwUkxodlFCNHZjeUNobTFiR0NVLVJneWFPdlpkUDcyaVNrUi1UbkFkMDFzTF9HRjV0Y21zNnY4MHNwTXNRQjJwdXJ3ZWU2N3A1Y3k5Y2ZpcU5wdDJaMWRYNlNwU1JCc0owcUVJZUxqOThsWm1GZnc?oc=5"" target=""_blank"">Visakhapatnam grapples with extreme weather change</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Heatwave,en
"Temp continues to rise, no relief likely - Times of India",https://news.google.com/rss/articles/CBMiswFBVV95cUxNYTFkRm1RWll6T3lFYnlxWEZzbG1STDZSVG5aeFUtMXFGNWp4Q1h2MzdUb2Q1M3NjMnhyMDhZbXN0YmNSc0V6U2k2OFpwVnVab2IyUFdzZklvbVBrdVRCaVk4RlBvZDVMcHpFSGVNZk12SVVsWjlGOFZIa2FyMlpXNkVOejZvZ20yckJGRGY5WjJFVmhIQ2txTlBwTXZ5Rl93UkNpblpSWG02dEtNYzNTdlBqTdIBuAFBVV95cUxPV1NSbHh6a041akVHUTIxZ2g2OGtfd0hWT2kxMU00SEhlQ3BZaGRZT2NFM0dVX1hQck1UUDBoazhKVmZEVmJKdWhEOUcyUGZnVjFtdzlGN0RKUnVoUlNUZzNhSkJMN1RYOEJCQmxZbjJpcUNRWnpSV1FXRFVRUHVEOUZkclZaUTlBN0R3azRsMDhjM1g0Y0ktSmpIQ2EwUzRvVVd6cjVxUjZRX0tUOXowTXdjYTZFdHNr?oc=5,2025-06-08 23:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNYTFkRm1RWll6T3lFYnlxWEZzbG1STDZSVG5aeFUtMXFGNWp4Q1h2MzdUb2Q1M3NjMnhyMDhZbXN0YmNSc0V6U2k2OFpwVnVab2IyUFdzZklvbVBrdVRCaVk4RlBvZDVMcHpFSGVNZk12SVVsWjlGOFZIa2FyMlpXNkVOejZvZ20yckJGRGY5WjJFVmhIQ2txTlBwTXZ5Rl93UkNpblpSWG02dEtNYzNTdlBqTdIBuAFBVV95cUxPV1NSbHh6a041akVHUTIxZ2g2OGtfd0hWT2kxMU00SEhlQ3BZaGRZT2NFM0dVX1hQck1UUDBoazhKVmZEVmJKdWhEOUcyUGZnVjFtdzlGN0RKUnVoUlNUZzNhSkJMN1RYOEJCQmxZbjJpcUNRWnpSV1FXRFVRUHVEOUZkclZaUTlBN0R3azRsMDhjM1g0Y0ktSmpIQ2EwUzRvVVd6cjVxUjZRX0tUOXowTXdjYTZFdHNr?oc=5"" target=""_blank"">Temp continues to rise, no relief likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
Himachal: Tourist influx picks up in Shimla as families flock to hills for summer relief - ET TravelWorld,https://news.google.com/rss/articles/CBMizAFBVV95cUxQVTJ5RENNVmZPTTBFN1E1blZPVmxIaXhvaTFjeldEOU9hLURlRnI3ODd1RmJQdlRyVURIaDl4RUltSmM1TEYwUWI2RVJKNklMQ0xKSFRKSGRzM1pFVHRzRE5ZRElzXy0yRzlPME93NGxVeVNoTGc2WFZqODJsc3lTRGhwRWU4Mnh0cU4zaVMyYkVPX0FFdEx4dl82T21UWUVySjFQczJrSG94dnJXejRTOTdfU3FtMUhKRnlsTlFULTVlaDRrMFNhazQ5V0bSAdIBQVVfeXFMUEcyd25vY2QyOXBJN3g3VVZuTkpKT2hFcjItc1hRcjQ4dDl5d0pXMzVHMHdhWUhwbmx3ZS1RcjBQeldPT3BGZUNyVm5icjZ4R0ZMZmw3QUwwV2o0SkxXUTI1TGh3Y0Rmc0NNYmNzem9pTG5iT3dVdkd4MnNhVzZHdUMwWDJCMDFWU2ZndzNJcE5HYTVIRklwR3E1SS1uM2dhT3MyNzI4WHY5Q2g5LWJlUi0xa3plZlZ4UjF1eGFFRXIxakJiZGpqQ3F1Y21RVF93bXNR?oc=5,2025-06-08 13:00:00,ET TravelWorld,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQVTJ5RENNVmZPTTBFN1E1blZPVmxIaXhvaTFjeldEOU9hLURlRnI3ODd1RmJQdlRyVURIaDl4RUltSmM1TEYwUWI2RVJKNklMQ0xKSFRKSGRzM1pFVHRzRE5ZRElzXy0yRzlPME93NGxVeVNoTGc2WFZqODJsc3lTRGhwRWU4Mnh0cU4zaVMyYkVPX0FFdEx4dl82T21UWUVySjFQczJrSG94dnJXejRTOTdfU3FtMUhKRnlsTlFULTVlaDRrMFNhazQ5V0bSAdIBQVVfeXFMUEcyd25vY2QyOXBJN3g3VVZuTkpKT2hFcjItc1hRcjQ4dDl5d0pXMzVHMHdhWUhwbmx3ZS1RcjBQeldPT3BGZUNyVm5icjZ4R0ZMZmw3QUwwV2o0SkxXUTI1TGh3Y0Rmc0NNYmNzem9pTG5iT3dVdkd4MnNhVzZHdUMwWDJCMDFWU2ZndzNJcE5HYTVIRklwR3E1SS1uM2dhT3MyNzI4WHY5Q2g5LWJlUi0xa3plZlZ4UjF1eGFFRXIxakJiZGpqQ3F1Y21RVF93bXNR?oc=5"" target=""_blank"">Himachal: Tourist influx picks up in Shimla as families flock to hills for summer relief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET TravelWorld</font>",Heatwave,en
"Punjab on ‘Red Alert’: 5-Day heatwave incoming, mercury may hit 45°C—IMD Report - True Scoop News",https://news.google.com/rss/articles/CBMipAFBVV95cUxNM1NNdTBlMDg5V1FrOEp1enFtOWNwNDhtaDIxcHdORWpxUjZLYmVVcGpibUFhSDd5MlZyRnhSb2JpNHluM0ctVGhiaUZNWXYxTXl1VzBrek9wVlFDZnpDTl9GRVRUNG05TW0tR2FUbm92N3ZaY3U4WjE2TGxzQUU1ZTNodUluWFY1b28yd0ktMHBLbnpsZTBaLTk0NVRNc09SVklwdA?oc=5,2025-06-08 13:12:37,True Scoop News,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNM1NNdTBlMDg5V1FrOEp1enFtOWNwNDhtaDIxcHdORWpxUjZLYmVVcGpibUFhSDd5MlZyRnhSb2JpNHluM0ctVGhiaUZNWXYxTXl1VzBrek9wVlFDZnpDTl9GRVRUNG05TW0tR2FUbm92N3ZaY3U4WjE2TGxzQUU1ZTNodUluWFY1b28yd0ktMHBLbnpsZTBaLTk0NVRNc09SVklwdA?oc=5"" target=""_blank"">Punjab on ‘Red Alert’: 5-Day heatwave incoming, mercury may hit 45°C—IMD Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">True Scoop News</font>",Heatwave,en
