Title,Link,Date,Source,Summary,Place
Monsoon ends with 7.6% surplus rainfall - The Tribune India,https://news.google.com/rss/articles/CBMihgFBVV95cUxQVUJLOWJFTGlQS2t1Ql92Wjg3MmZsSWMxOU9BWWpIZll1Rzd3RHE0WlJmeVZXZHQtM3lmSnlGbG5EQ1Rxd3JwVXM0TDVIS3FudDJIUXlELWt2S2pDcEdmTXd1aXNrdDF6RzJjanNQUUJXVFJMbkc5VTI0eXBqaUNIM1cydURVUdIBigFBVV95cUxNaWNmWDZ4VHZCRElFU01PUnNaTGxFT2ZsZEs2RzVyVU83eDI0NXpsb1VsQXlEUHNFdlJIQzk0ZVNaM0F2am9nVGhmS3pFQ2J0WjBzMjZEN3dwZ1BuLUNhZldRSk9icUVaRkdfenc1THFobm9NSlQyVzRCU2NIcXdCRXo2djlpS3JnelE?oc=5,2024-10-02 07:07:04,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQVUJLOWJFTGlQS2t1Ql92Wjg3MmZsSWMxOU9BWWpIZll1Rzd3RHE0WlJmeVZXZHQtM3lmSnlGbG5EQ1Rxd3JwVXM0TDVIS3FudDJIUXlELWt2S2pDcEdmTXd1aXNrdDF6RzJjanNQUUJXVFJMbkc5VTI0eXBqaUNIM1cydURVUdIBigFBVV95cUxNaWNmWDZ4VHZCRElFU01PUnNaTGxFT2ZsZEs2RzVyVU83eDI0NXpsb1VsQXlEUHNFdlJIQzk0ZVNaM0F2am9nVGhmS3pFQ2J0WjBzMjZEN3dwZ1BuLUNhZldRSk9icUVaRkdfenc1THFobm9NSlQyVzRCU2NIcXdCRXo2djlpS3JnelE?oc=5"" target=""_blank"">Monsoon ends with 7.6% surplus rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
IMD predicts severe winter after surplus rain - The New Indian Express,https://news.google.com/rss/articles/CBMingFBVV95cUxPUy1kTmg0cHJHRnZWZ0J4alVLNzBIU1VmWGpTMUdjR3NPbi00M2pUUWZGQTRwMkJ3VTNxZHI4ZGtQd1FnTkd5c2FsZFg0S3N5T3VJZzFid0dJdE80THZhbEVlYXIyU0Q0RS1MRGNWSm5aeThJb1V4eUZsamxoU2J6WF9vaU8yMnJuQ013ZGladmpmUHZuanRHYWZOZV9YQdIBqwFBVV95cUxQUkZvczdIQThzZ1h5SFFDM0Y1b0xOQkN6OXRhV20tdERKSTRxQlpDQ0xIM001OGsxZXp3UUxWX1FCdEpfNmM2RlNrOHFSN1RuejM3MC10dzFGMFRQMDA1UTQ0T2xKOVBDLVZScl9mN3hZTXhnTjBsUVVDVnFQUUFIRm1yQnNyaUtCOEVLS2FSNjRaY1F5SXdSeGV6ZVlMQkhLX2dRYkdTNnBna0k?oc=5,2024-10-02 07:13:31,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPUy1kTmg0cHJHRnZWZ0J4alVLNzBIU1VmWGpTMUdjR3NPbi00M2pUUWZGQTRwMkJ3VTNxZHI4ZGtQd1FnTkd5c2FsZFg0S3N5T3VJZzFid0dJdE80THZhbEVlYXIyU0Q0RS1MRGNWSm5aeThJb1V4eUZsamxoU2J6WF9vaU8yMnJuQ013ZGladmpmUHZuanRHYWZOZV9YQdIBqwFBVV95cUxQUkZvczdIQThzZ1h5SFFDM0Y1b0xOQkN6OXRhV20tdERKSTRxQlpDQ0xIM001OGsxZXp3UUxWX1FCdEpfNmM2RlNrOHFSN1RuejM3MC10dzFGMFRQMDA1UTQ0T2xKOVBDLVZScl9mN3hZTXhnTjBsUVVDVnFQUUFIRm1yQnNyaUtCOEVLS2FSNjRaY1F5SXdSeGV6ZVlMQkhLX2dRYkdTNnBna0k?oc=5"" target=""_blank"">IMD predicts severe winter after surplus rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
Monsoon 2024 update: IMD's weather prediction for October 2024 - Details - MSN,https://news.google.com/rss/articles/CBMiugFBVV95cUxOcjYySFhWanVjRzZtcjdobERsbExiV1VfblZ2bmpFT2VuZFNZTXNmMHprLVZhbERvclFuSTlBeTJOd0pzU0xFNXdtTDl1Wi16bXNFN3JHRTQ0V1BGOFlIaDhITHFvRFlZM3RfUmY1NF8zTWRtc2JwMWNxX3JORmlMODBjNS1JVTlqOUVmRVVzdjA0LUt5dU16OWVNNWVVeEoxVDZpWDRfMW9qM1RDdC1TMHgwcllfNk44ZWc?oc=5,2024-10-01 18:55:24,MSN,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOcjYySFhWanVjRzZtcjdobERsbExiV1VfblZ2bmpFT2VuZFNZTXNmMHprLVZhbERvclFuSTlBeTJOd0pzU0xFNXdtTDl1Wi16bXNFN3JHRTQ0V1BGOFlIaDhITHFvRFlZM3RfUmY1NF8zTWRtc2JwMWNxX3JORmlMODBjNS1JVTlqOUVmRVVzdjA0LUt5dU16OWVNNWVVeEoxVDZpWDRfMW9qM1RDdC1TMHgwcllfNk44ZWc?oc=5"" target=""_blank"">Monsoon 2024 update: IMD's weather prediction for October 2024 - Details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Monsoon normal in Himachal Pradesh, withdrawal to start in 2-3 days - The Tribune India",https://news.google.com/rss/articles/CBMirwFBVV95cUxOTDZUeXJ3Z21sQ1N2QmF5Z0d3QUhGMjBaQjNyTzJXYmlaRFdabnBjVWdXNTJ2UmZ2bVhzS2VuaDk2V21EclhoQVJPV19OSFlCeVRpZ3JDZmo0WGFGcFJxQUZ0bnRfTWdPUXp4QXBVY3N4alV3TklGTDYwczRNNGwyTVpnc1RmS0FQMWw4YnBDX1QtbmRYbzJpUmtKbE5ldkxTUS1FN1RZUG5kaHBkVlU40gGzAUFVX3lxTE1NcnBiS0U0czVTcG80VVRmbTJzOEFpX21WRHlPTVM1UHE0NXdjZ2FkNXVTMWRONUtfLXFsVVBxQWVVaG13OWhySU1OQ3FFWXFveTJ1LUU3VVh6b3dkT3dFLW1PTWVQXzh0bk9vRE14NE9SWUhsR3NQQlRORzBQTlhCMm1KWDJFYXRVVWE4bU9VN0JSWWIyX1JYbXhSOE9FbFdySTRYWEcyZTk5OGZaM0dqajVr?oc=5,2024-10-01 20:08:35,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOTDZUeXJ3Z21sQ1N2QmF5Z0d3QUhGMjBaQjNyTzJXYmlaRFdabnBjVWdXNTJ2UmZ2bVhzS2VuaDk2V21EclhoQVJPV19OSFlCeVRpZ3JDZmo0WGFGcFJxQUZ0bnRfTWdPUXp4QXBVY3N4alV3TklGTDYwczRNNGwyTVpnc1RmS0FQMWw4YnBDX1QtbmRYbzJpUmtKbE5ldkxTUS1FN1RZUG5kaHBkVlU40gGzAUFVX3lxTE1NcnBiS0U0czVTcG80VVRmbTJzOEFpX21WRHlPTVM1UHE0NXdjZ2FkNXVTMWRONUtfLXFsVVBxQWVVaG13OWhySU1OQ3FFWXFveTJ1LUU3VVh6b3dkT3dFLW1PTWVQXzh0bk9vRE14NE9SWUhsR3NQQlRORzBQTlhCMm1KWDJFYXRVVWE4bU9VN0JSWWIyX1JYbXhSOE9FbFdySTRYWEcyZTk5OGZaM0dqajVr?oc=5"" target=""_blank"">Monsoon normal in Himachal Pradesh, withdrawal to start in 2-3 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
2024 monsoon season ends with 7.6% more rain than normal: IMD - The Tribune India,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdmYwcm9DbGswc3ctYmpfcU5YRy14T1FPYVE1TjdUWGYwUWdld0FFWWlfaG44Mks2YnlFdEpYY2pucm1iVHVuTVRGajYyZEZZX19uOFBiZTRTMEhSVlhhT2FPa0RHaEpBdmVrMDdpUXVRUjhWYUFiVEpHeHBoc29DdWM3WVM2ODBfTmhKSWRkeGwtV3VBN1ltQXg3VDI5N3lsWXfSAaYBQVVfeXFMTzRfMjRmaHJWUzFFNWFUM0ZPS1hTV1hHMlpRQlgtc095QzRZNVZ4VTdsUXhrNXNfLUVRNDFFOWdVZUlPZWU4ZUFneGpsZjVYNW4xc0prNlVxekU1RWJ0cnVvTVgwUWZwUUl1eXBoQ2xUSy13SWJwRVczWnVqbXJLR1pwNy1vR0h6SDlRRzJub0RGVzRzbV9WcDVWMmZUc1BsZmpKeHFHZw?oc=5,2024-10-01 16:47:34,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNdmYwcm9DbGswc3ctYmpfcU5YRy14T1FPYVE1TjdUWGYwUWdld0FFWWlfaG44Mks2YnlFdEpYY2pucm1iVHVuTVRGajYyZEZZX19uOFBiZTRTMEhSVlhhT2FPa0RHaEpBdmVrMDdpUXVRUjhWYUFiVEpHeHBoc29DdWM3WVM2ODBfTmhKSWRkeGwtV3VBN1ltQXg3VDI5N3lsWXfSAaYBQVVfeXFMTzRfMjRmaHJWUzFFNWFUM0ZPS1hTV1hHMlpRQlgtc095QzRZNVZ4VTdsUXhrNXNfLUVRNDFFOWdVZUlPZWU4ZUFneGpsZjVYNW4xc0prNlVxekU1RWJ0cnVvTVgwUWZwUUl1eXBoQ2xUSy13SWJwRVczWnVqbXJLR1pwNy1vR0h6SDlRRzJub0RGVzRzbV9WcDVWMmZUc1BsZmpKeHFHZw?oc=5"" target=""_blank"">2024 monsoon season ends with 7.6% more rain than normal: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
"Himachal Pradesh travel alert: Landslide blocks highway, cuts off Kinnaur from Shimla - Hindustan Times",https://news.google.com/rss/articles/CBMi5wFBVV95cUxQQ3JyZU0yTUFSZkhTUDNpbElsYkJfcDBSeDFsS3BTaHhEOXpCSWM0WjQ2Uk4xZnV6eGdVVVFDRUs3YTk1TTdBWTYxV0xwTjRlcnlVV2ZCOGZ0Vl9SUWVham40eFc1RXRSVTdQdGJPWENYZlhLR0F1aFNMY3RnS2FDbnBEYlNTX3pZQzZFZTJEZ09ydXIyeUFvZGlTUlVMZ2NZOFltZ09IZlNCRVBRZEl4Tnlwa01GMmZrdERJZmZZRUFGc2g5YlluM0UxQnNWWnJqakVqY0FiRlZWV0U5VS1yRmQxdU8tb0HSAewBQVVfeXFMT0JWV3o0NGZPMXRZQzY5bm1vR2VpWFlfcTBmVkYtMnVYR0pzZDVMcVdvU1BjRHk5cmg4YzVGVU1IU2RSYTVVNTNNNVZMbGpQVEFTUXhLLVFmc1RKN1NQQTMwaV9leTVMVko1ZmRKRG9LeWVUUW10T2hWbDdpTmdySmVMOXIzcmtuS3RXejBST3NJMkhUcVM1ZG5kSkpWWWJmaUtUSGZQc0RPdjFXWjJLX055VnowbmVFU3RVejlyc2VxMFcyTzdMVS1QNm5weUt6bnF6THQ3Uy1RS3NHNllRaE5EVFhxODNrVU1vZE4?oc=5,2024-10-01 16:23:19,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQQ3JyZU0yTUFSZkhTUDNpbElsYkJfcDBSeDFsS3BTaHhEOXpCSWM0WjQ2Uk4xZnV6eGdVVVFDRUs3YTk1TTdBWTYxV0xwTjRlcnlVV2ZCOGZ0Vl9SUWVham40eFc1RXRSVTdQdGJPWENYZlhLR0F1aFNMY3RnS2FDbnBEYlNTX3pZQzZFZTJEZ09ydXIyeUFvZGlTUlVMZ2NZOFltZ09IZlNCRVBRZEl4Tnlwa01GMmZrdERJZmZZRUFGc2g5YlluM0UxQnNWWnJqakVqY0FiRlZWV0U5VS1yRmQxdU8tb0HSAewBQVVfeXFMT0JWV3o0NGZPMXRZQzY5bm1vR2VpWFlfcTBmVkYtMnVYR0pzZDVMcVdvU1BjRHk5cmg4YzVGVU1IU2RSYTVVNTNNNVZMbGpQVEFTUXhLLVFmc1RKN1NQQTMwaV9leTVMVko1ZmRKRG9LeWVUUW10T2hWbDdpTmdySmVMOXIzcmtuS3RXejBST3NJMkhUcVM1ZG5kSkpWWWJmaUtUSGZQc0RPdjFXWjJLX055VnowbmVFU3RVejlyc2VxMFcyTzdMVS1QNm5weUt6bnF6THQ3Uy1RS3NHNllRaE5EVFhxODNrVU1vZE4?oc=5"" target=""_blank"">Himachal Pradesh travel alert: Landslide blocks highway, cuts off Kinnaur from Shimla</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"With monsoon on way out, day temperature likely to rise - MSN",https://news.google.com/rss/articles/CBMipgFBVV95cUxOeWNVNzRtVXU2SFY5ZWRCZTZRR0RtOVVpSHpmQ3JPZ182LWxRazlZdGNuRS1Cd25ON21QYkEwdnFsdkczcEJfemFTb052alRRRlZwek1wR2dXMkh5aUxuTG1XRzlzTDVZTDhOaEhnNzA1QWNVV0dqVnI1ZlpaZ1lJSi1mSl9iZ01WbmdSdTFxME9JTVRWdHFkbktNVENtM2dUZnE2Rk53?oc=5,2024-10-01 21:12:18,MSN,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOeWNVNzRtVXU2SFY5ZWRCZTZRR0RtOVVpSHpmQ3JPZ182LWxRazlZdGNuRS1Cd25ON21QYkEwdnFsdkczcEJfemFTb052alRRRlZwek1wR2dXMkh5aUxuTG1XRzlzTDVZTDhOaEhnNzA1QWNVV0dqVnI1ZlpaZ1lJSi1mSl9iZ01WbmdSdTFxME9JTVRWdHFkbktNVENtM2dUZnE2Rk53?oc=5"" target=""_blank"">With monsoon on way out, day temperature likely to rise</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Centre releases Rs 5,858.60 crore to 14 flood-affected states as its share of disaster funds - The New Indian Express",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPS3VITlBqUHZZSWpaR1d1WnRmMWJ3NTBaemhUSVRfa1RXOFd6d2NNZkFkNXhKYmVqcEVxOEY2aUZYYVFfdk9hZzBEd3dvbm9mZUtLMV9ybXYyZFZYdzNJSGRWU2t3MUEwMlpHYno4b3dyQUhvc0NhUWRralN6c2lNWXBMUVNHRGJWVGs0d2E4ZnJVVm56Vlo5U2xpaGpDVlducUtLbGxWQU9xVHpRNWlxWWRrUDJjZEVOSmVqV2Q2SzJlYU9fNG8xdF9CU2VQVjlrMVpxU3JyRXZ5Z9IB5wFBVV95cUxPOEJfY2gtS1RMYXFRNDhYSVFKUS1nYm1DVmhhOVE2aDJPR3pJT2hKcW5yZkxyYUhLLUJJMlZXaTV3TGVyYWRTcWthUExaVEdreEZOTmZyb1RBRllwZmYxcVNwMGpRdFpVbngxNUJGNndRNTNmRjJOYkdPMkNoRWNtaTFrSURUSWRYRl9ldUpmU2Jkc2pHaG5zbzhnRnk4aHpmTXdvaTV3Y3BzcmlHSkdEcTVRbF80Ul96MUx4OHlTTVh2S1FNNDN1WC1xTkJVcUFmSnRzdEQ3X1docklwY1Vqb3E1Y0gxNXc?oc=5,2024-10-01 21:02:31,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPS3VITlBqUHZZSWpaR1d1WnRmMWJ3NTBaemhUSVRfa1RXOFd6d2NNZkFkNXhKYmVqcEVxOEY2aUZYYVFfdk9hZzBEd3dvbm9mZUtLMV9ybXYyZFZYdzNJSGRWU2t3MUEwMlpHYno4b3dyQUhvc0NhUWRralN6c2lNWXBMUVNHRGJWVGs0d2E4ZnJVVm56Vlo5U2xpaGpDVlducUtLbGxWQU9xVHpRNWlxWWRrUDJjZEVOSmVqV2Q2SzJlYU9fNG8xdF9CU2VQVjlrMVpxU3JyRXZ5Z9IB5wFBVV95cUxPOEJfY2gtS1RMYXFRNDhYSVFKUS1nYm1DVmhhOVE2aDJPR3pJT2hKcW5yZkxyYUhLLUJJMlZXaTV3TGVyYWRTcWthUExaVEdreEZOTmZyb1RBRllwZmYxcVNwMGpRdFpVbngxNUJGNndRNTNmRjJOYkdPMkNoRWNtaTFrSURUSWRYRl9ldUpmU2Jkc2pHaG5zbzhnRnk4aHpmTXdvaTV3Y3BzcmlHSkdEcTVRbF80Ul96MUx4OHlTTVh2S1FNNDN1WC1xTkJVcUFmSnRzdEQ3X1docklwY1Vqb3E1Y0gxNXc?oc=5"" target=""_blank"">Centre releases Rs 5,858.60 crore to 14 flood-affected states as its share of disaster funds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Monsoon normal, withdrawal to start in two-three days - The Tribune India",https://news.google.com/rss/articles/CBMinAFBVV95cUxQYWpiZ2xPcC1JdjBXSF8zY0V3UWh1NUxMWkF0QWpCV2t0bGNaZHo3Z3N2N2FyNFBhd3BNYm83ZWVNdUNHYThiQ19NenNSMnNyRlJWejl0ZkpyX3EwVVhjSFI2S1NwcWtSZ085QWlkZTh5VzA1VUp1eDNybUlnUDVIV3hjUGJ0V3ZTZk1JSlJ1TUtfU21ERFNJeEdidVc?oc=5,2024-10-02 07:30:40,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQYWpiZ2xPcC1JdjBXSF8zY0V3UWh1NUxMWkF0QWpCV2t0bGNaZHo3Z3N2N2FyNFBhd3BNYm83ZWVNdUNHYThiQ19NenNSMnNyRlJWejl0ZkpyX3EwVVhjSFI2S1NwcWtSZ085QWlkZTh5VzA1VUp1eDNybUlnUDVIV3hjUGJ0V3ZTZk1JSlJ1TUtfU21ERFNJeEdidVc?oc=5"" target=""_blank"">Monsoon normal, withdrawal to start in two-three days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
"Government announces Rs 6,000 crore flood aid for 14 states - MSN",https://news.google.com/rss/articles/CBMirAFBVV95cUxOeGtpdUpIaVZUYldYTnFLc09QbHpsc0NBTFpvQTd6RWJ2Nk51YjI1bWlhVVJlYXF0OGlGSEktMnE1WHh2aHFRTnh0ZHNDS1dIRmdnMGdfdERGaXc0WVFWc1VWaFBhTGVOb1N0ZHgtWDhxOFgxSEdfOUY4UUpGS0E3T0pMMUh5OEdqLVBSRlZMX082YW8wVTg1MEI4OUtnYlFyS2cxRXVIYlZiQVNq?oc=5,2024-10-02 03:28:11,MSN,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOeGtpdUpIaVZUYldYTnFLc09QbHpsc0NBTFpvQTd6RWJ2Nk51YjI1bWlhVVJlYXF0OGlGSEktMnE1WHh2aHFRTnh0ZHNDS1dIRmdnMGdfdERGaXc0WVFWc1VWaFBhTGVOb1N0ZHgtWDhxOFgxSEdfOUY4UUpGS0E3T0pMMUh5OEdqLVBSRlZMX082YW8wVTg1MEI4OUtnYlFyS2cxRXVIYlZiQVNq?oc=5"" target=""_blank"">Government announces Rs 6,000 crore flood aid for 14 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
