Title,Link,Date,Source,Summary,Place
IITM disdrometer in Himalayan region to understand unique precipitation patterns - MSN,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPMHBBbjQ5RzgtZ3Z0V3pIeXd4UVRQUlczbEFHdll1VmNxeG9QNFpBajlPYmtVRG1OV3oyTGRqVFpmbU1XU18yME1YYVNjb1lYWm9sdC15MkpvYzZ6Nlk0WGpETFNmdm5taE1YdDlfSUZSVXhzMmxJMkZkbTJtZTlsNlE1SVdfaEtld2ZrcGhaZnhoeXFuWUFaOHEtVGdFb1hGNUpkeWNkZjhGR1ZnSzlYSUNPVUo2aWlUdTBGYUl1cFFZZDhmMl9leA?oc=5,2024-11-28 04:32:58,MSN,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPMHBBbjQ5RzgtZ3Z0V3pIeXd4UVRQUlczbEFHdll1VmNxeG9QNFpBajlPYmtVRG1OV3oyTGRqVFpmbU1XU18yME1YYVNjb1lYWm9sdC15MkpvYzZ6Nlk0WGpETFNmdm5taE1YdDlfSUZSVXhzMmxJMkZkbTJtZTlsNlE1SVdfaEtld2ZrcGhaZnhoeXFuWUFaOHEtVGdFb1hGNUpkeWNkZjhGR1ZnSzlYSUNPVUo2aWlUdTBGYUl1cFFZZDhmMl9leA?oc=5"" target=""_blank"">IITM disdrometer in Himalayan region to understand unique precipitation patterns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Will Himachal Pradesh’s Resolution for Controlled Cultivation of Cannabis Prove a Game-Changer? - Frontline,https://news.google.com/rss/articles/CBMi_AFBVV95cUxOZFRPYnVweV84RlF6d21RYnRHaFN2aUQxazU5MW9jS2JnTk5nU0xmYTlNZU5aWkRUbjkwemdmZTNsWThXZVJpaUJWMWpFTmVSY0ZsMm9iZTdjOEFLQkpzZHRvNVZjaklKRV9ORm9aX1NYdDZKZGtmTldtRS0tUDk1RFZKbkR5VXBWR3RUTXZJQkNDMS1yZ3FmdUNKTm9pQ0MzVElCMmFZNHlOV3J5UFVDTmNvMUVoSDc0ZWVJNVdiR1F1U1UzOUhYTDN1THNCWHZHWkQ1bXJoZmZDVUU3elhjUGJ4LWR0QmZQYzNrX281eTFrb1VZOTZIVktZUHHSAYMCQVVfeXFMTjh5bTREaUxvWVc5SW1Ramt1NG5FN2dkMmQtRWtPN3BVOEx2ZDVvQnRyR21feVJUQTdTQ3VaZkZJVWExVU9sOUZZTHktV3pvaDBFSlJWZWdSZXpTT0o0S0pmZmVUbkhMQXpYMXpFTXlRT1RLR3MwZXdZVDc2OThZT1ljWHZ6b0tBLWVYcWJtMDJybF8zejZEbk9lMlZFdTJXaGhDWnREbmdORG83aDBDSG1mTjdkNmNKaTdoOG1PbXZBLUpTbkZEeFZzVWdtc0Z4OHp1cmtFbnpEdWtJYkxlSU5aM2NmbzVLVW1iRXJxeS1RYzY0MmNDTnBScFN1TjZBV2pNVQ?oc=5,2024-11-28 00:20:50,Frontline,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxOZFRPYnVweV84RlF6d21RYnRHaFN2aUQxazU5MW9jS2JnTk5nU0xmYTlNZU5aWkRUbjkwemdmZTNsWThXZVJpaUJWMWpFTmVSY0ZsMm9iZTdjOEFLQkpzZHRvNVZjaklKRV9ORm9aX1NYdDZKZGtmTldtRS0tUDk1RFZKbkR5VXBWR3RUTXZJQkNDMS1yZ3FmdUNKTm9pQ0MzVElCMmFZNHlOV3J5UFVDTmNvMUVoSDc0ZWVJNVdiR1F1U1UzOUhYTDN1THNCWHZHWkQ1bXJoZmZDVUU3elhjUGJ4LWR0QmZQYzNrX281eTFrb1VZOTZIVktZUHHSAYMCQVVfeXFMTjh5bTREaUxvWVc5SW1Ramt1NG5FN2dkMmQtRWtPN3BVOEx2ZDVvQnRyR21feVJUQTdTQ3VaZkZJVWExVU9sOUZZTHktV3pvaDBFSlJWZWdSZXpTT0o0S0pmZmVUbkhMQXpYMXpFTXlRT1RLR3MwZXdZVDc2OThZT1ljWHZ6b0tBLWVYcWJtMDJybF8zejZEbk9lMlZFdTJXaGhDWnREbmdORG83aDBDSG1mTjdkNmNKaTdoOG1PbXZBLUpTbkZEeFZzVWdtc0Z4OHp1cmtFbnpEdWtJYkxlSU5aM2NmbzVLVW1iRXJxeS1RYzY0MmNDTnBScFN1TjZBV2pNVQ?oc=5"" target=""_blank"">Will Himachal Pradesh’s Resolution for Controlled Cultivation of Cannabis Prove a Game-Changer?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Frontline</font>",
"Weather Alert: IMD issues orange alert for heavy rainfall in Tamil Nadu, Andhra Pradesh and THESE regions; Check full forecast here - The Financial Express",https://news.google.com/rss/articles/CBMijgJBVV95cUxOb3ZPeW15REVpcncwZkFvUUdjTk9lUm8zT29DRzNIVkNkSXdPZ3lSaHdudkxmNmctVTdDYURYS3Jvak8xWGs4LUFtal93dVhLN0pDbXRTTEtRbmFsYzN5eG5uWUlNa0JVOHl3SFVNWENCMl91WWsxT1FXMDluUUMyVEIwdmtDUEZQSWl3UTdJcDQ3YmQwZnRDd3NPSGNVaDlzUjBQdUE2RkJHUHRvaDc0TTJyUzJ3ci1Ya0plMFk4MlJ6NGdOS0l0czVSUWhFV3kydjlMTVA3YmljVm1DcVBVWUExT1pmZjhEZmt6UExNUEZhSFI5N0J4bU1kdzdUa3UwNGhJV1BXaTFTbmxwUEHSAZQCQVVfeXFMT190WDJKdndTdmJKY1l3cC1VNV8zYlN4S3FqVkxnUE1KQ2xPeTF2YjdrbllfbGp6RHRidUdjcmMyVDZrUEl3STdFWFlHZWkyV0psVFdNOEh5OXhvVEJlTHBKTS02NGdtbXl0cXo5Y3FaOUhRbUVOc21IM3hTWHh5Vk5zb291ZHAwT3V4WU1uZTNCYXpDUDhGenB6cGNTWWpPV05heXQxMXlaN25XZjc4bk44QUZSNnBsdXhfbWVmblBSTmhQUGV4dGRlX0NrQzZ3TFB2dWd1MUcxbzRlamNXR18tQWQ2MjVWdkxELVQ5ODVWbDJjMHBqdE83SlMwNnVKS05NOFVCZkxGcVJ6LTZSeTlOaExT?oc=5,2024-11-28 08:20:08,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxOb3ZPeW15REVpcncwZkFvUUdjTk9lUm8zT29DRzNIVkNkSXdPZ3lSaHdudkxmNmctVTdDYURYS3Jvak8xWGs4LUFtal93dVhLN0pDbXRTTEtRbmFsYzN5eG5uWUlNa0JVOHl3SFVNWENCMl91WWsxT1FXMDluUUMyVEIwdmtDUEZQSWl3UTdJcDQ3YmQwZnRDd3NPSGNVaDlzUjBQdUE2RkJHUHRvaDc0TTJyUzJ3ci1Ya0plMFk4MlJ6NGdOS0l0czVSUWhFV3kydjlMTVA3YmljVm1DcVBVWUExT1pmZjhEZmt6UExNUEZhSFI5N0J4bU1kdzdUa3UwNGhJV1BXaTFTbmxwUEHSAZQCQVVfeXFMT190WDJKdndTdmJKY1l3cC1VNV8zYlN4S3FqVkxnUE1KQ2xPeTF2YjdrbllfbGp6RHRidUdjcmMyVDZrUEl3STdFWFlHZWkyV0psVFdNOEh5OXhvVEJlTHBKTS02NGdtbXl0cXo5Y3FaOUhRbUVOc21IM3hTWHh5Vk5zb291ZHAwT3V4WU1uZTNCYXpDUDhGenB6cGNTWWpPV05heXQxMXlaN25XZjc4bk44QUZSNnBsdXhfbWVmblBSTmhQUGV4dGRlX0NrQzZ3TFB2dWd1MUcxbzRlamNXR18tQWQ2MjVWdkxELVQ5ODVWbDJjMHBqdE83SlMwNnVKS05NOFVCZkxGcVJ6LTZSeTlOaExT?oc=5"" target=""_blank"">Weather Alert: IMD issues orange alert for heavy rainfall in Tamil Nadu, Andhra Pradesh and THESE regions; Check full forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
"Himachal Pradesh NEET PG 2024 counselling round 1 seat allotment released, check direct link here - The Times of India",https://news.google.com/rss/articles/CBMigwJBVV95cUxNVHE1VjdBanljZWFFaFduQ05vdlVJMWlFU1kwU3Q5bkhVaEt6aU1vQXNoaXVjTFUzbFNKbk5ocXFXb1BoT3JiSTRzZmtZWGtodHFvaG5HeVZ5MDRzWFlqQ3RVR1J4VlZaRmwxWElfZndJTjJWaFR4X2xnTkpnU3BPb0FRQkJqRVA2MklqMzVRUTBRTFIxWVZHNE9pX0oxU2RiWDltcnBsYVQ0TDVNTHROTXdHbjdpS1U0X3d5dGR6UHgzck5CR29DT2l2ZFlSbFdCZ1RuVnltVFNLSzVMRzVNVUFqdVJrNHJqRkFmWVdwMVgwa2Z1MFFDWmVDdDROQVg4YmFF0gGIAkFVX3lxTE9tUnloV3dZTTViajAycGZTNUMyN0p0SFJ5T1Z5UUFlTDRwd2pFeFQ0cDhrMFM5ektmZElWZWx6aXZYdkFEUEw3c3BVQmxPcWt5a1VkVVJZeUdUQ28zTGgxU1A1R2dhMVpfWWhGQXFKV283REtYaUlzY2FVR3pESHhOcF9nNTVpa3R5cTBKNVdjMWxQVG5PS3ZtX082U21NakdBaFJfVkhIcHJFWE9YR2Y5ZU53VVBfc19DdmluSVlHSDkxVUNxZ2c2Wl9abi15RUxGbFE0UHBkdDh3WDJEZ2tjOFAzS3hCS1N2dUE4MjMwazJIQ2xlSGxOWkk2dUJQQURqUmxMZGxlVg?oc=5,2024-11-27 15:31:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxNVHE1VjdBanljZWFFaFduQ05vdlVJMWlFU1kwU3Q5bkhVaEt6aU1vQXNoaXVjTFUzbFNKbk5ocXFXb1BoT3JiSTRzZmtZWGtodHFvaG5HeVZ5MDRzWFlqQ3RVR1J4VlZaRmwxWElfZndJTjJWaFR4X2xnTkpnU3BPb0FRQkJqRVA2MklqMzVRUTBRTFIxWVZHNE9pX0oxU2RiWDltcnBsYVQ0TDVNTHROTXdHbjdpS1U0X3d5dGR6UHgzck5CR29DT2l2ZFlSbFdCZ1RuVnltVFNLSzVMRzVNVUFqdVJrNHJqRkFmWVdwMVgwa2Z1MFFDWmVDdDROQVg4YmFF0gGIAkFVX3lxTE9tUnloV3dZTTViajAycGZTNUMyN0p0SFJ5T1Z5UUFlTDRwd2pFeFQ0cDhrMFM5ektmZElWZWx6aXZYdkFEUEw3c3BVQmxPcWt5a1VkVVJZeUdUQ28zTGgxU1A1R2dhMVpfWWhGQXFKV283REtYaUlzY2FVR3pESHhOcF9nNTVpa3R5cTBKNVdjMWxQVG5PS3ZtX082U21NakdBaFJfVkhIcHJFWE9YR2Y5ZU53VVBfc19DdmluSVlHSDkxVUNxZ2c2Wl9abi15RUxGbFE0UHBkdDh3WDJEZ2tjOFAzS3hCS1N2dUE4MjMwazJIQ2xlSGxOWkk2dUJQQURqUmxMZGxlVg?oc=5"" target=""_blank"">Himachal Pradesh NEET PG 2024 counselling round 1 seat allotment released, check direct link here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
Tamil Nadu rains LIVE updates: Heavy rains continue; flight services disrupted in Chennai - The Hindu,https://news.google.com/rss/articles/CBMivwFBVV95cUxQR3NGVHFWXzAtYl93aEVKMnBLLWFzSXY4bmdQYUkxd2ZzaWRPY2RMOVVZaGE0OVota0hPb293LVpNaDFxRldzOFhRNzBHeERLUjBKQUtsTVlJWFRIY1BVZ3p1UUE4eG14bTRvVWJQUXJjOGtlRk9vOXN4LTJ1dTVwQWlfTlNXbHYzVEhOSC1pTzEzaEZwLWdLMTFCSUpHbWNNT2RCN3ZMNFZlSlRJX3ozRVVZdTQ1X0kzcjZlbDdXVQ?oc=5,2024-11-28 07:53:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQR3NGVHFWXzAtYl93aEVKMnBLLWFzSXY4bmdQYUkxd2ZzaWRPY2RMOVVZaGE0OVota0hPb293LVpNaDFxRldzOFhRNzBHeERLUjBKQUtsTVlJWFRIY1BVZ3p1UUE4eG14bTRvVWJQUXJjOGtlRk9vOXN4LTJ1dTVwQWlfTlNXbHYzVEhOSC1pTzEzaEZwLWdLMTFCSUpHbWNNT2RCN3ZMNFZlSlRJX3ozRVVZdTQ1X0kzcjZlbDdXVQ?oc=5"" target=""_blank"">Tamil Nadu rains LIVE updates: Heavy rains continue; flight services disrupted in Chennai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Monsoon Forecast - IMD warning Heavy Rain, snowfall & thunderstorms in These States next 24 hours - Times Bull",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPc3l5N2ItYWlUX29ockJtTXNlYUN1RmVDak03bF94YmlGNkNhRVBoQUI2SFpZOXVRNnZBdWtUUXlEanZudjlfbHlGUGdTWjJJaHJvRG5FcGtpLS1QVmc0a0htQjlLdmE0eE93bGZKWFRvSVZYWWNYMjJqNzcxQVBEenpBdkQ3ODNzLWUyNVpMYkp5cDlTNjhjWE11dWxCOFFtNzB3dFd0VUVkbHRONlZ3YjBFR2dfdnZ0Zi1ORlhyZXMzY3pDbDFwLUgwenVrYVdxZ3cwRXVyLWtOb3RxOWxCdnFTOA?oc=5,2024-11-28 09:38:18,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPc3l5N2ItYWlUX29ockJtTXNlYUN1RmVDak03bF94YmlGNkNhRVBoQUI2SFpZOXVRNnZBdWtUUXlEanZudjlfbHlGUGdTWjJJaHJvRG5FcGtpLS1QVmc0a0htQjlLdmE0eE93bGZKWFRvSVZYWWNYMjJqNzcxQVBEenpBdkQ3ODNzLWUyNVpMYkp5cDlTNjhjWE11dWxCOFFtNzB3dFd0VUVkbHRONlZ3YjBFR2dfdnZ0Zi1ORlhyZXMzY3pDbDFwLUgwenVrYVdxZ3cwRXVyLWtOb3RxOWxCdnFTOA?oc=5"" target=""_blank"">Monsoon Forecast - IMD warning Heavy Rain, snowfall & thunderstorms in These States next 24 hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Tamil Nadu weather: Chennai weathers storm, but 23 districts across state put on heavy rain warning for tomorrow - MSN",https://news.google.com/rss/articles/CBMimwJBVV95cUxNR1U1UkZpNHIyZktNck8xTFFPLXBrdWJLQ2RSWHRKbzIzMUNsYURyMXo5SkRtY0FTY3lLODNxY2tudFA4SU9vNlJKdE1DT3BpT2lybG1XXy1Mek84ekVQcWhydlczMHBSQzA5UzVlRTllLXhkT1lsbzdmcUJZbHZXVlNHbVV0OU1hZkh5ZDVVeEc0dTdSdjJNMEhWY2V3VlJ0QVMzbTFNRFVuVkZid0F4Y1dEV1BUbmF6SElQTmtjbmdJaEMza2wySWNhNlBxTmlWQUZCVXFmYXFydVVTVVJib184WUNXRFpfcm5hTUprVGFVNHRtME9Ed0R2Yk5YODV6M2ZiWEF3c3ZpZ2h6UGZjUDJnQ21Gdk0tNXQ0?oc=5,2024-11-27 21:08:43,MSN,"<a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxNR1U1UkZpNHIyZktNck8xTFFPLXBrdWJLQ2RSWHRKbzIzMUNsYURyMXo5SkRtY0FTY3lLODNxY2tudFA4SU9vNlJKdE1DT3BpT2lybG1XXy1Mek84ekVQcWhydlczMHBSQzA5UzVlRTllLXhkT1lsbzdmcUJZbHZXVlNHbVV0OU1hZkh5ZDVVeEc0dTdSdjJNMEhWY2V3VlJ0QVMzbTFNRFVuVkZid0F4Y1dEV1BUbmF6SElQTmtjbmdJaEMza2wySWNhNlBxTmlWQUZCVXFmYXFydVVTVVJib184WUNXRFpfcm5hTUprVGFVNHRtME9Ed0R2Yk5YODV6M2ZiWEF3c3ZpZ2h6UGZjUDJnQ21Gdk0tNXQ0?oc=5"" target=""_blank"">Tamil Nadu weather: Chennai weathers storm, but 23 districts across state put on heavy rain warning for tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Tamil Nadu weather Update: Cyclonic storm over Bay of Bengal to bring intense rainfall over T.N. coasts till December 1 - The Hindu,https://news.google.com/rss/articles/CBMi-wFBVV95cUxQS24zT0JCaDYxcjdTZXJWR1ZLZ2xPVmRSVjJ0bk1HZ0JhNmZlakltVFJETExyUk8xNXo3SnhBNUlrMVA5cmw5RnlKRXEyWnh1cWtjbFN6T2ltSnpRTmQ2dl8xS0NfMzQ4c3dTbXBtZTJMb3pER1M1ZzZhY3VZZzBtNTdFQVEzSXRQYUNMX1hJZVRPTGthNzE4TVVMRDJXcFl6TzJiUzY3dXdGaVgxV0xNME1hVFhlY3o0aC0xMzEtNzhoU3ZiRHlpekxhektUTVRYajRHbUV6Sl9WRHlIRkFnR0R2OGZQSGRraUxyZVZKbjZURWk2TExxU0xUUdIBggJBVV95cUxNbVowQnBFU280ZG10eFBYRkFPU0NTRDZZRjdNVHZlTjhlSzgwbHA4bVpkYndsbXhlMTJpTmtHSzdCdTlhQlZ2MVJSREtTSHEzRGZWV1lzY1VGTnJkN29NSWNsZ0lRRUk3a1JVZml0bmFSQU9SMHNjdGVBY1FpUW5zNnh5MVVQVmJmUjk2VGdiRTdsQVF0ZDJCM3V3MGNMWEZzQWcwWVFLZDBRbkZwOGZ1d3djVmoxRnRHV1ZjQi1USXhjZjdpcmxFWDdBb1U1S0c2Y1doaHhLcGFfeWFJRFAySXJ3QWRXMXUtZ21OcUlrYkkzaTFCZ25GZFBPQ0Q3ZmRfaGc?oc=5,2024-11-27 14:45:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQS24zT0JCaDYxcjdTZXJWR1ZLZ2xPVmRSVjJ0bk1HZ0JhNmZlakltVFJETExyUk8xNXo3SnhBNUlrMVA5cmw5RnlKRXEyWnh1cWtjbFN6T2ltSnpRTmQ2dl8xS0NfMzQ4c3dTbXBtZTJMb3pER1M1ZzZhY3VZZzBtNTdFQVEzSXRQYUNMX1hJZVRPTGthNzE4TVVMRDJXcFl6TzJiUzY3dXdGaVgxV0xNME1hVFhlY3o0aC0xMzEtNzhoU3ZiRHlpekxhektUTVRYajRHbUV6Sl9WRHlIRkFnR0R2OGZQSGRraUxyZVZKbjZURWk2TExxU0xUUdIBggJBVV95cUxNbVowQnBFU280ZG10eFBYRkFPU0NTRDZZRjdNVHZlTjhlSzgwbHA4bVpkYndsbXhlMTJpTmtHSzdCdTlhQlZ2MVJSREtTSHEzRGZWV1lzY1VGTnJkN29NSWNsZ0lRRUk3a1JVZml0bmFSQU9SMHNjdGVBY1FpUW5zNnh5MVVQVmJmUjk2VGdiRTdsQVF0ZDJCM3V3MGNMWEZzQWcwWVFLZDBRbkZwOGZ1d3djVmoxRnRHV1ZjQi1USXhjZjdpcmxFWDdBb1U1S0c2Y1doaHhLcGFfeWFJRFAySXJ3QWRXMXUtZ21OcUlrYkkzaTFCZ25GZFBPQ0Q3ZmRfaGc?oc=5"" target=""_blank"">Tamil Nadu weather Update: Cyclonic storm over Bay of Bengal to bring intense rainfall over T.N. coasts till December 1</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Misty mornings soon in Kerala, northeast monsoon 22% deficient - The Hindu",https://news.google.com/rss/articles/CBMixAFBVV95cUxQRmR2R2NaeWx3dXprSE5TZ05BSkZvQy1WUjgwQm95akZvWERIdXpqaDNqVzlrRjNjQ0ROWHhzMU1wQ2hhZGx2bHBneUg0cFllVTVvazVaeTAyTHZubWhOeWVUTGI1bTVpb3hTWFFBQ21rZWJ6NGxLNmVVNVQwWnEzUmF5cWR6VU90eTJmWHNLZ1VLSFUzUExrMkF3Yk1yNk9IbnlxUVpadDAtd2ZkNHRZdmVzaHhMTW5paGx3bkxwN2xqczJ20gHLAUFVX3lxTE8xWUoyUmhHcUJfZVBFRXBuYkI3UGJCcUY4QlZUZWI4WU5vU1JJUUhpTnpQeDFscEpZUWpmMUVJSWhCTkwxdlRkOHQ0QURNcGFGelA2b0ZOc2Exa25mVnNBdWZ4ZzI4d0xndGpBSVVqZUYzODNYeDNILTl4c290d0liRjc4TnJfUFVYdGNHMFhmMkJJLWVOYzBHSk1GY1QydDlzOWFPaEpWdzN3WTBWbDlNajVNZmR6WVZtUHpaQy1KeE1XNm9EODZrbXlZ?oc=5,2024-11-27 20:25:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxQRmR2R2NaeWx3dXprSE5TZ05BSkZvQy1WUjgwQm95akZvWERIdXpqaDNqVzlrRjNjQ0ROWHhzMU1wQ2hhZGx2bHBneUg0cFllVTVvazVaeTAyTHZubWhOeWVUTGI1bTVpb3hTWFFBQ21rZWJ6NGxLNmVVNVQwWnEzUmF5cWR6VU90eTJmWHNLZ1VLSFUzUExrMkF3Yk1yNk9IbnlxUVpadDAtd2ZkNHRZdmVzaHhMTW5paGx3bkxwN2xqczJ20gHLAUFVX3lxTE8xWUoyUmhHcUJfZVBFRXBuYkI3UGJCcUY4QlZUZWI4WU5vU1JJUUhpTnpQeDFscEpZUWpmMUVJSWhCTkwxdlRkOHQ0QURNcGFGelA2b0ZOc2Exa25mVnNBdWZ4ZzI4d0xndGpBSVVqZUYzODNYeDNILTl4c290d0liRjc4TnJfUFVYdGNHMFhmMkJJLWVOYzBHSk1GY1QydDlzOWFPaEpWdzN3WTBWbDlNajVNZmR6WVZtUHpaQy1KeE1XNm9EODZrbXlZ?oc=5"" target=""_blank"">Misty mornings soon in Kerala, northeast monsoon 22% deficient</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
Constitution Day celebrated with enthusiasm at Shaheed Major Sudhir Kumar Walia School in Palampur’s Banuri - The Newz Radar,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQUEFjRVZ0LW54NFcxUms1Ykg2SUZGX1lROWxZaUlTZ3F2cWpzUEVabVFLY2dxLUJHLW4yNGRUUF9VSC11VXpURllNTGktY1JqYk9vYVN4YV9oU1VsWEFCWDdDd2Rtc3d6bGxIalBtLTFpVk1vNjNjdVUtdnBpQjBUV1ZyT0hQTkZDLWxLVFFMS2thOXJOc2s0eFVSaE4zWEV2STZCaURiYkloVTJFZ1l6R3ZDcDRMamQ4ajJTa2dndllJT2xTanItWXVRLTFvTzRWdXhSOUJzYUtoU0RTMUxLOTNTZw?oc=5,2024-11-27 16:27:53,The Newz Radar,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQUEFjRVZ0LW54NFcxUms1Ykg2SUZGX1lROWxZaUlTZ3F2cWpzUEVabVFLY2dxLUJHLW4yNGRUUF9VSC11VXpURllNTGktY1JqYk9vYVN4YV9oU1VsWEFCWDdDd2Rtc3d6bGxIalBtLTFpVk1vNjNjdVUtdnBpQjBUV1ZyT0hQTkZDLWxLVFFMS2thOXJOc2s0eFVSaE4zWEV2STZCaURiYkloVTJFZ1l6R3ZDcDRMamQ4ajJTa2dndllJT2xTanItWXVRLTFvTzRWdXhSOUJzYUtoU0RTMUxLOTNTZw?oc=5"" target=""_blank"">Constitution Day celebrated with enthusiasm at Shaheed Major Sudhir Kumar Walia School in Palampur’s Banuri</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Newz Radar</font>",
