Title,Link,Date,Source,Summary,Term,LanguageQueried
Jharkhand Weather Today: झारखंड में मूसलाधार बारिश और तूफान का डबल अटैक; 10 जिलों में बढ़ेंगी मुश्किलें - दैनिक जागरण (Dainik Jagran),https://news.google.com/rss/articles/CBMi6wFBVV95cUxOMFdfWG9GZkNvWkxpNFVMUjFzNHN4RTdTNmdQVFh2T0J2MWU1bk5xalpFaWxfeERjckYwSUJFVjMxOEhqME1GU0F4UWlITFEzMjFsVmNXUGtYMHQ4RjdLNlhqaXBfQXFaMnBZTUV3TEZKUF8wVXJmRml6elRHUTZ6RkJYV01HZWZXQ2QwYXJxcXNjcEx1OE03TzJCX2J4RUk5bUY2S0k1c1VZcnJZTTlpVXRPdFEzazR2eV9ZSFYwQWVCakNQcEJHQ3piNnY2bGI2ekNLeVJvNUYyVVhBTlhhYWhpSjd3TmV2anpz?oc=5,2025-03-20 07:43:00,दैनिक जागरण (Dainik Jagran),"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOMFdfWG9GZkNvWkxpNFVMUjFzNHN4RTdTNmdQVFh2T0J2MWU1bk5xalpFaWxfeERjckYwSUJFVjMxOEhqME1GU0F4UWlITFEzMjFsVmNXUGtYMHQ4RjdLNlhqaXBfQXFaMnBZTUV3TEZKUF8wVXJmRml6elRHUTZ6RkJYV01HZWZXQ2QwYXJxcXNjcEx1OE03TzJCX2J4RUk5bUY2S0k1c1VZcnJZTTlpVXRPdFEzazR2eV9ZSFYwQWVCakNQcEJHQ3piNnY2bGI2ekNLeVJvNUYyVVhBTlhhYWhpSjd3TmV2anpz?oc=5"" target=""_blank"">Jharkhand Weather Today: झारखंड में मूसलाधार बारिश और तूफान का डबल अटैक; 10 जिलों में बढ़ेंगी मुश्किलें</a>&nbsp;&nbsp;<font color=""#6f6f6f"">दैनिक जागरण (Dainik Jagran)</font>",Disaster,hi
Severe Weather Alerts Issued Across India As Heat Rises - Evrim Ağacı,https://news.google.com/rss/articles/CBMikwFBVV95cUxPR2hOVU5tYU9ZMGV0U05xNG9VdWJiOVN0SmZhX0ZHRW84cEhTc0JRSGMwNW1GRzZEeU4wbV9VVkVHSk9Udllpd0FaWjVfS2NOU3VIbGdsUkNyS1ZWTmtXaEY3NkJmR1ZnNWZtNjRHZ1B4djd1aG5adHZDZE5zaDBlaTdxckIwU0VZZUpKZzUzTTdKVWM?oc=5,2025-03-20 07:50:10,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPR2hOVU5tYU9ZMGV0U05xNG9VdWJiOVN0SmZhX0ZHRW84cEhTc0JRSGMwNW1GRzZEeU4wbV9VVkVHSk9Udllpd0FaWjVfS2NOU3VIbGdsUkNyS1ZWTmtXaEY3NkJmR1ZnNWZtNjRHZ1B4djd1aG5adHZDZE5zaDBlaTdxckIwU0VZZUpKZzUzTTdKVWM?oc=5"" target=""_blank"">Severe Weather Alerts Issued Across India As Heat Rises</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Disaster,hi
"Rain In Jharkhand: झारखंड में बिगड़ा मौसम, इस जिले में भारी बारिश और बर्फबारी ने मचाई तबाही; बेघर हुए लोग - दैनिक जागरण (Dainik Jagran)",https://news.google.com/rss/articles/CBMi1wFBVV95cUxPMlVkTTdpTHdSempSNTZfWWs5YXZqb2FtUTN4NFJ5ZXNGVVhmbGE5em1SeVRhbHZQS1MzMnZqOEhDdXZrZ0lDWTljcW4tNmJocE0zOVRWMUwzUER3RWRxQ1l5LTBUNnhGS0NoTG1nTTYtR3lXTFN0SHZqNDdzQkoyeHNhTnJBN3lnUG9vSVB2YW9EVmNrWkxpbGhPWHNhendORDA3bHZTUGRUa1ozLWFkV3VTaE5FWmpqUV82Sm1WT00tb2RNQ1NqcHlNZ3BKc1VvNW5QZnMwbw?oc=5,2025-03-19 16:19:00,दैनिक जागरण (Dainik Jagran),"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxPMlVkTTdpTHdSempSNTZfWWs5YXZqb2FtUTN4NFJ5ZXNGVVhmbGE5em1SeVRhbHZQS1MzMnZqOEhDdXZrZ0lDWTljcW4tNmJocE0zOVRWMUwzUER3RWRxQ1l5LTBUNnhGS0NoTG1nTTYtR3lXTFN0SHZqNDdzQkoyeHNhTnJBN3lnUG9vSVB2YW9EVmNrWkxpbGhPWHNhendORDA3bHZTUGRUa1ozLWFkV3VTaE5FWmpqUV82Sm1WT00tb2RNQ1NqcHlNZ3BKc1VvNW5QZnMwbw?oc=5"" target=""_blank"">Rain In Jharkhand: झारखंड में बिगड़ा मौसम, इस जिले में भारी बारिश और बर्फबारी ने मचाई तबाही; बेघर हुए लोग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">दैनिक जागरण (Dainik Jagran)</font>",Disaster,hi
"कल का मौसम 20 March 2025: ध्यान दें! Haryana समेत उत्तर भारत में आंधी-बारिश, तूफान का ट्रिपल अटैक, तो Bihar में बिजली गिरने के अलर्ट से परेशान मवेशी; जानें वेदर रिपोर्ट - DNP INDIA HINDI",https://news.google.com/rss/articles/CBMiqAJBVV95cUxNU2h2c1FKMEQ3RHZ3em5SdU9QZV9rS1FQMGRDcjRLSl9qSVJxOHM3Y3ZDMEF6bkwwdXZuN2RQei15UHhxeFEwUXVHSGJKRkxza3gyMlNfbDlteEV0QUlxbm1SMnZ6UTl5LTl5U1h5bGNvemdxXzM1Q1FxbHh1SFplbnVPQWo4M0FrRURwcXpmeVl3MkJyNlpGTnh4SXRlTTd2SkdzVFFKX19BSXFBcW1TNTJKVWw3WUJZcUQ4djlXc0ZmTUdjRWFLN1JOUURkc0tfZ3ZVVFlxNTQtY2RhWWVFQXZKUnNuRGxJZFpIbE12eUZueG5qVFdRNUJVRzNpSmVxR2hjblZsS3l5Q0U0TlVPczJYbDRWSkpBY3FQc3J3eVNqdjJaUEdXZdIBqAJBVV95cUxNU2h2c1FKMEQ3RHZ3em5SdU9QZV9rS1FQMGRDcjRLSl9qSVJxOHM3Y3ZDMEF6bkwwdXZuN2RQei15UHhxeFEwUXVHSGJKRkxza3gyMlNfbDlteEV0QUlxbm1SMnZ6UTl5LTl5U1h5bGNvemdxXzM1Q1FxbHh1SFplbnVPQWo4M0FrRURwcXpmeVl3MkJyNlpGTnh4SXRlTTd2SkdzVFFKX19BSXFBcW1TNTJKVWw3WUJZcUQ4djlXc0ZmTUdjRWFLN1JOUURkc0tfZ3ZVVFlxNTQtY2RhWWVFQXZKUnNuRGxJZFpIbE12eUZueG5qVFdRNUJVRzNpSmVxR2hjblZsS3l5Q0U0TlVPczJYbDRWSkpBY3FQc3J3eVNqdjJaUEdXZQ?oc=5,2025-03-19 19:45:00,DNP INDIA HINDI,"<a href=""https://news.google.com/rss/articles/CBMiqAJBVV95cUxNU2h2c1FKMEQ3RHZ3em5SdU9QZV9rS1FQMGRDcjRLSl9qSVJxOHM3Y3ZDMEF6bkwwdXZuN2RQei15UHhxeFEwUXVHSGJKRkxza3gyMlNfbDlteEV0QUlxbm1SMnZ6UTl5LTl5U1h5bGNvemdxXzM1Q1FxbHh1SFplbnVPQWo4M0FrRURwcXpmeVl3MkJyNlpGTnh4SXRlTTd2SkdzVFFKX19BSXFBcW1TNTJKVWw3WUJZcUQ4djlXc0ZmTUdjRWFLN1JOUURkc0tfZ3ZVVFlxNTQtY2RhWWVFQXZKUnNuRGxJZFpIbE12eUZueG5qVFdRNUJVRzNpSmVxR2hjblZsS3l5Q0U0TlVPczJYbDRWSkpBY3FQc3J3eVNqdjJaUEdXZdIBqAJBVV95cUxNU2h2c1FKMEQ3RHZ3em5SdU9QZV9rS1FQMGRDcjRLSl9qSVJxOHM3Y3ZDMEF6bkwwdXZuN2RQei15UHhxeFEwUXVHSGJKRkxza3gyMlNfbDlteEV0QUlxbm1SMnZ6UTl5LTl5U1h5bGNvemdxXzM1Q1FxbHh1SFplbnVPQWo4M0FrRURwcXpmeVl3MkJyNlpGTnh4SXRlTTd2SkdzVFFKX19BSXFBcW1TNTJKVWw3WUJZcUQ4djlXc0ZmTUdjRWFLN1JOUURkc0tfZ3ZVVFlxNTQtY2RhWWVFQXZKUnNuRGxJZFpIbE12eUZueG5qVFdRNUJVRzNpSmVxR2hjblZsS3l5Q0U0TlVPczJYbDRWSkpBY3FQc3J3eVNqdjJaUEdXZQ?oc=5"" target=""_blank"">कल का मौसम 20 March 2025: ध्यान दें! Haryana समेत उत्तर भारत में आंधी-बारिश, तूफान का ट्रिपल अटैक, तो Bihar में बिजली गिरने के अलर्ट से परेशान मवेशी; जानें वेदर रिपोर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNP INDIA HINDI</font>",Disaster,hi
Jharkhand Weather Update: Orange Alert for March 20-21 as Thunderstorms & Winds Approach - UP Excise Portal,https://news.google.com/rss/articles/CBMitwFBVV95cUxPT1l0VkF4QnBLY2hXWEdBX3Vnb2JoUXlFeVFkRDhpQVpEcHhFc0hYS2VISFhuZFUtWFhIeko2QzhiWDhSTkFfRllHdV92eTlyM050bWZPRWdaams0NE9JYWQ5YXZMYVRTV2ZIMmRqRnk0OHExb2ZFMmFLZ3dQa0pqLUJEcEF1TVZfOHFwSm5nQ3dEZ0lNdld3WUk3R0pVejZRRTdqVkRGYkR5U21DTS1CeGNJTmI2cE0?oc=5,2025-03-19 19:02:37,UP Excise Portal,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPT1l0VkF4QnBLY2hXWEdBX3Vnb2JoUXlFeVFkRDhpQVpEcHhFc0hYS2VISFhuZFUtWFhIeko2QzhiWDhSTkFfRllHdV92eTlyM050bWZPRWdaams0NE9JYWQ5YXZMYVRTV2ZIMmRqRnk0OHExb2ZFMmFLZ3dQa0pqLUJEcEF1TVZfOHFwSm5nQ3dEZ0lNdld3WUk3R0pVejZRRTdqVkRGYkR5U21DTS1CeGNJTmI2cE0?oc=5"" target=""_blank"">Jharkhand Weather Update: Orange Alert for March 20-21 as Thunderstorms & Winds Approach</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UP Excise Portal</font>",Disaster,en
"Why Severe Heatwave Is Gripping Karnataka, West Bengal, Maharashtra, & Other Indian States - MSN",https://news.google.com/rss/articles/CBMi8gFBVV95cUxPNzFuVWpzTmh1U2t1ZkdtQmJNME1aM3BBQllLS2w2aEF4U0Q0cWFKZ3pzV09SUy1MbGVHVXV2QnlkZ09fMVlvd1M3akx5dlJCLXlPS2NtbktWZTN4Rl96SUFIN3hobVAtWkdobjlxSWtYQ09DRlNDSXBnNUdnVzlnQWoyMktQcjRMS1BVUkFsVGpTXzdhS1JBMlV4dWJrR0I0cWlLdEVNdlBydGNCQ0xRY1ZtcXdOMkZCWTY2aE1qSFFsS2J3R05xOVRyeHVvLUNDNmt1MUQ4ZlA3TmQ3YVZtWDl5UnRBMDN4YmFoYWhwc3NSZw?oc=5,2025-03-20 00:40:54,MSN,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxPNzFuVWpzTmh1U2t1ZkdtQmJNME1aM3BBQllLS2w2aEF4U0Q0cWFKZ3pzV09SUy1MbGVHVXV2QnlkZ09fMVlvd1M3akx5dlJCLXlPS2NtbktWZTN4Rl96SUFIN3hobVAtWkdobjlxSWtYQ09DRlNDSXBnNUdnVzlnQWoyMktQcjRMS1BVUkFsVGpTXzdhS1JBMlV4dWJrR0I0cWlLdEVNdlBydGNCQ0xRY1ZtcXdOMkZCWTY2aE1qSFFsS2J3R05xOVRyeHVvLUNDNmt1MUQ4ZlA3TmQ3YVZtWDl5UnRBMDN4YmFoYWhwc3NSZw?oc=5"" target=""_blank"">Why Severe Heatwave Is Gripping Karnataka, West Bengal, Maharashtra, & Other Indian States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
Severe Thunderstorms And Rainfall Expected Across India - Evrim Ağacı,https://news.google.com/rss/articles/CBMikwFBVV95cUxQTFF4S0x0MjdwUnpmTnNZVG5ZV1l4MGxnWWxEV2xGeklTQ2RYYnItcm5QVy1NN0xqOWxOTjRsWldrZ2djUzhzV3JzaWV0SXRGckNJMGNqRFNuVmdyZ2xRSDBGTjk0V1c1QTZuNUlPUG5uWEFJaXA4YjdPM0FNbVFsVnRmWEM0VWcyN29PVm14a3l3RjQ?oc=5,2025-03-20 07:31:18,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQTFF4S0x0MjdwUnpmTnNZVG5ZV1l4MGxnWWxEV2xGeklTQ2RYYnItcm5QVy1NN0xqOWxOTjRsWldrZ2djUzhzV3JzaWV0SXRGckNJMGNqRFNuVmdyZ2xRSDBGTjk0V1c1QTZuNUlPUG5uWEFJaXA4YjdPM0FNbVFsVnRmWEM0VWcyN29PVm14a3l3RjQ?oc=5"" target=""_blank"">Severe Thunderstorms And Rainfall Expected Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Disaster,en
IMD Issues Storm & Rain Alert: These States to Face Heavy Weather Soon! - UP Excise Portal,https://news.google.com/rss/articles/CBMinwFBVV95cUxOYm02Wlc0WFlzTUNZMV9pNDJ2U0xXU3dmamVmVWloTndKWUx6bGNaN0hieGdydjh0OWJxV2hNRmRHNElQdjRMOHRINDk4Ym5RMGdTMkpQRTdVM05YdTNhZGswRHFEc2RwMDFlVF9oMzgtYkotQ2ZwNVZ0dDQ0bDBWYVY5cThtTWdxNWxmdFBaMlF1Q2NfT3l1THlnTFZObWc?oc=5,2025-03-19 20:26:00,UP Excise Portal,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOYm02Wlc0WFlzTUNZMV9pNDJ2U0xXU3dmamVmVWloTndKWUx6bGNaN0hieGdydjh0OWJxV2hNRmRHNElQdjRMOHRINDk4Ym5RMGdTMkpQRTdVM05YdTNhZGswRHFEc2RwMDFlVF9oMzgtYkotQ2ZwNVZ0dDQ0bDBWYVY5cThtTWdxNWxmdFBaMlF1Q2NfT3l1THlnTFZObWc?oc=5"" target=""_blank"">IMD Issues Storm & Rain Alert: These States to Face Heavy Weather Soon!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UP Excise Portal</font>",Disaster,en
"Scorching heatwave grips Jharkhand, seven districts cross 40°C, IMD prediction says... - MSN",https://news.google.com/rss/articles/CBMiygFBVV95cUxNOWx2T3lHbVhWR21idEt1bGt3T0hoNTZJb3pEZVJZUGlwbEI3YXZaOHRIakxtN1NyODhTWmkxamNEaEd2MGtUSVZxVHJDd2tMMk5MTVQ1OC1oM1IxNGx0WVFRd0VEUlE1T1o1blBpbHJJaXRvb1l1TDN2RzZSM1ZZWW9OdVpWMDY0aThYWFlEX2V0NkVCaTJKZXFPNWo2cFZScmVMMkMySzhJSTRLWFJ3bTdYYWs0OEhMaUVUYTV2bXk4SGhvcUYxMlN3?oc=5,2025-03-20 05:00:00,MSN,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNOWx2T3lHbVhWR21idEt1bGt3T0hoNTZJb3pEZVJZUGlwbEI3YXZaOHRIakxtN1NyODhTWmkxamNEaEd2MGtUSVZxVHJDd2tMMk5MTVQ1OC1oM1IxNGx0WVFRd0VEUlE1T1o1blBpbHJJaXRvb1l1TDN2RzZSM1ZZWW9OdVpWMDY0aThYWFlEX2V0NkVCaTJKZXFPNWo2cFZScmVMMkMySzhJSTRLWFJ3bTdYYWs0OEhMaUVUYTV2bXk4SGhvcUYxMlN3?oc=5"" target=""_blank"">Scorching heatwave grips Jharkhand, seven districts cross 40°C, IMD prediction says...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Nationwide Weather Update: March 20, 2025 - Evrim Ağacı",https://news.google.com/rss/articles/CBMifkFVX3lxTE1BdFhHenpUem1XSmM0eks3ZnFFLUVLbGhkZXNRZnBrX0h1cWtlN2VkYTZJT1I2ckNrbVRDLTNnLWV5RElzUWdvU2FyVnljeVB1SER5S2pyWUh0NVhTeEFxVC1kbEdXek1ZWFBoaDNhTkdOQk52YmQ5cFo2YXZtdw?oc=5,2025-03-20 07:35:59,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE1BdFhHenpUem1XSmM0eks3ZnFFLUVLbGhkZXNRZnBrX0h1cWtlN2VkYTZJT1I2ckNrbVRDLTNnLWV5RElzUWdvU2FyVnljeVB1SER5S2pyWUh0NVhTeEFxVC1kbEdXek1ZWFBoaDNhTkdOQk52YmQ5cFo2YXZtdw?oc=5"" target=""_blank"">Nationwide Weather Update: March 20, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Disaster,en
