Title,Link,Date,Source,Summary,Term,LanguageQueried
"झारखंड के 16 जिलों में आंधी-तूफान के साथ बारिश, वज्रपात की चेतावनी, फिर गर्मी ढाएगी कहर Jharkhand Weather - Prabhat Khabar",https://news.google.com/rss/articles/CBMizAFBVV95cUxNM1Z0cGJpekJKMHRiWUFqSDl6aGpNcHkwVkdnODhnbzJQTE5TWldCTGEwLWxFaFo3RU0yZG82azVBMUNNQ3NOU05EcXNQaFg5bmVQNlJiX0hxbEhfMUlBZEtGTm5xdURjS21rb1dRaERHQktSdnItTDhzNWxEcmlBRkZoaGw4VW1EM25qSG4xbFk1TTJmUE1PQmI0LTBsYUI5UTUtSlN6aWtVREh1bWVlQ0c5bG9qZEUzYmZFMG5uMXRVbGJ6ejB2eUV0cXTSAdIBQVVfeXFMUFZnSXZNRGk0cXF0aHJCbjllTmpmYTRIR25mTG9jR1F3a2d5QUN5Vko2dzVlRTVUOXhGU3NFV3M1ZU9tRXZvLV9obEJpUnUxaEcyWS05SmdQRHJqQ2FpOER6TWxBdERqV05XTHlTdjlUejhkN2VXQnJCam52bU1tU2dFV09fTERMclVnSlZ4SF9xVlhqSzd3MEVwaGpSVk1YQUNHd2hOVHd1OWE5ZnNBOGZrZGlHMmNqZTRONnk0eThveGJVY1FtVXlBUkd0R0xNakFB?oc=5,2025-05-06 05:29:00,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNM1Z0cGJpekJKMHRiWUFqSDl6aGpNcHkwVkdnODhnbzJQTE5TWldCTGEwLWxFaFo3RU0yZG82azVBMUNNQ3NOU05EcXNQaFg5bmVQNlJiX0hxbEhfMUlBZEtGTm5xdURjS21rb1dRaERHQktSdnItTDhzNWxEcmlBRkZoaGw4VW1EM25qSG4xbFk1TTJmUE1PQmI0LTBsYUI5UTUtSlN6aWtVREh1bWVlQ0c5bG9qZEUzYmZFMG5uMXRVbGJ6ejB2eUV0cXTSAdIBQVVfeXFMUFZnSXZNRGk0cXF0aHJCbjllTmpmYTRIR25mTG9jR1F3a2d5QUN5Vko2dzVlRTVUOXhGU3NFV3M1ZU9tRXZvLV9obEJpUnUxaEcyWS05SmdQRHJqQ2FpOER6TWxBdERqV05XTHlTdjlUejhkN2VXQnJCam52bU1tU2dFV09fTERMclVnSlZ4SF9xVlhqSzd3MEVwaGpSVk1YQUNHd2hOVHd1OWE5ZnNBOGZrZGlHMmNqZTRONnk0eThveGJVY1FtVXlBUkd0R0xNakFB?oc=5"" target=""_blank"">झारखंड के 16 जिलों में आंधी-तूफान के साथ बारिश, वज्रपात की चेतावनी, फिर गर्मी ढाएगी कहर Jharkhand Weather</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Disaster,hi
"आंधी तूफान ने मचाई तबाही, बिजली बाधित - Hindustan",https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYWFfbVIyMUZ4UTZ2TGJXT2d4QVA1OTVfYmxRMFZ5QUVmbTA0aWJ4SjJxMGw1dnVKeWY3Z01vcnNBR1hzb1Y5NGppOHk1aVRVdFBFME02TU5Ld0NsNW8wMnk0MnBEVFoyeFNLclg0ZHpOV3FzVFpuSVhkTDBVeFhFdnJZZlpxcjExczJFYWNnbEVPWU9oQmZ3WUNsUWhMQl96MFVLMExqVE8weTZSWEVVYWVXNU5BWHQ1UEdvZVZyd0F4TlJKdFFuM3NyWjExN2ktdEdSb0VzcDdJZU91eGVfWFNJS3XSAeQBQVVfeXFMTmFhX21SMjFGeFE2dkxiV09neEFQNTk1X2JsUTBWeUFFZm0wNGlieEoycTBsNXZ1SnlmN2dNb3JzQUdYc29WOTRqaTh5NWlUVXRQRTBNNk1OS3dDbDVvMDJ5NDJwRFRaMnhTS3JYNGR6Tldxc1RabklYZEwwVXhYRXZyWWZacXIxMXMyRWFjZ2xFT1lPaEJmd1lDbFFoTEJfejBVSzBMalRPMHk2UlhFVWFlVzVOQVh0NVBHb2VWcndBeE5SSnRRbjNzcloxMTdpLXRHUm9Fc3A3SWVPdXhlX1hTSUt1?oc=5,2025-05-05 21:46:45,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYWFfbVIyMUZ4UTZ2TGJXT2d4QVA1OTVfYmxRMFZ5QUVmbTA0aWJ4SjJxMGw1dnVKeWY3Z01vcnNBR1hzb1Y5NGppOHk1aVRVdFBFME02TU5Ld0NsNW8wMnk0MnBEVFoyeFNLclg0ZHpOV3FzVFpuSVhkTDBVeFhFdnJZZlpxcjExczJFYWNnbEVPWU9oQmZ3WUNsUWhMQl96MFVLMExqVE8weTZSWEVVYWVXNU5BWHQ1UEdvZVZyd0F4TlJKdFFuM3NyWjExN2ktdEdSb0VzcDdJZU91eGVfWFNJS3XSAeQBQVVfeXFMTmFhX21SMjFGeFE2dkxiV09neEFQNTk1X2JsUTBWeUFFZm0wNGlieEoycTBsNXZ1SnlmN2dNb3JzQUdYc29WOTRqaTh5NWlUVXRQRTBNNk1OS3dDbDVvMDJ5NDJwRFRaMnhTS3JYNGR6Tldxc1RabklYZEwwVXhYRXZyWWZacXIxMXMyRWFjZ2xFT1lPaEJmd1lDbFFoTEJfejBVSzBMalRPMHk2UlhFVWFlVzVOQVh0NVBHb2VWcndBeE5SSnRRbjNzcloxMTdpLXRHUm9Fc3A3SWVPdXhlX1hTSUt1?oc=5"" target=""_blank"">आंधी तूफान ने मचाई तबाही, बिजली बाधित</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"झारखंड के 4 जिलों में 3 घंटे में आंधी-तूफान और बारिश, वज्रपात की चेतावनी - Gandiv Live",https://news.google.com/rss/articles/CBMimwFBVV95cUxQNE5iTFhSNHdpUlZSaHlBenlyR01KcFpuWGZXbU9SaG9hTUdFUnIzNnloaEViNF94QmFyLXNDNEpXSzRFUlBCOUNFTFBQSTk4aDZWaEFLZGE5U2hDZjFCYndNaUtwZWRJc0F3VTE2Z1RQT3FHTlRFbWFsSnBwTXRFdDItOXZKSERIcHpqSFl6VWc2bEsyYl9GUlEyRQ?oc=5,2025-05-05 11:56:44,Gandiv Live,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxQNE5iTFhSNHdpUlZSaHlBenlyR01KcFpuWGZXbU9SaG9hTUdFUnIzNnloaEViNF94QmFyLXNDNEpXSzRFUlBCOUNFTFBQSTk4aDZWaEFLZGE5U2hDZjFCYndNaUtwZWRJc0F3VTE2Z1RQT3FHTlRFbWFsSnBwTXRFdDItOXZKSERIcHpqSFl6VWc2bEsyYl9GUlEyRQ?oc=5"" target=""_blank"">झारखंड के 4 जिलों में 3 घंटे में आंधी-तूफान और बारिश, वज्रपात की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gandiv Live</font>",Disaster,hi
आंधी तूफान से बिजली व्यवस्था चरमराई - Hindustan,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNMGRYZ2dkRlJsMDQwbFRFT0VwTnJKUWh2UjhXSU5RRlJmNzZtSEd4RWRHbnZtREd6NW5FWFV2czJHdm53T0l1dGF5dDl4S0xWVFBWa0dIT1Y5cF9ralNIckViRkdQT0lJNHBPelJTd1lWU01adURWWFg4aXFoXzNmU0wyRDF6c190ZHFIWHNmZ0RSMGthQmdzbm9RNkdaZGVXLW1DaUtlS1Z2UWtuSnI4NjJKaG9LR2tXNzBmVzJMY01EUmxHSVZEQUxfak8zOVZZVFNIcm5ScmtGaTTSAeABQVVfeXFMT25ORzgycmhnQURsOWU0M1pJSnZ0enA1bXg1aTh6TWRncGozeWo5RElMQU9uRmhBQ0w4RHFXbThTQ2pyeS1iemZ4NnQ3em9jNktnV2VWZGltN1RMd3UwVEtjYURqdEtMdEhjdThEODNETGdWTklRWnFaWlNGc0NJMFJjSWx2WG9UYmRWMWs5N0RBRHJBdmFMdGlEUVRxY2JZeWlmYXYzTXlNTXV0LURJNDBUZWl5dVBoekF5WWNqRGh6ZkVUUGJRU25nQzVtX3FNTTdESXFqQTN4eDVDOHhxNmI?oc=5,2025-05-05 19:29:39,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNMGRYZ2dkRlJsMDQwbFRFT0VwTnJKUWh2UjhXSU5RRlJmNzZtSEd4RWRHbnZtREd6NW5FWFV2czJHdm53T0l1dGF5dDl4S0xWVFBWa0dIT1Y5cF9ralNIckViRkdQT0lJNHBPelJTd1lWU01adURWWFg4aXFoXzNmU0wyRDF6c190ZHFIWHNmZ0RSMGthQmdzbm9RNkdaZGVXLW1DaUtlS1Z2UWtuSnI4NjJKaG9LR2tXNzBmVzJMY01EUmxHSVZEQUxfak8zOVZZVFNIcm5ScmtGaTTSAeABQVVfeXFMT25ORzgycmhnQURsOWU0M1pJSnZ0enA1bXg1aTh6TWRncGozeWo5RElMQU9uRmhBQ0w4RHFXbThTQ2pyeS1iemZ4NnQ3em9jNktnV2VWZGltN1RMd3UwVEtjYURqdEtMdEhjdThEODNETGdWTklRWnFaWlNGc0NJMFJjSWx2WG9UYmRWMWs5N0RBRHJBdmFMdGlEUVRxY2JZeWlmYXYzTXlNTXV0LURJNDBUZWl5dVBoekF5WWNqRGh6ZkVUUGJRU25nQzVtX3FNTTdESXFqQTN4eDVDOHhxNmI?oc=5"" target=""_blank"">आंधी तूफान से बिजली व्यवस्था चरमराई</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"झारखंड के 4 जिलों में 3 घंटे के अंदर आंधी-तूफान के साथ जोरदार बारिश, वज्रपात की चेतावनी Jharkhand Rain Alert - Prabhat Khabar",https://news.google.com/rss/articles/CBMiygFBVV95cUxNSTFMN095Sml6OVYwZGRiZUNyNmowWTdqXzBtMDJ1Ui03NXFrVzdrblZDcWZDbjIxRV83dlhTb3pnVWNkZ1JQbVJkMGQzUEpuSlU4N2o2TG5ESXd6Wl9kcmttb1p3OUNLSTlqd0lOa3NMMEpIWWpzMERqR3MtSjZuYjBnNU9PTktBZHFSWDRlWEVwRnlDTF9Zek9CREl5OER2bVpFRmE5SmhicGoxUUJRNVZ3UExJQXAxZVNzQTZYSzVidU1ILUt6RU130gHPAUFVX3lxTFBRNUpLVzRBTy1NQzAxUDB4STZIVnNEMWF5Yk90cExiNkxtMHcxLUp0Y2R3cFlnWmFRZmNITl9xSjVrLUtIZmdXajhrM215NkdwUWQwd3BPclhDTDdtdXBldlE2ODJoakI4RXlEejFLOVl3MFFYUVpMMmhZVDNEVVh3S3hwdl9Da1RvaE1yZFNibTl3Rjd2N1VHdk1ya1pVWlRHWnAtbjQ0QmhhSVpkSTlRaWd2YVpfNUUtX3hsT1N0VmdGTTdpNlBMMUFUNmtHUQ?oc=5,2025-05-05 15:49:44,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNSTFMN095Sml6OVYwZGRiZUNyNmowWTdqXzBtMDJ1Ui03NXFrVzdrblZDcWZDbjIxRV83dlhTb3pnVWNkZ1JQbVJkMGQzUEpuSlU4N2o2TG5ESXd6Wl9kcmttb1p3OUNLSTlqd0lOa3NMMEpIWWpzMERqR3MtSjZuYjBnNU9PTktBZHFSWDRlWEVwRnlDTF9Zek9CREl5OER2bVpFRmE5SmhicGoxUUJRNVZ3UExJQXAxZVNzQTZYSzVidU1ILUt6RU130gHPAUFVX3lxTFBRNUpLVzRBTy1NQzAxUDB4STZIVnNEMWF5Yk90cExiNkxtMHcxLUp0Y2R3cFlnWmFRZmNITl9xSjVrLUtIZmdXajhrM215NkdwUWQwd3BPclhDTDdtdXBldlE2ODJoakI4RXlEejFLOVl3MFFYUVpMMmhZVDNEVVh3S3hwdl9Da1RvaE1yZFNibTl3Rjd2N1VHdk1ya1pVWlRHWnAtbjQ0QmhhSVpkSTlRaWd2YVpfNUUtX3hsT1N0VmdGTTdpNlBMMUFUNmtHUQ?oc=5"" target=""_blank"">झारखंड के 4 जिलों में 3 घंटे के अंदर आंधी-तूफान के साथ जोरदार बारिश, वज्रपात की चेतावनी Jharkhand Rain Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Disaster,hi
"तेज मेघ गर्जन के साथ मूसलाधार हुई बारिश ,टिकोरे और सब्जियों को भारी नुकसान की संभावना - Hindustan",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOQ29WcTNHZTE3Zng2bnVsQTZEUFdsMUl3TEtyajJpbEd6X3hna012b0hWN0lwRUJDNUljbzVHNWFrUjdnSGpEamNKNnJlQlYweEF1UkNZeHh0UGNXejRqZFZ3NWdSOFh3VkY5b0tNTnNXSXNLZng2eXR1bXgzMUZWVF9rUGpINWp1dlhVTFVtR2hZalVFcmVEcnRjV3VXem9kLThyZU1SdFhOTC0xcTdVc2dndzl3SkJld3h6ZWtjYlg3ckUtSmJCU08ySk1VaEE00gHQAUFVX3lxTE5Db1ZxM0dlMTdmeDZudWxBNkRQV2wxSXdMS3JqMmlsR3pfeGdrTXZvSFY3SXBFQkM1SWNvNUc1YWtSN2dIakRqY0o2cmVCVjB4QXVSQ1l4eHRQY1d6NGpkVnc1Z1I4WHdWRjlvS01Oc1dJc0tmeDZ5dHVteDMxRlZUX2tQakg1anV2WFVMVW1HaFlqVUVyZURydGNXdVd6b2QtOHJlTVJ0WE5MLTFxN1VzZ2d3OXdKQmV3eHpla2NiWDdyRS1KYkJTTzJKTVVoQTQ?oc=5,2025-05-06 00:47:55,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOQ29WcTNHZTE3Zng2bnVsQTZEUFdsMUl3TEtyajJpbEd6X3hna012b0hWN0lwRUJDNUljbzVHNWFrUjdnSGpEamNKNnJlQlYweEF1UkNZeHh0UGNXejRqZFZ3NWdSOFh3VkY5b0tNTnNXSXNLZng2eXR1bXgzMUZWVF9rUGpINWp1dlhVTFVtR2hZalVFcmVEcnRjV3VXem9kLThyZU1SdFhOTC0xcTdVc2dndzl3SkJld3h6ZWtjYlg3ckUtSmJCU08ySk1VaEE00gHQAUFVX3lxTE5Db1ZxM0dlMTdmeDZudWxBNkRQV2wxSXdMS3JqMmlsR3pfeGdrTXZvSFY3SXBFQkM1SWNvNUc1YWtSN2dIakRqY0o2cmVCVjB4QXVSQ1l4eHRQY1d6NGpkVnc1Z1I4WHdWRjlvS01Oc1dJc0tmeDZ5dHVteDMxRlZUX2tQakg1anV2WFVMVW1HaFlqVUVyZURydGNXdVd6b2QtOHJlTVJ0WE5MLTFxN1VzZ2d3OXdKQmV3eHpla2NiWDdyRS1KYkJTTzJKTVVoQTQ?oc=5"" target=""_blank"">तेज मेघ गर्जन के साथ मूसलाधार हुई बारिश ,टिकोरे और सब्जियों को भारी नुकसान की संभावना</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
आंधी -पानी से छह घण्टे बिजली आपूर्ति बाधित - Hindustan,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaHlfMkFYYXhUOUo0Z2o4RWFMalA3VXFIN3dxdnQ5ekdKTXU3azRRZlJ4SmFfQzEzVVM1ZkJCUGNsUmFtR3VSeHlQa1k1U1YzVDZ5bWFiNlRXVUFTRHFscURWRy1IRmQ0NF9uZWw1czkzNUZKNFJwOWpfZ2VnbUx4dmJWelRfQnU0LThKMnQ1UktpVzh3YWtLVUlkYWUtc01tcUxabGhwYjR1VUEyQ3VEU2NYeVpPSHRSNEMxSVljaGY5TGJ0WTlHcEhDY3NpR3F1NkVodlc2YzJDT1pQS05z0gHfAUFVX3lxTE9oeV8yQVhheFQ5SjRnajhFYUxqUDdVcUg3d3F2dDl6R0pNdTdrNFFmUnhKYV9DMTNVUzVmQkJQY2xSYW1HdVJ4eVBrWTVTVjNUNnltYWI2VFdVQVNEcWxxRFZHLUhGZDQ0X25lbDVzOTM1Rko0UnA5al9nZWdtTHh2YlZ6VF9CdTQtOEoydDVSS2lXOHdha0tVSWRhZS1zTW1xTFpsaHBiNHVVQTJDdURTY1h5Wk9IdFI0QzFJWWNoZjlMYnRZOUdwSENjc2lHcXU2RWh2VzZjMkNPWlBLTnM?oc=5,2025-05-05 17:23:42,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaHlfMkFYYXhUOUo0Z2o4RWFMalA3VXFIN3dxdnQ5ekdKTXU3azRRZlJ4SmFfQzEzVVM1ZkJCUGNsUmFtR3VSeHlQa1k1U1YzVDZ5bWFiNlRXVUFTRHFscURWRy1IRmQ0NF9uZWw1czkzNUZKNFJwOWpfZ2VnbUx4dmJWelRfQnU0LThKMnQ1UktpVzh3YWtLVUlkYWUtc01tcUxabGhwYjR1VUEyQ3VEU2NYeVpPSHRSNEMxSVljaGY5TGJ0WTlHcEhDY3NpR3F1NkVodlc2YzJDT1pQS05z0gHfAUFVX3lxTE9oeV8yQVhheFQ5SjRnajhFYUxqUDdVcUg3d3F2dDl6R0pNdTdrNFFmUnhKYV9DMTNVUzVmQkJQY2xSYW1HdVJ4eVBrWTVTVjNUNnltYWI2VFdVQVNEcWxxRFZHLUhGZDQ0X25lbDVzOTM1Rko0UnA5al9nZWdtTHh2YlZ6VF9CdTQtOEoydDVSS2lXOHdha0tVSWRhZS1zTW1xTFpsaHBiNHVVQTJDdURTY1h5Wk9IdFI0QzFJWWNoZjlMYnRZOUdwSENjc2lHcXU2RWh2VzZjMkNPWlBLTnM?oc=5"" target=""_blank"">आंधी -पानी से छह घण्टे बिजली आपूर्ति बाधित</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
Severe Weather Alert Issued Across 8 States by IMD - Lagatar24.com,https://news.google.com/rss/articles/CBMifkFVX3lxTE5IaHlDaEtYZ2tCeXZzSVZadmNQNm1DSGx6cm9Pd0tMVmkwZzhYUXRHU3lvVURta09HbWFIVHRUaG42U2Vha2FPN21aYkJXcXdDY0xPR29uUU5uMWtOeWNWaXNYUVEwak53eXVjY185amhhNWJhQUhNS25pbERoQQ?oc=5,2025-05-05 19:56:39,Lagatar24.com,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE5IaHlDaEtYZ2tCeXZzSVZadmNQNm1DSGx6cm9Pd0tMVmkwZzhYUXRHU3lvVURta09HbWFIVHRUaG42U2Vha2FPN21aYkJXcXdDY0xPR29uUU5uMWtOeWNWaXNYUVEwak53eXVjY185amhhNWJhQUhNS25pbERoQQ?oc=5"" target=""_blank"">Severe Weather Alert Issued Across 8 States by IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lagatar24.com</font>",Disaster,en
Severe Weather Alerts Issued Across India As Heatwave Eases - Evrim Ağacı,https://news.google.com/rss/articles/CBMimAFBVV95cUxQRGdrR1l5N0d5UThOaWdpUmd6SjQ1cE1HWW9BYWFMM1U1cmJNSGhlSHNXV0kwaUJHc1hDbmp5WjJPd1pvLXdtR1h5bVlXT2l2alVQYk1uOGEtNXl0aW9Ld2d4WVZ1Q3NMRnpmWDFJMHVrMFFxQlppMXFVaVROcWNGVEZPdlFJTWZVX0hQRkZiWWpOQVRGekY3Tw?oc=5,2025-05-06 09:22:46,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxQRGdrR1l5N0d5UThOaWdpUmd6SjQ1cE1HWW9BYWFMM1U1cmJNSGhlSHNXV0kwaUJHc1hDbmp5WjJPd1pvLXdtR1h5bVlXT2l2alVQYk1uOGEtNXl0aW9Ld2d4WVZ1Q3NMRnpmWDFJMHVrMFFxQlppMXFVaVROcWNGVEZPdlFJTWZVX0hQRkZiWWpOQVRGekY3Tw?oc=5"" target=""_blank"">Severe Weather Alerts Issued Across India As Heatwave Eases</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Disaster,en
"IMD issues thunderstorm warning across 8 states. Check forecast for Delhi-NCR, Bengaluru, and other cities - MSN",https://news.google.com/rss/articles/CBMi5wFBVV95cUxQNXowd0NkZEp3bE9nUzBMTGdDWjNZMlBnTGtKTnlXNWFVT2hMVGpIbjVoQXJHMVVmcW44ZWY1aG1xeHRuOFdaNjV6WG82NGp2Q3ZrbkdTRE92TU1Cc0Mteko3c3I5YWlWajV5Tl9uSjZkVUkxTzBKamFQR01tZGVVOThmQXAtcVlodFplS1JMaWk5R0RKeWZZb1dEVy1RR2F4YkxBYVpVWTFoSHAtYUFmbmtjNWZTN3RkaGk1SEhkcm9PQ2d3NjFvZlRTenVWX1NYNXpKQTVPZVY3NVNPekdRaWJCd3VoY0E?oc=5,2025-05-05 22:31:19,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQNXowd0NkZEp3bE9nUzBMTGdDWjNZMlBnTGtKTnlXNWFVT2hMVGpIbjVoQXJHMVVmcW44ZWY1aG1xeHRuOFdaNjV6WG82NGp2Q3ZrbkdTRE92TU1Cc0Mteko3c3I5YWlWajV5Tl9uSjZkVUkxTzBKamFQR01tZGVVOThmQXAtcVlodFplS1JMaWk5R0RKeWZZb1dEVy1RR2F4YkxBYVpVWTFoSHAtYUFmbmtjNWZTN3RkaGk1SEhkcm9PQ2d3NjFvZlRTenVWX1NYNXpKQTVPZVY3NVNPekdRaWJCd3VoY0E?oc=5"" target=""_blank"">IMD issues thunderstorm warning across 8 states. Check forecast for Delhi-NCR, Bengaluru, and other cities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
