Title,Link,Date,Source,Summary,Term,LanguageQueried
"आ गई भीषण गर्मी! झारखंड से बंगाल और ओडिशा तक हीट वेव का अलर्ट, जानें मौसम विभाग का ताजा अपडेट - ABP न्यूज़",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPb3FJcTdDZjFZZ1RvMUQtbzB1SG9oRGw4dk5iazFzRXdZTWtJZnRUdTcwU1A5aXp0eWhFNUN6WUh6VFVUU3RuN2N4RE1LWF81cmtSeUd6YmN6MDZPMlFkT0w1U2podHFFNXFObFktMkVpR2FUc0ZZUFlybUc3aDlyRnBsUl9oTExlOUN6WWN4cXRKUWZPdmF0SGdWVXE1clJOOENIclplSFFBQkNjX0hoQXdTeV9hdzBNOUhHQlZQX1c5NWIzQ1haeGJUZzU5VU1lVVRlTWRaTWdUM0hTWTdqd1QzWXJ1RGJa?oc=5,2025-03-17 10:59:14,ABP न्यूज़,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPb3FJcTdDZjFZZ1RvMUQtbzB1SG9oRGw4dk5iazFzRXdZTWtJZnRUdTcwU1A5aXp0eWhFNUN6WUh6VFVUU3RuN2N4RE1LWF81cmtSeUd6YmN6MDZPMlFkT0w1U2podHFFNXFObFktMkVpR2FUc0ZZUFlybUc3aDlyRnBsUl9oTExlOUN6WWN4cXRKUWZPdmF0SGdWVXE1clJOOENIclplSFFBQkNjX0hoQXdTeV9hdzBNOUhHQlZQX1c5NWIzQ1haeGJUZzU5VU1lVVRlTWRaTWdUM0hTWTdqd1QzWXJ1RGJa?oc=5"" target=""_blank"">आ गई भीषण गर्मी! झारखंड से बंगाल और ओडिशा तक हीट वेव का अलर्ट, जानें मौसम विभाग का ताजा अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP न्यूज़</font>",Heatwave,hi
"Weather Update: IMD Warns of Rain and Thunderstorms in Northeast, Heatwaves in Odisha and Jharkhand, Rising Temperatures in Delhi - Krishi Jagran",https://news.google.com/rss/articles/CBMi_AFBVV95cUxQdEViRktrakhpdmhkbUpuTlNVeWswTXlHVkl2ckpncGEzQ29Ec3B2THk2TWlPZzhrVjlIaF95QVZpTWRpYnc5cUotby15QmFkU3k4aEJkaG52YmxMaGlmRzZvbE1TZlNQSFN0UmVHUEVaSjl0UDRCMnpWM25GWVdscVVDNk12b3BzV1ZXdTVHRzNtQjNidFN1SHNFRDNVWXJUdVEwZE8zeS1MQnROTHlWRmRvYjkzbDJxNzBBdHdVQ2Y5MEpkZVVuZkk3dFVEbUNHV05zanRRVmlwbXl0eTM4WTRCSHllUXlWcEZDR19vUWFGRmprcHM2S2M2dlk?oc=5,2025-03-18 07:00:00,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxQdEViRktrakhpdmhkbUpuTlNVeWswTXlHVkl2ckpncGEzQ29Ec3B2THk2TWlPZzhrVjlIaF95QVZpTWRpYnc5cUotby15QmFkU3k4aEJkaG52YmxMaGlmRzZvbE1TZlNQSFN0UmVHUEVaSjl0UDRCMnpWM25GWVdscVVDNk12b3BzV1ZXdTVHRzNtQjNidFN1SHNFRDNVWXJUdVEwZE8zeS1MQnROTHlWRmRvYjkzbDJxNzBBdHdVQ2Y5MEpkZVVuZkk3dFVEbUNHV05zanRRVmlwbXl0eTM4WTRCSHllUXlWcEZDR19vUWFGRmprcHM2S2M2dlk?oc=5"" target=""_blank"">Weather Update: IMD Warns of Rain and Thunderstorms in Northeast, Heatwaves in Odisha and Jharkhand, Rising Temperatures in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
"IMD Weather Update: Northwest India Braces For Rising Temperatures, Heatwave Persists In Odisha, Jharkhand & Telangana - News24",https://news.google.com/rss/articles/CBMi5wFBVV95cUxNcllWNE5pYU9fSU1UMG42MVl2cERKb3dlVzhlTUE4b1lTMTJMQ25iS0RMQ3l2TXNScnNRUTYxNlhFWHBTTHJzY0xnUjhYaWFybFhrdUxtWWRNbnZKalVXM2hZa19WTzhaZE55dm1SNUZxdFVaZk0tUGxMamtvS3FuXzNtNTUwY2pUYWZGWTlBbFRCZWg1NjJiR25oSHhUWUVleEVFSHZGYS1UejRNX1NhT3VYdUdRVFFsYWNaRU1LQ2lsdVJ1NWNCaWRBWHhDbGwyNmwwcjVnTWgxOTBhbHRJY3FmUGZtaE0?oc=5,2025-03-17 21:21:35,News24,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNcllWNE5pYU9fSU1UMG42MVl2cERKb3dlVzhlTUE4b1lTMTJMQ25iS0RMQ3l2TXNScnNRUTYxNlhFWHBTTHJzY0xnUjhYaWFybFhrdUxtWWRNbnZKalVXM2hZa19WTzhaZE55dm1SNUZxdFVaZk0tUGxMamtvS3FuXzNtNTUwY2pUYWZGWTlBbFRCZWg1NjJiR25oSHhUWUVleEVFSHZGYS1UejRNX1NhT3VYdUdRVFFsYWNaRU1LQ2lsdVJ1NWNCaWRBWHhDbGwyNmwwcjVnTWgxOTBhbHRJY3FmUGZtaE0?oc=5"" target=""_blank"">IMD Weather Update: Northwest India Braces For Rising Temperatures, Heatwave Persists In Odisha, Jharkhand & Telangana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",Heatwave,en
"Mercury soaring in parts of country: How a ‘heatwave’ is defined and measured, what makes it worse - The Indian Express",https://news.google.com/rss/articles/CBMisgFBVV95cUxQVkVzRkp4N3Z4U2ZlQkxmRHM4bm1JeUpfdzBzX0Y4OTAwUTBwWXhHa0JWa01pM3M0RmlBUFBMME5WVmFuekU2RUQ3b25UTzNVai1YWGtRdVdaQlFlcW94aDNfUHBSc0pWb1NMZHRxbklsOXBiZ3Uta0JmSUJzbHNmenZjQmR3NkNRMWJuc1kzb0c3UFRFSDdhUE4yZkhYTGRxeHpEdTJ6eGkzTkpTUHhpWUh30gG4AUFVX3lxTE1SZVVzRDBkeDlENkpEM3VrejdNNEluVEYxV09oQm8tMm5fSnd5Yk9NMWZ6bjhGcmlRNEdJSmJRQXNuVTZvN2pYZVFnVURVdnJsa2RtWDhvXzFiWExsbjBFU1d6Ylh3eXB2WVZIRTBtSUtKMGtBRENvUkx5V1pGVTVlMEZaaHJYX05NLS1QSWNrQ2w2Z2p0TXlQbXByZC02WVZJbUNKUEltRVpaY1d4anZjQWNIa3NrcVA?oc=5,2025-03-17 12:32:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQVkVzRkp4N3Z4U2ZlQkxmRHM4bm1JeUpfdzBzX0Y4OTAwUTBwWXhHa0JWa01pM3M0RmlBUFBMME5WVmFuekU2RUQ3b25UTzNVai1YWGtRdVdaQlFlcW94aDNfUHBSc0pWb1NMZHRxbklsOXBiZ3Uta0JmSUJzbHNmenZjQmR3NkNRMWJuc1kzb0c3UFRFSDdhUE4yZkhYTGRxeHpEdTJ6eGkzTkpTUHhpWUh30gG4AUFVX3lxTE1SZVVzRDBkeDlENkpEM3VrejdNNEluVEYxV09oQm8tMm5fSnd5Yk9NMWZ6bjhGcmlRNEdJSmJRQXNuVTZvN2pYZVFnVURVdnJsa2RtWDhvXzFiWExsbjBFU1d6Ylh3eXB2WVZIRTBtSUtKMGtBRENvUkx5V1pGVTVlMEZaaHJYX05NLS1QSWNrQ2w2Z2p0TXlQbXByZC02WVZJbUNKUEltRVpaY1d4anZjQWNIa3NrcVA?oc=5"" target=""_blank"">Mercury soaring in parts of country: How a ‘heatwave’ is defined and measured, what makes it worse</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Heatwave,en
Severe heat waves hit several states ‘unusually early’ - Carbon Copy,https://news.google.com/rss/articles/CBMigwFBVV95cUxNUkJUdmc3ZmRHdW9CamVHQlZSTHR5Z2tjbVphOWczWmNGZF8wZmVpd3BiaDJQdi1XakF6azVfcGdDdHdrLVp4dEdDdW1KSFFVN1U0ZUpldVozSGwxVFhQOThrYU5FMGFQVDBBUUVZV0NSLXEzaXJBUVJUTEVCTXZ1enQxYw?oc=5,2025-03-17 17:13:02,Carbon Copy,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxNUkJUdmc3ZmRHdW9CamVHQlZSTHR5Z2tjbVphOWczWmNGZF8wZmVpd3BiaDJQdi1XakF6azVfcGdDdHdrLVp4dEdDdW1KSFFVN1U0ZUpldVozSGwxVFhQOThrYU5FMGFQVDBBUUVZV0NSLXEzaXJBUVJUTEVCTXZ1enQxYw?oc=5"" target=""_blank"">Severe heat waves hit several states ‘unusually early’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Carbon Copy</font>",Heatwave,en
"IMD issues heatwave alert in Karnataka , predicts rainfall in THESE states for next 5 days | See full forecast - Mint",https://news.google.com/rss/articles/CBMi-gFBVV95cUxQX3BPVUNjcEZlTVRWSzZfbnh6eVFmMFJyb0VvbjZEMkhSRHZnRlZMaHQzZzVUekh3RWZiZ3Qtb055OHVuelN5Q0d0Y01kM1hiSHVFZGI2d05DMVZWNnQxX1J6N2dJSEMwbTJGSnMxOG5IRVgwdkd0M1NjbEtYbDFpM3hIZUtycnlaU25zdElrSkc1Q2dxZnp0WHo5R1EtTm5KeEdkVVpxZzdQaXlMWjZxZWlmaGxlN3hkTkhzdFI2bUMwNHQ2NGlvUUZtcFRpd2Z1dWdiTi11b19fdXJFRVNqN2paVDFLbmhPQXV2bkU5cW5WLWRReTZGaExB0gH_AUFVX3lxTE84UW0yWkozX1AxQzJ4bDBwdTZVLWtGb2Y0dnJFZWwteWhoYUZETDA2UV9BeS00ZXhnVHhIbEloLWRDUXh6TmFTaldtbTQyUXQzMTJfUzVQU1BIbEFKOFgtR2RXNXl6bHFpdmhLUVVuUWtsbVRucFFvR3lna0NRa2ZBWGp6MzZwV3BvZ2xrUlU5YnBMUlB5cEFBR3Bra1ozaFVWRmdmMVV1eG0wOVNHMGVad2tCM1RDZ3N0YXNBY05nNi11YkJMWmV4dDZWT0ZVdml0czh6X29ITGEyWVRPYTRTU3lHOXZ3RmpqTjFqenByaEdWTlhLUDlwanRmZzkyQQ?oc=5,2025-03-17 18:48:44,Mint,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQX3BPVUNjcEZlTVRWSzZfbnh6eVFmMFJyb0VvbjZEMkhSRHZnRlZMaHQzZzVUekh3RWZiZ3Qtb055OHVuelN5Q0d0Y01kM1hiSHVFZGI2d05DMVZWNnQxX1J6N2dJSEMwbTJGSnMxOG5IRVgwdkd0M1NjbEtYbDFpM3hIZUtycnlaU25zdElrSkc1Q2dxZnp0WHo5R1EtTm5KeEdkVVpxZzdQaXlMWjZxZWlmaGxlN3hkTkhzdFI2bUMwNHQ2NGlvUUZtcFRpd2Z1dWdiTi11b19fdXJFRVNqN2paVDFLbmhPQXV2bkU5cW5WLWRReTZGaExB0gH_AUFVX3lxTE84UW0yWkozX1AxQzJ4bDBwdTZVLWtGb2Y0dnJFZWwteWhoYUZETDA2UV9BeS00ZXhnVHhIbEloLWRDUXh6TmFTaldtbTQyUXQzMTJfUzVQU1BIbEFKOFgtR2RXNXl6bHFpdmhLUVVuUWtsbVRucFFvR3lna0NRa2ZBWGp6MzZwV3BvZ2xrUlU5YnBMUlB5cEFBR3Bra1ozaFVWRmdmMVV1eG0wOVNHMGVad2tCM1RDZ3N0YXNBY05nNi11YkJMWmV4dDZWT0ZVdml0czh6X29ITGEyWVRPYTRTU3lHOXZ3RmpqTjFqenByaEdWTlhLUDlwanRmZzkyQQ?oc=5"" target=""_blank"">IMD issues heatwave alert in Karnataka , predicts rainfall in THESE states for next 5 days | See full forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Heatwave,en
Weather Forecast – Meteorological Department Warning Heavy rain & thunderstorms in 6 States today - Times Bull,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOZmsyc2VXOUVwNEQ0Mmk4bnpldE5Vd2p1Vy1fRVRMV3c1YVJHb0kxT3V2VmxSakgxU3NuMDhMaVVJcUVqSmxNSDdjWmdIMTRQbDhVSWdTeXduakNVdHFsd29GOWxtSHJVZTJPTS14ejRsdlNLbnpwNnlFN0pBazc2QXB4VUxXNjN1RG9XenluTXpYMGtNcTVEaW5OTUQwT2FITHh3VEo2NzZOaHBySnp5bkJxcDhONjNadnNrWk1PN0pzVWgwQjZfX1hVb1RNbmt6ejhMX1RSV3Q3UQ?oc=5,2025-03-18 10:13:33,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOZmsyc2VXOUVwNEQ0Mmk4bnpldE5Vd2p1Vy1fRVRMV3c1YVJHb0kxT3V2VmxSakgxU3NuMDhMaVVJcUVqSmxNSDdjWmdIMTRQbDhVSWdTeXduakNVdHFsd29GOWxtSHJVZTJPTS14ejRsdlNLbnpwNnlFN0pBazc2QXB4VUxXNjN1RG9XenluTXpYMGtNcTVEaW5OTUQwT2FITHh3VEo2NzZOaHBySnp5bkJxcDhONjNadnNrWk1PN0pzVWgwQjZfX1hVb1RNbmt6ejhMX1RSV3Q3UQ?oc=5"" target=""_blank"">Weather Forecast – Meteorological Department Warning Heavy rain & thunderstorms in 6 States today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
Cloudy conditions bring temporary relief from heat in Bhopal - MSN,https://news.google.com/rss/articles/CBMirgFBVV95cUxQaC02ZjExTnh3R19LdEUwMjFtZVdpdVBqd1lqR21HRU43NEM5QkVUZEFzWnNlMmFYY0pvcFRVeG9DUnVpcnZtRzU2OF9fZWJ4ZWZsNTdqbkpCN0xwaHZJc0hSRzhHdUluNVdtX3R0SU5IR0hNYUZTcHVpNkFiajBuQUJtYlREUE9zdjBodmtqUDVCQ0o3ZTVKXzRtclhxM3Y3bjRSYzdZUGFTN3ZUTmc?oc=5,2025-03-17 21:03:27,MSN,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQaC02ZjExTnh3R19LdEUwMjFtZVdpdVBqd1lqR21HRU43NEM5QkVUZEFzWnNlMmFYY0pvcFRVeG9DUnVpcnZtRzU2OF9fZWJ4ZWZsNTdqbkpCN0xwaHZJc0hSRzhHdUluNVdtX3R0SU5IR0hNYUZTcHVpNkFiajBuQUJtYlREUE9zdjBodmtqUDVCQ0o3ZTVKXzRtclhxM3Y3bjRSYzdZUGFTN3ZUTmc?oc=5"" target=""_blank"">Cloudy conditions bring temporary relief from heat in Bhopal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Weather Forecast: Heatwave in Jharkhand, Thunderstorms in MP, Drizzle in Uttarakhand - Lokmat Times",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNcDAwSGVodkp6U0ZTVVUyLWNsUVJVaUNfY0NRbU1KdWN0UDluWjBBYVZLd2RtdHZmVFhGM1FKeVZ2MGtwbThPYlNkYk9JTUtCcUR2cVRFbXo2QXUxS2E5OEg4MmlCRDVFbU5fM2xySzdYa0F4TXU3YXhFVFF1T0lTc1JPZ2NxODJDd2lxYm5JMlphR0V6S20tekxQMThhZUR6bVgwdkhCRENKR3lJWDNUVElCSWlWLTU2Y3FqTUMyNlBhQdIBxwFBVV95cUxPcDh5MWlaNGZmdTF6UkV0REs1UnFZOTNJeDJxMGh0NlFUWTNTMGdab1ZvRnVuNFlBSHNyN2J5cHJfRFpGVUlVeE9HejViR3JzbjhvOG5SVllkQkhyZ2xYNzdzLTEteXlfVzRkdFFxY0w2LV9XcEFja0psZnEtbE0xai1qVGtpM1gwMXdOZEptazdhZDVvZ1lNTGdRZ05WZXRHSXBWSml1czRSLWRnOGxCYUV6c25BS2d4a3paODhxSUJBOTVkRzVr?oc=5,2025-03-17 10:34:52,Lokmat Times,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNcDAwSGVodkp6U0ZTVVUyLWNsUVJVaUNfY0NRbU1KdWN0UDluWjBBYVZLd2RtdHZmVFhGM1FKeVZ2MGtwbThPYlNkYk9JTUtCcUR2cVRFbXo2QXUxS2E5OEg4MmlCRDVFbU5fM2xySzdYa0F4TXU3YXhFVFF1T0lTc1JPZ2NxODJDd2lxYm5JMlphR0V6S20tekxQMThhZUR6bVgwdkhCRENKR3lJWDNUVElCSWlWLTU2Y3FqTUMyNlBhQdIBxwFBVV95cUxPcDh5MWlaNGZmdTF6UkV0REs1UnFZOTNJeDJxMGh0NlFUWTNTMGdab1ZvRnVuNFlBSHNyN2J5cHJfRFpGVUlVeE9HejViR3JzbjhvOG5SVllkQkhyZ2xYNzdzLTEteXlfVzRkdFFxY0w2LV9XcEFja0psZnEtbE0xai1qVGtpM1gwMXdOZEptazdhZDVvZ1lNTGdRZ05WZXRHSXBWSml1czRSLWRnOGxCYUV6c25BS2d4a3paODhxSUJBOTVkRzVr?oc=5"" target=""_blank"">Weather Forecast: Heatwave in Jharkhand, Thunderstorms in MP, Drizzle in Uttarakhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lokmat Times</font>",Heatwave,en
IMD Weather Update: Rain To Batter THESE States This Week; Heatwave To Intensify In Odisha And Gujarat - News24,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPQnAybXUtVmVQVmhNZ2xZejN6eDM2V0J4S0tLQnhYa21kQUZKTjg4bDJYWkVULVI2NzZmTGxlcFljd3lXZEk5Nm5EckpLcDI5VHRjUWVpaGdiLW5CMGtsd1liWUs1ck55T2lCaWpDSm1YVlFxc2gyR3BqRi1EazRhN2FBTmNZNUFaWjdRa1Fna0s3SHNTZGNFLXdPUDJhSDFlNWhWYV9qZ0lyVDhjZE5Pd08zblp6MVBMdkxTeS1tN08yNGZCRkUwY0NqaFlkWkM4Z05ELU93?oc=5,2025-03-18 07:15:52,News24,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPQnAybXUtVmVQVmhNZ2xZejN6eDM2V0J4S0tLQnhYa21kQUZKTjg4bDJYWkVULVI2NzZmTGxlcFljd3lXZEk5Nm5EckpLcDI5VHRjUWVpaGdiLW5CMGtsd1liWUs1ck55T2lCaWpDSm1YVlFxc2gyR3BqRi1EazRhN2FBTmNZNUFaWjdRa1Fna0s3SHNTZGNFLXdPUDJhSDFlNWhWYV9qZ0lyVDhjZE5Pd08zblp6MVBMdkxTeS1tN08yNGZCRkUwY0NqaFlkWkM4Z05ELU93?oc=5"" target=""_blank"">IMD Weather Update: Rain To Batter THESE States This Week; Heatwave To Intensify In Odisha And Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",Heatwave,en
