Title,Link,Date,Source,Summary,Term,LanguageQueried
"झारखंड में गर्मी का कहर: 8 जिलों में 16 मई तक चलेगी लू, 74,500 ट्यूबवेल प्रभावित! - Gandiv Live",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQS3k3VmFaSktNb20zZ1NUSnJLY0ZWRTZiZnp0YUZNRGRIbUtaTFVTd0NwbjhrWjNVVmw3WnM4bmxKeWo0Vm1UMmtxT25UWUs5QVhJUWl1MFdkY01Xb0laNkZhT3NnQS1ZWDlmNnpPUnp0RWdjbEtINC1pLWdyc1NrYmFxWjMxQlhzNTJpbDE2SW1fc0hndUVkVlR5NUhQejJfSG83WDJ0YWY5dUZXN25mREx1Y0I3VkRL?oc=5,2025-05-11 22:30:43,Gandiv Live,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQS3k3VmFaSktNb20zZ1NUSnJLY0ZWRTZiZnp0YUZNRGRIbUtaTFVTd0NwbjhrWjNVVmw3WnM4bmxKeWo0Vm1UMmtxT25UWUs5QVhJUWl1MFdkY01Xb0laNkZhT3NnQS1ZWDlmNnpPUnp0RWdjbEtINC1pLWdyc1NrYmFxWjMxQlhzNTJpbDE2SW1fc0hndUVkVlR5NUhQejJfSG83WDJ0YWY5dUZXN25mREx1Y0I3VkRL?oc=5"" target=""_blank"">झारखंड में गर्मी का कहर: 8 जिलों में 16 मई तक चलेगी लू, 74,500 ट्यूबवेल प्रभावित!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gandiv Live</font>",Heatwave,hi
"झारखंड के संथाल परगना में भीषण गर्मी का प्रकोप, कई जिलों का पारा सामान्य से अधिक - Navabharat Live",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOa09YUkhkQ2R6ZXd3TS1sTUhvbWlnRFJvTXQxU2h2UEhZeHE5SHh1Y24tOF9hY3lkX1hjQm8xZ1ZTYkdjZjVDTUJfR2RlUmZxUWVUaDFCOF9xOHBteGhxRFdTNTNYQ051TWJfaVp3dnR2Z1FsZWU1bkVpel9xSUhLendEYnJSSm5tSVFEX21udlVlUHVFX0UxQ1JjR3lVeDlFU3J0QS1VX0Q0X2lpUm9wR0QzVkx4dmVWVVZwcmU3LTRHS0VWUG9GM0Y0MUJWcUtuN0N2T050RjhRVVNTTUZz0gHkAUFVX3lxTE1Ia0VCMVRhZDcxdTQ1bDJmVXVjTTUzc2tRZkxUSXBmN2NXSW5xQ3lHdW5vVUZFbzU3LUVDN3Y5aDd5ZnFQUTN6MmVUNkV2amdYY3RCemFhYmFiU1FtSHFZaTZqcFlvdWg2TE9Za2x0SzNZNlFsUDg0ekNUM0FUNHFYdjlmOUFiTi1mZ053MnQ5M1pUU2YwWnlPT3RjVy1zVlZBODV1bmVBcW4wdkRfamJjWjk1NVg4Y3BKNXdadGtHVHhLRlpSVUwtckxDNlJmMWtnMDFOZ1lxZjVybGt5MUNfMXFFWg?oc=5,2025-05-11 15:47:48,Navabharat Live,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOa09YUkhkQ2R6ZXd3TS1sTUhvbWlnRFJvTXQxU2h2UEhZeHE5SHh1Y24tOF9hY3lkX1hjQm8xZ1ZTYkdjZjVDTUJfR2RlUmZxUWVUaDFCOF9xOHBteGhxRFdTNTNYQ051TWJfaVp3dnR2Z1FsZWU1bkVpel9xSUhLendEYnJSSm5tSVFEX21udlVlUHVFX0UxQ1JjR3lVeDlFU3J0QS1VX0Q0X2lpUm9wR0QzVkx4dmVWVVZwcmU3LTRHS0VWUG9GM0Y0MUJWcUtuN0N2T050RjhRVVNTTUZz0gHkAUFVX3lxTE1Ia0VCMVRhZDcxdTQ1bDJmVXVjTTUzc2tRZkxUSXBmN2NXSW5xQ3lHdW5vVUZFbzU3LUVDN3Y5aDd5ZnFQUTN6MmVUNkV2amdYY3RCemFhYmFiU1FtSHFZaTZqcFlvdWg2TE9Za2x0SzNZNlFsUDg0ekNUM0FUNHFYdjlmOUFiTi1mZ053MnQ5M1pUU2YwWnlPT3RjVy1zVlZBODV1bmVBcW4wdkRfamJjWjk1NVg4Y3BKNXdadGtHVHhLRlpSVUwtckxDNlJmMWtnMDFOZ1lxZjVybGt5MUNfMXFFWg?oc=5"" target=""_blank"">झारखंड के संथाल परगना में भीषण गर्मी का प्रकोप, कई जिलों का पारा सामान्य से अधिक</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Navabharat Live</font>",Heatwave,hi
झारखंड में चिलचिलाती गर्मी में भी ठंडी फुहार की उम्मीद भेज रहा मौसम विभाग - Inside Jharkhand,https://news.google.com/rss/articles/CBMisgFBVV95cUxPUDlNcXVqVXNsbmttVFVDeDRRdDFXLXJNOEtHTXNMclJoNUNBak8xVVdCMFZtRUdnZ1ZmbF9ocUlwMElfMDRGTVpKSkNDb0RONFI1aFhGOHJXYmxXek4yOEJUZ1d3N282X1EybWdvcUwwWEo4clBRRFl0b1RWMHlwdkh1dFp4cXc0Wk5Za3cxaGpQV2hNczgtYlNWcExwOFJKYjM0N0ZVMzlHakswc1FfLUxB?oc=5,2025-05-11 14:46:05,Inside Jharkhand,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPUDlNcXVqVXNsbmttVFVDeDRRdDFXLXJNOEtHTXNMclJoNUNBak8xVVdCMFZtRUdnZ1ZmbF9ocUlwMElfMDRGTVpKSkNDb0RONFI1aFhGOHJXYmxXek4yOEJUZ1d3N282X1EybWdvcUwwWEo4clBRRFl0b1RWMHlwdkh1dFp4cXc0Wk5Za3cxaGpQV2hNczgtYlNWcExwOFJKYjM0N0ZVMzlHakswc1FfLUxB?oc=5"" target=""_blank"">झारखंड में चिलचिलाती गर्मी में भी ठंडी फुहार की उम्मीद भेज रहा मौसम विभाग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inside Jharkhand</font>",Heatwave,hi
"Weather News: कहीं भीषण गर्मी में लू का कहर, तो कहीं मूसलधार बारिश का अलर्ट, जानें आपके राज्य में कैसा - LatestLY हिन्दी",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPcUU5aW15SWpxWlNleUxvNElHT25HbHUxRjg1WFc5WEs3UzBZY3o2VmxCQi1RYTA0a2NQbmM2a2U5Ty1CdmR2cE4xWjJkVVJNR0RrUkgxWkNuZmJXRGRJUktNc1lXanlRMmdVX1o5NndwemgtbmtaVjlKNFlGTUhUNHU3V3AyaVg0U1dxZVRWQmFxSHRZTktfRENLdkdZNE9ZbWhaQ0UxMU5VT0J6VUNKTE0xbUFTVGlWeTNGdWFib3JGN0xTZUw4WFJScnlHVUlzOENhdTZoc3LSAd4BQVVfeXFMUF9KMjlyNjZHRGFUdXFkZEwxTHFvQndsNEtRV0NqRnpNSDBXWmM1OGJBYWlwa0xRUXhwSmM1SkNYbmJUOUxzUXV3ZDBKVFhIVkhsZVdHVDhvbE8xc2E5eC1TREF4M1Nnbk5TeVU5bnNkV2dfczlqbzFMZmRJeXA4YVNvQ1c2RFZfZTNMa1JDRWVkVlBybUllcHJYYmd6NXQ1ZXlxV0lDQjFJa2xhSmtaTFBCcEJNTUQtZHZUYlE1NkVUdVVKWlQxMFNIOS16SzdsMnNrQzQ5RFAxM19hMTF3?oc=5,2025-05-11 15:33:25,LatestLY हिन्दी,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPcUU5aW15SWpxWlNleUxvNElHT25HbHUxRjg1WFc5WEs3UzBZY3o2VmxCQi1RYTA0a2NQbmM2a2U5Ty1CdmR2cE4xWjJkVVJNR0RrUkgxWkNuZmJXRGRJUktNc1lXanlRMmdVX1o5NndwemgtbmtaVjlKNFlGTUhUNHU3V3AyaVg0U1dxZVRWQmFxSHRZTktfRENLdkdZNE9ZbWhaQ0UxMU5VT0J6VUNKTE0xbUFTVGlWeTNGdWFib3JGN0xTZUw4WFJScnlHVUlzOENhdTZoc3LSAd4BQVVfeXFMUF9KMjlyNjZHRGFUdXFkZEwxTHFvQndsNEtRV0NqRnpNSDBXWmM1OGJBYWlwa0xRUXhwSmM1SkNYbmJUOUxzUXV3ZDBKVFhIVkhsZVdHVDhvbE8xc2E5eC1TREF4M1Nnbk5TeVU5bnNkV2dfczlqbzFMZmRJeXA4YVNvQ1c2RFZfZTNMa1JDRWVkVlBybUllcHJYYmd6NXQ1ZXlxV0lDQjFJa2xhSmtaTFBCcEJNTUQtZHZUYlE1NkVUdVVKWlQxMFNIOS16SzdsMnNrQzQ5RFAxM19hMTF3?oc=5"" target=""_blank"">Weather News: कहीं भीषण गर्मी में लू का कहर, तो कहीं मूसलधार बारिश का अलर्ट, जानें आपके राज्य में कैसा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY हिन्दी</font>",Heatwave,hi
Heat scorches Jharkhand's Santhal Pargana region - Times of India,https://news.google.com/rss/articles/CBMizwFBVV95cUxQZ2FXSnFXd0J6bmJXc01HQlNDVU5rU0VNdkVxdmZkQ1BhZUZZYVBJempUV0Zyd0RnOHFrTEJJSjN1SFVpU2RHd2prX095THUxUXdtUFFfbDhOaEx5RjhmMEtfUHYyRkRjOVNSLUF6aXF1NFZwazFqMmFhYmhtdFpfR2kwT1ZwamRnaHlRTUlRSkVoVWY4MC1QQjR5Tl9vWjZ1SmFDaXZsa0U1WWRRVHNMSUE5VlBteGtSUVFzQlZhdzZqcFhEZ3BGTmxLaE01RW_SAdQBQVVfeXFMTjluM1E4eXRIV0ZKTEVYeWZsWFM0anNYQlZvVDN1dXpEb1U2WUdTWExCSTJtRktlUVpuY3J1dVNyUE13S01iNzJ2SUhBbTBkblJmcWcwUWwySDlCamE0RFA1QkZHaFpGa19SWnpWZFpFcmZiUzZacVdOOS1RV0x5dGl3VWljeElpNzJFV0EySmsxSjBMaVZDZWwzTElpa25CQkFCd0VZVFliUEo3MFA1dVZZZ2tPTkFEbDV3NHRBUHdlbHZlNUxIMkpVaXZnbkE2RlRUeDY?oc=5,2025-05-11 12:39:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQZ2FXSnFXd0J6bmJXc01HQlNDVU5rU0VNdkVxdmZkQ1BhZUZZYVBJempUV0Zyd0RnOHFrTEJJSjN1SFVpU2RHd2prX095THUxUXdtUFFfbDhOaEx5RjhmMEtfUHYyRkRjOVNSLUF6aXF1NFZwazFqMmFhYmhtdFpfR2kwT1ZwamRnaHlRTUlRSkVoVWY4MC1QQjR5Tl9vWjZ1SmFDaXZsa0U1WWRRVHNMSUE5VlBteGtSUVFzQlZhdzZqcFhEZ3BGTmxLaE01RW_SAdQBQVVfeXFMTjluM1E4eXRIV0ZKTEVYeWZsWFM0anNYQlZvVDN1dXpEb1U2WUdTWExCSTJtRktlUVpuY3J1dVNyUE13S01iNzJ2SUhBbTBkblJmcWcwUWwySDlCamE0RFA1QkZHaFpGa19SWnpWZFpFcmZiUzZacVdOOS1RV0x5dGl3VWljeElpNzJFV0EySmsxSjBMaVZDZWwzTElpa25CQkFCd0VZVFliUEo3MFA1dVZZZ2tPTkFEbDV3NHRBUHdlbHZlNUxIMkpVaXZnbkE2RlRUeDY?oc=5"" target=""_blank"">Heat scorches Jharkhand's Santhal Pargana region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"IMD weather update: Heatwave predicted in THESE states till 17 May, rains in Northeast India | See full forecast - Mint",https://news.google.com/rss/articles/CBMi7wFBVV95cUxNMzRILUhhbXdEYWFldTZsLVVBT3BUSHIzYTZPb21PSUlSbXlKTUltaDdCdkw4dGc3TTNZVHNvNFRIMEh5ai1Lb3l4Q0R1ckRtS01xb01rNmM0bko5d3JYc3JrVnFBZmswLWdsTlpmVDE3OGxIUk9sNGZ5T2gyMWNPSFdlMXE2dmE0ekxXcFNyWWs4RkJ0WnNSSVpYV2sxaElZQWFwUlpkWWZFX0ZJYW9reXlyaEFkdzktdVBiQ1R3Vlhma1hCYWNTUDNJeTJwTXVwVXMwdHhfNmtYbl9WU015MHp0dUg1bHFGc3pJQzdYSdIB9AFBVV95cUxOc0c3OWdtTktKUC1xNGdYZVRaNXJyYTZNczEzRTJidGlhVlQ0N3ZYQWpKUk5nZmF4ckxlMTRqMFRydTh1c3hUVEF6MzN3MWc0U0tNY3JHUERKelRUS1d6RkNQMURFWXUwOXhPQ2d0dTh6SVV4dy1hZzZLU2YwUFJlOVZIQjY2SzJobTNWWUNqYVNLak9pZzNTZEFWRUF4eWFjSVFXMThKOW95Q0R4WDBMdjJXenpTaUFlT0FfOXI2akRmU3pDanYwUE14RG1VTW9UeU1oQWhKR0hZTDNCUFlMRWxDNUhvckVwd3cxM1JnTVEycUFU?oc=5,2025-05-11 18:15:15,Mint,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNMzRILUhhbXdEYWFldTZsLVVBT3BUSHIzYTZPb21PSUlSbXlKTUltaDdCdkw4dGc3TTNZVHNvNFRIMEh5ai1Lb3l4Q0R1ckRtS01xb01rNmM0bko5d3JYc3JrVnFBZmswLWdsTlpmVDE3OGxIUk9sNGZ5T2gyMWNPSFdlMXE2dmE0ekxXcFNyWWs4RkJ0WnNSSVpYV2sxaElZQWFwUlpkWWZFX0ZJYW9reXlyaEFkdzktdVBiQ1R3Vlhma1hCYWNTUDNJeTJwTXVwVXMwdHhfNmtYbl9WU015MHp0dUg1bHFGc3pJQzdYSdIB9AFBVV95cUxOc0c3OWdtTktKUC1xNGdYZVRaNXJyYTZNczEzRTJidGlhVlQ0N3ZYQWpKUk5nZmF4ckxlMTRqMFRydTh1c3hUVEF6MzN3MWc0U0tNY3JHUERKelRUS1d6RkNQMURFWXUwOXhPQ2d0dTh6SVV4dy1hZzZLU2YwUFJlOVZIQjY2SzJobTNWWUNqYVNLak9pZzNTZEFWRUF4eWFjSVFXMThKOW95Q0R4WDBMdjJXenpTaUFlT0FfOXI2akRmU3pDanYwUE14RG1VTW9UeU1oQWhKR0hZTDNCUFlMRWxDNUhvckVwd3cxM1JnTVEycUFU?oc=5"" target=""_blank"">IMD weather update: Heatwave predicted in THESE states till 17 May, rains in Northeast India | See full forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Heatwave,en
Daily weather tracker: Hot & humid weather likely over Assam & Meghalaya on May 10 - Down To Earth,https://news.google.com/rss/articles/CBMiwAFBVV95cUxObUZnSTFxZE8xTVBfNkNTR19HY3VGWUFwSmFlQm1rX0NXZHBPXzg3enFqT0prQzVEZ1lQdFZnai1pS3lMT2pjSjdYRVdGelZ6YVViNkhHUVprMi15eU9CaVR5cENhYkFSdWptd2VJVWR4NHpIV3lLSW44RmQ5cmJEWkJmMFg3RUVMRGFGSEZCZXdvbEFES0ZuVWtrYnBJbE1hSWU4SEJNVjFuS3ZUUlVITXU2d1dFN0Z1UFdHMDFuYzDSAc4BQVVfeXFMT1diTFU3SEdRRnBpYXVaTFZfNTFpSkVQQS1NTG13dEZsS1RXdmtERmZyeVhMU3VySGUwZDdjSGpNbHRNOHV2SDQyYVBnSDkycW45eFJFcnpaNUVTU3RaRlpZUTEwMGJYSzZVU1J1bzE0VkhDRGRLb1kxTnpEYzFjVVFEOVNyYTBicjBKSUFSQTFtYzVjcjROQWw2dzVJQnNJQU9sV3p5MWtIaWpfYm53dW9FYXBnZGJhRTlfb2ZEdlZDUHZzdWNNRG85eTgzWnc?oc=5,2025-05-11 13:15:08,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxObUZnSTFxZE8xTVBfNkNTR19HY3VGWUFwSmFlQm1rX0NXZHBPXzg3enFqT0prQzVEZ1lQdFZnai1pS3lMT2pjSjdYRVdGelZ6YVViNkhHUVprMi15eU9CaVR5cENhYkFSdWptd2VJVWR4NHpIV3lLSW44RmQ5cmJEWkJmMFg3RUVMRGFGSEZCZXdvbEFES0ZuVWtrYnBJbE1hSWU4SEJNVjFuS3ZUUlVITXU2d1dFN0Z1UFdHMDFuYzDSAc4BQVVfeXFMT1diTFU3SEdRRnBpYXVaTFZfNTFpSkVQQS1NTG13dEZsS1RXdmtERmZyeVhMU3VySGUwZDdjSGpNbHRNOHV2SDQyYVBnSDkycW45eFJFcnpaNUVTU3RaRlpZUTEwMGJYSzZVU1J1bzE0VkhDRGRLb1kxTnpEYzFjVVFEOVNyYTBicjBKSUFSQTFtYzVjcjROQWw2dzVJQnNJQU9sV3p5MWtIaWpfYm53dW9FYXBnZGJhRTlfb2ZEdlZDUHZzdWNNRG85eTgzWnc?oc=5"" target=""_blank"">Daily weather tracker: Hot & humid weather likely over Assam & Meghalaya on May 10</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Heat scorches Jharkhand’s Santhal Pargana region - ThePrint,https://news.google.com/rss/articles/CBMiigFBVV95cUxOZXR0YjJQbmpiTk1VenhHSFZNWmE1dVVaYXl4NFJ2WDdYWVYzbmdwZUhMX3hFZVVaREhEQkZRTlhJOFByOVVwM0d4RDRIU01rc3ZyUzBScTdNTlM5dG1Vdlc3anppYVFkUTg0VlQ4UUJNUXNNcjZycmMtclFSay1jWS1NYm5LSG1HaUHSAY8BQVVfeXFMT0tuSlhsbmNmNHE5Szd6ZXJCSzA5bER5aFdCVVI5bFVDOFJ6NlhFSDl4VGRkX3hnSjJCVmNadXNHZmZnM2NhdUVzdzZjY19IRW9MSjlvVWVPSkFuVk9fdm83Wm5iLXE1MlJIOG1KWk1xSE44Q2VNYVlSWHlIaTlLekoxWjF2dndqd1BPYThKUE0?oc=5,2025-05-11 12:01:00,ThePrint,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOZXR0YjJQbmpiTk1VenhHSFZNWmE1dVVaYXl4NFJ2WDdYWVYzbmdwZUhMX3hFZVVaREhEQkZRTlhJOFByOVVwM0d4RDRIU01rc3ZyUzBScTdNTlM5dG1Vdlc3anppYVFkUTg0VlQ4UUJNUXNNcjZycmMtclFSay1jWS1NYm5LSG1HaUHSAY8BQVVfeXFMT0tuSlhsbmNmNHE5Szd6ZXJCSzA5bER5aFdCVVI5bFVDOFJ6NlhFSDl4VGRkX3hnSjJCVmNadXNHZmZnM2NhdUVzdzZjY19IRW9MSjlvVWVPSkFuVk9fdm83Wm5iLXE1MlJIOG1KWk1xSE44Q2VNYVlSWHlIaTlLekoxWjF2dndqd1BPYThKUE0?oc=5"" target=""_blank"">Heat scorches Jharkhand’s Santhal Pargana region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>",Heatwave,en
Daily weather tracker: Hot & humid weather is likely to prevail over Tripura on May 11 - Down To Earth,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOa2ZrOEp5c3Y2T3lZMHNneWpubHNQM1RpclAyVmRBbVB5LWlJRUtaaUdJUjRBUll1VW1hN2p1SXJxUW1SckFRcElqMG1IazRjUUYtR2M2cTJiLS01eWFTazR4TlRza3VsdXlSVFFDSkhhLUlrS1ZQM2J4bjNpazZZSVVWT1VBbHNBbmh4RjlRZU5Bb2YySjNPN05CUEpkLUpRTXdZbUI4cUF0M0JjY1hiMnZhWjBpMEdIWmE0R3hTc1p2ZEtKYnBjNtIB1gFBVV95cUxNeGI0UUJSTy1zN2xaanRlQ0NZRjlIdW9NQXYzZmlNdTlEWDY0MzhaM1hta3E1dEJaX3BMVk5ITEh2cVFXZzFmLW5IQTNXZ2xZSGxvLU1Bdm9zLUg1RzlHTFZGRkhrTEtlNTdsOUdXSEUzRnIzQ2daa1UyU0wwLWp2c3hKQ3E1SjFCQk9XenFJc2FON3NCNTgxLWJHTlQ1YUQ3RV84TjBXdGlEZlJXamw2eUpmQTBDVlAwY3dyNmEtZ0F4R2JhRkRhOVJ5X3RzaDFyM1pDUjVR?oc=5,2025-05-11 14:52:56,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOa2ZrOEp5c3Y2T3lZMHNneWpubHNQM1RpclAyVmRBbVB5LWlJRUtaaUdJUjRBUll1VW1hN2p1SXJxUW1SckFRcElqMG1IazRjUUYtR2M2cTJiLS01eWFTazR4TlRza3VsdXlSVFFDSkhhLUlrS1ZQM2J4bjNpazZZSVVWT1VBbHNBbmh4RjlRZU5Bb2YySjNPN05CUEpkLUpRTXdZbUI4cUF0M0JjY1hiMnZhWjBpMEdIWmE0R3hTc1p2ZEtKYnBjNtIB1gFBVV95cUxNeGI0UUJSTy1zN2xaanRlQ0NZRjlIdW9NQXYzZmlNdTlEWDY0MzhaM1hta3E1dEJaX3BMVk5ITEh2cVFXZzFmLW5IQTNXZ2xZSGxvLU1Bdm9zLUg1RzlHTFZGRkhrTEtlNTdsOUdXSEUzRnIzQ2daa1UyU0wwLWp2c3hKQ3E1SjFCQk9XenFJc2FON3NCNTgxLWJHTlQ1YUQ3RV84TjBXdGlEZlJXamw2eUpmQTBDVlAwY3dyNmEtZ0F4R2JhRkRhOVJ5X3RzaDFyM1pDUjVR?oc=5"" target=""_blank"">Daily weather tracker: Hot & humid weather is likely to prevail over Tripura on May 11</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Kolkata Weather LATEST update: Intense heatwave alert predicted for South Bengal? Check - MSN,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPb0tvd00xVGdUY0ZJdG5iZnFWSHI2WVBWd0J0aFUyYnVuNDlGaURwLTdveEl3NEt2N21DSy1OaFNlb1RwbXBCdlpyQ0hjSmhiUnBEa0cyZ0N2QU5Pb2FhX040V3FLM1lUQUJvT216cEZFendkMXdWVGpzR2swLVZleXBxZThKZmx3THRDeTd4SHcwTWZ5d1VvS0xpYmlucVNfVXdzVFExdGt1ZTBaS1NLS3NPdjEyR1dUS2NOQXJ5TlJCQ213V1JkNy03dHhvWGJsSFAtN1RzYlNibGlhbXVVQw?oc=5,2025-05-11 23:41:06,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPb0tvd00xVGdUY0ZJdG5iZnFWSHI2WVBWd0J0aFUyYnVuNDlGaURwLTdveEl3NEt2N21DSy1OaFNlb1RwbXBCdlpyQ0hjSmhiUnBEa0cyZ0N2QU5Pb2FhX040V3FLM1lUQUJvT216cEZFendkMXdWVGpzR2swLVZleXBxZThKZmx3THRDeTd4SHcwTWZ5d1VvS0xpYmlucVNfVXdzVFExdGt1ZTBaS1NLS3NPdjEyR1dUS2NOQXJ5TlJCQ213V1JkNy03dHhvWGJsSFAtN1RzYlNibGlhbXVVQw?oc=5"" target=""_blank"">Kolkata Weather LATEST update: Intense heatwave alert predicted for South Bengal? Check</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
