Title,Link,Date,Source,Summary,Place
Jharkhand Weather: Light to moderate rain forecast at most places today - The Jharkhand Story,https://news.google.com/rss/articles/CBMipgFBVV95cUxPV3ZPc01IdkE2MVlhVEs0NHRaejZoUmd5M3lKS2lzRXo1NWR4Z3M4a1NkWDlkS1FjT0luTVpyUUg5OXc4T2p1MHo4cVJldFdSQnZkek5lRk5sQWU3OHdLQ3Q3XzBMR3J1Uzl6b0dPNkdSMkt0bWdXTFR4NUhfbkZPTFBHRTNZa2VQWEhBOUVJc0xkV2cyMjlIOV9fY2VjSndCQzRQNXp3?oc=5,2024-08-06 12:44:51,The Jharkhand Story,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPV3ZPc01IdkE2MVlhVEs0NHRaejZoUmd5M3lKS2lzRXo1NWR4Z3M4a1NkWDlkS1FjT0luTVpyUUg5OXc4T2p1MHo4cVJldFdSQnZkek5lRk5sQWU3OHdLQ3Q3XzBMR3J1Uzl6b0dPNkdSMkt0bWdXTFR4NUhfbkZPTFBHRTNZa2VQWEhBOUVJc0xkV2cyMjlIOV9fY2VjSndCQzRQNXp3?oc=5"" target=""_blank"">Jharkhand Weather: Light to moderate rain forecast at most places today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Jharkhand Story</font>",
Jharkhand Braces for Widespread Rainfall as Monsoon Intensifies - Town Post,https://news.google.com/rss/articles/CBMimwFBVV95cUxNVl9tY0o1NXZXV2NObDlXdXA5WVNnel9wOUZ4WGg3WGpOdU1qR2tTRVFENDdIYWdkWk9NdGJkTG1MU21tYjc0emg4SjhXeFg2ZDFjbmJ5aExCTG9Ua21hcUkybXA0ZnplYXZaZ2d6MWlOM2FBVnRDTGRnU0NYcHVNTUpnREZ6LWtRN2ZWclNFV1BpbWF5WlpYWHJvTQ?oc=5,2024-08-07 00:15:16,Town Post,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNVl9tY0o1NXZXV2NObDlXdXA5WVNnel9wOUZ4WGg3WGpOdU1qR2tTRVFENDdIYWdkWk9NdGJkTG1MU21tYjc0emg4SjhXeFg2ZDFjbmJ5aExCTG9Ua21hcUkybXA0ZnplYXZaZ2d6MWlOM2FBVnRDTGRnU0NYcHVNTUpnREZ6LWtRN2ZWclNFV1BpbWF5WlpYWHJvTQ?oc=5"" target=""_blank"">Jharkhand Braces for Widespread Rainfall as Monsoon Intensifies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Heavy Rains Lash Jamshedpur and Surrounding Areas - Town Post,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVkRFX3pnc1g4cUtSMF9kUGtWSXdKdG02d0Y4QXZwa0ppZzVxYUF1T3RRQTBJaGFDN3p2dElfRWhubW9USExnYXlpWmJSV2k2SjZ2ZlExdmlLTnEyWDJDODZDV3dUTEY4Q29IZ0JOQVJrZXFQSUxQcVU0UkNzTWI0VzRnWDQzQ3J0?oc=5,2024-08-07 00:39:54,Town Post,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVkRFX3pnc1g4cUtSMF9kUGtWSXdKdG02d0Y4QXZwa0ppZzVxYUF1T3RRQTBJaGFDN3p2dElfRWhubW9USExnYXlpWmJSV2k2SjZ2ZlExdmlLTnEyWDJDODZDV3dUTEY4Q29IZ0JOQVJrZXFQSUxQcVU0UkNzTWI0VzRnWDQzQ3J0?oc=5"" target=""_blank"">Heavy Rains Lash Jamshedpur and Surrounding Areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Grand Aarti Held at Surya Mandir Ghat Amidst Heavy Rainfall - Town Post,https://news.google.com/rss/articles/CBMilgFBVV95cUxNcFZ5eFdMbkRRdmcyN29sbmE1clhLTTQxQ2NjT2JHcGtraUN2cVNGN1VOV3QzTmxVMmJQUUlpMTdPRTVrYU83d1N1LXQ5c0pUU1hyTXk4RmdJMFBKNlRiaTQwd0ZoS2RpbklkVzVDRGotUTAzd1hGeHVzTXFSRV9US2Jpd25uSEh6c1ZqUGpjenotbFFJRVE?oc=5,2024-08-06 22:06:56,Town Post,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNcFZ5eFdMbkRRdmcyN29sbmE1clhLTTQxQ2NjT2JHcGtraUN2cVNGN1VOV3QzTmxVMmJQUUlpMTdPRTVrYU83d1N1LXQ5c0pUU1hyTXk4RmdJMFBKNlRiaTQwd0ZoS2RpbklkVzVDRGotUTAzd1hGeHVzTXFSRV9US2Jpd25uSEh6c1ZqUGpjenotbFFJRVE?oc=5"" target=""_blank"">Grand Aarti Held at Surya Mandir Ghat Amidst Heavy Rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Hemant Soren Chairs Meeting on Enhancing Agro-Forestry Sector in Jharkhand - Town Post,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPVU45c0hyUExzb1NpbUpLdGg0aDlXMEdwc0k3aUNnQ1lPc2Z2WkxONnJoSUNJMXZFU2V1WFJORzRSU0N5MndNamJ1Sm9QQTVzN0pHd1FUejMwbGRKbzZvMWJhQjE4SHgzY3hnMDBFMHZGVXpaWktYbE9KbExJMGlWamZiOHd3RE8tY0tDckg4c29SMXF1eldxWnF5TU92MHQybmhhRGhxME0zZw?oc=5,2024-08-07 00:37:36,Town Post,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPVU45c0hyUExzb1NpbUpLdGg0aDlXMEdwc0k3aUNnQ1lPc2Z2WkxONnJoSUNJMXZFU2V1WFJORzRSU0N5MndNamJ1Sm9QQTVzN0pHd1FUejMwbGRKbzZvMWJhQjE4SHgzY3hnMDBFMHZGVXpaWktYbE9KbExJMGlWamZiOHd3RE8tY0tDckg4c29SMXF1eldxWnF5TU92MHQybmhhRGhxME0zZw?oc=5"" target=""_blank"">Hemant Soren Chairs Meeting on Enhancing Agro-Forestry Sector in Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Transport Minister Visits Elephant-Affected Areas in Jharkhand - Town Post,https://news.google.com/rss/articles/CBMimgFBVV95cUxOaDJyc0gzNWl1ZmJOZVdfdU9BZGhxaDFOUkJVaGxYZUx0RGI5REZzdU1laEZydmt4d1FlQk5xTFMzeTU1S2FicW9wdWVmTnNidDdEZjJSR3Mxd09pNWdQd1NHOV9iOE5RcEdvakNpaUVsa2psaUQ2RFM0S3FpT1pVb3ltaG1pdmlvZ0JSQng4aW5zVU95M2xLc2dn?oc=5,2024-08-06 19:13:50,Town Post,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOaDJyc0gzNWl1ZmJOZVdfdU9BZGhxaDFOUkJVaGxYZUx0RGI5REZzdU1laEZydmt4d1FlQk5xTFMzeTU1S2FicW9wdWVmTnNidDdEZjJSR3Mxd09pNWdQd1NHOV9iOE5RcEdvakNpaUVsa2psaUQ2RFM0S3FpT1pVb3ltaG1pdmlvZ0JSQng4aW5zVU95M2xLc2dn?oc=5"" target=""_blank"">Transport Minister Visits Elephant-Affected Areas in Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Government Seeks More Time to Address Teachers’ Demands - Town Post,https://news.google.com/rss/articles/CBMijwFBVV95cUxNdDZzb0QtOFVDSExUSFhoeEtQX3piNkZ4OExQbGxQVzhjUld2Y2lFLUg5bkZfNVhHMkVXYmlWNFpIUmwyTGJ5VFg3ZmktNWtjRWY0ck0zVzBsZ0hlNW1ocV93WExyVy05OG8tcng3OTl1dEJBaUZOMk9VTWhsLXo2U2QzTkVFUjBRYzdKODRQMA?oc=5,2024-08-06 15:39:13,Town Post,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNdDZzb0QtOFVDSExUSFhoeEtQX3piNkZ4OExQbGxQVzhjUld2Y2lFLUg5bkZfNVhHMkVXYmlWNFpIUmwyTGJ5VFg3ZmktNWtjRWY0ck0zVzBsZ0hlNW1ocV93WExyVy05OG8tcng3OTl1dEJBaUZOMk9VTWhsLXo2U2QzTkVFUjBRYzdKODRQMA?oc=5"" target=""_blank"">Government Seeks More Time to Address Teachers’ Demands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Jugsalai Sanitation Workers Strike Over Unpaid Wages - Town Post,https://news.google.com/rss/articles/CBMijAFBVV95cUxNS1VpeUM1MHI2dFJjRHJURDc4dE15SGNFN25MLS1Qb2pCdE91RGV1eWR4WnNKb0xDVUFBRVdiTktjQ3RUTWkwTVNjN19IREMxVjRkVWJMZGxEakR1dC1DdXJuaVVSMGl5RklNazB3U08xX3FQZ2N2WVNrSU9tTXVmR1RXb2NlQlM0aEVjTw?oc=5,2024-08-06 15:56:37,Town Post,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxNS1VpeUM1MHI2dFJjRHJURDc4dE15SGNFN25MLS1Qb2pCdE91RGV1eWR4WnNKb0xDVUFBRVdiTktjQ3RUTWkwTVNjN19IREMxVjRkVWJMZGxEakR1dC1DdXJuaVVSMGl5RklNazB3U08xX3FQZ2N2WVNrSU9tTXVmR1RXb2NlQlM0aEVjTw?oc=5"" target=""_blank"">Jugsalai Sanitation Workers Strike Over Unpaid Wages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
Cows Killed in Shed Collapse at Jugsalai Goshala - Town Post,https://news.google.com/rss/articles/CBMihwFBVV95cUxNLXdxWlF5bk1sZTJLMGZrRThWMTNHWEEyUDA3U2xaTjVjdkFueGtPUzJkUldzZl9sRnF3N2VDTi03dVEzQkplUGRPZlJzNUN3TVNJRGpkMllYSDZ2OENwVGNsQXNoVFFTTmQxQmlvN3h4a2tUUmpZV0ZDUWEzVzkxbVpYaWNHREU?oc=5,2024-08-06 16:03:53,Town Post,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNLXdxWlF5bk1sZTJLMGZrRThWMTNHWEEyUDA3U2xaTjVjdkFueGtPUzJkUldzZl9sRnF3N2VDTi03dVEzQkplUGRPZlJzNUN3TVNJRGpkMllYSDZ2OENwVGNsQXNoVFFTTmQxQmlvN3h4a2tUUmpZV0ZDUWEzVzkxbVpYaWNHREU?oc=5"" target=""_blank"">Cows Killed in Shed Collapse at Jugsalai Goshala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
"Dr. Ajoy Kumar Meets Bhuiyandih Residents, Discusses Strategy - Town Post",https://news.google.com/rss/articles/CBMilgFBVV95cUxQTXlzZFM2SExHdkdKNEUyRmE0enJ5M2N3LUxrUDctZEMya1FFZmdzRnVFTUhkMUpwTTdnZWV0eDZtdFRDVjdtUWU2VHlJTG5WOEFEUkpiOURSQm13Z2IyRS05MDVmdEF0TFE5LUFvb0cweGRRRVZQMU5fYzVhSkdEeHhnQjFUMW5kMVVVYy1yRXFoZy15Ync?oc=5,2024-08-06 20:01:13,Town Post,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxQTXlzZFM2SExHdkdKNEUyRmE0enJ5M2N3LUxrUDctZEMya1FFZmdzRnVFTUhkMUpwTTdnZWV0eDZtdFRDVjdtUWU2VHlJTG5WOEFEUkpiOURSQm13Z2IyRS05MDVmdEF0TFE5LUFvb0cweGRRRVZQMU5fYzVhSkdEeHhnQjFUMW5kMVVVYy1yRXFoZy15Ync?oc=5"" target=""_blank"">Dr. Ajoy Kumar Meets Bhuiyandih Residents, Discusses Strategy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
