Title,Link,Date,Source,Summary,Place
"Monsoon 2024 Ends With 8 Per Cent Above Normal Rainfall, Five States/UTs Face Deficits—What You Need To Know - Swarajya",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQYnAtYXVNYTFlelJhTHUyRW5JX08wUk9OOVppQjV0bUxrVGdRTzdTb1BUSWZOa0E4Tm5wOVNvd3VRNnA0ZTY0cUlDZi1YLUdWQ2c1SVhwc2s0T3RibWI2a1ZtWVdaRDlMTlF0dGVURnE3WnlBdXFhN05KaDZTUzh3WFBCU1dhck9GUkVrMl9wQVdRX3pTMXJoMFl6WFdFemFQV0VtV0k1QW1IbGdXMG13VmNvVS16NEczRUtpcUhsQVJoUnBwOHRKV1JrU09YUHlOdjhfRjVYTdIB5wFBVV95cUxPbTJtbEptV3dOaFdIa3pxX3pCYjl4UHlobGFjTG9IcVB1UVBsc190QkVLUndYS1h3dXlSdFpFaXUwVFg2eFV0WkQ2TnQ0dEU0NXVsQjZoTFhNWnZFaFd6OGpDbUgwcWJEcngtVjZ1bUdvZjNhQk1mbWZ0RTFpOHdsUEkzeTBlRWV5NmhhVndQS21FcXVleHhVc3BHRlVMd2liRS1UQU1NUkp5N3B2U1drNFdheHV1OFNkSjlJbjhoVjhkLUNVa3I2RkhHX3RDNFEtQmlaRFlBdnhPY2g2RGFLY0NKbEtHU2M?oc=5,2024-10-02 14:46:19,Swarajya,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQYnAtYXVNYTFlelJhTHUyRW5JX08wUk9OOVppQjV0bUxrVGdRTzdTb1BUSWZOa0E4Tm5wOVNvd3VRNnA0ZTY0cUlDZi1YLUdWQ2c1SVhwc2s0T3RibWI2a1ZtWVdaRDlMTlF0dGVURnE3WnlBdXFhN05KaDZTUzh3WFBCU1dhck9GUkVrMl9wQVdRX3pTMXJoMFl6WFdFemFQV0VtV0k1QW1IbGdXMG13VmNvVS16NEczRUtpcUhsQVJoUnBwOHRKV1JrU09YUHlOdjhfRjVYTdIB5wFBVV95cUxPbTJtbEptV3dOaFdIa3pxX3pCYjl4UHlobGFjTG9IcVB1UVBsc190QkVLUndYS1h3dXlSdFpFaXUwVFg2eFV0WkQ2TnQ0dEU0NXVsQjZoTFhNWnZFaFd6OGpDbUgwcWJEcngtVjZ1bUdvZjNhQk1mbWZ0RTFpOHdsUEkzeTBlRWV5NmhhVndQS21FcXVleHhVc3BHRlVMd2liRS1UQU1NUkp5N3B2U1drNFdheHV1OFNkSjlJbjhoVjhkLUNVa3I2RkhHX3RDNFEtQmlaRFlBdnhPY2g2RGFLY0NKbEtHU2M?oc=5"" target=""_blank"">Monsoon 2024 Ends With 8 Per Cent Above Normal Rainfall, Five States/UTs Face Deficits—What You Need To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Swarajya</font>",
"Monsoon withdraws from Delhi, most parts of northwest India: IMD - Hindustan Times",https://news.google.com/rss/articles/CBMiwwFBVV95cUxNaEtOS252X3BiSlVDN1V2RmhfQmt1TFNKTHVnXzI0RVNfU3BsaTc4cGFGemVtalVWQVRwRG56c1pVUmUtUVlZeGJ4M3ZWQVAybjFWVGpVdkFxSG85SVdSdHJYN2E3NUthTzdpSzliV1pPeHhQZmRoTVpGUFJjZno5blFGMzdiNGFfNE9qRUQycGxDZF9mbi1aaHZzUGJZQ2tpWHBqV2dwX2NhMktMb05ENzZzWnBFMEprVXJObmlIV0xEeUXSAcgBQVVfeXFMT3dsUXNiamk4NDIxaDktZnRDRFNzTkZBQWNubEJwcHVsX2ZuVGhpeVV0NFRKWXVHTVB2dmtOekV1cjNFRHcyUEJUejdESjRHbXhac202RzRHVXRGVzJHVkhHRllsQ2QtR1NkUEVkOXRuLVd0NG0taEdzSk1pcHJHR29BX3ZOWl9RVDdNdzZIQnZRNG5OYjE3aHpuc3JGLTQxLWZ4Z3FacnpMOFI5ckhUOEI5bmU5ZkJvMC00cHlNVWtpVGEwN0NPS0w?oc=5,2024-10-02 14:06:07,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNaEtOS252X3BiSlVDN1V2RmhfQmt1TFNKTHVnXzI0RVNfU3BsaTc4cGFGemVtalVWQVRwRG56c1pVUmUtUVlZeGJ4M3ZWQVAybjFWVGpVdkFxSG85SVdSdHJYN2E3NUthTzdpSzliV1pPeHhQZmRoTVpGUFJjZno5blFGMzdiNGFfNE9qRUQycGxDZF9mbi1aaHZzUGJZQ2tpWHBqV2dwX2NhMktMb05ENzZzWnBFMEprVXJObmlIV0xEeUXSAcgBQVVfeXFMT3dsUXNiamk4NDIxaDktZnRDRFNzTkZBQWNubEJwcHVsX2ZuVGhpeVV0NFRKWXVHTVB2dmtOekV1cjNFRHcyUEJUejdESjRHbXhac202RzRHVXRGVzJHVkhHRllsQ2QtR1NkUEVkOXRuLVd0NG0taEdzSk1pcHJHR29BX3ZOWl9RVDdNdzZIQnZRNG5OYjE3aHpuc3JGLTQxLWZ4Z3FacnpMOFI5ckhUOEI5bmU5ZkJvMC00cHlNVWtpVGEwN0NPS0w?oc=5"" target=""_blank"">Monsoon withdraws from Delhi, most parts of northwest India: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Weather Forecast: Heavy rain expected in 17 states in the next 24 hours, IMD alert - Times Bull",https://news.google.com/rss/articles/CBMinwFBVV95cUxQMkV2a3ZfbXZ5bFpzcnQwR1d3YnBUMTV1d0EyREdaUWpNSmFPSHlwdUZxOXRxVGxDaXFubkg3SGJLVmhRNVo4eGJBVjhXUzN4ODBoazRBWElUMGhoU2d0N0RXT2NldzBsajMwLURMZ0U5VGZrdWFnM1V6SGJkeU83eThaaTZjMnBwLThRSUY3QUpkNW1BYnl5TEJjOG9ZUVU?oc=5,2024-10-03 07:14:57,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQMkV2a3ZfbXZ5bFpzcnQwR1d3YnBUMTV1d0EyREdaUWpNSmFPSHlwdUZxOXRxVGxDaXFubkg3SGJLVmhRNVo4eGJBVjhXUzN4ODBoazRBWElUMGhoU2d0N0RXT2NldzBsajMwLURMZ0U5VGZrdWFnM1V6SGJkeU83eThaaTZjMnBwLThRSUY3QUpkNW1BYnl5TEJjOG9ZUVU?oc=5"" target=""_blank"">Weather Forecast: Heavy rain expected in 17 states in the next 24 hours, IMD alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Northeast monsoon to hit TN by October end, says Weather Department - Social News XYZ",https://news.google.com/rss/articles/CBMiuwJBVV95cUxOckZldUtiQ0RCb3JBNFBqQjNGUTY0VVN5ZzRmd0R3NWRraDJBNTZTaG1nazZPVEFRRm90aWgydV9Id3BYLVBhTzAtWXNVZ1JwYXg5SmxWeUpIZWFUNHNzZGtTb0syN21uQVJLQWsxVnpsUVBUSGEydjFYM2xVVUZzZkpvd04yMTVpazhlT1lIdHZQM1BlaExwdFlidVV0XzdwOU9wTm1Jb0QxVHo2Rkw1dXhpTmVuNklOUEx3TGl0UHVSMjZfSXB2c0ZrVVk3aGdISkI0V1J3WFpuNC1vb3BoSjFMWWpULVp3UFZfR1ZuMHp3UjZ4UWs3N0trdENScEpUZ2VLaXl4ekpYaUFVNkZEMVBOME11Qkw1RV82V2lDRU5oU09reFpPdFoxTVRzdmFSZmhmY0tzR1pObWPSAa4BQVVfeXFMTjlodGwwUTlpM0ZpcWJqeGhJRm9yN0VrdFhoQmhWUVhOWk5PUHdKZ1pIeEdScE9wQlNLeXdSV3RRZnVZbHlpOE9RMFRhRWpkMFdfNzNlX01QMEpwVmxnZy1CZXBtNG9jcVRwMlFqWnJOWkx0bDNaUE5HS2NxR0duR2NwSWV2QTlBVVJzOGJUZFNyWUhycHgwMnNaenNnc3lxQTNnV3pGMWQ5b3FtQk5R?oc=5,2024-10-02 21:25:35,Social News XYZ,"<a href=""https://news.google.com/rss/articles/CBMiuwJBVV95cUxOckZldUtiQ0RCb3JBNFBqQjNGUTY0VVN5ZzRmd0R3NWRraDJBNTZTaG1nazZPVEFRRm90aWgydV9Id3BYLVBhTzAtWXNVZ1JwYXg5SmxWeUpIZWFUNHNzZGtTb0syN21uQVJLQWsxVnpsUVBUSGEydjFYM2xVVUZzZkpvd04yMTVpazhlT1lIdHZQM1BlaExwdFlidVV0XzdwOU9wTm1Jb0QxVHo2Rkw1dXhpTmVuNklOUEx3TGl0UHVSMjZfSXB2c0ZrVVk3aGdISkI0V1J3WFpuNC1vb3BoSjFMWWpULVp3UFZfR1ZuMHp3UjZ4UWs3N0trdENScEpUZ2VLaXl4ekpYaUFVNkZEMVBOME11Qkw1RV82V2lDRU5oU09reFpPdFoxTVRzdmFSZmhmY0tzR1pObWPSAa4BQVVfeXFMTjlodGwwUTlpM0ZpcWJqeGhJRm9yN0VrdFhoQmhWUVhOWk5PUHdKZ1pIeEdScE9wQlNLeXdSV3RRZnVZbHlpOE9RMFRhRWpkMFdfNzNlX01QMEpwVmxnZy1CZXBtNG9jcVRwMlFqWnJOWkx0bDNaUE5HS2NxR0duR2NwSWV2QTlBVVJzOGJUZFNyWUhycHgwMnNaenNnc3lxQTNnV3pGMWQ5b3FtQk5R?oc=5"" target=""_blank"">Northeast monsoon to hit TN by October end, says Weather Department</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Social News XYZ</font>",
Light rainfall expected in isolated areas across Jharkhand - Avenue Mail,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNRkNWTHhjMlRpdnQwSTVWVWF2WFY5cmxnTldiN2RvOUVYQUE0Qk9UN1RTY1daVF85ZUtiWGR2Xy1xbXU0bXhyNk5ZM1VtOEkycFlJeW1US0hOcm1sMzc3MlR4ZG1zOGpoM3JiSkJQODVrbHY1cmtSY1k0aE5UNGp0Y3BlT2MzdVgy?oc=5,2024-10-02 18:29:54,Avenue Mail,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNRkNWTHhjMlRpdnQwSTVWVWF2WFY5cmxnTldiN2RvOUVYQUE0Qk9UN1RTY1daVF85ZUtiWGR2Xy1xbXU0bXhyNk5ZM1VtOEkycFlJeW1US0hOcm1sMzc3MlR4ZG1zOGpoM3JiSkJQODVrbHY1cmtSY1k0aE5UNGp0Y3BlT2MzdVgy?oc=5"" target=""_blank"">Light rainfall expected in isolated areas across Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Avenue Mail</font>",
Rainfall received equals normal amount this monsoon in State - NYOOOZ,https://news.google.com/rss/articles/CBMipwFBVV95cUxNRUlEaWoxSVllMWhKV2ZTR29yZGg1ZHlNX2xKY2JKMHp1QW9ZOU85eUVheC1JY1lDTTRTVGZBM094WnVXajVRMEdWOXZoOGVZc3VkR3oxV21YRHJaNVg3eklFMGZaM2NLakRrOUVrczRXaTJxT3FXQmJqcnVfRHFFaGxmTWZzVmVmakg5RnRCWE1ZemxoTi14NWhrZjlSSkFKVUctLU1IUQ?oc=5,2024-10-03 04:09:46,NYOOOZ,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNRUlEaWoxSVllMWhKV2ZTR29yZGg1ZHlNX2xKY2JKMHp1QW9ZOU85eUVheC1JY1lDTTRTVGZBM094WnVXajVRMEdWOXZoOGVZc3VkR3oxV21YRHJaNVg3eklFMGZaM2NLakRrOUVrczRXaTJxT3FXQmJqcnVfRHFFaGxmTWZzVmVmakg5RnRCWE1ZemxoTi14NWhrZjlSSkFKVUctLU1IUQ?oc=5"" target=""_blank"">Rainfall received equals normal amount this monsoon in State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NYOOOZ</font>",
Low pressure over north Bay of Bengal around October 4; check IMD forecast about rainfall - OTV News,https://news.google.com/rss/articles/CBMixwFBVV95cUxPUVNrd21KVDN4cU1ZZ0N3Y1pSc01kYUdDZ0czX3lTX2swMEhDYVdLTlpzY0VBVHNrM2RoR0xkeGs2VmI5WDRfUUsxajJVZXBzR0NJSU4wUEdvN0xVNHRmYXZLNVoydHRtMi1MWDU5bWRjaXpuX19hRk9jZ1Q2V3EzWUlIUlJBZm05S01HMEhDcmdTVHpYMHdNRTlnRjVIVlFyU3k5ZEdPZDU2ZVdhVFZNRTcwdXlWZ2tYQ05nNVpzZzNsRTdSSnE40gHMAUFVX3lxTE9JR3RWemxkdTRnZ3BCUmwzVHl5RDRLMlpBbnhVNWFvdm1idWFGX25qOVRiOURzTkhjRFVGWXdBWTY5TGQwaTVsVVNBZnQ0RWF3ODhGNUVBZzdJWk1BVUZnSUVCUTJhVmt4N3RnV1NWbzQ4T1JpSmlLYnVOb0wxYVZmRGxuUGlTRVZ1RHktRUx4VDZiV3lrbWRDbGVKWXpQR185LWN1NGxuNE9Pd3ljTzlEeXVTaFFOR211b25BX3JxZ1YwR0hpLUpvanZONg?oc=5,2024-10-02 14:27:30,OTV News,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPUVNrd21KVDN4cU1ZZ0N3Y1pSc01kYUdDZ0czX3lTX2swMEhDYVdLTlpzY0VBVHNrM2RoR0xkeGs2VmI5WDRfUUsxajJVZXBzR0NJSU4wUEdvN0xVNHRmYXZLNVoydHRtMi1MWDU5bWRjaXpuX19hRk9jZ1Q2V3EzWUlIUlJBZm05S01HMEhDcmdTVHpYMHdNRTlnRjVIVlFyU3k5ZEdPZDU2ZVdhVFZNRTcwdXlWZ2tYQ05nNVpzZzNsRTdSSnE40gHMAUFVX3lxTE9JR3RWemxkdTRnZ3BCUmwzVHl5RDRLMlpBbnhVNWFvdm1idWFGX25qOVRiOURzTkhjRFVGWXdBWTY5TGQwaTVsVVNBZnQ0RWF3ODhGNUVBZzdJWk1BVUZnSUVCUTJhVmt4N3RnV1NWbzQ4T1JpSmlLYnVOb0wxYVZmRGxuUGlTRVZ1RHktRUx4VDZiV3lrbWRDbGVKWXpQR185LWN1NGxuNE9Pd3ljTzlEeXVTaFFOR211b25BX3JxZ1YwR0hpLUpvanZONg?oc=5"" target=""_blank"">Low pressure over north Bay of Bengal around October 4; check IMD forecast about rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OTV News</font>",
Clear Skies Ahead as Monsoon Retreats from Jharkhand - Town Post,https://news.google.com/rss/articles/CBMijAFBVV95cUxQZEsyZXZMaTJ4Sy1NRFhjOUgtWUpKa0VEOUpCNEdTZzZ6eURIX09Ud0pnYmprVkk3NVk3REtGTDVLQTZ3UWx3R2FxX3pPZzJxM0R6Q0lkSVRGazBHaHRpTlhKTXVJX24ySDBmMGhXTzVzeEJWY2dpc0YtZDRNQzdBaWJLSERGLVR2RU9neA?oc=5,2024-10-02 20:11:15,Town Post,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQZEsyZXZMaTJ4Sy1NRFhjOUgtWUpKa0VEOUpCNEdTZzZ6eURIX09Ud0pnYmprVkk3NVk3REtGTDVLQTZ3UWx3R2FxX3pPZzJxM0R6Q0lkSVRGazBHaHRpTlhKTXVJX24ySDBmMGhXTzVzeEJWY2dpc0YtZDRNQzdBaWJLSERGLVR2RU9neA?oc=5"" target=""_blank"">Clear Skies Ahead as Monsoon Retreats from Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Town Post</font>",
1492 died in extreme weather events in 2024 monsoon season in India - Ground Report,https://news.google.com/rss/articles/CBMihAFBVV95cUxPUFBHdmRsY00wcVFTYlJsT1ptZzA0MWFxYkNHbU14LVpLQ0dJeEM1WGRDekF4ZkNjWEpudWpYQnlWUkh0bjY5aG9PNjNnY1JuYUVFNVZvcGd5b1hCbmYzVnhuY3l2NkR0YS1NcVpLWVowTml2d19XVWZPOU10MWtQQzB6OF8?oc=5,2024-10-02 16:27:50,Ground Report,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxPUFBHdmRsY00wcVFTYlJsT1ptZzA0MWFxYkNHbU14LVpLQ0dJeEM1WGRDekF4ZkNjWEpudWpYQnlWUkh0bjY5aG9PNjNnY1JuYUVFNVZvcGd5b1hCbmYzVnhuY3l2NkR0YS1NcVpLWVowTml2d19XVWZPOU10MWtQQzB6OF8?oc=5"" target=""_blank"">1492 died in extreme weather events in 2024 monsoon season in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ground Report</font>",
"Tomorrow’s weather 03 October 2024: Delhi’s temperature becomes high after rain, how will be the condition of UP-Bihar tomorrow, know weather update. - Presswire18",https://news.google.com/rss/articles/CBMi_AFBVV95cUxPV2FWY3plNTgtQzZFVjIwTk1UVW43bi1TZk9vcURqT0VnaV8tUHlIOW5McDUxaDdNZEZKX3FCOHkwa2VCU2w0ZWRQUWxsZTB1ZW9yNFp4QjJubXlhSUlGR1Qtd0loUGpTT0FOX0NkSUg5bjZxRVpXZTJQcFBQNzRUQWJaclAycDNiWFBERmF0NXIzaHdFN1djVW5ReXUtUjhjOThtcWt1MzEyVTM5SVoxZjBMNUVkejRqbTJSOTIwQkpXT2ZESWdvUXQxelhNWXlCc1dqM1NGbENjZzlSSi1QSTl2NjZOQlZ0eG0tbjdTSkV3ZDNlOWhPS1YwMEU?oc=5,2024-10-02 17:45:51,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxPV2FWY3plNTgtQzZFVjIwTk1UVW43bi1TZk9vcURqT0VnaV8tUHlIOW5McDUxaDdNZEZKX3FCOHkwa2VCU2w0ZWRQUWxsZTB1ZW9yNFp4QjJubXlhSUlGR1Qtd0loUGpTT0FOX0NkSUg5bjZxRVpXZTJQcFBQNzRUQWJaclAycDNiWFBERmF0NXIzaHdFN1djVW5ReXUtUjhjOThtcWt1MzEyVTM5SVoxZjBMNUVkejRqbTJSOTIwQkpXT2ZESWdvUXQxelhNWXlCc1dqM1NGbENjZzlSSi1QSTl2NjZOQlZ0eG0tbjdTSkV3ZDNlOWhPS1YwMEU?oc=5"" target=""_blank"">Tomorrow’s weather 03 October 2024: Delhi’s temperature becomes high after rain, how will be the condition of UP-Bihar tomorrow, know weather update.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
