Title,Link,Date,Source,Summary,Term,LanguageQueried
"बाढ़ से फसल क्षति को लेकर कर्नाटक के नेता प्रतिपक्ष ने कांग्रेस सरकार को घेरा, मुआवजा ना देने पर कही ये बात - Kisan Tak",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNMjRuYlFrNGFYazFhOE5XZ2xMMnlwYVN6U25yYXplZWhSeWxFbEZrTmZZWkpNMG9TYTU1SW1jZWJMUkZwN1dva3ZzZENDMzJQOUFpWmF1bjZNZ1AzNEt2aTdDb1NMWm95bXRHS3huRjNOR1J0blhjOEpfRUZpbW5jS3dDd28xVnFxVmQtbmJudTRoeG1yZHlxQWlGTXZDSF9wQUppdHJZcWlMWVNUQTU2YkF2QmRvbFlOQXZURnc0Yzh2T3Vud0JaRno2WjZsenV0dmVWTEgzOA?oc=5,2025-10-05 07:26:51,Kisan Tak,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNMjRuYlFrNGFYazFhOE5XZ2xMMnlwYVN6U25yYXplZWhSeWxFbEZrTmZZWkpNMG9TYTU1SW1jZWJMUkZwN1dva3ZzZENDMzJQOUFpWmF1bjZNZ1AzNEt2aTdDb1NMWm95bXRHS3huRjNOR1J0blhjOEpfRUZpbW5jS3dDd28xVnFxVmQtbmJudTRoeG1yZHlxQWlGTXZDSF9wQUppdHJZcWlMWVNUQTU2YkF2QmRvbFlOQXZURnc0Yzh2T3Vud0JaRno2WjZsenV0dmVWTEgzOA?oc=5"" target=""_blank"">बाढ़ से फसल क्षति को लेकर कर्नाटक के नेता प्रतिपक्ष ने कांग्रेस सरकार को घेरा, मुआवजा ना देने पर कही ये बात</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kisan Tak</font>",Disaster,kn
"सिरप पिलाने के बाद बच्ची को नहीं आया यूरिन, नागपुर में मौत, कर्नाटक से लौटे पिता की भावुक स्टोरी - ETV Bharat",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOdDJaRnNTOXhEcVpGZUhzLU5GU2dSU1EzRThILWgyM2hoZXpyb0JhRU1tenlNbFFoUzdNcl9veXlNVnFONEM4bUlyeVNrR1d4QzlBaklDZVZRWWliVGlUSXlhM1FubXpoZ3hsRW5ET2U5THBzOXYwWTRGV0pBWksweXFRQmlMbWpOVkppUElpRml1bHByQXQ0RlV4Wk9mNmkzWUIxZ1BENk5LTUFNN2dmSDh3QzBmZ0VVRmxON3B0NHBLS0tYaGxNak94SHFwSnRWLU41Rlg3NNIB3AFBVV95cUxOTVItazJZU3RiREUyc1ByMWxTcjNoS2hldzA5b0pKc3loVHpWUFY4eEV5Wnc5aWNBS3hZMjktM1RkZHg2eFhuaWxNckQ3a1RWbmhlUE1SckljWWNvQkpLeHdualkxMU56dFlNR045bzlEcUIyZ0NvRXZrczhTRjJGS216NzV5clZ2bFNBVUs1bW42Zmpmd2NTMUt3ZWRadkJ4aGtFcXgwQUNnRnVpdU83VlFLRElMb1FCSFVCZEhkTnZxekU0N1dDR3hFY2U4Y0t6QUxwamxGWTRkdS1O?oc=5,2025-10-04 13:32:46,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOdDJaRnNTOXhEcVpGZUhzLU5GU2dSU1EzRThILWgyM2hoZXpyb0JhRU1tenlNbFFoUzdNcl9veXlNVnFONEM4bUlyeVNrR1d4QzlBaklDZVZRWWliVGlUSXlhM1FubXpoZ3hsRW5ET2U5THBzOXYwWTRGV0pBWksweXFRQmlMbWpOVkppUElpRml1bHByQXQ0RlV4Wk9mNmkzWUIxZ1BENk5LTUFNN2dmSDh3QzBmZ0VVRmxON3B0NHBLS0tYaGxNak94SHFwSnRWLU41Rlg3NNIB3AFBVV95cUxOTVItazJZU3RiREUyc1ByMWxTcjNoS2hldzA5b0pKc3loVHpWUFY4eEV5Wnc5aWNBS3hZMjktM1RkZHg2eFhuaWxNckQ3a1RWbmhlUE1SckljWWNvQkpLeHdualkxMU56dFlNR045bzlEcUIyZ0NvRXZrczhTRjJGS216NzV5clZ2bFNBVUs1bW42Zmpmd2NTMUt3ZWRadkJ4aGtFcXgwQUNnRnVpdU83VlFLRElMb1FCSFVCZEhkTnZxekU0N1dDR3hFY2U4Y0t6QUxwamxGWTRkdS1O?oc=5"" target=""_blank"">सिरप पिलाने के बाद बच्ची को नहीं आया यूरिन, नागपुर में मौत, कर्नाटक से लौटे पिता की भावुक स्टोरी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Disaster,kn
Cyclone Shakti: IMD warns of heavy rainfall and strong winds along Maharashtra coast | Highlights - India TV News,https://news.google.com/rss/articles/CBMinwJBVV95cUxQSVR1bmVENTAwNWJXQVZ0QTFLYlBuRjNYVl9XbzlRMjAxay12WXlDVjVDMHo1eXFlajhpbFdhZWNEOVd5bHdOQkVWNWRYYVBhRVp1ZnU0ZXFqQklvdWIyb2xrcndVaE9RNzRuUGw4QUNqcGFXU2FfakFua1B5Rm82TzBGelR4dmxfaFRVMGRJYll3WE94WXlaR2h1NFktaGxGM3hMS1pFT2o2Q2lGM1BVbUp5YmpDTVgyeEZsMVBReVRNbzl4dUdoeEdBclNPSjlzMnJwcVptb0VGZWRNcklfX3UtVEp5Um1neDRWaDBtVWFnMVFDd2RsbGNkN3lkWEhKWGdoZV8wU2tzazlYRXVoWVR4ODlYcmxiUE12VGk4Y9IBpAJBVV95cUxOLU9KWTNFNlN4cWlvekthanp6Uno1TjFhSUFCWkVkNzFDZHMwNHVqaEMxUUR6QS1uTWZvQTlBbXN1Wl8yU1JBd3RCV1lmWTBnN0dWSFRLZWRzNWxvTDdudUVNVXVwQWdZUWI2eDVMcFp1X1RJR0NyaE1CZGhiZWxiNTV5NFdIS2I5QlMxSW5YcDFXMjZLa2dsdF92aUFTMGVLR29LaDUxZURnbkxnYnR2bkJRMVEtMTdTbnJxTGk1eDdTUmpLcm9vaktXOTY5d3F6UElJOHlvekh2bWFQaUxaRUxFV0NFS3ppODhrSmhfcWI4SjN1dTZ6RFlKNmZNNG1rb2dPc2d2UW9SYlVTa1A5LXJpY3FBemdaX3FPc2xNWjZUcUk2?oc=5,2025-10-04 18:30:55,India TV News,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxQSVR1bmVENTAwNWJXQVZ0QTFLYlBuRjNYVl9XbzlRMjAxay12WXlDVjVDMHo1eXFlajhpbFdhZWNEOVd5bHdOQkVWNWRYYVBhRVp1ZnU0ZXFqQklvdWIyb2xrcndVaE9RNzRuUGw4QUNqcGFXU2FfakFua1B5Rm82TzBGelR4dmxfaFRVMGRJYll3WE94WXlaR2h1NFktaGxGM3hMS1pFT2o2Q2lGM1BVbUp5YmpDTVgyeEZsMVBReVRNbzl4dUdoeEdBclNPSjlzMnJwcVptb0VGZWRNcklfX3UtVEp5Um1neDRWaDBtVWFnMVFDd2RsbGNkN3lkWEhKWGdoZV8wU2tzazlYRXVoWVR4ODlYcmxiUE12VGk4Y9IBpAJBVV95cUxOLU9KWTNFNlN4cWlvekthanp6Uno1TjFhSUFCWkVkNzFDZHMwNHVqaEMxUUR6QS1uTWZvQTlBbXN1Wl8yU1JBd3RCV1lmWTBnN0dWSFRLZWRzNWxvTDdudUVNVXVwQWdZUWI2eDVMcFp1X1RJR0NyaE1CZGhiZWxiNTV5NFdIS2I5QlMxSW5YcDFXMjZLa2dsdF92aUFTMGVLR29LaDUxZURnbkxnYnR2bkJRMVEtMTdTbnJxTGk1eDdTUmpLcm9vaktXOTY5d3F6UElJOHlvekh2bWFQaUxaRUxFV0NFS3ppODhrSmhfcWI4SjN1dTZ6RFlKNmZNNG1rb2dPc2d2UW9SYlVTa1A5LXJpY3FBemdaX3FPc2xNWjZUcUk2?oc=5"" target=""_blank"">Cyclone Shakti: IMD warns of heavy rainfall and strong winds along Maharashtra coast | Highlights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Disaster,en
Cyclone 'Shakhti' to weaken; Mumbai likely to see light rains - NewsBytes,https://news.google.com/rss/articles/CBMipwFBVV95cUxPWUdicHBEbWdWTUUzMkFtSnM5SFpUcG9hNEtiSTJpQUM4QkNtOU9ULWxfTGs4YjBZUnZfX0lOTVV3d1VrQjNYZGpVNVFtWktOcEdYRE84RXRKbFVheDBUX2hxbFY2VHBjMXhBMm5HbGhNLXlxekJ6WU85cTM2czhMcWhjZDlDYUVYLTBKb2pncVBLVVk2V1FGek9TcjF0N0ZZQUt1U3VScw?oc=5,2025-10-05 10:04:23,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPWUdicHBEbWdWTUUzMkFtSnM5SFpUcG9hNEtiSTJpQUM4QkNtOU9ULWxfTGs4YjBZUnZfX0lOTVV3d1VrQjNYZGpVNVFtWktOcEdYRE84RXRKbFVheDBUX2hxbFY2VHBjMXhBMm5HbGhNLXlxekJ6WU85cTM2czhMcWhjZDlDYUVYLTBKb2pncVBLVVk2V1FGek9TcjF0N0ZZQUt1U3VScw?oc=5"" target=""_blank"">Cyclone 'Shakhti' to weaken; Mumbai likely to see light rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Disaster,en
"Cyclone Shakthi churns Arabian Sea, IMD issues high-sea alert for west coast - Mathrubhumi English",https://news.google.com/rss/articles/CBMinAFBVV95cUxPa3A2SXZMMjFBS1puSGhBQjMxTVZfclZkaU44TDYxS1AwLVRqX3pubG9uTHNOWFFLVWRqRldNc2Nkd2JWU0NUMG5rLU9JZUFCbGduM3dCNTJOVnlfbWVfeFpXdmRoNGo2SExGRzV5bFhMQkN2UkFkTGMtY19aRGJMX0gwNDYtdE1rZ1pZUVpWYTQ0X0JUdUlWWUhDRGnSAZwBQVVfeXFMT2twNkl2TDIxQUtabkhoQUIzMU1WX3JWZGlOOEw2MUtQMC1Ual96bmxvbkxzTlhRS1VkakZXTXNjZHdiVlNDVDBuay1PSWVBQmxnbjN3QjUyTlZ5X21lX3haV3ZkaDRqNkhMRkc1eWxYTEJDdlJBZExjLWNfWkRiTF9IMDQ2LXRNa2daWVFaVmE0NF9CVHVJVllIQ0Rp?oc=5,2025-10-05 02:25:00,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPa3A2SXZMMjFBS1puSGhBQjMxTVZfclZkaU44TDYxS1AwLVRqX3pubG9uTHNOWFFLVWRqRldNc2Nkd2JWU0NUMG5rLU9JZUFCbGduM3dCNTJOVnlfbWVfeFpXdmRoNGo2SExGRzV5bFhMQkN2UkFkTGMtY19aRGJMX0gwNDYtdE1rZ1pZUVpWYTQ0X0JUdUlWWUhDRGnSAZwBQVVfeXFMT2twNkl2TDIxQUtabkhoQUIzMU1WX3JWZGlOOEw2MUtQMC1Ual96bmxvbkxzTlhRS1VkakZXTXNjZHdiVlNDVDBuay1PSWVBQmxnbjN3QjUyTlZ5X21lX3haV3ZkaDRqNkhMRkc1eWxYTEJDdlJBZExjLWNfWkRiTF9IMDQ2LXRNa2daWVFaVmE0NF9CVHVJVllIQ0Rp?oc=5"" target=""_blank"">Cyclone Shakthi churns Arabian Sea, IMD issues high-sea alert for west coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",Disaster,en
Cyclone Shakhti Update: First Post-Monsoon Cyclone Intensifies to Severe Storm - The Indian Witness,https://news.google.com/rss/articles/CBMioAFBVV95cUxNSko3dVFoOXBFLVdxaG15UlN5NlpoR0l5Y3lpMkMxMDBqQjZDM1pIdmNkMk1tWjEwUWZ3X1BOQnIwUE9NeEhhZmd5XzE1aFhaRFRHYXQ5RXdKZHZPZU5CYkhUV1BzcmFYQ085ZTg0SnlfczEwOFFlY0M2TkVBSEdIVVBmYmViMHhiMkZnd0tBWGoteGV2NTBaMTZ3MTlhdFhY0gGmAUFVX3lxTE41THF1dUZEbVZqaENJWVRqaTlZU0I4WkxocHR4SksyLTdDOWFpc0lzZHo5dUlkdHo1cUtidmllcDRMaXdRTlhkRHN5RlkxSlpvNDhRRjd0ZW1EOGJiUVdfemduSG05RFlHMlNORzFmbTVEUTNOOGNSMElIQ3lIdGF0dUlYbE56ZHBHVzJYbXp5YUhJU1h6bkhBbHR5T1ZocmNXcldfemc?oc=5,2025-10-04 13:07:59,The Indian Witness,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNSko3dVFoOXBFLVdxaG15UlN5NlpoR0l5Y3lpMkMxMDBqQjZDM1pIdmNkMk1tWjEwUWZ3X1BOQnIwUE9NeEhhZmd5XzE1aFhaRFRHYXQ5RXdKZHZPZU5CYkhUV1BzcmFYQ085ZTg0SnlfczEwOFFlY0M2TkVBSEdIVVBmYmViMHhiMkZnd0tBWGoteGV2NTBaMTZ3MTlhdFhY0gGmAUFVX3lxTE41THF1dUZEbVZqaENJWVRqaTlZU0I4WkxocHR4SksyLTdDOWFpc0lzZHo5dUlkdHo1cUtidmllcDRMaXdRTlhkRHN5RlkxSlpvNDhRRjd0ZW1EOGJiUVdfemduSG05RFlHMlNORzFmbTVEUTNOOGNSMElIQ3lIdGF0dUlYbE56ZHBHVzJYbXp5YUhJU1h6bkhBbHR5T1ZocmNXcldfemc?oc=5"" target=""_blank"">Cyclone Shakhti Update: First Post-Monsoon Cyclone Intensifies to Severe Storm</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Witness</font>",Disaster,en
"Cyclone Shakti intensifies, heavy rain forecast for Maharashtra coast - newskarnataka.com",https://news.google.com/rss/articles/CBMirgFBVV95cUxPSnNseVFCZ091ZEdFZ2wtaG45b28yLXJaZ0xaVnlnRkhvLV9VcnE1TVYzeFJjQzFZUG9Dcm1lZU1Db3FoclE5NVVyZ1Jkc2UtWXEzcWNkNDdrQ3JWOVZGUmNweWlsdXdCWm9qRW05UzBWMDJ5eEs3WHpEQ2kzUDBKMHA0ZTU4MUVSSVJZR0c5YWJDYm1OdWNtOGZnUGh0aF9QUEpPRmxvUkpUOEl0dFE?oc=5,2025-10-04 20:06:38,newskarnataka.com,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPSnNseVFCZ091ZEdFZ2wtaG45b28yLXJaZ0xaVnlnRkhvLV9VcnE1TVYzeFJjQzFZUG9Dcm1lZU1Db3FoclE5NVVyZ1Jkc2UtWXEzcWNkNDdrQ3JWOVZGUmNweWlsdXdCWm9qRW05UzBWMDJ5eEs3WHpEQ2kzUDBKMHA0ZTU4MUVSSVJZR0c5YWJDYm1OdWNtOGZnUGh0aF9QUEpPRmxvUkpUOEl0dFE?oc=5"" target=""_blank"">Cyclone Shakti intensifies, heavy rain forecast for Maharashtra coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newskarnataka.com</font>",Disaster,en
Cyclone Shakti Impact: Which States Will See Impact and Rough Seas - SakshiPost,https://news.google.com/rss/articles/CBMiswFBVV95cUxPdXVDMF9GcVZoYnFyaDJBd21xczgyeFlnTnZIaDFneGxtQllGZW1hb2t0Y3ZPa3U5MlJab1U2SGROWUxfYU5yNVg3MGEtNFR5YXJNaVNrMWYzaFpXTS1ZNU9EM1RhTEFfczRVUDBSUXdGUUFrN3lQZ0Y1YWd0Z1AxTmktWTBXVUZ4Z2JGMV9vbW1sd2tCek5aMGhnTDlESWZsSlhxckdCTTZPSFo5cU5VVjk4a9IBtgFBVV95cUxNYk1XaWo4SkNpOGFqdjJUcTBPM3hCc19qNnhVODNDUEdsNmh6cTNfRkk4MThTV0k5Q3o2S2U5b2ZreWFqN1kzTTUxQUh5OFFQRWtERGd4ZVZXNnZxN2N0Z1IybXF6RWpFeUtlSmk0eGhjNGIyYnl0QXN6LTVzaHU3TjJLVmdwMm1lWU8xdC1GQ1ZCVFotNTFpd244cVpXY2w4S3pQTzdCNEZHMDFHRlBfalhDMFgydw?oc=5,2025-10-04 12:00:40,SakshiPost,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPdXVDMF9GcVZoYnFyaDJBd21xczgyeFlnTnZIaDFneGxtQllGZW1hb2t0Y3ZPa3U5MlJab1U2SGROWUxfYU5yNVg3MGEtNFR5YXJNaVNrMWYzaFpXTS1ZNU9EM1RhTEFfczRVUDBSUXdGUUFrN3lQZ0Y1YWd0Z1AxTmktWTBXVUZ4Z2JGMV9vbW1sd2tCek5aMGhnTDlESWZsSlhxckdCTTZPSFo5cU5VVjk4a9IBtgFBVV95cUxNYk1XaWo4SkNpOGFqdjJUcTBPM3hCc19qNnhVODNDUEdsNmh6cTNfRkk4MThTV0k5Q3o2S2U5b2ZreWFqN1kzTTUxQUh5OFFQRWtERGd4ZVZXNnZxN2N0Z1IybXF6RWpFeUtlSmk0eGhjNGIyYnl0QXN6LTVzaHU3TjJLVmdwMm1lWU8xdC1GQ1ZCVFotNTFpd244cVpXY2w4S3pQTzdCNEZHMDFHRlBfalhDMFgydw?oc=5"" target=""_blank"">Cyclone Shakti Impact: Which States Will See Impact and Rough Seas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SakshiPost</font>",Disaster,en
Cyclone Shakhti churns up Arabian Sea off Gujarat coast - Devdiscourse,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQc2RYUDBKRkl3TzJ2d1pwRE9TQ2JuOGlQYkkyTDVrdnFKX1loa0Y4TWdFa2dMek9fMVpORVBReV9CTXVvYXNEZnN3VEpoeVNqcTd2a1ZodXpIMTUzdWtkM0NsSlJRZE04c2NKMk1LV0ZzZWh3aFBScVVuNDVKcGh6Z2lzMTJiTkRMVjJ0S25CTW1SWUx2eTJvX2FCYmtyRFVGemdmWWdJZm1EZXh4SFRZMzFmdHdXUVVoUUJYeWoxaXZQZ9IBwgFBVV95cUxQc2RYUDBKRkl3TzJ2d1pwRE9TQ2JuOGlQYkkyTDVrdnFKX1loa0Y4TWdFa2dMek9fMVpORVBReV9CTXVvYXNEZnN3VEpoeVNqcTd2a1ZodXpIMTUzdWtkM0NsSlJRZE04c2NKMk1LV0ZzZWh3aFBScVVuNDVKcGh6Z2lzMTJiTkRMVjJ0S25CTW1SWUx2eTJvX2FCYmtyRFVGemdmWWdJZm1EZXh4SFRZMzFmdHdXUVVoUUJYeWoxaXZQZw?oc=5,2025-10-04 10:34:45,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQc2RYUDBKRkl3TzJ2d1pwRE9TQ2JuOGlQYkkyTDVrdnFKX1loa0Y4TWdFa2dMek9fMVpORVBReV9CTXVvYXNEZnN3VEpoeVNqcTd2a1ZodXpIMTUzdWtkM0NsSlJRZE04c2NKMk1LV0ZzZWh3aFBScVVuNDVKcGh6Z2lzMTJiTkRMVjJ0S25CTW1SWUx2eTJvX2FCYmtyRFVGemdmWWdJZm1EZXh4SFRZMzFmdHdXUVVoUUJYeWoxaXZQZ9IBwgFBVV95cUxQc2RYUDBKRkl3TzJ2d1pwRE9TQ2JuOGlQYkkyTDVrdnFKX1loa0Y4TWdFa2dMek9fMVpORVBReV9CTXVvYXNEZnN3VEpoeVNqcTd2a1ZodXpIMTUzdWtkM0NsSlJRZE04c2NKMk1LV0ZzZWh3aFBScVVuNDVKcGh6Z2lzMTJiTkRMVjJ0S25CTW1SWUx2eTJvX2FCYmtyRFVGemdmWWdJZm1EZXh4SFRZMzFmdHdXUVVoUUJYeWoxaXZQZw?oc=5"" target=""_blank"">Cyclone Shakhti churns up Arabian Sea off Gujarat coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",Disaster,en
"IMD issues yellow alert for Karnataka: Thunderstorms, lightning expected - newskarnataka.com",https://news.google.com/rss/articles/CBMitgFBVV95cUxPR3loS1pEa2Jubjk5dnlnQUkya1BoRG8xYzVqRUpTU1c0UXAyNGdaZzhJZmo5WHRoOGZycEE4eW10SmJJUWZaRWxvaVF4TFNOZWd6T0VjLTNvUk8wbVBjWlJpVUhLaEJkcjZ0c1BFTl90T2RCdGdKSjd5VEtMYXZGR0p5bnlmcGJIbjhMRmhWWm81U29obDhiOTFUUlhiQldoZkMxNDRjUXp4SncyNmkwR2JQejZoQQ?oc=5,2025-10-04 11:47:05,newskarnataka.com,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPR3loS1pEa2Jubjk5dnlnQUkya1BoRG8xYzVqRUpTU1c0UXAyNGdaZzhJZmo5WHRoOGZycEE4eW10SmJJUWZaRWxvaVF4TFNOZWd6T0VjLTNvUk8wbVBjWlJpVUhLaEJkcjZ0c1BFTl90T2RCdGdKSjd5VEtMYXZGR0p5bnlmcGJIbjhMRmhWWm81U29obDhiOTFUUlhiQldoZkMxNDRjUXp4SncyNmkwR2JQejZoQQ?oc=5"" target=""_blank"">IMD issues yellow alert for Karnataka: Thunderstorms, lightning expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newskarnataka.com</font>",Disaster,en
