Title,Link,Date,Source,Summary,Term,LanguageQueried
Bengaluru sees hottest day of the year; mercury may rise further today - Deccan Herald,https://news.google.com/rss/articles/CBMizAFBVV95cUxQZFcwNmJKZkE4MHMwbU15d3B5N2IzNE1ybWVBSmlySEtJSVNDeTlnaUVIMDJ6aDVBZXBnNTNIeTdmbENFbGFKbkwxMkdHUnlUNTRiNm9VRUZwR1ZENmxTQmpuNVZDanRtYjhCTFpFcEJuY05FNUF3bXBoQ2NYU0E0Nkg2VG9sLTM2eDRfNElnclFtLTdOeGQ4ZjMtZEs3eVQ2eTBqVWllc0JaelNfQXZTNUR6SDRGM1pyWjBYZkF0UDRjMXRxRFVrUDF0WW4?oc=5,2025-03-09 02:58:14,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQZFcwNmJKZkE4MHMwbU15d3B5N2IzNE1ybWVBSmlySEtJSVNDeTlnaUVIMDJ6aDVBZXBnNTNIeTdmbENFbGFKbkwxMkdHUnlUNTRiNm9VRUZwR1ZENmxTQmpuNVZDanRtYjhCTFpFcEJuY05FNUF3bXBoQ2NYU0E0Nkg2VG9sLTM2eDRfNElnclFtLTdOeGQ4ZjMtZEs3eVQ2eTBqVWllc0JaelNfQXZTNUR6SDRGM1pyWjBYZkF0UDRjMXRxRFVrUDF0WW4?oc=5"" target=""_blank"">Bengaluru sees hottest day of the year; mercury may rise further today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Heatwave,en
"IMD Weather Update: Tamil Nadu, Kerala Braces For Rain; Heatwave Likely To Impact Saurashtra, Kutch And Other Regions - News24",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPbVo1Mk1lT2xaMjNSb2tXVEhYdVlqNzg5Z19ZSTdHT1h5YXN6ZzNVSGZOc2R0R3VWNmVWTVhrbm5QSjd0cWNwU1k4dVJLRXQzNENhWjhEYUF1ajRQNUdQenlkd0d4VGtlX2MyZF96T0xySl9JbWhleEp1M3pEVFBPWm1PZmZxT3BxUUNwaHdZb2g3ZGpLSm8yS1RueWJUNndLVGJ4Sy1LVURIUHh4VmZlUlhXSDRkdmFqeFl5ai1tX3l1TGpKLVJOWHpXVmdDWFNKUU1hR2U1bXZ2Wl9SUWNsaVIwZWVkakU?oc=5,2025-03-09 08:05:46,News24,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPbVo1Mk1lT2xaMjNSb2tXVEhYdVlqNzg5Z19ZSTdHT1h5YXN6ZzNVSGZOc2R0R3VWNmVWTVhrbm5QSjd0cWNwU1k4dVJLRXQzNENhWjhEYUF1ajRQNUdQenlkd0d4VGtlX2MyZF96T0xySl9JbWhleEp1M3pEVFBPWm1PZmZxT3BxUUNwaHdZb2g3ZGpLSm8yS1RueWJUNndLVGJ4Sy1LVURIUHh4VmZlUlhXSDRkdmFqeFl5ai1tX3l1TGpKLVJOWHpXVmdDWFNKUU1hR2U1bXZ2Wl9SUWNsaVIwZWVkakU?oc=5"" target=""_blank"">IMD Weather Update: Tamil Nadu, Kerala Braces For Rain; Heatwave Likely To Impact Saurashtra, Kutch And Other Regions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",Heatwave,en
Bengaluru Records Hottest Day of the Year at 34.6°C: Report - Times Now,https://news.google.com/rss/articles/CBMitwFBVV95cUxQR3dnYVFYbVJUMEN5S1p1ZjNTTlNtcjU5ZjV5MmtlSkJHVnA1SVlmampiSzZoazZjZVlhVGFLMHliRFBhYVdvVU9fNC1IYzJ4LW4yMnUwOUFfUzlwUnNjME5UaUNtWGk4T3hUSjY5ZlZCb1VBQ0VxdUNGTGpLVTYtWklkRlltelJoZ3oxNEZWWGlIb2pkZ2FPSzNGMVgzSTZIY1ZPbWEtaTY4dEhzeG5TMHR6NXF5Rm_SAbwBQVVfeXFMUE5NaWE0WU1LajY2Sm5SMnA2LWplV0llb1o4Q1hWWm5PZnVHSVViSDlYVmpKUnZoM294MzBiYjgwSDJIaTFnNnBWRHNjZTdhX2NiUnhLWVVtZkg3WXpsSXc0R2pkVWRxWmxGZWg0cVB4ZHhrTFpmR2F2MkRjOS1tVWZGdjR3UlpqeFgtVnhWWXFiUmNESEVVbmR5b3FiWG9TRTgwcnRpaFFZRkx5WHpEWDVDZjhpZThQRXc1cFE?oc=5,2025-03-09 08:36:18,Times Now,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQR3dnYVFYbVJUMEN5S1p1ZjNTTlNtcjU5ZjV5MmtlSkJHVnA1SVlmampiSzZoazZjZVlhVGFLMHliRFBhYVdvVU9fNC1IYzJ4LW4yMnUwOUFfUzlwUnNjME5UaUNtWGk4T3hUSjY5ZlZCb1VBQ0VxdUNGTGpLVTYtWklkRlltelJoZ3oxNEZWWGlIb2pkZ2FPSzNGMVgzSTZIY1ZPbWEtaTY4dEhzeG5TMHR6NXF5Rm_SAbwBQVVfeXFMUE5NaWE0WU1LajY2Sm5SMnA2LWplV0llb1o4Q1hWWm5PZnVHSVViSDlYVmpKUnZoM294MzBiYjgwSDJIaTFnNnBWRHNjZTdhX2NiUnhLWVVtZkg3WXpsSXc0R2pkVWRxWmxGZWg0cVB4ZHhrTFpmR2F2MkRjOS1tVWZGdjR3UlpqeFgtVnhWWXFiUmNESEVVbmR5b3FiWG9TRTgwcnRpaFFZRkx5WHpEWDVDZjhpZThQRXc1cFE?oc=5"" target=""_blank"">Bengaluru Records Hottest Day of the Year at 34.6°C: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Heatwave,en
Bengaluru records hottest day of the year at 34.6°C - NewsBytes,https://news.google.com/rss/articles/CBMimAFBVV95cUxOZF92SFc3R0VuYmxTRUxjbVR3dDJJd2FZVlR2eFFYUDNiQWVyRTlfbEFleUJsaVJzaU8wNkNSa2QxT0t2OEVETWQ3cF9kclBkTUtKOXNHaTFwaXFvTjVtdXhUU3dzaHJqTWVnNmVBXzlEUm42VjBjZ2ZySFp1SGgxamRQakxGSUlVRlpmdHR3anItWEtobXpBcQ?oc=5,2025-03-09 09:20:26,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxOZF92SFc3R0VuYmxTRUxjbVR3dDJJd2FZVlR2eFFYUDNiQWVyRTlfbEFleUJsaVJzaU8wNkNSa2QxT0t2OEVETWQ3cF9kclBkTUtKOXNHaTFwaXFvTjVtdXhUU3dzaHJqTWVnNmVBXzlEUm42VjBjZ2ZySFp1SGgxamRQakxGSUlVRlpmdHR3anItWEtobXpBcQ?oc=5"" target=""_blank"">Bengaluru records hottest day of the year at 34.6°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Heatwave,en
Bengaluru Weather: City Records Hottest Temperature Of Year At 34.6°C; More Hot Days Expected Ahead | Check Forecast - Jagran English,https://news.google.com/rss/articles/CBMilAJBVV95cUxPcWVwRHhsZmlxbXZTOFhQMkNOS05VSkJZQWR5YV8xOWotREMxM183SmpFN0ZXMk8yQVNkYUxuWTJ0cTF1SGN6d1QtZi1jZWdNVXB2bkVtNkJsMW1YUXVkUXNZbjRYSEdzNTRaOUNxOWhfV21aLUF3X1NMYjFZMXAyd2Q2Qlh1d3ZPNzZRMGYwUEtQTy1Lc1ExQmtMYWRZQ0Y3Sk92eHZiUjMxSkNhQmotM3pLSkNqcTJFMjdCaFZUQnh6MkNaN09jSlhHUTZpR0FlRldWckNHMUVwTDJaSExNblotR0NxUndpQ1dNSENNdTh1NG1aNkxzV0pTM0xZSXhsQTR5VjVVRld1N1NLd1ZhNUFNYko?oc=5,2025-03-09 09:53:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMilAJBVV95cUxPcWVwRHhsZmlxbXZTOFhQMkNOS05VSkJZQWR5YV8xOWotREMxM183SmpFN0ZXMk8yQVNkYUxuWTJ0cTF1SGN6d1QtZi1jZWdNVXB2bkVtNkJsMW1YUXVkUXNZbjRYSEdzNTRaOUNxOWhfV21aLUF3X1NMYjFZMXAyd2Q2Qlh1d3ZPNzZRMGYwUEtQTy1Lc1ExQmtMYWRZQ0Y3Sk92eHZiUjMxSkNhQmotM3pLSkNqcTJFMjdCaFZUQnh6MkNaN09jSlhHUTZpR0FlRldWckNHMUVwTDJaSExNblotR0NxUndpQ1dNSENNdTh1NG1aNkxzV0pTM0xZSXhsQTR5VjVVRld1N1NLd1ZhNUFNYko?oc=5"" target=""_blank"">Bengaluru Weather: City Records Hottest Temperature Of Year At 34.6°C; More Hot Days Expected Ahead | Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
IMD Predicts Heatwave in Mumbai – Temperatures Set to Cross 40°C! - UP Excise Portal,https://news.google.com/rss/articles/CBMib0FVX3lxTFAzUkFxRXk2V0s3OUwxTVhLWENPeFUxWXN0QUZpVVlJWlpBSm52WGdRdTRnalQ3TmZ0SDFhRjFRMVUxYkR0aHc1ZlRBS2EzRW9YaUxmNE1LNEtBZFFXWS1fUUdlb0ZmNVFJQ2VtTDFkaw?oc=5,2025-03-08 18:20:00,UP Excise Portal,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTFAzUkFxRXk2V0s3OUwxTVhLWENPeFUxWXN0QUZpVVlJWlpBSm52WGdRdTRnalQ3TmZ0SDFhRjFRMVUxYkR0aHc1ZlRBS2EzRW9YaUxmNE1LNEtBZFFXWS1fUUdlb0ZmNVFJQ2VtTDFkaw?oc=5"" target=""_blank"">IMD Predicts Heatwave in Mumbai – Temperatures Set to Cross 40°C!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UP Excise Portal</font>",Heatwave,en
"As mercury rises, Kolhapur, Sangli residents seek midday traffic signal shutdown - The Times of India",https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTnRsWlZzajctS015TDRCNXd6amZJU3FZSHU0WUFESm1JWTNYT0pGVmFSOGgydG4wZ29zZ0tPUjBfT1hVdzN2Rjl3NWk4RHdaMTVlbHBVZkdjYTBybVNwTnhPa29ZS0FxN0hwR2VuaFQ1Ri14TlZZX2VhY3hJLWZIUk45Y3M4UGIwOUdEZlJCamdoX1BhRXE1a0xBN19LRkdZdWotOGc0OXlYQjU4cUVqZkJSTFVrVzI4bG5UckpkN0ZIVWg5SEZSWkxUTkhhNm9rSEpuSzNwQUF3c1ZDY0VTSFIwMGxZRVJzdmfSAe8BQVVfeXFMTXZtS1RDQmY4dWJaU3pSVE1wWERsYnplRGtSdTRkOExiU1AwSFkxUVlPOWpyemZMaF95UVZMM3R2VTV5WU5VYWR0Q1BvOVRZSTFNbmpIZXl0ZmZRb2gtdkZjQ21mcm81QTA1ZWItTWg5M2lpQ3AtZ2NkelpCRHktLW1aSXIyMnZ1RV9PQVdiRnFWN2hfekNld05tcV8wTkZ4SVFYSXFIZWR2N0N4YzdVWUJRc28tcjgtdHZRM2ZyWjFreVY0U3ozYm1zeUdMZE9tY2NXNnRLQjJocUVJb0JQcnhWYWZxOHRXUFNGcWVQRTg?oc=5,2025-03-08 23:32:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTnRsWlZzajctS015TDRCNXd6amZJU3FZSHU0WUFESm1JWTNYT0pGVmFSOGgydG4wZ29zZ0tPUjBfT1hVdzN2Rjl3NWk4RHdaMTVlbHBVZkdjYTBybVNwTnhPa29ZS0FxN0hwR2VuaFQ1Ri14TlZZX2VhY3hJLWZIUk45Y3M4UGIwOUdEZlJCamdoX1BhRXE1a0xBN19LRkdZdWotOGc0OXlYQjU4cUVqZkJSTFVrVzI4bG5UckpkN0ZIVWg5SEZSWkxUTkhhNm9rSEpuSzNwQUF3c1ZDY0VTSFIwMGxZRVJzdmfSAe8BQVVfeXFMTXZtS1RDQmY4dWJaU3pSVE1wWERsYnplRGtSdTRkOExiU1AwSFkxUVlPOWpyemZMaF95UVZMM3R2VTV5WU5VYWR0Q1BvOVRZSTFNbmpIZXl0ZmZRb2gtdkZjQ21mcm81QTA1ZWItTWg5M2lpQ3AtZ2NkelpCRHktLW1aSXIyMnZ1RV9PQVdiRnFWN2hfekNld05tcV8wTkZ4SVFYSXFIZWR2N0N4YzdVWUJRc28tcjgtdHZRM2ZyWjFreVY0U3ozYm1zeUdMZE9tY2NXNnRLQjJocUVJb0JQcnhWYWZxOHRXUFNGcWVQRTg?oc=5"" target=""_blank"">As mercury rises, Kolhapur, Sangli residents seek midday traffic signal shutdown</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Heatwave,en
"Bengaluru, Other Karnataka Districts To See 40% More Pre-Monsoon Showers Between March- May | IMD Explains - Jagran English",https://news.google.com/rss/articles/CBMi6AFBVV95cUxOQUJpYXpPVGFRcm5fOTB1QTVhYU8tczlwV050eDVjNVhMNWk1cDNqVmtMOXpCdEt3N0RlZXkyZkh3QjN5RHVQQUN0djQ3MGEtbTM2anVSQWZLYmV2U1NSeWhUeDF3aTdlRGQ5bmlOMDR4Qk90YnhqSHA0OWlIVDM2YWl3cDJqQ3JMbkVLQU1jbkw3dUtDbnpQZTZCakYzcGl1ZVdiR2UtRmgzVlN1MURnNVktQW9xeEtOdlJuTzlPcTdGMTJQcnRPV2pHYlZfbE1iNGc5YjY0M2dwZjlKX2l1TE9ZX0RBMVhu?oc=5,2025-03-09 09:32:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOQUJpYXpPVGFRcm5fOTB1QTVhYU8tczlwV050eDVjNVhMNWk1cDNqVmtMOXpCdEt3N0RlZXkyZkh3QjN5RHVQQUN0djQ3MGEtbTM2anVSQWZLYmV2U1NSeWhUeDF3aTdlRGQ5bmlOMDR4Qk90YnhqSHA0OWlIVDM2YWl3cDJqQ3JMbkVLQU1jbkw3dUtDbnpQZTZCakYzcGl1ZVdiR2UtRmgzVlN1MURnNVktQW9xeEtOdlJuTzlPcTdGMTJQcnRPV2pHYlZfbE1iNGc5YjY0M2dwZjlKX2l1TE9ZX0RBMVhu?oc=5"" target=""_blank"">Bengaluru, Other Karnataka Districts To See 40% More Pre-Monsoon Showers Between March- May | IMD Explains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
"Rain Alert: New Western Disturbance active, these states will receive rain for 6 days - informalnewz",https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5,2025-03-09 08:23:07,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5"" target=""_blank"">Rain Alert: New Western Disturbance active, these states will receive rain for 6 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
IMD Issues Forecast for Hot and Muggy Conditions in Southern States - The Impressive Times,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBOc2ZFZllNQTgzWEp5TGhfSlZGNmRMSEg0dFVKWU15U0ZJWVJ1N0g2VmdYNW12M2Z0QXRoaHJpVzBMUk0zRUl3aTg4Y0g3MlpBbV9EUjY0b1JKbWs?oc=5,2025-03-08 13:29:11,The Impressive Times,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTFBOc2ZFZllNQTgzWEp5TGhfSlZGNmRMSEg0dFVKWU15U0ZJWVJ1N0g2VmdYNW12M2Z0QXRoaHJpVzBMUk0zRUl3aTg4Y0g3MlpBbV9EUjY0b1JKbWs?oc=5"" target=""_blank"">IMD Issues Forecast for Hot and Muggy Conditions in Southern States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Impressive Times</font>",Heatwave,en
