Title,Link,Date,Source,Summary,Term,LanguageQueried
Bengaluru Weather: शहर में मंगलवार को गर्मी और उमस - Janta Se Rishta,https://news.google.com/rss/articles/CBMipwFBVV95cUxQTlF1Vlcyb0wtUGhMYjFRMTd2NkpmXzk0VDJtVFQydzE4S3BzTnRzaTAyRjZhOVdoRXlpazFRODZxS3dtTi0wbU4xZDd3QkJLZFR0elNubmJ4eHRaWHhLbWxtZFdsOVdiSEQ3MmpYODV0V0FBblBQYkNESFlHaThoeFZKc012TFh5WXVQNmpqOW1NMXU5Y0RsdzNCVkJveXdkcXotU3JtUQ?oc=5,2025-03-18 16:06:17,Janta Se Rishta,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQTlF1Vlcyb0wtUGhMYjFRMTd2NkpmXzk0VDJtVFQydzE4S3BzTnRzaTAyRjZhOVdoRXlpazFRODZxS3dtTi0wbU4xZDd3QkJLZFR0elNubmJ4eHRaWHhLbWxtZFdsOVdiSEQ3MmpYODV0V0FBblBQYkNESFlHaThoeFZKc012TFh5WXVQNmpqOW1NMXU5Y0RsdzNCVkJveXdkcXotU3JtUQ?oc=5"" target=""_blank"">Bengaluru Weather: शहर में मंगलवार को गर्मी और उमस</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Se Rishta</font>",Heatwave,kn
Summer heat: Govt employees insist on change in office timings - Deccan Herald,https://news.google.com/rss/articles/CBMitAFBVV95cUxNUU1LaDIxdm1Nak5ERUxfU3E4ZVJxT3ZUdkFPekVlUFVrSVpFR2VORXZHWVVTNnlEbVNNdDQ0UXBXeFNjenZSRHhBeDZuX3NvWXRHdVk1X2dGdmZramxuZVpNSExDZzlDdzFURXlScmxtVDJlOFRaRzlNTTB4Y3d4RktUNzVXWWlTeEJ2N3NOOUZGaDZ1MHVMVzF2U04zMTkwZURKbDJtZU5HNzFOSzJaSzdGVFE?oc=5,2025-03-18 22:43:09,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNUU1LaDIxdm1Nak5ERUxfU3E4ZVJxT3ZUdkFPekVlUFVrSVpFR2VORXZHWVVTNnlEbVNNdDQ0UXBXeFNjenZSRHhBeDZuX3NvWXRHdVk1X2dGdmZramxuZVpNSExDZzlDdzFURXlScmxtVDJlOFRaRzlNTTB4Y3d4RktUNzVXWWlTeEJ2N3NOOUZGaDZ1MHVMVzF2U04zMTkwZURKbDJtZU5HNzFOSzJaSzdGVFE?oc=5"" target=""_blank"">Summer heat: Govt employees insist on change in office timings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",Heatwave,en
Bengaluru braces for hot weather as Karnataka faces heatwave alert - Ground Report,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNRUpuOU9teDFOM2tpOHplWXJjSUNmWXVDcFpfYzV1NXQzaWtsME1RTnJyclpBOHdYaVc0bXpNalZpYUxCeGJTLW1ESWxmeXFDa0hkeTliNnNPYXdYUlJ4TnU4UWdET0xuQW1LZUVnMEpkZlR5d2NHelF0akRUOGZBN3FhZHozUTN6dkpoOWtJZi1aNENacjJ3dU5USVRnZjR1eTFPM29YdXA?oc=5,2025-03-18 19:08:49,Ground Report,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNRUpuOU9teDFOM2tpOHplWXJjSUNmWXVDcFpfYzV1NXQzaWtsME1RTnJyclpBOHdYaVc0bXpNalZpYUxCeGJTLW1ESWxmeXFDa0hkeTliNnNPYXdYUlJ4TnU4UWdET0xuQW1LZUVnMEpkZlR5d2NHelF0akRUOGZBN3FhZHozUTN6dkpoOWtJZi1aNENacjJ3dU5USVRnZjR1eTFPM29YdXA?oc=5"" target=""_blank"">Bengaluru braces for hot weather as Karnataka faces heatwave alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ground Report</font>",Heatwave,en
"IMD Weather Update: Temperature Rise Expected In Northwest India, Heat Wave In Odisha, Gujarat, And Karnataka - News24",https://news.google.com/rss/articles/CBMi3AFBVV95cUxOSFlSQllLbE40ZzNNUFZkcXRJd2RBZEpZRERncGI1R3REblRoWGpkR2p4aHJhOWFodmdMYk5WNVpKREhrQTIxX3NsRXl3S2E1MlFOVVlPeUEzQW5Da2xUem54c3hCZ3JhdWdUY2RvOXRuRTZicURrYmNQRUdvbVVTZ3E1Z1ViNFNLeUFaajExMU94VEFQTTdCeVdfbE9ZYzFfa0RzaUxaMXpPYmNmYzQ1d3FSQms4WWFLQVZZNG40cm9lS21ZM2szZFJ2aWN2UWZjZ0xJckYtVUFHZkVD?oc=5,2025-03-18 21:21:16,News24,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOSFlSQllLbE40ZzNNUFZkcXRJd2RBZEpZRERncGI1R3REblRoWGpkR2p4aHJhOWFodmdMYk5WNVpKREhrQTIxX3NsRXl3S2E1MlFOVVlPeUEzQW5Da2xUem54c3hCZ3JhdWdUY2RvOXRuRTZicURrYmNQRUdvbVVTZ3E1Z1ViNFNLeUFaajExMU94VEFQTTdCeVdfbE9ZYzFfa0RzaUxaMXpPYmNmYzQ1d3FSQms4WWFLQVZZNG40cm9lS21ZM2szZFJ2aWN2UWZjZ0xJckYtVUFHZkVD?oc=5"" target=""_blank"">IMD Weather Update: Temperature Rise Expected In Northwest India, Heat Wave In Odisha, Gujarat, And Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24</font>",Heatwave,en
"Bengaluru Weather Forecast For March 19: Know Temperatures, Humidity, AQI And More - Free Press Journal",https://news.google.com/rss/articles/CBMigwFBVV95cUxNQ1dfUGYyRWczMUJUMGd1RDdTdlhSWmZ1dTdqV3cxYm4tQnpKVnJTZjVsV3hJOEFGZjdVRzFpelVacl9lVUo4VU1rRXhZdHdRSnc4Z2NqbDVWSDh0RkZ1bTRBenRoaU1UX2t6eTZYVl9nc0syTVBMdzFxb1JBVkFhQ1ZoONIBiAFBVV95cUxQR0g4LXpHWVN4S3lvODBYY0I4a1NjOTlYQVJLU0lxbklBaTZIbHdmRGtnRzVQWmRQX095XzlOd3JBOXprNFVST1d0OFNxSVk4OTIwT2xSa2FLWE45MlNIN2drdmFMTkEwUlZ1T1lKS3dUVmZRbFBPVlpUTHZTV2RweVFxYTRLaWpv?oc=5,2025-03-19 09:45:02,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxNQ1dfUGYyRWczMUJUMGd1RDdTdlhSWmZ1dTdqV3cxYm4tQnpKVnJTZjVsV3hJOEFGZjdVRzFpelVacl9lVUo4VU1rRXhZdHdRSnc4Z2NqbDVWSDh0RkZ1bTRBenRoaU1UX2t6eTZYVl9nc0syTVBMdzFxb1JBVkFhQ1ZoONIBiAFBVV95cUxQR0g4LXpHWVN4S3lvODBYY0I4a1NjOTlYQVJLU0lxbklBaTZIbHdmRGtnRzVQWmRQX095XzlOd3JBOXprNFVST1d0OFNxSVk4OTIwT2xSa2FLWE45MlNIN2drdmFMTkEwUlZ1T1lKS3dUVmZRbFBPVlpUTHZTV2RweVFxYTRLaWpv?oc=5"" target=""_blank"">Bengaluru Weather Forecast For March 19: Know Temperatures, Humidity, AQI And More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Heatwave,en
"Karnataka Weather: Heatwave In North Interior, Rain Likely In Chamarajanagar, Mandya, Kodagu, Hassan | Forecast - Jagran English",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNYVl4RDJIVEF0X29NNnlXeGlaRnY3VHduMWloRHlMakNHZlF5QUVnUEotRW9ackI2dF91OGVocWhDbzFZVlNiakR2SlR3Ylc3a3NSSmJ3c3BTbEtrWnBMQnhvQ0V2ODAtQTF3OUhXMnluOGRTY1E1bjhPMXRXaDRkTG1mNlVyOU1VckpNbFowTGRzMFl3T2c1ZV9YODBTU3FLdWJ6aWIzX002c2V3bkJpZlFBZ2owd08wVTRwOFZUaEItcjJOekNrQ2NqN1ZlSDFUa3IwTE80UTBuazM5dk5r?oc=5,2025-03-18 10:23:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNYVl4RDJIVEF0X29NNnlXeGlaRnY3VHduMWloRHlMakNHZlF5QUVnUEotRW9ackI2dF91OGVocWhDbzFZVlNiakR2SlR3Ylc3a3NSSmJ3c3BTbEtrWnBMQnhvQ0V2ODAtQTF3OUhXMnluOGRTY1E1bjhPMXRXaDRkTG1mNlVyOU1VckpNbFowTGRzMFl3T2c1ZV9YODBTU3FLdWJ6aWIzX002c2V3bkJpZlFBZ2owd08wVTRwOFZUaEItcjJOekNrQ2NqN1ZlSDFUa3IwTE80UTBuazM5dk5r?oc=5"" target=""_blank"">Karnataka Weather: Heatwave In North Interior, Rain Likely In Chamarajanagar, Mandya, Kodagu, Hassan | Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
"Bengaluru Weather Forecast: City To Experience Hot And Humid Day On Tuesday, Says IMD - MSN",https://news.google.com/rss/articles/CBMi4gJBVV95cUxQak5xeXBpd2x4U0daZkwwUkV4TXNWT01oYWZIems2UXRoNWZ0cGd1MzJ2SXpwbmJ2cjZQbmxEbXBFWC1KZWxNbVFhTGR3YzljUkxTMTdaYVkwQlB0VHlfLTNzbnh1QmRMcUc3NFJZcnl3X3BBTlRMS1pLb0xIZFZfYngyOFN3UmQ0cXF0dTlPUEVxNWpQYVdYQzNpWW5fdlVrcGZKWFYyWHk4anBEMWlzYVd6ZmZzX2MxTmZMWEZLZFNUVW1FQ3JxZVE3SWFZUTdNZ0JZa0dvSmFzUVM0dW9WVXEtVTZHcVVCSzE2VVllYWhLMnJWMXJfY29za0laNXBvVkt5dE1uWk1TR2E1OFZRZHBMUm9LTm9fT2FCeXZUSnlVSld0UWpBaXM2SFpJbUFCNlhybHQ2bl9sUFJaeGJYVFVnak9pOXQ3S0dIZGZpal96LUZxVlBpa1FzVTlKRWtqVGc?oc=5,2025-03-18 12:36:26,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4gJBVV95cUxQak5xeXBpd2x4U0daZkwwUkV4TXNWT01oYWZIems2UXRoNWZ0cGd1MzJ2SXpwbmJ2cjZQbmxEbXBFWC1KZWxNbVFhTGR3YzljUkxTMTdaYVkwQlB0VHlfLTNzbnh1QmRMcUc3NFJZcnl3X3BBTlRMS1pLb0xIZFZfYngyOFN3UmQ0cXF0dTlPUEVxNWpQYVdYQzNpWW5fdlVrcGZKWFYyWHk4anBEMWlzYVd6ZmZzX2MxTmZMWEZLZFNUVW1FQ3JxZVE3SWFZUTdNZ0JZa0dvSmFzUVM0dW9WVXEtVTZHcVVCSzE2VVllYWhLMnJWMXJfY29za0laNXBvVkt5dE1uWk1TR2E1OFZRZHBMUm9LTm9fT2FCeXZUSnlVSld0UWpBaXM2SFpJbUFCNlhybHQ2bl9sUFJaeGJYVFVnak9pOXQ3S0dIZGZpal96LUZxVlBpa1FzVTlKRWtqVGc?oc=5"" target=""_blank"">Bengaluru Weather Forecast: City To Experience Hot And Humid Day On Tuesday, Says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Udupi DDMA issues heat safety guidelines for workers - News Karnataka,https://news.google.com/rss/articles/CBMipwFBVV95cUxQSHd3bk5kVFk5S1ptbXh3b20xa3h4ckpnWkhGWDBIb1FJZmxKc3pLeTRteDlZWXA3MGhTekUtTmdvSHlfVWFjQXI4VWxLSzZIdWgyaXFacS1MSFNhRXQzU25pZTZ3REd1MWttSFhMUjA2ZDJiMTRrc0JnR2Mta09reGprSVlsY2xkRXg0ZUdDUHM5VF83dzdkaG1mSGY2VU5pVHJFTVNkTQ?oc=5,2025-03-18 14:38:10,News Karnataka,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxQSHd3bk5kVFk5S1ptbXh3b20xa3h4ckpnWkhGWDBIb1FJZmxKc3pLeTRteDlZWXA3MGhTekUtTmdvSHlfVWFjQXI4VWxLSzZIdWgyaXFacS1MSFNhRXQzU25pZTZ3REd1MWttSFhMUjA2ZDJiMTRrc0JnR2Mta09reGprSVlsY2xkRXg0ZUdDUHM5VF83dzdkaG1mSGY2VU5pVHJFTVNkTQ?oc=5"" target=""_blank"">Udupi DDMA issues heat safety guidelines for workers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Karnataka</font>",Heatwave,en
The Heat is On: IMD Extends Yellow Alert For Goa Till March 7 - MSN,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPVC05SHBYZnBzOUZ2X05XaVVDMEtRS2tVZEN5NUFoTVFQQV9GaVNpelFISGRlNGNsdU5ack5kTWQtWUVqTW9iRnRlYnFTc1hGMTJzeTd4VEdoUFFySEtoWngwbTZOUGtUM1JObG4zQW9LWlMzQjM0cFd1YTBaWkRtbUx5NEVXRzJRMWQ1cml3RFdTQkxoWEdKbEpvYnFuYUp1cU5xTThpeTF0Zjk5eEFhM0VBbDltYjdY?oc=5,2025-03-18 17:27:37,MSN,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPVC05SHBYZnBzOUZ2X05XaVVDMEtRS2tVZEN5NUFoTVFQQV9GaVNpelFISGRlNGNsdU5ack5kTWQtWUVqTW9iRnRlYnFTc1hGMTJzeTd4VEdoUFFySEtoWngwbTZOUGtUM1JObG4zQW9LWlMzQjM0cFd1YTBaWkRtbUx5NEVXRzJRMWQ1cml3RFdTQkxoWEdKbEpvYnFuYUp1cU5xTThpeTF0Zjk5eEFhM0VBbDltYjdY?oc=5"" target=""_blank"">The Heat is On: IMD Extends Yellow Alert For Goa Till March 7</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Bengal Weather: Rain, dip in temperatures expected in parts of state until March 19 amid heatwave alerts - MSN",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPUld6cms4ODNRRFc0LXJxNEo2TlZGQTRqX1lIRl95MDRMVkhiZTBWUXFfSllGQWF0WURMWmcyOGRXZG9hSWV0TWRXNTFyTGRNbmJtbEs5MGlFZmR1VVd4NlFyVkFKMk5UcVRTYWVnTU0xemNLME1ZOWpZZzB1dWFkdUVuUmVNWDN3MG5wemQ1NG5qQjllVnFJaEdxSUxQNmZOdnMzYlFvaUo5QmFsUDE3ckNaWmxTX0VxMnRvYTI1bG54WmRWMndPUlNrdGloRVRQbHJLemM2NkNYRkVUM01UV0VZZXJ3UQ?oc=5,2025-03-18 16:45:00,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPUld6cms4ODNRRFc0LXJxNEo2TlZGQTRqX1lIRl95MDRMVkhiZTBWUXFfSllGQWF0WURMWmcyOGRXZG9hSWV0TWRXNTFyTGRNbmJtbEs5MGlFZmR1VVd4NlFyVkFKMk5UcVRTYWVnTU0xemNLME1ZOWpZZzB1dWFkdUVuUmVNWDN3MG5wemQ1NG5qQjllVnFJaEdxSUxQNmZOdnMzYlFvaUo5QmFsUDE3ckNaWmxTX0VxMnRvYTI1bG54WmRWMndPUlNrdGloRVRQbHJLemM2NkNYRkVUM01UV0VZZXJ3UQ?oc=5"" target=""_blank"">Bengal Weather: Rain, dip in temperatures expected in parts of state until March 19 amid heatwave alerts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
