Title,Link,Date,Source,Summary,Place
Monsoon flooding closes schools and offices in India's southern IT hubs - The Washington Post,https://news.google.com/rss/articles/CBMiywFBVV95cUxQM09NZ2gwcGs5UkVYVnUzR0VodE1xYkZTZkxtUWNSUzlXY0g4aE13NHlhaWV3NVBPZEJ4VzliVU5vZk5mZlZkQ1E1andtelMzZGFBQmFQMWgxUDlOLWF4SVc4NmRJSnlLUHlMNHJnZm5kSk14czZNM1RiY0VBSzVMUnNRM2VFQzc0ZE1ldTBmZDJSYnQ0d0tSYUJiM0sxT2dlb0htaWxlejlmVlg4YVBHWExwZ1JSdm5zUHBYakZIOHYyMDNScHhBV0pqbw?oc=5,2024-10-16 22:27:37,The Washington Post,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQM09NZ2gwcGs5UkVYVnUzR0VodE1xYkZTZkxtUWNSUzlXY0g4aE13NHlhaWV3NVBPZEJ4VzliVU5vZk5mZlZkQ1E1andtelMzZGFBQmFQMWgxUDlOLWF4SVc4NmRJSnlLUHlMNHJnZm5kSk14czZNM1RiY0VBSzVMUnNRM2VFQzc0ZE1ldTBmZDJSYnQ0d0tSYUJiM0sxT2dlb0htaWxlejlmVlg4YVBHWExwZ1JSdm5zUHBYakZIOHYyMDNScHhBV0pqbw?oc=5"" target=""_blank"">Monsoon flooding closes schools and offices in India's southern IT hubs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",
Tamil Nadu Chennai Rains LIVE Updates: Orange alert for very heavy rain issued in THESE Tamil Nadu districts | Today News - Mint,https://news.google.com/rss/articles/CBMihgJBVV95cUxQSWE0REVfZTg0alZDVWhwRnJ1cm1oUHB3RHRzNkpOcW1xTmdXTlhMUUJTRjR4eWpoSjJyRFpuUDVCX09lZEluQVh4ZUszdTNNWF9aMjByQkhVMW96R2lqVV8tV3RpMjMzWlI3QXpKWDE4X2pwc0JmanpBQ1VtM0lVT1NCU2JSMTYyZGFIVHZaTTIzYXBHWUZaS2dxRFB3clZPZ0NEZlBSTWRDSjBBbm4tYjNwODFfbFNqaGxQbklFM2NkbDhkNE5YTHRHRGxqaTd4LU1LMGpHLXVFQno2R0k4VGhTUnlGY0diZEhlbmVLT0Q5WDBRNWhFMndkR2NDMGpHeEpySG9B0gGLAkFVX3lxTE9CaW5sYlpOQ0VPY2VQbGZUYkJNbVBBVGU3WVZUcGpvdm9HQlRvMjZmemd1MnhFS1R3SXlTLXdkMUp5RWd4clBFSzB0d0ZoMWhaZDd2b1JvZXQxZ3A4YUtMMzdPUFRrYmhIODBaVFhCWnZjWTAteDRvNVhkUGd5QUNNSlc5dGRpb05zYmpUT2pxVWRpS1hWZFRMTnQ1Y1U4NVE5S2tXajFldnFCUURrS1ZPYkNHbERBLVRVeHFlSnJMd3ZtRGtDcG8wQVNCc0g0UVd1Nm9BVlBHOS1YS2UwYmNUc1RzLWJUdnpLWVlKVnp2N0lMRUFYQnNrNU9fdmhhVlBnZGRNOU1jSGtWOA?oc=5,2024-10-17 10:10:43,Mint,"<a href=""https://news.google.com/rss/articles/CBMihgJBVV95cUxQSWE0REVfZTg0alZDVWhwRnJ1cm1oUHB3RHRzNkpOcW1xTmdXTlhMUUJTRjR4eWpoSjJyRFpuUDVCX09lZEluQVh4ZUszdTNNWF9aMjByQkhVMW96R2lqVV8tV3RpMjMzWlI3QXpKWDE4X2pwc0JmanpBQ1VtM0lVT1NCU2JSMTYyZGFIVHZaTTIzYXBHWUZaS2dxRFB3clZPZ0NEZlBSTWRDSjBBbm4tYjNwODFfbFNqaGxQbklFM2NkbDhkNE5YTHRHRGxqaTd4LU1LMGpHLXVFQno2R0k4VGhTUnlGY0diZEhlbmVLT0Q5WDBRNWhFMndkR2NDMGpHeEpySG9B0gGLAkFVX3lxTE9CaW5sYlpOQ0VPY2VQbGZUYkJNbVBBVGU3WVZUcGpvdm9HQlRvMjZmemd1MnhFS1R3SXlTLXdkMUp5RWd4clBFSzB0d0ZoMWhaZDd2b1JvZXQxZ3A4YUtMMzdPUFRrYmhIODBaVFhCWnZjWTAteDRvNVhkUGd5QUNNSlc5dGRpb05zYmpUT2pxVWRpS1hWZFRMTnQ1Y1U4NVE5S2tXajFldnFCUURrS1ZPYkNHbERBLVRVeHFlSnJMd3ZtRGtDcG8wQVNCc0g0UVd1Nm9BVlBHOS1YS2UwYmNUc1RzLWJUdnpLWVlKVnp2N0lMRUFYQnNrNU9fdmhhVlBnZGRNOU1jSGtWOA?oc=5"" target=""_blank"">Tamil Nadu Chennai Rains LIVE Updates: Orange alert for very heavy rain issued in THESE Tamil Nadu districts | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
"World in brief: October 16, 2024 - Morning Star Online",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1xM2ZuWllXQVpLRloxaS1OaWliTDFEUzBFNXU2WHNvb3BCbk9IekVBem1oSkVJbWNLTVNsVkVwS3ZUTEtZLU5URXVEZFZLdFh4b0tRLXp3bldURHpq?oc=5,2024-10-16 19:52:08,Morning Star Online,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE1xM2ZuWllXQVpLRloxaS1OaWliTDFEUzBFNXU2WHNvb3BCbk9IekVBem1oSkVJbWNLTVNsVkVwS3ZUTEtZLU5URXVEZFZLdFh4b0tRLXp3bldURHpq?oc=5"" target=""_blank"">World in brief: October 16, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Morning Star Online</font>",
Chennai rain highlights: SW railway cancels express trains - Hindustan Times,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNXzYwS1lpYk9VU2dsWTdEODM0cTNMZlJKOUVDVmpycmZOZ08zOThteWhHZWZVazJfdHdPekZ3U1ZsY3MtTGZ4T0d0R2FpV1FkM1BwazBBNTJwZWJOcExySTE3MzROMXE4SER3RUFQaGc4UEpURUozWnJWU0VsSkNMOWFLUnVnNXNhUlg0NEZfakhlLVNtNHpJcVhpcmlNLTl4aTlHVHVjQkFfQXVRY1ZfZXRycG4xeEE4N19XNjBZUnJEQnR4U1BDZUdEN3hZS05qTS1ISEhXUXJURmVSbnpLNURDa3l5eFhKUnfSAe8BQVVfeXFMTTZYRXVfTXcxWWh5WnNwR2FJSWZjN0lPazdxbV8tY09MZ0NvTHJfVDlubGxvUFAwWVE1clJDVFd3clZ6NF9DTy1NbFIta05IVDFrT19mdFI1TjUydmgxT2cyWUtFV2ZvSTdNU1o3ejdvQmRURGd6Njc2ZnBCWEJVeDV1cnJkU1VSTTRIenhXQnM0em9pMnB0dHZTclVxdk5Mdmw4TDJHV1pLcjMwcHZPTnNfZlFvZ3RjMG9vSlYwZkpjaWxVaXp0NmZFTUJNOHdPOEl4WUV1d1QycTdnMDFCT2tZM1FPZkRBWUNwSDJxOHM?oc=5,2024-10-16 23:45:25,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNXzYwS1lpYk9VU2dsWTdEODM0cTNMZlJKOUVDVmpycmZOZ08zOThteWhHZWZVazJfdHdPekZ3U1ZsY3MtTGZ4T0d0R2FpV1FkM1BwazBBNTJwZWJOcExySTE3MzROMXE4SER3RUFQaGc4UEpURUozWnJWU0VsSkNMOWFLUnVnNXNhUlg0NEZfakhlLVNtNHpJcVhpcmlNLTl4aTlHVHVjQkFfQXVRY1ZfZXRycG4xeEE4N19XNjBZUnJEQnR4U1BDZUdEN3hZS05qTS1ISEhXUXJURmVSbnpLNURDa3l5eFhKUnfSAe8BQVVfeXFMTTZYRXVfTXcxWWh5WnNwR2FJSWZjN0lPazdxbV8tY09MZ0NvTHJfVDlubGxvUFAwWVE1clJDVFd3clZ6NF9DTy1NbFIta05IVDFrT19mdFI1TjUydmgxT2cyWUtFV2ZvSTdNU1o3ejdvQmRURGd6Njc2ZnBCWEJVeDV1cnJkU1VSTTRIenhXQnM0em9pMnB0dHZTclVxdk5Mdmw4TDJHV1pLcjMwcHZPTnNfZlFvZ3RjMG9vSlYwZkpjaWxVaXp0NmZFTUJNOHdPOEl4WUV1d1QycTdnMDFCT2tZM1FPZkRBWUNwSDJxOHM?oc=5"" target=""_blank"">Chennai rain highlights: SW railway cancels express trains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Andhra Pradesh, Tamil Nadu schools closed amid rain - The Indian Express",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPWFdvcnpZeEN1T3VyRXpMQ1N3QXZISERwUzA2eGtsSWc3a0dNczd4SGlWVTFockgySUtBTk9Ha2t1NXo5bDFSZUJPRjhZdjlLNzY2Y2tubVhPNEFFS0ZzWTBWanY0dl9HTE04VFlXRjZYdFRZcHBxbjZFd3l2eURWYTd1d0x0amw1X2JxX2JtWnJDcUp0SmZlTEFYSFNvT3RMUmF6NlVlQ3NpNDRmd0ZDS2VZM25kSUlxUUFvbHdObjNCWUdJaWRON3lCd2QxcWp3SjVBM21WanJQQdIB4AFBVV95cUxPYjVGQ0RUVXZieFZ6cG5BMkdYejhwY19EUHRfek5FMDdKMFB4RnZSLU9SQUgtWlhhRDYzM3dTSTNHakRfb01OOU5QS3ZETHNHOFpuZ2o1V0RUTVNvOVR1cnlLcU5JdjFFYlVLTGhmU2ZNV2xiNzZWU2J2N2c5dnlZczVrSWdiRnRGNDNZTm9Ib2dtUXhRcHJuV0ZXcUV5NzVOdUVoYnFBWjA4Z2hiYkNSTUxhQ3NidkZBNDJNcUxTZS10Um9tcmVSdWt6a2FRYVZLUHc0dUFueHJQX09aWWJibQ?oc=5,2024-10-17 09:18:48,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPWFdvcnpZeEN1T3VyRXpMQ1N3QXZISERwUzA2eGtsSWc3a0dNczd4SGlWVTFockgySUtBTk9Ha2t1NXo5bDFSZUJPRjhZdjlLNzY2Y2tubVhPNEFFS0ZzWTBWanY0dl9HTE04VFlXRjZYdFRZcHBxbjZFd3l2eURWYTd1d0x0amw1X2JxX2JtWnJDcUp0SmZlTEFYSFNvT3RMUmF6NlVlQ3NpNDRmd0ZDS2VZM25kSUlxUUFvbHdObjNCWUdJaWRON3lCd2QxcWp3SjVBM21WanJQQdIB4AFBVV95cUxPYjVGQ0RUVXZieFZ6cG5BMkdYejhwY19EUHRfek5FMDdKMFB4RnZSLU9SQUgtWlhhRDYzM3dTSTNHakRfb01OOU5QS3ZETHNHOFpuZ2o1V0RUTVNvOVR1cnlLcU5JdjFFYlVLTGhmU2ZNV2xiNzZWU2J2N2c5dnlZczVrSWdiRnRGNDNZTm9Ib2dtUXhRcHJuV0ZXcUV5NzVOdUVoYnFBWjA4Z2hiYkNSTUxhQ3NidkZBNDJNcUxTZS10Um9tcmVSdWt6a2FRYVZLUHc0dUFueHJQX09aWWJibQ?oc=5"" target=""_blank"">Andhra Pradesh, Tamil Nadu schools closed amid rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
"Heavy Rains in Bengaluru force cancellation of India-NZ Test Day 1, monsoon deluge swells Chennai dams - CNBCTV18",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPU3NfUDhJS0RvZG5KMlEySUJWRDVTSmhKbEJsdXF3dG9CSC1ERm1nWDM2Z1R4dVVmXzB0V0NPdmUwZkp4M3h1Mi1WdGg2UjVHcEZnaG9ROWVMbnA1WUtXLXNEMFNtbW1uRVVPcjNRZzlQRFI3WHZBQzk3WjRMYWZJZm9HVHlqdF94b3Q0YnhITDFLMDVuMVJZZFhyZzdWRXBGZkpfa090NFFoUUMtZlRHU1ZEU0YweXJwUWpUcFY0VEZ6MGFTXzdBV3ZhVGRLRWlUUmVlLVFBdS16SkVPV2NRQjhQNWpuRjDSAewBQVVfeXFMTW9CaGdnVkZQaGtNZnRrN2NpRXJleUlJOGtWT1BvRFRqYUw4TEpIVWE4b0U4SHN1Z3F6VVQ0NTR4ckU4OGtXLUlTYUZKMDE0aTNaTlNBczBpVF9TeS1zNTZyd3BGZ0x1UkY1NzVGbXR1S0FFQWxyTHdVWGtSZmZzVjRuNXQ3cU1ZVjFGeWNlZjExS0p3NVVSMjZJeTE0RGppSzU3dkhwX3Q2M2EzOGpFemQtZWVzUElkblF2c3RHVDRfUGF5WlNJR3hFcUNvQzNNYVdYTUl6aVhzc3hCSWtoOFZMSVF5amxYNExUUUQ?oc=5,2024-10-16 20:19:26,CNBCTV18,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPU3NfUDhJS0RvZG5KMlEySUJWRDVTSmhKbEJsdXF3dG9CSC1ERm1nWDM2Z1R4dVVmXzB0V0NPdmUwZkp4M3h1Mi1WdGg2UjVHcEZnaG9ROWVMbnA1WUtXLXNEMFNtbW1uRVVPcjNRZzlQRFI3WHZBQzk3WjRMYWZJZm9HVHlqdF94b3Q0YnhITDFLMDVuMVJZZFhyZzdWRXBGZkpfa090NFFoUUMtZlRHU1ZEU0YweXJwUWpUcFY0VEZ6MGFTXzdBV3ZhVGRLRWlUUmVlLVFBdS16SkVPV2NRQjhQNWpuRjDSAewBQVVfeXFMTW9CaGdnVkZQaGtNZnRrN2NpRXJleUlJOGtWT1BvRFRqYUw4TEpIVWE4b0U4SHN1Z3F6VVQ0NTR4ckU4OGtXLUlTYUZKMDE0aTNaTlNBczBpVF9TeS1zNTZyd3BGZ0x1UkY1NzVGbXR1S0FFQWxyTHdVWGtSZmZzVjRuNXQ3cU1ZVjFGeWNlZjExS0p3NVVSMjZJeTE0RGppSzU3dkhwX3Q2M2EzOGpFemQtZWVzUElkblF2c3RHVDRfUGF5WlNJR3hFcUNvQzNNYVdYTUl6aVhzc3hCSWtoOFZMSVF5amxYNExUUUQ?oc=5"" target=""_blank"">Heavy Rains in Bengaluru force cancellation of India-NZ Test Day 1, monsoon deluge swells Chennai dams</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBCTV18</font>",
"School holiday in Tamil Nadu, Karnataka tomorrow amid heavy rainfall? Check latest update - The Economic Times",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOM19CU0pzMTRnY2NFZUUzWGtxM1NhSWRrTlJ4VGVzbFQzUGZiR3lhX1ltYzZFeXQzamgwcjJIWUs5bHc3VGJGVXRkRURzUHBEQUxFandOUzQ0czNfdlN4ZVIyanM0RWVfS0oyajhUalB6aWl1Q2k1bUJZb2lwYkM5YUt3RXI1RDlSdFpRRVJLNmxnZGlKRjlsQlVwSHlmRnZXREV6LWZsdmhiMGdrTE1iVzRYNmtRYS12NmlyZU5GbXFNV3ZIZm5QMEc4Q21lbGxjMTBUVlVlUVNFY0kzLUp4VTZ6TlRKMlHSAewBQVVfeXFMTy1rRVF5cU9CRTAtYVVWT29uZE1kbzVyMG1VWmtPSTBYYzdZaEl6dnlmOUdvSkpIc1piUXBQdkZBeEdZZHg3RVVlRlE3TDZnNkNKQnFscGhiV0U2b2hWX1UzX0lNUGVoTHRrU0U3WUZWXzQxY1JPck1lN1l4TVJzZHdEWU5xZk5qMmV3bzZTelJkeThTNVVVOEZlem9LMmNTMExGNHRUU0x3Vk1lOGVYaldaSnFSOXBONXpUUE5SU3NORnNZT3hna0tjQkxOZXhySm9oYnN4eUlEMGI2QlhYcWlGU1d6MzNNRDFVTjI?oc=5,2024-10-16 20:54:18,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOM19CU0pzMTRnY2NFZUUzWGtxM1NhSWRrTlJ4VGVzbFQzUGZiR3lhX1ltYzZFeXQzamgwcjJIWUs5bHc3VGJGVXRkRURzUHBEQUxFandOUzQ0czNfdlN4ZVIyanM0RWVfS0oyajhUalB6aWl1Q2k1bUJZb2lwYkM5YUt3RXI1RDlSdFpRRVJLNmxnZGlKRjlsQlVwSHlmRnZXREV6LWZsdmhiMGdrTE1iVzRYNmtRYS12NmlyZU5GbXFNV3ZIZm5QMEc4Q21lbGxjMTBUVlVlUVNFY0kzLUp4VTZ6TlRKMlHSAewBQVVfeXFMTy1rRVF5cU9CRTAtYVVWT29uZE1kbzVyMG1VWmtPSTBYYzdZaEl6dnlmOUdvSkpIc1piUXBQdkZBeEdZZHg3RVVlRlE3TDZnNkNKQnFscGhiV0U2b2hWX1UzX0lNUGVoTHRrU0U3WUZWXzQxY1JPck1lN1l4TVJzZHdEWU5xZk5qMmV3bzZTelJkeThTNVVVOEZlem9LMmNTMExGNHRUU0x3Vk1lOGVYaldaSnFSOXBONXpUUE5SU3NORnNZT3hna0tjQkxOZXhySm9oYnN4eUlEMGI2QlhYcWlGU1d6MzNNRDFVTjI?oc=5"" target=""_blank"">School holiday in Tamil Nadu, Karnataka tomorrow amid heavy rainfall? Check latest update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
South India Flood Live Updates: IMD issues 'orange alert' in two districts in Kerala - The Times of India,https://news.google.com/rss/articles/CBMiswJBVV95cUxNbVVBeHhISEZJQldwMjE5V2k4ZjhlMXhWTUduSk45UmthbXlxa2htdGFubkNWTExRTWFzTkwydUxIeHFwT0E3MUtKYXVTbVdqd3MtMEJNdnRNelkzQnZKb0JrRm9EQzJPbEgzX09kTU1zNXQ2Y3RiNHgxWXA5TDN3dE1xWks0YXQtUWNRV3Y4S3BlUml5MXNSZG5aeC1xSHZxeWlpblVaRks5QmdiUFVzU3VEcEZEN0wyQnR1ZGMxaVhsajA3TEc5UnczQlFyRWxYZXJoazU4V1U5cG9wdlJiR0QyZmZjX2JNTFVnMk5ITU10Y25IaUhaR1pUbk85QWVvV245VnNOTEU2Nkk3a1RmRV9OTXdUQS1pTkItcjVXZmZHVC15bUVaRXN2b3B3anQyNjVR0gG4AkFVX3lxTE5SSTJWNnd5TFBRSUdJQ1Z1N0d0dTBpOGdsdk5yNmVDSm5lMUJnTGtQNnhndzgtc3hvNC1QdVUwdlFudVQwMW1JQV9sRXVBRTBRNkZBSUVFNGRJdnNWazlCRlhQeC1DQ1o3LTlCOHlKaml0OWkwZGpPRFpHOTFIdDdtRlRyZ2FMdHllYjUxRVJuY20tMUZZNjRfWDE2S2xYaEoyWnNSbUtlLTFIbzNqNDZMNE9SSklEVGRoejFGZlN0WEZZRWYyQmdJTkxaNHB1aGxycEF1QlBWWjNHMlYyODFVdlkwbFZ5RjhZd2lmdWNYTF9fM3VGdy03T0p3YV9tSDlxaWo3NXpOeWhBbU9PYjlDbDU0bkM2QjlsbEwyOVFwSzRkaGduRlVXU1dTZ3UxNWNHVzU2amFqZw?oc=5,2024-10-16 22:43:22,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswJBVV95cUxNbVVBeHhISEZJQldwMjE5V2k4ZjhlMXhWTUduSk45UmthbXlxa2htdGFubkNWTExRTWFzTkwydUxIeHFwT0E3MUtKYXVTbVdqd3MtMEJNdnRNelkzQnZKb0JrRm9EQzJPbEgzX09kTU1zNXQ2Y3RiNHgxWXA5TDN3dE1xWks0YXQtUWNRV3Y4S3BlUml5MXNSZG5aeC1xSHZxeWlpblVaRks5QmdiUFVzU3VEcEZEN0wyQnR1ZGMxaVhsajA3TEc5UnczQlFyRWxYZXJoazU4V1U5cG9wdlJiR0QyZmZjX2JNTFVnMk5ITU10Y25IaUhaR1pUbk85QWVvV245VnNOTEU2Nkk3a1RmRV9OTXdUQS1pTkItcjVXZmZHVC15bUVaRXN2b3B3anQyNjVR0gG4AkFVX3lxTE5SSTJWNnd5TFBRSUdJQ1Z1N0d0dTBpOGdsdk5yNmVDSm5lMUJnTGtQNnhndzgtc3hvNC1QdVUwdlFudVQwMW1JQV9sRXVBRTBRNkZBSUVFNGRJdnNWazlCRlhQeC1DQ1o3LTlCOHlKaml0OWkwZGpPRFpHOTFIdDdtRlRyZ2FMdHllYjUxRVJuY20tMUZZNjRfWDE2S2xYaEoyWnNSbUtlLTFIbzNqNDZMNE9SSklEVGRoejFGZlN0WEZZRWYyQmdJTkxaNHB1aGxycEF1QlBWWjNHMlYyODFVdlkwbFZ5RjhZd2lmdWNYTF9fM3VGdy03T0p3YV9tSDlxaWo3NXpOeWhBbU9PYjlDbDU0bkM2QjlsbEwyOVFwSzRkaGduRlVXU1dTZ3UxNWNHVzU2amFqZw?oc=5"" target=""_blank"">South India Flood Live Updates: IMD issues 'orange alert' in two districts in Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Monsoon woes in Andhra, Karnataka, Tamil Nadu as rains throw life off balance - South First",https://news.google.com/rss/articles/CBMikwFBVV95cUxPTXkxZEJESDhmVmJZV0xYZnVHbzY1aTY5R25GaTdRTDFpWl9EVk5WdDZ2NGE0TFdkRFQ1R2hyS1ZPSWtqVkhFMmhHYmZnMElzNnlZTktzNXg0RnQzOFJTS2p2Mk14NWNXX1lMZnk0c2tPeUlPRWljak5qdDJoWUZoQnJXMk13Y0VFR1lvWGsyQnZac2M?oc=5,2024-10-16 21:13:10,South First,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPTXkxZEJESDhmVmJZV0xYZnVHbzY1aTY5R25GaTdRTDFpWl9EVk5WdDZ2NGE0TFdkRFQ1R2hyS1ZPSWtqVkhFMmhHYmZnMElzNnlZTktzNXg0RnQzOFJTS2p2Mk14NWNXX1lMZnk0c2tPeUlPRWljak5qdDJoWUZoQnJXMk13Y0VFR1lvWGsyQnZac2M?oc=5"" target=""_blank"">Monsoon woes in Andhra, Karnataka, Tamil Nadu as rains throw life off balance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South First</font>",
'Northeast Monsoon is very rigorous over Tamil Nadu': IMD warns of heavy to extremely heavy rainfall in next 24 hrs - Business Today,https://news.google.com/rss/articles/CBMikgJBVV95cUxNUHQ0R1BRTndRTGcyLUYxS1V5cjIwc29zQWFUXzNBMHdHWC16aUU5OFZxWDdVd081Z1lOX2ZuQTJURUFNbUpSbjBhcVZfclNBZTVRVkpENHJlWDBySzVVMEtjS0hkSU5FSUpWemdPQjlydUdUdlVaN2dkR0F5ak5iRm9DS1JPTE1hVmo4VVZkOXRDRlk5YWpLZVJnWEJweE9USTRyWFFlTWFQajlQQzkyaDdfSkxleWU2UmoxdzhLRFhMdDJTZUdZaUYzVkFsd0hudWpNbUlfRDBFWkhZR255bDhBSVdOQ3VCZWcxeXhkaGlOcEZEMHRGYmtHR3Y3elM5U3k5MWkxZ1AydkZjNnRVbXB3?oc=5,2024-10-16 17:41:29,Business Today,"<a href=""https://news.google.com/rss/articles/CBMikgJBVV95cUxNUHQ0R1BRTndRTGcyLUYxS1V5cjIwc29zQWFUXzNBMHdHWC16aUU5OFZxWDdVd081Z1lOX2ZuQTJURUFNbUpSbjBhcVZfclNBZTVRVkpENHJlWDBySzVVMEtjS0hkSU5FSUpWemdPQjlydUdUdlVaN2dkR0F5ak5iRm9DS1JPTE1hVmo4VVZkOXRDRlk5YWpLZVJnWEJweE9USTRyWFFlTWFQajlQQzkyaDdfSkxleWU2UmoxdzhLRFhMdDJTZUdZaUYzVkFsd0hudWpNbUlfRDBFWkhZR255bDhBSVdOQ3VCZWcxeXhkaGlOcEZEMHRGYmtHR3Y3elM5U3k5MWkxZ1AydkZjNnRVbXB3?oc=5"" target=""_blank"">'Northeast Monsoon is very rigorous over Tamil Nadu': IMD warns of heavy to extremely heavy rainfall in next 24 hrs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",
