Title,Link,Date,Source,Summary,Term,LanguageQueried
"കാലവർഷത്തെ കാത്തിരുന്ന് കേരളം; രാജസ്ഥാനിൽ കൊടുംചൂട്, ഡൽഹിയിൽ കൊടുങ്കാറ്റ് - Manorama Online",https://news.google.com/rss/articles/CBMinAFBVV95cUxQbm9tbkJWSU1oZmY1bUpEcTBaVEZJSGxta1hQQnZEQWdOYWs1VVNiNkh3NWwwM2ctalRoV3R1eXlyVnJUR3oyT1BvcU5XM09yYjNJUTJRb3lfRFZjQU8ycDZRRG51TDlyNEZsbXhTRXRpYmZQQ2pra1draHA1c2dBUmxQdWNBMll3OWliZGlVQm1ZRm8yUm9sVzlNbU0?oc=5,2025-05-23 09:53:35,Manorama Online,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQbm9tbkJWSU1oZmY1bUpEcTBaVEZJSGxta1hQQnZEQWdOYWs1VVNiNkh3NWwwM2ctalRoV3R1eXlyVnJUR3oyT1BvcU5XM09yYjNJUTJRb3lfRFZjQU8ycDZRRG51TDlyNEZsbXhTRXRpYmZQQ2pra1draHA1c2dBUmxQdWNBMll3OWliZGlVQm1ZRm8yUm9sVzlNbU0?oc=5"" target=""_blank"">കാലവർഷത്തെ കാത്തിരുന്ന് കേരളം; രാജസ്ഥാനിൽ കൊടുംചൂട്, ഡൽഹിയിൽ കൊടുങ്കാറ്റ്</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Manorama Online</font>",Disaster,ml
"Cyclone Shakhti incoming? IMD warns of intensifying storm over Arabian Sea; Mumbai under orange, Konkan on - The Economic Times",https://news.google.com/rss/articles/CBMikgJBVV95cUxOMnpsUmc3M3VnUWJWd0cyQmpkZjRTdlFiU1ZFV094OHlxd2pxZXdrbFBhTDZEeW04M0NxeWJ3RGpBM2xjWUdZMGRJbFE4R25CVnNOaEN6SGE3SXZ4Ym5Cc09Wcl9PeFB3UTdoZ0dXM0I0REpSZUQ5aDhWSjRjM2wzN0ZNUm5Pc2RBV1NqV2lBZWV2TUtDSkU3Q2tkOExCQWVDeUxCcDBvSjd5M0c0aTBITm1yOFZielg3b2JwUnFheDZrNDVOQUlucldFeFZWLTVzT2YxZF9WeUxXTFRmOHF4SHh1WUJYTkJfakFxblo0UVpDNnNSOU5PY3dNdjNLMUg3M0t4Y1Npd1E4ZlluR0xHUnl30gGXAkFVX3lxTE5EY3JiNFVrY3lMbmlPZ2NIX2l2aDVTa2M0MFNoLXI2bjBueERFOXY1TkZSdkU0al9zWk9qYjQwVmtSMDhOalgwM2QwUWp1SS1YYVN1VkY2UUJvMzJfRmo0RFVYSnhCVHRLdkZVWkRRNkV6V0UzY0ZZRkFpYTdXRkdUUGp6cWh5Vnl2aEtZa2pPRUN2MWM5d0NtanVVVUNReXN4UzR4ZXludUFDRXMtclh6LVc3bmh2MmVFeVpldFI5YTI5NHo1LXdSUTctMHNqNmRDa3FKdHJ5OElET0V0WEZRZkdxWDNPMmpWR2JLLUMxek9OWXBvVlpiZWVUTmc3QTl3UGxIc3IzNkl3YUpKaFNSWk9jcFVTOA?oc=5,2025-05-23 07:28:52,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMikgJBVV95cUxOMnpsUmc3M3VnUWJWd0cyQmpkZjRTdlFiU1ZFV094OHlxd2pxZXdrbFBhTDZEeW04M0NxeWJ3RGpBM2xjWUdZMGRJbFE4R25CVnNOaEN6SGE3SXZ4Ym5Cc09Wcl9PeFB3UTdoZ0dXM0I0REpSZUQ5aDhWSjRjM2wzN0ZNUm5Pc2RBV1NqV2lBZWV2TUtDSkU3Q2tkOExCQWVDeUxCcDBvSjd5M0c0aTBITm1yOFZielg3b2JwUnFheDZrNDVOQUlucldFeFZWLTVzT2YxZF9WeUxXTFRmOHF4SHh1WUJYTkJfakFxblo0UVpDNnNSOU5PY3dNdjNLMUg3M0t4Y1Npd1E4ZlluR0xHUnl30gGXAkFVX3lxTE5EY3JiNFVrY3lMbmlPZ2NIX2l2aDVTa2M0MFNoLXI2bjBueERFOXY1TkZSdkU0al9zWk9qYjQwVmtSMDhOalgwM2QwUWp1SS1YYVN1VkY2UUJvMzJfRmo0RFVYSnhCVHRLdkZVWkRRNkV6V0UzY0ZZRkFpYTdXRkdUUGp6cWh5Vnl2aEtZa2pPRUN2MWM5d0NtanVVVUNReXN4UzR4ZXludUFDRXMtclh6LVc3bmh2MmVFeVpldFI5YTI5NHo1LXdSUTctMHNqNmRDa3FKdHJ5OElET0V0WEZRZkdxWDNPMmpWR2JLLUMxek9OWXBvVlpiZWVUTmc3QTl3UGxIc3IzNkl3YUpKaFNSWk9jcFVTOA?oc=5"" target=""_blank"">Cyclone Shakhti incoming? IMD warns of intensifying storm over Arabian Sea; Mumbai under orange, Konkan on</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
"India weather: Heavy rains forecast for Mumbai, South and North-East India brace for showers - The Indian Express",https://news.google.com/rss/articles/CBMisAFBVV95cUxNZmE0MTVwb0ZuQkRkc2JVTTFWdWhBWFBGc2d2TGRTcHBwSUpmaGZXaFFubzRaN3FXMzBCWDhSNnY2ZkxiNWZnZGRQX0daWWw5bW9sYmJjMWliVXJkcGpGVERHM2FZSXNqenZQQ2ZBZHVjUURGTEd3R0l0NDZEU3ZPcV84Yy1OS2l3NnNncHhhaFdpRDd1ZnNyRm5UcjBRQmtZeFNCcmlyS0NFV1JHSUI2StIBtwFBVV95cUxNTF9XVnlZRXMzNElhbHBUbkU1U2F5aVhuLW40QjRYMmJzNlRHbGNWVk9QVEp5X29GTlhDT015X0JZYlpwSklBbDdOQ3U0WUdtUWZ1cENpRFdxMTh1YTRFai1lRG11bEU5anMtZWRaR1FLUUtMb0RzWEJWY0tWUnZ5U1o3aFZkQjJGMHFfZ0xaYm1rZDFzTWhYT0VpV3dRN2ZSZmM1SzFCOXVsODQ5bjhxcy1XcGVlbFU?oc=5,2025-05-23 08:54:29,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNZmE0MTVwb0ZuQkRkc2JVTTFWdWhBWFBGc2d2TGRTcHBwSUpmaGZXaFFubzRaN3FXMzBCWDhSNnY2ZkxiNWZnZGRQX0daWWw5bW9sYmJjMWliVXJkcGpGVERHM2FZSXNqenZQQ2ZBZHVjUURGTEd3R0l0NDZEU3ZPcV84Yy1OS2l3NnNncHhhaFdpRDd1ZnNyRm5UcjBRQmtZeFNCcmlyS0NFV1JHSUI2StIBtwFBVV95cUxNTF9XVnlZRXMzNElhbHBUbkU1U2F5aVhuLW40QjRYMmJzNlRHbGNWVk9QVEp5X29GTlhDT015X0JZYlpwSklBbDdOQ3U0WUdtUWZ1cENpRFdxMTh1YTRFai1lRG11bEU5anMtZWRaR1FLUUtMb0RzWEJWY0tWUnZ5U1o3aFZkQjJGMHFfZ0xaYm1rZDFzTWhYT0VpV3dRN2ZSZmM1SzFCOXVsODQ5bjhxcy1XcGVlbFU?oc=5"" target=""_blank"">India weather: Heavy rains forecast for Mumbai, South and North-East India brace for showers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
Cyclone warning for Mumbai? All you need to know as IMD sounds red alert for several areas - financialexpress.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOTFFFMVRNSXN5MzRPVjJNbXgyMjhmTW9OVEVkY0VDRmlOZjdkdVY3NUc1c1ZZWjItR3JSRk5EUmQ5M1pLTldqb0wtekxfeFNjSjk5ZWtQeU9rcURUZ1RJWHRRZllYX1BSaXFiZU9PRGszazRGNkIyeUVfelNVakt0b1M1RnlsM2x5LUZvdWhBcXJMdC12V3F5d3VlR0JXNFYtZnB2N2xueVQzX3YtOUFmdTE3aHh1NTFfM3BVTFBveEJzYWlPZDlsNDJ6LURUS2xWSnZac1M0Q1hodw?oc=5,2025-05-23 05:28:53,financialexpress.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOTFFFMVRNSXN5MzRPVjJNbXgyMjhmTW9OVEVkY0VDRmlOZjdkdVY3NUc1c1ZZWjItR3JSRk5EUmQ5M1pLTldqb0wtekxfeFNjSjk5ZWtQeU9rcURUZ1RJWHRRZllYX1BSaXFiZU9PRGszazRGNkIyeUVfelNVakt0b1M1RnlsM2x5LUZvdWhBcXJMdC12V3F5d3VlR0JXNFYtZnB2N2xueVQzX3YtOUFmdTE3aHh1NTFfM3BVTFBveEJzYWlPZDlsNDJ6LURUS2xWSnZac1M0Q1hodw?oc=5"" target=""_blank"">Cyclone warning for Mumbai? All you need to know as IMD sounds red alert for several areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>",Disaster,en
"Weather Update: Monsoon Nears Kerala; Heavy Rain in Maharashtra, Karnataka, Delhi Showers, Heatwave in Rajasthan - Krishi Jagran",https://news.google.com/rss/articles/CBMi6wFBVV95cUxOOGtXQ196YVJ5dkFvTXhETzBBWjBua05uVE5FX1JXeFZzTEpONEl5Q1V5Y1VTR0hCekVYRzFUbklIOGVhZ0dScE9hakRSLXg5dWE1am01OVpiMmhVVy1pSHFZVlB5TXNNbGdaakEyZFJjX3ItaTBTblNHQS1XRWFlQXJmT0ExWkptNk9kVHBQYzREUTZLR2ZfdEJBVmlhVVQxR2pWbjNyZmg3bVg5S2Y1VExLckZEaENyNVItUmJma2I3Y3Y0dkctZTVXRjk3ZGt4dF9TRTlJbHV0bnhsOWJIWnlrRF9MWnc0Z2tN?oc=5,2025-05-23 07:38:39,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOOGtXQ196YVJ5dkFvTXhETzBBWjBua05uVE5FX1JXeFZzTEpONEl5Q1V5Y1VTR0hCekVYRzFUbklIOGVhZ0dScE9hakRSLXg5dWE1am01OVpiMmhVVy1pSHFZVlB5TXNNbGdaakEyZFJjX3ItaTBTblNHQS1XRWFlQXJmT0ExWkptNk9kVHBQYzREUTZLR2ZfdEJBVmlhVVQxR2pWbjNyZmg3bVg5S2Y1VExLckZEaENyNVItUmJma2I3Y3Y0dkctZTVXRjk3ZGt4dF9TRTlJbHV0bnhsOWJIWnlrRF9MWnc0Z2tN?oc=5"" target=""_blank"">Weather Update: Monsoon Nears Kerala; Heavy Rain in Maharashtra, Karnataka, Delhi Showers, Heatwave in Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Disaster,en
Highway collapse triggers political storm in Kerala - Siasat.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxON09vTVM1V1BVUE90TGRJdVlFc2Q3WlZreE5UbnB3eS1Yd2NTWllTbGRvNWNCTkJuUWVfSVNtWnF0Q1dibVpCVXFDVlJzcjI4dzNnNm03ZF9TUjNUQlJmTFRuYlhDcnlfazVid1IyREthWFFzNm51ZENuVXo0RjBaRzhIbERjd2k0MHBkQXBqbULSAZABQVVfeXFMTjdPb01TNVdQVVBPdExkSXVZRXNkN1pWa3hOVG5wd3ktWHdjU1pZU2xkbzVjQk5CblFlX0lTbVpxdENXYm1aQlVxQ1ZSc3IyOHczZzZtN2RfU1IzVEJSZkxUbmJYQ3J5X2s1YndSMkRLYVhRczZudWRDblV6NEYwWkc4SGxEY3dpNDBwZEFwam1C?oc=5,2025-05-22 21:14:00,Siasat.com,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxON09vTVM1V1BVUE90TGRJdVlFc2Q3WlZreE5UbnB3eS1Yd2NTWllTbGRvNWNCTkJuUWVfSVNtWnF0Q1dibVpCVXFDVlJzcjI4dzNnNm03ZF9TUjNUQlJmTFRuYlhDcnlfazVid1IyREthWFFzNm51ZENuVXo0RjBaRzhIbERjd2k0MHBkQXBqbULSAZABQVVfeXFMTjdPb01TNVdQVVBPdExkSXVZRXNkN1pWa3hOVG5wd3ktWHdjU1pZU2xkbzVjQk5CblFlX0lTbVpxdENXYm1aQlVxQ1ZSc3IyOHczZzZtN2RfU1IzVEJSZkxUbmJYQ3J5X2s1YndSMkRLYVhRczZudWRDblV6NEYwWkc4SGxEY3dpNDBwZEFwam1C?oc=5"" target=""_blank"">Highway collapse triggers political storm in Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Siasat.com</font>",Disaster,en
"Delhi may see light rain, thunder till May 25; monsoon onset over Kerala, Karnataka, Tamil Nadu in 2-3 days: IMD - Business Today",https://news.google.com/rss/articles/CBMi-gFBVV95cUxOWnRYWFk2dU9FcDhUbF9iQjBncGJyU2lJeDNCcm1taDl5czdoMEc2cVdPNkJKU1JPZ0x6ZTRmNHdpVFl2SzM1N1pMMGo3MlZvdUxYUm9vU01CbzBJRC1mSHBONVJraHZvSm9zSUVFNnNOTGRvWnByeld3dUNYZklWR0xrdHhpSXBnOU5OWEdtMHlGNjZwTWlfNHVXMVRFdGtyU2diSEp2TzVTd2ZXSnZtYU5UOGhYT0w5aG43dEFtcGxyZUFPajRkNmJUUmI5VDFUdEZWaHNGUFBSZWlEWjRXcmhnaUlkQUl3WDJSU1BXSnNUOWlBTnREZVR30gH_AUFVX3lxTE5QSVdfd1BoQlVvNHVaSGtiVUNGdDN6RUlpNnJLMXZScEhPWGR3SHBVSnkyWW5UVEp2X3JWV3VPSDRvRjJwRmNfLUZrWlZpTkMxdlNPZG8yU2hFd2t2eXo0ck41dlRKRUlJNHNkR0dIUHg1MENyU2RnSUJWWkZkdUV3aURjMXY1cnBwZUxfVk9FNFdyVHJ1UlY4UDFWeW8tTnNENFlNYU1JQVhHdjlkZ3JaYWtyR1pUMzNHOVNRMHFtczJKS1hhMF9YLTlPVjJZMUI4cVM5VlhlVU1UckFDVDBoSFBaWTBKdUlyR0RSZEI1c1hZTUlwY3RMU2x1aUR6MA?oc=5,2025-05-22 16:35:34,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxOWnRYWFk2dU9FcDhUbF9iQjBncGJyU2lJeDNCcm1taDl5czdoMEc2cVdPNkJKU1JPZ0x6ZTRmNHdpVFl2SzM1N1pMMGo3MlZvdUxYUm9vU01CbzBJRC1mSHBONVJraHZvSm9zSUVFNnNOTGRvWnByeld3dUNYZklWR0xrdHhpSXBnOU5OWEdtMHlGNjZwTWlfNHVXMVRFdGtyU2diSEp2TzVTd2ZXSnZtYU5UOGhYT0w5aG43dEFtcGxyZUFPajRkNmJUUmI5VDFUdEZWaHNGUFBSZWlEWjRXcmhnaUlkQUl3WDJSU1BXSnNUOWlBTnREZVR30gH_AUFVX3lxTE5QSVdfd1BoQlVvNHVaSGtiVUNGdDN6RUlpNnJLMXZScEhPWGR3SHBVSnkyWW5UVEp2X3JWV3VPSDRvRjJwRmNfLUZrWlZpTkMxdlNPZG8yU2hFd2t2eXo0ck41dlRKRUlJNHNkR0dIUHg1MENyU2RnSUJWWkZkdUV3aURjMXY1cnBwZUxfVk9FNFdyVHJ1UlY4UDFWeW8tTnNENFlNYU1JQVhHdjlkZ3JaYWtyR1pUMzNHOVNRMHFtczJKS1hhMF9YLTlPVjJZMUI4cVM5VlhlVU1UckFDVDBoSFBaWTBKdUlyR0RSZEI1c1hZTUlwY3RMU2x1aUR6MA?oc=5"" target=""_blank"">Delhi may see light rain, thunder till May 25; monsoon onset over Kerala, Karnataka, Tamil Nadu in 2-3 days: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",Disaster,en
"Cyclone Shakti Forming? IMD Issues Orange Alert for Mumbai, Red Alert for Konkan as Cyclonic Storm Over... - lokmattimes.com",https://news.google.com/rss/articles/CBMigAJBVV95cUxOQjNoSkVaZGZPMHU4bk1lVnVQVDhBZjJYM01nekR0YzNESDJTeGRTOUhNRUF6SHRGSjg5MVdZZExFd25qVzNHWjQtc05KVXp2MWFHSHZQUFlwMFk2WlNSRWs2SXkyN0tKWUxYeFQwSFdRV3lwdFNyazVZMFZFY05ZU2xldVVndl9qcm5OVUMza3JzVXM4a0xpQWRKTjBRLUdRcEtYaW1jMXVFNUFXM3BSTzlYaEpmTTE2TmxwQmpRTjRkQURJblF0cE5kaDdpZDJnTXNCbEZVU1Q3ZktleHJOVXptVEM5RzFfREhFcXV4OGtsTWRtVHJrUFhLMHJBanh00gGGAkFVX3lxTE9OcjRfUFNNYVdfNzA3bnVEb2lodVBVS01PbHE0a0xMdldPdTZkVmgxYnpKLUoyOFZtV1VCWnlvSU1fWWU1cUFGWDlDeUdmLXhCWS1Na195Y0NMVVo2dFlOc19Mc01KaFpwR1hkbnBmRWpNV25mNGpaTGFQSUFhbi1sUDZoMTF0c2swV1NsWVlBNDRlQnRuM2EtS2ZRb0U5UEQ0R2lVX3h6NjNaQ0J0YXgxQXFhWWEybXNnSVNNU3pwTmdSTjhoRFExX09MOXpVNG1UdVdWT01rYzBIS2ZWbTFMeXdBcDVteHE2NXVsSGQ4eWoxSU1vcldWdjQ0aEdoT09KYW9Kemc?oc=5,2025-05-23 10:06:05,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxOQjNoSkVaZGZPMHU4bk1lVnVQVDhBZjJYM01nekR0YzNESDJTeGRTOUhNRUF6SHRGSjg5MVdZZExFd25qVzNHWjQtc05KVXp2MWFHSHZQUFlwMFk2WlNSRWs2SXkyN0tKWUxYeFQwSFdRV3lwdFNyazVZMFZFY05ZU2xldVVndl9qcm5OVUMza3JzVXM4a0xpQWRKTjBRLUdRcEtYaW1jMXVFNUFXM3BSTzlYaEpmTTE2TmxwQmpRTjRkQURJblF0cE5kaDdpZDJnTXNCbEZVU1Q3ZktleHJOVXptVEM5RzFfREhFcXV4OGtsTWRtVHJrUFhLMHJBanh00gGGAkFVX3lxTE9OcjRfUFNNYVdfNzA3bnVEb2lodVBVS01PbHE0a0xMdldPdTZkVmgxYnpKLUoyOFZtV1VCWnlvSU1fWWU1cUFGWDlDeUdmLXhCWS1Na195Y0NMVVo2dFlOc19Mc01KaFpwR1hkbnBmRWpNV25mNGpaTGFQSUFhbi1sUDZoMTF0c2swV1NsWVlBNDRlQnRuM2EtS2ZRb0U5UEQ0R2lVX3h6NjNaQ0J0YXgxQXFhWWEybXNnSVNNU3pwTmdSTjhoRFExX09MOXpVNG1UdVdWT01rYzBIS2ZWbTFMeXdBcDVteHE2NXVsSGQ4eWoxSU1vcldWdjQ0aEdoT09KYW9Kemc?oc=5"" target=""_blank"">Cyclone Shakti Forming? IMD Issues Orange Alert for Mumbai, Red Alert for Konkan as Cyclonic Storm Over...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
"Weather Alert: Heavy Rains Likely In Gujarat, UP, Rajasthan, Himachal; Monsoon To Arrive In Kerala By Next Week - Jagran English",https://news.google.com/rss/articles/CBMiggJBVV95cUxNVWVZdjVTWGhIa0VrZVhRVTBHWXctdHl2dEVTaUxwNHZEeGJ0eGhqQnFxTW5ZVkVzZUxWM2ZYMlVOcFZSNm44LUdENUdjb1ZaYVI2b013TVlOY1N1aEs1RnVYX0ZDMFVrNlpxdHNjMGx2bEhoN3pKQXNValVRb285dm5GWFcxR2Rtc3RUeTlSb1g5M1NnVXRnR1JpNS16bHZKU2Y2emFSNE5jUVAxazhELVRTR1dZUWFOZnhpVDd2amRMNVBKQnFobWVBWTBaVVR3WkdIeXBSeXZ3VFVuZFFVeWtXWnFROUhQd3loUlMtLUJNaE9lWHVUTGNzVHA2cXcyMkE?oc=5,2025-05-22 20:45:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxNVWVZdjVTWGhIa0VrZVhRVTBHWXctdHl2dEVTaUxwNHZEeGJ0eGhqQnFxTW5ZVkVzZUxWM2ZYMlVOcFZSNm44LUdENUdjb1ZaYVI2b013TVlOY1N1aEs1RnVYX0ZDMFVrNlpxdHNjMGx2bEhoN3pKQXNValVRb285dm5GWFcxR2Rtc3RUeTlSb1g5M1NnVXRnR1JpNS16bHZKU2Y2emFSNE5jUVAxazhELVRTR1dZUWFOZnhpVDd2amRMNVBKQnFobWVBWTBaVVR3WkdIeXBSeXZ3VFVuZFFVeWtXWnFROUhQd3loUlMtLUJNaE9lWHVUTGNzVHA2cXcyMkE?oc=5"" target=""_blank"">Weather Alert: Heavy Rains Likely In Gujarat, UP, Rajasthan, Himachal; Monsoon To Arrive In Kerala By Next Week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Disaster,en
"3 People, Including 9-Year-Old, Dead in Delhi After Severe Weather Took National Capital By Storm - Times Now",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRkVnN1lrZEVKN1VtOXNWRFhsbVB3X0FHcXpIcEZWQVBxdG1WdHpIZ0VfMk1YdHVoT05QYXcyUzAwVkdrVy1Ga3RuUkNDWWV1REdSWXRMVk1hbXZtcVpiaWVDdUppMzdjUS1Jd2hjV01wb3d6VS1aVXF2RUEzLWdsbWpSc1lmNnFpb29TTkVSR1A2V21oU2ZWamNGT3hlYzY2X1B1T3Q4dTBxN1dvazBJMjh4QUJJSmJjWW5ZbTZseUZxcEJPZm8wRWJVZzhFN2M5OVHSAdcBQVVfeXFMTnlyS3FPSUwxcTU0SVNScGxMNW9jMjc3SG1Eb1BxTHhZWFkyR01EOUJ4Xzl2T2lydXlMVkVRVXZFOE9vbWpBMmZjVThiVFBMdlo0bV9Mam9HZlZfcEZhVW44ZXVZWVRsV0ZueE1jRGdDSThMWTMyT0pNR3F1dFhudjdsd3Zwck0taTQ1SzJ0WkxBQ1hVZlVHMGxOdlFVYlEwVUM3a0F4eUtqX05pUFpjbTNYTVZvVXYwVVp6MWlyU3RKcUd5Q3lSejNOUVhIV3U0OFVyTTNEc2M?oc=5,2025-05-22 14:10:17,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRkVnN1lrZEVKN1VtOXNWRFhsbVB3X0FHcXpIcEZWQVBxdG1WdHpIZ0VfMk1YdHVoT05QYXcyUzAwVkdrVy1Ga3RuUkNDWWV1REdSWXRMVk1hbXZtcVpiaWVDdUppMzdjUS1Jd2hjV01wb3d6VS1aVXF2RUEzLWdsbWpSc1lmNnFpb29TTkVSR1A2V21oU2ZWamNGT3hlYzY2X1B1T3Q4dTBxN1dvazBJMjh4QUJJSmJjWW5ZbTZseUZxcEJPZm8wRWJVZzhFN2M5OVHSAdcBQVVfeXFMTnlyS3FPSUwxcTU0SVNScGxMNW9jMjc3SG1Eb1BxTHhZWFkyR01EOUJ4Xzl2T2lydXlMVkVRVXZFOE9vbWpBMmZjVThiVFBMdlo0bV9Mam9HZlZfcEZhVW44ZXVZWVRsV0ZueE1jRGdDSThMWTMyT0pNR3F1dFhudjdsd3Zwck0taTQ1SzJ0WkxBQ1hVZlVHMGxOdlFVYlEwVUM3a0F4eUtqX05pUFpjbTNYTVZvVXYwVVp6MWlyU3RKcUd5Q3lSejNOUVhIV3U0OFVyTTNEc2M?oc=5"" target=""_blank"">3 People, Including 9-Year-Old, Dead in Delhi After Severe Weather Took National Capital By Storm</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Disaster,en
