Title,Link,Date,Source,Summary,Term,LanguageQueried
"As high temperatures scorch north, central India, IMD sounds heatwave alerts from April to June - The Indian Express",https://news.google.com/rss/articles/CBMihgFBVV95cUxPVWMzX09GQzExRDJjdkEwaVdNMjRIRHVKTFhKaEt4MnU2bVByZk55NktQMDEyQW5mNmo4ZjRFYnhoNGVCdmwtQVBGY1NCQkh1VWhqRk5fWUJnb2d1dGtDOW9BUV9RT1BtV19xeklza0s2eS1UN3Ayb1JIYnNIcktwS0pJWGNiZ9IBjAFBVV95cUxOTWtCdGh2Z1VoalFVbXBJZnI0d3BpSElhTnhleUs1d09oX0hreFAwblAtakhPSWIxUDhQNDlZem1kcmZlTUVVcE13QTdlSS1PXzQ4d3p1M1lIeWJuLThJdXNsVDYwaHpmY3hqSXR5M1pLWU8zTnk4a3ppNXBUbld3STVGRlRIYU11YVhOag?oc=5,2025-04-07 09:22:09,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxPVWMzX09GQzExRDJjdkEwaVdNMjRIRHVKTFhKaEt4MnU2bVByZk55NktQMDEyQW5mNmo4ZjRFYnhoNGVCdmwtQVBGY1NCQkh1VWhqRk5fWUJnb2d1dGtDOW9BUV9RT1BtV19xeklza0s2eS1UN3Ayb1JIYnNIcktwS0pJWGNiZ9IBjAFBVV95cUxOTWtCdGh2Z1VoalFVbXBJZnI0d3BpSElhTnhleUs1d09oX0hreFAwblAtakhPSWIxUDhQNDlZem1kcmZlTUVVcE13QTdlSS1PXzQ4d3p1M1lIeWJuLThJdXNsVDYwaHpmY3hqSXR5M1pLWU8zTnk4a3ppNXBUbld3STVGRlRIYU11YVhOag?oc=5"" target=""_blank"">As high temperatures scorch north, central India, IMD sounds heatwave alerts from April to June</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Heatwave,en
IMD issues ‘yellow alert’ for Delhi over next 3 days; heatwave stretches across north India | Weather updates - Hindustan Times,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPQ094VTd3U0VBTDZBVG9zeVJvMkM4QjZLdnIycFBGSHNUb2E5SG5aZXJheUFSRWlqSE03YWc2b0RIb1BPNnlIVlFoOWI0VHhaSXRoTWMxZGotaFJ3LW5LVUp6OVg4eG5oM21LeU1QcGpCR1lkMW8yMVVmMGQ0T3RXZE82bU55UUtUOTJKRTE0bjhic19tMV9MRkx0d24ySDUxY1JHZ1ZqVkZDX2lYUUNqSGJyS0tiWXNvSmJmSlh4NkVmVTV1MW9taGxRdjZhYnhvS1N5WElCdV9uZWE5SXVZa29VLUZRZmJzWWRONUI0ZXFoWHNfbWE0Ty1Xaw?oc=5,2025-04-06 15:47:03,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPQ094VTd3U0VBTDZBVG9zeVJvMkM4QjZLdnIycFBGSHNUb2E5SG5aZXJheUFSRWlqSE03YWc2b0RIb1BPNnlIVlFoOWI0VHhaSXRoTWMxZGotaFJ3LW5LVUp6OVg4eG5oM21LeU1QcGpCR1lkMW8yMVVmMGQ0T3RXZE82bU55UUtUOTJKRTE0bjhic19tMV9MRkx0d24ySDUxY1JHZ1ZqVkZDX2lYUUNqSGJyS0tiWXNvSmJmSlh4NkVmVTV1MW9taGxRdjZhYnhvS1N5WElCdV9uZWE5SXVZa29VLUZRZmJzWWRONUI0ZXFoWHNfbWE0Ty1Xaw?oc=5"" target=""_blank"">IMD issues ‘yellow alert’ for Delhi over next 3 days; heatwave stretches across north India | Weather updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"IMD Weather Update: Rising Heat To Grip India, Coastal Areas To Experience Hot And Humid Days - news24online.com",https://news.google.com/rss/articles/CBMiygFBVV95cUxOWlhKYl9XX0lRMUJHc2lnalJreHZZd240d201bFl1U3JETTNCWGV2UzhsZUpUN3UtSnhPWGZ5V3JRdHAtLWVKTnRPUEVxcE12MFBUeHJCQUNXS19uSFc2cnBKYkJ3empQVmpRRGFBZlB6YzNjUWxkVmtoZVh4OHd3NUFVZnVQLVVOMUZMRTk3VnNydFMzdzFwNnQ4THM2MkJ1NlZuZmZmLThKUGtpZVoxVnR5ckNEdXVHV3hXR1hRMFFWS3FrZDZTUTln?oc=5,2025-04-06 21:14:59,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOWlhKYl9XX0lRMUJHc2lnalJreHZZd240d201bFl1U3JETTNCWGV2UzhsZUpUN3UtSnhPWGZ5V3JRdHAtLWVKTnRPUEVxcE12MFBUeHJCQUNXS19uSFc2cnBKYkJ3empQVmpRRGFBZlB6YzNjUWxkVmtoZVh4OHd3NUFVZnVQLVVOMUZMRTk3VnNydFMzdzFwNnQ4THM2MkJ1NlZuZmZmLThKUGtpZVoxVnR5ckNEdXVHV3hXR1hRMFFWS3FrZDZTUTln?oc=5"" target=""_blank"">IMD Weather Update: Rising Heat To Grip India, Coastal Areas To Experience Hot And Humid Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Monsoon Alert: Heavy Rain Expected in Kerala, Mahe, and Other States - Times Bull",https://news.google.com/rss/articles/CBMitAFBVV95cUxNYnVMajRoZFVmVWEyVEJVc1JTQXl5UXY5bFA4aE83aFcwWGp5NU15Z1dZc0l6MzNaT2t0WnJtbjhvanZYc2Y0MTdkN3ItbmhSWHNZRm5ZWkJpekxxaml1aDByblgxU1FFY043bDFtYlJTaFpwYmRZalA1QWxHTTNyQkpkVU1yU2h3S01lblpnUWdnM1dFS25KOVhIVGIyeWo2TmpXS0l4TXJVcmVRRzFaM2plVkk?oc=5,2025-04-07 06:44:08,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNYnVMajRoZFVmVWEyVEJVc1JTQXl5UXY5bFA4aE83aFcwWGp5NU15Z1dZc0l6MzNaT2t0WnJtbjhvanZYc2Y0MTdkN3ItbmhSWHNZRm5ZWkJpekxxaml1aDByblgxU1FFY043bDFtYlJTaFpwYmRZalA1QWxHTTNyQkpkVU1yU2h3S01lblpnUWdnM1dFS25KOVhIVGIyeWo2TmpXS0l4TXJVcmVRRzFaM2plVkk?oc=5"" target=""_blank"">Monsoon Alert: Heavy Rain Expected in Kerala, Mahe, and Other States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
Children learn how to help animals beat the heat in Kasargod workshop - Social News XYZ,https://news.google.com/rss/articles/CBMirAFBVV95cUxPZHY0TmpUWVhkNHlnekJZOTVNbHpyemtpV2xrMkpFdF9EODE0elV5M19OLW92Sm5aSm50a01HeUVqeTZ1SU1qLUNMam5RWGpuaDRLRnlqelNYZzV4UWM0SU1HLVFQN0tCSDQxazUzWWo2UFdUdXVEUF9FVVBZTXpZOWFYTW8zMHNfdFFIenRzcG9iSmFxNEFsZWFIcGNZWmZIVGx5XzRZb1ZVMFRz?oc=5,2025-04-06 17:47:52,Social News XYZ,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPZHY0TmpUWVhkNHlnekJZOTVNbHpyemtpV2xrMkpFdF9EODE0elV5M19OLW92Sm5aSm50a01HeUVqeTZ1SU1qLUNMam5RWGpuaDRLRnlqelNYZzV4UWM0SU1HLVFQN0tCSDQxazUzWWo2UFdUdXVEUF9FVVBZTXpZOWFYTW8zMHNfdFFIenRzcG9iSmFxNEFsZWFIcGNZWmZIVGx5XzRZb1ZVMFRz?oc=5"" target=""_blank"">Children learn how to help animals beat the heat in Kasargod workshop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Social News XYZ</font>",Heatwave,en
"Delhi Weather Alert: Hot And Dry Week Ahead, IMD Predicts Heatwave Conditions - Oneindia",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNaUFHUk1PLVV5QmVhWWZSX2xCbkxqTFIyLXV5dnA0c20tOTBRY3RwbTA0QlBUVEMzbEtXUjlHb29pc0YzY0hFZy1kdEhFVF9CVzdpVHdsTEZmRWZiR01vSWczczBFU1prczRlb2VlejAxS3NtRVVKZmNvZDhvdU5TMlRRVExpTHdOeG9uMWQ5MFpmR3VMMkdFV2pHUW5CNUNxU19MaXF2eGtRSGdrb2t4NF9vTUxEWC1QeE0xdGM5MHo?oc=5,2025-04-06 13:57:18,Oneindia,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNaUFHUk1PLVV5QmVhWWZSX2xCbkxqTFIyLXV5dnA0c20tOTBRY3RwbTA0QlBUVEMzbEtXUjlHb29pc0YzY0hFZy1kdEhFVF9CVzdpVHdsTEZmRWZiR01vSWczczBFU1prczRlb2VlejAxS3NtRVVKZmNvZDhvdU5TMlRRVExpTHdOeG9uMWQ5MFpmR3VMMkdFV2pHUW5CNUNxU19MaXF2eGtRSGdrb2t4NF9vTUxEWC1QeE0xdGM5MHo?oc=5"" target=""_blank"">Delhi Weather Alert: Hot And Dry Week Ahead, IMD Predicts Heatwave Conditions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia</font>",Heatwave,en
"IMD Issues Alerts: Heatwave in Northwest India, Rain Forecast in Southern and Northeastern States - siwansamachar.in",https://news.google.com/rss/articles/CBMivgFBVV95cUxNQVh6ak14S2JYTU1EOXVoSFZGTXZNNnFMYjFNaFdibE80YjQ5NkdaWURSSHBmUXNWZFBvNE95bG95TU1oempXWmNlcTVaanVUM3FhMjhyUFlZUlNTLVlBM1luQ1B4WnFzUU4teVl1eHpUVm9VSXh2SUhod19CNk9IT3FnOVUxeWViOTJ5UFBQcFpzZ2xnM3NiaFpieXFvX1VNblMtbUR0UTV0TGRGaXJENHlfc3NfS0pQLUViY2Z3?oc=5,2025-04-06 17:07:38,siwansamachar.in,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNQVh6ak14S2JYTU1EOXVoSFZGTXZNNnFMYjFNaFdibE80YjQ5NkdaWURSSHBmUXNWZFBvNE95bG95TU1oempXWmNlcTVaanVUM3FhMjhyUFlZUlNTLVlBM1luQ1B4WnFzUU4teVl1eHpUVm9VSXh2SUhod19CNk9IT3FnOVUxeWViOTJ5UFBQcFpzZ2xnM3NiaFpieXFvX1VNblMtbUR0UTV0TGRGaXJENHlfc3NfS0pQLUViY2Z3?oc=5"" target=""_blank"">IMD Issues Alerts: Heatwave in Northwest India, Rain Forecast in Southern and Northeastern States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">siwansamachar.in</font>",Heatwave,en
"IMD Weather Update: Heavy Rain To Lash Tamil Nadu, Kerala On April 7; Thunderstorms Ahead In Jammu-Kashmir - news24online.com",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPMng0eWxTVm13U3RRZnV6dkJIalh5eWtuME1lSXRLZDZRbkliRkc2dlMteTJHVkNlY19OUEs4WThjQ0U0VlFIaFA2d2dpb1ZDSzVxTG0xRHVSQmFnUjZiVmw3ZWpmalR5MVE1VEp2NU9LSDMySUVFYy00NkFuT2xXdXdiUG5md3hsTmRLeTV2TzFVcV83NldUUVlaUUdTUkdEUHVhcG4yZFg5Rmh5Tk51bjkwanBhOWtXX2I1TDZZNngxUEpvUDFpWWllSUl6YXFSTGZfN0s4Q3YyZw?oc=5,2025-04-07 07:16:11,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPMng0eWxTVm13U3RRZnV6dkJIalh5eWtuME1lSXRLZDZRbkliRkc2dlMteTJHVkNlY19OUEs4WThjQ0U0VlFIaFA2d2dpb1ZDSzVxTG0xRHVSQmFnUjZiVmw3ZWpmalR5MVE1VEp2NU9LSDMySUVFYy00NkFuT2xXdXdiUG5md3hsTmRLeTV2TzFVcV83NldUUVlaUUdTUkdEUHVhcG4yZFg5Rmh5Tk51bjkwanBhOWtXX2I1TDZZNngxUEpvUDFpWWllSUl6YXFSTGZfN0s4Q3YyZw?oc=5"" target=""_blank"">IMD Weather Update: Heavy Rain To Lash Tamil Nadu, Kerala On April 7; Thunderstorms Ahead In Jammu-Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Uttar Pradesh braces for above normal temperatures, heatwaves this summer - Business Standard",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPQVNSaUFvV3FEYzZibkplU3JoVDBZMUpGWVBjQWtWbDVjckhHWnBqV1VVeXhkYmVmNEhNNHBKclRXVGQ1eWd5ZUlRZGNLZkloVHhBa25aMk5MYjNoTUdsMVhPMm9ocE0xalFNMWVEYkZ5UEU5VDdxaXNNcktSQXdRcUY3c3cwRzFqZzJzMFF1YkgzR1BNbk11LTRNNXkyWS1FNndXeXRERUlwM0FNeFd0dy14ejR5WElNMHkwZTRiTVpIUjBHejM2Q0ZoQ1dXYnBzNFV30gHYAUFVX3lxTE5Kd1FjZTNueFpqUzhpSnF6QzNSc05DOVJVdGlZSUZnQkJfaWdidTEzVVJDY09fZjU5dmhkenVLWVRQR095alBCenF5bE8tampBZzVGQURUNTFabk5rZWRwY2RQNWo2NXlxMXQ0cjJWaEE0ZDV5XzRaZnltbkNSc2xQdGZLWGlDemltUmRONUVLanM0ejA3NGZRcWVsXzJxSUdjZERTM2ZMYU1UVUc5c2VZbVpvWW5rZVdSWDVOSGhESUpGT0tyTUlKQkc2WV9yUDc4UV9OMnZNbw?oc=5,2025-04-06 11:52:27,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPQVNSaUFvV3FEYzZibkplU3JoVDBZMUpGWVBjQWtWbDVjckhHWnBqV1VVeXhkYmVmNEhNNHBKclRXVGQ1eWd5ZUlRZGNLZkloVHhBa25aMk5MYjNoTUdsMVhPMm9ocE0xalFNMWVEYkZ5UEU5VDdxaXNNcktSQXdRcUY3c3cwRzFqZzJzMFF1YkgzR1BNbk11LTRNNXkyWS1FNndXeXRERUlwM0FNeFd0dy14ejR5WElNMHkwZTRiTVpIUjBHejM2Q0ZoQ1dXYnBzNFV30gHYAUFVX3lxTE5Kd1FjZTNueFpqUzhpSnF6QzNSc05DOVJVdGlZSUZnQkJfaWdidTEzVVJDY09fZjU5dmhkenVLWVRQR095alBCenF5bE8tampBZzVGQURUNTFabk5rZWRwY2RQNWo2NXlxMXQ0cjJWaEE0ZDV5XzRaZnltbkNSc2xQdGZLWGlDemltUmRONUVLanM0ejA3NGZRcWVsXzJxSUdjZERTM2ZMYU1UVUc5c2VZbVpvWW5rZVdSWDVOSGhESUpGT0tyTUlKQkc2WV9yUDc4UV9OMnZNbw?oc=5"" target=""_blank"">Uttar Pradesh braces for above normal temperatures, heatwaves this summer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
"Monsoon Alert: IMD Predicts Heavy Rainfall in Kerala, Mahe, While North India Braces for Intense Heatwave - Udaipur Kiran",https://news.google.com/rss/articles/CBMixgFBVV95cUxQN2x0bk5KdThLMllZVzEzT2ltejBqTGhEblI5cnl2blVFMVRhNUowbDh3RjAwMWZiLU1PazNJd1IxQlBDRVh0d0xKRFFnak15VUpOdFhwbGlmaWdoN0VMQUpQbF9OVjJkMzgzYjhxWlJTYS1hZnptZmRGT0VxTWFRdWVyeWY2TXJIcmc0cHVFUzZ3S3VDWEJuVjlLbkZ0WUZYTk1VSExmdWkxV1JINXo2WVczeWFyMlM0RjktbUEyZXgzeGRjMkE?oc=5,2025-04-07 08:13:57,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQN2x0bk5KdThLMllZVzEzT2ltejBqTGhEblI5cnl2blVFMVRhNUowbDh3RjAwMWZiLU1PazNJd1IxQlBDRVh0d0xKRFFnak15VUpOdFhwbGlmaWdoN0VMQUpQbF9OVjJkMzgzYjhxWlJTYS1hZnptZmRGT0VxTWFRdWVyeWY2TXJIcmc0cHVFUzZ3S3VDWEJuVjlLbkZ0WUZYTk1VSExmdWkxV1JINXo2WVczeWFyMlM0RjktbUEyZXgzeGRjMkE?oc=5"" target=""_blank"">Monsoon Alert: IMD Predicts Heavy Rainfall in Kerala, Mahe, While North India Braces for Intense Heatwave</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
