Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD forecasts heavy rainfall across multiple regions; heatwave likely in UP, Rajasthan - - NEWS ON AIR",https://news.google.com/rss/articles/CBMitAFBVV95cUxPOHdma2ljZ0ZKUUFsSE9tbzN2SGtsR0l3RXI1SzB4Z3pkdG9vVnVHVkRETi1SaU5reXBYeW5FaWw2QXpOa2doSzlfVkNhby1zMmpXSU5HZ2NSLWNOMmJEX1lBaERJc1VtN3ZCNnpJYnFRQVNkSU5qaEZMWDZWeGVEOENXbWlfMEZCMFpDdmp2QUtVcEN2WWFiSE53SDlNNEV0TkNIRWpVM0NqSUJOcFhJZ25wVTI?oc=5,2025-05-15 09:09:21,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPOHdma2ljZ0ZKUUFsSE9tbzN2SGtsR0l3RXI1SzB4Z3pkdG9vVnVHVkRETi1SaU5reXBYeW5FaWw2QXpOa2doSzlfVkNhby1zMmpXSU5HZ2NSLWNOMmJEX1lBaERJc1VtN3ZCNnpJYnFRQVNkSU5qaEZMWDZWeGVEOENXbWlfMEZCMFpDdmp2QUtVcEN2WWFiSE53SDlNNEV0TkNIRWpVM0NqSUJOcFhJZ25wVTI?oc=5"" target=""_blank"">IMD forecasts heavy rainfall across multiple regions; heatwave likely in UP, Rajasthan -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
"Weather Update: Monsoon Set to Advance with Rains in Kerala, Northeast; Heatwave Grips UP, Rajasthan, Bengal- Check Full Forecast Here - Krishi Jagran",https://news.google.com/rss/articles/CBMi_wFBVV95cUxNOEFtdkcwcWlLQ2pSZ3BaaFJJM3YtS1k5d1NqcG81dWtMYnhIT2Z1YXN6V1J6LXJrcmtNSG9WWmNBNlpZWXFJYk9Nd3plWW9feUN5cEdOU3lBMjl5ek8zU3AzdU1UdlB3VmNHVVZ0U1pKNlpvcHNCM0t1VF9lZlI2RVdJLVpOaFZ5ZnpJZFc1ZTZLRjZoazZUa3AxR1M0RVhNdjY2SnBJS1NFanRVWEN6dVN6RHRycmtRcFNvRkpjX1ZGZEUzbVQtcFFGREZqMU5kcjF2TmZEUURCblJxU0RfQXl1cnRtWHJaZmJ1UE8wQTFhR0xmdjJmMkRWbzd1ZlU?oc=5,2025-05-15 07:22:17,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxNOEFtdkcwcWlLQ2pSZ3BaaFJJM3YtS1k5d1NqcG81dWtMYnhIT2Z1YXN6V1J6LXJrcmtNSG9WWmNBNlpZWXFJYk9Nd3plWW9feUN5cEdOU3lBMjl5ek8zU3AzdU1UdlB3VmNHVVZ0U1pKNlpvcHNCM0t1VF9lZlI2RVdJLVpOaFZ5ZnpJZFc1ZTZLRjZoazZUa3AxR1M0RVhNdjY2SnBJS1NFanRVWEN6dVN6RHRycmtRcFNvRkpjX1ZGZEUzbVQtcFFGREZqMU5kcjF2TmZEUURCblJxU0RfQXl1cnRtWHJaZmJ1UE8wQTFhR0xmdjJmMkRWbzd1ZlU?oc=5"" target=""_blank"">Weather Update: Monsoon Set to Advance with Rains in Kerala, Northeast; Heatwave Grips UP, Rajasthan, Bengal- Check Full Forecast Here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Rain, thunderstorm to occur in several districts till May 19: IMD - Times of India",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQTjRIRDVpdEJJeDN0Yk9VRkFrVURYLTd2bTROOXdSRThCTDFzbWVnQnNId0cwNDNNN2l1QmlVR3NxN2tyeS1FZzBjczc5azg5QkFoR2RJT25MeGpFNnctNVlyTm90Q0tTZldpSkVDdlJPNW91ZjRNSVk2MHVJNDJubVU3QjA2WnBpTUJaeENfbGtyeTBNOGFOb3JzWWl2SUU1dFJVTWJCVDJLUjVGYmNUaF9jbHJ2ZXhVWklhNXVidkh1OVhUYmFGM2N6eGdreDU3QTdKaDlDd2FTd9IB3wFBVV95cUxOT2d2NHVfdDJlWnY4emlDRFFETEpwT0ItbHEtRVBHcWNHZ1JzWFJPbEg0c3dHQkZwa1U0djhsbjNHVDczWXdKWnozekE1a3ZNTV9IQnZveEU1NTJmWHMtVnFBQWNSeEZ3aGMtcmxpMFJjRjE1d21SU3lHLUFGRi02ZWZPNjROV0Y2aE16TTdzcmtJSGhOdkxSZTN5STNQd0JpTTAtbmtOTGpVTHNqRWJYdHpvbDdZX2FmTmJYNGVIQS0xdzNXN2dSSlJuTGUwdjU2Tjd4SmFtSDRYRFppaXdN?oc=5,2025-05-15 02:01:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQTjRIRDVpdEJJeDN0Yk9VRkFrVURYLTd2bTROOXdSRThCTDFzbWVnQnNId0cwNDNNN2l1QmlVR3NxN2tyeS1FZzBjczc5azg5QkFoR2RJT25MeGpFNnctNVlyTm90Q0tTZldpSkVDdlJPNW91ZjRNSVk2MHVJNDJubVU3QjA2WnBpTUJaeENfbGtyeTBNOGFOb3JzWWl2SUU1dFJVTWJCVDJLUjVGYmNUaF9jbHJ2ZXhVWklhNXVidkh1OVhUYmFGM2N6eGdreDU3QTdKaDlDd2FTd9IB3wFBVV95cUxOT2d2NHVfdDJlWnY4emlDRFFETEpwT0ItbHEtRVBHcWNHZ1JzWFJPbEg0c3dHQkZwa1U0djhsbjNHVDczWXdKWnozekE1a3ZNTV9IQnZveEU1NTJmWHMtVnFBQWNSeEZ3aGMtcmxpMFJjRjE1d21SU3lHLUFGRi02ZWZPNjROV0Y2aE16TTdzcmtJSGhOdkxSZTN5STNQd0JpTTAtbmtOTGpVTHNqRWJYdHpvbDdZX2FmTmJYNGVIQS0xdzNXN2dSSlJuTGUwdjU2Tjd4SmFtSDRYRFppaXdN?oc=5"" target=""_blank"">Rain, thunderstorm to occur in several districts till May 19: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
Pre-monsoon twist: State sees a drier April - MSN,https://news.google.com/rss/articles/CBMiqwJBVV95cUxOTF9DeV9QdmlLZXotVkZqQ1NqRTdERC0wTFZ2SEhVN1EzSkhEci1TbWJaYTFxMXk5cDljd1UyS193cUR2Ni1vWlVrX0JUQ01rTWo2VkI4MUV3MkJLLUZnaXAzdVozS3dsY2UzYWtnOG5CaDBua0pOWmJtSjR6U3g1S05LNThXbUdJazNKa01Xc1FHSGllc1hUa2xvY3JaVVp2RFdMMU1LZGJQVWhkOGJLenQ2OXdhTGs2T0ZFVzV4Y0xEVi1aQURjZWxwbGxyODdETDhtdTNGWTIzMnpUQkRPZUJqYXhiRElhdzk1MGRPcmtUMlhjczVDc1AtZFBhUFNoQVBmMFhMOWlhLTB4aXhJT1pkWndYOGk3b2hDUGFqdEZPcm10YlFST2d3cw?oc=5,2025-05-15 05:43:44,MSN,"<a href=""https://news.google.com/rss/articles/CBMiqwJBVV95cUxOTF9DeV9QdmlLZXotVkZqQ1NqRTdERC0wTFZ2SEhVN1EzSkhEci1TbWJaYTFxMXk5cDljd1UyS193cUR2Ni1vWlVrX0JUQ01rTWo2VkI4MUV3MkJLLUZnaXAzdVozS3dsY2UzYWtnOG5CaDBua0pOWmJtSjR6U3g1S05LNThXbUdJazNKa01Xc1FHSGllc1hUa2xvY3JaVVp2RFdMMU1LZGJQVWhkOGJLenQ2OXdhTGs2T0ZFVzV4Y0xEVi1aQURjZWxwbGxyODdETDhtdTNGWTIzMnpUQkRPZUJqYXhiRElhdzk1MGRPcmtUMlhjczVDc1AtZFBhUFNoQVBmMFhMOWlhLTB4aXhJT1pkWndYOGk3b2hDUGFqdEZPcm10YlFST2d3cw?oc=5"" target=""_blank"">Pre-monsoon twist: State sees a drier April</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Rain Forecast in Andhra Pradesh as Monsoon Advances | May 2025 Weather Update - Hello Vizag,https://news.google.com/rss/articles/CBMipgFBVV95cUxObEJkRmd5bWE1b2I1cDVmVnROUks1X19HX3R4RTRoQ3BvUVd5UGVhS0xzLXpWdE9VZlJBSURvRE1adHdKa2pCQkhKRHFHVzB4WEF4dGlzR1BaVzIydHMyMHFMOFptXzFLZUFfRWlhS2dPRmlocDJBV1VVNF83T2xOMV8yZjdHcDVQYnBWWktBbkVlZTJuNC14dURtRjd6WW5SN3oyTlpn?oc=5,2025-05-14 12:23:23,Hello Vizag,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxObEJkRmd5bWE1b2I1cDVmVnROUks1X19HX3R4RTRoQ3BvUVd5UGVhS0xzLXpWdE9VZlJBSURvRE1adHdKa2pCQkhKRHFHVzB4WEF4dGlzR1BaVzIydHMyMHFMOFptXzFLZUFfRWlhS2dPRmlocDJBV1VVNF83T2xOMV8yZjdHcDVQYnBWWktBbkVlZTJuNC14dURtRjd6WW5SN3oyTlpn?oc=5"" target=""_blank"">Rain Forecast in Andhra Pradesh as Monsoon Advances | May 2025 Weather Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hello Vizag</font>",Heatwave,en
J'khand is facing both heat wave and rain - MSN,https://news.google.com/rss/articles/CBMikwFBVV95cUxOeWZucUJOT2JpT1R2NDNTTDhpYTJQUzQ3WVNubDZxbVlTVkNObnNYcFZ3clVXUXo5RTZRQkx2YTZ1UGpwNkdYVDFDQ1Z5UGVmVXduRnZ4UWlSaG1DSUl0WW1IZ0QtRDd2UTZJZDR3TGd2VG1vNDRwUXpBOUppc1hJU2toSGkwREw5UTU5SGJ5eDQ2UjA?oc=5,2025-05-14 15:37:30,MSN,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOeWZucUJOT2JpT1R2NDNTTDhpYTJQUzQ3WVNubDZxbVlTVkNObnNYcFZ3clVXUXo5RTZRQkx2YTZ1UGpwNkdYVDFDQ1Z5UGVmVXduRnZ4UWlSaG1DSUl0WW1IZ0QtRDd2UTZJZDR3TGd2VG1vNDRwUXpBOUppc1hJU2toSGkwREw5UTU5SGJ5eDQ2UjA?oc=5"" target=""_blank"">J'khand is facing both heat wave and rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
No heatwave conditions next 7 days - The New Indian Express,https://news.google.com/rss/articles/CBMipAFBVV95cUxOM0JQYlNMcWdpSVpWdWRlcngzYzVNNmlxNEZZSEVYWVhac3lSdno4c05vajlSVmJnandxMHJvZlQ3OWtiNWpOd3JySFZBaUYzWU8zeGU3c1ZBbjBGTWQtdlk2RHBCQk5JVElqMEM3b1YwQTNvMldBNkwwNmRDbnF5U3NFOFFCWERMNW1aMkJ4WW0zUm9hY2NhVGtFOUp3TTduQU5zWdIBpAFBVV95cUxOM0JQYlNMcWdpSVpWdWRlcngzYzVNNmlxNEZZSEVYWVhac3lSdno4c05vajlSVmJnandxMHJvZlQ3OWtiNWpOd3JySFZBaUYzWU8zeGU3c1ZBbjBGTWQtdlk2RHBCQk5JVElqMEM3b1YwQTNvMldBNkwwNmRDbnF5U3NFOFFCWERMNW1aMkJ4WW0zUm9hY2NhVGtFOUp3TTduQU5zWQ?oc=5,2025-05-15 08:46:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOM0JQYlNMcWdpSVpWdWRlcngzYzVNNmlxNEZZSEVYWVhac3lSdno4c05vajlSVmJnandxMHJvZlQ3OWtiNWpOd3JySFZBaUYzWU8zeGU3c1ZBbjBGTWQtdlk2RHBCQk5JVElqMEM3b1YwQTNvMldBNkwwNmRDbnF5U3NFOFFCWERMNW1aMkJ4WW0zUm9hY2NhVGtFOUp3TTduQU5zWdIBpAFBVV95cUxOM0JQYlNMcWdpSVpWdWRlcngzYzVNNmlxNEZZSEVYWVhac3lSdno4c05vajlSVmJnandxMHJvZlQ3OWtiNWpOd3JySFZBaUYzWU8zeGU3c1ZBbjBGTWQtdlk2RHBCQk5JVElqMEM3b1YwQTNvMldBNkwwNmRDbnF5U3NFOFFCWERMNW1aMkJ4WW0zUm9hY2NhVGtFOUp3TTduQU5zWQ?oc=5"" target=""_blank"">No heatwave conditions next 7 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Heatwave,en
Early monsoon onset over Kerala signals strong economic season ahead - MSN,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNSzQwRGlmNE16S1g5elZMdEZuNTY0U0F3SE5zenNQQnlqNTdkSlA5bjN6X1c0WkxyRFNkVXh6TVlJM1BkY0dQQnQ3bnU0WExLeW92cDJJVTA4SFE2ZnUzRmdNM2N5WXZnazc5OU5WZ3hYczY2RGFyX19HMkJEMG1MTEk0S1NpSnJaR1F6RXNVdjg1UFRTUzNMSmhZakxOeXpsYlRUanE5aFlEM2UwTGMydFlCelNGbGZSWEhrNUNVM2Y2YjNPdk5QS0pVMVBHVGVucUdacGg3U3B2WVU?oc=5,2025-05-14 23:37:27,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNSzQwRGlmNE16S1g5elZMdEZuNTY0U0F3SE5zenNQQnlqNTdkSlA5bjN6X1c0WkxyRFNkVXh6TVlJM1BkY0dQQnQ3bnU0WExLeW92cDJJVTA4SFE2ZnUzRmdNM2N5WXZnazc5OU5WZ3hYczY2RGFyX19HMkJEMG1MTEk0S1NpSnJaR1F6RXNVdjg1UFRTUzNMSmhZakxOeXpsYlRUanE5aFlEM2UwTGMydFlCelNGbGZSWEhrNUNVM2Y2YjNPdk5QS0pVMVBHVGVucUdacGg3U3B2WVU?oc=5"" target=""_blank"">Early monsoon onset over Kerala signals strong economic season ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Monsoon to arrive early in Telangana, thanks to changing weather patterns - Times of India",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPVU1NSTV0OEMxbTRWenlRcUVuaEpPWE9TMjZXY25jUy1EdGhBa3liYm5ZcXhUWmZfMnBJMkxmaWg5alZPYVVkWXhnTzBxZGplWWhjRWJTQnJFdVR1b1RxV1hER2t3S19KTGNFTkppSWxCLWtZZzIzcF8yeFBfVTNERDc4TnZtYmhtcFRHSVZoaGJMenNBUWtmakhBcnliSTdhTUtldTBKeWxyOFZ2ckpfTFN1Tm1qS1VBRUxqN1JNVDhjMkpsRWdRZXdqQVJYaDE2UzhpR0c5U1B1c3lQS2lCaXpXQdIB6AFBVV95cUxNc2tmNkJlY2J1ZzlJdjJPbV95YjNWSEdFbWNOMkxRT2V1blNpY2trMjRCM2dTNlQ0LUYxVDBqX1FmWERIYXpoUnZoRi00UDkwd2JhSEM0N0tRRWFHTFQ0SG5kb1ByMURMclNNdGdYTlF0bUo0WGR5aUJid0tIVVFraDVBckswbW01MXdYZWJtY3R5eHJIUnNvbnh3TXVGQ0tGQWJFaFRvVWkyRDE3eEtnMGk4bm1xeTZQX1RqWnZhM2hKTkw1bEVDWTd6OGd6cVNHSWh2anloZnVBYjl0MmtBT01uQ0tsMlNB?oc=5,2025-05-15 03:13:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPVU1NSTV0OEMxbTRWenlRcUVuaEpPWE9TMjZXY25jUy1EdGhBa3liYm5ZcXhUWmZfMnBJMkxmaWg5alZPYVVkWXhnTzBxZGplWWhjRWJTQnJFdVR1b1RxV1hER2t3S19KTGNFTkppSWxCLWtZZzIzcF8yeFBfVTNERDc4TnZtYmhtcFRHSVZoaGJMenNBUWtmakhBcnliSTdhTUtldTBKeWxyOFZ2ckpfTFN1Tm1qS1VBRUxqN1JNVDhjMkpsRWdRZXdqQVJYaDE2UzhpR0c5U1B1c3lQS2lCaXpXQdIB6AFBVV95cUxNc2tmNkJlY2J1ZzlJdjJPbV95YjNWSEdFbWNOMkxRT2V1blNpY2trMjRCM2dTNlQ0LUYxVDBqX1FmWERIYXpoUnZoRi00UDkwd2JhSEM0N0tRRWFHTFQ0SG5kb1ByMURMclNNdGdYTlF0bUo0WGR5aUJid0tIVVFraDVBckswbW01MXdYZWJtY3R5eHJIUnNvbnh3TXVGQ0tGQWJFaFRvVWkyRDE3eEtnMGk4bm1xeTZQX1RqWnZhM2hKTkw1bEVDWTd6OGd6cVNHSWh2anloZnVBYjl0MmtBT01uQ0tsMlNB?oc=5"" target=""_blank"">Monsoon to arrive early in Telangana, thanks to changing weather patterns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Hyderabad On Orange Alert, Heavy Rain To Intensify From THIS Date: When Will Monsoon Hit City? - Times Now",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQc1A2cWJFM2ZqSGVBZEo0VzVNX0UwRDNOTjVnT0xhYk9kZGVPUFVzWDJwU0tJYWJTQklRbVJER010dTlYMzZ2N25POHVuQ2cwTHRPYlJyYjkzbkJQQUhVaVNKN25icXhMSUdiUzlPdUQxVVNqNnE3SDdlNlRhYkhwd1hKcU5tQmlpZm1OT1lld0xWaGJyN0Nkcko1UTg4emZuRU9ST3NranhMSkxQUldCb0xiWGJkR0xIc3pib0NpMVlYbjI0TFNkeDJtTzRUZVk0bVk4T2d6SWVqS1ZSWGZmcDZn0gHnAUFVX3lxTE44ZDl4LURVd0FjY2lxMy13c3lUWDh0emh4c1N0R1AweDIwVVNpSDhQRmZjWU5xVVNKOUFzQk1sT1c5VGdxUlVnbDY3NVVpQW1udkk2YWJUZWwwMHBRVkJvYS1QWlpUb3daS2lXbC03bTZ2ODdQUVVkaUxaMFdidjdYSm5OLUpFUE9VaF9pMjRCd2hTcWR2c1JOMnA0TGJQUDlrSmtFMHVZSUc4SFNYZXJYRUhCa0UzZXctNlRrRVN3MHlab3dmUEViMFkzZmw4cXh2RG42U1c5OGs3LXJidGQ4RnoyOGkzUQ?oc=5,2025-05-14 20:58:09,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQc1A2cWJFM2ZqSGVBZEo0VzVNX0UwRDNOTjVnT0xhYk9kZGVPUFVzWDJwU0tJYWJTQklRbVJER010dTlYMzZ2N25POHVuQ2cwTHRPYlJyYjkzbkJQQUhVaVNKN25icXhMSUdiUzlPdUQxVVNqNnE3SDdlNlRhYkhwd1hKcU5tQmlpZm1OT1lld0xWaGJyN0Nkcko1UTg4emZuRU9ST3NranhMSkxQUldCb0xiWGJkR0xIc3pib0NpMVlYbjI0TFNkeDJtTzRUZVk0bVk4T2d6SWVqS1ZSWGZmcDZn0gHnAUFVX3lxTE44ZDl4LURVd0FjY2lxMy13c3lUWDh0emh4c1N0R1AweDIwVVNpSDhQRmZjWU5xVVNKOUFzQk1sT1c5VGdxUlVnbDY3NVVpQW1udkk2YWJUZWwwMHBRVkJvYS1QWlpUb3daS2lXbC03bTZ2ODdQUVVkaUxaMFdidjdYSm5OLUpFUE9VaF9pMjRCd2hTcWR2c1JOMnA0TGJQUDlrSmtFMHVZSUc4SFNYZXJYRUhCa0UzZXctNlRrRVN3MHlab3dmUEViMFkzZmw4cXh2RG42U1c5OGs3LXJidGQ4RnoyOGkzUQ?oc=5"" target=""_blank"">Hyderabad On Orange Alert, Heavy Rain To Intensify From THIS Date: When Will Monsoon Hit City?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Heatwave,en
"Patna boils at 40°C, relief likely N Bihar from today - Times of India",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPeVVDVks4V3JMbW1hdkVHUm1EZGgxdGdWa1FTdU1zdVZfV3VGYUVfSkJGSzh6QTZDdUZzM3BZajA4LTByei1DLVdqYVFBRmNTc3BqQTN5WnFjZjR3b1ZOam1VVVd6cm9DeFE1Z09vOWF2TkpWdmlmaG1nOG9ic3dxOG53VjBnRUFObnphOHA4YjlYWlFPdDdkQXdESWFrbkFBODFseFlaM3E0MHJ6dG9SMXpqUzJDMVJpY3NsMzdpZ09kQdIBxwFBVV95cUxQVTJOdUZfMV9jV3F0SVJJRGE3Ql9EeXRpYVFaLTE1U1RNcW5nbzBUa0NodS1Ga3gtLWRCQV9kUDRTYjJPSnU4dmc1OGh2YTZCWVR0WkM4bzdEMkhZN04wdDJ4OTItRFZzeTZfVFNBSWFSaHZDc2xsXzg5OXZFMUNaOEN2Z0FaQ1lXMENpQUNFcEx6U19WZ3BqTHZJNWhoUXN6aUd0Y05lZU1vVzJGUk5jVDFyWEdHWkxSeFBFZGcycDJzbHVyRTZR?oc=5,2025-05-14 21:44:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPeVVDVks4V3JMbW1hdkVHUm1EZGgxdGdWa1FTdU1zdVZfV3VGYUVfSkJGSzh6QTZDdUZzM3BZajA4LTByei1DLVdqYVFBRmNTc3BqQTN5WnFjZjR3b1ZOam1VVVd6cm9DeFE1Z09vOWF2TkpWdmlmaG1nOG9ic3dxOG53VjBnRUFObnphOHA4YjlYWlFPdDdkQXdESWFrbkFBODFseFlaM3E0MHJ6dG9SMXpqUzJDMVJpY3NsMzdpZ09kQdIBxwFBVV95cUxQVTJOdUZfMV9jV3F0SVJJRGE3Ql9EeXRpYVFaLTE1U1RNcW5nbzBUa0NodS1Ga3gtLWRCQV9kUDRTYjJPSnU4dmc1OGh2YTZCWVR0WkM4bzdEMkhZN04wdDJ4OTItRFZzeTZfVFNBSWFSaHZDc2xsXzg5OXZFMUNaOEN2Z0FaQ1lXMENpQUNFcEx6U19WZ3BqTHZJNWhoUXN6aUd0Y05lZU1vVzJGUk5jVDFyWEdHWkxSeFBFZGcycDJzbHVyRTZR?oc=5"" target=""_blank"">Patna boils at 40°C, relief likely N Bihar from today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Kerala Weather, May 15: Pre-monsoon showers across major cities - Asianet Newsable",https://news.google.com/rss/articles/CBMixAFBVV95cUxOZ2F1TWVyaVVHSGhqeHZJQk9nYjQ2RlVoN1RvUm9TMnQyV3IzaW9NaE0zYTljUmhKdlNPNUs0UzNCOXJscFhRUndreW5iQWFHT3JjekttdGtrZkVFYW95U2E2ODFCVFNVU1FMRFZ1d0F0R0hXQlB1TXhoeVFKNF9WanRNdWR3VWxUNHFURTZMWEtadWpKQ1lBLWdtX2w1c1NJN2hIbDdjZlRGMzZwYjVMQkFKdW9nZThWQzNiTVQtajgwb0pq0gHKAUFVX3lxTFB2VXA2TUplRUFwTlhaLTk3QWhNdXBPNDVSY2Y2UUNNcDIzWjFTT2RoQlhxNUx2TGRxdXdBeURoa0U1NnZrVEp1SjBMeUxfR3RaOFVhc1J2SXNzSnp3MjNwWkRUbGpCeHpqNHc2ZThSNkphWDRTckljU3ZCaUR5TkhGaFlUcmRwQW01UHA4ZmExMDMyX2dRUUtsWjQ4RUljMFZtSDRhQkwwdWVRZzg2aG5jLW44eWZuR21FQVRpWklpc3JnbmNVUWFzNHc?oc=5,2025-05-15 07:15:42,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOZ2F1TWVyaVVHSGhqeHZJQk9nYjQ2RlVoN1RvUm9TMnQyV3IzaW9NaE0zYTljUmhKdlNPNUs0UzNCOXJscFhRUndreW5iQWFHT3JjekttdGtrZkVFYW95U2E2ODFCVFNVU1FMRFZ1d0F0R0hXQlB1TXhoeVFKNF9WanRNdWR3VWxUNHFURTZMWEtadWpKQ1lBLWdtX2w1c1NJN2hIbDdjZlRGMzZwYjVMQkFKdW9nZThWQzNiTVQtajgwb0pq0gHKAUFVX3lxTFB2VXA2TUplRUFwTlhaLTk3QWhNdXBPNDVSY2Y2UUNNcDIzWjFTT2RoQlhxNUx2TGRxdXdBeURoa0U1NnZrVEp1SjBMeUxfR3RaOFVhc1J2SXNzSnp3MjNwWkRUbGpCeHpqNHc2ZThSNkphWDRTckljU3ZCaUR5TkhGaFlUcmRwQW01UHA4ZmExMDMyX2dRUUtsWjQ4RUljMFZtSDRhQkwwdWVRZzg2aG5jLW44eWZuR21FQVRpWklpc3JnbmNVUWFzNHc?oc=5"" target=""_blank"">Kerala Weather, May 15: Pre-monsoon showers across major cities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Heatwave,en
