Title,Link,Date,Source,Summary,Place
"Photo shows landslide in El Salvador in 2001, not India in 2024 - Yahoo News UK",https://news.google.com/rss/articles/CBMif0FVX3lxTE5XQldyZ29KaEgtSmRSQ042M3UtbTRESV9FWW9hMTNoY2Fsa3U4emNsSjY3ZzVadnhiUlZHeDdvWFV6TVJCTnVnU1R4elRyb2VERV82Q1V1SkxiNEtISEVmVkRNcENoWUdJT1dJakdjYjhscnFwMnc0OXBXbkdvSzQ?oc=5,2024-08-09 07:37:21,Yahoo News UK,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE5XQldyZ29KaEgtSmRSQ042M3UtbTRESV9FWW9hMTNoY2Fsa3U4emNsSjY3ZzVadnhiUlZHeDdvWFV6TVJCTnVnU1R4elRyb2VERV82Q1V1SkxiNEtISEVmVkRNcENoWUdJT1dJakdjYjhscnFwMnc0OXBXbkdvSzQ?oc=5"" target=""_blank"">Photo shows landslide in El Salvador in 2001, not India in 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo News UK</font>",
"INDIA: More than 1,580 Children Displaced in One of India’s Deadliest Landslides - WebWire",https://news.google.com/rss/articles/CBMib0FVX3lxTE90bFVfQU1kWHZXdllXS3ZJUVJBTWhGUVNBVmhBbElacExKZXMwUEpleHpBX3Y1Qkx1T083Sk5CLWxLQmVwbVJmbW5Dc1lCOXh1RXpNcVhfVGxKTnlNc3dwM0VDMmlSSUtjMHU2aFdBTQ?oc=5,2024-08-08 17:00:42,WebWire,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE90bFVfQU1kWHZXdllXS3ZJUVJBTWhGUVNBVmhBbElacExKZXMwUEpleHpBX3Y1Qkx1T083Sk5CLWxLQmVwbVJmbW5Dc1lCOXh1RXpNcVhfVGxKTnlNc3dwM0VDMmlSSUtjMHU2aFdBTQ?oc=5"" target=""_blank"">INDIA: More than 1,580 Children Displaced in One of India’s Deadliest Landslides</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WebWire</font>",
La Niña alert amid Wayanad tragedy and Mullaperiyar dam burst paranoia: Should Kerala be concerned? - Mathrubhumi English,https://news.google.com/rss/articles/CBMirwFBVV95cUxNYVk5YTVBMXRwc1YwMnAtY3k0YkhYa1hxeGhKd2w0bjh0M0FIQzBTdnExdTAzY0NsRUZScjVURWN3QnRWeEJ3ZF9nMkxlQmJvWkpTX2VDNmZDTG9zTHFMRTZSaVV6NmF3bjNsZkRqby1MWnZmejdraEp2cEszZkFJa3gxUTI2T3RTcWVzeVNnMk16UFJzRFRLVjlxZkRLMl95cG9WVzBuWFNQaVdKaXFn0gG0AUFVX3lxTE1PNV9SR0wza3drd0RqZVQ5dDNJejlzNDZ0d0JEZ3BmU01mZl9RY1QydFNMdkZfOE9sNEdreEg1QlhJWDhmUnBrRlZCZFhqemVNUjZrOTd0bVJyc2N3WDRaRDhDTUdGczBzMGhrRGZheUFqYzhvSk9kSzZIbTFjLU5aNlZ0cHhkZDk5TTJVRlhLYlYxTXBnTzZFeDNiWk5fS2gxc2t5aUxGYTNMb0p3Rzk2WGVObA?oc=5,2024-08-08 14:40:45,Mathrubhumi English,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNYVk5YTVBMXRwc1YwMnAtY3k0YkhYa1hxeGhKd2w0bjh0M0FIQzBTdnExdTAzY0NsRUZScjVURWN3QnRWeEJ3ZF9nMkxlQmJvWkpTX2VDNmZDTG9zTHFMRTZSaVV6NmF3bjNsZkRqby1MWnZmejdraEp2cEszZkFJa3gxUTI2T3RTcWVzeVNnMk16UFJzRFRLVjlxZkRLMl95cG9WVzBuWFNQaVdKaXFn0gG0AUFVX3lxTE1PNV9SR0wza3drd0RqZVQ5dDNJejlzNDZ0d0JEZ3BmU01mZl9RY1QydFNMdkZfOE9sNEdreEg1QlhJWDhmUnBrRlZCZFhqemVNUjZrOTd0bVJyc2N3WDRaRDhDTUdGczBzMGhrRGZheUFqYzhvSk9kSzZIbTFjLU5aNlZ0cHhkZDk5TTJVRlhLYlYxTXBnTzZFeDNiWk5fS2gxc2t5aUxGYTNMb0p3Rzk2WGVObA?oc=5"" target=""_blank"">La Niña alert amid Wayanad tragedy and Mullaperiyar dam burst paranoia: Should Kerala be concerned?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mathrubhumi English</font>",
"India News Updates: Kerala HC takes suo moto cognizance on Wayanad landslides, hearing to begin tomorrow - The Economic Times",https://news.google.com/rss/articles/CBMi0gJBVV95cUxNNDlyanFGT2RhZ3ZnZ3IyX1BsSVhDaFdpeEtCbm5aVWlPbDZ5X25DSnV6ci1hNS1nUjNmcm1TTWx3YmU2Uk5CZ2FORGJkbjR4c2pMNDJEVTEtcjVPUWEzMzVjQVU5ZVhSUlVZTFRiSzdlVjM4U1E0SUY2ZmRjQThCd1g3TGhEYmx4Z2xiM0FjdTVWNHhqYnBwVDdPSHFCQnJLN3dLTUVRM1RqNEZmZWZLRWdDMFRTNnNGNm5qWWFzeENlVDI3TnV1V1haSGR4WG5ETjFXU3pHZm5IRFAzQjNtaW41czVaazBaMzFBVEJSZGg0SHNPdzlzVmYzX0xUOFd0b0ZXNGhFWGFtMUNSTUc1TEFka1QteEp4MmV4VGVDUDVQSUdUOG55bGlFcnBUcFlNMUZjY0Y4Y1hsa2JQYVpKekRHdzlVTlkzV0FOWXdqV3FTd9IB1wJBVV95cUxPd240VVZ5Y250eFZncXF2UWVpd1pRN1lsN3ZBNHRySFRaMF9RVlVIeWdXYU83ZDhmY1R3OFNuWEE3RjhjNGZOTmsxdVV4NGRpNXo4aHh5OU45RzF1VWdqU29ZTlZ6cDZJTjgzOXNGV1NRbVN0ak1ibWU3TDVOVkpYVlI3RTJGb0x5YXhjX2RiUnZPUnV1YlNKQUVKcmo2TERWMVdvR2diR3FtTXBfdzFiU01YTzA1alVWV3RNMzlMWWE4eTBQc0ZIb0NZSzBGZWVsX01LV1RIV1BwMnpyRXZ5VDR0Y0h0dVlkUnRZZV83aFVibGhJa3JsMGJ5Rk1ad1VKZDJSdnpmcFdNZ2VfODU1T3plamtHS3d2RkJ3ei1kUVVueVRXWnp3Rk1MNUd6Mnk4YWo1QmNSNXVZUGRwWUV4a0UzeHF5UG85UmJnQTczVW5YNUxCMnNj?oc=5,2024-08-08 23:56:18,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi0gJBVV95cUxNNDlyanFGT2RhZ3ZnZ3IyX1BsSVhDaFdpeEtCbm5aVWlPbDZ5X25DSnV6ci1hNS1nUjNmcm1TTWx3YmU2Uk5CZ2FORGJkbjR4c2pMNDJEVTEtcjVPUWEzMzVjQVU5ZVhSUlVZTFRiSzdlVjM4U1E0SUY2ZmRjQThCd1g3TGhEYmx4Z2xiM0FjdTVWNHhqYnBwVDdPSHFCQnJLN3dLTUVRM1RqNEZmZWZLRWdDMFRTNnNGNm5qWWFzeENlVDI3TnV1V1haSGR4WG5ETjFXU3pHZm5IRFAzQjNtaW41czVaazBaMzFBVEJSZGg0SHNPdzlzVmYzX0xUOFd0b0ZXNGhFWGFtMUNSTUc1TEFka1QteEp4MmV4VGVDUDVQSUdUOG55bGlFcnBUcFlNMUZjY0Y4Y1hsa2JQYVpKekRHdzlVTlkzV0FOWXdqV3FTd9IB1wJBVV95cUxPd240VVZ5Y250eFZncXF2UWVpd1pRN1lsN3ZBNHRySFRaMF9RVlVIeWdXYU83ZDhmY1R3OFNuWEE3RjhjNGZOTmsxdVV4NGRpNXo4aHh5OU45RzF1VWdqU29ZTlZ6cDZJTjgzOXNGV1NRbVN0ak1ibWU3TDVOVkpYVlI3RTJGb0x5YXhjX2RiUnZPUnV1YlNKQUVKcmo2TERWMVdvR2diR3FtTXBfdzFiU01YTzA1alVWV3RNMzlMWWE4eTBQc0ZIb0NZSzBGZWVsX01LV1RIV1BwMnpyRXZ5VDR0Y0h0dVlkUnRZZV83aFVibGhJa3JsMGJ5Rk1ad1VKZDJSdnpmcFdNZ2VfODU1T3plamtHS3d2RkJ3ei1kUVVueVRXWnp3Rk1MNUd6Mnk4YWo1QmNSNXVZUGRwWUV4a0UzeHF5UG85UmJnQTczVW5YNUxCMnNj?oc=5"" target=""_blank"">India News Updates: Kerala HC takes suo moto cognizance on Wayanad landslides, hearing to begin tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Death toll from 6 weeks of monsoon rains jumps to 154 in Pakistan - MSN,https://news.google.com/rss/articles/CBMitAFBVV95cUxQcGs2QnZybS1hWXFWQUtTb2pONXExZU95QjdTN0l2Z21nbUxyZTBSb1U4N09aYm9ZNjlDU05vUmZCQURmQ2wzdFR0YzdUX3Rxa0RIanVQNVpYUXA4OTctZXBBdUxrenc0MVBQdDBNTjdJZU1fNTlQZTZGSlZTTUZIZzBBVC1qdklHb2k0NzVPeU9laHNmdkxDLXNyelljSG1DLWlUeEtrbHZTUjZLa01yMGQxZnA?oc=5,2024-08-08 14:42:44,MSN,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQcGs2QnZybS1hWXFWQUtTb2pONXExZU95QjdTN0l2Z21nbUxyZTBSb1U4N09aYm9ZNjlDU05vUmZCQURmQ2wzdFR0YzdUX3Rxa0RIanVQNVpYUXA4OTctZXBBdUxrenc0MVBQdDBNTjdJZU1fNTlQZTZGSlZTTUZIZzBBVC1qdklHb2k0NzVPeU9laHNmdkxDLXNyelljSG1DLWlUeEtrbHZTUjZLa01yMGQxZnA?oc=5"" target=""_blank"">Death toll from 6 weeks of monsoon rains jumps to 154 in Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Death toll from 6 weeks of monsoon rains in Pakistan jumps to 154 - CGTN,https://news.google.com/rss/articles/CBMivwFBVV95cUxOTHkwRHVmd2Y4dS16TDEySktSNlhsb1JZTFE5YmFPOV9KbmQ0OVh0Rl9UeHE1SXRXSWd1bk9IZ0x1N2tBcWdRZ0Y3S1Y3ckpWbjhWOTY5TXNBdnc3ZGY5TlYxMlJSUjdudUd6WDhjUndxaXVfSTJrUlBPRFNaVFI5V0plNlN0ZGd0cDJFMEhPSnFZWDBFbk5XRlZxS3BsY2JDYjVDT084RGRlVWFnRXp5WGxDZ2JXU2UtTGFsOUVTMA?oc=5,2024-08-08 17:42:43,CGTN,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOTHkwRHVmd2Y4dS16TDEySktSNlhsb1JZTFE5YmFPOV9KbmQ0OVh0Rl9UeHE1SXRXSWd1bk9IZ0x1N2tBcWdRZ0Y3S1Y3ckpWbjhWOTY5TXNBdnc3ZGY5TlYxMlJSUjdudUd6WDhjUndxaXVfSTJrUlBPRFNaVFI5V0plNlN0ZGd0cDJFMEhPSnFZWDBFbk5XRlZxS3BsY2JDYjVDT084RGRlVWFnRXp5WGxDZ2JXU2UtTGFsOUVTMA?oc=5"" target=""_blank"">Death toll from 6 weeks of monsoon rains in Pakistan jumps to 154</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CGTN</font>",
Three districts on yellow alert tomorrow - The Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1BYbU55Y0wycnNQSWplVWlxSjh5UmJ4b1g2WkRrMmVuaDFodDZIaE9Ba2FIX0NSejd5TXVoODkxZTBXMmwwZ2VoaHNnd1dEeUJjU2RoekI2TXd2UnlGNi00TjRwMjZ5ZTBYMDhnZ3RvMElESzc1dlZZYm1GZEJmTldnWEZpOUlPVkR3ZmRsNjRvYU1pUDd1MDViTUthd1VpcVNldEZJVUt1eWotVXJ3Z19vWm5VdlpRMzNURjZHeDBiTWFoQkRiTmpPRGowWHBIUThj0gHYAUFVX3lxTE1NcTAwUHh1WEZWLVBqaG5uMW0wV3pSU3NzaF9TbXFlejVnZ3NLcTd2T0tGVHBQRmtSTk1UWkZNcEZZVW92dFpZM2NHVllyX2tueTdkakljeGw0cEdrYUlUakt3emFVVnJ5NjhOV2ZTcWh0SUV2bllhRnhlVE1jcmM3cUppMEJad1lZM0w3V3RYcmtZOHczNnJMektMcGh3c21iNEkybzViVGhUcGdBVXhPNlhLc2hCY184RTk2YXRwY3NuOXBXRFNaUFNTRzdaS291aDc0Zkl0WA?oc=5,2024-08-09 04:53:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1BYbU55Y0wycnNQSWplVWlxSjh5UmJ4b1g2WkRrMmVuaDFodDZIaE9Ba2FIX0NSejd5TXVoODkxZTBXMmwwZ2VoaHNnd1dEeUJjU2RoekI2TXd2UnlGNi00TjRwMjZ5ZTBYMDhnZ3RvMElESzc1dlZZYm1GZEJmTldnWEZpOUlPVkR3ZmRsNjRvYU1pUDd1MDViTUthd1VpcVNldEZJVUt1eWotVXJ3Z19vWm5VdlpRMzNURjZHeDBiTWFoQkRiTmpPRGowWHBIUThj0gHYAUFVX3lxTE1NcTAwUHh1WEZWLVBqaG5uMW0wV3pSU3NzaF9TbXFlejVnZ3NLcTd2T0tGVHBQRmtSTk1UWkZNcEZZVW92dFpZM2NHVllyX2tueTdkakljeGw0cEdrYUlUakt3emFVVnJ5NjhOV2ZTcWh0SUV2bllhRnhlVE1jcmM3cUppMEJad1lZM0w3V3RYcmtZOHczNnJMektMcGh3c21iNEkybzViVGhUcGdBVXhPNlhLc2hCY184RTk2YXRwY3NuOXBXRFNaUFNTRzdaS291aDc0Zkl0WA?oc=5"" target=""_blank"">Three districts on yellow alert tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
PM Modi to visit Wayanad: Narendra Modi will visit the landslide-hit Wayanad district in Kerala on August 10 - The Hindu,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQdGgyeHZkZk1fTnJtWFFRaWpVdnk1dFotdi14NTktSEhQeDFqZTlKS1k1N2dsSnNJdW9jUHZhRDVzX1ViMEtkMEEtTXR0UzVmWWs5ekl1UjMxN1RiRUlqdHFFd2kwUm5OdU9vckplZGpEUGRVel8zYkFVREtNNjZQMzlDODZBRmNvVFFWMG5ZcTZvbFhlekpkYjVrbGlZUF8ydzRmZVpxWGI3SV9lWEhKM090NjEyNnV20gG_AUFVX3lxTFBkbXUzMk1waFllckNMeXhXMnZWSVQ2WE1lajUyVUZKTUFCZ3NPVGx2bV9GeEY5SzBaNDhTUkQzT0FXY2QyWWxNWFhlb0p0Y0dKRjFOZXFTMS1vM0xUeHRJMXVzZlNXNW9GTlBDVHhHc3QyU2tNS0NBSUlieFdoLWtyd0JSVnpLYjBTdDl4YnpoQUZhckxuWFlpdHBVbVZ4VzFzN2NPWUc0akhCc1RrcGV4dldHMk8zcUg3UHh1aFFF?oc=5,2024-08-08 12:49:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxQdGgyeHZkZk1fTnJtWFFRaWpVdnk1dFotdi14NTktSEhQeDFqZTlKS1k1N2dsSnNJdW9jUHZhRDVzX1ViMEtkMEEtTXR0UzVmWWs5ekl1UjMxN1RiRUlqdHFFd2kwUm5OdU9vckplZGpEUGRVel8zYkFVREtNNjZQMzlDODZBRmNvVFFWMG5ZcTZvbFhlekpkYjVrbGlZUF8ydzRmZVpxWGI3SV9lWEhKM090NjEyNnV20gG_AUFVX3lxTFBkbXUzMk1waFllckNMeXhXMnZWSVQ2WE1lajUyVUZKTUFCZ3NPVGx2bV9GeEY5SzBaNDhTUkQzT0FXY2QyWWxNWFhlb0p0Y0dKRjFOZXFTMS1vM0xUeHRJMXVzZlNXNW9GTlBDVHhHc3QyU2tNS0NBSUlieFdoLWtyd0JSVnpLYjBTdDl4YnpoQUZhckxuWFlpdHBVbVZ4VzFzN2NPWUc0akhCc1RrcGV4dldHMk8zcUg3UHh1aFFF?oc=5"" target=""_blank"">PM Modi to visit Wayanad: Narendra Modi will visit the landslide-hit Wayanad district in Kerala on August 10</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Mumbai Monsoon Update: Light Rains Expected, No Heavy Downpours For Next 7-10 Days | Check Forecast - Jagran English",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNcEhidkwwaTNZUTdYQTFaZzhPVkVfd09NVXhrVmh5aUlmc2NiU1I5Zlh0NzYwVTRwNEFaZkU1Y1ZudUROSWhURjRYX2R1Z21GWnVKMWNLTGRmOC04LWY2QTN0MFhIY1ZnbTU0MWZvdkRPa1oxY1ZQd0JKNm5kZUd1d1l3S2F3U3B6Yy1BX1kwUTEtY2lBSEFBS1NBcFRJSS1XWjI2aEVCRklDZnhaYTl6LXdQamJ1TW0zLXV3MlZWVHV5S2N1S2ZWX2dXVWtTQzl5bjY5OVZtYmg2Z9IB4AFBVV95cUxPdzFhdUs5V3I5YzBLWjhOWE1vLWhXOFBUcThNd1FWZFB1SWdzUEg2bjdCNmtzamF4Rk10RUdRc0tVbkxtSXdUeXdFNnJsWGFoNmJHMlVHeXEya3BRU3dKUFE2QWRJNWszdGYxVWpNNDZnaHRIN3lnRDBZcnlRSkZnQldKdEJPQW04SHVHZEV1QVdLLTVqVjd4Y3hjZk5JQnJLNjM2UElmME1Pbjg2ZFEzOXhJNlJJc2c3Z0tJYl9oOFp0UXNEQjRIRkhhbDNNblhLMGRuOUtVQjUzZDZkT2d6Qw?oc=5,2024-08-08 17:33:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNcEhidkwwaTNZUTdYQTFaZzhPVkVfd09NVXhrVmh5aUlmc2NiU1I5Zlh0NzYwVTRwNEFaZkU1Y1ZudUROSWhURjRYX2R1Z21GWnVKMWNLTGRmOC04LWY2QTN0MFhIY1ZnbTU0MWZvdkRPa1oxY1ZQd0JKNm5kZUd1d1l3S2F3U3B6Yy1BX1kwUTEtY2lBSEFBS1NBcFRJSS1XWjI2aEVCRklDZnhaYTl6LXdQamJ1TW0zLXV3MlZWVHV5S2N1S2ZWX2dXVWtTQzl5bjY5OVZtYmg2Z9IB4AFBVV95cUxPdzFhdUs5V3I5YzBLWjhOWE1vLWhXOFBUcThNd1FWZFB1SWdzUEg2bjdCNmtzamF4Rk10RUdRc0tVbkxtSXdUeXdFNnJsWGFoNmJHMlVHeXEya3BRU3dKUFE2QWRJNWszdGYxVWpNNDZnaHRIN3lnRDBZcnlRSkZnQldKdEJPQW04SHVHZEV1QVdLLTVqVjd4Y3hjZk5JQnJLNjM2UElmME1Pbjg2ZFEzOXhJNlJJc2c3Z0tJYl9oOFp0UXNEQjRIRkhhbDNNblhLMGRuOUtVQjUzZDZkT2d6Qw?oc=5"" target=""_blank"">Mumbai Monsoon Update: Light Rains Expected, No Heavy Downpours For Next 7-10 Days | Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",
Kerala likely to experience rainfall in 10 districts amid soaring temperature tomorrow - MSN,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPd0J2c25raGltMkFod3hZWEFSUVV3MnhLbFVubDlIN1Jhbm9XUG53a05RU2h6NEE3b0tzNGlwSkxraVMzSlZGdlFDYktXTl9wNF9Uek9TT05OS3E0bFQ4bURBR2l2Ti1jMkJWejdnYzEyc3F1UFdGODhhRklyazQtLVU5Vi1OVGcyVkhMOTd2U0t3bFFZMTVMcGt6cHU5ZnY1X3RjcUVPcmlBek5PaDFPbk12aTdtZDdHUExJZUtGMHlaeHFxUThoVWVZQnRjd0Zld3c0NGxMbE56U190b1ZvSQ?oc=5,2024-08-09 01:19:59,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPd0J2c25raGltMkFod3hZWEFSUVV3MnhLbFVubDlIN1Jhbm9XUG53a05RU2h6NEE3b0tzNGlwSkxraVMzSlZGdlFDYktXTl9wNF9Uek9TT05OS3E0bFQ4bURBR2l2Ti1jMkJWejdnYzEyc3F1UFdGODhhRklyazQtLVU5Vi1OVGcyVkhMOTd2U0t3bFFZMTVMcGt6cHU5ZnY1X3RjcUVPcmlBek5PaDFPbk12aTdtZDdHUExJZUtGMHlaeHFxUThoVWVZQnRjd0Zld3c0NGxMbE56U190b1ZvSQ?oc=5"" target=""_blank"">Kerala likely to experience rainfall in 10 districts amid soaring temperature tomorrow</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
