Title,Link,Date,Source,Summary,Place
Study finds rains that led to deadly Indian landslides were made worse by climate change - ABC News,https://news.google.com/rss/articles/CBMirAFBVV95cUxPTWpmdkFRUTBJSmhISkpjLVdRc1dyWjF1UjdFQ1NzU3RmTGFMcXFTME1nRHlZbno3dlE5akhaa2hFSlBtMnpQYkFUdFBxekF2TDFocVBiaVVqWng1R2NMZGxFN2wtMXV2bEN3cG9YQko3ZHNycXNadlI4TVE2ako0WGY5OUdKQVBIZ0NtSWJwOEZ1TVgtSEVRRTZlVFR6cmlOb19sUGJrQklyb0ps0gGyAUFVX3lxTE4wUjdVYzZCVXZMdnVNNnprTGc2cEd2aExRaXhoZm5HZE9aNWRQenl2eVRmQ3VOaGk1ZUJVMzVaYndOSXc0Q1EzUlZNdGRNQlRQVXF1Z1N5QXZZMWV3ZFpSTVpmTlY2MFRVWjh2d2ZyY0FaS3M5QTl3QVdTR1FuSEdCek11eFh3RENmZmRKMnNRWVNQRDl3S0wzeUU4ZlloWGg2c3Ezc2stbldKT19YRktBdHc?oc=5,2024-08-20 19:11:17,ABC News,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPTWpmdkFRUTBJSmhISkpjLVdRc1dyWjF1UjdFQ1NzU3RmTGFMcXFTME1nRHlZbno3dlE5akhaa2hFSlBtMnpQYkFUdFBxekF2TDFocVBiaVVqWng1R2NMZGxFN2wtMXV2bEN3cG9YQko3ZHNycXNadlI4TVE2ako0WGY5OUdKQVBIZ0NtSWJwOEZ1TVgtSEVRRTZlVFR6cmlOb19sUGJrQklyb0ps0gGyAUFVX3lxTE4wUjdVYzZCVXZMdnVNNnprTGc2cEd2aExRaXhoZm5HZE9aNWRQenl2eVRmQ3VOaGk1ZUJVMzVaYndOSXc0Q1EzUlZNdGRNQlRQVXF1Z1N5QXZZMWV3ZFpSTVpmTlY2MFRVWjh2d2ZyY0FaS3M5QTl3QVdTR1FuSEdCek11eFh3RENmZmRKMnNRWVNQRDl3S0wzeUU4ZlloWGg2c3Ezc2stbldKT19YRktBdHc?oc=5"" target=""_blank"">Study finds rains that led to deadly Indian landslides were made worse by climate change</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font>",
Summer conditions extend to monsoon months in India: Study - Carbon Copy,https://news.google.com/rss/articles/CBMiigFBVV95cUxOeS1pbXJrenJZNlVINmFXbVVySUtFR1cwTG8wdmVVOU95WmJJSTNvV0FLQ180VHJMV2FKaGlXNjdFcVo5NWFpZExna3VPbU40TnJ4QXNyYVpsY0RHaUI5V2NBTW9meFJYS2J1dV9GN3BqWnhQT0VxVktIcDFDb3ZSZWsyXzlHN3hTTUE?oc=5,2024-08-20 16:13:38,Carbon Copy,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxOeS1pbXJrenJZNlVINmFXbVVySUtFR1cwTG8wdmVVOU95WmJJSTNvV0FLQ180VHJMV2FKaGlXNjdFcVo5NWFpZExna3VPbU40TnJ4QXNyYVpsY0RHaUI5V2NBTW9meFJYS2J1dV9GN3BqWnhQT0VxVktIcDFDb3ZSZWsyXzlHN3hTTUE?oc=5"" target=""_blank"">Summer conditions extend to monsoon months in India: Study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Carbon Copy</font>",
Orange alert for six districts today - The Times of India,https://news.google.com/rss/articles/CBMivAFBVV95cUxPTlNpZFdMcUhKVHJ6T3RrMGJ1MmVoUUY1N0lEUDU2WExJbXZXVkNQMEdiaTFZN1gwc1hyZ0hkNGcwT01KN2txN05kY0djVTJZclFMTGk1cllEU24zRVBudmhNVjFDM3Fibi1nSUZYYTFkdXlGVjR0NjRQUjNoVjFEOUx3M1hkU19yMVp2a1VuOENfdFNwYk1VMlFDQ004MnhBRmpNUWlRTDB1bTgzSjRrRzRoZE44SVlxOWxuMtIBwgFBVV95cUxNWm5PeDBBSDdtVkRxVEtpTDBRTTR4UmppNHZ2Zlg1MUlOejVFTEFsTEJzVnI3NTNoRWRnQmZCM2lGWFZUZy1hMXFoSDVienJTb3R6MjVQV0JDclNpN3ZSVVZaaThBT1JZZ2IySlRybUt1VDJ0Y05GZTd5MVpNSXZseXRhY29pZlp1cmo1ZnB0QWZheFBLOVF2bDZReEJ6VUpId3U5cWVpdXQtQkdzZ0NDTGpSWEZKdjBiVUJkSnRNelNtdw?oc=5,2024-08-21 05:17:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPTlNpZFdMcUhKVHJ6T3RrMGJ1MmVoUUY1N0lEUDU2WExJbXZXVkNQMEdiaTFZN1gwc1hyZ0hkNGcwT01KN2txN05kY0djVTJZclFMTGk1cllEU24zRVBudmhNVjFDM3Fibi1nSUZYYTFkdXlGVjR0NjRQUjNoVjFEOUx3M1hkU19yMVp2a1VuOENfdFNwYk1VMlFDQ004MnhBRmpNUWlRTDB1bTgzSjRrRzRoZE44SVlxOWxuMtIBwgFBVV95cUxNWm5PeDBBSDdtVkRxVEtpTDBRTTR4UmppNHZ2Zlg1MUlOejVFTEFsTEJzVnI3NTNoRWRnQmZCM2lGWFZUZy1hMXFoSDVienJTb3R6MjVQV0JDclNpN3ZSVVZaaThBT1JZZ2IySlRybUt1VDJ0Y05GZTd5MVpNSXZseXRhY29pZlp1cmo1ZnB0QWZheFBLOVF2bDZReEJ6VUpId3U5cWVpdXQtQkdzZ0NDTGpSWEZKdjBiVUJkSnRNelNtdw?oc=5"" target=""_blank"">Orange alert for six districts today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
[Commentary] Why the Wayanad landslide must not fade from memory - Mongabay-India,https://news.google.com/rss/articles/CBMinwFBVV95cUxQYVZDYzlLcnEwbjROcFd3Q29wa2JLWFFkWW1tSU5qRmNfZ3lkN3k3bXJwemNlZ013ZkdFVFdaV2M2ckY4VjdwcWhuQUZpODljczlXY3VyOGx1SkIwTmltU0hEZFJXQlZJNk5wSjY5dzFXVHl2bnRNc21MV1M2RGNyN01PWGFvVTk4N19wWnRzbTJHY1cxR3djQ2c1SU9DcGs?oc=5,2024-08-20 13:28:50,Mongabay-India,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQYVZDYzlLcnEwbjROcFd3Q29wa2JLWFFkWW1tSU5qRmNfZ3lkN3k3bXJwemNlZ013ZkdFVFdaV2M2ckY4VjdwcWhuQUZpODljczlXY3VyOGx1SkIwTmltU0hEZFJXQlZJNk5wSjY5dzFXVHl2bnRNc21MV1M2RGNyN01PWGFvVTk4N19wWnRzbTJHY1cxR3djQ2c1SU9DcGs?oc=5"" target=""_blank"">[Commentary] Why the Wayanad landslide must not fade from memory</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mongabay-India</font>",
"Active monsoon boosts August rain by 36.9% in northwest India, says IMD - Business Standard",https://news.google.com/rss/articles/CBMizwFBVV95cUxNbDNkWU0yQ3dIcmlZTVZieEl2WHlUUFJhZ3lMOHlwOThxNVZsRTA1Umh1Ymx2eDVKdjdzN2ZIcDJBZEVKYjZFSkppbm1laXYtdFYyQlItT1VjWEFHLUljNUJ1NUF0NFBOakhMZHRzLTg4MzQ2TkwyZzE1NHNTQjZvRXprbHluZDdiTExpZlRhbWFlSjZ0cEd1bmFLZTJ1ZFh6bEpSVjZjVVZLYlZiOXpMREN3RVAtdkpoZmZCZ09WcmZ1clRZcVpKUmVISWJNNFXSAdQBQVVfeXFMTktyeXdZZ21hd3lBX0F0MXNBUDBIS1NFSFN3eFV2MW5lSkFxREVoeVpEVGFWT2t5aTVZbHdfMXZ1aFZtUFFwZGR4b09uLXlzMVlrb1pyQ1VieXplUUludG1ObUM0NXlidUQ1OVBMNllHUkp3UXJnWmxnbWV4RjBUNlhKMXJBVHhzQTlPRjVwWVpmUDk3SVlubXdMZU9ZVTBwcVczUUloNktreVA0a0hVQlA4V0JYbEFmbjlDY2tMVnR2VG9talhuR0F0N05OMjNnWnVuLVU?oc=5,2024-08-20 17:17:10,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNbDNkWU0yQ3dIcmlZTVZieEl2WHlUUFJhZ3lMOHlwOThxNVZsRTA1Umh1Ymx2eDVKdjdzN2ZIcDJBZEVKYjZFSkppbm1laXYtdFYyQlItT1VjWEFHLUljNUJ1NUF0NFBOakhMZHRzLTg4MzQ2TkwyZzE1NHNTQjZvRXprbHluZDdiTExpZlRhbWFlSjZ0cEd1bmFLZTJ1ZFh6bEpSVjZjVVZLYlZiOXpMREN3RVAtdkpoZmZCZ09WcmZ1clRZcVpKUmVISWJNNFXSAdQBQVVfeXFMTktyeXdZZ21hd3lBX0F0MXNBUDBIS1NFSFN3eFV2MW5lSkFxREVoeVpEVGFWT2t5aTVZbHdfMXZ1aFZtUFFwZGR4b09uLXlzMVlrb1pyQ1VieXplUUludG1ObUM0NXlidUQ1OVBMNllHUkp3UXJnWmxnbWV4RjBUNlhKMXJBVHhzQTlPRjVwWVpmUDk3SVlubXdMZU9ZVTBwcVczUUloNktreVA0a0hVQlA4V0JYbEFmbjlDY2tMVnR2VG9talhuR0F0N05OMjNnWnVuLVU?oc=5"" target=""_blank"">Active monsoon boosts August rain by 36.9% in northwest India, says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Weather: Heavy rain, thunderstorms expected in Kerala on August 20; IMD issues orange alert in four districts - MSN",https://news.google.com/rss/articles/CBMi-AFBVV95cUxPV3JkUWM1YXNYYjdfNktZbnR4b2Zna19obmk0S3lxRElwQ0xiTHV1aW9YZXJnOG50M1JnWHdud3hOVHBTejRMZTVQM1ZVbE5fMjFNZ0c3QThIczFfNGFJNXNNSk5oRW1VMERQRGlJVjRrRjRhb1gyX3N2bGVoSVAxRHAyYjRlaVdOMl9YS0dONDZtVzBxQkJBTlMzTklNcm9JbEhZWjhhbGhQLWpqcTZpUFZXMkxxRjdyQ1JXQVJzRkdnYmlFQW5DQ2VfUXZubjYxa3lfdUdVeFZSREdDWWlBU0JnRnlXYTdrWVRMdEhTNWpjakFKRzdLdw?oc=5,2024-08-20 14:17:55,MSN,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxPV3JkUWM1YXNYYjdfNktZbnR4b2Zna19obmk0S3lxRElwQ0xiTHV1aW9YZXJnOG50M1JnWHdud3hOVHBTejRMZTVQM1ZVbE5fMjFNZ0c3QThIczFfNGFJNXNNSk5oRW1VMERQRGlJVjRrRjRhb1gyX3N2bGVoSVAxRHAyYjRlaVdOMl9YS0dONDZtVzBxQkJBTlMzTklNcm9JbEhZWjhhbGhQLWpqcTZpUFZXMkxxRjdyQ1JXQVJzRkdnYmlFQW5DQ2VfUXZubjYxa3lfdUdVeFZSREdDWWlBU0JnRnlXYTdrWVRMdEhTNWpjakFKRzdLdw?oc=5"" target=""_blank"">Weather: Heavy rain, thunderstorms expected in Kerala on August 20; IMD issues orange alert in four districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Janmashtami 2024: Timings, and rituals to mark Lord Krishna's birthday - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxOdk45NHQ0LUhXZG1aX292S2lvWjkwX2RvbGZsOW1mZmNqRHdwNmFrUW1rRGk0TWlkcjBBS1BWUzFpTG5DVVI1QzE2OURRZmYzV2dybTJ4MDBOSDZreEdSa2VZRjh3dEtYQXJVOEdiNGJKZkpVZmdJT1JWd1VISmk1dmxDZ0ZaVENzS0JURTAxNFAyTnlmMEVFUFJYWHdUS2xESmxfbHh4NnF2NFVYVFctZE0wSnpRd09NZ2pBVXRLNnpfRjgwMWcxWU04eGEzd9IB0wFBVV95cUxQQnF6SFc0ZTZOZHZRUjU4bFlSVVMtaHZia29pRUxqNGxQaFVyaXEwQlRVTkZHTkwzb3czM09nMVJ5alhLdUw2bnlqRF9mYnQ2SUV1d0IxQXhRXzBSOENZQlUwV2s4elYyaUpxRnhxdk54TFpONzJNcjk4WHRVQlJ3ZzBMQVVRTnNOZl9Hcnhha0NHMllwSnVkR2VLWlBjTlF0Mmc3cWlRM19OcFBtREJtXzhLdEd5QTZpWGFTNkV4X0wwN29fc3V0a1hVVzlTVE1NMGZN?oc=5,2024-08-20 17:49:36,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdk45NHQ0LUhXZG1aX292S2lvWjkwX2RvbGZsOW1mZmNqRHdwNmFrUW1rRGk0TWlkcjBBS1BWUzFpTG5DVVI1QzE2OURRZmYzV2dybTJ4MDBOSDZreEdSa2VZRjh3dEtYQXJVOEdiNGJKZkpVZmdJT1JWd1VISmk1dmxDZ0ZaVENzS0JURTAxNFAyTnlmMEVFUFJYWHdUS2xESmxfbHh4NnF2NFVYVFctZE0wSnpRd09NZ2pBVXRLNnpfRjgwMWcxWU04eGEzd9IB0wFBVV95cUxQQnF6SFc0ZTZOZHZRUjU4bFlSVVMtaHZia29pRUxqNGxQaFVyaXEwQlRVTkZHTkwzb3czM09nMVJ5alhLdUw2bnlqRF9mYnQ2SUV1d0IxQXhRXzBSOENZQlUwV2s4elYyaUpxRnhxdk54TFpONzJNcjk4WHRVQlJ3ZzBMQVVRTnNOZl9Hcnhha0NHMllwSnVkR2VLWlBjTlF0Mmc3cWlRM19OcFBtREJtXzhLdEd5QTZpWGFTNkV4X0wwN29fc3V0a1hVVzlTVE1NMGZN?oc=5"" target=""_blank"">Janmashtami 2024: Timings, and rituals to mark Lord Krishna's birthday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Bharat Bandh on Aug 21: What to remain open, what would be closed? Details - Business Standard",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQmctME5tSml1MHRReTlSUVlvbXE4U2NFLV81cnNRRVpRNDBVMkhTb2FhUGpKMHplLUt3Y3N3UUhrNWZxLWhkNklrdjdkczNKeVNINGhVMGdrVEVwemE1YjRNYlA4SnJsckU3OWVaTVBzQXVQZWhnbkxXS1JyRzhqV2pyVURJbDRNWnpaVXA0aWtBTm42cEVLaWNKVmhDUGJKQVR4dzB4Z3ZYdHlRTzNXNUJBbUVROXRfdHlVazdZM1VBcFpNdmdUSFVvaE9sWkktNlHSAdcBQVVfeXFMT3U4cjhUcnNWOGFiQUgyOWttYU5KNmFXaG9WVFhOOVB4VG1uOXhqWlkydWk1QnVINS1OMktCNkZWQkt6SzlwNU4wWGM1WXMycS1oajNZNExWTDZvODBZQkdsSjlqTGNUakNtc0VQSkJzTlR3anI1UEw3NGJxZ0pJczZ4TGtZQ2IxdWNwam5IVFFySERmNVVDTERCbUVISU1ldDZIaU5jTjZ3ZEN2SWFqeWZfSE92X3VNYmpheHBuYXNkUktsV3AwYV9mVmVYcFlqTjVtU1g1Vkk?oc=5,2024-08-20 17:42:27,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQmctME5tSml1MHRReTlSUVlvbXE4U2NFLV81cnNRRVpRNDBVMkhTb2FhUGpKMHplLUt3Y3N3UUhrNWZxLWhkNklrdjdkczNKeVNINGhVMGdrVEVwemE1YjRNYlA4SnJsckU3OWVaTVBzQXVQZWhnbkxXS1JyRzhqV2pyVURJbDRNWnpaVXA0aWtBTm42cEVLaWNKVmhDUGJKQVR4dzB4Z3ZYdHlRTzNXNUJBbUVROXRfdHlVazdZM1VBcFpNdmdUSFVvaE9sWkktNlHSAdcBQVVfeXFMT3U4cjhUcnNWOGFiQUgyOWttYU5KNmFXaG9WVFhOOVB4VG1uOXhqWlkydWk1QnVINS1OMktCNkZWQkt6SzlwNU4wWGM1WXMycS1oajNZNExWTDZvODBZQkdsSjlqTGNUakNtc0VQSkJzTlR3anI1UEw3NGJxZ0pJczZ4TGtZQ2IxdWNwam5IVFFySERmNVVDTERCbUVISU1ldDZIaU5jTjZ3ZEN2SWFqeWZfSE92X3VNYmpheHBuYXNkUktsV3AwYV9mVmVYcFlqTjVtU1g1Vkk?oc=5"" target=""_blank"">Bharat Bandh on Aug 21: What to remain open, what would be closed? Details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Weather Update: Delhi, UP And Bihar Brace For More Rains; IMD Issues Yellow Alert For Northeast Region | State-Wise Forecast - Jagran English",https://news.google.com/rss/articles/CBMi5wFBVV95cUxNWlZ2NDd6UjQ2STJCbW9mTmRjajU0cUVBdEg0QkxGdkpQTGJ4NldkVmdVRDFiOHVISThDWFVaa09xSWVFSHBCT3g2RHQzcEpOZFp2a1B3cy1iMXR3dDFaOEFKT184U2FUVHF6UUhUaWN0RncybWdHZ0FtcTl1ZFgzc0JjNmpzODYzSTNhaTBGN0ZYZ1RvQWxJakUxV2tiQ0VVVEwyelk3cDU3WVBVOWhUR0hnb05lb3k5VjNQaFM0X1NnMl9udkNibDVxc1lRaHY2aFluS29BblN2N0NEbW5aVGxzdFV6bXPSAe4BQVVfeXFMUHBQVm8xcEhfeTBZcFJIamE2LUlicDlpVGktbjd3X2RrRXdDallJQTlvUjl3blJtQTN2djJoNGZhZXNud0ZJN2stUGRvRDFZN21QOE5QYURpWDRSaG1DOUdaVUkxd3AtT1hWUVRXZEhLSWZDY0E5V1o4MXNEU19BbHlncDJ2LXVkQlNrcWM3bkpHem14cVJDamZ4M1RubXJCRDBncXV1WkpBRTVvM0tBejhIT2FlczlBWmVIc05pSWVialB2aXdBMFU3cENTdEU5V1l6TFFJbFZ3ZWhWSlFqSUxoRTZNeWF6TklSeUdfdw?oc=5,2024-08-21 08:46:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNWlZ2NDd6UjQ2STJCbW9mTmRjajU0cUVBdEg0QkxGdkpQTGJ4NldkVmdVRDFiOHVISThDWFVaa09xSWVFSHBCT3g2RHQzcEpOZFp2a1B3cy1iMXR3dDFaOEFKT184U2FUVHF6UUhUaWN0RncybWdHZ0FtcTl1ZFgzc0JjNmpzODYzSTNhaTBGN0ZYZ1RvQWxJakUxV2tiQ0VVVEwyelk3cDU3WVBVOWhUR0hnb05lb3k5VjNQaFM0X1NnMl9udkNibDVxc1lRaHY2aFluS29BblN2N0NEbW5aVGxzdFV6bXPSAe4BQVVfeXFMUHBQVm8xcEhfeTBZcFJIamE2LUlicDlpVGktbjd3X2RrRXdDallJQTlvUjl3blJtQTN2djJoNGZhZXNud0ZJN2stUGRvRDFZN21QOE5QYURpWDRSaG1DOUdaVUkxd3AtT1hWUVRXZEhLSWZDY0E5V1o4MXNEU19BbHlncDJ2LXVkQlNrcWM3bkpHem14cVJDamZ4M1RubXJCRDBncXV1WkpBRTVvM0tBejhIT2FlczlBWmVIc05pSWVialB2aXdBMFU3cENTdEU5V1l6TFFJbFZ3ZWhWSlFqSUxoRTZNeWF6TklSeUdfdw?oc=5"" target=""_blank"">Weather Update: Delhi, UP And Bihar Brace For More Rains; IMD Issues Yellow Alert For Northeast Region | State-Wise Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",
"School Holiday Today? 21 August Bharat Bandh Announced, Updates on Schools, Colleges Closed - Times Now",https://news.google.com/rss/articles/CBMi4gFBVV95cUxOdkxlRXRlemVoSDY2alRDRFp6VWZJLTJsa3Z3SzRGLWFuN3Z6bHVZTWhEajhQaWM0ZXg0bkVVdElMVFFUZi1aS3dZQ0ZpMG9nZ1NyOG1xaFA0QXcwNUpuaUhHY25YNTEzWFpPQjhGYmlCRmhobTBmSXVvdG9oUVVQdWRaUUdqOUtfYlNCX3NJWmw5cFhfM00zbDNNMHdUU3dxQnAtQ2dDQnl6aUktXzNXMkozNUlkMDg4QjZwd2drSUJ0Z2xSUVZ5aUVLZWNBZG83Z2JEUFN4dzlEOTcxQkJBOHNR0gHnAUFVX3lxTFBMdXphaEtIUUZteHFiU2xOdjZaS1UwdUVCR1FwSjFVWDlsb2NuTVlHaU5Na0FpV3RoNXpSbmlGb1lSSm80R1c4RFhoamJ0WXVOTEFXUkJvQWhtUkdYMnVRSXM0QU1BMHoxdGxVeUlIWGdsUjJkNWlFdkgtS0ItckZGaXlGUVA3OW43U2EzNWZPSi00ZVpkTDNVUDJWSEV6OVR1bFc1YnNBczNQWTNuTHRHdDFKV1JaUnp5cXZ6TGxXNE85d0lOcXIzTGdxeVBNNXZYSjh2N3M3ZzJUYTRYRHM2MFgwVk92aw?oc=5,2024-08-21 06:47:00,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOdkxlRXRlemVoSDY2alRDRFp6VWZJLTJsa3Z3SzRGLWFuN3Z6bHVZTWhEajhQaWM0ZXg0bkVVdElMVFFUZi1aS3dZQ0ZpMG9nZ1NyOG1xaFA0QXcwNUpuaUhHY25YNTEzWFpPQjhGYmlCRmhobTBmSXVvdG9oUVVQdWRaUUdqOUtfYlNCX3NJWmw5cFhfM00zbDNNMHdUU3dxQnAtQ2dDQnl6aUktXzNXMkozNUlkMDg4QjZwd2drSUJ0Z2xSUVZ5aUVLZWNBZG83Z2JEUFN4dzlEOTcxQkJBOHNR0gHnAUFVX3lxTFBMdXphaEtIUUZteHFiU2xOdjZaS1UwdUVCR1FwSjFVWDlsb2NuTVlHaU5Na0FpV3RoNXpSbmlGb1lSSm80R1c4RFhoamJ0WXVOTEFXUkJvQWhtUkdYMnVRSXM0QU1BMHoxdGxVeUlIWGdsUjJkNWlFdkgtS0ItckZGaXlGUVA3OW43U2EzNWZPSi00ZVpkTDNVUDJWSEV6OVR1bFc1YnNBczNQWTNuTHRHdDFKV1JaUnp5cXZ6TGxXNE85d0lOcXIzTGdxeVBNNXZYSjh2N3M3ZzJUYTRYRHM2MFgwVk92aw?oc=5"" target=""_blank"">School Holiday Today? 21 August Bharat Bandh Announced, Updates on Schools, Colleges Closed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
