Title,Link,Date,Source,Summary,Term,LanguageQueried
"17 घंटे बिजली रही गुल, 23 हजार उपभोक्ता हुए परेशान - Hindustan",https://news.google.com/rss/articles/CBMi9AFBVV95cUxQRmNKTTdjN2RfNkNpNkEtT3A0MjhDTFJmOExOanpDdDNsRGVqS2U1QTdaVDNWTzFsYTdyenprU2RqSU1ZWFBNVFNBeDA4OVZsSDliM1pvQmZIN1Uya2FrSXZQWkZtRTJfcGhPdnkxUjlKZ1JIQm1RU1JObTdzN1lqbzM3czBRdzhzYkF0NDAtcU0zSi1kSkI3UlZoWk9HMV9lUjg2MHhzMFpWN0Z6MDV3SEFyWTgzbVdkNjJkUjEtQThHbnEyNHBWN2cwXzQ0aFZmYkN3dHEwQXN4U25fQ3o4aFpiMnYxWWk2bVBiVERkWHVKdjB50gH0AUFVX3lxTFBGY0pNN2M3ZF82Q2k2QS1PcDQyOENMUmY4TE5qekN0M2xEZWpLZTVBN1pUM1ZPMWxhN3J6emtTZGpJTVlYUE1UU0F4MDg5VmxIOWIzWm9CZkg3VTJrYWtJdlBaRm1FMl9waE92eTFSOUpnUkhCbVFTUk5tN3M3WWpvMzdzMFF3OHNiQXQ0MC1xTTNKLWRKQjdSVmhaT0cxX2VSODYweHMwWlY3RnowNXdIQXJZODNtV2Q2MmRSMS1BOEducTI0cFY3ZzBfNDRoVmZiQ3d0cTBBc3hTbl9DejhoWmIydjFZaTZtUGJURGRYdUp2MHk?oc=5,2025-06-11 05:50:55,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQRmNKTTdjN2RfNkNpNkEtT3A0MjhDTFJmOExOanpDdDNsRGVqS2U1QTdaVDNWTzFsYTdyenprU2RqSU1ZWFBNVFNBeDA4OVZsSDliM1pvQmZIN1Uya2FrSXZQWkZtRTJfcGhPdnkxUjlKZ1JIQm1RU1JObTdzN1lqbzM3czBRdzhzYkF0NDAtcU0zSi1kSkI3UlZoWk9HMV9lUjg2MHhzMFpWN0Z6MDV3SEFyWTgzbVdkNjJkUjEtQThHbnEyNHBWN2cwXzQ0aFZmYkN3dHEwQXN4U25fQ3o4aFpiMnYxWWk2bVBiVERkWHVKdjB50gH0AUFVX3lxTFBGY0pNN2M3ZF82Q2k2QS1PcDQyOENMUmY4TE5qekN0M2xEZWpLZTVBN1pUM1ZPMWxhN3J6emtTZGpJTVlYUE1UU0F4MDg5VmxIOWIzWm9CZkg3VTJrYWtJdlBaRm1FMl9waE92eTFSOUpnUkhCbVFTUk5tN3M3WWpvMzdzMFF3OHNiQXQ0MC1xTTNKLWRKQjdSVmhaT0cxX2VSODYweHMwWlY3RnowNXdIQXJZODNtV2Q2MmRSMS1BOEducTI0cFY3ZzBfNDRoVmZiQ3d0cTBBc3hTbl9DejhoWmIydjFZaTZtUGJURGRYdUp2MHk?oc=5"" target=""_blank"">17 घंटे बिजली रही गुल, 23 हजार उपभोक्ता हुए परेशान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"Heavy Rain Alert: 12,13,14,15 और 16 जून को भारी से बहुत भारी बारिश, मौसम का रौद्र रूप, IMD का हाई अलर्ट - Prabhat Khabar",https://news.google.com/rss/articles/CBMiywFBVV95cUxQX3pFcjE0bGtJcGx3WU9mSUpHa2J2UkhSMUtIcEtXV3ZtQ1FpX0Z2dW9mSnF3M2ZObzlscUNLal95Y3Jmc2FHcXhKVzN0dFRPZVBYaGVkbENPREk1RUVUTFFqZHhRSU9UYXFOM1lhLUpteXNHdTRra3ZpUGNmOGZDcEVCVGxEaHJfbHVjdXNJYlFmaVJlQ1M4U05iM0ktaHlnVGFKMERhNXA1Rlc0WUtZZ2FpeHZWcXhGNnl4U1hUUl9NR3NKdU10MngtWdIB0AFBVV95cUxNLWlXcF9PSy0wMzcteWE3RWdRZnNsUTlSRjF4djlidndiLUVXZncyeF9GaWxnYmNyYXAyaTBlaE5pN1liVXRZOEZEU2kxekhRdzM2eF9hWHM3VVN3Szd6bnJNNUNPTlpfYk5zMVVtR29ER0x1ZG5NM2dxRTFaNFppd0NhX1dweHVQcE50dGhOWEdySS1TQ0lxd2lPRVdmRGFtTzRVNVBCdU41YnRaZWR1ckgtRmdWTFU5MkpPc3NsMko1SEJWX3ZaZWhXNjJRLUxk?oc=5,2025-06-10 19:31:06,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQX3pFcjE0bGtJcGx3WU9mSUpHa2J2UkhSMUtIcEtXV3ZtQ1FpX0Z2dW9mSnF3M2ZObzlscUNLal95Y3Jmc2FHcXhKVzN0dFRPZVBYaGVkbENPREk1RUVUTFFqZHhRSU9UYXFOM1lhLUpteXNHdTRra3ZpUGNmOGZDcEVCVGxEaHJfbHVjdXNJYlFmaVJlQ1M4U05iM0ktaHlnVGFKMERhNXA1Rlc0WUtZZ2FpeHZWcXhGNnl4U1hUUl9NR3NKdU10MngtWdIB0AFBVV95cUxNLWlXcF9PSy0wMzcteWE3RWdRZnNsUTlSRjF4djlidndiLUVXZncyeF9GaWxnYmNyYXAyaTBlaE5pN1liVXRZOEZEU2kxekhRdzM2eF9hWHM3VVN3Szd6bnJNNUNPTlpfYk5zMVVtR29ER0x1ZG5NM2dxRTFaNFppd0NhX1dweHVQcE50dGhOWEdySS1TQ0lxd2lPRVdmRGFtTzRVNVBCdU41YnRaZWR1ckgtRmdWTFU5MkpPc3NsMko1SEJWX3ZaZWhXNjJRLUxk?oc=5"" target=""_blank"">Heavy Rain Alert: 12,13,14,15 और 16 जून को भारी से बहुत भारी बारिश, मौसम का रौद्र रूप, IMD का हाई अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Disaster,hi
"LIVE Weather News 11 June 2025: आग उगल रही धरती, दिल्ली-NCR में भयंकर गर्मी; कैसा रहेगा आज का हाल? जानें IMD अपडेट - News24 Hindi",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOcHhWM0gwT1lWXzhlZVBwTHpkekE3MUszOXY1emczQmdicHREVFhmVkd6ME1rV2ZZbGJVWDhFMks5ODlzQ3FyS2ExRHVzSVNsZ1JEM29NYXQ5aUxwbUxXMlNpaEI2Wm9ETnVMdUxXSHZYOHdhSHJiS05aSnpabzBpMDhIbnkwY0tMc0NmWmJLYmpCZXRRaUlUSmtaYjV5SndQa0Y4NW1JNWxINWxsYkhBbW5ZdmlVOUZEejZSbDNnT0FIc2M0ZjFXYQ?oc=5,2025-06-11 09:16:25,News24 Hindi,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOcHhWM0gwT1lWXzhlZVBwTHpkekE3MUszOXY1emczQmdicHREVFhmVkd6ME1rV2ZZbGJVWDhFMks5ODlzQ3FyS2ExRHVzSVNsZ1JEM29NYXQ5aUxwbUxXMlNpaEI2Wm9ETnVMdUxXSHZYOHdhSHJiS05aSnpabzBpMDhIbnkwY0tMc0NmWmJLYmpCZXRRaUlUSmtaYjV5SndQa0Y4NW1JNWxINWxsYkhBbW5ZdmlVOUZEejZSbDNnT0FIc2M0ZjFXYQ?oc=5"" target=""_blank"">LIVE Weather News 11 June 2025: आग उगल रही धरती, दिल्ली-NCR में भयंकर गर्मी; कैसा रहेगा आज का हाल? जानें IMD अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News24 Hindi</font>",Disaster,hi
"बारिश से पहले क्यों आता है तेज तूफान?, जानिए मौसम के इस बदलाव का विज्ञान और इसका असर आपके इलाके पर - MP Breaking News",https://news.google.com/rss/articles/CBMitAFBVV95cUxNNFJIaG5pbDZXYlRnaDJTQXN5dG1TX3pTY0xrMHJweFdnR1UwOC03U1hVMWVfbkZ6bnFXc3lzeFVGNU5KdkJqUlota093eGlRMXhzSzRORTJlRGVKXzY4dU43YTd5RWdHRlJ2RDdzRVhsN2RUUllQT0JMUmp0R0lCVFRwWTdwdGZSSHBsTlBPOVF6ZWVUd2xMRHVtV053M2R6LXp1V2RpRVB4MVAxWGdxeVJvX2w?oc=5,2025-06-10 19:04:03,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNNFJIaG5pbDZXYlRnaDJTQXN5dG1TX3pTY0xrMHJweFdnR1UwOC03U1hVMWVfbkZ6bnFXc3lzeFVGNU5KdkJqUlota093eGlRMXhzSzRORTJlRGVKXzY4dU43YTd5RWdHRlJ2RDdzRVhsN2RUUllQT0JMUmp0R0lCVFRwWTdwdGZSSHBsTlBPOVF6ZWVUd2xMRHVtV053M2R6LXp1V2RpRVB4MVAxWGdxeVJvX2w?oc=5"" target=""_blank"">बारिश से पहले क्यों आता है तेज तूफान?, जानिए मौसम के इस बदलाव का विज्ञान और इसका असर आपके इलाके पर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Disaster,hi
"गर्मी का टॉर्चर… हिमाचल में दिल्ली जितना तापमान, लोगों का हाल बेहाल - TV9 Bharatvarsh",https://news.google.com/rss/articles/CBMizwFBVV95cUxOTWxpUW1kV0V3RnJmSG42aXpZLURiR1k1Sk1ham9lUEwwYWZLd3ZLYjhOZWZUTF9FNjZSZEhyTkpzU3BfSC1DZkhzR2hmUldCeGt1MWp1WS15OFRiSk9BYmJzTm5zWEZ0N2ZZV0ZGZWEtY1Qtekl6QjFib2huUHJ0Ti1hamc5U2w5RjY2M1VZaE1hNEk0TXNVVVV6Y0F4ODJwejZfbk9CMnhsOHNheE1TSGhsdXJVd1NtOFVEenV2eVNiWk5PNzFjVXNoaGZWT2_SAdQBQVVfeXFMTzRsdWtIUHpnUmRFcUJvNVVvTGsxenUwX3BtbDUwNnlkZG5KM2ptOHQ4bkxORW5FLVVUOVhJWFI2UGFCbG1DRGZaY01lZE44Z1VPZnJSb0tlQ3gyQ1dfdG1EdFRTQlkweC1Vc1o5eG9oQ2dlU2tCUG1pQ2NlbmMyQlNNZ051VjEtR3Q1QWZXOXYyQllXUEN4OVlfUjJIOGszekxpNjVnb1BHdGpkTllBVE0tM2ZJMEtpczF1dVlNc1VBV0M2WkhfUW93SFdNOFNja2Z6bFk?oc=5,2025-06-10 15:24:46,TV9 Bharatvarsh,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOTWxpUW1kV0V3RnJmSG42aXpZLURiR1k1Sk1ham9lUEwwYWZLd3ZLYjhOZWZUTF9FNjZSZEhyTkpzU3BfSC1DZkhzR2hmUldCeGt1MWp1WS15OFRiSk9BYmJzTm5zWEZ0N2ZZV0ZGZWEtY1Qtekl6QjFib2huUHJ0Ti1hamc5U2w5RjY2M1VZaE1hNEk0TXNVVVV6Y0F4ODJwejZfbk9CMnhsOHNheE1TSGhsdXJVd1NtOFVEenV2eVNiWk5PNzFjVXNoaGZWT2_SAdQBQVVfeXFMTzRsdWtIUHpnUmRFcUJvNVVvTGsxenUwX3BtbDUwNnlkZG5KM2ptOHQ4bkxORW5FLVVUOVhJWFI2UGFCbG1DRGZaY01lZE44Z1VPZnJSb0tlQ3gyQ1dfdG1EdFRTQlkweC1Vc1o5eG9oQ2dlU2tCUG1pQ2NlbmMyQlNNZ051VjEtR3Q1QWZXOXYyQllXUEN4OVlfUjJIOGszekxpNjVnb1BHdGpkTllBVE0tM2ZJMEtpczF1dVlNc1VBV0M2WkhfUW93SFdNOFNja2Z6bFk?oc=5"" target=""_blank"">गर्मी का टॉर्चर… हिमाचल में दिल्ली जितना तापमान, लोगों का हाल बेहाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TV9 Bharatvarsh</font>",Disaster,hi
"Weather Update: यूपी में हीटवेव का कहर! नौतपा में बेहाल हुए लोग, घरों में कैद होने को मजबूर, आगे भी नहीं मिलने वाली राहत - gnttv.com",https://news.google.com/rss/articles/CBMizwFBVV95cUxQRldvOGZSQnBNMnNQZmpUQUEyVUlzOHgycUNMcG5zZlJpbnJIYV9RZ0F3dXprVVhZbFZacDF1b3NHQkFFSUk0bl91NnFITmhrOFJ0aEFoM3hMOUxvZ3ROeVZ1eW53ZjM5YmozT1A5bFo0aXJWSjFvY3VvSW04cnI2S1BUNFU3bjZxR1lfd1M5NXpoaUFkekxMeXdPeXFTX2FNU25iclhGb2ZZeDJ0Si15VmpCTTFWVEtHN2M5cW5lTmxYampxVDhhb3VQcjRXYVHSAdQBQVVfeXFMTmNNVjhESDlMaTZWMS10WWYxM2h1bDZZSmpyVlMwT0VRWHFSNXlHWVR1UnlydHlQR0pPdHdxRFFnTUdlWGlCM1RHZ0F4VFFJZGVib0RMTU1ock9LRkhxdEkwLTFoR1VtYUJRdjdWc2pOWXJPRzA1clZQN1AwaURDVzhnN0xOdGdRYXE5MDdyeWtJUF8wT0JrTXdqalVKdzE1dzd0VkdaZTVHYm9HTWxxTGx3V2JGYVNkQk1zY2tnTnV4S1U3dDlZeDFLb3FCdmREVTh0d3o?oc=5,2025-06-10 11:43:12,gnttv.com,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQRldvOGZSQnBNMnNQZmpUQUEyVUlzOHgycUNMcG5zZlJpbnJIYV9RZ0F3dXprVVhZbFZacDF1b3NHQkFFSUk0bl91NnFITmhrOFJ0aEFoM3hMOUxvZ3ROeVZ1eW53ZjM5YmozT1A5bFo0aXJWSjFvY3VvSW04cnI2S1BUNFU3bjZxR1lfd1M5NXpoaUFkekxMeXdPeXFTX2FNU25iclhGb2ZZeDJ0Si15VmpCTTFWVEtHN2M5cW5lTmxYampxVDhhb3VQcjRXYVHSAdQBQVVfeXFMTmNNVjhESDlMaTZWMS10WWYxM2h1bDZZSmpyVlMwT0VRWHFSNXlHWVR1UnlydHlQR0pPdHdxRFFnTUdlWGlCM1RHZ0F4VFFJZGVib0RMTU1ock9LRkhxdEkwLTFoR1VtYUJRdjdWc2pOWXJPRzA1clZQN1AwaURDVzhnN0xOdGdRYXE5MDdyeWtJUF8wT0JrTXdqalVKdzE1dzd0VkdaZTVHYm9HTWxxTGx3V2JGYVNkQk1zY2tnTnV4S1U3dDlZeDFLb3FCdmREVTh0d3o?oc=5"" target=""_blank"">Weather Update: यूपी में हीटवेव का कहर! नौतपा में बेहाल हुए लोग, घरों में कैद होने को मजबूर, आगे भी नहीं मिलने वाली राहत</a>&nbsp;&nbsp;<font color=""#6f6f6f"">gnttv.com</font>",Disaster,hi
बबराला में गर्मी में बिजली ट्रिपिंग से लोग परेशान - Hindustan,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQaUpOdU1pbnBpWUtyZ29pczRJQkl4dXBkWS1tT29vUnJjU05scWZHVmZ2c0NFSTg0S2F5ZkhMb2ROdTk3azFqUmd2Q016MjZIMGthbjVGQ1RqcHk0Smc1SkRvN0FjNlZjQWhUTHJheThJajdmZ0dUaWJmLUN1b2I2bFRycm5CQzBwNXdWV09hTzVueHhpSWVCb2FUV3VOYmNuaGpNZEFob1M0YWpVRlZRa09FNk80VU1mUk4yakxfTG5TUEU3UXpLbjc3ejRTamJZYnJqcVZ6YU1aZzZlNDFUUVYtMU5rRDdVYm14QWdB0gHuAUFVX3lxTFBpSk51TWlucGlZS3Jnb2lzNElCSXh1cGRZLW1Pb29ScmNTTmxxZkdWZnZzQ0VJODRLYXlmSExvZE51OTdrMWpSZ3ZDTXoyNkgwa2FuNUZDVGpweTRKZzVKRG83QWM2VmNBaFRMcmF5OElqN2ZnR1RpYmYtQ3VvYjZsVHJybkJDMHA1d1ZXT2FPNW54eGlJZUJvYVRXdU5iY25oak1kQWhvUzRhalVGVlFrT0U2TzRVTWZSTjJqTF9MblNQRTdRektuNzd6NFNqYllicmpxVnphTVpnNmU0MVRRVi0xTmtEN1VibXhBZ0E?oc=5,2025-06-11 03:44:55,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQaUpOdU1pbnBpWUtyZ29pczRJQkl4dXBkWS1tT29vUnJjU05scWZHVmZ2c0NFSTg0S2F5ZkhMb2ROdTk3azFqUmd2Q016MjZIMGthbjVGQ1RqcHk0Smc1SkRvN0FjNlZjQWhUTHJheThJajdmZ0dUaWJmLUN1b2I2bFRycm5CQzBwNXdWV09hTzVueHhpSWVCb2FUV3VOYmNuaGpNZEFob1M0YWpVRlZRa09FNk80VU1mUk4yakxfTG5TUEU3UXpLbjc3ejRTamJZYnJqcVZ6YU1aZzZlNDFUUVYtMU5rRDdVYm14QWdB0gHuAUFVX3lxTFBpSk51TWlucGlZS3Jnb2lzNElCSXh1cGRZLW1Pb29ScmNTTmxxZkdWZnZzQ0VJODRLYXlmSExvZE51OTdrMWpSZ3ZDTXoyNkgwa2FuNUZDVGpweTRKZzVKRG83QWM2VmNBaFRMcmF5OElqN2ZnR1RpYmYtQ3VvYjZsVHJybkJDMHA1d1ZXT2FPNW54eGlJZUJvYVRXdU5iY25oak1kQWhvUzRhalVGVlFrT0U2TzRVTWZSTjJqTF9MblNQRTdRektuNzd6NFNqYllicmpxVnphTVpnNmU0MVRRVi0xTmtEN1VibXhBZ0E?oc=5"" target=""_blank"">बबराला में गर्मी में बिजली ट्रिपिंग से लोग परेशान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
बीएमसी को 2015 में होटल में लगी आग के पीड़ितों के परिजनों को 50-50 लाख रुपये मुआवजा देने का आदेश - IBC24 News,https://news.google.com/rss/articles/CBMixgFBVV95cUxNQkcxb2l0Q3pWeUhnSGMxQmtQSXprSGVWTjItUncyeTdGbXlQMjl5czFydFlKWm5xbnBXR1V0MHBPaUozZk1zSTFCNW5rUDQ3MlloN1ZjR190NTN0cGlFVDFpUnNTUi1FdTlWLWx1Y0xRWDlZc0h2Z2NPYkVTU2IxdVhHN3RsRGlCT2tnOFM5bDRFWmtLbXZVZ1RmbU4zMUNtemFZb2VwYjRES1dnbVk4bEdkRnNnaTBVSGN3MEk4VjY5OEdWREHSAcsBQVVfeXFMT3dGdmRZOWpvZjNYODZmMXA1dmt6SGRsUC1zNF9iNlNrTUhiTGNDODBpc3lfeTNPVVRjcVFzM0xUUDktN0dOcEZuZU16VmhkUmhtQ3owMktVWWlRNkNORnZjeGNWSElReEl4aDhtalRuSGJxZTYtWXJQdFNOTXZHa2NFaHd4WmpjLUtncXhsUFkyZnRxUU1CZ3lhaWh4aHZfVUZsU1ZkbWctWHhjOUgyNElWQzllX1NvR2lwUXkyNk1YZUs1N1JxbGc2TVE?oc=5,2025-06-10 19:28:00,IBC24 News,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNQkcxb2l0Q3pWeUhnSGMxQmtQSXprSGVWTjItUncyeTdGbXlQMjl5czFydFlKWm5xbnBXR1V0MHBPaUozZk1zSTFCNW5rUDQ3MlloN1ZjR190NTN0cGlFVDFpUnNTUi1FdTlWLWx1Y0xRWDlZc0h2Z2NPYkVTU2IxdVhHN3RsRGlCT2tnOFM5bDRFWmtLbXZVZ1RmbU4zMUNtemFZb2VwYjRES1dnbVk4bEdkRnNnaTBVSGN3MEk4VjY5OEdWREHSAcsBQVVfeXFMT3dGdmRZOWpvZjNYODZmMXA1dmt6SGRsUC1zNF9iNlNrTUhiTGNDODBpc3lfeTNPVVRjcVFzM0xUUDktN0dOcEZuZU16VmhkUmhtQ3owMktVWWlRNkNORnZjeGNWSElReEl4aDhtalRuSGJxZTYtWXJQdFNOTXZHa2NFaHd4WmpjLUtncXhsUFkyZnRxUU1CZ3lhaWh4aHZfVUZsU1ZkbWctWHhjOUgyNElWQzllX1NvR2lwUXkyNk1YZUs1N1JxbGc2TVE?oc=5"" target=""_blank"">बीएमसी को 2015 में होटल में लगी आग के पीड़ितों के परिजनों को 50-50 लाख रुपये मुआवजा देने का आदेश</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBC24 News</font>",Disaster,hi
"Kanpur News: सूरज की आग से झुलसा उत्तर भारत, कानपुर सबसे गर्म, जानें कल कैसा रहेगा मौसम | News Track in... - Newstrack",https://news.google.com/rss/articles/CBMi6wFBVV95cUxNYVJfcEhmUXltdE1YTE1Jc0tWT1ZLTjdqTmUzUVpadlE1TWVROVlqRlp1ZjVyc1VsTXcyTEgzNXJpbkxUR3Itc2tOREYweWFhVnV6WVlsb1FmSzJHNTZhODlLZi1VMmtCendSLW5hT04zcHJMZmowLWNzcFVGZ0pSMkVLVUg3NUZETmp1NDh3Q2ZHanJkYkxjcWtPV2hFYWJtZXlQXzdKMEI3a3hrbXRhblR5dGcwV256cXBacnBFWEhPcHZwQS1TdXBtMmU3M1ZCcHB5X2U1LURGeldkaTk4WXFQckdIU05JeE1Z0gHwAUFVX3lxTE5jN0ctTUh5ZVBSX2czVGJ1aU5YQTZCSTNIa2RJSUozUzFNVFV4NFI2ZVZpVGtfSi1pWmlDOXk5ME1TSVJsbTBHV3VqeEk2c0F2TFNsbERkVGtmOTZYc2lCMk5OVUpGVDBfQ3BBNW41cnAtRElxWG83ZXVrRkpyRHhqckJ0bGxYMmlBTE1IVXFCOEcweWZlbGVXSGFfcUhoM25NWWt5U2xWZzBXd1BweHM3N3FnSUd5R0hUOWE5Mm50SDc3bENsYnREVUZtXzlfVy1YSXBjVVFYdnU1Sl9qTzVablEwRUNIRmV6dGI4cFg0ZQ?oc=5,2025-06-10 22:15:42,Newstrack,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNYVJfcEhmUXltdE1YTE1Jc0tWT1ZLTjdqTmUzUVpadlE1TWVROVlqRlp1ZjVyc1VsTXcyTEgzNXJpbkxUR3Itc2tOREYweWFhVnV6WVlsb1FmSzJHNTZhODlLZi1VMmtCendSLW5hT04zcHJMZmowLWNzcFVGZ0pSMkVLVUg3NUZETmp1NDh3Q2ZHanJkYkxjcWtPV2hFYWJtZXlQXzdKMEI3a3hrbXRhblR5dGcwV256cXBacnBFWEhPcHZwQS1TdXBtMmU3M1ZCcHB5X2U1LURGeldkaTk4WXFQckdIU05JeE1Z0gHwAUFVX3lxTE5jN0ctTUh5ZVBSX2czVGJ1aU5YQTZCSTNIa2RJSUozUzFNVFV4NFI2ZVZpVGtfSi1pWmlDOXk5ME1TSVJsbTBHV3VqeEk2c0F2TFNsbERkVGtmOTZYc2lCMk5OVUpGVDBfQ3BBNW41cnAtRElxWG83ZXVrRkpyRHhqckJ0bGxYMmlBTE1IVXFCOEcweWZlbGVXSGFfcUhoM25NWWt5U2xWZzBXd1BweHM3N3FnSUd5R0hUOWE5Mm50SDc3bENsYnREVUZtXzlfVy1YSXBjVVFYdnU1Sl9qTzVablEwRUNIRmV6dGI4cFg0ZQ?oc=5"" target=""_blank"">Kanpur News: सूरज की आग से झुलसा उत्तर भारत, कानपुर सबसे गर्म, जानें कल कैसा रहेगा मौसम | News Track in...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Newstrack</font>",Disaster,hi
"भारत की पहली महिला डॉक्टर की रियल लाइफ स्टोरी पर बनी है ये फिल्म, IMDb पर भी मिली है 8.7 की रेटिंग - MP Breaking News",https://news.google.com/rss/articles/CBMi9AFBVV95cUxPT1lpWXpKU3d6YlhpYzJ3ZnZrOVl0MzBwODlYOS03NnRmS3pVYzF5cjhQSVUzdXdCMEtHOERpTHhmTTMxU3N0aHdrWnpTMkZYalg0XzZyZ3p6NWNIY0Rpb0dsYXROQm9DVE53TnlnZkRaSlRUY0RyYURkdlFHeU9rY2pDYTJJMktrbUROX2RzeUJzUTFydmx6M1Q2aGN2OWROYXV5ZmNFUGVGQk1VYVVTSkVmYUJPbTl2NmRzc2NnM3VCMU9YRlM0TmRCWDl3QXNwbE9xZThLNFkzUlN2X2NrQ3NRTVNuRkxCWGRIYno1NUo2aDJS?oc=5,2025-06-10 20:04:19,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxPT1lpWXpKU3d6YlhpYzJ3ZnZrOVl0MzBwODlYOS03NnRmS3pVYzF5cjhQSVUzdXdCMEtHOERpTHhmTTMxU3N0aHdrWnpTMkZYalg0XzZyZ3p6NWNIY0Rpb0dsYXROQm9DVE53TnlnZkRaSlRUY0RyYURkdlFHeU9rY2pDYTJJMktrbUROX2RzeUJzUTFydmx6M1Q2aGN2OWROYXV5ZmNFUGVGQk1VYVVTSkVmYUJPbTl2NmRzc2NnM3VCMU9YRlM0TmRCWDl3QXNwbE9xZThLNFkzUlN2X2NrQ3NRTVNuRkxCWGRIYno1NUo2aDJS?oc=5"" target=""_blank"">भारत की पहली महिला डॉक्टर की रियल लाइफ स्टोरी पर बनी है ये फिल्म, IMDb पर भी मिली है 8.7 की रेटिंग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Disaster,hi
