Title,Link,Date,Source,Summary,Term,LanguageQueried
"Video | Weather News: Gujarat, Himachal Pradesh, Uttarakhand से बारिश से हाल बेहाल | Monsoon | NDTV India - NDTV.in",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOazdRS09QSlBkVDRBc0l6UjlIZ254RDlBWW5DeWtGdjJ4OUNHTm1CbFgxXzFUTjZxQXVNRWNBMDREMzNzakROTkVWUjRKQjJaT2s0dHl6b3VpYlUtS2RVLWYxNWh2dkRVSWRqUVg3VE1sSWNnbWFTWC05VVVESGF4Y1hZdjZULXI1Vnd4YjBBQWFFTUxVMW4ySWNmQXZ1VHVEbnNyZlh0N2p3Vmw1dGppbHBsQTV3N3U5dW5VVEZSemlYWll3Sy1JSA?oc=5,2025-06-25 19:54:23,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOazdRS09QSlBkVDRBc0l6UjlIZ254RDlBWW5DeWtGdjJ4OUNHTm1CbFgxXzFUTjZxQXVNRWNBMDREMzNzakROTkVWUjRKQjJaT2s0dHl6b3VpYlUtS2RVLWYxNWh2dkRVSWRqUVg3VE1sSWNnbWFTWC05VVVESGF4Y1hZdjZULXI1Vnd4YjBBQWFFTUxVMW4ySWNmQXZ1VHVEbnNyZlh0N2p3Vmw1dGppbHBsQTV3N3U5dW5VVEZSemlYWll3Sy1JSA?oc=5"" target=""_blank"">Video | Weather News: Gujarat, Himachal Pradesh, Uttarakhand से बारिश से हाल बेहाल | Monsoon | NDTV India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Chhattisgarh Weather : मानसून ने पकड़ी रफ्तार, आज भी कई जिलों में भारी बारिश का अलर्ट, बिजली मेघगर्जन-तेज हवा, पढ़े मौसम विभाग का अपडेट - MP Breaking News",https://news.google.com/rss/articles/CBMi_gFBVV95cUxPbWtXOVJWSWFaYmpVaHZ4WWw3RnZlN0ZCNEZTcXJhUEoyQ2hETjFUT3RtekFkQmZJSTcyYUlFdGpyTHB0VFhvTHlUWEhkcDlDQ2Rya2JoSEljOWdtRnFyWXpnN1FheF9QQ0JsTGxFUmxRV0tXejdVcU5vRlplRVBwQWFlVTFWU2lMWDdFTlNRRUZhYXBaRXZKcmRwLVoxM3NFUWRHUzhFS3pYcFNCbTdwNndLNnlYbTNVZFJpREdDNlkxWTlva29wLXNxSnF1VUROaDR2TXVvUWNWSFlYdHhPRm82TFJja0N2dDZha2Fpck5SanhlbXZnQjRjTm96Zw?oc=5,2025-06-25 14:32:46,MP Breaking News,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxPbWtXOVJWSWFaYmpVaHZ4WWw3RnZlN0ZCNEZTcXJhUEoyQ2hETjFUT3RtekFkQmZJSTcyYUlFdGpyTHB0VFhvTHlUWEhkcDlDQ2Rya2JoSEljOWdtRnFyWXpnN1FheF9QQ0JsTGxFUmxRV0tXejdVcU5vRlplRVBwQWFlVTFWU2lMWDdFTlNRRUZhYXBaRXZKcmRwLVoxM3NFUWRHUzhFS3pYcFNCbTdwNndLNnlYbTNVZFJpREdDNlkxWTlva29wLXNxSnF1VUROaDR2TXVvUWNWSFlYdHhPRm82TFJja0N2dDZha2Fpck5SanhlbXZnQjRjTm96Zw?oc=5"" target=""_blank"">Chhattisgarh Weather : मानसून ने पकड़ी रफ्तार, आज भी कई जिलों में भारी बारिश का अलर्ट, बिजली मेघगर्जन-तेज हवा, पढ़े मौसम विभाग का अपडेट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MP Breaking News</font>",Disaster,hi
"IMD Predicts Heavy Rain Today: भयंकर बारिश से बाढ़ का अनुमान.. मौसम विभाग की गंभीर चेतावनी के बाद अलर्ट पर प्रशासन, स्कूलों को किया गया बंद - IBC24 News",https://news.google.com/rss/articles/CBMiwwFBVV95cUxNYmZFa2VmNGlKUVVwOW5FY0RoRGdyY1l4aGlrNGVVY00ybFdwZUF2Mi1xSzRxcF9JMUdGbUJBcnBXT0FYcHRnWC1sQnpERnludXdMQU0wajV0MWo0UjZXN2tRenUyaDZIbUd5cjFqVEtIRGNDQkxxWUNOV01SQ3lvSzBfUnlGWHlXUzJXQXBRVW1naGZldkkwby14dF9DV0g4dVd4SDlFVFJVSE9Bc2tMalJLUUxSUExkbUdLSkRBWUVaWGPSAcgBQVVfeXFMUEFINXB4bkJWVHpNR1pwMHVlUWpXV0Nkb00xUTllYUVPOGVidDl2UnMweDZKMTF2a1RJSmhTbE1FdFZueWZtbWhfNm16M1l5UnFyWmRQM2tyWjRFck5ISVJ4MzV5VVZWYU9oc1dqQ3pEcU9MSGVPelp5SUNkX0h2ZXJ2cFVrNS1weHNFdGVFYUpsNnZBU1R3RFlrVEpnLXYydU81ZUtVbGN5RGU0akpuU0thU0xQWkhnUXU3WkxoMUVWWURSMW1xYVY?oc=5,2025-06-26 07:30:00,IBC24 News,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNYmZFa2VmNGlKUVVwOW5FY0RoRGdyY1l4aGlrNGVVY00ybFdwZUF2Mi1xSzRxcF9JMUdGbUJBcnBXT0FYcHRnWC1sQnpERnludXdMQU0wajV0MWo0UjZXN2tRenUyaDZIbUd5cjFqVEtIRGNDQkxxWUNOV01SQ3lvSzBfUnlGWHlXUzJXQXBRVW1naGZldkkwby14dF9DV0g4dVd4SDlFVFJVSE9Bc2tMalJLUUxSUExkbUdLSkRBWUVaWGPSAcgBQVVfeXFMUEFINXB4bkJWVHpNR1pwMHVlUWpXV0Nkb00xUTllYUVPOGVidDl2UnMweDZKMTF2a1RJSmhTbE1FdFZueWZtbWhfNm16M1l5UnFyWmRQM2tyWjRFck5ISVJ4MzV5VVZWYU9oc1dqQ3pEcU9MSGVPelp5SUNkX0h2ZXJ2cFVrNS1weHNFdGVFYUpsNnZBU1R3RFlrVEpnLXYydU81ZUtVbGN5RGU0akpuU0thU0xQWkhnUXU3WkxoMUVWWURSMW1xYVY?oc=5"" target=""_blank"">IMD Predicts Heavy Rain Today: भयंकर बारिश से बाढ़ का अनुमान.. मौसम विभाग की गंभीर चेतावनी के बाद अलर्ट पर प्रशासन, स्कूलों को किया गया बंद</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBC24 News</font>",Disaster,hi
"मौसम- मध्य प्रदेश के तीन जिलों में मूसलाधार, 11 जिलों में भारी बारिश हुई, मानसून का पहला राउंड - Bhopal Samachar",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5HN19BQzUyRjJ2MkkxQ29jODZZcnk5bUoxY0dBNFRlZFB3OUZzSmt4VFAtU1NyRlJTT0xwd3ZzMXZLSnlDRGd5RUNYeFMwSVg4cjYtTTJSb2dwQQ?oc=5,2025-06-25 13:25:00,Bhopal Samachar,"<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE5HN19BQzUyRjJ2MkkxQ29jODZZcnk5bUoxY0dBNFRlZFB3OUZzSmt4VFAtU1NyRlJTT0xwd3ZzMXZLSnlDRGd5RUNYeFMwSVg4cjYtTTJSb2dwQQ?oc=5"" target=""_blank"">मौसम- मध्य प्रदेश के तीन जिलों में मूसलाधार, 11 जिलों में भारी बारिश हुई, मानसून का पहला राउंड</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhopal Samachar</font>",Disaster,hi
"Weather Update : हिमाचल प्रदेश के कुल्लू में बादल फटने से मची तबाही, हल्द्वानी में नहर में गिरी कार, वायनाड में बाढ़ और भूस्खलन की चेतावनी - Webdunia",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNVWI5emQxZEkwM2drbVZjbENuamxhU1VGMnVmX19NQlZBZHFWZTB4R2JkUUlZMGhlSk9WMlZPSzJzak9GSHFLSXUtbkpqNjNuMUNPRkdPcW9FZEFrZGV5VUdKTGFYOVlJZTB5dk5KeGpXbHBKcGd2dUNMUEY1R1A2S1VHdHNSbnZkeG5vT1NWVG9lX3RmTWVOX2tXalJGQWNuOVR6b2x1aUFNSEhXTXRYUGs0V1J3MzAyUlZ4MXVhdkE5SGNmY3hQcW03OTgtYkI0ZUR5aEp3T0FUdERvYXljd25GOHFTdw?oc=5,2025-06-25 19:35:00,Webdunia,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNVWI5emQxZEkwM2drbVZjbENuamxhU1VGMnVmX19NQlZBZHFWZTB4R2JkUUlZMGhlSk9WMlZPSzJzak9GSHFLSXUtbkpqNjNuMUNPRkdPcW9FZEFrZGV5VUdKTGFYOVlJZTB5dk5KeGpXbHBKcGd2dUNMUEY1R1A2S1VHdHNSbnZkeG5vT1NWVG9lX3RmTWVOX2tXalJGQWNuOVR6b2x1aUFNSEhXTXRYUGs0V1J3MzAyUlZ4MXVhdkE5SGNmY3hQcW03OTgtYkI0ZUR5aEp3T0FUdERvYXljd25GOHFTdw?oc=5"" target=""_blank"">Weather Update : हिमाचल प्रदेश के कुल्लू में बादल फटने से मची तबाही, हल्द्वानी में नहर में गिरी कार, वायनाड में बाढ़ और भूस्खलन की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Webdunia</font>",Disaster,hi
"राजस्थान में बारिश का दौर जारी, दिल्ली-हरियाणा में अभी भी मानसून का इंतजार, जानें कैसा रहेगा मौसम का हाल - timesnowhindi.com",https://news.google.com/rss/articles/CBMipwJBVV95cUxPMEkzZ0xFQTUtQnpyeVdMaVFMY2tJNTdWQ0FTQUlpQ1JnSXJaT2R5d3RkRkZfV295dzNYTDdHMjk4M0VWNlFlMExFUm9PNGR3Tl80MlhzOG1hbEJZQng2U0VqN1AxZTZ5ektFQmtGSGViNl9UX0lqUDRTMmQzMWRRd2tKV09xNEdtbklHbk5qeF8wWWFmZWx2bmduZW4yTWl3bmI0bU9nUEJsVUY3c0NZTjl5M0FsNThEd002bXJ4OF9jb0tMMkdYVmtPV2NNVzBSOEVPWGRkcnRldnV5WVBkdVc3VVgwQXJCU1hpZUh3blF3LS12bVdsOXJ2NzNocHc4cG1aVUhnVXd6WkRad0lld3BIUzBOYm9acGpDZmZqR0FoVDRoRFVj?oc=5,2025-06-25 20:08:16,timesnowhindi.com,"<a href=""https://news.google.com/rss/articles/CBMipwJBVV95cUxPMEkzZ0xFQTUtQnpyeVdMaVFMY2tJNTdWQ0FTQUlpQ1JnSXJaT2R5d3RkRkZfV295dzNYTDdHMjk4M0VWNlFlMExFUm9PNGR3Tl80MlhzOG1hbEJZQng2U0VqN1AxZTZ5ektFQmtGSGViNl9UX0lqUDRTMmQzMWRRd2tKV09xNEdtbklHbk5qeF8wWWFmZWx2bmduZW4yTWl3bmI0bU9nUEJsVUY3c0NZTjl5M0FsNThEd002bXJ4OF9jb0tMMkdYVmtPV2NNVzBSOEVPWGRkcnRldnV5WVBkdVc3VVgwQXJCU1hpZUh3blF3LS12bVdsOXJ2NzNocHc4cG1aVUhnVXd6WkRad0lld3BIUzBOYm9acGpDZmZqR0FoVDRoRFVj?oc=5"" target=""_blank"">राजस्थान में बारिश का दौर जारी, दिल्ली-हरियाणा में अभी भी मानसून का इंतजार, जानें कैसा रहेगा मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">timesnowhindi.com</font>",Disaster,hi
"दिल्ली-हरियाणा और पंजाब समेत इन 12 राज्यों में तेज बारिश का अलर्ट, पढ़ें IMD की लेटेस्ट रिपोर्ट - Krishi Jagran Hindi",https://news.google.com/rss/articles/CBMizAFBVV95cUxNODZ2ZG1LbEwycmplUWlTak1lWDRFSWlJeDBOZDNzWjNzenJnaXF6eEhSR1dzd0xuaXNOMWtTUkt6MlVYVlJtVnBPYks0TFI0cXNYODhaWXhWd0Y1NlhUYVAyaWU1OW0wX1pRaHM5NnR1ZXJnMlZvRkp0VDdhbWVucUxCSWhBLTdzWGlma2lCSzJwOHpuOTU1WkJ1dWVWRXJQc1ljcGpDX1hoOUVMekVTM3kzUGFaZW5UTUE5M3FsV2tzZjJnTkx6TVo1b1HSAdQBQVVfeXFMTnlWVVRQQUhVU2liekROWVVyUHJ4VnBldkdZLTlfUG5oWnJPcWZldlo4Sm1pdGlYODEwOGY3YzFKTm1Ea0VHa1hTd08yaGE1aGtvN0hGZXBIX0k2NDFJemtiTzk3dzB6Y1lXeFpQS0lObVhfb3JHSnlWV3RXOFQ2a3lzTTlPYlBQdW9zb3FfY0VtVTFaLVJXZ2NGSC1Pa3piRmhnLU9UaGdIOWI3YkF1ZU0yU21UemlwYlFTUlMzWlhGYm1YYWtvNUFoTnE3V08yMHlkTlo?oc=5,2025-06-25 16:16:56,Krishi Jagran Hindi,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNODZ2ZG1LbEwycmplUWlTak1lWDRFSWlJeDBOZDNzWjNzenJnaXF6eEhSR1dzd0xuaXNOMWtTUkt6MlVYVlJtVnBPYks0TFI0cXNYODhaWXhWd0Y1NlhUYVAyaWU1OW0wX1pRaHM5NnR1ZXJnMlZvRkp0VDdhbWVucUxCSWhBLTdzWGlma2lCSzJwOHpuOTU1WkJ1dWVWRXJQc1ljcGpDX1hoOUVMekVTM3kzUGFaZW5UTUE5M3FsV2tzZjJnTkx6TVo1b1HSAdQBQVVfeXFMTnlWVVRQQUhVU2liekROWVVyUHJ4VnBldkdZLTlfUG5oWnJPcWZldlo4Sm1pdGlYODEwOGY3YzFKTm1Ea0VHa1hTd08yaGE1aGtvN0hGZXBIX0k2NDFJemtiTzk3dzB6Y1lXeFpQS0lObVhfb3JHSnlWV3RXOFQ2a3lzTTlPYlBQdW9zb3FfY0VtVTFaLVJXZ2NGSC1Pa3piRmhnLU9UaGdIOWI3YkF1ZU0yU21UemlwYlFTUlMzWlhGYm1YYWtvNUFoTnE3V08yMHlkTlo?oc=5"" target=""_blank"">दिल्ली-हरियाणा और पंजाब समेत इन 12 राज्यों में तेज बारिश का अलर्ट, पढ़ें IMD की लेटेस्ट रिपोर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran Hindi</font>",Disaster,hi
"Weather tomorrow: Will it rain on Juneteenth? Severe storms expected in Midwest, Great Lakes region - MSN",https://news.google.com/rss/articles/CBMi8wJBVV95cUxQTTEtSVpwdkVFXzUwMDE3QkhmT3AzY1R5SkMtWGdiUFJ4ekJMTW1qNDdlcHBtWHlIQnRmY1BSRm43UXVDdW5PdnEtem9TZFlJMU1WVzh6QUFpS1UybHVDR2hoV1J0bXkxdVVfN1NqZFRjclZnS3FNdXA1TGZzdTJ2MFg5ckJ1V1VZa2Z3Q1ZrUzF2Qnc4a2dQeHlEWUFsaTBOQ3h6cG1LeDdCMDdEdmRSVWtWajAwMjNxQzRnR1hNRFUxb3I2U1k2Q2ZHdFBycWJrM0Z3VU02d1I4V3U1LXl0QnlpQjBESVFOdWZKTEV6U19nTExHdnFtWUIxNnFWSTlOcXpBb0ZrbVU4WTZpcVBnRXc3MlZ4ejhtck1BS081YThyWXRXcjZJcExDd1doS2YxUFE2UzdHaVdLeWJlQy1adENyWUU5Y1dxVjU0U2R0VmNjRlpJbi1WQXU5V3Fna2lOTGlTSlI5dW1LZmZYb2JiQWN0SQ?oc=5,2025-06-26 06:42:06,MSN,"<a href=""https://news.google.com/rss/articles/CBMi8wJBVV95cUxQTTEtSVpwdkVFXzUwMDE3QkhmT3AzY1R5SkMtWGdiUFJ4ekJMTW1qNDdlcHBtWHlIQnRmY1BSRm43UXVDdW5PdnEtem9TZFlJMU1WVzh6QUFpS1UybHVDR2hoV1J0bXkxdVVfN1NqZFRjclZnS3FNdXA1TGZzdTJ2MFg5ckJ1V1VZa2Z3Q1ZrUzF2Qnc4a2dQeHlEWUFsaTBOQ3h6cG1LeDdCMDdEdmRSVWtWajAwMjNxQzRnR1hNRFUxb3I2U1k2Q2ZHdFBycWJrM0Z3VU02d1I4V3U1LXl0QnlpQjBESVFOdWZKTEV6U19nTExHdnFtWUIxNnFWSTlOcXpBb0ZrbVU4WTZpcVBnRXc3MlZ4ejhtck1BS081YThyWXRXcjZJcExDd1doS2YxUFE2UzdHaVdLeWJlQy1adENyWUU5Y1dxVjU0U2R0VmNjRlpJbi1WQXU5V3Fna2lOTGlTSlI5dW1LZmZYb2JiQWN0SQ?oc=5"" target=""_blank"">Weather tomorrow: Will it rain on Juneteenth? Severe storms expected in Midwest, Great Lakes region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"UP Weather Update: Yellow Alert Issued for 73 Districts, Thunderstorms and Rain Expected - KKN Live",https://news.google.com/rss/articles/CBMieEFVX3lxTFBNOVh1VDZzQUJ5RGF4RHhJUXJ4dEczN01peTRUdURHNUo0YXBXWi0tVzhqYktfS1V2cVV5TjNLbkFYbjdoSGI0UGltVVdXMzlsLWxqbVQtZHZncG9LaUVqUXBVYkJYSGRkSVhuVVB3dndVcmpTUm5OZNIBeEFVX3lxTFBNOVh1VDZzQUJ5RGF4RHhJUXJ4dEczN01peTRUdURHNUo0YXBXWi0tVzhqYktfS1V2cVV5TjNLbkFYbjdoSGI0UGltVVdXMzlsLWxqbVQtZHZncG9LaUVqUXBVYkJYSGRkSVhuVVB3dndVcmpTUm5OZA?oc=5,2025-06-25 11:06:16,KKN Live,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBNOVh1VDZzQUJ5RGF4RHhJUXJ4dEczN01peTRUdURHNUo0YXBXWi0tVzhqYktfS1V2cVV5TjNLbkFYbjdoSGI0UGltVVdXMzlsLWxqbVQtZHZncG9LaUVqUXBVYkJYSGRkSVhuVVB3dndVcmpTUm5OZNIBeEFVX3lxTFBNOVh1VDZzQUJ5RGF4RHhJUXJ4dEczN01peTRUdURHNUo0YXBXWi0tVzhqYktfS1V2cVV5TjNLbkFYbjdoSGI0UGltVVdXMzlsLWxqbVQtZHZncG9LaUVqUXBVYkJYSGRkSVhuVVB3dndVcmpTUm5OZA?oc=5"" target=""_blank"">UP Weather Update: Yellow Alert Issued for 73 Districts, Thunderstorms and Rain Expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KKN Live</font>",Disaster,en
"Minnesota tornado, flash flood tracker: Mankato, Minneapolis, Albert Lea, Rochester on alert - MSN",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQOUJUdEtwY2otVGdUdHNtUkdXQVZNMmxWTWhHb3lpc3RyMmQtdjVPTDZxeG04aWstV2s1UXhJenJYY0xFbmJnODhCZ1FOX2JpSUpfcVhzVklWczAybWJ2LTlRMG9DWkNjd3lRdFpUU2FVdk5IX3VqRmZnRmlYRkRoRG9ZOTlVTUZqWUJvSUoyYWNMOFpmSGI2dmFCWWoxTVFTNWh3UDBhanQ3VE9fbU5Wak44V0RveDVod04zOXRxTmxoSVgyWVoyZGt0UzFwQWNFY0E?oc=5,2025-06-26 05:21:50,MSN,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQOUJUdEtwY2otVGdUdHNtUkdXQVZNMmxWTWhHb3lpc3RyMmQtdjVPTDZxeG04aWstV2s1UXhJenJYY0xFbmJnODhCZ1FOX2JpSUpfcVhzVklWczAybWJ2LTlRMG9DWkNjd3lRdFpUU2FVdk5IX3VqRmZnRmlYRkRoRG9ZOTlVTUZqWUJvSUoyYWNMOFpmSGI2dmFCWWoxTVFTNWh3UDBhanQ3VE9fbU5Wak44V0RveDVod04zOXRxTmxoSVgyWVoyZGt0UzFwQWNFY0E?oc=5"" target=""_blank"">Minnesota tornado, flash flood tracker: Mankato, Minneapolis, Albert Lea, Rochester on alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
