Title,Link,Date,Source,Summary,Place
"Weather News LIVE Updates: Naidu Inspects Flood-Affected Vijayawada As Heavy Rains Lash AP, Telangana - Outlook India",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQNjZSYVVkWUpJVXQxY1FMQnBuQlFqMVFXcEdEeXZFdTJCdjJDdU8tRGRNRnZGdlVkWlhhc0g3MDlxLUdyV3ZBMGQ4ZHZtSVY3WExyX1k2QmxDSGl6MUkzY0tTMG5nYTUyR0JfZEVUUGdQYnJvMV9MMklkSVlzWDFiQmE1Nk45dEFLRXpLMVNxaF9WRmkxaG9mQ0hXeXRFZGRSOS05N2FOc0lPZGNrMmRWeEQ3R2NpVU9LNkhKQS1XMjBWaTJMMTZ2SzVMdkZqT3N2Mk5QNHNMLW9sakh4SXfSAesBQVVfeXFMUFpoWlFBR2plLXlqYXYtZnJuNTJsLURqTGZRXzRlUUdkdU8wQTFBUlhqWHFuSExLTGpqRVVtSkk3ZVJLNngyYXhFQWo4NTNmNTk5SXNQc0ZEX3Y5d3hTRHNXUkZtUWRERVlFLWkyWFgyTFhsY3Z6M3k2VGNzTUFzQ0RYb3g0X0k4WHBNaWd0bWxuSTdTM2xmc21NVXBtMW1CaGx2djlEdEFuNENQdUsxcHMzcXlSYWVCUXR6RGluUEhUZk5GdTBEcHoyWWdXY3EzaS1rZ2JUTUxxcUVBRHJYU2RjZnJPYUhlclNJdw?oc=5,2024-09-02 09:59:12,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQNjZSYVVkWUpJVXQxY1FMQnBuQlFqMVFXcEdEeXZFdTJCdjJDdU8tRGRNRnZGdlVkWlhhc0g3MDlxLUdyV3ZBMGQ4ZHZtSVY3WExyX1k2QmxDSGl6MUkzY0tTMG5nYTUyR0JfZEVUUGdQYnJvMV9MMklkSVlzWDFiQmE1Nk45dEFLRXpLMVNxaF9WRmkxaG9mQ0hXeXRFZGRSOS05N2FOc0lPZGNrMmRWeEQ3R2NpVU9LNkhKQS1XMjBWaTJMMTZ2SzVMdkZqT3N2Mk5QNHNMLW9sakh4SXfSAesBQVVfeXFMUFpoWlFBR2plLXlqYXYtZnJuNTJsLURqTGZRXzRlUUdkdU8wQTFBUlhqWHFuSExLTGpqRVVtSkk3ZVJLNngyYXhFQWo4NTNmNTk5SXNQc0ZEX3Y5d3hTRHNXUkZtUWRERVlFLWkyWFgyTFhsY3Z6M3k2VGNzTUFzQ0RYb3g0X0k4WHBNaWd0bWxuSTdTM2xmc21NVXBtMW1CaGx2djlEdEFuNENQdUsxcHMzcXlSYWVCUXR6RGluUEhUZk5GdTBEcHoyWWdXY3EzaS1rZ2JUTUxxcUVBRHJYU2RjZnJPYUhlclNJdw?oc=5"" target=""_blank"">Weather News LIVE Updates: Naidu Inspects Flood-Affected Vijayawada As Heavy Rains Lash AP, Telangana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",
"MP September 2 Weather Update: State Braces For Heavy Rain In Betul, Indore, Ujjain & More - Free Press Journal",https://news.google.com/rss/articles/CBMiwgFBVV95cUxON0s4X3o4ZjBJREl1TVBiOUtiMUdpNU01WjVDQThoZk4tVVFtandnMkI3czdkY0R6eDZlQmktd0p4Ul9uNTFXbkxpYWtfR2lmWTRwTVJXR2JwWVlyZmtEY2dic2JlXzFtS2VMLTZuTXp3WmxOa3BRWWpOQUZGc3hEZ1hKOHIzYkc3Rk1EbG5LbVZNMV92ZVlEam5mRVNpSjVFX2pMLXZXZGVsa0FFdnd3d05sZ05SWFBXc3pOeC1TY0dFd9IBxwFBVV95cUxQd0JUcnI1RVlwOElwcXVRQmNwQVlsd2pEWEt3bENueG0zVEMtcUMwWEMxWEFXWTVDZElPVFhxZktHc28xd0lrdnotQkhxM21DY0huNUowcWR3VWRwWEZ6cmxwU3lIQUw3UE9GMVZGUUhUZG1wWExTZXpyWlVoWWxwRWlaYjhrM2ZkdXVvd1hMTWdGbXhnNkVaM09uMzFlT1JZS20zZko0YmNlV2FBaG5sYllYMFk3YXRuVEVHYTktYVNid1VlV3dJ?oc=5,2024-09-02 09:47:58,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxON0s4X3o4ZjBJREl1TVBiOUtiMUdpNU01WjVDQThoZk4tVVFtandnMkI3czdkY0R6eDZlQmktd0p4Ul9uNTFXbkxpYWtfR2lmWTRwTVJXR2JwWVlyZmtEY2dic2JlXzFtS2VMLTZuTXp3WmxOa3BRWWpOQUZGc3hEZ1hKOHIzYkc3Rk1EbG5LbVZNMV92ZVlEam5mRVNpSjVFX2pMLXZXZGVsa0FFdnd3d05sZ05SWFBXc3pOeC1TY0dFd9IBxwFBVV95cUxQd0JUcnI1RVlwOElwcXVRQmNwQVlsd2pEWEt3bENueG0zVEMtcUMwWEMxWEFXWTVDZElPVFhxZktHc28xd0lrdnotQkhxM21DY0huNUowcWR3VWRwWEZ6cmxwU3lIQUw3UE9GMVZGUUhUZG1wWExTZXpyWlVoWWxwRWlaYjhrM2ZkdXVvd1hMTWdGbXhnNkVaM09uMzFlT1JZS20zZko0YmNlV2FBaG5sYllYMFk3YXRuVEVHYTktYVNid1VlV3dJ?oc=5"" target=""_blank"">MP September 2 Weather Update: State Braces For Heavy Rain In Betul, Indore, Ujjain & More</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
Hyderabad Schools To Remain Closed Tomorrow Amid Heavy Rain Forecast! - Free Press Journal,https://news.google.com/rss/articles/CBMirwFBVV95cUxQZVNXbjJmYmRwNGl1em84TEx0WHlOTFZXTklDQy1OSXdsZUNvQWQzTGZMV2NkNVBGZ01JajFKWW1OVExjYXRJWnVtM1B0ZmNOcHhZVE5WSWdpVXV1TlcxdlNtZ1AxcEI0LWpyUGx3SFlmQllCSl9mS21NQlh3dE91SXNRdHFkMmRlQmFwWnp0YTJmUG5FUFV5VnFJR1FiRW1HQnNKbjVVVFhCWUFQendv0gG0AUFVX3lxTFBXOTdBLWxRZ1lhV1gtZFVBSDFSeWlySlhIaDFac29FdXVZbjRnMkFCWjNjLVpBTVBMZ3hBOFZlM1AtMkc5VUxQQWpVcjV1bXlwUzFKNFNaTW54TERKY2JINVl1cDRlaFRDU3h1MmRrZmtSRzVlazRUcXNMaVdZMmkzMF9qc0JtVHdhRzRrTVZZNVNkalpSb3RlN3hBLUU5NEdaN1dFUUNsYzBpaVpFS0FlUzNpYg?oc=5,2024-09-01 18:55:10,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQZVNXbjJmYmRwNGl1em84TEx0WHlOTFZXTklDQy1OSXdsZUNvQWQzTGZMV2NkNVBGZ01JajFKWW1OVExjYXRJWnVtM1B0ZmNOcHhZVE5WSWdpVXV1TlcxdlNtZ1AxcEI0LWpyUGx3SFlmQllCSl9mS21NQlh3dE91SXNRdHFkMmRlQmFwWnp0YTJmUG5FUFV5VnFJR1FiRW1HQnNKbjVVVFhCWUFQendv0gG0AUFVX3lxTFBXOTdBLWxRZ1lhV1gtZFVBSDFSeWlySlhIaDFac29FdXVZbjRnMkFCWjNjLVpBTVBMZ3hBOFZlM1AtMkc5VUxQQWpVcjV1bXlwUzFKNFNaTW54TERKY2JINVl1cDRlaFRDU3h1MmRrZmtSRzVlazRUcXNMaVdZMmkzMF9qc0JtVHdhRzRrTVZZNVNkalpSb3RlN3hBLUU5NEdaN1dFUUNsYzBpaVpFS0FlUzNpYg?oc=5"" target=""_blank"">Hyderabad Schools To Remain Closed Tomorrow Amid Heavy Rain Forecast!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
Madhya Pradesh Mountaineer Bhawna Dehariya Feted At Mahakaushal Khel Ratna Award Ceremony - Free Press Journal,https://news.google.com/rss/articles/CBMixwFBVV95cUxNT1M0a2VzblJLc1lLeDlmU2p4aFFSV09kMmZ0UmFVTDhVb1hUZTJLdXhmSk1OSnBHZFc0NG5mUkVEM3FtRHJXU0JPeHRqTzM4RjA1MmhWSHVycHRPdlNrcU1ZWUlaQklNU3lZMld1cGFrYzZiRjZpSk9kaE9fTzVnZU81MkYxN2o1ZHJiRDFNdEQwMzJJNHV4WXBkck55TUVPclVlRUZmdDVCQ2NTWXJnTVd4ODJMTF9mX05UeHBjc1JDVnlWTTdR0gHMAUFVX3lxTFBjS0N4V2NQbkVPdzlJQ2ZFaUpVTXlzbkFaS0R0eW9UNnRsQ2lZM09yR25TQmxHdjJ6NEhjTDBHcTdfQ3VKUTNiUWVPWDBQZ05GTE92aUxZQ1BRTzBqbnpkcUZpWnhrckZqZTB5MjdIOFZxMkplQUZoLXBEM3F1aEhzemY0UUlOM3lMTlYzbHYtX0NTbGxFcDVZOEhNdUVRZXRwZHNYa0xHYVdEU3J6MWJHT3hNX1ItV3RLNERpV25QcVR2WkVEaXZOWlhYag?oc=5,2024-09-01 18:51:00,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNT1M0a2VzblJLc1lLeDlmU2p4aFFSV09kMmZ0UmFVTDhVb1hUZTJLdXhmSk1OSnBHZFc0NG5mUkVEM3FtRHJXU0JPeHRqTzM4RjA1MmhWSHVycHRPdlNrcU1ZWUlaQklNU3lZMld1cGFrYzZiRjZpSk9kaE9fTzVnZU81MkYxN2o1ZHJiRDFNdEQwMzJJNHV4WXBkck55TUVPclVlRUZmdDVCQ2NTWXJnTVd4ODJMTF9mX05UeHBjc1JDVnlWTTdR0gHMAUFVX3lxTFBjS0N4V2NQbkVPdzlJQ2ZFaUpVTXlzbkFaS0R0eW9UNnRsQ2lZM09yR25TQmxHdjJ6NEhjTDBHcTdfQ3VKUTNiUWVPWDBQZ05GTE92aUxZQ1BRTzBqbnpkcUZpWnhrckZqZTB5MjdIOFZxMkplQUZoLXBEM3F1aEhzemY0UUlOM3lMTlYzbHYtX0NTbGxFcDVZOEhNdUVRZXRwZHNYa0xHYVdEU3J6MWJHT3hNX1ItV3RLNERpV25QcVR2WkVEaXZOWlhYag?oc=5"" target=""_blank"">Madhya Pradesh Mountaineer Bhawna Dehariya Feted At Mahakaushal Khel Ratna Award Ceremony</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
New system active in the State: Heavy rains in 12 districts of Madhya Pradesh - NYOOOZ,https://news.google.com/rss/articles/CBMivAFBVV95cUxOSG1RQTJIcjVUUmZyYXlXRm03UlNNVC1PUWFyaUVPNUdmOHE1UWdFUFdUSF9BLW0wb0djWTVRbm9TZWxZcUpwR241QnI0VU9xWEFXUlBoR0E4NTNQTkl1aTBFcmFhVWw0ZUdPbGFrLVJkTWtUTnJDWUhJTXNsdWFfUURRVmgtMmhabkpFTE5SRkZoNTFWX3RtZ1dEYkJfSEhrWHU3cmVsNzFFd3hoNmNTTW1WR2o0MjFMdEEtbA?oc=5,2024-09-02 03:51:49,NYOOOZ,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOSG1RQTJIcjVUUmZyYXlXRm03UlNNVC1PUWFyaUVPNUdmOHE1UWdFUFdUSF9BLW0wb0djWTVRbm9TZWxZcUpwR241QnI0VU9xWEFXUlBoR0E4NTNQTkl1aTBFcmFhVWw0ZUdPbGFrLVJkTWtUTnJDWUhJTXNsdWFfUURRVmgtMmhabkpFTE5SRkZoNTFWX3RtZ1dEYkJfSEhrWHU3cmVsNzFFd3hoNmNTTW1WR2o0MjFMdEEtbA?oc=5"" target=""_blank"">New system active in the State: Heavy rains in 12 districts of Madhya Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NYOOOZ</font>",
MHA constitutes central team to assess damage caused by floods in Gujarat - The New Indian Express,https://news.google.com/rss/articles/CBMixgFBVV95cUxNd2NNd2o3NWp3MkxHVnZjT1pZT29IQTgyRGFvMVlSWVBPWS1ZNXEtd1FIRm55NjNEM0JkWnUtX2VuZGJQU242VDhLdmplWml1MzNUQmJLTDlJWkxyemtqZlU1MVhKSDVkYUFROFRhd192Q1ZPRUQ3TzlLVml0bnVzeVJIWExyYTJ0NE1GNFBhXzVRZXZpelZQMVV3SjBLa2UwbTMyOW1fWi05Rk45UFBaVFBDaDZJSlRKY3lMS01PSXdTZjNpWEHSAdMBQVVfeXFMUDhfRW1kbU5kQ194cGo1eGp5Tk5xT2k3QXh2QkV3VGk4LVFrenREQ1FRZW0xZlZtR1NnQm5UMGpuYVVCOXdpcGNkMkdyUTJ0ckRDdnNJanlGVEpLdGdtcXU5RkQwUUtmb0kzUnRtU2V1Y05VdEhkSjBzZ2F4RV9Ua1R0dGpXNUUxS0JWU0pJU0swR0dGcGkwcW12TGdjeTlkTDFKYjg5ejliZ3VSWjB1MmxPbFphODlPeDR3MmlycmFjc2Z2cTc3eE5Nd1pKcTdRcTNMYw?oc=5,2024-09-01 20:08:16,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNd2NNd2o3NWp3MkxHVnZjT1pZT29IQTgyRGFvMVlSWVBPWS1ZNXEtd1FIRm55NjNEM0JkWnUtX2VuZGJQU242VDhLdmplWml1MzNUQmJLTDlJWkxyemtqZlU1MVhKSDVkYUFROFRhd192Q1ZPRUQ3TzlLVml0bnVzeVJIWExyYTJ0NE1GNFBhXzVRZXZpelZQMVV3SjBLa2UwbTMyOW1fWi05Rk45UFBaVFBDaDZJSlRKY3lMS01PSXdTZjNpWEHSAdMBQVVfeXFMUDhfRW1kbU5kQ194cGo1eGp5Tk5xT2k3QXh2QkV3VGk4LVFrenREQ1FRZW0xZlZtR1NnQm5UMGpuYVVCOXdpcGNkMkdyUTJ0ckRDdnNJanlGVEpLdGdtcXU5RkQwUUtmb0kzUnRtU2V1Y05VdEhkSjBzZ2F4RV9Ua1R0dGpXNUUxS0JWU0pJU0swR0dGcGkwcW12TGdjeTlkTDFKYjg5ejliZ3VSWjB1MmxPbFphODlPeDR3MmlycmFjc2Z2cTc3eE5Nd1pKcTdRcTNMYw?oc=5"" target=""_blank"">MHA constitutes central team to assess damage caused by floods in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
MHA constitutes inter-ministerial team to assess damage caused by floods in Gujarat - The Hindu,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTENwVmVkTHFpUlFKSktkWC1Gd01mVDNNeXc2NG1wWEdGZklRMG5MVTY2OGhCVHJsMU9aVkxGZkI3T1QybG9xQldNWVFwSGwzOWhuRThfc3U3NE5LaHhJQ2pTdnk1Q04tQlY3LVpld1hoWEtvamZqOF9YTGwtRnF3ZXJTOE1GY2hhdjI5RFRPVFZ3ZkRDd0lVdG5YdmpTY2lxVVUtRXpmX1VMYTNFZzUzMGRtdl9VZ0ZocDlnVFZZNU9vRHhrR0tFeC1ENWlmWHlYOEk2MXNqWGRQQdIB4AFBVV95cUxONy1aRjV0dW1Wa1lBaUF3SnJ3dGx4Y2dLZHN1THlyd1g5SnJPWDNyRTlCdHNnTHdjZjkwdzBQaW5RcEo2cVZFbzdPZVUyNFBQckVJV1hFZlhJWkFPS0NIU0JJQnZ4QjNGaWpEOGFiVDd3TVlIUHA4MDRPRFRPaWNsR1daS1hmUHpwQTJ2RDJLaE0zWVBJaXFDX0pGQmg5V2hDWHlOOXVkZ3lrdEFrYjFNa2FPRHdzMkZpMVV1WWVoWWxOZ0tqNXBCVDhsUC1XVEVsVE9iX3NUeldLUDNkMEdXSA?oc=5,2024-09-01 19:54:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTENwVmVkTHFpUlFKSktkWC1Gd01mVDNNeXc2NG1wWEdGZklRMG5MVTY2OGhCVHJsMU9aVkxGZkI3T1QybG9xQldNWVFwSGwzOWhuRThfc3U3NE5LaHhJQ2pTdnk1Q04tQlY3LVpld1hoWEtvamZqOF9YTGwtRnF3ZXJTOE1GY2hhdjI5RFRPVFZ3ZkRDd0lVdG5YdmpTY2lxVVUtRXpmX1VMYTNFZzUzMGRtdl9VZ0ZocDlnVFZZNU9vRHhrR0tFeC1ENWlmWHlYOEk2MXNqWGRQQdIB4AFBVV95cUxONy1aRjV0dW1Wa1lBaUF3SnJ3dGx4Y2dLZHN1THlyd1g5SnJPWDNyRTlCdHNnTHdjZjkwdzBQaW5RcEo2cVZFbzdPZVUyNFBQckVJV1hFZlhJWkFPS0NIU0JJQnZ4QjNGaWpEOGFiVDd3TVlIUHA4MDRPRFRPaWNsR1daS1hmUHpwQTJ2RDJLaE0zWVBJaXFDX0pGQmg5V2hDWHlOOXVkZ3lrdEFrYjFNa2FPRHdzMkZpMVV1WWVoWWxOZ0tqNXBCVDhsUC1XVEVsVE9iX3NUeldLUDNkMEdXSA?oc=5"" target=""_blank"">MHA constitutes inter-ministerial team to assess damage caused by floods in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"MHA constitutes Inter-Ministerial Central Team to assess damages caused by rainfall, floods in Gujarat - Babushahi.com",https://news.google.com/rss/articles/CBMiXkFVX3lxTE1jc0N0cV93U3d1NUFfMXJCZFNKNWN4UTJNd29sak4yNEE1VnJYY0VHRGE0eWZ3UlVRR0tGenNreFdqVFJzOGp1RTZNSHlVRldXT2JEcTU2WEN6ODNIMUE?oc=5,2024-09-01 15:51:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE1jc0N0cV93U3d1NUFfMXJCZFNKNWN4UTJNd29sak4yNEE1VnJYY0VHRGE0eWZ3UlVRR0tGenNreFdqVFJzOGp1RTZNSHlVRldXT2JEcTU2WEN6ODNIMUE?oc=5"" target=""_blank"">MHA constitutes Inter-Ministerial Central Team to assess damages caused by rainfall, floods in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",
"New monsoon becomes active in Bhopal, heavy rains may occur in 7 divisions including Indore-Bhopal - AnyTV News",https://news.google.com/rss/articles/CBMizAFBVV95cUxOUHFvLXpOXzZQRV9ER3hlSHcxTXJGcWdoTjZmVlRKUTM0TXF3S2tVZXZNYjZROWpPT3J3MEVjRmxzVmxmUEViV05rZzFTUlI5RlAyM05uQmJYaHlUR0QyOEhQM2p1WTFNYjdMMVNqcG9zTzU4RDhpTUNTbElNMHFfaWdYOFgweWQtM2V0akxwNEt5bzdtREZ0X3d1MHdITDl0R3VmcllMcXVVeVNYX1NCOXl3UmlLT2gwOENCZGdWeUF4ZGx2azhqa3hjX2PSAdIBQVVfeXFMTU5ZcGkydzdMVXhfbTlITWhEZXFIT1ozX0xRbm5DREpBLURWOTFEUHR4b0ZNTVVRVjlyMERMYllpblFsdDRPUGtfS3NkTmw2M2h5WmQtaGxIZTlUOEdWY2I4SVJfVmdJbDA0bkxoakJza3VTMm9QcHZId0lCV1FUbFBpaHdhY1VZVmk3QVp1Q1FNV3JTOEp6eV8zdWlXYlJWQzlIMGd0SUlockNrN2hlUVlNWEpoUW1jbEpuVndXT3J3aWhZMHJYWWw4cURWMTc5QWVn?oc=5,2024-09-02 09:24:49,AnyTV News,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOUHFvLXpOXzZQRV9ER3hlSHcxTXJGcWdoTjZmVlRKUTM0TXF3S2tVZXZNYjZROWpPT3J3MEVjRmxzVmxmUEViV05rZzFTUlI5RlAyM05uQmJYaHlUR0QyOEhQM2p1WTFNYjdMMVNqcG9zTzU4RDhpTUNTbElNMHFfaWdYOFgweWQtM2V0akxwNEt5bzdtREZ0X3d1MHdITDl0R3VmcllMcXVVeVNYX1NCOXl3UmlLT2gwOENCZGdWeUF4ZGx2azhqa3hjX2PSAdIBQVVfeXFMTU5ZcGkydzdMVXhfbTlITWhEZXFIT1ozX0xRbm5DREpBLURWOTFEUHR4b0ZNTVVRVjlyMERMYllpblFsdDRPUGtfS3NkTmw2M2h5WmQtaGxIZTlUOEdWY2I4SVJfVmdJbDA0bkxoakJza3VTMm9QcHZId0lCV1FUbFBpaHdhY1VZVmk3QVp1Q1FNV3JTOEp6eV8zdWlXYlJWQzlIMGd0SUlockNrN2hlUVlNWEpoUW1jbEpuVndXT3J3aWhZMHJYWWw4cURWMTc5QWVn?oc=5"" target=""_blank"">New monsoon becomes active in Bhopal, heavy rains may occur in 7 divisions including Indore-Bhopal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AnyTV News</font>",
Central Team to Assess Post-Monsoon Damage in Gujarat - Devdiscourse,https://news.google.com/rss/articles/CBMirAFBVV95cUxNVzE5RlROeDhMWUJabmp5SUNEOEVsUVJlX1M3eFlaM0ZqekRueVliSG1aUUE0YzczQmVCWXJRMDRfQ2ZadUtuTGMzazd4Z1YtbTJqai1pbTA5QW1lbTB0c0s2b21rVVljNVgyMzZ4MGNtZUhyeUZtS0t3YWJQV2ZwY09tbDc4ZGVJOEtJa2I4eWNzUHhYdkYwWnFNeTJ2d1JZa2lpc3lxa19jTVJO0gGyAUFVX3lxTE1Pa3VZQ25jNGphVnFzQ0ZMdU9UTGJHbnpxaXUzNWIwLUgtWFhyVXFFZnZlbVktcHR3Q1FuTnpQSFlpc3lXaVlZNzRjM2piVFdkUmhzVlczRFJLYVlNZHEyaWZkY2Y3SkU4RDNvUUw4QWM4YVRiMlZReWJVUGZMQXVOS2xHWTVCQ09udWRRaTdsa1RKMmNzTE5uS2NmTkpyaHNETmY1cHlwVnpFVHJ5VkI0Q1E?oc=5,2024-09-01 16:32:14,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNVzE5RlROeDhMWUJabmp5SUNEOEVsUVJlX1M3eFlaM0ZqekRueVliSG1aUUE0YzczQmVCWXJRMDRfQ2ZadUtuTGMzazd4Z1YtbTJqai1pbTA5QW1lbTB0c0s2b21rVVljNVgyMzZ4MGNtZUhyeUZtS0t3YWJQV2ZwY09tbDc4ZGVJOEtJa2I4eWNzUHhYdkYwWnFNeTJ2d1JZa2lpc3lxa19jTVJO0gGyAUFVX3lxTE1Pa3VZQ25jNGphVnFzQ0ZMdU9UTGJHbnpxaXUzNWIwLUgtWFhyVXFFZnZlbVktcHR3Q1FuTnpQSFlpc3lXaVlZNzRjM2piVFdkUmhzVlczRFJLYVlNZHEyaWZkY2Y3SkU4RDNvUUw4QWM4YVRiMlZReWJVUGZMQXVOS2xHWTVCQ09udWRRaTdsa1RKMmNzTE5uS2NmTkpyaHNETmY1cHlwVnpFVHJ5VkI0Q1E?oc=5"" target=""_blank"">Central Team to Assess Post-Monsoon Damage in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",
