Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: राज्यात ढगाळ हवामान, विदर्भात पावसाची शक्यता - Agrowon",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNNWp5MVFfQmlrQnZ6MW5zZGJlcU9uV2pJa2g2eU1NUmtESmFQaTQ1UDdzOUYxV0taSUdFWGd5alFNOGNzdUQyV1RtWkREVENWTHBZQmlaQ3lOX28yTTZvdGp6MUZTRzFWdWVaM2lLVlc4RkpfcXZWV0QtTzUxek56cjZWbHYtQ0I3d29iMGFvQXZ4SzJRcVhYMXlSUnNlQWpWSkdJWFBnMG9BbGp6ZHRQRUJwb2x2eWtIbVpub0E3RVlkdw?oc=5,2025-11-30 06:00:00,Agrowon,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNNWp5MVFfQmlrQnZ6MW5zZGJlcU9uV2pJa2g2eU1NUmtESmFQaTQ1UDdzOUYxV0taSUdFWGd5alFNOGNzdUQyV1RtWkREVENWTHBZQmlaQ3lOX28yTTZvdGp6MUZTRzFWdWVaM2lLVlc4RkpfcXZWV0QtTzUxek56cjZWbHYtQ0I3d29iMGFvQXZ4SzJRcVhYMXlSUnNlQWpWSkdJWFBnMG9BbGp6ZHRQRUJwb2x2eWtIbVpub0E3RVlkdw?oc=5"" target=""_blank"">Weather Update: राज्यात ढगाळ हवामान, विदर्भात पावसाची शक्यता</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agrowon</font>",Disaster,mr
"Maharashtra Weather Update : वादळाचा अप्रत्यक्ष तडाखा; महाराष्ट्रात गारठा वाढला, धुके पसरलं वाचा सविस्तर - Lokmat.com",https://news.google.com/rss/articles/CBMigAJBVV95cUxPSll5VkI3UlVxMno2Q2ZXa2JoeXZQX09VWjd6NXFVcG85MUozY3Q1WUdQU2psTFFNUUFCY1Zvc2FUVXF6c2RjNUtFQWNyeUlQNUtmMm9iNHJWRk1fTWRTWnhZeG1jZjQ5QVlyQ0diR0h0cThmN0c4eUo0NGVlZ0xRUlg0Ui14VEc4X1VIRmp1eFQzVUtnamZYQ3c2WEZCdVBWamNUU0l1ZjFSSExiMXNseTFCX3dtbDIzWVBwak5QemRLZm5aalJYNnNGbDNmdi1yMEdtQ0doQW1NVlFlUE1EQURBbWltRHZrOUo3alkwa2VaRTVheDNPdnlNbnM0OEls0gGGAkFVX3lxTE43YnZ5WkZ3UXpvR2xBYThPR3p2bllwX0kyN205b3pHNkVVT0UwX3hsUmprNlpoQ1BLMUJEd2hhankxcDlwNXM5UE1YNUxIOWNCUGZac3dzMjkzREpvaEFqY1BfVm94V1JLMDg2S181V194SV90S0FCMmdNTy1sY1VLLXd4dy1sNHpKal84V3hYSFhRTHM3ZFNkN2NobjdiNG55T1IwV2RmOHJNb05MUmw4NlRLamRrcXNrb0k5LWJTaC1hUU9JdllMYWZ3eWE5NG55aWtqR2JWaFM1WmRfNWZ0VHpPUjN6WEZlQjRVYnVUSktrbGNRdUpPakE3bkQwRDIxY1Q2SUE?oc=5,2025-11-30 09:13:00,Lokmat.com,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxPSll5VkI3UlVxMno2Q2ZXa2JoeXZQX09VWjd6NXFVcG85MUozY3Q1WUdQU2psTFFNUUFCY1Zvc2FUVXF6c2RjNUtFQWNyeUlQNUtmMm9iNHJWRk1fTWRTWnhZeG1jZjQ5QVlyQ0diR0h0cThmN0c4eUo0NGVlZ0xRUlg0Ui14VEc4X1VIRmp1eFQzVUtnamZYQ3c2WEZCdVBWamNUU0l1ZjFSSExiMXNseTFCX3dtbDIzWVBwak5QemRLZm5aalJYNnNGbDNmdi1yMEdtQ0doQW1NVlFlUE1EQURBbWltRHZrOUo3alkwa2VaRTVheDNPdnlNbnM0OEls0gGGAkFVX3lxTE43YnZ5WkZ3UXpvR2xBYThPR3p2bllwX0kyN205b3pHNkVVT0UwX3hsUmprNlpoQ1BLMUJEd2hhankxcDlwNXM5UE1YNUxIOWNCUGZac3dzMjkzREpvaEFqY1BfVm94V1JLMDg2S181V194SV90S0FCMmdNTy1sY1VLLXd4dy1sNHpKal84V3hYSFhRTHM3ZFNkN2NobjdiNG55T1IwV2RmOHJNb05MUmw4NlRLamRrcXNrb0k5LWJTaC1hUU9JdllMYWZ3eWE5NG55aWtqR2JWaFM1WmRfNWZ0VHpPUjN6WEZlQjRVYnVUSktrbGNRdUpPakE3bkQwRDIxY1Q2SUE?oc=5"" target=""_blank"">Maharashtra Weather Update : वादळाचा अप्रत्यक्ष तडाखा; महाराष्ट्रात गारठा वाढला, धुके पसरलं वाचा सविस्तर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lokmat.com</font>",Disaster,mr
"IMD Weather Update : प्रती तास 90 किमी वेगानं येतय मोठं संकट, या राज्यांना रेड अलर्ट, पुढील 48 तास... - TV9 Marathi",https://news.google.com/rss/articles/CBMi9AFBVV95cUxNRUlsSzVFVHdQajloem83RU4wOXhCQy10SUJMaUMtTDI3d1E2aWZhWHphRzdjTU1KdWNBbVdvYlZGVHBtY096ampsOTFvbXBHQnU3aTE2aDJqbm1HWEJLYUlBTG1QNENpVlJBOVhjUmllbURESGRqWmQ0S2lULWJVbGVQMjNmeWNZMmhhVW90MG1CTUgyZVBCX2ZUQ1gzajFibWEzRXluUE5rNGNSTkwyaHJ2aHNkelVocUZyZnJlcFA5QXRXS1dhZ2FncUVVUUlHaU5Fb29zODdoX3llQW53VUw4am1Mc2xITVVMeVRFLWVLVktm0gH6AUFVX3lxTE8zZXgzTTZqMzlNdFZaNFZSSWlPYVBReWRqNUYzOXpKLWlwS01ieldndTBURjM2dURpVFlIMWFMVTFjVW1MdHdXSHN4U1VPckxzZldadHVWdGZaTDZSMmwyeTQ0SVFOTW9MMHBnNC1URkprbUtjeVJUbUpabzZWRmt1WDM4TUsxODZReERkRDZENlg0TkRwRnczMDRzZVVyaGVreVNreUQ4MWl0LUtadFJoSDI3ckVpLWxwYXg2dkd2bzF2ekVkQUpaOUE4M3ZsTGs0eFBkcGlVbFhKTWRqWDJoVDBpZ3NzOThCXzhGWHF1VmZfUHhqWGNaRHc?oc=5,2025-11-29 19:16:19,TV9 Marathi,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxNRUlsSzVFVHdQajloem83RU4wOXhCQy10SUJMaUMtTDI3d1E2aWZhWHphRzdjTU1KdWNBbVdvYlZGVHBtY096ampsOTFvbXBHQnU3aTE2aDJqbm1HWEJLYUlBTG1QNENpVlJBOVhjUmllbURESGRqWmQ0S2lULWJVbGVQMjNmeWNZMmhhVW90MG1CTUgyZVBCX2ZUQ1gzajFibWEzRXluUE5rNGNSTkwyaHJ2aHNkelVocUZyZnJlcFA5QXRXS1dhZ2FncUVVUUlHaU5Fb29zODdoX3llQW53VUw4am1Mc2xITVVMeVRFLWVLVktm0gH6AUFVX3lxTE8zZXgzTTZqMzlNdFZaNFZSSWlPYVBReWRqNUYzOXpKLWlwS01ieldndTBURjM2dURpVFlIMWFMVTFjVW1MdHdXSHN4U1VPckxzZldadHVWdGZaTDZSMmwyeTQ0SVFOTW9MMHBnNC1URkprbUtjeVJUbUpabzZWRmt1WDM4TUsxODZReERkRDZENlg0TkRwRnczMDRzZVVyaGVreVNreUQ4MWl0LUtadFJoSDI3ckVpLWxwYXg2dkd2bzF2ekVkQUpaOUE4M3ZsTGs0eFBkcGlVbFhKTWRqWDJoVDBpZ3NzOThCXzhGWHF1VmZfUHhqWGNaRHc?oc=5"" target=""_blank"">IMD Weather Update : प्रती तास 90 किमी वेगानं येतय मोठं संकट, या राज्यांना रेड अलर्ट, पुढील 48 तास...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TV9 Marathi</font>",Disaster,mr
Cyclone Ditwah: दितवा संकटात भारताचा मदतीचा हात; श्रीलंकेला साहित्य पुरवण्यासाठी 'ऑपरेशन सागर बंधू' - Maharashtra Times,https://news.google.com/rss/articles/CBMi_AFBVV95cUxPOHpEQlB6THFTMGVtc1BmY3lQVjRpdFBib2JNdUNGOUZzenlNcVpmeHVLSjRWY2tOWFBzTk1zQ29RSkdNQ0E3YkdjMDdrMTd5QzVGS2lobWlUM3dFdndzRkU3RXRtTHBfbzlXT3NtQXFoQ3J1ZU9yY3RVX1lZZEZPWHVpTGVqa3drazJ2TnY0LUliVnFMcTh5bHFSeGw3QThTQnJGeVFiOEZYWTZ4SDRfVEFiejRSMjIxbEVWeGR1SWl1QTBJY0I2b2NWX3JmZ2RRVkh2RlIzWDVsWmltRGdFTFBHbGxGSUphOEdudUg4SzJNMHN1LVpvaVZLUW3SAYICQVVfeXFMTjd5cS01SXRaaXdyaDc2RXFsMDJMTFkxcUF6ZFY0Y2g2VG5jekJjQWYyOVpvbFQ1RUlNUDUtaFJhaXNPRld5b21GbjZtSzVvZFJCTkQ5RjJJMEwxMVgyUldiZDVxRFVMdmhxMWlwWUx1ZUNiamNpY3EtS1FrZVd6U2N2MldrSkEwZkFfREsyNU9UZjZFdXNsUGFmdUFNLUhKUFJ6N0pTVnFXN0JieTl1aC04NVVDQ2l1TVlGUWgzTUVDUG1NaXNUZ3EyUW9RWGNna2NRY3FONWVYSnJESUJkeUdwTjZ2c1E5aUs5Zk1DTmN1T1kxdkJDRHp3TmJzcnlxZ1RR?oc=5,2025-11-29 13:03:28,Maharashtra Times,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxPOHpEQlB6THFTMGVtc1BmY3lQVjRpdFBib2JNdUNGOUZzenlNcVpmeHVLSjRWY2tOWFBzTk1zQ29RSkdNQ0E3YkdjMDdrMTd5QzVGS2lobWlUM3dFdndzRkU3RXRtTHBfbzlXT3NtQXFoQ3J1ZU9yY3RVX1lZZEZPWHVpTGVqa3drazJ2TnY0LUliVnFMcTh5bHFSeGw3QThTQnJGeVFiOEZYWTZ4SDRfVEFiejRSMjIxbEVWeGR1SWl1QTBJY0I2b2NWX3JmZ2RRVkh2RlIzWDVsWmltRGdFTFBHbGxGSUphOEdudUg4SzJNMHN1LVpvaVZLUW3SAYICQVVfeXFMTjd5cS01SXRaaXdyaDc2RXFsMDJMTFkxcUF6ZFY0Y2g2VG5jekJjQWYyOVpvbFQ1RUlNUDUtaFJhaXNPRld5b21GbjZtSzVvZFJCTkQ5RjJJMEwxMVgyUldiZDVxRFVMdmhxMWlwWUx1ZUNiamNpY3EtS1FrZVd6U2N2MldrSkEwZkFfREsyNU9UZjZFdXNsUGFmdUFNLUhKUFJ6N0pTVnFXN0JieTl1aC04NVVDQ2l1TVlGUWgzTUVDUG1NaXNUZ3EyUW9RWGNna2NRY3FONWVYSnJESUJkeUdwTjZ2c1E5aUs5Zk1DTmN1T1kxdkJDRHp3TmJzcnlxZ1RR?oc=5"" target=""_blank"">Cyclone Ditwah: दितवा संकटात भारताचा मदतीचा हात; श्रीलंकेला साहित्य पुरवण्यासाठी 'ऑपरेशन सागर बंधू'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Maharashtra Times</font>",Disaster,mr
Hawaman Andaj: ‘डिटवाह’मुळे ढगाळ हवामानाचा अंदाज; राज्यातील तापमानात चढ उतार सुरुच - Agrowon,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPN0o1eEhiclMtQjBxVXhLVmRINS1taWxTQlhCV2oxNnlWdnJhMDBZcWZRQkNDSVI4TEtRdVRNbDNPUW9wbGhrbGNTM2ktdGRWTkVDUzlqMFVUNm51Q0xSYU5XRXFZYWxwSHJsZGgwMmZZV3pKM2FmWnNxa0dQNk4wX280OUNiRjUwZDk0eE51X19SWS1FN1NXc05ZUXRnSlM3dGItVkM0aFFyTi05TTY3YzVWSmdnVXBic0ln?oc=5,2025-11-29 15:41:46,Agrowon,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPN0o1eEhiclMtQjBxVXhLVmRINS1taWxTQlhCV2oxNnlWdnJhMDBZcWZRQkNDSVI4TEtRdVRNbDNPUW9wbGhrbGNTM2ktdGRWTkVDUzlqMFVUNm51Q0xSYU5XRXFZYWxwSHJsZGgwMmZZV3pKM2FmWnNxa0dQNk4wX280OUNiRjUwZDk0eE51X19SWS1FN1NXc05ZUXRnSlM3dGItVkM0aFFyTi05TTY3YzVWSmdnVXBic0ln?oc=5"" target=""_blank"">Hawaman Andaj: ‘डिटवाह’मुळे ढगाळ हवामानाचा अंदाज; राज्यातील तापमानात चढ उतार सुरुच</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agrowon</font>",Disaster,mr
Ditwah Cyclone: श्रीलंकेत 123 बळी घेतल्यानंतर 'दित्वा' चक्रीवादळाची भारताच्या दिशेने वाटचाल; किनारी राज्यांना हाय अलर्ट VIDEO - Dainik Gomantak,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQN0Rkb2RNbFI1Y0Z0b1hhd0Fwa2h4SVVHb2loQjVCdGxwcGpPTVVYbHUySF9PS3FaTGxKNUZMOW5UVnFHdjR0VUNHUmpVRXhvYktTWFR2dUpWTkM3X01PN2JidmxfSzNsVng4a1I5aW9rQktCaE8zd3dreU9FQ3h3MXI5UGZZSTdXamJuTEZLYzNtOVpTbGVCaS1RNTN6ekRDVEgtOGdBcWVYRTVPSnJPR2JQRlBoSDJ0cl9OX3hqWmpJbzJJRDBPSEtlXzk0cHhVR3Npd0E5SmhhOFpuX21OZlRrTXFTUmvSAecBQVVfeXFMUDdEZG9kTWxSNWNGdG9YYXdBcGtoeElVR29paEI1QnRscHBqT01VWGx1MkhfT0txWkxsSjVGTDluVFZxR3Y0dFVDR1JqVUV4b2JLU1hUdnVKVk5DN19NTzdiYnZsX0szbFZ4OGtSOWlva0JLQmhPM3d3a3lPRUN4dzFyOVBmWUk3V2pibkxGS2MzbTlaU2xlQmktUTUzenpEQ1RILThnQXFlWEU1T0pyT0diUEZQaEgydHJfTl94alpqSW8ySUQwT0hLZV85NHB4VUdzaXdBOUpoYThabl9tTmZUa01xU1Jr?oc=5,2025-11-29 17:00:00,Dainik Gomantak,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQN0Rkb2RNbFI1Y0Z0b1hhd0Fwa2h4SVVHb2loQjVCdGxwcGpPTVVYbHUySF9PS3FaTGxKNUZMOW5UVnFHdjR0VUNHUmpVRXhvYktTWFR2dUpWTkM3X01PN2JidmxfSzNsVng4a1I5aW9rQktCaE8zd3dreU9FQ3h3MXI5UGZZSTdXamJuTEZLYzNtOVpTbGVCaS1RNTN6ekRDVEgtOGdBcWVYRTVPSnJPR2JQRlBoSDJ0cl9OX3hqWmpJbzJJRDBPSEtlXzk0cHhVR3Npd0E5SmhhOFpuX21OZlRrTXFTUmvSAecBQVVfeXFMUDdEZG9kTWxSNWNGdG9YYXdBcGtoeElVR29paEI1QnRscHBqT01VWGx1MkhfT0txWkxsSjVGTDluVFZxR3Y0dFVDR1JqVUV4b2JLU1hUdnVKVk5DN19NTzdiYnZsX0szbFZ4OGtSOWlva0JLQmhPM3d3a3lPRUN4dzFyOVBmWUk3V2pibkxGS2MzbTlaU2xlQmktUTUzenpEQ1RILThnQXFlWEU1T0pyT0diUEZQaEgydHJfTl94alpqSW8ySUQwT0hLZV85NHB4VUdzaXdBOUpoYThabl9tTmZUa01xU1Jr?oc=5"" target=""_blank"">Ditwah Cyclone: श्रीलंकेत 123 बळी घेतल्यानंतर 'दित्वा' चक्रीवादळाची भारताच्या दिशेने वाटचाल; किनारी राज्यांना हाय अलर्ट VIDEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dainik Gomantak</font>",Disaster,mr
"Cyclone Ditwah: Where is the storm now, when and where will it make landfall in India? | India News - Hindustan Times",https://news.google.com/rss/articles/CBMi2wFBVV95cUxPSDVOWTZEVm9SVmVfc01QNjdlVXhzU2NmOGdqdk5DdG1YWWFIdjFHU3pTQzZjQlQzdktoU0o1R3ZjbTFnQW9nTENoOUp3QjdHdVNFT0RHUTYyeDJxQWt5V1NhV1RNclhNc3VfU08xeHBlcmlDa0RpR196RjlHS2lNSTJZZFQtQl91RmxVSGtKVkdmVjIxcFBnU2dKNFFhczIySmR3TVlxOFVweE5mZ1ppbUpwc2p3UnVIVk5Ba1VuSWRad2ZMUzNiLUdyeXUxTXIyV0Q1a2xKblB6MknSAeABQVVfeXFMT1VRRXktbmtxRElKSFVTUV9NbTMtT1RJaXpGZVVSZ0g4NFJkbUZlZnRXa18tRkVwSEoxWkJUMHYxeE1tZm1YZk82Wmx5MTI3enhYNGx5RnJ3Zm1XRWhBUmRsTXRPYXY1M0lrUldIWDRvZG1PY3RFZ2Z6eWozUG52ZzRsU2RTU0N1WUItaE5yY1lmelRSVmxPcXByUWRNTXZvdVZiQk9YUUs0QzI2bVFIUTZ2Q2lXRVhlcTBCaS1USEtnUTl2bjJSYzVLSXdrV1VfTjlrLUJ6akJrbWdtLVl3TE8?oc=5,2025-11-29 22:59:53,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPSDVOWTZEVm9SVmVfc01QNjdlVXhzU2NmOGdqdk5DdG1YWWFIdjFHU3pTQzZjQlQzdktoU0o1R3ZjbTFnQW9nTENoOUp3QjdHdVNFT0RHUTYyeDJxQWt5V1NhV1RNclhNc3VfU08xeHBlcmlDa0RpR196RjlHS2lNSTJZZFQtQl91RmxVSGtKVkdmVjIxcFBnU2dKNFFhczIySmR3TVlxOFVweE5mZ1ppbUpwc2p3UnVIVk5Ba1VuSWRad2ZMUzNiLUdyeXUxTXIyV0Q1a2xKblB6MknSAeABQVVfeXFMT1VRRXktbmtxRElKSFVTUV9NbTMtT1RJaXpGZVVSZ0g4NFJkbUZlZnRXa18tRkVwSEoxWkJUMHYxeE1tZm1YZk82Wmx5MTI3enhYNGx5RnJ3Zm1XRWhBUmRsTXRPYXY1M0lrUldIWDRvZG1PY3RFZ2Z6eWozUG52ZzRsU2RTU0N1WUItaE5yY1lmelRSVmxPcXByUWRNTXZvdVZiQk9YUUs0QzI2bVFIUTZ2Q2lXRVhlcTBCaS1USEtnUTl2bjJSYzVLSXdrV1VfTjlrLUJ6akJrbWdtLVl3TE8?oc=5"" target=""_blank"">Cyclone Ditwah: Where is the storm now, when and where will it make landfall in India? | India News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
"Cyclone Ditwah triggers light showers in Tirupati, Nellore and Chittoor districts - The Hindu",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNRHBTZ043WXBEZU1NUVFCUEpZUUhBaTlybXBUMU9oTThUSGNjOUhwZnlMSUtpdEQyTVFmdHM5SmNsajVOam5saGRCWUxYRlNjcHZrSDBGNng3OGh5QktDcUs0OTl0cFJQajJXcHRDbllkWjhzSjFHTW41Tm5XWXU2WWNuTFZDLVpiQVE4RFl3SDk0dWFSaXFTbTU3OG1WcUVvMHJOWUdzSkNZSk5UQVdzRVFabTdXN2duQVVLSkhtZld4MGN0cDFKSzBRNWtTZGxFUTZYTlJJOHpQRHo3TXFoZkdseDFMcEdhTXfSAfABQVVfeXFMUHZydW9WWmVRLUMtTTJENklBNmxyem5kYUJyNnc0MHBsbzZ6el9CT25NNXUzSlJ2YW5NX1ZveEFCaVdKVzZtOW1oV1pQMDdzejN6YW9OQXA1Mlk1M2hqZnhBVjJ6YWR0X3lReW5Temc5ekpyUFF0MGpCOG5mQjZsbnVwR3lrdUpVakF4d3Exb3ZwbHhWT0pLSVZMRUNfWjhKbUNvbEU2ckxXbHptbVljRUlGRDdNVTYtWktmaGlzMFBkb1pjeVBMV1FiZThzcmg1Q2dXRXR6SkRDOEhLNkNHWEMzTHJIckNxeGh3VW5LNnd4?oc=5,2025-11-29 23:08:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNRHBTZ043WXBEZU1NUVFCUEpZUUhBaTlybXBUMU9oTThUSGNjOUhwZnlMSUtpdEQyTVFmdHM5SmNsajVOam5saGRCWUxYRlNjcHZrSDBGNng3OGh5QktDcUs0OTl0cFJQajJXcHRDbllkWjhzSjFHTW41Tm5XWXU2WWNuTFZDLVpiQVE4RFl3SDk0dWFSaXFTbTU3OG1WcUVvMHJOWUdzSkNZSk5UQVdzRVFabTdXN2duQVVLSkhtZld4MGN0cDFKSzBRNWtTZGxFUTZYTlJJOHpQRHo3TXFoZkdseDFMcEdhTXfSAfABQVVfeXFMUHZydW9WWmVRLUMtTTJENklBNmxyem5kYUJyNnc0MHBsbzZ6el9CT25NNXUzSlJ2YW5NX1ZveEFCaVdKVzZtOW1oV1pQMDdzejN6YW9OQXA1Mlk1M2hqZnhBVjJ6YWR0X3lReW5Temc5ekpyUFF0MGpCOG5mQjZsbnVwR3lrdUpVakF4d3Exb3ZwbHhWT0pLSVZMRUNfWjhKbUNvbEU2ckxXbHptbVljRUlGRDdNVTYtWktmaGlzMFBkb1pjeVBMV1FiZThzcmg1Q2dXRXR6SkRDOEhLNkNHWEMzTHJIckNxeGh3VW5LNnd4?oc=5"" target=""_blank"">Cyclone Ditwah triggers light showers in Tirupati, Nellore and Chittoor districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Cyclone Ditwah Live: Storm inches towards Tamil Nadu–Puducherry coasts; 153 Dead in Sri Lanka - India Today,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQR1lJMUFTX3g3Z0RhS0VHUktjVExiUDFBelVjcDhPalRVaG0yUG9UU1k3TUwxUnBiUEVEaUxvbTR6SkU3dTFLbTFnOFFZNkxDT1kzS2l4RndOXzhnay1xaXpRWW81Z0s2cmVYNEFwZnRLbWdaa2t1MEtKa3FSajVHVkJ4aVY3VmNqeFVzS0l6Qm0zV291dVdVSU5kaEFLUUZJcExjWnliRmhDT25BaVFKUUNQRXlYM1J3U3BoSmdJajhzSzAyWlkyYl9VRjRRTUpZQW1KTXdOMHo4MUHSAeABQVVfeXFMT1lsX0hyNFZaalh6a0V3dW5VOF9jWFlNcHBSZGw5bHo4SG5HOTVYazdxRGl1TGJoRDEtalJoVURhNmgxVzhKSzNfX3V4a1hPNHVYbDhhdC12Y3hQNDBGS0wyT1YtQVpCRkNiMDV1VFNmckszUkZnZFJDV3RQai0tTjlhcU1Ja0JPdkdpRDN3NThaelN2dHAtRlRFSFNfWU9PdUNWV2s5Sk1OV2RfbzdjNVJNRkVucFRPSWtkYVFKVmVaTlNKMW5qRjFlcmlaNDBVdTNrVlhZUTlxMlhMT1BGUzg?oc=5,2025-11-30 04:34:17,India Today,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQR1lJMUFTX3g3Z0RhS0VHUktjVExiUDFBelVjcDhPalRVaG0yUG9UU1k3TUwxUnBiUEVEaUxvbTR6SkU3dTFLbTFnOFFZNkxDT1kzS2l4RndOXzhnay1xaXpRWW81Z0s2cmVYNEFwZnRLbWdaa2t1MEtKa3FSajVHVkJ4aVY3VmNqeFVzS0l6Qm0zV291dVdVSU5kaEFLUUZJcExjWnliRmhDT25BaVFKUUNQRXlYM1J3U3BoSmdJajhzSzAyWlkyYl9VRjRRTUpZQW1KTXdOMHo4MUHSAeABQVVfeXFMT1lsX0hyNFZaalh6a0V3dW5VOF9jWFlNcHBSZGw5bHo4SG5HOTVYazdxRGl1TGJoRDEtalJoVURhNmgxVzhKSzNfX3V4a1hPNHVYbDhhdC12Y3hQNDBGS0wyT1YtQVpCRkNiMDV1VFNmckszUkZnZFJDV3RQai0tTjlhcU1Ja0JPdkdpRDN3NThaelN2dHAtRlRFSFNfWU9PdUNWV2s5Sk1OV2RfbzdjNVJNRkVucFRPSWtkYVFKVmVaTlNKMW5qRjFlcmlaNDBVdTNrVlhZUTlxMlhMT1BGUzg?oc=5"" target=""_blank"">Cyclone Ditwah Live: Storm inches towards Tamil Nadu–Puducherry coasts; 153 Dead in Sri Lanka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"Cyclone Ditwah will hit Tamil Nadu today: Alert for rain with storm, schools closed; 150 died in Sri Lanka,... - Bhaskar English",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdHhOeklYZ2EyYWVabEVQSV9MSkwxY21GaEZFMndwb192dTVkd2hNYnJFbWpLaFUxLWdUbnVLZ3FkSkI3UmZaNjZtcjV0amRHTXJyQnJVaVdSSjFqUHIxVW9QNktTTDhidlBUWE90SjlYSF8wMVVKQzlzTEFKNE5QNlMzQk9GVk9aUkk0Z2djeW5tbE5LLUlSWXo0SGxZaFl5dE5kNmFvYlpnZ3hoaDlyeHZzc096X2diYUNxcWJyNXQ5dFdHWHhIQW5KM1BzTmpYUkFxeWZWWjRBN2ZXejVB0gHfAUFVX3lxTFB0eE56SVhnYTJhZVpsRVBJX0xKTDFjbUZoRkUyd3BvX3Z1NWR3aE1ickVtaktoVTEtZ1RudUtncWRKQjdSZlo2Nm1yNXRqZEdNcnJCclVpV1JKMWpQcjFVb1A2S1NMOGJ2UFRYT3RKOVhIXzAxVUpDOXNMQUo0TlA2UzNCT0ZWT1pSSTRnZ2N5bm1sTkstSVJZejRIbFloWXl0TmQ2YW9iWmdneGhoOXJ4dnNzT3pfZ2JhQ3FxYnI1dDl0V0dYeEhBbkozUHNOalhSQXF5ZlZaNEE3Zld6NUE?oc=5,2025-11-30 06:44:18,Bhaskar English,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdHhOeklYZ2EyYWVabEVQSV9MSkwxY21GaEZFMndwb192dTVkd2hNYnJFbWpLaFUxLWdUbnVLZ3FkSkI3UmZaNjZtcjV0amRHTXJyQnJVaVdSSjFqUHIxVW9QNktTTDhidlBUWE90SjlYSF8wMVVKQzlzTEFKNE5QNlMzQk9GVk9aUkk0Z2djeW5tbE5LLUlSWXo0SGxZaFl5dE5kNmFvYlpnZ3hoaDlyeHZzc096X2diYUNxcWJyNXQ5dFdHWHhIQW5KM1BzTmpYUkFxeWZWWjRBN2ZXejVB0gHfAUFVX3lxTFB0eE56SVhnYTJhZVpsRVBJX0xKTDFjbUZoRkUyd3BvX3Z1NWR3aE1ickVtaktoVTEtZ1RudUtncWRKQjdSZlo2Nm1yNXRqZEdNcnJCclVpV1JKMWpQcjFVb1A2S1NMOGJ2UFRYT3RKOVhIXzAxVUpDOXNMQUo0TlA2UzNCT0ZWT1pSSTRnZ2N5bm1sTkstSVJZejRIbFloWXl0TmQ2YW9iWmdneGhoOXJ4dnNzT3pfZ2JhQ3FxYnI1dDl0V0dYeEhBbkozUHNOalhSQXF5ZlZaNEE3Zld6NUE?oc=5"" target=""_blank"">Cyclone Ditwah will hit Tamil Nadu today: Alert for rain with storm, schools closed; 150 died in Sri Lanka,...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bhaskar English</font>",Disaster,en
