Title,Link,Date,Source,Summary,Term,LanguageQueried
Summer Heat Alert : कोकणात उष्ण व दमट हवामानाचा इशारा - Agrowon,https://news.google.com/rss/articles/CBMimwFBVV95cUxPc2lvaTdpNVdHSi1heXhKbTU3NzF6ZnBnOThfX1lSRHNuRXdpLWdhdm5LS1JvbWtzMTFoMDZ4VFQ5RDVFTmpzMzR3T1RVNjd2dks1b3RXUFRjZ1lOVVdYMURRZ3hZaHAzVTZEM2NKVVNNT1ZFOFE5aTBLLWJieWN3cUNNZzl4cFRxQ1VYa1Vqak9lbVEyb3M5Mlg3ONIBqAFBVV95cUxPRE1TMFo2ZmJSS21xT1lzQTNUUDlwTVd6YkxTLWlLNGNiVnNZRi1YTEZYSTRGYWtVTUV3dEU3aTQ4a3hEdExvWDhpZDRuZlZYYXpzbDZzMFVfZFVtY0JZSFMzLW5pOWlKNFNPOWZueHRYbVR6U3VGVnhHVmZmWHJCRVN2RExGRENRMjVCMzBFd2tWQTJIT0h4S2F1dVU4T1VwSmlLM1RSY2k?oc=5,2025-04-07 06:00:00,Agrowon,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPc2lvaTdpNVdHSi1heXhKbTU3NzF6ZnBnOThfX1lSRHNuRXdpLWdhdm5LS1JvbWtzMTFoMDZ4VFQ5RDVFTmpzMzR3T1RVNjd2dks1b3RXUFRjZ1lOVVdYMURRZ3hZaHAzVTZEM2NKVVNNT1ZFOFE5aTBLLWJieWN3cUNNZzl4cFRxQ1VYa1Vqak9lbVEyb3M5Mlg3ONIBqAFBVV95cUxPRE1TMFo2ZmJSS21xT1lzQTNUUDlwTVd6YkxTLWlLNGNiVnNZRi1YTEZYSTRGYWtVTUV3dEU3aTQ4a3hEdExvWDhpZDRuZlZYYXpzbDZzMFVfZFVtY0JZSFMzLW5pOWlKNFNPOWZueHRYbVR6U3VGVnhHVmZmWHJCRVN2RExGRENRMjVCMzBFd2tWQTJIT0h4S2F1dVU4T1VwSmlLM1RSY2k?oc=5"" target=""_blank"">Summer Heat Alert : कोकणात उष्ण व दमट हवामानाचा इशारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agrowon</font>",Heatwave,mr
Maharashtra Weather Update: महाराष्ट्रात पावसानंतर आता - LatestLY,https://news.google.com/rss/articles/CBMisAJBVV95cUxPQjNORkt3MlplMXl3ZXFla1UtMFdNcjFsakpaZUlVVnE1TjdhMVNSNGdxbE8wbzM1LUlIR2pFMlBRdFVGSWpJT1dZME5pdFJRcmhVR3E3QUJNdkVzbDdOTmJhNFBpcWJLQml2LUNpaU92UkxPdEpPZW9wc3Nad3dhc3BvSkVtb3lhdkFMTE05eERMcHR5bE5rLXAxSjQ1R2dUOWdYOEhzUnNzNDR2OGFEVnZhZmdXSndRUkRvX2lycFJhYzJ2Yzl5S1hOYTJFc1FnNzlDaUc5NFVnZTVMYkstYkFZTTBDVG9ncHlBSHJDYzUtNU1hekVzVnc2eUtUblAzUk5UNlJQUWwyM0s1VFZnYlZJcTFWZzA3ZEF4N01LZkQ1OWpieHJNV190OEx1RXgz0gG2AkFVX3lxTFAwUUpHcDdMWFZMOWRDTy1vVHFxQ0FIYjNEb19oVlFkdkpfcDFYbGRuNzlxZVhpcFR3Ml9PRWtPWHJUeVhPVFl6eFVRc21LZmZheHFwdXktWm83TWV6SDRXRXJRRmR3dlJFWDlmUTJHQVpLVi1hZjdESmhmd2Q2RkpGdERLNGJVSE5USm93TVJxOWZfc0FzV2NTVlZycDdCdGpDOE42TzRBUWo5NU83S2RoX3hyWWNYd2NsTHF0dnV3MlZMTDBMaGh2TjlFb1NIdlNTd0hacWFoTW9pTlRMd29YaWlvblBkMEQ3SVBUTGV6dHpmY1JhbUItM3Z6Y3lBYkw5TWlmNVhOTl8tVWMxVzI5UjM1ZGpsZFppTElFVGNucjU1Ti1pbWJ6bnJ3NUFQNG0wcWdxMnc?oc=5,2025-04-07 09:46:04,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMisAJBVV95cUxPQjNORkt3MlplMXl3ZXFla1UtMFdNcjFsakpaZUlVVnE1TjdhMVNSNGdxbE8wbzM1LUlIR2pFMlBRdFVGSWpJT1dZME5pdFJRcmhVR3E3QUJNdkVzbDdOTmJhNFBpcWJLQml2LUNpaU92UkxPdEpPZW9wc3Nad3dhc3BvSkVtb3lhdkFMTE05eERMcHR5bE5rLXAxSjQ1R2dUOWdYOEhzUnNzNDR2OGFEVnZhZmdXSndRUkRvX2lycFJhYzJ2Yzl5S1hOYTJFc1FnNzlDaUc5NFVnZTVMYkstYkFZTTBDVG9ncHlBSHJDYzUtNU1hekVzVnc2eUtUblAzUk5UNlJQUWwyM0s1VFZnYlZJcTFWZzA3ZEF4N01LZkQ1OWpieHJNV190OEx1RXgz0gG2AkFVX3lxTFAwUUpHcDdMWFZMOWRDTy1vVHFxQ0FIYjNEb19oVlFkdkpfcDFYbGRuNzlxZVhpcFR3Ml9PRWtPWHJUeVhPVFl6eFVRc21LZmZheHFwdXktWm83TWV6SDRXRXJRRmR3dlJFWDlmUTJHQVpLVi1hZjdESmhmd2Q2RkpGdERLNGJVSE5USm93TVJxOWZfc0FzV2NTVlZycDdCdGpDOE42TzRBUWo5NU83S2RoX3hyWWNYd2NsTHF0dnV3MlZMTDBMaGh2TjlFb1NIdlNTd0hacWFoTW9pTlRMd29YaWlvblBkMEQ3SVBUTGV6dHpmY1JhbUItM3Z6Y3lBYkw5TWlmNVhOTl8tVWMxVzI5UjM1ZGpsZFppTElFVGNucjU1Ti1pbWJ6bnJ3NUFQNG0wcWdxMnc?oc=5"" target=""_blank"">Maharashtra Weather Update: महाराष्ट्रात पावसानंतर आता</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Heatwave,mr
Temperature today: अवकाळीनंतर पुन्हा उष्णतेच्या लाटांना सुरुवात! संपूर्ण कोकणपट्ट्यात - ABP News,https://news.google.com/rss/articles/CBMilwJBVV95cUxOczNFNm9zMUhTd24yVTVPQjdhVG01YVdvN0FUN2JIZ3ZlOFNIR2xtc2lHcXhjWHlPY3RZRW85Y3dfcEtheW5HVnkycHdKdTh6ZThCWks1eDVCXzBSbEJaTGtRYjhNRzE2NnEwZllaLWd1M2tXR2RNdnVldFk0RDFhd19QMTlULTM0MG1aVUdQaUo5UjI2REtFUWRfakZOOXNVc0RWUG0yQk1qUFh1RW9MN0NfWGdHSnR0dVhuZmhta0xjcGp2WW8yZS1vMnNZUFB4dXRpS3FhcWtVV1g3ZEhKWTZwVzNwb2dOblBiTkVTOGQ0TjJVenBTRVpfODZpSDBlcXFVZDhOU2RxZXAyWnZFWHEyenZjY1XSAZwCQVVfeXFMTU1qUkg3MlhUTjlwdXVPZXVTcVVvc0RzMjhXc19YOWxVTVcwdXRONFB1WkZLVjFhcVF1UFMySm0xV1plQ0wwY0tIUTNTWThoV2t2MmkyZU1NbV96YnVEMlB6QXpHSnBYWGU2ZVYwSEtLYTlxNnZYT2ZSRkFPUDI1SndkQXZGd203SG5nMnN0aXNBMms5T3g0SldQa1pubjEwcndSXzdXNGdDWXAzMl95UzJZSXJWTGxRMVdkVTVNWjVtVU9yUnRreXdHU3ZMeDJTdWpOcDNFWTd2ZjZtTm5WYlNSY3hGMVhrUFhYaHp1d052aTdCQzlzRVBoVjY5cGEyQlhJeFBWT3djWlVWNjAzQS04OWdnZ1duckc4YWU?oc=5,2025-04-06 14:10:58,ABP News,"<a href=""https://news.google.com/rss/articles/CBMilwJBVV95cUxOczNFNm9zMUhTd24yVTVPQjdhVG01YVdvN0FUN2JIZ3ZlOFNIR2xtc2lHcXhjWHlPY3RZRW85Y3dfcEtheW5HVnkycHdKdTh6ZThCWks1eDVCXzBSbEJaTGtRYjhNRzE2NnEwZllaLWd1M2tXR2RNdnVldFk0RDFhd19QMTlULTM0MG1aVUdQaUo5UjI2REtFUWRfakZOOXNVc0RWUG0yQk1qUFh1RW9MN0NfWGdHSnR0dVhuZmhta0xjcGp2WW8yZS1vMnNZUFB4dXRpS3FhcWtVV1g3ZEhKWTZwVzNwb2dOblBiTkVTOGQ0TjJVenBTRVpfODZpSDBlcXFVZDhOU2RxZXAyWnZFWHEyenZjY1XSAZwCQVVfeXFMTU1qUkg3MlhUTjlwdXVPZXVTcVVvc0RzMjhXc19YOWxVTVcwdXRONFB1WkZLVjFhcVF1UFMySm0xV1plQ0wwY0tIUTNTWThoV2t2MmkyZU1NbV96YnVEMlB6QXpHSnBYWGU2ZVYwSEtLYTlxNnZYT2ZSRkFPUDI1SndkQXZGd203SG5nMnN0aXNBMms5T3g0SldQa1pubjEwcndSXzdXNGdDWXAzMl95UzJZSXJWTGxRMVdkVTVNWjVtVU9yUnRreXdHU3ZMeDJTdWpOcDNFWTd2ZjZtTm5WYlNSY3hGMVhrUFhYaHp1d052aTdCQzlzRVBoVjY5cGEyQlhJeFBWT3djWlVWNjAzQS04OWdnZ1duckc4YWU?oc=5"" target=""_blank"">Temperature today: अवकाळीनंतर पुन्हा उष्णतेच्या लाटांना सुरुवात! संपूर्ण कोकणपट्ट्यात</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP News</font>",Heatwave,mr
Weather News l महाराष्ट्र होरपळणार! 'या' भागाला उष्णतेच्या लाटेचा इशारा - thodkyaat.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE1kUkdVN293ZHo4b0Q1ZUlBMnBYSXRKZ0xZMHZycXlhMkl5VGRSeFhyWTNzTHRXQVJ4RGtMR2Z3OE1oZ1hvWTg3TkFRbFFuYVY3c1dYVVlWWWNMRlMwcUt0WEMyRG5OMFVYRXNKZzFTTWQwNkU?oc=5,2025-04-07 09:42:48,thodkyaat.com,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1kUkdVN293ZHo4b0Q1ZUlBMnBYSXRKZ0xZMHZycXlhMkl5VGRSeFhyWTNzTHRXQVJ4RGtMR2Z3OE1oZ1hvWTg3TkFRbFFuYVY3c1dYVVlWWWNMRlMwcUt0WEMyRG5OMFVYRXNKZzFTTWQwNkU?oc=5"" target=""_blank"">Weather News l महाराष्ट्र होरपळणार! 'या' भागाला उष्णतेच्या लाटेचा इशारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thodkyaat.com</font>",Heatwave,mr
"सावधान! राज्यात पुन्हा उष्णतेची लाट; पुढील पाच दिवस 'असा' दिलाय इशारा, कशामुळे बदललंय वातावरण? वाचा - Marathi Oneindia",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWFNVemdnTnl1emVMYUxneUNYMktLRm0wazFzaHJzYkVwZ3hZZjB3U045UFdldUk5eHBtd3dMUzkwNUx4MzJvaWw2Rm5FQUlzRkdhOWFLX1hOeEJSckRYRzREcFRCcjBTcVZEQklzYml2MmpsQ3BuTUEwOXBtN3ZlanFnZmVzTUxBckQtUnhKRmJPMm5XYzhYQm5BbEVPc09UYmNxLWdMVTFiU2hPQllJMFoxSHZqdmZoQk02RTV4N0dmNHlOSjBzeVpOUE9RSEpZLXgtNVdrN19xX3hkeXo0SWdR?oc=5,2025-04-06 15:26:26,Marathi Oneindia,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxQWFNVemdnTnl1emVMYUxneUNYMktLRm0wazFzaHJzYkVwZ3hZZjB3U045UFdldUk5eHBtd3dMUzkwNUx4MzJvaWw2Rm5FQUlzRkdhOWFLX1hOeEJSckRYRzREcFRCcjBTcVZEQklzYml2MmpsQ3BuTUEwOXBtN3ZlanFnZmVzTUxBckQtUnhKRmJPMm5XYzhYQm5BbEVPc09UYmNxLWdMVTFiU2hPQllJMFoxSHZqdmZoQk02RTV4N0dmNHlOSjBzeVpOUE9RSEpZLXgtNVdrN19xX3hkeXo0SWdR?oc=5"" target=""_blank"">सावधान! राज्यात पुन्हा उष्णतेची लाट; पुढील पाच दिवस 'असा' दिलाय इशारा, कशामुळे बदललंय वातावरण? वाचा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Marathi Oneindia</font>",Heatwave,mr
"Maharashtra Weather Update: मुंबईकरांनो काळजी घ्या! पुढचे ३ दिवस महत्वाचे, उष्णता आणखी वाढणार; आज कुठे कसं हवामान? - Saam Tv",https://news.google.com/rss/articles/CBMigwJBVV95cUxQWjBScDZYUVpudnhIU3dRQ2hzaVpUeW56MDI3M0xFWklDdjFWSWhwcGtCbmNaWE1HNEpJQTBabE52QkNuYXVhQk9PSnZMVExHQzhrS1RqS1Q0d3NyaVp3cU9kMnI4V0t6WlluYnFSS1pjQ1pZY0xTTE5tWFZGTW9QZHFvZU91TUhwSkRhM2hCNTBnZ1ZSbW9acFdpSnFDd0FaSkJKMElRZTlvaFNzYXotNVp0d19YTURrclcySzUteTdZWDM1cEpaYWg1b2hfWElnUjZVZGVPUGF5T1NWam1WN1BSSlU3clcyZ1oydGVLdTBRQTQ0MmhfWHdtVUpjcFhIeW530gGQAkFVX3lxTE5fS3p0b0g2ZTQweFVTWW9DWHFxdmhWNDJzRlFrSDdDVkc3eXFtZ2NualNsMjN5SnRnbTFpQ3BzaVl4d2YydlNILVFXS3hzSzVsTEtId1lLMlI4b2xvV2tSSUtMVUVVNU5HblBlcTUyb1dJbjdaZll0bUs3R1FxOWw1NHFybkZ6dmF3dXpuVmZiZ2pYLXJTbFlSSGZGT1E3OE1yd0JnbVdTUmZyRm5maWJtcGZXaWhVejFYV0lWaU13OFo2NE15QUlGYXRHbEZUdmM0Q2d3emcwaWNLYVl3c2oyX2hXcUpaY0pEOGhiOUhyRnJFQ2VlWU5PelZGOEp4QlVNTkw2RmQ5NUpHYVNtZ1hI?oc=5,2025-04-07 08:57:34,Saam Tv,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxQWjBScDZYUVpudnhIU3dRQ2hzaVpUeW56MDI3M0xFWklDdjFWSWhwcGtCbmNaWE1HNEpJQTBabE52QkNuYXVhQk9PSnZMVExHQzhrS1RqS1Q0d3NyaVp3cU9kMnI4V0t6WlluYnFSS1pjQ1pZY0xTTE5tWFZGTW9QZHFvZU91TUhwSkRhM2hCNTBnZ1ZSbW9acFdpSnFDd0FaSkJKMElRZTlvaFNzYXotNVp0d19YTURrclcySzUteTdZWDM1cEpaYWg1b2hfWElnUjZVZGVPUGF5T1NWam1WN1BSSlU3clcyZ1oydGVLdTBRQTQ0MmhfWHdtVUpjcFhIeW530gGQAkFVX3lxTE5fS3p0b0g2ZTQweFVTWW9DWHFxdmhWNDJzRlFrSDdDVkc3eXFtZ2NualNsMjN5SnRnbTFpQ3BzaVl4d2YydlNILVFXS3hzSzVsTEtId1lLMlI4b2xvV2tSSUtMVUVVNU5HblBlcTUyb1dJbjdaZll0bUs3R1FxOWw1NHFybkZ6dmF3dXpuVmZiZ2pYLXJTbFlSSGZGT1E3OE1yd0JnbVdTUmZyRm5maWJtcGZXaWhVejFYV0lWaU13OFo2NE15QUlGYXRHbEZUdmM0Q2d3emcwaWNLYVl3c2oyX2hXcUpaY0pEOGhiOUhyRnJFQ2VlWU5PelZGOEp4QlVNTkw2RmQ5NUpHYVNtZ1hI?oc=5"" target=""_blank"">Maharashtra Weather Update: मुंबईकरांनो काळजी घ्या! पुढचे ३ दिवस महत्वाचे, उष्णता आणखी वाढणार; आज कुठे कसं हवामान?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Saam Tv</font>",Heatwave,mr
"Maharashtra Weather Update : विदर्भ, मराठवाड्यात सूर्य तळपला; कोकणात उष्ण व दमट हवामानाचा इशारा - Esakal",https://news.google.com/rss/articles/CBMirwFBVV95cUxQWXFGSlBsc3FCeVdWOFpENzRCMGlJTTZ0M2pYNzRWdUhKbGVBZE1TNjQzdDFlM1Q3VUNKNzlxbk51V2RxdnZmdzIzTmZLTGpPYTI3Y0lTN0x6d3ZwT0FUaFVMdUVBSDJZM3RXV2oxTDdZb0lpMVZ4SGljbl9QR3hCZkNfM2RiR0ZXNFVrbGVDZDVibkNCdXZqQk1TOTdBaHhieTRWT1pQZVZMUkVla0xv?oc=5,2025-04-07 04:30:00,Esakal,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQWXFGSlBsc3FCeVdWOFpENzRCMGlJTTZ0M2pYNzRWdUhKbGVBZE1TNjQzdDFlM1Q3VUNKNzlxbk51V2RxdnZmdzIzTmZLTGpPYTI3Y0lTN0x6d3ZwT0FUaFVMdUVBSDJZM3RXV2oxTDdZb0lpMVZ4SGljbl9QR3hCZkNfM2RiR0ZXNFVrbGVDZDVibkNCdXZqQk1TOTdBaHhieTRWT1pQZVZMUkVla0xv?oc=5"" target=""_blank"">Maharashtra Weather Update : विदर्भ, मराठवाड्यात सूर्य तळपला; कोकणात उष्ण व दमट हवामानाचा इशारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Esakal</font>",Heatwave,mr
IMD Issues Heatwave Alert for Maharashtra: आयएमडीकडून - LatestLY,https://news.google.com/rss/articles/CBMivgFBVV95cUxOOU5hMHRjdUF5WU40UmF6YmR3eWp3eDFxNVJMaGhmdk5fSjdYWXM0SlQ4cEl6RFJYcjU3c0RIQ2o5d3U1V25tdHdqR1JMZDNrS20xRnEzcmJWazZfYzRCWlJienJSdXZsREdzOUtaYlBmVGxSS3BUMlpuY2ExYmQxNEF2d08taHJVb0IzaXNqV0ZQOVhMcHNrTEYyU0lwbFJ6elJBN1BmTEpWQ3pPYnNQY0s0WUZ6UDBDTFM3Mkxn0gHDAUFVX3lxTE9fQ3VGNXBUVS1HX0l5cG9qd1JLaXFMdFVqQnpZU0RFQTRLRE90LXc0V2N4QUZhcXlidVl3LW5zT2dqU3NJSmt2VHd0bU1xMnpud1IteS1NRVBwQ1dUSWFuQUsxYTVhZkRuSVJLdTMzVDRGOVA3MTJRWGVTMmQ1dGVNOWppbjR4R2tUakVjUVNpZlJFLXdKSGZ1R1hlYjczb1ZVZkxfcDgyVVZjaEZqQTNraExKZ1pKeUNJN2RPNWhKSGZZZw?oc=5,2025-04-06 12:10:53,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOOU5hMHRjdUF5WU40UmF6YmR3eWp3eDFxNVJMaGhmdk5fSjdYWXM0SlQ4cEl6RFJYcjU3c0RIQ2o5d3U1V25tdHdqR1JMZDNrS20xRnEzcmJWazZfYzRCWlJienJSdXZsREdzOUtaYlBmVGxSS3BUMlpuY2ExYmQxNEF2d08taHJVb0IzaXNqV0ZQOVhMcHNrTEYyU0lwbFJ6elJBN1BmTEpWQ3pPYnNQY0s0WUZ6UDBDTFM3Mkxn0gHDAUFVX3lxTE9fQ3VGNXBUVS1HX0l5cG9qd1JLaXFMdFVqQnpZU0RFQTRLRE90LXc0V2N4QUZhcXlidVl3LW5zT2dqU3NJSmt2VHd0bU1xMnpud1IteS1NRVBwQ1dUSWFuQUsxYTVhZkRuSVJLdTMzVDRGOVA3MTJRWGVTMmQ1dGVNOWppbjR4R2tUakVjUVNpZlJFLXdKSGZ1R1hlYjczb1ZVZkxfcDgyVVZjaEZqQTNraExKZ1pKeUNJN2RPNWhKSGZZZw?oc=5"" target=""_blank"">IMD Issues Heatwave Alert for Maharashtra: आयएमडीकडून</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Heatwave,mr
"Cruel summer: Heatwave sears Gujarat, Rajasthan; mercury to touch 42°C in Delhi - India Today",https://news.google.com/rss/articles/CBMi-gFBVV95cUxQNWI2Y2RTYkl5LUpQdENuZlhvUkttaDhVZEt4SnRCeUlISjVkYnBSUkttWkt2R3BGX3d4bzBTcUJsQUFkSmJvNmN6ZnYyOWk1VW1yS2h2UmtFdEhmN2Rtci1fUVVxaXdiQXo5Z19vdG1abFk4bG9McFhTc3oxaUJ2NHpsUzMwMDdDTm54V1hlOGVxNTAtRkk4aDlLMzNjT0xDVXN1UEJ1c3RFN0JxRV9qc3MwTVA1LVRwa0JXOW5ZLVE2bzRsQ09kUEZqaFluX0NZLUVXcXJKVHBZZ2p3U0hRVlkwNXpXTjNPcXVQNEkwaUN0eEt4eG1rOHBR0gH_AUFVX3lxTE1VYnIyYVFaRDl2d3FuVU1wbTREMzhYWFd4TDh6YjVNNTFqMnIxZHRabDZrUURkZ2lQR1pqaUt1ZHB1OE03N0RmYXhwZVhHRktfMnMtNmtrY2M3Yl9ZdDY4MXJ4M3d2N08ybDJ2c0I5ek5hcGctQWJ6aFJlaEpLTTg0MEJVYmhyYlhqU29NTldjZldMVHk2UEhTUzR4Vm94MGRGVlFPTWY4WmpfandCRHRpUjNwRjZ2LXRIV25iNVYyV3FLVldKek1PdVZzNDktY0ZSOWswbjhqOGlCem5HZzBXWDhUanBhTnUxYkI4eVN3clZrajdoekMxNjIxYk9CUQ?oc=5,2025-04-07 08:32:24,India Today,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxQNWI2Y2RTYkl5LUpQdENuZlhvUkttaDhVZEt4SnRCeUlISjVkYnBSUkttWkt2R3BGX3d4bzBTcUJsQUFkSmJvNmN6ZnYyOWk1VW1yS2h2UmtFdEhmN2Rtci1fUVVxaXdiQXo5Z19vdG1abFk4bG9McFhTc3oxaUJ2NHpsUzMwMDdDTm54V1hlOGVxNTAtRkk4aDlLMzNjT0xDVXN1UEJ1c3RFN0JxRV9qc3MwTVA1LVRwa0JXOW5ZLVE2bzRsQ09kUEZqaFluX0NZLUVXcXJKVHBZZ2p3U0hRVlkwNXpXTjNPcXVQNEkwaUN0eEt4eG1rOHBR0gH_AUFVX3lxTE1VYnIyYVFaRDl2d3FuVU1wbTREMzhYWFd4TDh6YjVNNTFqMnIxZHRabDZrUURkZ2lQR1pqaUt1ZHB1OE03N0RmYXhwZVhHRktfMnMtNmtrY2M3Yl9ZdDY4MXJ4M3d2N08ybDJ2c0I5ek5hcGctQWJ6aFJlaEpLTTg0MEJVYmhyYlhqU29NTldjZldMVHk2UEhTUzR4Vm94MGRGVlFPTWY4WmpfandCRHRpUjNwRjZ2LXRIV25iNVYyV3FLVldKek1PdVZzNDktY0ZSOWswbjhqOGlCem5HZzBXWDhUanBhTnUxYkI4eVN3clZrajdoekMxNjIxYk9CUQ?oc=5"" target=""_blank"">Cruel summer: Heatwave sears Gujarat, Rajasthan; mercury to touch 42°C in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Heatwave,en
Maharashtra Weather Update: Heatwave Intensifies in April After Brief Relief From Rains - lokmattimes.com,https://news.google.com/rss/articles/CBMizAFBVV95cUxPSWFwd0NCYTRPbnNXeUF4aXlHcjJNWndaUjNvMnlzY0lKeVdFRWRpN29KVGlIcFBOVGVfRWd6WW1KbHpTenp1Rm5BY3pXOGd5SnVYVUxwRGEtNllYY3VDNFFSdl9ROWd6WExyaE1FbXp0VW5JYVNUaURaa0F5dFl3eW5MMmJVQ0ZXbi14YlNObVRUTTFoRlBMVjZOWGNIYV9hWXFyQkQtck1abzNGeC0tZU1ab25XdHdabkhHMy1GU2VKSUVVb25xNEd5YW_SAdIBQVVfeXFMTkFEX2dfZFRrckhUQm5tNERHM1hHOXR0eWh1WUJxMkdJSFhUZHl5SGdmLWFPUzJwRXJwR1E5Tko3QWRDUjdnNFdTbWJOMWNSMWw5SEgwVFdIU0JzYVNEeGx3VFo3YV9JQXduUmpPcjZDeXpJNk5WRmRMcjNwamFHdV85b0hlTlJBQlBaV01iZWcxem1wSndPb0NRRFRVemlRa2ZQekNxQkxJZGtzOW1Fb0pqUFd5dDhodU10MERySHdiZFE5eXBTXzRXaDFJN2JDb0tR?oc=5,2025-04-07 09:45:48,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPSWFwd0NCYTRPbnNXeUF4aXlHcjJNWndaUjNvMnlzY0lKeVdFRWRpN29KVGlIcFBOVGVfRWd6WW1KbHpTenp1Rm5BY3pXOGd5SnVYVUxwRGEtNllYY3VDNFFSdl9ROWd6WExyaE1FbXp0VW5JYVNUaURaa0F5dFl3eW5MMmJVQ0ZXbi14YlNObVRUTTFoRlBMVjZOWGNIYV9hWXFyQkQtck1abzNGeC0tZU1ab25XdHdabkhHMy1GU2VKSUVVb25xNEd5YW_SAdIBQVVfeXFMTkFEX2dfZFRrckhUQm5tNERHM1hHOXR0eWh1WUJxMkdJSFhUZHl5SGdmLWFPUzJwRXJwR1E5Tko3QWRDUjdnNFdTbWJOMWNSMWw5SEgwVFdIU0JzYVNEeGx3VFo3YV9JQXduUmpPcjZDeXpJNk5WRmRMcjNwamFHdV85b0hlTlJBQlBaV01iZWcxem1wSndPb0NRRFRVemlRa2ZQekNxQkxJZGtzOW1Fb0pqUFd5dDhodU10MERySHdiZFE5eXBTXzRXaDFJN2JDb0tR?oc=5"" target=""_blank"">Maharashtra Weather Update: Heatwave Intensifies in April After Brief Relief From Rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Heatwave,en
