Title,Link,Date,Source,Summary,Term,LanguageQueried
Rain Alert Maharashtra : राज्यात वादळी पावसाचा इशारा - Agrowon,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPRUNzNXZmUHM4ZHMxSnQydU45N0U3amY4N29tcGhhelpsemlJSXFpblhoNGw5UmcxR0QxeE5zSkIwWEVobjJIdm11TWc3ZGEtbkEwWHBKRmZFejdTYkdfeG16TUpXZEpVZTJPNHVPWW9VTEUwZ05ISzd0c0NuUDdLQjlwemhlOEZmQXFXNldiNjZWQ0ZpdHJ4dmVXZ2dFYVlSTzFUTS1RRGttYnZkVWxtUkhqLV9Cb0ZP0gG4AUFVX3lxTE9FQ3M1dmZQczhkczFKdDJ1Tjk3RTdqZjg3b21waGF6Wmx6aUlJcWluWGg0bDlSZzFHRDF4TnNKQjBYRWhuMkh2bXVNZzdkYS1uQTBYcEpGZkV6N1NiR194bXpNSldkSlVlMk80dU9Zb1VMRTBnTkhLN3RzQ25QN0tCOXB6aGU4RmZBcVc2V2I2NlZDRml0cnh2ZVdnZ0VhWVJPMVRNLVFEa21idmRVbG1SSGotX0JvRk8?oc=5,2025-05-05 06:00:00,Agrowon,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPRUNzNXZmUHM4ZHMxSnQydU45N0U3amY4N29tcGhhelpsemlJSXFpblhoNGw5UmcxR0QxeE5zSkIwWEVobjJIdm11TWc3ZGEtbkEwWHBKRmZFejdTYkdfeG16TUpXZEpVZTJPNHVPWW9VTEUwZ05ISzd0c0NuUDdLQjlwemhlOEZmQXFXNldiNjZWQ0ZpdHJ4dmVXZ2dFYVlSTzFUTS1RRGttYnZkVWxtUkhqLV9Cb0ZP0gG4AUFVX3lxTE9FQ3M1dmZQczhkczFKdDJ1Tjk3RTdqZjg3b21waGF6Wmx6aUlJcWluWGg0bDlSZzFHRDF4TnNKQjBYRWhuMkh2bXVNZzdkYS1uQTBYcEpGZkV6N1NiR194bXpNSldkSlVlMk80dU9Zb1VMRTBnTkhLN3RzQ25QN0tCOXB6aGU4RmZBcVc2V2I2NlZDRml0cnh2ZVdnZ0VhWVJPMVRNLVFEa21idmRVbG1SSGotX0JvRk8?oc=5"" target=""_blank"">Rain Alert Maharashtra : राज्यात वादळी पावसाचा इशारा</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agrowon</font>",Heatwave,mr
Kalwan News : ‘कसमादे’त यंदा उन्हाळा तापदायक|Kasamade Boils at 42°C as Summer Heat Intensifies - Esakal,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOcWw5Q0V3SzJfVGZNeVRDX3pRZUpZMWlqWng3QlhOUzJyYzI4SnFGNlgzclhwcGhoY1FUamRlaDdEdGs5TmV6QVA2aWNmY0JKdk9UWEVmMWh6V3VhR1RRSE5mSUp6TllIalJqRXNhS2g5MHZkbi02LXlXN09wOVZvNzF1NTlqMUFRcld1Z2xvYlM3RXVKUWxOMGZGdFFiRksxTjFGS2lna1I?oc=5,2025-05-04 17:42:44,Esakal,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxOcWw5Q0V3SzJfVGZNeVRDX3pRZUpZMWlqWng3QlhOUzJyYzI4SnFGNlgzclhwcGhoY1FUamRlaDdEdGs5TmV6QVA2aWNmY0JKdk9UWEVmMWh6V3VhR1RRSE5mSUp6TllIalJqRXNhS2g5MHZkbi02LXlXN09wOVZvNzF1NTlqMUFRcld1Z2xvYlM3RXVKUWxOMGZGdFFiRksxTjFGS2lna1I?oc=5"" target=""_blank"">Kalwan News : ‘कसमादे’त यंदा उन्हाळा तापदायक|Kasamade Boils at 42°C as Summer Heat Intensifies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Esakal</font>",Heatwave,mr
How Humidity Is Breaking Your Body’s Thermostat - Indiaspend,https://news.google.com/rss/articles/CBMinAFBVV95cUxNSVMyU0lfVlJYUEl0cTJ2cE9YaUVKWFVWaGpoUlFZRUtxY181YnJST2JnNnMxZmFYUkRQMklHdXhzSEUwRnQ4bE1jX2hOTjhjaHZ1NDRiNzZJckM2Z3REMGNPZjM0SFRjVWM3ekxVdjBhZEU1RVloLW1VdjhpdFdHQkxmUklYbm90X0dURkpGbmtPX091UGVkTG9LYmE?oc=5,2025-05-05 06:00:32,Indiaspend,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNSVMyU0lfVlJYUEl0cTJ2cE9YaUVKWFVWaGpoUlFZRUtxY181YnJST2JnNnMxZmFYUkRQMklHdXhzSEUwRnQ4bE1jX2hOTjhjaHZ1NDRiNzZJckM2Z3REMGNPZjM0SFRjVWM3ekxVdjBhZEU1RVloLW1VdjhpdFdHQkxmUklYbm90X0dURkpGbmtPX091UGVkTG9LYmE?oc=5"" target=""_blank"">How Humidity Is Breaking Your Body’s Thermostat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indiaspend</font>",Heatwave,en
No heatwave alert for Odisha this week: IMD - The New Indian Express,https://news.google.com/rss/articles/CBMiowFBVV95cUxQaVdJSTdvbU9ZelB3N2pjcDZWYndLRGFVTGtHQk9oWWR4T1FaRENTUFpybUUtMW5vQ1RpQjRYRUlDVS1HM0tVMy1zbzBweXhyQ21uWnI5bGdieEFqTEFRLUFFbEtvVDNnTW9NQkdXWHd2OWJxX1pQMVVCLU9VT2Z0WWJqV3hKSmZoWGwyQnhmbVRBaVNPbzREVnlLcUhFc2gwbVFz0gGwAUFVX3lxTE5NNU50VW4xZWFQYUxsQVA2LXoyU3dDQkFfUVBjbDZOLXlIZGZLQUF2dDg4SDhlbE5nZnNSV0hablQwTVZQUEZFaURoX2lIS3lBTEhLQkFaLWZxc1JCQXVaQkpEbnBOckwwSHQwNFpmQWVIeFNFWUlBSUowNERLek5SLU9IUDNwbk5CWlYxMDl2UDJKUTJsQndOM3JDaGM0SC1zYnRLUVRMejZMYUx5cWVC?oc=5,2025-05-05 08:17:19,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQaVdJSTdvbU9ZelB3N2pjcDZWYndLRGFVTGtHQk9oWWR4T1FaRENTUFpybUUtMW5vQ1RpQjRYRUlDVS1HM0tVMy1zbzBweXhyQ21uWnI5bGdieEFqTEFRLUFFbEtvVDNnTW9NQkdXWHd2OWJxX1pQMVVCLU9VT2Z0WWJqV3hKSmZoWGwyQnhmbVRBaVNPbzREVnlLcUhFc2gwbVFz0gGwAUFVX3lxTE5NNU50VW4xZWFQYUxsQVA2LXoyU3dDQkFfUVBjbDZOLXlIZGZLQUF2dDg4SDhlbE5nZnNSV0hablQwTVZQUEZFaURoX2lIS3lBTEhLQkFaLWZxc1JCQXVaQkpEbnBOckwwSHQwNFpmQWVIeFNFWUlBSUowNERLek5SLU9IUDNwbk5CWlYxMDl2UDJKUTJsQndOM3JDaGM0SC1zYnRLUVRMejZMYUx5cWVC?oc=5"" target=""_blank"">No heatwave alert for Odisha this week: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Heatwave,en
"Pune records sudden drop in temperature, IMD says rainfall likely this week - Times of India",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUk5lR1RjblZSUlZJZ3k0YXVEZlNXUmlodjFIYml3ODRkWVBwMEJUcVhvMndycC1iVGo1Rjl6NV85azF5cHBxd1pHVmhZRFVjeU5YR3lpemFSUU9SRlUySzduaUk3eDk5Y01NZDFNUWVBSTBOZEFRaDVpQUFrVkNEaFJjcXpBdW1KUVFxUl9uTThDa0hGYUZjNzlJTWd3VW1VbUwwM0RuTWtjeUNYMUplREpsQ0ZEZFUyY1lzdXgtMTZzRlN0TlJEVkg1SWNmcWpvWUNFMU9zU2s0SHJtdzBV0gHkAUFVX3lxTFB3OC1hTjE0dFpEM0VOdzVzT2F5a3pMM1otbDZqN3E5ZDlBczRGaHBrcC0xYlRHUmV1b2FGcVBmc1I2dFRjZlhFUGRBV1lMYWNpRzFDRXdYd1JJU0dCZHVQRTZNTkNmQl83bGRkaWFwY3h0MVkyMm9KVkJPa1EzMDlCRnZXSEItZUdXOV9MSlJFS0lhM3haQk9ma3U4enctX0FpdTZXS3NNV2c5czE0cmY4cjNKS3VlQTFjOWZrd0dGNXk0YkllWmtLdDNOSElhbFBPWUk3RFdfLVYwX3Jram4xZ0I2VA?oc=5,2025-05-05 01:28:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUk5lR1RjblZSUlZJZ3k0YXVEZlNXUmlodjFIYml3ODRkWVBwMEJUcVhvMndycC1iVGo1Rjl6NV85azF5cHBxd1pHVmhZRFVjeU5YR3lpemFSUU9SRlUySzduaUk3eDk5Y01NZDFNUWVBSTBOZEFRaDVpQUFrVkNEaFJjcXpBdW1KUVFxUl9uTThDa0hGYUZjNzlJTWd3VW1VbUwwM0RuTWtjeUNYMUplREpsQ0ZEZFUyY1lzdXgtMTZzRlN0TlJEVkg1SWNmcWpvWUNFMU9zU2s0SHJtdzBV0gHkAUFVX3lxTFB3OC1hTjE0dFpEM0VOdzVzT2F5a3pMM1otbDZqN3E5ZDlBczRGaHBrcC0xYlRHUmV1b2FGcVBmc1I2dFRjZlhFUGRBV1lMYWNpRzFDRXdYd1JJU0dCZHVQRTZNTkNmQl83bGRkaWFwY3h0MVkyMm9KVkJPa1EzMDlCRnZXSEItZUdXOV9MSlJFS0lhM3haQk9ma3U4enctX0FpdTZXS3NNV2c5czE0cmY4cjNKS3VlQTFjOWZrd0dGNXk0YkllWmtLdDNOSElhbFBPWUk3RFdfLVYwX3Jram4xZ0I2VA?oc=5"" target=""_blank"">Pune records sudden drop in temperature, IMD says rainfall likely this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Mumbai Weather Update: Pre-Monsoon Showers Expected This Week, IMD Issues Yellow Alert For Rain And - Free Press Journal",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVHh2aElyYWtwaThnck9zenYyREhfaENrRHo0RTNrU2hRX0FqUXQzTk9CM3JBZ2N6ODNscGJqejd2ZjVzR2JfZng0T0Zsbl9uVzJUNXJhdmN4S2tQRkZ5eC01Qk9pZGRWZ2VucTBNSS13bGJGNDVLN01iMU9jcEFDUk9nNFppQjFoem9kVHBnalgzVXNNSVRUVFhIbXVqME1iU01tek9fZE1iZDVxYmhCM1RxVkNtY1REMk90LVhIejhfaUxYNkVmWXJNSkZEMUlEdDZVRWxvRDNUVC1pMm56dXN0SXHSAeoBQVVfeXFMTlFRUUREWmlKUkFlMTdpMXpBZkJFTUE3bm1ZQm1mNGdOVlYwVVVsSVc5eFQ0YVdTaHJ2Ukc2YUJnNENZMVZwX24wVUgtdWtvSzFYd0l5TjRMa1hxVHZSWGRzUjRBU1drX095elBCZFJCal9EbU5OR3NKRm1ZNXVvZjJfeGZBZzM4eWdQd0VibkJjdlktUzdFeTF0QlVtVHN2ZVg2d3lVUUF3cjgwb3RiUzlGSktaYW5rTXVWdHlOQjh2U3owZExNMmhPekhlQ3liSTBYS0ZOaWFpRndIRFgzZ3IxeklhZ1hfRmtB?oc=5,2025-05-05 01:17:19,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVHh2aElyYWtwaThnck9zenYyREhfaENrRHo0RTNrU2hRX0FqUXQzTk9CM3JBZ2N6ODNscGJqejd2ZjVzR2JfZng0T0Zsbl9uVzJUNXJhdmN4S2tQRkZ5eC01Qk9pZGRWZ2VucTBNSS13bGJGNDVLN01iMU9jcEFDUk9nNFppQjFoem9kVHBnalgzVXNNSVRUVFhIbXVqME1iU01tek9fZE1iZDVxYmhCM1RxVkNtY1REMk90LVhIejhfaUxYNkVmWXJNSkZEMUlEdDZVRWxvRDNUVC1pMm56dXN0SXHSAeoBQVVfeXFMTlFRUUREWmlKUkFlMTdpMXpBZkJFTUE3bm1ZQm1mNGdOVlYwVVVsSVc5eFQ0YVdTaHJ2Ukc2YUJnNENZMVZwX24wVUgtdWtvSzFYd0l5TjRMa1hxVHZSWGRzUjRBU1drX095elBCZFJCal9EbU5OR3NKRm1ZNXVvZjJfeGZBZzM4eWdQd0VibkJjdlktUzdFeTF0QlVtVHN2ZVg2d3lVUUF3cjgwb3RiUzlGSktaYW5rTXVWdHlOQjh2U3owZExNMmhPekhlQ3liSTBYS0ZOaWFpRndIRFgzZ3IxeklhZ1hfRmtB?oc=5"" target=""_blank"">Mumbai Weather Update: Pre-Monsoon Showers Expected This Week, IMD Issues Yellow Alert For Rain And</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Heatwave,en
Weather Alert for Maharashtra: Rising Heat and Storm Warnings Across the State - PUNE PULSE,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOODJ1M0VWOXNMbUx5WmpmVjZXWlJZeHc5MmNNTzU0YnlDOEwwb3JpUEpnX25LbmUxU3drSGlERGVPc2F0TlB1WXRUVUkzcDNLcTJEcFJVSTlxa24wQTlwY1BVNlhDeDRleXh5eldQWE5MbXQ4RHhFMlhIdlAwbFlsb1VPZ0RGcXl1SlhOYjg1QlJyeWdONVJPME0wQ0txOVplQWNDZktoOFhJUQ?oc=5,2025-05-04 20:15:14,PUNE PULSE,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOODJ1M0VWOXNMbUx5WmpmVjZXWlJZeHc5MmNNTzU0YnlDOEwwb3JpUEpnX25LbmUxU3drSGlERGVPc2F0TlB1WXRUVUkzcDNLcTJEcFJVSTlxa24wQTlwY1BVNlhDeDRleXh5eldQWE5MbXQ4RHhFMlhIdlAwbFlsb1VPZ0RGcXl1SlhOYjg1QlJyeWdONVJPME0wQ0txOVplQWNDZktoOFhJUQ?oc=5"" target=""_blank"">Weather Alert for Maharashtra: Rising Heat and Storm Warnings Across the State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE PULSE</font>",Heatwave,en
"Heavy Rain Forecast In UP This Week, But Heatwave Days Likely To Be 'Above Normal' In May - MSN",https://news.google.com/rss/articles/CBMi0AFBVV95cUxObDRvT3BoYkJuTTlwX1JrRy1icmE5MjZoajcyLVMyNzBSRFVOaWltbk5vTkhwTVdOTVhwYlN3NnpRYm1wVTRIWW82ejMzekNEb0xWcjVSckI4RHlFaFpjSEotZHBLWDcyVkM1TnAxUW1zQTVCR2ZTVGlOa3BFUC1reXdPajZkSnVLajFEeHhyNU5uY0hsbno0eFctYVg2djJHdWxZT2hxMHE5bTVyLVMtWnFrUno1bEVsLTFoOEY3V213V1JkSmNEWEtybF9kTmpk?oc=5,2025-05-04 14:13:52,MSN,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxObDRvT3BoYkJuTTlwX1JrRy1icmE5MjZoajcyLVMyNzBSRFVOaWltbk5vTkhwTVdOTVhwYlN3NnpRYm1wVTRIWW82ejMzekNEb0xWcjVSckI4RHlFaFpjSEotZHBLWDcyVkM1TnAxUW1zQTVCR2ZTVGlOa3BFUC1reXdPajZkSnVLajFEeHhyNU5uY0hsbno0eFctYVg2djJHdWxZT2hxMHE5bTVyLVMtWnFrUno1bEVsLTFoOEY3V213V1JkSmNEWEtybF9kTmpk?oc=5"" target=""_blank"">Heavy Rain Forecast In UP This Week, But Heatwave Days Likely To Be 'Above Normal' In May</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Maharashtra Weather, May 5: Sunny skies and soaring temps - Asianet Newsable",https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSm9YVWpaR0RaTXJSOF9nNkRGMWxCa0tRWVRwUE5oblNEMl96WG5MLXRZYjcxMmdLVzBJdTF4MXhpWVRxa3pPc1VQLW9lazN3RGUwblpvT0Q1ZlJ1aHB0aVU5SVJVZjZrNUhSLUtsSTUzR1pRaHVXOWszYnRVUkdVbXMzMDdFcHhTcFVic0VHNVdueFZlc2pGd1ZFQzV4UGM4Ynotcl92cmxkNkJjemN5aVZlTEdqS0ZiYmZDQ2JRVlBId9IBwgFBVV95cUxPSm9YVWpaR0RaTXJSOF9nNkRGMWxCa0tRWVRwUE5oblNEMl96WG5MLXRZYjcxMmdLVzBJdTF4MXhpWVRxa3pPc1VQLW9lazN3RGUwblpvT0Q1ZlJ1aHB0aVU5SVJVZjZrNUhSLUtsSTUzR1pRaHVXOWszYnRVUkdVbXMzMDdFcHhTcFVic0VHNVdueFZlc2pGd1ZFQzV4UGM4Ynotcl92cmxkNkJjemN5aVZlTEdqS0ZiYmZDQ2JRVlBIdw?oc=5,2025-05-05 07:05:24,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSm9YVWpaR0RaTXJSOF9nNkRGMWxCa0tRWVRwUE5oblNEMl96WG5MLXRZYjcxMmdLVzBJdTF4MXhpWVRxa3pPc1VQLW9lazN3RGUwblpvT0Q1ZlJ1aHB0aVU5SVJVZjZrNUhSLUtsSTUzR1pRaHVXOWszYnRVUkdVbXMzMDdFcHhTcFVic0VHNVdueFZlc2pGd1ZFQzV4UGM4Ynotcl92cmxkNkJjemN5aVZlTEdqS0ZiYmZDQ2JRVlBId9IBwgFBVV95cUxPSm9YVWpaR0RaTXJSOF9nNkRGMWxCa0tRWVRwUE5oblNEMl96WG5MLXRZYjcxMmdLVzBJdTF4MXhpWVRxa3pPc1VQLW9lazN3RGUwblpvT0Q1ZlJ1aHB0aVU5SVJVZjZrNUhSLUtsSTUzR1pRaHVXOWszYnRVUkdVbXMzMDdFcHhTcFVic0VHNVdueFZlc2pGd1ZFQzV4UGM4Ynotcl92cmxkNkJjemN5aVZlTEdqS0ZiYmZDQ2JRVlBIdw?oc=5"" target=""_blank"">Maharashtra Weather, May 5: Sunny skies and soaring temps</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Heatwave,en
"AP and Telangana Weather, May 5: Scorching Monday - Asianet Newsable",https://news.google.com/rss/articles/CBMivwFBVV95cUxOdFpiUzM3Rmt4Tmd0X1dEVHg2YUlkWEktaDdPZ2hucHV6YWxZaWxQWVF3SkxzVkwxWnFKSlByclNLMFJLQ25OYl9kNTMxaUMwdlNIeVdLRlM0R1VYczJKVWotaElhQjJ5dEtDRWJwd1RfaDZqYjF6Z3pZYXFXZmJLclc3dGhDZ2pKa3RRTm81T2lIWkdRNE5TeWxaVHdPcmNCZEVtUWJOUk9RWXhrWU9iNTFWaWxza2FjS3VMR0NWSdIBxAFBVV95cUxOUWpLYlpRTGVIa2h2My1HVmI5Ul96clhzZG9DNnA1TEtwLXByME9hWFczN2JZWUVmQ3dkMHNqZEZpXzRoT2V0Wng0ZWZ6dFZxQmJQU2piTVcwOU5sTFVXUmdDTTR2UVBOOEVoS2tXeW1hVVczSmotcmhLcEhDNGZ5Ymw1cVcwblNjTm9WSWNfamtHc3ItaVQxZW5HUW5uU1pMV2cycXRjc1pVM3p0WGRZODdJMDM1MU9yRVd1S1dZRTAtazZ0?oc=5,2025-05-05 07:10:17,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOdFpiUzM3Rmt4Tmd0X1dEVHg2YUlkWEktaDdPZ2hucHV6YWxZaWxQWVF3SkxzVkwxWnFKSlByclNLMFJLQ25OYl9kNTMxaUMwdlNIeVdLRlM0R1VYczJKVWotaElhQjJ5dEtDRWJwd1RfaDZqYjF6Z3pZYXFXZmJLclc3dGhDZ2pKa3RRTm81T2lIWkdRNE5TeWxaVHdPcmNCZEVtUWJOUk9RWXhrWU9iNTFWaWxza2FjS3VMR0NWSdIBxAFBVV95cUxOUWpLYlpRTGVIa2h2My1HVmI5Ul96clhzZG9DNnA1TEtwLXByME9hWFczN2JZWUVmQ3dkMHNqZEZpXzRoT2V0Wng0ZWZ6dFZxQmJQU2piTVcwOU5sTFVXUmdDTTR2UVBOOEVoS2tXeW1hVVczSmotcmhLcEhDNGZ5Ymw1cVcwblNjTm9WSWNfamtHc3ItaVQxZW5HUW5uU1pMV2cycXRjc1pVM3p0WGRZODdJMDM1MU9yRVd1S1dZRTAtazZ0?oc=5"" target=""_blank"">AP and Telangana Weather, May 5: Scorching Monday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Heatwave,en
