Title,Link,Date,Source,Summary,Place
Heavy rain likely across India till 26 Sep as monsoon withdrawal begins Monday | Today News - Mint,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcjFHblF0MkZNRk0xX1Rsa1JsY2NVRFUtZlktMWk3Y3NOOFJfOEtKTi11TnlQS0RXZEwwNEFNU0ZTSnlzbmpOb1VScnFkc1BObUdPUFJpajF5X19iVV9pR2xkRkctVEtUSkV2cDRGVk5Ja1BSN21QdEh0bzNraWNtM1EzcjFzZmFwSEwxQjA4UjVoemRRNkh3eHlhZDhsMVJxdGFNY1JlUzZHYWZFR3FhTEtMSGFiRm9hUVJKVEkxdWEzNjJCdURLRmtBOGN3a1ZacXZnUDNpblFYdzN2bEZwbXQzOVVpUlJzNGfSAe8BQVVfeXFMUDhqaU4ySmluR2NkdUl4VFU4ZnNMU3BOSDM0MHVrN0RBWlRaVWFXeUwwdExGWUFuVzg4VWp1ZE16VmFNZzFkeXcyenhUQXZfQ1cwZUpFX0VkRHlYNHNlMzBDQWxHOWNrMEY3eXIyVmhfRmZPWkFOSVNUX2F5LVp6RWdsOWJET1djSkh0cXRTemUxamtaUlQ0STFlYWFjUjFUbi1xMEpiY3k2Uks4djJYX1doM2VnSjBMMlJaRkRILV9yemV0b3loY1hHQWxaWVRQVUMxcEphU3JfZm56SzZsNDBHSk5UbkZaV3FsZWJqVkk?oc=5,2024-09-22 19:03:53,Mint,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcjFHblF0MkZNRk0xX1Rsa1JsY2NVRFUtZlktMWk3Y3NOOFJfOEtKTi11TnlQS0RXZEwwNEFNU0ZTSnlzbmpOb1VScnFkc1BObUdPUFJpajF5X19iVV9pR2xkRkctVEtUSkV2cDRGVk5Ja1BSN21QdEh0bzNraWNtM1EzcjFzZmFwSEwxQjA4UjVoemRRNkh3eHlhZDhsMVJxdGFNY1JlUzZHYWZFR3FhTEtMSGFiRm9hUVJKVEkxdWEzNjJCdURLRmtBOGN3a1ZacXZnUDNpblFYdzN2bEZwbXQzOVVpUlJzNGfSAe8BQVVfeXFMUDhqaU4ySmluR2NkdUl4VFU4ZnNMU3BOSDM0MHVrN0RBWlRaVWFXeUwwdExGWUFuVzg4VWp1ZE16VmFNZzFkeXcyenhUQXZfQ1cwZUpFX0VkRHlYNHNlMzBDQWxHOWNrMEY3eXIyVmhfRmZPWkFOSVNUX2F5LVp6RWdsOWJET1djSkh0cXRTemUxamtaUlQ0STFlYWFjUjFUbi1xMEpiY3k2Uks4djJYX1doM2VnSjBMMlJaRkRILV9yemV0b3loY1hHQWxaWVRQVUMxcEphU3JfZm56SzZsNDBHSk5UbkZaV3FsZWJqVkk?oc=5"" target=""_blank"">Heavy rain likely across India till 26 Sep as monsoon withdrawal begins Monday | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Mumbai Weather Update: Week-Long Thundershowers Or Rains Expected In City - Free Press Journal,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTEtyN2taOG9MTGswVXJDdFZVOXRYSlFfdW90S1lYQ0hzbUpCa2FJU1VNRFlkUXkwSVNReUEwZ3IxWEdXQ243QUZiWjNfdnBiZVdlR2owdlZjOEpXaHdNbktfRFI2ejhZSDRITGN0QXVqLWtPYVZLSmVOWnJBUWVhNVBNQkxDZVlKVDZRMVgxTEtzZ3VTUk5lZ2VwX3V6dkkwb1p3a29TajFYX01ucERYZdIBtgFBVV95cUxPdzBGcVhESE9jSjVLOGFpcU1nYmRzOG1tSF9UQjBfN0ZQMWQzVVZxUHRjUVNLck90ZHkyVW5ubDYwOV8wNHZWTHFRWDJUVnFCeFFUT3pJV0E3QzU5VXVBQUQ2b0RITFJvSFFWTi1vMHRjYlJyZURSYk9LNGVZaEpMemFVeEJsWVR6eVVDM1lwdGhYei1iQ1FLbzBTMkNXMEFOZ2lCbEFhdEUzenFaV1paZ1I5UUJNZw?oc=5,2024-09-23 08:58:14,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOTEtyN2taOG9MTGswVXJDdFZVOXRYSlFfdW90S1lYQ0hzbUpCa2FJU1VNRFlkUXkwSVNReUEwZ3IxWEdXQ243QUZiWjNfdnBiZVdlR2owdlZjOEpXaHdNbktfRFI2ejhZSDRITGN0QXVqLWtPYVZLSmVOWnJBUWVhNVBNQkxDZVlKVDZRMVgxTEtzZ3VTUk5lZ2VwX3V6dkkwb1p3a29TajFYX01ucERYZdIBtgFBVV95cUxPdzBGcVhESE9jSjVLOGFpcU1nYmRzOG1tSF9UQjBfN0ZQMWQzVVZxUHRjUVNLck90ZHkyVW5ubDYwOV8wNHZWTHFRWDJUVnFCeFFUT3pJV0E3QzU5VXVBQUQ2b0RITFJvSFFWTi1vMHRjYlJyZURSYk9LNGVZaEpMemFVeEJsWVR6eVVDM1lwdGhYei1iQ1FLbzBTMkNXMEFOZ2lCbEFhdEUzenFaV1paZ1I5UUJNZw?oc=5"" target=""_blank"">Mumbai Weather Update: Week-Long Thundershowers Or Rains Expected In City</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
"At 616 mm, Pune’s July rainfall close to season’s average - MSN",https://news.google.com/rss/articles/CBMivgJBVV95cUxOYkVVVGFVVWZoaVZNeko3Y3lCUnVVbW9ZWTJtTXpmYWJZZnFXY2tKSVl4aTJ2dFpZMXNReHEtWnI0dHJCM0NURGxsQ0NVX1RJOFRCb1AtZWJNS0pneV9ra1ROZHdnUkVRT1dWS25WMlo5UEZzN2FPSkQ1a3ZHeFVWeUlkc3pMa2ptZ2VxSl9nS212RTRwd3I3YlZBUW8wamdaa2YyZGtnMk9VZk5vYjFhMHdJOFI4Njljb2dxalVZTXRJX1pJMzRCS3hxU05tSVFJSGRtUVBIcFJoVGZaZ25tM2hDVk5mMmJrUEFZS1NmZFJ1R0J2cVZVV3VmS2NIcWxfeVRHTlZwYUhMUUZfdk1RYzdheTFoTjNFX0JmcTZNcjd5WTZNWUxVN3JHRE1KXy0xYUZYdlJIcTlHcm96T0E?oc=5,2024-09-23 03:20:39,MSN,"<a href=""https://news.google.com/rss/articles/CBMivgJBVV95cUxOYkVVVGFVVWZoaVZNeko3Y3lCUnVVbW9ZWTJtTXpmYWJZZnFXY2tKSVl4aTJ2dFpZMXNReHEtWnI0dHJCM0NURGxsQ0NVX1RJOFRCb1AtZWJNS0pneV9ra1ROZHdnUkVRT1dWS25WMlo5UEZzN2FPSkQ1a3ZHeFVWeUlkc3pMa2ptZ2VxSl9nS212RTRwd3I3YlZBUW8wamdaa2YyZGtnMk9VZk5vYjFhMHdJOFI4Njljb2dxalVZTXRJX1pJMzRCS3hxU05tSVFJSGRtUVBIcFJoVGZaZ25tM2hDVk5mMmJrUEFZS1NmZFJ1R0J2cVZVV3VmS2NIcWxfeVRHTlZwYUhMUUZfdk1RYzdheTFoTjNFX0JmcTZNcjd5WTZNWUxVN3JHRE1KXy0xYUZYdlJIcTlHcm96T0E?oc=5"" target=""_blank"">At 616 mm, Pune’s July rainfall close to season’s average</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Rain to make a comeback in Mumbai this week - The Indian Express,https://news.google.com/rss/articles/CBMiogFBVV95cUxQNUU2OHEzUFBmTF9rbzlKbzV6MnpEV1NlXzEtY3RuS182ZlNUa3l3d0JsWk52eWdWOHhiQ3E4U2JFZlhPUGFISmY4WnVWbVlNT0FyTXlycTZ2NDlQLVVfbjhYX2VpZ0U0X2RSTlZybUdWcWszUllqNzhjM05IaEpCYURxSDBKLWVlV1RxWEFSTm9PdVJKYWFueFJ0TGcxV3FQNHfSAagBQVVfeXFMTWQ2LVdfTHV3cG9nVnVMR0Qwd05JMnhJQjRoUnlxZTRTVGF6VFBSd1VxYjhhMEhJNE9CQkpxa1RPalJ1bDlJV2VVVXlieXlEeTc4eE5vUHZEcWQ3MTNRbEwxdWdhcG9TWjFCZXg0WW5ER3pRR3hScTJMbjM5SXA3WDlQQVo2cTc0MHB5akM2eDNPLS1rT2lzQ3U0ZDRsbGtzRjVEdzRvbU1P?oc=5,2024-09-22 17:40:38,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQNUU2OHEzUFBmTF9rbzlKbzV6MnpEV1NlXzEtY3RuS182ZlNUa3l3d0JsWk52eWdWOHhiQ3E4U2JFZlhPUGFISmY4WnVWbVlNT0FyTXlycTZ2NDlQLVVfbjhYX2VpZ0U0X2RSTlZybUdWcWszUllqNzhjM05IaEpCYURxSDBKLWVlV1RxWEFSTm9PdVJKYWFueFJ0TGcxV3FQNHfSAagBQVVfeXFMTWQ2LVdfTHV3cG9nVnVMR0Qwd05JMnhJQjRoUnlxZTRTVGF6VFBSd1VxYjhhMEhJNE9CQkpxa1RPalJ1bDlJV2VVVXlieXlEeTc4eE5vUHZEcWQ3MTNRbEwxdWdhcG9TWjFCZXg0WW5ER3pRR3hScTJMbjM5SXA3WDlQQVo2cTc0MHB5akM2eDNPLS1rT2lzQ3U0ZDRsbGtzRjVEdzRvbU1P?oc=5"" target=""_blank"">Rain to make a comeback in Mumbai this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
IMD Predicts Increased Rainfall Across Maharashtra as Monsoon Makes a Comeback - PUNE.NEWS,https://news.google.com/rss/articles/CBMirgFBVV95cUxNSjRJQ2g1NGY1OXZXSE9EUl9ObWJFVW1yTkxyeThWd1J3MWp4RUpYSnJ6YXlOX1ZzeXhZV2l3d0xaMVo3OHZqUVd2WkJEUWRvVi1od1I2ODNCY29UeEZ0UlQ3bkY1YXB2MUM5bTlxcVpkNktrWm1uWlFlQTBZSUNKSHoxTk1oaEFpcV9QUGdwMzR3elcyZFFZb3ZfZHRKWlpCQ1phdlkteDJ2VTVPWWc?oc=5,2024-09-22 22:51:22,PUNE.NEWS,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNSjRJQ2g1NGY1OXZXSE9EUl9ObWJFVW1yTkxyeThWd1J3MWp4RUpYSnJ6YXlOX1ZzeXhZV2l3d0xaMVo3OHZqUVd2WkJEUWRvVi1od1I2ODNCY29UeEZ0UlQ3bkY1YXB2MUM5bTlxcVpkNktrWm1uWlFlQTBZSUNKSHoxTk1oaEFpcV9QUGdwMzR3elcyZFFZb3ZfZHRKWlpCQ1phdlkteDJ2VTVPWWc?oc=5"" target=""_blank"">IMD Predicts Increased Rainfall Across Maharashtra as Monsoon Makes a Comeback</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE.NEWS</font>",
'Pune is Confused': IMD Issues Yellow Alert as Monsoon Makes an Unexpected Return. More Rain Ahead - Times Now,https://news.google.com/rss/articles/CBMi9gFBVV95cUxQNTVJUzdCd2tDVGRySDNSZkszQ0F0UnJBS2FsaE5SWFl5cGJ0eWlKS0FhaTgwanJWVmhMcGczNVoxQkE3STc5aUdJNDR5YVpyNzlvb3VHWFhIbUtEcElISHItaGptQ2VSUjNFc3IyUkpCQ1J3MFdBY2JJT3VHVnRCenpaTFl0Z096VHNzLWo4WWhJLWZkX1RnaHJfM3NrckJEQWRLX3dXcXVOdnp1SkF0NER3ODhMVG05RS1hZ2dEaW00TDkwcUtfODhtMzRJS1VLR1V1ajhNZ25KTklwSk95MXFsLVB5TWRsNlh1bVNhZFpacXFSR0HSAfsBQVVfeXFMT245OHAwQkk4LVRyTDVJeTNVZmRFaGlEVVByNGNUVFhrN1hKVjVUR2EwSnRBb0xEUDA1QURySmxZTFNaNm9hREhpbTdYTk5DNG9lN3J5V1VSWS04U3Vma3luRWlLbEZ3ZXU4ZGpPMEs0TEFtc0ZsYjBvYVNLNUVtaDAxaktrMHlBTkd1c0pKNGVVWTZyTmlMXzJva1c1UjF5QThySWtra08zcUQtc0R0U1VJQlNudUVkY3dCZm1EMXMyWkZhQmtEQlJFT0ZYNzNNUEE0WWZod1BaM0RhVDkyVHVSMWR3eDlzX2FaSG94dldQR3UtY0V0TkQwZm8?oc=5,2024-09-23 09:54:21,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxQNTVJUzdCd2tDVGRySDNSZkszQ0F0UnJBS2FsaE5SWFl5cGJ0eWlKS0FhaTgwanJWVmhMcGczNVoxQkE3STc5aUdJNDR5YVpyNzlvb3VHWFhIbUtEcElISHItaGptQ2VSUjNFc3IyUkpCQ1J3MFdBY2JJT3VHVnRCenpaTFl0Z096VHNzLWo4WWhJLWZkX1RnaHJfM3NrckJEQWRLX3dXcXVOdnp1SkF0NER3ODhMVG05RS1hZ2dEaW00TDkwcUtfODhtMzRJS1VLR1V1ajhNZ25KTklwSk95MXFsLVB5TWRsNlh1bVNhZFpacXFSR0HSAfsBQVVfeXFMT245OHAwQkk4LVRyTDVJeTNVZmRFaGlEVVByNGNUVFhrN1hKVjVUR2EwSnRBb0xEUDA1QURySmxZTFNaNm9hREhpbTdYTk5DNG9lN3J5V1VSWS04U3Vma3luRWlLbEZ3ZXU4ZGpPMEs0TEFtc0ZsYjBvYVNLNUVtaDAxaktrMHlBTkd1c0pKNGVVWTZyTmlMXzJva1c1UjF5QThySWtra08zcUQtc0R0U1VJQlNudUVkY3dCZm1EMXMyWkZhQmtEQlJFT0ZYNzNNUEE0WWZod1BaM0RhVDkyVHVSMWR3eDlzX2FaSG94dldQR3UtY0V0TkQwZm8?oc=5"" target=""_blank"">'Pune is Confused': IMD Issues Yellow Alert as Monsoon Makes an Unexpected Return. More Rain Ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
"Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update - Times Bull",https://news.google.com/rss/articles/CBMitgFBVV95cUxQR2xwOGNiQi1RNy1DNTduRjZoUFQ1dVdwRWtQRmoxdEEzczRBRWZySURuQ05VeUxoblUzNld5Tnh6RnJ2SDFidERxRE5OME9XSU5id1lMSHJWM2hfZm1zVmN1Nnd0MFBPQVh4bGEwdlMyem5XaXpsdTJVa1J1aVpHTFZsczc5WS1OTENXMkdicEtINkJkcnlwbVQ2UkFVQ21tSDI2VUhhVUpzZmVvczFqNnB6SXlTQQ?oc=5,2024-09-23 07:23:47,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQR2xwOGNiQi1RNy1DNTduRjZoUFQ1dVdwRWtQRmoxdEEzczRBRWZySURuQ05VeUxoblUzNld5Tnh6RnJ2SDFidERxRE5OME9XSU5id1lMSHJWM2hfZm1zVmN1Nnd0MFBPQVh4bGEwdlMyem5XaXpsdTJVa1J1aVpHTFZsczc5WS1OTENXMkdicEtINkJkcnlwbVQ2UkFVQ21tSDI2VUhhVUpzZmVvczFqNnB6SXlTQQ?oc=5"" target=""_blank"">Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
Maharashtra On Yellow Alert: IMD Predicts Thunderstorms & Rising Temperatures From October 23-26; Check Details Inside - Free Press Journal,https://news.google.com/rss/articles/CBMi6AFBVV95cUxONGpwcUc5UmhZaDJ4dlVFVUkteDZmSUdwam5ya05HNnpqSk1OSDlfWnJCODd5SWktT2psZHYxMUdlOE9Cbmk3d1lNVjVhMW4ydU51dko0SVRFajFRbmwtWllFbE5QUnRfQTAtMVlOd3RCczdDdk95SEw5YWw2enhtWkRTRVpUUWxQSDcyMlVHZWVJMEVXdFZDWTd5eTQ1TFJDcVV1WWVXbjByalhHQ0dmR2lzUUkwZnZYWWZ6WHZ1SzYwdE1jckY1SzZXTkxlblpmNTdwU0s1WDBINUVyaGFWU2syZjNIT2ZH?oc=5,2024-09-23 04:38:46,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxONGpwcUc5UmhZaDJ4dlVFVUkteDZmSUdwam5ya05HNnpqSk1OSDlfWnJCODd5SWktT2psZHYxMUdlOE9Cbmk3d1lNVjVhMW4ydU51dko0SVRFajFRbmwtWllFbE5QUnRfQTAtMVlOd3RCczdDdk95SEw5YWw2enhtWkRTRVpUUWxQSDcyMlVHZWVJMEVXdFZDWTd5eTQ1TFJDcVV1WWVXbjByalhHQ0dmR2lzUUkwZnZYWWZ6WHZ1SzYwdE1jckY1SzZXTkxlblpmNTdwU0s1WDBINUVyaGFWU2syZjNIT2ZH?oc=5"" target=""_blank"">Maharashtra On Yellow Alert: IMD Predicts Thunderstorms & Rising Temperatures From October 23-26; Check Details Inside</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
Heavy rain likely across India till 26 Sep as monsoon withdrawal begins Monday - MSN,https://news.google.com/rss/articles/CBMixgFBVV95cUxOUkVlV0swRWhrWGdzbTZYZmVzN3VPLW83SFFNZkQ1VTdpQVVtUXpCdFdUcy1OV1hFXzQ5WDhheC1TaWtqbVZCQkp5X3o0VGdiLS1sMmlNblFubDJDcjk2U2ZGejAzYVFPR1RQVDFVM3dsOXlxSGhqdjhEcnJfNkVwb3JBWkQwSFM5UEJCQjJqaGdISEQ4QUlTd3o1Z2JvdXRmR0pzYmZzZmxXTjM2TTF5OGFNamdHZWVZcHd2QnNad1hjNGlBelE?oc=5,2024-09-22 19:55:39,MSN,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOUkVlV0swRWhrWGdzbTZYZmVzN3VPLW83SFFNZkQ1VTdpQVVtUXpCdFdUcy1OV1hFXzQ5WDhheC1TaWtqbVZCQkp5X3o0VGdiLS1sMmlNblFubDJDcjk2U2ZGejAzYVFPR1RQVDFVM3dsOXlxSGhqdjhEcnJfNkVwb3JBWkQwSFM5UEJCQjJqaGdISEQ4QUlTd3o1Z2JvdXRmR0pzYmZzZmxXTjM2TTF5OGFNamdHZWVZcHd2QnNad1hjNGlBelE?oc=5"" target=""_blank"">Heavy rain likely across India till 26 Sep as monsoon withdrawal begins Monday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update - indias.news",https://news.google.com/rss/articles/CBMioAFBVV95cUxQcGJ5UnhqaG9XMjZZTy1oQzVEWGFXRFdVNVFEMkxuamM1ODlLakVwRnpSdVB3c3JYYnZoVVZvLV81WTlURDNpZ1RBXzU2RGtKNWcxbnZWWVBJcFdnbjRZQ21DcG9JNDRocTZzeUF6Unp4bDkzWGVELVFoMzQwR0lsc3VBS2hBZmp2d0o0ajVkQWpVYmxOZHZhSnN4bUZ0S0pJ?oc=5,2024-09-23 07:40:24,indias.news,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQcGJ5UnhqaG9XMjZZTy1oQzVEWGFXRFdVNVFEMkxuamM1ODlLakVwRnpSdVB3c3JYYnZoVVZvLV81WTlURDNpZ1RBXzU2RGtKNWcxbnZWWVBJcFdnbjRZQ21DcG9JNDRocTZzeUF6Unp4bDkzWGVELVFoMzQwR0lsc3VBS2hBZmp2d0o0ajVkQWpVYmxOZHZhSnN4bUZ0S0pJ?oc=5"" target=""_blank"">Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
