Title,Link,Date,Source,Summary,Place
Driest post-monsoon period recorded in U’khand in 5 yrs - The Times of India,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPSXI1QkdMMU01bFQ3MFJCMVRTODhQY2xJZ2NEMTAxcFFTeFNDSThtandpejBsOFN6YjlEOEo1RHR1bkRzS25JZW1MUzJMVWN0UEhHVnZWV3NuTURpVkwtUW9nUTZwRkVjVng0U09DSHVXRVBoaUVpdUN3ejEwOGtfUTVkNXBRRGIyYWkxVGZyY2ZIUzBlLXhGdGRkWjU5ODhRTGJ5SEVNYVRBMlhFMVlHeEFKVVZ4aXRkaHNRei0zdHpXUFdaX2tnNnRxdjQ1M0w1MTdsemdRT3FkLWdlVXVaU3AzaGV4SzVmOVo3TDUzYmPSAfYBQVVfeXFMTTBOdjdaWmJyX1daZnFBVHJJd3ROY3c2b0NFa1NnTzZoQWFveVRBOWZLNEx6UkFWQnVQT1JSRkhLN0VoUFF3TDctT1RiZ09pUHNIUVRheGVpb0lIRDFhNExWdU5tXzNsT1ZhbEY0cHduc1J1emZESUxrQjRLX09VbDQyeWZUdm1GekZEM2tzaWJWLVR4cDkyN2pHTlFRRU44MFBtRG1mSXVRNTdRM2ViS2RiLXZPbHRwZEJOXzFWZFBZZVJ2aEN3NmJzZEJWaVNuT2REb3FHNmhmMmYta09VMXZIeXJ0QnNpR1EzNVkzdE9vYjcxb0tR?oc=5,2024-11-20 23:24:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPSXI1QkdMMU01bFQ3MFJCMVRTODhQY2xJZ2NEMTAxcFFTeFNDSThtandpejBsOFN6YjlEOEo1RHR1bkRzS25JZW1MUzJMVWN0UEhHVnZWV3NuTURpVkwtUW9nUTZwRkVjVng0U09DSHVXRVBoaUVpdUN3ejEwOGtfUTVkNXBRRGIyYWkxVGZyY2ZIUzBlLXhGdGRkWjU5ODhRTGJ5SEVNYVRBMlhFMVlHeEFKVVZ4aXRkaHNRei0zdHpXUFdaX2tnNnRxdjQ1M0w1MTdsemdRT3FkLWdlVXVaU3AzaGV4SzVmOVo3TDUzYmPSAfYBQVVfeXFMTTBOdjdaWmJyX1daZnFBVHJJd3ROY3c2b0NFa1NnTzZoQWFveVRBOWZLNEx6UkFWQnVQT1JSRkhLN0VoUFF3TDctT1RiZ09pUHNIUVRheGVpb0lIRDFhNExWdU5tXzNsT1ZhbEY0cHduc1J1emZESUxrQjRLX09VbDQyeWZUdm1GekZEM2tzaWJWLVR4cDkyN2pHTlFRRU44MFBtRG1mSXVRNTdRM2ViS2RiLXZPbHRwZEJOXzFWZFBZZVJ2aEN3NmJzZEJWaVNuT2REb3FHNmhmMmYta09VMXZIeXJ0QnNpR1EzNVkzdE9vYjcxb0tR?oc=5"" target=""_blank"">Driest post-monsoon period recorded in U’khand in 5 yrs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Mumbai Weather and AQI Today: Warm start at 23.99 °C, check weather forecast for November 20, 2024 - MSN",https://news.google.com/rss/articles/CBMi2gFBVV95cUxOemJVbkNMbmhKXzFwdnhRX3JDeml5S2hfbEN1VENBX3NTdnlmMWFjbEkxNGs1aGpJYVpHN1FQN3N6d0cyVlBnM3I4WHVOZDNJNzZHbjBkX0poa00xNElZRHNIbVVURGdQNF84cFFURW5pOTF1RXZhakp1MWpOR0pvOUo2U2lHTXJLMF9mcjdhN0Y2aEJyU1BLS2h4cTROWUQxYVVDZlB0ek5OdVFrOU9CX2JGOWxkd0k0V1VHdGhLMFhmZjI2aXNuMWFtOGpHSDhKQ1RiVFQwQ1FGdw?oc=5,2024-11-20 19:47:43,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOemJVbkNMbmhKXzFwdnhRX3JDeml5S2hfbEN1VENBX3NTdnlmMWFjbEkxNGs1aGpJYVpHN1FQN3N6d0cyVlBnM3I4WHVOZDNJNzZHbjBkX0poa00xNElZRHNIbVVURGdQNF84cFFURW5pOTF1RXZhakp1MWpOR0pvOUo2U2lHTXJLMF9mcjdhN0Y2aEJyU1BLS2h4cTROWUQxYVVDZlB0ek5OdVFrOU9CX2JGOWxkd0k0V1VHdGhLMFhmZjI2aXNuMWFtOGpHSDhKQ1RiVFQwQ1FGdw?oc=5"" target=""_blank"">Mumbai Weather and AQI Today: Warm start at 23.99 °C, check weather forecast for November 20, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Cloudburst in Pamban triggers torrential downpour - The Hindu,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1FqZ0xvWmduYUdJbFNoa1dZSUdJMWhpNEo2bzRTZC1IS2k3ZVlaWHptZTF0OVV1UkluRll6d3oyeS1mUEROWWRWRWN3bzhzUE9fcU5PcXZva3dqS2RhWlRDdm5meEFUeXpmMkJTWW9OeEdQaWxaTENnV1BLak5xRXpFRmNJeDJoeTQ1eGtzS0JzMGUxWjlCSURsNF9rNERqZFZ3SG5zeGU1LWFOZG1IMl84TThydnE0WkQ00gHCAUFVX3lxTE1VdHJxQ1YzUGMwbVBkakdXRndvOFJKQk5mMVk5c1VOWGJubUh4UFVkQWdXWWh5aWI4amZndnlOc3I5dG5xVEVvWUh3cHJUOEg1SUVpM3ZEY2YyQmV1RFR3NnRBZ0NqQkZJa1VGNlRDdEdBbzBYRVNZY1ZnSVRuNzdfUGFjVHlQaW1tRE9OU2FRa090MEhVN3Rlc2pEems3b2xqWm45ODNPQTRIa1JvMUlYMENBN0ZkeVgxLTNFcjZSMzFR?oc=5,2024-11-20 20:21:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1FqZ0xvWmduYUdJbFNoa1dZSUdJMWhpNEo2bzRTZC1IS2k3ZVlaWHptZTF0OVV1UkluRll6d3oyeS1mUEROWWRWRWN3bzhzUE9fcU5PcXZva3dqS2RhWlRDdm5meEFUeXpmMkJTWW9OeEdQaWxaTENnV1BLak5xRXpFRmNJeDJoeTQ1eGtzS0JzMGUxWjlCSURsNF9rNERqZFZ3SG5zeGU1LWFOZG1IMl84TThydnE0WkQ00gHCAUFVX3lxTE1VdHJxQ1YzUGMwbVBkakdXRndvOFJKQk5mMVk5c1VOWGJubUh4UFVkQWdXWWh5aWI4amZndnlOc3I5dG5xVEVvWUh3cHJUOEg1SUVpM3ZEY2YyQmV1RFR3NnRBZ0NqQkZJa1VGNlRDdEdBbzBYRVNZY1ZnSVRuNzdfUGFjVHlQaW1tRE9OU2FRa090MEhVN3Rlc2pEems3b2xqWm45ODNPQTRIa1JvMUlYMENBN0ZkeVgxLTNFcjZSMzFR?oc=5"" target=""_blank"">Cloudburst in Pamban triggers torrential downpour</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
Mumbai Buzz: Top Headlines & Latest News from the City That Never Sleeps - mid-day.com,https://news.google.com/rss/articles/CBMiYEFVX3lxTFAtT1RTT0Q5X0FXRS1qa0FxVUtLVXRWdDFCRnpIaS0tY05kWWNIcHE4a3VTTDBLdjJGWk1BZHFjdlZaLTRxRXNPbTF1aU5VeUxwZmxTNENNb0FFUkV3NkZ2NA?oc=5,2024-11-21 08:18:00,mid-day.com,"<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTFAtT1RTT0Q5X0FXRS1qa0FxVUtLVXRWdDFCRnpIaS0tY05kWWNIcHE4a3VTTDBLdjJGWk1BZHFjdlZaLTRxRXNPbTF1aU5VeUxwZmxTNENNb0FFUkV3NkZ2NA?oc=5"" target=""_blank"">Mumbai Buzz: Top Headlines & Latest News from the City That Never Sleeps</a>&nbsp;&nbsp;<font color=""#6f6f6f"">mid-day.com</font>",
Chennai rains today: More rains expected in Tamil Nadu districts. Are schools open or closed today? - Mint,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQMU0wRG9oSlhVWFdqTWRPOGxoYmJrVG52NDFhNGRJZ09JMVVLQXVuU0NNSDZoLW81TkdJR0xJWklBNWdjcExKQnI2SlNzSUlYWnREVVo1bFVnQmtaZy1Md3hWM080Ukk3cEJEMzBjbU5YNFl2XzFTMGdrOFZxd3h1bzJuSlRiMVRPTlBMT1pMeE83aGFSX1FmZXA2eXlKMFlPb1U5S0twRTJiaXU1N0ZDS3VHb0tOclpuaU9VbFIyWlFJa3BNQXpMTkNXZkFicW1PbDNQcDNLTXltd3ZGWks5UWdhNnMyMlJiZG90TDdfUjQ1RHdfbXlGOWJ5YTVRZ1U?oc=5,2024-11-21 07:41:23,Mint,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQMU0wRG9oSlhVWFdqTWRPOGxoYmJrVG52NDFhNGRJZ09JMVVLQXVuU0NNSDZoLW81TkdJR0xJWklBNWdjcExKQnI2SlNzSUlYWnREVVo1bFVnQmtaZy1Md3hWM080Ukk3cEJEMzBjbU5YNFl2XzFTMGdrOFZxd3h1bzJuSlRiMVRPTlBMT1pMeE83aGFSX1FmZXA2eXlKMFlPb1U5S0twRTJiaXU1N0ZDS3VHb0tOclpuaU9VbFIyWlFJa3BNQXpMTkNXZkFicW1PbDNQcDNLTXltd3ZGWks5UWdhNnMyMlJiZG90TDdfUjQ1RHdfbXlGOWJ5YTVRZ1U?oc=5"" target=""_blank"">Chennai rains today: More rains expected in Tamil Nadu districts. Are schools open or closed today?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Prolonged dry spell in HP impacts sowing of crops - The Times of India,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPSDVQcjJuR3dLWm92ZFFsVUJZeEpSSXl5RGZ4U0hWQTV6VUVTSTlXcGVLMklob3htM2NEelIyM2dhVUdYdWxLalQwMmM0Q0FCNUx0ZzN2N29IeVl2dlc1emFZUkRmRGQwVmQ4MmFJUDh5dTFKNlJFbTFFS2lIcGRLa2QyalhFSUg2dWNrVjZoX1lVbi1sRmp6OUdaajViWVh1MC1zcF91N1psSlJGNmZVZWs2Yzg5c3BBWFRQYUtvQzDSAcYBQVVfeXFMT1lfT25uZlpaeExZMjZtR3ZVWmpuNFFKV0U0YmtQQ19BTHFKQjd2bl9YbTFQMW5pMC1adGZRLXY2cVpmNFVGbldhODdwMllDZGVtdUg5Tzk1YUVSRzJPVW05ZFhaUlNTNkdXUnBCV19iRUQ4WlVUTXVxTmJiR0VVOTV4RXpFY0lSM2p3dkVQZ1lrMGJCOVdvMjA5ZXpDUHdKM200c1JUUFo3U3ZDM2RTSVYxd0drZ3hEcHlYTGVJaDc3dkFDaDZR?oc=5,2024-11-21 04:17:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPSDVQcjJuR3dLWm92ZFFsVUJZeEpSSXl5RGZ4U0hWQTV6VUVTSTlXcGVLMklob3htM2NEelIyM2dhVUdYdWxLalQwMmM0Q0FCNUx0ZzN2N29IeVl2dlc1emFZUkRmRGQwVmQ4MmFJUDh5dTFKNlJFbTFFS2lIcGRLa2QyalhFSUg2dWNrVjZoX1lVbi1sRmp6OUdaajViWVh1MC1zcF91N1psSlJGNmZVZWs2Yzg5c3BBWFRQYUtvQzDSAcYBQVVfeXFMT1lfT25uZlpaeExZMjZtR3ZVWmpuNFFKV0U0YmtQQ19BTHFKQjd2bl9YbTFQMW5pMC1adGZRLXY2cVpmNFVGbldhODdwMllDZGVtdUg5Tzk1YUVSRzJPVW05ZFhaUlNTNkdXUnBCV19iRUQ4WlVUTXVxTmJiR0VVOTV4RXpFY0lSM2p3dkVQZ1lrMGJCOVdvMjA5ZXpDUHdKM200c1JUUFo3U3ZDM2RTSVYxd0drZ3hEcHlYTGVJaDc3dkFDaDZR?oc=5"" target=""_blank"">Prolonged dry spell in HP impacts sowing of crops</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
Southern districts see a wet Wednesday as rain lashes the region - The Hindu,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWTJ1YkZIYUQzODF3RzkzYXJuNnJjbEVQVk92YzZseXNILTVNdkpvbURIWG5FeGJZNldxMTI2M2VFVU8tNmJKSEZaMVRRUDFzZkdoSjI0UzdnTzl4ZEZnVGs3OWlLSk5fdnNrbTVmMjFQSHc3Qzg1QmIyaHBQS0daU1RNOFJTNjNfdTZiUFBJUklyME9FdDBYVVdRLUtscjlaU0pSampWTWlzZHZPanhZSHBqVDBreWJCRkg0WEVYZGtlMEpEZGpCbtIBzwFBVV95cUxPMDZFM2xJRlRDQVdPUVIyNkY2Um1SWW1GS3lzcXZ1RHRYNE5UajJVaEdoc2RUeGZxQ2tYdjdvWm5qSnRVclFVMXRfeHBCNExxUFJKbUE2ZGx0X3Y0YXdzdEg2MnJOMWZCdXlNM2F5R0FFdEpqRjJvOVI5ZHR6RVpVNEpLQ2pfWHVINHprdkczWF9tYzhvMEYyLXBnc0xYcEU3cXYzUmZzdW51R3NnSGp5djdWR3ZiQVdPa0ZVczZiMW5iZjlWUzM2YlFGTTBFWlU?oc=5,2024-11-20 19:54:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWTJ1YkZIYUQzODF3RzkzYXJuNnJjbEVQVk92YzZseXNILTVNdkpvbURIWG5FeGJZNldxMTI2M2VFVU8tNmJKSEZaMVRRUDFzZkdoSjI0UzdnTzl4ZEZnVGs3OWlLSk5fdnNrbTVmMjFQSHc3Qzg1QmIyaHBQS0daU1RNOFJTNjNfdTZiUFBJUklyME9FdDBYVVdRLUtscjlaU0pSampWTWlzZHZPanhZSHBqVDBreWJCRkg0WEVYZGtlMEpEZGpCbtIBzwFBVV95cUxPMDZFM2xJRlRDQVdPUVIyNkY2Um1SWW1GS3lzcXZ1RHRYNE5UajJVaEdoc2RUeGZxQ2tYdjdvWm5qSnRVclFVMXRfeHBCNExxUFJKbUE2ZGx0X3Y0YXdzdEg2MnJOMWZCdXlNM2F5R0FFdEpqRjJvOVI5ZHR6RVpVNEpLQ2pfWHVINHprdkczWF9tYzhvMEYyLXBnc0xYcEU3cXYzUmZzdW51R3NnSGp5djdWR3ZiQVdPa0ZVczZiMW5iZjlWUzM2YlFGTTBFWlU?oc=5"" target=""_blank"">Southern districts see a wet Wednesday as rain lashes the region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Tamil Nadu rain: Pamban records highest rainfall of 28 cm, where will it rain today, check IMD forecast here - News9 LIVE",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNXRlc0lrcktfS2Z1ZjBIR0xfZl85Zm5tSExNbVI1Yl9XWVlNc09Xa2x1dl8zRTRXRlFjOG10Y21uV0szZERPNWpOZ3VnM0NxYUR0eV9MS21aX3NXNGhKU2FFOUtwNElJLTNsaGEyU3RZXzY3SGd0QjNCc0xKZ01nd1F0QU1Cel9UNDJZbXlEcjlPcWQxUHVGc0hmRGZRaWtyQ3lQQkZLaWlrVFJEbFBTeXllOFRqRTVCTG03amFYUkhZSDFNYUJsSzFhTGxqUFI2ek5heTh1bS1HcnFRV2ZwcXlmNTRaZDM2R2R6etIB8gFBVV95cUxON21NdmZkWmRyZGRpZFRCc0RaSmRFM1lBdU9Gcnc3RTR5SUIyOFE4bDN3bFpaaDBwd0NlUkJyLTFaM3M2M2d3ZFgxRlpCWkhIbGNITHVfeGc1bHhWQXozSzRnR0Q0dVRCbEhzNWZKWHNsbHVHTUFYejlEWmNXMFhUaEdzUTZpbFBGaU1RY2hraTQwLVgyQUlLdTBXejVYRTFUdlo3aTVWQi02dUMxZUlBdEpaSW16MGp4eFZBcTRUT0VEV0NpVDI2RjFLeGYtR0wyMnM2cU13WldpMV8tZk91TlVyLXRsdk8tdWVJa2dweURSdw?oc=5,2024-11-21 07:52:09,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNXRlc0lrcktfS2Z1ZjBIR0xfZl85Zm5tSExNbVI1Yl9XWVlNc09Xa2x1dl8zRTRXRlFjOG10Y21uV0szZERPNWpOZ3VnM0NxYUR0eV9MS21aX3NXNGhKU2FFOUtwNElJLTNsaGEyU3RZXzY3SGd0QjNCc0xKZ01nd1F0QU1Cel9UNDJZbXlEcjlPcWQxUHVGc0hmRGZRaWtyQ3lQQkZLaWlrVFJEbFBTeXllOFRqRTVCTG03amFYUkhZSDFNYUJsSzFhTGxqUFI2ek5heTh1bS1HcnFRV2ZwcXlmNTRaZDM2R2R6etIB8gFBVV95cUxON21NdmZkWmRyZGRpZFRCc0RaSmRFM1lBdU9Gcnc3RTR5SUIyOFE4bDN3bFpaaDBwd0NlUkJyLTFaM3M2M2d3ZFgxRlpCWkhIbGNITHVfeGc1bHhWQXozSzRnR0Q0dVRCbEhzNWZKWHNsbHVHTUFYejlEWmNXMFhUaEdzUTZpbFBGaU1RY2hraTQwLVgyQUlLdTBXejVYRTFUdlo3aTVWQi02dUMxZUlBdEpaSW16MGp4eFZBcTRUT0VEV0NpVDI2RjFLeGYtR0wyMnM2cU13WldpMV8tZk91TlVyLXRsdk8tdWVJa2dweURSdw?oc=5"" target=""_blank"">Tamil Nadu rain: Pamban records highest rainfall of 28 cm, where will it rain today, check IMD forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
"Rameswaram reels under ‘Super Cloud Burst’, records highest rainfall in history: 411 mm in 10 Hours |videos| - News9 LIVE",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPVXdkdjJ2R3hyMm9ZSEd3Qk1mQkNMMFNSamJWUXlEa3N0dTZZWnJjWU5uTXdIMWIwZE44UXBtQUE1ekhGblUwOEZsM1hYem5pR2F4M1ZlTXlkTXlET3RCX1VpQ2Z3X1FEOElnSjhNWUp6WHRqMkVfb1NSUndsWjVnOFh4N01pQVZJNVNjZWN4cC1BQXVmWF8wbHVqN1c4YUh4ZWIyZ3kyTUI3MXJoWmI2QWxxNUJ4b3NNZGg5U2tmVGhEME1ON1VpMEVFSWo2NnVobW9nUUtpeTBJQTdfemFFXzhDOHhhY2JQ0gHuAUFVX3lxTE9aeUhGTmNWbHNGdmU1Z3AwWXNYZHNqMFl2ck1RbjFiZGozRHV3S2pmbVpaR1AyS3FWUWhpWWtpcDdwUUtucU5pZ1o0X3FlVUdTNHp3X3VQeHc1Qnc5ZW02b1Z3aEtUcnE5cXdkMVNIYTZwQkJHTWtYQWp0UldvUmlncVdWQlBXLTN4SE1kdFFYWmJfbXBSMmJ1Z1laZFN0bUZaNVlOLVNxR3VDR3JQUFB2cXpGblJlZ0N4SjNGUXp3NGNaMzZYTHd3d1JmLVJ0SzdhZEF1TjRzbzZaV0gza3Y1OVQwU2ZNSVh0RXVudEE?oc=5,2024-11-21 07:00:23,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPVXdkdjJ2R3hyMm9ZSEd3Qk1mQkNMMFNSamJWUXlEa3N0dTZZWnJjWU5uTXdIMWIwZE44UXBtQUE1ekhGblUwOEZsM1hYem5pR2F4M1ZlTXlkTXlET3RCX1VpQ2Z3X1FEOElnSjhNWUp6WHRqMkVfb1NSUndsWjVnOFh4N01pQVZJNVNjZWN4cC1BQXVmWF8wbHVqN1c4YUh4ZWIyZ3kyTUI3MXJoWmI2QWxxNUJ4b3NNZGg5U2tmVGhEME1ON1VpMEVFSWo2NnVobW9nUUtpeTBJQTdfemFFXzhDOHhhY2JQ0gHuAUFVX3lxTE9aeUhGTmNWbHNGdmU1Z3AwWXNYZHNqMFl2ck1RbjFiZGozRHV3S2pmbVpaR1AyS3FWUWhpWWtpcDdwUUtucU5pZ1o0X3FlVUdTNHp3X3VQeHc1Qnc5ZW02b1Z3aEtUcnE5cXdkMVNIYTZwQkJHTWtYQWp0UldvUmlncVdWQlBXLTN4SE1kdFFYWmJfbXBSMmJ1Z1laZFN0bUZaNVlOLVNxR3VDR3JQUFB2cXpGblJlZ0N4SjNGUXp3NGNaMzZYTHd3d1JmLVJ0SzdhZEF1TjRzbzZaV0gza3Y1OVQwU2ZNSVh0RXVudEE?oc=5"" target=""_blank"">Rameswaram reels under ‘Super Cloud Burst’, records highest rainfall in history: 411 mm in 10 Hours |videos|</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
Tamil Nadu weather forecast: IMD sounds orange alert in four districts |Details here| - News9 LIVE,https://news.google.com/rss/articles/CBMizgFBVV95cUxNTXNTdHh6Z2xFY0IwbDhoZnZaNG8yeVdmWWY5V2RkS3lTSWdmQnVhLXREYUEtY3JmY3RhUGkxWTZrVWlzb1pQVHRQV05HaGhTdlRvZnZ3bUlsUHFnRjROZnBocDEzY0doZ2o0TzZJYUtReVhWd25SSUJKeUktYnZJVF9lUFc3Yk02bV9nZWJWQ0JiVzkteVNvcFVENEZZNzBtSVBhc1k2Z2ZvS3ZyT0E5d0VDcUNDQXNTeUo5akoxT1FuSGY2UHBzYWU5ZjctUdIB0wFBVV95cUxQWjB1UkJhSVZ1SDhieFdDOXJZWWs0TXJIQVhJenNnWFF6cHdLWG84RWFxUTNOaEhiUlAwQlhsTFdldHlkYjQ0bXpmYVV6Yy1RbHlkUEdhaU8tbUdkM1gyVWZRT3Y4NXAyMU1lSjZLSlJ6aWpKR0p4bFQ4cG5yMENlcWFmRTR0NnZxVWhuSzRVU1Ywa3hKSnp2Mk9kbU55OFlGYWhBTW1xOW95V2Y5bWRkNUxuQTFGa2Y4d0wtaGQ3THY2UnlMemM0Z0dvQkdTcjhWODE0?oc=5,2024-11-20 15:19:45,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNTXNTdHh6Z2xFY0IwbDhoZnZaNG8yeVdmWWY5V2RkS3lTSWdmQnVhLXREYUEtY3JmY3RhUGkxWTZrVWlzb1pQVHRQV05HaGhTdlRvZnZ3bUlsUHFnRjROZnBocDEzY0doZ2o0TzZJYUtReVhWd25SSUJKeUktYnZJVF9lUFc3Yk02bV9nZWJWQ0JiVzkteVNvcFVENEZZNzBtSVBhc1k2Z2ZvS3ZyT0E5d0VDcUNDQXNTeUo5akoxT1FuSGY2UHBzYWU5ZjctUdIB0wFBVV95cUxQWjB1UkJhSVZ1SDhieFdDOXJZWWs0TXJIQVhJenNnWFF6cHdLWG84RWFxUTNOaEhiUlAwQlhsTFdldHlkYjQ0bXpmYVV6Yy1RbHlkUEdhaU8tbUdkM1gyVWZRT3Y4NXAyMU1lSjZLSlJ6aWpKR0p4bFQ4cG5yMENlcWFmRTR0NnZxVWhuSzRVU1Ywa3hKSnp2Mk9kbU55OFlGYWhBTW1xOW95V2Y5bWRkNUxuQTFGa2Y4d0wtaGQ3THY2UnlMemM0Z0dvQkdTcjhWODE0?oc=5"" target=""_blank"">Tamil Nadu weather forecast: IMD sounds orange alert in four districts |Details here|</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
