Title,Link,Date,Source,Summary,Term,LanguageQueried
Nagaland weather outlook changes as Cyclone Montha weakens - MorungExpress,https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5,2025-10-29 23:25:18,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5"" target=""_blank"">Nagaland weather outlook changes as Cyclone Montha weakens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Village chief in Manipur's Churachandpur district dies after assault by armed men - The Hindu,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQTXNhNGhwa2JhZ3I5d2hOZzV5XzZVeFM1b19UUXd0TzJraFEwWFdXeXFFV1N4cUVZdzlodjJTdVJUZTU2RWxzU1hVWkFZX3J5d01BSHEwblhsdVluclhtanpPMW1pSEoxT0d3OFAzQ3o2UHRQWE5VbW5LSlQ3aUZMaU51NlBHdzllaWl6QjFYS1I3eGRGQ0dFcGFWR19ob0s0MEw2RjhDR0hha2NQZ3RQRk9uZVA5QWJLZmE4TGh3eXE4WU9kSThWV1J5Q0xOYkFOVHpqS1VyaVpyclV5amMyV9IB5wFBVV95cUxPSGJfY1FURkRQN3VVTjBjdUx0MTVfbnBLYjFFWnkxSC1SVVg0cVZEUHRUdTdYdTdWSU8xT2d1UHNSeEtrRmJmSnY5WjhaMkJaZHlOZ1pFQzdDdVJQaGxWbUhpNHpCNkphWmRnMTRhTk1KU1pkNDBLNTcxV19JRy1GRU53MnVsNktZTGt3clFITDFQQ2VGVVdxNVFuVnhQVDdCeUJfVGx5M09OMzQ2Rktha3Nhb2VXbVVUdEhqcHotUlU2X2VWbWEyOUI0TnhRQnFSQlhJUmVJWU1vOWhlRkF1Y2QzNEpZWVk?oc=5,2025-10-29 11:23:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQTXNhNGhwa2JhZ3I5d2hOZzV5XzZVeFM1b19UUXd0TzJraFEwWFdXeXFFV1N4cUVZdzlodjJTdVJUZTU2RWxzU1hVWkFZX3J5d01BSHEwblhsdVluclhtanpPMW1pSEoxT0d3OFAzQ3o2UHRQWE5VbW5LSlQ3aUZMaU51NlBHdzllaWl6QjFYS1I3eGRGQ0dFcGFWR19ob0s0MEw2RjhDR0hha2NQZ3RQRk9uZVA5QWJLZmE4TGh3eXE4WU9kSThWV1J5Q0xOYkFOVHpqS1VyaVpyclV5amMyV9IB5wFBVV95cUxPSGJfY1FURkRQN3VVTjBjdUx0MTVfbnBLYjFFWnkxSC1SVVg0cVZEUHRUdTdYdTdWSU8xT2d1UHNSeEtrRmJmSnY5WjhaMkJaZHlOZ1pFQzdDdVJQaGxWbUhpNHpCNkphWmRnMTRhTk1KU1pkNDBLNTcxV19JRy1GRU53MnVsNktZTGt3clFITDFQQ2VGVVdxNVFuVnhQVDdCeUJfVGx5M09OMzQ2Rktha3Nhb2VXbVVUdEhqcHotUlU2X2VWbWEyOUI0TnhRQnFSQlhJUmVJWU1vOWhlRkF1Y2QzNEpZWVk?oc=5"" target=""_blank"">Village chief in Manipur's Churachandpur district dies after assault by armed men</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31 - Times Bull,https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5,2025-10-30 06:31:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5"" target=""_blank"">Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
Cyclone Montha: Andhra CM Naidu visits affected areas in Konaseema district - ANI News,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOYTdUa0pwQkJyRHk5MndrbUw5MWdSajBjR3JUNy1hTkJnWng2RnhQWGpNRGE0cVR1RGdVN0IxMEh0X2dnT2hrUG40ZVZtZkY1NThTQ25teHo5dTNuZnR3LVZlUE9xM3NfWHBYcmw4bm1IRjFUSldvWTU0Sl9BdkJ1Q2tXWm80VjMyUG1QMHU4Q0RhVVk0WThxanVudUo0SU9fd3NIWDgyajRkVnNlSWtaRl9CcWUtRVljTF9FSHZKa1ZrSXd5S213OW1qSTJIQTFlTmtHaEtxb9IB1wFBVV95cUxOYTdUa0pwQkJyRHk5MndrbUw5MWdSajBjR3JUNy1hTkJnWng2RnhQWGpNRGE0cVR1RGdVN0IxMEh0X2dnT2hrUG40ZVZtZkY1NThTQ25teHo5dTNuZnR3LVZlUE9xM3NfWHBYcmw4bm1IRjFUSldvWTU0Sl9BdkJ1Q2tXWm80VjMyUG1QMHU4Q0RhVVk0WThxanVudUo0SU9fd3NIWDgyajRkVnNlSWtaRl9CcWUtRVljTF9FSHZKa1ZrSXd5S213OW1qSTJIQTFlTmtHaEtxbw?oc=5,2025-10-29 20:49:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOYTdUa0pwQkJyRHk5MndrbUw5MWdSajBjR3JUNy1hTkJnWng2RnhQWGpNRGE0cVR1RGdVN0IxMEh0X2dnT2hrUG40ZVZtZkY1NThTQ25teHo5dTNuZnR3LVZlUE9xM3NfWHBYcmw4bm1IRjFUSldvWTU0Sl9BdkJ1Q2tXWm80VjMyUG1QMHU4Q0RhVVk0WThxanVudUo0SU9fd3NIWDgyajRkVnNlSWtaRl9CcWUtRVljTF9FSHZKa1ZrSXd5S213OW1qSTJIQTFlTmtHaEtxb9IB1wFBVV95cUxOYTdUa0pwQkJyRHk5MndrbUw5MWdSajBjR3JUNy1hTkJnWng2RnhQWGpNRGE0cVR1RGdVN0IxMEh0X2dnT2hrUG40ZVZtZkY1NThTQ25teHo5dTNuZnR3LVZlUE9xM3NfWHBYcmw4bm1IRjFUSldvWTU0Sl9BdkJ1Q2tXWm80VjMyUG1QMHU4Q0RhVVk0WThxanVudUo0SU9fd3NIWDgyajRkVnNlSWtaRl9CcWUtRVljTF9FSHZKa1ZrSXd5S213OW1qSTJIQTFlTmtHaEtxbw?oc=5"" target=""_blank"">Cyclone Montha: Andhra CM Naidu visits affected areas in Konaseema district</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",Disaster,en
Manipur violence: 50-year-old village chief killed in Churachandpur; Kuki militant group suspected behind - The Times of India,https://news.google.com/rss/articles/CBMimAJBVV95cUxQZlcxY1JZbjFLV1ZKOWJKUi0tV1p3dFRKWWJoOUp4cXVDT3B1c3pXb3VYUExDdVgtSXNzZmlKcGwxcW83UklLN1gydFdRa1JoLXpxWmxrY1RxLWQ2ZVdzYWdLZS1tMm5UeFNWVDFsMDFzOHpsSHhaSTZXc1NuNDdmd0p1S0xCOFRMMlBDdExidjJ2MVNIZjBuUTRLN0w0bkJlNXJKNkc4WldfbGpLTTFKZEhVRjNuUUVjX01iSGJFN0pGLUJldjF4VFBhVUYtQThBOXhDWk5POHJZa2wyOG1nUWQ3Qkc5c2hObzFNUzZYSzVmc0pYZ08zVVREdlJBd0MtV0xxY2xGSlljQ0xITzA2UEl1UXE1M3ZM0gGYAkFVX3lxTFBmVzFjUlluMUtXVko5YkpSLS1XWnd0VEpZYmg5SnhxdUNPcHVzeldvdVhQTEN1WC1Jc3NmaUpwbDFxbzdSSUs3WDJ0V1FrUmgtenFabGtjVHEtZDZlV3NhZ0tlLW0yblR4U1ZUMWwwMXM4emxIeFpJNldzU240N2Z3SnVLTEI4VEwyUEN0TGJ2MnYxU0hmMG5RNEs3TDRuQmU1cko2RzhaV19saktNMUpkSFVGM25RRWNfTWJIYkU3SkYtQmV2MXhUUGFVRi1BOEE5eENaTk84cllrbDI4bWdRZDdCRzlzaE5vMU1TNlhLNWZzSlhnTzNVVER2UkF3Qy1XTHFjbEZKWWNDTEhPMDZQSXVRcTUzdkw?oc=5,2025-10-29 14:13:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMimAJBVV95cUxQZlcxY1JZbjFLV1ZKOWJKUi0tV1p3dFRKWWJoOUp4cXVDT3B1c3pXb3VYUExDdVgtSXNzZmlKcGwxcW83UklLN1gydFdRa1JoLXpxWmxrY1RxLWQ2ZVdzYWdLZS1tMm5UeFNWVDFsMDFzOHpsSHhaSTZXc1NuNDdmd0p1S0xCOFRMMlBDdExidjJ2MVNIZjBuUTRLN0w0bkJlNXJKNkc4WldfbGpLTTFKZEhVRjNuUUVjX01iSGJFN0pGLUJldjF4VFBhVUYtQThBOXhDWk5POHJZa2wyOG1nUWQ3Qkc5c2hObzFNUzZYSzVmc0pYZ08zVVREdlJBd0MtV0xxY2xGSlljQ0xITzA2UEl1UXE1M3ZM0gGYAkFVX3lxTFBmVzFjUlluMUtXVko5YkpSLS1XWnd0VEpZYmg5SnhxdUNPcHVzeldvdVhQTEN1WC1Jc3NmaUpwbDFxbzdSSUs3WDJ0V1FrUmgtenFabGtjVHEtZDZlV3NhZ0tlLW0yblR4U1ZUMWwwMXM4emxIeFpJNldzU240N2Z3SnVLTEI4VEwyUEN0TGJ2MnYxU0hmMG5RNEs3TDRuQmU1cko2RzhaV19saktNMUpkSFVGM25RRWNfTWJIYkU3SkYtQmV2MXhUUGFVRi1BOEE5eENaTk84cllrbDI4bWdRZDdCRzlzaE5vMU1TNlhLNWZzSlhnTzNVVER2UkF3Qy1XTHFjbEZKWWNDTEhPMDZQSXVRcTUzdkw?oc=5"" target=""_blank"">Manipur violence: 50-year-old village chief killed in Churachandpur; Kuki militant group suspected behind</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Disaster,en
Telangana Weather: Flash flood risk alert for 14 districts till 5.30 p.m. October 30 - The Hindu,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPbk5KRVZ2bGdtWGNNYUFyZkZXV0JXSVJIWnRNcFNxVkhfeGxJUzZJUV94T2JRYTQtN2ZhOWRkVEJQT254RjNubW10VTljNDJ4eDV5U3o5R0d0QU1tQ09KckhldXhWbmRVU3NVMC1MYzRodUJaZXhURXk4czJtWHpPQUxPekswUGhqd1FwYXprNEFZZVpOYU5sOFRjSF9oVDU3aERMVlM4NF81bTVSSDA1S1IyQXJVbUlqdklpN0lqUVg2NGZyUmdFY0c4NVV6M1BVU1N0RG9haktQa2VCbkVRc05PTdIB6gFBVV95cUxNektENk5aa0FNSFJPNkQxa0MwMjBocVlVQkNaWURLM3hxM2VDMGdLUDZydzlzTmczUnhITUgzOTg1VERrNVJiTXo5UUtkaWM4bEh5SHJvcnJZQm9KaWVRZEFabmREcGVIczNQOER3SE4wR1d6aWh3dXBmaktBb19kb0p6a2F1bVdabnZBNlJEUkNiWmlja3ViYmJxajRMWmgwZjlqMHVFR1M5c0c0Q2lMZ1E5aXNyVEU1QzlpdzFBZGdkUGJZaHFzbUpMWWd0Y0ZkaDFwckFVQlJaQ2hSb0UwZ3dFVkthcFcxOEE?oc=5,2025-10-29 11:29:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPbk5KRVZ2bGdtWGNNYUFyZkZXV0JXSVJIWnRNcFNxVkhfeGxJUzZJUV94T2JRYTQtN2ZhOWRkVEJQT254RjNubW10VTljNDJ4eDV5U3o5R0d0QU1tQ09KckhldXhWbmRVU3NVMC1MYzRodUJaZXhURXk4czJtWHpPQUxPekswUGhqd1FwYXprNEFZZVpOYU5sOFRjSF9oVDU3aERMVlM4NF81bTVSSDA1S1IyQXJVbUlqdklpN0lqUVg2NGZyUmdFY0c4NVV6M1BVU1N0RG9haktQa2VCbkVRc05PTdIB6gFBVV95cUxNektENk5aa0FNSFJPNkQxa0MwMjBocVlVQkNaWURLM3hxM2VDMGdLUDZydzlzTmczUnhITUgzOTg1VERrNVJiTXo5UUtkaWM4bEh5SHJvcnJZQm9KaWVRZEFabmREcGVIczNQOER3SE4wR1d6aWh3dXBmaktBb19kb0p6a2F1bVdabnZBNlJEUkNiWmlja3ViYmJxajRMWmgwZjlqMHVFR1M5c0c0Q2lMZ1E5aXNyVEU1QzlpdzFBZGdkUGJZaHFzbUpMWWd0Y0ZkaDFwckFVQlJaQ2hSb0UwZ3dFVkthcFcxOEE?oc=5"" target=""_blank"">Telangana Weather: Flash flood risk alert for 14 districts till 5.30 p.m. October 30</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
"Cyclone Montha Stirs Storms Across MP, Chhattisgarh - NewsGram",https://news.google.com/rss/articles/CBMirAFBVV95cUxPWktoRFg5bnp1djlaSlhyckpWcFJwUWFmV3gwTUYzbFJqREJ3bm5qT2dCNEFjalgycUV4TW9IRXVjNzUteHdQM25iNlNzRHRSMTlCUXBCNXo3aGVhcXpvNVAxMElrekhPRGM5VG54VlM0RVpXeXNiN1pkUUI4MUlHeVhmQXl6VFlGUERWVXZSUEFzbS1vX1NNRGhYVkxPeUJrQ2VabWhsRXRoVTVQ0gGsAUFVX3lxTE9aS2hEWDluenV2OVpKWHJySlZwUnBRYWZXeDBNRjNsUmpEQndubmpPZ0I0QWNqWDJxRXhNb0hFdWM3NS14d1AzbmI2U3NEdFIxOUJRcEI1ejdoZWFxem81UDEwSWt6SE9EYzlUbnhWUzRFWld5c2I3WmRRQjgxSUd5WGZBeXpUWUZQRFZVdlJQQXNtLW9fU01EaFhWTE95QmtDZVptaGxFdGhVNVA?oc=5,2025-10-29 13:25:51,NewsGram,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPWktoRFg5bnp1djlaSlhyckpWcFJwUWFmV3gwTUYzbFJqREJ3bm5qT2dCNEFjalgycUV4TW9IRXVjNzUteHdQM25iNlNzRHRSMTlCUXBCNXo3aGVhcXpvNVAxMElrekhPRGM5VG54VlM0RVpXeXNiN1pkUUI4MUlHeVhmQXl6VFlGUERWVXZSUEFzbS1vX1NNRGhYVkxPeUJrQ2VabWhsRXRoVTVQ0gGsAUFVX3lxTE9aS2hEWDluenV2OVpKWHJySlZwUnBRYWZXeDBNRjNsUmpEQndubmpPZ0I0QWNqWDJxRXhNb0hFdWM3NS14d1AzbmI2U3NEdFIxOUJRcEI1ejdoZWFxem81UDEwSWt6SE9EYzlUbnhWUzRFWld5c2I3WmRRQjgxSUd5WGZBeXpUWUZQRFZVdlJQQXNtLW9fU01EaFhWTE95QmtDZVptaGxFdGhVNVA?oc=5"" target=""_blank"">Cyclone Montha Stirs Storms Across MP, Chhattisgarh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsGram</font>",Disaster,en
Nagaland weather outlook changes as Cyclone Montha weakens - MorungExpress,https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5,2025-10-29 23:25:18,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5"" target=""_blank"">Nagaland weather outlook changes as Cyclone Montha weakens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Village chief in Manipur's Churachandpur district dies after assault by armed men - The Hindu,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQTXNhNGhwa2JhZ3I5d2hOZzV5XzZVeFM1b19UUXd0TzJraFEwWFdXeXFFV1N4cUVZdzlodjJTdVJUZTU2RWxzU1hVWkFZX3J5d01BSHEwblhsdVluclhtanpPMW1pSEoxT0d3OFAzQ3o2UHRQWE5VbW5LSlQ3aUZMaU51NlBHdzllaWl6QjFYS1I3eGRGQ0dFcGFWR19ob0s0MEw2RjhDR0hha2NQZ3RQRk9uZVA5QWJLZmE4TGh3eXE4WU9kSThWV1J5Q0xOYkFOVHpqS1VyaVpyclV5amMyV9IB5wFBVV95cUxPSGJfY1FURkRQN3VVTjBjdUx0MTVfbnBLYjFFWnkxSC1SVVg0cVZEUHRUdTdYdTdWSU8xT2d1UHNSeEtrRmJmSnY5WjhaMkJaZHlOZ1pFQzdDdVJQaGxWbUhpNHpCNkphWmRnMTRhTk1KU1pkNDBLNTcxV19JRy1GRU53MnVsNktZTGt3clFITDFQQ2VGVVdxNVFuVnhQVDdCeUJfVGx5M09OMzQ2Rktha3Nhb2VXbVVUdEhqcHotUlU2X2VWbWEyOUI0TnhRQnFSQlhJUmVJWU1vOWhlRkF1Y2QzNEpZWVk?oc=5,2025-10-29 11:23:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQTXNhNGhwa2JhZ3I5d2hOZzV5XzZVeFM1b19UUXd0TzJraFEwWFdXeXFFV1N4cUVZdzlodjJTdVJUZTU2RWxzU1hVWkFZX3J5d01BSHEwblhsdVluclhtanpPMW1pSEoxT0d3OFAzQ3o2UHRQWE5VbW5LSlQ3aUZMaU51NlBHdzllaWl6QjFYS1I3eGRGQ0dFcGFWR19ob0s0MEw2RjhDR0hha2NQZ3RQRk9uZVA5QWJLZmE4TGh3eXE4WU9kSThWV1J5Q0xOYkFOVHpqS1VyaVpyclV5amMyV9IB5wFBVV95cUxPSGJfY1FURkRQN3VVTjBjdUx0MTVfbnBLYjFFWnkxSC1SVVg0cVZEUHRUdTdYdTdWSU8xT2d1UHNSeEtrRmJmSnY5WjhaMkJaZHlOZ1pFQzdDdVJQaGxWbUhpNHpCNkphWmRnMTRhTk1KU1pkNDBLNTcxV19JRy1GRU53MnVsNktZTGt3clFITDFQQ2VGVVdxNVFuVnhQVDdCeUJfVGx5M09OMzQ2Rktha3Nhb2VXbVVUdEhqcHotUlU2X2VWbWEyOUI0TnhRQnFSQlhJUmVJWU1vOWhlRkF1Y2QzNEpZWVk?oc=5"" target=""_blank"">Village chief in Manipur's Churachandpur district dies after assault by armed men</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31 - Times Bull,https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5,2025-10-30 06:31:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5"" target=""_blank"">Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
