Title,Link,Date,Source,Summary,Place
"Weather Today (October 1): Heavy Rains to Batter Kerala, Assam, Meghalaya, Arunachal, N.M.M.T - The Weather Channel",https://news.google.com/rss/articles/CBMivgFBVV95cUxNMGRkREJfenJ0a0duVXJTbWhPZWxOc0VGOGlUNTNIcUg4SXdpb1VpSzJqMEtDaFl4XzZhQUUyWFk1S1B3UzJCb0l2cjFLLWRldHo0REFEcnpRZGRiMlJsMkdqd2FGaVNqQjVxZlBwdlZEQzJtal9Ld0RjN3BxTy1SZXBjSHRfY2VhUjZlbVJ0MGFLcVpPQ1J6ZWxyOHpoQldtY0R4VHBDYUV5Y2ljMW8zWFFaXy02Q0VsOGdZMW5n?oc=5,2024-10-01 09:43:34,The Weather Channel,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNMGRkREJfenJ0a0duVXJTbWhPZWxOc0VGOGlUNTNIcUg4SXdpb1VpSzJqMEtDaFl4XzZhQUUyWFk1S1B3UzJCb0l2cjFLLWRldHo0REFEcnpRZGRiMlJsMkdqd2FGaVNqQjVxZlBwdlZEQzJtal9Ld0RjN3BxTy1SZXBjSHRfY2VhUjZlbVJ0MGFLcVpPQ1J6ZWxyOHpoQldtY0R4VHBDYUV5Y2ljMW8zWFFaXy02Q0VsOGdZMW5n?oc=5"" target=""_blank"">Weather Today (October 1): Heavy Rains to Batter Kerala, Assam, Meghalaya, Arunachal, N.M.M.T</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Weather Channel</font>",
Good news for agriculture: India ends 2024 monsoon season with surplus rainfall - Deccan Herald,https://news.google.com/rss/articles/CBMivgFBVV95cUxOdktsMTFnZnVweEJpVDVIcVNERU0zWnBDVGZELVZaZ0JnSVR3TU50V0x4Zi1JekhTWVB0THRhemlzcUFMR1RaUHBDYmJZN21KWEhUR1A3ZlZxNUFTLWxWZlFDcS1tRXM5bmpxOGQxVG9KdlBiUl9FdURqMFlsVmhxY2cxbG12SzlvZGhWSlNKSVRGRHl4cDdwRkRfUm4ybmpDbFdOZlkzV1JPM2QxZE00SkdDcjNqbDRYUy1FaV9n?oc=5,2024-09-30 18:59:45,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOdktsMTFnZnVweEJpVDVIcVNERU0zWnBDVGZELVZaZ0JnSVR3TU50V0x4Zi1JekhTWVB0THRhemlzcUFMR1RaUHBDYmJZN21KWEhUR1A3ZlZxNUFTLWxWZlFDcS1tRXM5bmpxOGQxVG9KdlBiUl9FdURqMFlsVmhxY2cxbG12SzlvZGhWSlNKSVRGRHl4cDdwRkRfUm4ybmpDbFdOZlkzV1JPM2QxZE00SkdDcjNqbDRYUy1FaV9n?oc=5"" target=""_blank"">Good news for agriculture: India ends 2024 monsoon season with surplus rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",
Weather Alert- Very Heavy rain to lash 15 States over next 3 days! Check full Forecast - Times Bull,https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2dWNU01TWpVX0NvcXEweHpydWl5eTV2eXJ3OHVnb0lOd29abk8tYUtBNXJQcERyT1R1Y2JqbUhBRUJGQ1RvVG5Pd2oxRVR5WkhQR1hTTE5vZHptenNodlQ3d0tKVndSNzJSUmdvc2FOU000czB2dnpZWlE4VjRWTzdibFliWjlPTmstTFdJSURTNVpBNERFVk05N3VLM1dQS05KYnpROEdQY1NHbEF6RHl5YkNWV1FRd0tBRGZmMW1JMThKWWVXWHNBZ0hyQQ?oc=5,2024-10-01 09:59:44,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2dWNU01TWpVX0NvcXEweHpydWl5eTV2eXJ3OHVnb0lOd29abk8tYUtBNXJQcERyT1R1Y2JqbUhBRUJGQ1RvVG5Pd2oxRVR5WkhQR1hTTE5vZHptenNodlQ3d0tKVndSNzJSUmdvc2FOU000czB2dnpZWlE4VjRWTzdibFliWjlPTmstTFdJSURTNVpBNERFVk05N3VLM1dQS05KYnpROEdQY1NHbEF6RHl5YkNWV1FRd0tBRGZmMW1JMThKWWVXWHNBZ0hyQQ?oc=5"" target=""_blank"">Weather Alert- Very Heavy rain to lash 15 States over next 3 days! Check full Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
"Centre allocates Rs 675 crore to support flood-hit Manipur, Tripura and Gujarat - India Today NE",https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVFVfZ0NTdTRyTExRT2JZdWdwcWh3ak1temhIQVQyTFJONWR0RTF4LWJJOHJnRlhURzk0MHVDWEFLM1dnVW5md0pZMlU2N21JRzhxWjZXQi1Bb1dTUjNPNnJUbThQcjM3SU5Nb29QTzVFZFJHRC1udm8ycUlNVFk4akV0S3hZdzlZc0Z2d2pWaHNnS2d0NWVVMnczZzlkbXhUZ0Z3VnpGSkk4QlJTTFQ3UVg4c2s4Q0l3NDZEbDFXWldFNVE4WG81azZVckpuUmdLdThoOGVB?oc=5,2024-10-01 08:35:02,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPVFVfZ0NTdTRyTExRT2JZdWdwcWh3ak1temhIQVQyTFJONWR0RTF4LWJJOHJnRlhURzk0MHVDWEFLM1dnVW5md0pZMlU2N21JRzhxWjZXQi1Bb1dTUjNPNnJUbThQcjM3SU5Nb29QTzVFZFJHRC1udm8ycUlNVFk4akV0S3hZdzlZc0Z2d2pWaHNnS2d0NWVVMnczZzlkbXhUZ0Z3VnpGSkk4QlJTTFQ3UVg4c2s4Q0l3NDZEbDFXWldFNVE4WG81azZVckpuUmdLdThoOGVB?oc=5"" target=""_blank"">Centre allocates Rs 675 crore to support flood-hit Manipur, Tripura and Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",
"Centre approves release of ₹675 cr to flood-hit Gujarat, Manipur, Tripura - Hindustan Times",https://news.google.com/rss/articles/CBMizwFBVV95cUxOdzVBM3VtdDk2c3lFck4za2NaOXhJS1NuWFo0cFNreTktTVlCQTVQVFB5TVpqWExUay1jSkg0TUJGS3VaUzR2MmVjd1d6RF9rMjUyb2FzRzRqZ1lHMGxCRXVTUjB0NWFDQ0ttT2pIQUpqVUM1NElGTmtHVzZaZmdzend6Y2EtNDQwVlJIc3BFNFVORWEtUE9nZ2stRl9ONU4xZ3JNNlVReDZaM1B5SmV5NU9IVm8yY0Y0SXRzSzhZWDY0U1BMX0Z6WlVLYXdwVzA?oc=5,2024-09-30 22:01:25,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOdzVBM3VtdDk2c3lFck4za2NaOXhJS1NuWFo0cFNreTktTVlCQTVQVFB5TVpqWExUay1jSkg0TUJGS3VaUzR2MmVjd1d6RF9rMjUyb2FzRzRqZ1lHMGxCRXVTUjB0NWFDQ0ttT2pIQUpqVUM1NElGTmtHVzZaZmdzend6Y2EtNDQwVlJIc3BFNFVORWEtUE9nZ2stRl9ONU4xZ3JNNlVReDZaM1B5SmV5NU9IVm8yY0Y0SXRzSzhZWDY0U1BMX0Z6WlVLYXdwVzA?oc=5"" target=""_blank"">Centre approves release of ₹675 cr to flood-hit Gujarat, Manipur, Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Centre Approves ₹675 Crore Relief For Flood-Affected States Of Gujarat, Manipur, Tripura - NorthEast Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQU2ctWTV0R0ZxTlR4MERpN2lsRUMxVjItc1FtLTFEb3pZUmZzbGRnVGlBeFk3dC1JU003M3JYUEpyQ2dQLXgyMU4tZk54dXFqV29FTlp4Vnd6WDJIdDBMTlhaN1Z0M21zRnBqT0FjNHZTMTdiTVBSa01iZTktQzgxR2JFc3Y1THhST0JDSzhmOGl6R1BXRXRXc0c3SGNaMXBna1VSOE5EZXRXY2t1OTdFaFpNOUlJam0tdzhSOHc3bzVlNXcxWFBGSUpoU3ZzWUZ5TzNF?oc=5,2024-10-01 09:49:47,NorthEast Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQU2ctWTV0R0ZxTlR4MERpN2lsRUMxVjItc1FtLTFEb3pZUmZzbGRnVGlBeFk3dC1JU003M3JYUEpyQ2dQLXgyMU4tZk54dXFqV29FTlp4Vnd6WDJIdDBMTlhaN1Z0M21zRnBqT0FjNHZTMTdiTVBSa01iZTktQzgxR2JFc3Y1THhST0JDSzhmOGl6R1BXRXRXc0c3SGNaMXBna1VSOE5EZXRXY2t1OTdFaFpNOUlJam0tdzhSOHc3bzVlNXcxWFBGSUpoU3ZzWUZ5TzNF?oc=5"" target=""_blank"">Centre Approves ₹675 Crore Relief For Flood-Affected States Of Gujarat, Manipur, Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NorthEast Today</font>",
"Modi government allocates Rs 675 crore for flood relief in Gujarat, Manipur, and Tripura - The Times of India",https://news.google.com/rss/articles/CBMi6gFBVV95cUxQWkR4aElaTG55ZllSbWpNSnRXS2JaQVNDc3hQQ3BxekZ5RVhwMFI5NnFzQ0JDbEV5akF4bHRMV1N3QVh4WTZQeGxoOEZsd180WHp4d1R0Yy1xYzFBc3RuRHJ4ZFFBRTR5NkNTZE44S2ZoQ1B4OURLVjNhMzh4RjlmeEpLYUZEWmFMSDk0OFJyYmtSeTZyMjRSOVBtVjQzRlU5Z3NnaUNqeWNhOEFTM3JsU2dYa1kwS2FySFhoRmc5V093OG1OVk1QdnI3ejhxTlp5ek11VGJ6Mm5OaW9JTm1IcWJKQzVqUUs0U2fSAe8BQVVfeXFMTzRuQXFvNExNeGpJVmh6RWxmcVVZNExaYm0tc2lRUjkwanZUUFJzejBJWkxHbktRVGwtS3g3VGRsMWoyZTZJN3pzbDVJWEk4ZXVsbmdxSG9hZFNBOVNoZWVVNzYwTk1xTmVscjQtcXBfZVhxUm9CM3B1Z0hlYkRySWFqZjlPODJjNDZhdkNvbnNNZDFQdkNFcHp6SE53b1hBVmwyZ3FGbkUyQVZVOWQxay1KdWVVWVFEWGtHdVpfRDFjenc2dUh2YjB4bEJUdy1OaVIwcElTUThSRUVMLTE4dEJPOWY3cjBHekxKeFNKcTA?oc=5,2024-09-30 22:03:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxQWkR4aElaTG55ZllSbWpNSnRXS2JaQVNDc3hQQ3BxekZ5RVhwMFI5NnFzQ0JDbEV5akF4bHRMV1N3QVh4WTZQeGxoOEZsd180WHp4d1R0Yy1xYzFBc3RuRHJ4ZFFBRTR5NkNTZE44S2ZoQ1B4OURLVjNhMzh4RjlmeEpLYUZEWmFMSDk0OFJyYmtSeTZyMjRSOVBtVjQzRlU5Z3NnaUNqeWNhOEFTM3JsU2dYa1kwS2FySFhoRmc5V093OG1OVk1QdnI3ejhxTlp5ek11VGJ6Mm5OaW9JTm1IcWJKQzVqUUs0U2fSAe8BQVVfeXFMTzRuQXFvNExNeGpJVmh6RWxmcVVZNExaYm0tc2lRUjkwanZUUFJzejBJWkxHbktRVGwtS3g3VGRsMWoyZTZJN3pzbDVJWEk4ZXVsbmdxSG9hZFNBOVNoZWVVNzYwTk1xTmVscjQtcXBfZVhxUm9CM3B1Z0hlYkRySWFqZjlPODJjNDZhdkNvbnNNZDFQdkNFcHp6SE53b1hBVmwyZ3FGbkUyQVZVOWQxay1KdWVVWVFEWGtHdVpfRDFjenc2dUh2YjB4bEJUdy1OaVIwcElTUThSRUVMLTE4dEJPOWY3cjBHekxKeFNKcTA?oc=5"" target=""_blank"">Modi government allocates Rs 675 crore for flood relief in Gujarat, Manipur, and Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Centre approves ₹675 Crore relief for flood-affected states of Gujarat, Manipur & Tripura - THE INDIAN AWAAZ",https://news.google.com/rss/articles/CBMivwFBVV95cUxONGEwZXh4TzZLci1CUFlHMkZlZkg1Ui0zZVVUQ1BzWVFMb3ZFMDNGMW5rTE1leFVCMWc0LUlCSl8wbHY0UDRwMHJjaXpVUHA1cUdXOW5ubVNVSkN2bWhUNlNJMnU2YkRsX3VZVEFueVU5Vm8tR3JJdjF3bTkxRlhMeTc2LURWQVJIdU5oYUdsc0NPQ09YRlJtMFRWajAxcHQydFhYS3FleTAwdEx1MFNrandFYWdYTTRWMlRBclJNSQ?oc=5,2024-10-01 07:31:26,THE INDIAN AWAAZ,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxONGEwZXh4TzZLci1CUFlHMkZlZkg1Ui0zZVVUQ1BzWVFMb3ZFMDNGMW5rTE1leFVCMWc0LUlCSl8wbHY0UDRwMHJjaXpVUHA1cUdXOW5ubVNVSkN2bWhUNlNJMnU2YkRsX3VZVEFueVU5Vm8tR3JJdjF3bTkxRlhMeTc2LURWQVJIdU5oYUdsc0NPQ09YRlJtMFRWajAxcHQydFhYS3FleTAwdEx1MFNrandFYWdYTTRWMlRBclJNSQ?oc=5"" target=""_blank"">Centre approves ₹675 Crore relief for flood-affected states of Gujarat, Manipur & Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">THE INDIAN AWAAZ</font>",
"Centre grants Rs 6oo cr for flood-affected Gujarat, Kerala to wait till assessment report is ready - Onmanorama",https://news.google.com/rss/articles/CBMiywFBVV95cUxOc3J0M3phemJOZ3duR3hpZEw3REIxbVdicUdwaGIxZFdSeXlBWWdjVzFrRUxqQTF5TWJhZkd2RlR0dmZzenFqYlRoUjhsVWRiQ2VMYmdLSWdxREJPUXUzdnYxTHhFRlp2RThzSC1IWGQ4dXd1NlNPXzlQMEZJMjBOYTBNVDhnV29WUDNwZlJRZzBudWFxRkRrUTYwX3pWRWVoLWVTOHlxbF90eDB2VkdEYlI1M2RwSVVwa0pTNDZBSHZseHZCLXZEQ2ZaSdIBywFBVV95cUxOc3J0M3phemJOZ3duR3hpZEw3REIxbVdicUdwaGIxZFdSeXlBWWdjVzFrRUxqQTF5TWJhZkd2RlR0dmZzenFqYlRoUjhsVWRiQ2VMYmdLSWdxREJPUXUzdnYxTHhFRlp2RThzSC1IWGQ4dXd1NlNPXzlQMEZJMjBOYTBNVDhnV29WUDNwZlJRZzBudWFxRkRrUTYwX3pWRWVoLWVTOHlxbF90eDB2VkdEYlI1M2RwSVVwa0pTNDZBSHZseHZCLXZEQ2ZaSQ?oc=5,2024-10-01 00:10:54,Onmanorama,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOc3J0M3phemJOZ3duR3hpZEw3REIxbVdicUdwaGIxZFdSeXlBWWdjVzFrRUxqQTF5TWJhZkd2RlR0dmZzenFqYlRoUjhsVWRiQ2VMYmdLSWdxREJPUXUzdnYxTHhFRlp2RThzSC1IWGQ4dXd1NlNPXzlQMEZJMjBOYTBNVDhnV29WUDNwZlJRZzBudWFxRkRrUTYwX3pWRWVoLWVTOHlxbF90eDB2VkdEYlI1M2RwSVVwa0pTNDZBSHZseHZCLXZEQ2ZaSdIBywFBVV95cUxOc3J0M3phemJOZ3duR3hpZEw3REIxbVdicUdwaGIxZFdSeXlBWWdjVzFrRUxqQTF5TWJhZkd2RlR0dmZzenFqYlRoUjhsVWRiQ2VMYmdLSWdxREJPUXUzdnYxTHhFRlp2RThzSC1IWGQ4dXd1NlNPXzlQMEZJMjBOYTBNVDhnV29WUDNwZlJRZzBudWFxRkRrUTYwX3pWRWVoLWVTOHlxbF90eDB2VkdEYlI1M2RwSVVwa0pTNDZBSHZseHZCLXZEQ2ZaSQ?oc=5"" target=""_blank"">Centre grants Rs 6oo cr for flood-affected Gujarat, Kerala to wait till assessment report is ready</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Onmanorama</font>",
"Heavy rainfall expected in Assam, Meghalaya, Arunachal, Nagaland, Manipur, Mizoram, and Tripura - Northeast Now",https://news.google.com/rss/articles/CBMixgFBVV95cUxQUVk2NnljckFmTk5XRWF3UmhsdVNPZmk2c0N1NHZKdlZKeTV6dlNnWExtUFJCdk5ibWg2eGpkWm9aVm1xY3lVYjJuM016RFpjejRtWGoydVRyWnlZdHExZldabHdmM0t6MEx1dGpSYTgzNFNmUEJtT2VFeFlKUVhDV1FVc0xpRl80eHhQLWhmVEE1eHZra01Yb29DVWZueGI4eENuSGZaRVpZamxpczIwSXBYajNQdjNpdF9zNm1zWjZnTkFqTmc?oc=5,2024-10-01 08:40:55,Northeast Now,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQUVk2NnljckFmTk5XRWF3UmhsdVNPZmk2c0N1NHZKdlZKeTV6dlNnWExtUFJCdk5ibWg2eGpkWm9aVm1xY3lVYjJuM016RFpjejRtWGoydVRyWnlZdHExZldabHdmM0t6MEx1dGpSYTgzNFNmUEJtT2VFeFlKUVhDV1FVc0xpRl80eHhQLWhmVEE1eHZra01Yb29DVWZueGI4eENuSGZaRVpZamxpczIwSXBYajNQdjNpdF9zNm1zWjZnTkFqTmc?oc=5"" target=""_blank"">Heavy rainfall expected in Assam, Meghalaya, Arunachal, Nagaland, Manipur, Mizoram, and Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeast Now</font>",
