Title,Link,Date,Source,Summary,Term,LanguageQueried
"Northeast India faces deadly floods and landslides: Over 30 reported dead, Assam and Arunachal among worst - The Economic Times",https://news.google.com/rss/articles/CBMiiAJBVV95cUxQdzUyZnVJYUgybkhqTG5uSG9ocHVDZjVGTU1CM3ZvcFRMdG1xdkJXRXRsb2NIeGZsY3hoRkVvWGhIVlVDN05Ld0xrc3pCWER6QjA3MC05Qy1tUVRISEVCbFdkeEpQUkg2V09DMHp5clJ0eTR3d2dfZUtGell4OTdLZHVZSFhrNnh1clVNNUtta0lNZjd0LWd2WDF1X1ZJaWNSZ2xpRFVCSlBkT253ZFRpSnRsa09lSFhsbjZXem1yZXhveWFsU3B2cnRRLVRwbG9vYk5lTXlaY3RvRldrMnp5V2ZNS3hnckhBWkxqZ0FHNmRMYmVXcFZRUjg5WXJTVDZDSHlhMmluamPSAYgCQVVfeXFMUHc1MmZ1SWFIMm5IakxubkhvaHB1Q2Y1Rk1NQjN2b3BUTHRtcXZCV0V0bG9jSHhmbGN4aEZFb1hoSFZVQzdOS3dMa3N6QlhEekIwNzAtOUMtbVFUSEhFQmxXZHhKUFJINldPQzB6eXJSdHk0d3dnX2VLRnpZeDk3S2R1WUhYazZ4dXJVTTVLbWtJTWY3dC1ndlgxdV9WSWljUmdsaURVQkpQZE9ud2RUaUp0bGtPZUhYbG42V3ptcmV4b3lhbFNwdnJ0US1UcGxvb2JOZU15WmN0b0ZXazJ6eVdmTUt4Z3JIQVpMamdBRzZkTGJlV3BWUVI4OVlyU1Q2Q0h5YTJpbmpj?oc=5,2025-06-01 08:04:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxQdzUyZnVJYUgybkhqTG5uSG9ocHVDZjVGTU1CM3ZvcFRMdG1xdkJXRXRsb2NIeGZsY3hoRkVvWGhIVlVDN05Ld0xrc3pCWER6QjA3MC05Qy1tUVRISEVCbFdkeEpQUkg2V09DMHp5clJ0eTR3d2dfZUtGell4OTdLZHVZSFhrNnh1clVNNUtta0lNZjd0LWd2WDF1X1ZJaWNSZ2xpRFVCSlBkT253ZFRpSnRsa09lSFhsbjZXem1yZXhveWFsU3B2cnRRLVRwbG9vYk5lTXlaY3RvRldrMnp5V2ZNS3hnckhBWkxqZ0FHNmRMYmVXcFZRUjg5WXJTVDZDSHlhMmluamPSAYgCQVVfeXFMUHc1MmZ1SWFIMm5IakxubkhvaHB1Q2Y1Rk1NQjN2b3BUTHRtcXZCV0V0bG9jSHhmbGN4aEZFb1hoSFZVQzdOS3dMa3N6QlhEekIwNzAtOUMtbVFUSEhFQmxXZHhKUFJINldPQzB6eXJSdHk0d3dnX2VLRnpZeDk3S2R1WUhYazZ4dXJVTTVLbWtJTWY3dC1ndlgxdV9WSWljUmdsaURVQkpQZE9ud2RUaUp0bGtPZUhYbG42V3ptcmV4b3lhbFNwdnJ0US1UcGxvb2JOZU15WmN0b0ZXazJ6eVdmTUt4Z3JIQVpMamdBRzZkTGJlV3BWUVI4OVlyU1Q2Q0h5YTJpbmpj?oc=5"" target=""_blank"">Northeast India faces deadly floods and landslides: Over 30 reported dead, Assam and Arunachal among worst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
Rains LIVE: 10 die in northeast due to landslides and floods - The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5,2025-05-31 16:11:15,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5"" target=""_blank"">Rains LIVE: 10 die in northeast due to landslides and floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Devastating Rains Wreak Havoc in Northeast India - KKN Live,https://news.google.com/rss/articles/CBMijwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWdIBjwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWQ?oc=5,2025-06-01 10:15:11,KKN Live,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWdIBjwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWQ?oc=5"" target=""_blank"">Devastating Rains Wreak Havoc in Northeast India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KKN Live</font>",Disaster,en
CEO reveals GMDA new initiatives to mitigate flood - Business Northeast,https://news.google.com/rss/articles/CBMijgFBVV95cUxNT1cwaHYyOXVBZ1Z4cHd3bWg1Mi1ZbkZSaDBPWm9US3dYNGlvUnl1ZnptSkZRanU4LTBBRHFkX2lVZ1U3czM3TGZaWm1sT3VESUhpenVpMjZWWVk3WTl5blpWaEdyN2pxa3VsQzA5cHhoT1g0OHVYNm16M0FVQjJRQ2t3a2xmenJkU1ZOQ0Zn?oc=5,2025-05-31 15:12:22,Business Northeast,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNT1cwaHYyOXVBZ1Z4cHd3bWg1Mi1ZbkZSaDBPWm9US3dYNGlvUnl1ZnptSkZRanU4LTBBRHFkX2lVZ1U3czM3TGZaWm1sT3VESUhpenVpMjZWWVk3WTl5blpWaEdyN2pxa3VsQzA5cHhoT1g0OHVYNm16M0FVQjJRQ2t3a2xmenJkU1ZOQ0Zn?oc=5"" target=""_blank"">CEO reveals GMDA new initiatives to mitigate flood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Northeast</font>",Disaster,en
Urban Flooding Crisis in Guwahati: Why the Flood-Free Mission Remains Elusive? - Guwahati Plus News,https://news.google.com/rss/articles/CBMiowFBVV95cUxQVWpaMXphSmVZbDNua2dxRi1DVnBmUWxFNjI0V2NzcndvQm4wODBtREZhWWxvS0FOMnJqcjdvb2pKZThrYXNOa25FalN2STZEbHZpcG5vZFZ6VGdSVF85eHp4TFpwNktfdkxJS21ZREJCUXQ5Q296LTZsNFpQRGxHbmQ3NU1RNEVfeUtyT295MC16QkNnbjZ6UzExRUtBNk9sT213?oc=5,2025-05-31 14:52:30,Guwahati Plus News,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQVWpaMXphSmVZbDNua2dxRi1DVnBmUWxFNjI0V2NzcndvQm4wODBtREZhWWxvS0FOMnJqcjdvb2pKZThrYXNOa25FalN2STZEbHZpcG5vZFZ6VGdSVF85eHp4TFpwNktfdkxJS21ZREJCUXQ5Q296LTZsNFpQRGxHbmQ3NU1RNEVfeUtyT295MC16QkNnbjZ6UzExRUtBNk9sT213?oc=5"" target=""_blank"">Urban Flooding Crisis in Guwahati: Why the Flood-Free Mission Remains Elusive?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Guwahati Plus News</font>",Disaster,en
India's monsoon floods kill at least 22 people in the country's northeast - The Edwardsville Intelligencer,https://news.google.com/rss/articles/CBMitAFBVV95cUxON1pxM2VGTGo3MDFRdFZPUF9Hb3daZ09Pc1hqVndIS1hwSzl2ek9FQnZLYVU0bFYzSkZHYWtSSzFndTl6TlVWbS1ZZklKZkJtdDVqMkxRZmVYZktJaDR3YXdqenFNVFJPWERocmZMYWJ2MFNKQzZxRk96eERTUXN0LUdraGE0SnE5Z0RJbVFtVGVoejFwbVh5S3lOc3R1WEZhZjVQR0k2dmcyd01KRk9OelZuNUQ?oc=5,2025-05-31 19:32:09,The Edwardsville Intelligencer,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxON1pxM2VGTGo3MDFRdFZPUF9Hb3daZ09Pc1hqVndIS1hwSzl2ek9FQnZLYVU0bFYzSkZHYWtSSzFndTl6TlVWbS1ZZklKZkJtdDVqMkxRZmVYZktJaDR3YXdqenFNVFJPWERocmZMYWJ2MFNKQzZxRk96eERTUXN0LUdraGE0SnE5Z0RJbVFtVGVoejFwbVh5S3lOc3R1WEZhZjVQR0k2dmcyd01KRk9OelZuNUQ?oc=5"" target=""_blank"">India's monsoon floods kill at least 22 people in the country's northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Edwardsville Intelligencer</font>",Disaster,en
"IMD Issues Red Alert In Arunachal Pradesh As Constant Heavy Rains Hit State, Waterlogging Witnessed In Assam, - Free Press Journal",https://news.google.com/rss/articles/CBMi6wFBVV95cUxNQjRrTGZucklleHNlZ1ZBSW5oendQNFU3ZVdFOFoySTc5WXlrUjNYRDRFYTJvQ0Vvc1dmb0NrT2swN3QzWXBOby1GYkhmNEZySmxvV3dxS0tIT0Q2TUlmNDlVaXhzWlhQYVVzNHVKTWJkZi1tX3hoMUo4RUlIV3haT3ZXUkNENnNVbWJFbE1VUjFBWG54WUNMclEzbGNlX3pkeC1BXzdaZFRwYkxjR2ZlNmd6LUV1Y01xYjh6ZnI3QjVyVE9FR2dsWjEzZEV5RDEzckwwdlRSY3hXX3c1RGQ1Nk1tWVMxUE94TjBj0gHwAUFVX3lxTE4xM0NnZ1pzSTRwQUE4V3pXei11Yl9xMHplUFBTemkyRGhsNFBjOVh4eDFhWVhaT0dXbktiMDVNczdpUHpIRWg3ODkwT3cweVJ4YTBnSjJ3eXc3cjdWdlJKOTJVTEpYbmpqUU5YS01Uc29aQkFtRTlkXzdSZ1FtNndWSUhiM0dyNkVJZXFYYmRCVktXeS1vbi16eEE0T3EyVlppeW00THJSOHJmeW5Ob0QxWHQwWGwxQWZ0X2xPMGhSY29qOVdiUmJpVTV5M19OVUN3cTY0aW9veUFud19Ob0EtdFMtWTNHTnNtZ0dPb2Z3Yg?oc=5,2025-05-31 12:21:02,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNQjRrTGZucklleHNlZ1ZBSW5oendQNFU3ZVdFOFoySTc5WXlrUjNYRDRFYTJvQ0Vvc1dmb0NrT2swN3QzWXBOby1GYkhmNEZySmxvV3dxS0tIT0Q2TUlmNDlVaXhzWlhQYVVzNHVKTWJkZi1tX3hoMUo4RUlIV3haT3ZXUkNENnNVbWJFbE1VUjFBWG54WUNMclEzbGNlX3pkeC1BXzdaZFRwYkxjR2ZlNmd6LUV1Y01xYjh6ZnI3QjVyVE9FR2dsWjEzZEV5RDEzckwwdlRSY3hXX3c1RGQ1Nk1tWVMxUE94TjBj0gHwAUFVX3lxTE4xM0NnZ1pzSTRwQUE4V3pXei11Yl9xMHplUFBTemkyRGhsNFBjOVh4eDFhWVhaT0dXbktiMDVNczdpUHpIRWg3ODkwT3cweVJ4YTBnSjJ3eXc3cjdWdlJKOTJVTEpYbmpqUU5YS01Uc29aQkFtRTlkXzdSZ1FtNndWSUhiM0dyNkVJZXFYYmRCVktXeS1vbi16eEE0T3EyVlppeW00THJSOHJmeW5Ob0QxWHQwWGwxQWZ0X2xPMGhSY29qOVdiUmJpVTV5M19OVUN3cTY0aW9veUFud19Ob0EtdFMtWTNHTnNtZ0dPb2Z3Yg?oc=5"" target=""_blank"">IMD Issues Red Alert In Arunachal Pradesh As Constant Heavy Rains Hit State, Waterlogging Witnessed In Assam,</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Disaster,en
"Northeast India faces deadly floods and landslides: Over 30 reported dead, Assam and Arunachal among worst - The Economic Times",https://news.google.com/rss/articles/CBMiiAJBVV95cUxQdzUyZnVJYUgybkhqTG5uSG9ocHVDZjVGTU1CM3ZvcFRMdG1xdkJXRXRsb2NIeGZsY3hoRkVvWGhIVlVDN05Ld0xrc3pCWER6QjA3MC05Qy1tUVRISEVCbFdkeEpQUkg2V09DMHp5clJ0eTR3d2dfZUtGell4OTdLZHVZSFhrNnh1clVNNUtta0lNZjd0LWd2WDF1X1ZJaWNSZ2xpRFVCSlBkT253ZFRpSnRsa09lSFhsbjZXem1yZXhveWFsU3B2cnRRLVRwbG9vYk5lTXlaY3RvRldrMnp5V2ZNS3hnckhBWkxqZ0FHNmRMYmVXcFZRUjg5WXJTVDZDSHlhMmluamPSAYgCQVVfeXFMUHc1MmZ1SWFIMm5IakxubkhvaHB1Q2Y1Rk1NQjN2b3BUTHRtcXZCV0V0bG9jSHhmbGN4aEZFb1hoSFZVQzdOS3dMa3N6QlhEekIwNzAtOUMtbVFUSEhFQmxXZHhKUFJINldPQzB6eXJSdHk0d3dnX2VLRnpZeDk3S2R1WUhYazZ4dXJVTTVLbWtJTWY3dC1ndlgxdV9WSWljUmdsaURVQkpQZE9ud2RUaUp0bGtPZUhYbG42V3ptcmV4b3lhbFNwdnJ0US1UcGxvb2JOZU15WmN0b0ZXazJ6eVdmTUt4Z3JIQVpMamdBRzZkTGJlV3BWUVI4OVlyU1Q2Q0h5YTJpbmpj?oc=5,2025-06-01 08:04:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxQdzUyZnVJYUgybkhqTG5uSG9ocHVDZjVGTU1CM3ZvcFRMdG1xdkJXRXRsb2NIeGZsY3hoRkVvWGhIVlVDN05Ld0xrc3pCWER6QjA3MC05Qy1tUVRISEVCbFdkeEpQUkg2V09DMHp5clJ0eTR3d2dfZUtGell4OTdLZHVZSFhrNnh1clVNNUtta0lNZjd0LWd2WDF1X1ZJaWNSZ2xpRFVCSlBkT253ZFRpSnRsa09lSFhsbjZXem1yZXhveWFsU3B2cnRRLVRwbG9vYk5lTXlaY3RvRldrMnp5V2ZNS3hnckhBWkxqZ0FHNmRMYmVXcFZRUjg5WXJTVDZDSHlhMmluamPSAYgCQVVfeXFMUHc1MmZ1SWFIMm5IakxubkhvaHB1Q2Y1Rk1NQjN2b3BUTHRtcXZCV0V0bG9jSHhmbGN4aEZFb1hoSFZVQzdOS3dMa3N6QlhEekIwNzAtOUMtbVFUSEhFQmxXZHhKUFJINldPQzB6eXJSdHk0d3dnX2VLRnpZeDk3S2R1WUhYazZ4dXJVTTVLbWtJTWY3dC1ndlgxdV9WSWljUmdsaURVQkpQZE9ud2RUaUp0bGtPZUhYbG42V3ptcmV4b3lhbFNwdnJ0US1UcGxvb2JOZU15WmN0b0ZXazJ6eVdmTUt4Z3JIQVpMamdBRzZkTGJlV3BWUVI4OVlyU1Q2Q0h5YTJpbmpj?oc=5"" target=""_blank"">Northeast India faces deadly floods and landslides: Over 30 reported dead, Assam and Arunachal among worst</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
Rains LIVE: 10 die in northeast due to landslides and floods - The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5,2025-05-31 16:11:15,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5"" target=""_blank"">Rains LIVE: 10 die in northeast due to landslides and floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Devastating Rains Wreak Havoc in Northeast India - KKN Live,https://news.google.com/rss/articles/CBMijwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWdIBjwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWQ?oc=5,2025-06-01 10:15:11,KKN Live,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWdIBjwFBVV95cUxPb29kM0hzY24yR2dCN2swR2FVWExfMWIyNTJlSWtRSnBjV1k3NTI0NlhONTRHcE9GUGtJclRMQWNMbkxkdjhnRlUyeUZlb1I4d0tIbkN2NDc5b25MV19mZWxlaTBoU1dtYk9SS3lXWjg0am9xWFdTS2lIN05xbnRQbHNadGJNOW9vRHU4RjVyWQ?oc=5"" target=""_blank"">Devastating Rains Wreak Havoc in Northeast India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KKN Live</font>",Disaster,en
