Title,Link,Date,Source,Summary,Term,LanguageQueried
"Cyclone Montha likely to bring heavy rains to Nagaland, North-East - MorungExpress",https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5,2025-10-26 23:00:37,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5"" target=""_blank"">Cyclone Montha likely to bring heavy rains to Nagaland, North-East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Deep depression in Bay of Bengal: Odisha puts all 30 districts on alert - The Meghalayan Express,https://news.google.com/rss/articles/CBMipwFBVV95cUxNMzBDU3J0X1FCdnVoS2VUR0FSV3g2TlJxRHlLdDJjRG16VWFSMDZnTmdmTTNfT1ZUdXJjZW1wTnJCMExsc1BGalNWdG5Xc01hZlJ1dDMwWi1qNHZSRU9Ic1YxUV9oa0p2NEJ4ZjIxZUwwbFVVYml4WnNLZzNHTmxyOGVuMmx3a0N3aUx1MVJmUTZwaW8wVTZ6Ukc5VUFRU3hlS2pBY2Jycw?oc=5,2025-10-26 22:48:29,The Meghalayan Express,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNMzBDU3J0X1FCdnVoS2VUR0FSV3g2TlJxRHlLdDJjRG16VWFSMDZnTmdmTTNfT1ZUdXJjZW1wTnJCMExsc1BGalNWdG5Xc01hZlJ1dDMwWi1qNHZSRU9Ic1YxUV9oa0p2NEJ4ZjIxZUwwbFVVYml4WnNLZzNHTmxyOGVuMmx3a0N3aUx1MVJmUTZwaW8wVTZ6Ukc5VUFRU3hlS2pBY2Jycw?oc=5"" target=""_blank"">Deep depression in Bay of Bengal: Odisha puts all 30 districts on alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Meghalayan Express</font>",Disaster,en
"Cyclone Montha Alert: IMD Issues Heavy Rain Warning For Odisha, West Bengal; Cold Wave To Hit Eastern UP - MSN",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWTlzVXlqMzVsc2FVLTF5SEJBWlRhVWlqWHFhZ1R3bXBDR250WGZtdDZrR2N5dV9vbUUwZlJNNTBULTFKWEhWOTdOYnZDeTNSbHNZNnVDQzRBUGMyWkVXVUVENnprb2Jsb3UyYXhNVDdhV1NiVi0wNVJJRXBlREo4VXAxcHhad2FleXQyU2c2MzlNYmVFRjByREdjZEJVaGFIT2FUczVxTm9qbFRSNnZRaFU3aUFpNDlzdkhBd1JYWDhHd3dJbndua3hocl8yaF9mYU8zRXRGR0ZRcVljN0tmSTRsaEs?oc=5,2025-10-27 07:17:22,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWTlzVXlqMzVsc2FVLTF5SEJBWlRhVWlqWHFhZ1R3bXBDR250WGZtdDZrR2N5dV9vbUUwZlJNNTBULTFKWEhWOTdOYnZDeTNSbHNZNnVDQzRBUGMyWkVXVUVENnprb2Jsb3UyYXhNVDdhV1NiVi0wNVJJRXBlREo4VXAxcHhad2FleXQyU2c2MzlNYmVFRjByREdjZEJVaGFIT2FUczVxTm9qbFRSNnZRaFU3aUFpNDlzdkhBd1JYWDhHd3dJbndua3hocl8yaF9mYU8zRXRGR0ZRcVljN0tmSTRsaEs?oc=5"" target=""_blank"">Cyclone Montha Alert: IMD Issues Heavy Rain Warning For Odisha, West Bengal; Cold Wave To Hit Eastern UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Weather Alert: Cyclone Threat on Bay of Bengal; Northeast India to See Rain, Thunderstorms - Pratidin Time",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQYVU1XzNJUzBYMXdjcTVPQ0VMUjVXRENHLXd1N3NXdVhQdnE1Mlp0U29XZGZIQlFlQWpiYWFkNnBMMmk3c0FIMl9NdUN6eHJwa3YwNFpRdm51RmthUUpaanhHaDlfQ0pvQTlDbGg3R1ZLeGhQWTFYWmN2R3F6emx1a0RZTlh2ZGpRcVY4WV96LW1mRW02ck9WWnBhUWtZQjI1dk1telFnZHI3V1RWUnBDbURqcm5hMlNESGV4SzZBc2gxZTA5UWxlaVl1azBXeWNZX2fSAdIBQVVfeXFMUGFVNV8zSVMwWDF3Y3E1T0NFTFI1V0RDRy13dTdzV3VYUHZxNTJadFNvV2RmSEJRZUFqYmFhZDZwTDJpN3NBSDJfTXVDenhycGt2MDRaUXZudUZrYVFKWmp4R2g5X0NKb0E5Q2xoN0dWS3hoUFkxWFpjdkdxenpsdWtEWU5YdmRqUXFWOFlfei1tZkVtNnJPVlpwYVFrWUIyNXZNbXpRZ2RyN1dUVlJwQ21EanJuYTJTREhleEs2QXNoMWUwOVFsZWlZdWswV3ljWV9n?oc=5,2025-10-26 22:36:25,Pratidin Time,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQYVU1XzNJUzBYMXdjcTVPQ0VMUjVXRENHLXd1N3NXdVhQdnE1Mlp0U29XZGZIQlFlQWpiYWFkNnBMMmk3c0FIMl9NdUN6eHJwa3YwNFpRdm51RmthUUpaanhHaDlfQ0pvQTlDbGg3R1ZLeGhQWTFYWmN2R3F6emx1a0RZTlh2ZGpRcVY4WV96LW1mRW02ck9WWnBhUWtZQjI1dk1telFnZHI3V1RWUnBDbURqcm5hMlNESGV4SzZBc2gxZTA5UWxlaVl1azBXeWNZX2fSAdIBQVVfeXFMUGFVNV8zSVMwWDF3Y3E1T0NFTFI1V0RDRy13dTdzV3VYUHZxNTJadFNvV2RmSEJRZUFqYmFhZDZwTDJpN3NBSDJfTXVDenhycGt2MDRaUXZudUZrYVFKWmp4R2g5X0NKb0E5Q2xoN0dWS3hoUFkxWFpjdkdxenpsdWtEWU5YdmRqUXFWOFlfei1tZkVtNnJPVlpwYVFrWUIyNXZNbXpRZ2RyN1dUVlJwQ21EanJuYTJTREhleEs2QXNoMWUwOVFsZWlZdWswV3ljWV9n?oc=5"" target=""_blank"">Weather Alert: Cyclone Threat on Bay of Bengal; Northeast India to See Rain, Thunderstorms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pratidin Time</font>",Disaster,en
Sports News | India Women's Football Team Gear Up to Face Nepal in Last Tri-Nation Clash - LatestLY,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQWk1KYzdTdlUtZ0tibWhjZ3ZvRnRlcENTMWFqanhESC1oeFV5MTBZM1BJYVNIRXY5bWcxYW1kME1pVUdCSmtoVHkyam04ai1kVWQyS3JjVDg0cnUwNXZGb1lWYWk1SnVVeUtmZk5GNFJFOFQ0eEV4UnZjWV80ZDYtVlkzMmNucUZLaW9VWWZzNlpxVWdZUXNIXy1abVRDelQ5b0d5aHBfelpVT09GUExHcWNLTS1KaDRlU1VmR0RDX2gxX3V3LUwyRmY2cC1MdGZodUFVU0tR0gHWAUFVX3lxTFBaTUpjN1N2VS1nS2JtaGNndm9GdGVwQ1MxYWpqeERILWh4VXkxMFkzUElhU0hFdjltZzFhbWQwTWlVR0JKa2hUeTJqbThqLWRVZDJLcmNUODRydTA1dkZvWVZhaTVKdVV5S2ZmTkY0UkU4VDR4RXhSdmNZXzRkNi1WWTMyY25xRktpb1VZZnM2WnFVZ1lRc0hfLVptVEN6VDlvR3locF96WlVPT0ZQTEdxY0tNLUpoNGVTVWZHRENfaDFfdXctTDJGZjZwLUx0Zmh1QVVTS1E?oc=5,2025-10-26 20:38:24,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQWk1KYzdTdlUtZ0tibWhjZ3ZvRnRlcENTMWFqanhESC1oeFV5MTBZM1BJYVNIRXY5bWcxYW1kME1pVUdCSmtoVHkyam04ai1kVWQyS3JjVDg0cnUwNXZGb1lWYWk1SnVVeUtmZk5GNFJFOFQ0eEV4UnZjWV80ZDYtVlkzMmNucUZLaW9VWWZzNlpxVWdZUXNIXy1abVRDelQ5b0d5aHBfelpVT09GUExHcWNLTS1KaDRlU1VmR0RDX2gxX3V3LUwyRmY2cC1MdGZodUFVU0tR0gHWAUFVX3lxTFBaTUpjN1N2VS1nS2JtaGNndm9GdGVwQ1MxYWpqeERILWh4VXkxMFkzUElhU0hFdjltZzFhbWQwTWlVR0JKa2hUeTJqbThqLWRVZDJLcmNUODRydTA1dkZvWVZhaTVKdVV5S2ZmTkY0UkU4VDR4RXhSdmNZXzRkNi1WWTMyY25xRktpb1VZZnM2WnFVZ1lRc0hfLVptVEN6VDlvR3locF96WlVPT0ZQTEdxY0tNLUpoNGVTVWZHRENfaDFfdXctTDJGZjZwLUx0Zmh1QVVTS1E?oc=5"" target=""_blank"">Sports News | India Women's Football Team Gear Up to Face Nepal in Last Tri-Nation Clash</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
"Cyclone Montha likely to bring heavy rains to Nagaland, North-East - MorungExpress",https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5,2025-10-26 23:00:37,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5"" target=""_blank"">Cyclone Montha likely to bring heavy rains to Nagaland, North-East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Deep depression in Bay of Bengal: Odisha puts all 30 districts on alert - The Meghalayan Express,https://news.google.com/rss/articles/CBMipwFBVV95cUxNMzBDU3J0X1FCdnVoS2VUR0FSV3g2TlJxRHlLdDJjRG16VWFSMDZnTmdmTTNfT1ZUdXJjZW1wTnJCMExsc1BGalNWdG5Xc01hZlJ1dDMwWi1qNHZSRU9Ic1YxUV9oa0p2NEJ4ZjIxZUwwbFVVYml4WnNLZzNHTmxyOGVuMmx3a0N3aUx1MVJmUTZwaW8wVTZ6Ukc5VUFRU3hlS2pBY2Jycw?oc=5,2025-10-26 22:48:29,The Meghalayan Express,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNMzBDU3J0X1FCdnVoS2VUR0FSV3g2TlJxRHlLdDJjRG16VWFSMDZnTmdmTTNfT1ZUdXJjZW1wTnJCMExsc1BGalNWdG5Xc01hZlJ1dDMwWi1qNHZSRU9Ic1YxUV9oa0p2NEJ4ZjIxZUwwbFVVYml4WnNLZzNHTmxyOGVuMmx3a0N3aUx1MVJmUTZwaW8wVTZ6Ukc5VUFRU3hlS2pBY2Jycw?oc=5"" target=""_blank"">Deep depression in Bay of Bengal: Odisha puts all 30 districts on alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Meghalayan Express</font>",Disaster,en
"Cyclone Montha Alert: IMD Issues Heavy Rain Warning For Odisha, West Bengal; Cold Wave To Hit Eastern UP - MSN",https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWTlzVXlqMzVsc2FVLTF5SEJBWlRhVWlqWHFhZ1R3bXBDR250WGZtdDZrR2N5dV9vbUUwZlJNNTBULTFKWEhWOTdOYnZDeTNSbHNZNnVDQzRBUGMyWkVXVUVENnprb2Jsb3UyYXhNVDdhV1NiVi0wNVJJRXBlREo4VXAxcHhad2FleXQyU2c2MzlNYmVFRjByREdjZEJVaGFIT2FUczVxTm9qbFRSNnZRaFU3aUFpNDlzdkhBd1JYWDhHd3dJbndua3hocl8yaF9mYU8zRXRGR0ZRcVljN0tmSTRsaEs?oc=5,2025-10-27 07:17:22,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPWTlzVXlqMzVsc2FVLTF5SEJBWlRhVWlqWHFhZ1R3bXBDR250WGZtdDZrR2N5dV9vbUUwZlJNNTBULTFKWEhWOTdOYnZDeTNSbHNZNnVDQzRBUGMyWkVXVUVENnprb2Jsb3UyYXhNVDdhV1NiVi0wNVJJRXBlREo4VXAxcHhad2FleXQyU2c2MzlNYmVFRjByREdjZEJVaGFIT2FUczVxTm9qbFRSNnZRaFU3aUFpNDlzdkhBd1JYWDhHd3dJbndua3hocl8yaF9mYU8zRXRGR0ZRcVljN0tmSTRsaEs?oc=5"" target=""_blank"">Cyclone Montha Alert: IMD Issues Heavy Rain Warning For Odisha, West Bengal; Cold Wave To Hit Eastern UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Weather Alert: Cyclone Threat on Bay of Bengal; Northeast India to See Rain, Thunderstorms - Pratidin Time",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQYVU1XzNJUzBYMXdjcTVPQ0VMUjVXRENHLXd1N3NXdVhQdnE1Mlp0U29XZGZIQlFlQWpiYWFkNnBMMmk3c0FIMl9NdUN6eHJwa3YwNFpRdm51RmthUUpaanhHaDlfQ0pvQTlDbGg3R1ZLeGhQWTFYWmN2R3F6emx1a0RZTlh2ZGpRcVY4WV96LW1mRW02ck9WWnBhUWtZQjI1dk1telFnZHI3V1RWUnBDbURqcm5hMlNESGV4SzZBc2gxZTA5UWxlaVl1azBXeWNZX2fSAdIBQVVfeXFMUGFVNV8zSVMwWDF3Y3E1T0NFTFI1V0RDRy13dTdzV3VYUHZxNTJadFNvV2RmSEJRZUFqYmFhZDZwTDJpN3NBSDJfTXVDenhycGt2MDRaUXZudUZrYVFKWmp4R2g5X0NKb0E5Q2xoN0dWS3hoUFkxWFpjdkdxenpsdWtEWU5YdmRqUXFWOFlfei1tZkVtNnJPVlpwYVFrWUIyNXZNbXpRZ2RyN1dUVlJwQ21EanJuYTJTREhleEs2QXNoMWUwOVFsZWlZdWswV3ljWV9n?oc=5,2025-10-26 22:36:25,Pratidin Time,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQYVU1XzNJUzBYMXdjcTVPQ0VMUjVXRENHLXd1N3NXdVhQdnE1Mlp0U29XZGZIQlFlQWpiYWFkNnBMMmk3c0FIMl9NdUN6eHJwa3YwNFpRdm51RmthUUpaanhHaDlfQ0pvQTlDbGg3R1ZLeGhQWTFYWmN2R3F6emx1a0RZTlh2ZGpRcVY4WV96LW1mRW02ck9WWnBhUWtZQjI1dk1telFnZHI3V1RWUnBDbURqcm5hMlNESGV4SzZBc2gxZTA5UWxlaVl1azBXeWNZX2fSAdIBQVVfeXFMUGFVNV8zSVMwWDF3Y3E1T0NFTFI1V0RDRy13dTdzV3VYUHZxNTJadFNvV2RmSEJRZUFqYmFhZDZwTDJpN3NBSDJfTXVDenhycGt2MDRaUXZudUZrYVFKWmp4R2g5X0NKb0E5Q2xoN0dWS3hoUFkxWFpjdkdxenpsdWtEWU5YdmRqUXFWOFlfei1tZkVtNnJPVlpwYVFrWUIyNXZNbXpRZ2RyN1dUVlJwQ21EanJuYTJTREhleEs2QXNoMWUwOVFsZWlZdWswV3ljWV9n?oc=5"" target=""_blank"">Weather Alert: Cyclone Threat on Bay of Bengal; Northeast India to See Rain, Thunderstorms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pratidin Time</font>",Disaster,en
Sports News | India Women's Football Team Gear Up to Face Nepal in Last Tri-Nation Clash - LatestLY,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQWk1KYzdTdlUtZ0tibWhjZ3ZvRnRlcENTMWFqanhESC1oeFV5MTBZM1BJYVNIRXY5bWcxYW1kME1pVUdCSmtoVHkyam04ai1kVWQyS3JjVDg0cnUwNXZGb1lWYWk1SnVVeUtmZk5GNFJFOFQ0eEV4UnZjWV80ZDYtVlkzMmNucUZLaW9VWWZzNlpxVWdZUXNIXy1abVRDelQ5b0d5aHBfelpVT09GUExHcWNLTS1KaDRlU1VmR0RDX2gxX3V3LUwyRmY2cC1MdGZodUFVU0tR0gHWAUFVX3lxTFBaTUpjN1N2VS1nS2JtaGNndm9GdGVwQ1MxYWpqeERILWh4VXkxMFkzUElhU0hFdjltZzFhbWQwTWlVR0JKa2hUeTJqbThqLWRVZDJLcmNUODRydTA1dkZvWVZhaTVKdVV5S2ZmTkY0UkU4VDR4RXhSdmNZXzRkNi1WWTMyY25xRktpb1VZZnM2WnFVZ1lRc0hfLVptVEN6VDlvR3locF96WlVPT0ZQTEdxY0tNLUpoNGVTVWZHRENfaDFfdXctTDJGZjZwLUx0Zmh1QVVTS1E?oc=5,2025-10-26 20:38:24,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQWk1KYzdTdlUtZ0tibWhjZ3ZvRnRlcENTMWFqanhESC1oeFV5MTBZM1BJYVNIRXY5bWcxYW1kME1pVUdCSmtoVHkyam04ai1kVWQyS3JjVDg0cnUwNXZGb1lWYWk1SnVVeUtmZk5GNFJFOFQ0eEV4UnZjWV80ZDYtVlkzMmNucUZLaW9VWWZzNlpxVWdZUXNIXy1abVRDelQ5b0d5aHBfelpVT09GUExHcWNLTS1KaDRlU1VmR0RDX2gxX3V3LUwyRmY2cC1MdGZodUFVU0tR0gHWAUFVX3lxTFBaTUpjN1N2VS1nS2JtaGNndm9GdGVwQ1MxYWpqeERILWh4VXkxMFkzUElhU0hFdjltZzFhbWQwTWlVR0JKa2hUeTJqbThqLWRVZDJLcmNUODRydTA1dkZvWVZhaTVKdVV5S2ZmTkY0UkU4VDR4RXhSdmNZXzRkNi1WWTMyY25xRktpb1VZZnM2WnFVZ1lRc0hfLVptVEN6VDlvR3locF96WlVPT0ZQTEdxY0tNLUpoNGVTVWZHRENfaDFfdXctTDJGZjZwLUx0Zmh1QVVTS1E?oc=5"" target=""_blank"">Sports News | India Women's Football Team Gear Up to Face Nepal in Last Tri-Nation Clash</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
