Title,Link,Date,Source,Summary,Term,LanguageQueried
Cyclone Montha weakens after landfall in Andhra Pradesh; however IMD warns of heavy rain across these par - Times of India,https://news.google.com/rss/articles/CBMivwJBVV95cUxPQTVHanlQSFBlVUFoQUEzcEN3eEE1OFRFOUJnSjVDbkdydWprbmxza1FwVWtaQWM3RjdkcWowUUJ6NHZMSVJfSndsNUdQeXNKSWduUGNRVjdVX3dSZnFLM3RpMXdWQWpiTDI2c19IRjBzY2cyUkFZOVhMSWd4ZXdiZTdfcFJfcXNNcTYtVlFZTU1FM011cWFIeGktVk84dnR2a3J4UDR0UXBVbm1aRzBNZlRNYXpKS25BWXB5SW5HVFVhMkxQUHJYc2FSZjVhZUs5QWFyTWxxQU5FQ3M3U1Q2QjZPaVc2bXJITE9NTE9KTlhxSllXUVRqZ2dHWUw0UVJvbTJBMHRhWXNib1NhQ25IdEZSRmpVQTdrSzZUQnBzMDdud0NOTEwyS0thTlVZQXdod21XbzFIS3FXS19PdGtZ0gHEAkFVX3lxTE1oYmFVVTJYMW9vS1FKNnlId1lyOFBrRlBXN2ZUMDJuUkktbVBQRko4eF9fb19QenhNaEJGSk1wTURQUWJybHgtLW1keGJibDVhVTR3cExJWkw1QzlnWEJsZWlPN2ZuZjhzS3pkcFh5RVVWV0tfQXBlVUtPOFFJcTA2RmZqMHRhTW1lZVV6UXBjUnNLbThpUDJlUWtHbVhHWnM5dUlweGhPVlVWYlJoWkRSeGNEX3ZWZGRCN0V1Y3d5X0x0T1N6MEpZR19fZ3hjMkhpNERyOUMyWWl2M214dnB5c3M2XzAtWmljSjNCUnVvR1RRTHdQcl83YjZtZDVBN0FGWlE5TnVYWG83dlJxa3ZHQm4tRHBfZzNxdVpkMW5uQ2dzeUxMWDl5akFHOUlYQjVxX25kMllQcTcxQjAta3NyUGZWUA?oc=5,2025-10-29 07:31:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMivwJBVV95cUxPQTVHanlQSFBlVUFoQUEzcEN3eEE1OFRFOUJnSjVDbkdydWprbmxza1FwVWtaQWM3RjdkcWowUUJ6NHZMSVJfSndsNUdQeXNKSWduUGNRVjdVX3dSZnFLM3RpMXdWQWpiTDI2c19IRjBzY2cyUkFZOVhMSWd4ZXdiZTdfcFJfcXNNcTYtVlFZTU1FM011cWFIeGktVk84dnR2a3J4UDR0UXBVbm1aRzBNZlRNYXpKS25BWXB5SW5HVFVhMkxQUHJYc2FSZjVhZUs5QWFyTWxxQU5FQ3M3U1Q2QjZPaVc2bXJITE9NTE9KTlhxSllXUVRqZ2dHWUw0UVJvbTJBMHRhWXNib1NhQ25IdEZSRmpVQTdrSzZUQnBzMDdud0NOTEwyS0thTlVZQXdod21XbzFIS3FXS19PdGtZ0gHEAkFVX3lxTE1oYmFVVTJYMW9vS1FKNnlId1lyOFBrRlBXN2ZUMDJuUkktbVBQRko4eF9fb19QenhNaEJGSk1wTURQUWJybHgtLW1keGJibDVhVTR3cExJWkw1QzlnWEJsZWlPN2ZuZjhzS3pkcFh5RVVWV0tfQXBlVUtPOFFJcTA2RmZqMHRhTW1lZVV6UXBjUnNLbThpUDJlUWtHbVhHWnM5dUlweGhPVlVWYlJoWkRSeGNEX3ZWZGRCN0V1Y3d5X0x0T1N6MEpZR19fZ3hjMkhpNERyOUMyWWl2M214dnB5c3M2XzAtWmljSjNCUnVvR1RRTHdQcl83YjZtZDVBN0FGWlE5TnVYWG83dlJxa3ZHQm4tRHBfZzNxdVpkMW5uQ2dzeUxMWDl5akFHOUlYQjVxX25kMllQcTcxQjAta3NyUGZWUA?oc=5"" target=""_blank"">Cyclone Montha weakens after landfall in Andhra Pradesh; however IMD warns of heavy rain across these par</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Montha likely to bring heavy rains to Nagaland, North-East - MorungExpress",https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5,2025-10-28 21:52:55,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5"" target=""_blank"">Cyclone Montha likely to bring heavy rains to Nagaland, North-East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
MNF calls for 10-hour shutdown in Mizoram on October 28 to protest extension of Forest Act in State - The Hindu,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOQnJaYU1Tb2dzalI5U0pXYlRZMUJ3SGhqR0YtOUpEUm5jSWlVYmNpMkwtbkFxLVBUWkhIdDFBZk9ETjB3aWlVZktFbUtqN1VfMldMbkVpQ25EemZsYlpKQW1SVllzTTUzRHJHOGFENzBTNWR4X1h2TFFsMzI3bmhuQXRBUnJKbGdzLTE5dTJpUjBzaHBJRjN4bHE1WVBHNm9YUnEzV1ZfZWduZHZRS3pjbzBXSkQyeEJpUWo5UDRSLWJiUDdhYXdUYTFfTTNYc0xwUkxKSmtKWVlGM1RMenB0cEpfQVhlMWY4NXBEemlXcHFjM0tT0gH7AUFVX3lxTFB1cmlEZGl4eXlKUjJ4ZFZCdllBcGwzaW10U19id2w1OWhCbzVnYWVvUkVlQTRnM0tEdDFKMlBSVDA2QVZfZEwxQVpzSFVxNmx5QU84WFFqRlpoYnZ2T3NmNEwtbnpTTjhaSE5uandVQU5SMkNZNWVPQ3NlYjdlMF8tZVVGaUtudC1YRDZZeHcwRGlISUhIWDZxUThZQkx2Q0p1NGFBb1locTBKS0F3TUpLZTBYR1pfdml6X2pnNjJDRG9xcXdDVUdQNEhvTGJTejZSaWhPQUE3X3RjUmdXSG50VEludERCN1hjTHpGZkl4NlpXU2t0VVFyTGhJ?oc=5,2025-10-28 20:10:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOQnJaYU1Tb2dzalI5U0pXYlRZMUJ3SGhqR0YtOUpEUm5jSWlVYmNpMkwtbkFxLVBUWkhIdDFBZk9ETjB3aWlVZktFbUtqN1VfMldMbkVpQ25EemZsYlpKQW1SVllzTTUzRHJHOGFENzBTNWR4X1h2TFFsMzI3bmhuQXRBUnJKbGdzLTE5dTJpUjBzaHBJRjN4bHE1WVBHNm9YUnEzV1ZfZWduZHZRS3pjbzBXSkQyeEJpUWo5UDRSLWJiUDdhYXdUYTFfTTNYc0xwUkxKSmtKWVlGM1RMenB0cEpfQVhlMWY4NXBEemlXcHFjM0tT0gH7AUFVX3lxTFB1cmlEZGl4eXlKUjJ4ZFZCdllBcGwzaW10U19id2w1OWhCbzVnYWVvUkVlQTRnM0tEdDFKMlBSVDA2QVZfZEwxQVpzSFVxNmx5QU84WFFqRlpoYnZ2T3NmNEwtbnpTTjhaSE5uandVQU5SMkNZNWVPQ3NlYjdlMF8tZVVGaUtudC1YRDZZeHcwRGlISUhIWDZxUThZQkx2Q0p1NGFBb1locTBKS0F3TUpLZTBYR1pfdml6X2pnNjJDRG9xcXdDVUdQNEhvTGJTejZSaWhPQUE3X3RjUmdXSG50VEludERCN1hjTHpGZkl4NlpXU2t0VVFyTGhJ?oc=5"" target=""_blank"">MNF calls for 10-hour shutdown in Mizoram on October 28 to protest extension of Forest Act in State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
IMD Issues Rain Alert for Guwahati With Stormy Days Ahead - G Plus News,https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ1JucHdnQ1JvRU40cFBMQWhMNlVVRG5MYXVNanhmNVE4Szc1SWlub2M1X2lJTXRsbUNORTg2aFdhczlEQ3pQdWRtZVFiV3pRUG1fYXFrZ3k0WEdqTkhCdXM0MHBqMVpaX20wc3ZXXzNUYzBsakU5TEdmcng1b3pLZzN4V2ZQbEFMWUE?oc=5,2025-10-28 18:07:02,G Plus News,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ1JucHdnQ1JvRU40cFBMQWhMNlVVRG5MYXVNanhmNVE4Szc1SWlub2M1X2lJTXRsbUNORTg2aFdhczlEQ3pQdWRtZVFiV3pRUG1fYXFrZ3k0WEdqTkhCdXM0MHBqMVpaX20wc3ZXXzNUYzBsakU5TEdmcng1b3pLZzN4V2ZQbEFMWUE?oc=5"" target=""_blank"">IMD Issues Rain Alert for Guwahati With Stormy Days Ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">G Plus News</font>",Disaster,en
Nagaland to receive isolated heavy rain as Cyclone Montha hits coast - MorungExpress,https://news.google.com/rss/articles/CBMimgFBVV95cUxONk9iX0ZVNGFfRllZT2FmdFQxZWRjaEF2bVBtVTVvMUVoQnBOSlVGQXBWeEpKa2YzdUZNb1JkZFdvRXF3YjcyYU14RzI3amdPRzZ3VG8yczBVNEhUaDhoRmNST1Z5VDRyRmwzOVlOanRzUjdlLV9fbTRhUFVzdnEzazM2aUI4ZWlwR0E0VWd3UGRRY19RQnVRVlNn?oc=5,2025-10-28 22:22:08,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxONk9iX0ZVNGFfRllZT2FmdFQxZWRjaEF2bVBtVTVvMUVoQnBOSlVGQXBWeEpKa2YzdUZNb1JkZFdvRXF3YjcyYU14RzI3amdPRzZ3VG8yczBVNEhUaDhoRmNST1Z5VDRyRmwzOVlOanRzUjdlLV9fbTRhUFVzdnEzazM2aUI4ZWlwR0E0VWd3UGRRY19RQnVRVlNn?oc=5"" target=""_blank"">Nagaland to receive isolated heavy rain as Cyclone Montha hits coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Cyclone Montha weakens after landfall in Andhra Pradesh; however IMD warns of heavy rain across these par - Times of India,https://news.google.com/rss/articles/CBMivwJBVV95cUxPQTVHanlQSFBlVUFoQUEzcEN3eEE1OFRFOUJnSjVDbkdydWprbmxza1FwVWtaQWM3RjdkcWowUUJ6NHZMSVJfSndsNUdQeXNKSWduUGNRVjdVX3dSZnFLM3RpMXdWQWpiTDI2c19IRjBzY2cyUkFZOVhMSWd4ZXdiZTdfcFJfcXNNcTYtVlFZTU1FM011cWFIeGktVk84dnR2a3J4UDR0UXBVbm1aRzBNZlRNYXpKS25BWXB5SW5HVFVhMkxQUHJYc2FSZjVhZUs5QWFyTWxxQU5FQ3M3U1Q2QjZPaVc2bXJITE9NTE9KTlhxSllXUVRqZ2dHWUw0UVJvbTJBMHRhWXNib1NhQ25IdEZSRmpVQTdrSzZUQnBzMDdud0NOTEwyS0thTlVZQXdod21XbzFIS3FXS19PdGtZ0gHEAkFVX3lxTE1oYmFVVTJYMW9vS1FKNnlId1lyOFBrRlBXN2ZUMDJuUkktbVBQRko4eF9fb19QenhNaEJGSk1wTURQUWJybHgtLW1keGJibDVhVTR3cExJWkw1QzlnWEJsZWlPN2ZuZjhzS3pkcFh5RVVWV0tfQXBlVUtPOFFJcTA2RmZqMHRhTW1lZVV6UXBjUnNLbThpUDJlUWtHbVhHWnM5dUlweGhPVlVWYlJoWkRSeGNEX3ZWZGRCN0V1Y3d5X0x0T1N6MEpZR19fZ3hjMkhpNERyOUMyWWl2M214dnB5c3M2XzAtWmljSjNCUnVvR1RRTHdQcl83YjZtZDVBN0FGWlE5TnVYWG83dlJxa3ZHQm4tRHBfZzNxdVpkMW5uQ2dzeUxMWDl5akFHOUlYQjVxX25kMllQcTcxQjAta3NyUGZWUA?oc=5,2025-10-29 07:31:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMivwJBVV95cUxPQTVHanlQSFBlVUFoQUEzcEN3eEE1OFRFOUJnSjVDbkdydWprbmxza1FwVWtaQWM3RjdkcWowUUJ6NHZMSVJfSndsNUdQeXNKSWduUGNRVjdVX3dSZnFLM3RpMXdWQWpiTDI2c19IRjBzY2cyUkFZOVhMSWd4ZXdiZTdfcFJfcXNNcTYtVlFZTU1FM011cWFIeGktVk84dnR2a3J4UDR0UXBVbm1aRzBNZlRNYXpKS25BWXB5SW5HVFVhMkxQUHJYc2FSZjVhZUs5QWFyTWxxQU5FQ3M3U1Q2QjZPaVc2bXJITE9NTE9KTlhxSllXUVRqZ2dHWUw0UVJvbTJBMHRhWXNib1NhQ25IdEZSRmpVQTdrSzZUQnBzMDdud0NOTEwyS0thTlVZQXdod21XbzFIS3FXS19PdGtZ0gHEAkFVX3lxTE1oYmFVVTJYMW9vS1FKNnlId1lyOFBrRlBXN2ZUMDJuUkktbVBQRko4eF9fb19QenhNaEJGSk1wTURQUWJybHgtLW1keGJibDVhVTR3cExJWkw1QzlnWEJsZWlPN2ZuZjhzS3pkcFh5RVVWV0tfQXBlVUtPOFFJcTA2RmZqMHRhTW1lZVV6UXBjUnNLbThpUDJlUWtHbVhHWnM5dUlweGhPVlVWYlJoWkRSeGNEX3ZWZGRCN0V1Y3d5X0x0T1N6MEpZR19fZ3hjMkhpNERyOUMyWWl2M214dnB5c3M2XzAtWmljSjNCUnVvR1RRTHdQcl83YjZtZDVBN0FGWlE5TnVYWG83dlJxa3ZHQm4tRHBfZzNxdVpkMW5uQ2dzeUxMWDl5akFHOUlYQjVxX25kMllQcTcxQjAta3NyUGZWUA?oc=5"" target=""_blank"">Cyclone Montha weakens after landfall in Andhra Pradesh; however IMD warns of heavy rain across these par</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Montha likely to bring heavy rains to Nagaland, North-East - MorungExpress",https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5,2025-10-28 21:52:55,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNOWItazc4dVMxT3FQVnBjdWxhcXF3QUIwVWN6bjFlc0dicXhjaGNhT1VmNFRyYkM5MV9tUnZvN2JSRDVVSVpKR3lYS1lIMnhLN2ppMm5mdnR3bWt6SmZzdDVRVHB3a3NWU2RnRm1CRzR6al9PcmVBQ014ajZ5R0pJR2d0XzB0ejhDZHBEb0NvVkhxZDJXOFE?oc=5"" target=""_blank"">Cyclone Montha likely to bring heavy rains to Nagaland, North-East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
MNF calls for 10-hour shutdown in Mizoram on October 28 to protest extension of Forest Act in State - The Hindu,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOQnJaYU1Tb2dzalI5U0pXYlRZMUJ3SGhqR0YtOUpEUm5jSWlVYmNpMkwtbkFxLVBUWkhIdDFBZk9ETjB3aWlVZktFbUtqN1VfMldMbkVpQ25EemZsYlpKQW1SVllzTTUzRHJHOGFENzBTNWR4X1h2TFFsMzI3bmhuQXRBUnJKbGdzLTE5dTJpUjBzaHBJRjN4bHE1WVBHNm9YUnEzV1ZfZWduZHZRS3pjbzBXSkQyeEJpUWo5UDRSLWJiUDdhYXdUYTFfTTNYc0xwUkxKSmtKWVlGM1RMenB0cEpfQVhlMWY4NXBEemlXcHFjM0tT0gH7AUFVX3lxTFB1cmlEZGl4eXlKUjJ4ZFZCdllBcGwzaW10U19id2w1OWhCbzVnYWVvUkVlQTRnM0tEdDFKMlBSVDA2QVZfZEwxQVpzSFVxNmx5QU84WFFqRlpoYnZ2T3NmNEwtbnpTTjhaSE5uandVQU5SMkNZNWVPQ3NlYjdlMF8tZVVGaUtudC1YRDZZeHcwRGlISUhIWDZxUThZQkx2Q0p1NGFBb1locTBKS0F3TUpLZTBYR1pfdml6X2pnNjJDRG9xcXdDVUdQNEhvTGJTejZSaWhPQUE3X3RjUmdXSG50VEludERCN1hjTHpGZkl4NlpXU2t0VVFyTGhJ?oc=5,2025-10-28 20:10:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOQnJaYU1Tb2dzalI5U0pXYlRZMUJ3SGhqR0YtOUpEUm5jSWlVYmNpMkwtbkFxLVBUWkhIdDFBZk9ETjB3aWlVZktFbUtqN1VfMldMbkVpQ25EemZsYlpKQW1SVllzTTUzRHJHOGFENzBTNWR4X1h2TFFsMzI3bmhuQXRBUnJKbGdzLTE5dTJpUjBzaHBJRjN4bHE1WVBHNm9YUnEzV1ZfZWduZHZRS3pjbzBXSkQyeEJpUWo5UDRSLWJiUDdhYXdUYTFfTTNYc0xwUkxKSmtKWVlGM1RMenB0cEpfQVhlMWY4NXBEemlXcHFjM0tT0gH7AUFVX3lxTFB1cmlEZGl4eXlKUjJ4ZFZCdllBcGwzaW10U19id2w1OWhCbzVnYWVvUkVlQTRnM0tEdDFKMlBSVDA2QVZfZEwxQVpzSFVxNmx5QU84WFFqRlpoYnZ2T3NmNEwtbnpTTjhaSE5uandVQU5SMkNZNWVPQ3NlYjdlMF8tZVVGaUtudC1YRDZZeHcwRGlISUhIWDZxUThZQkx2Q0p1NGFBb1locTBKS0F3TUpLZTBYR1pfdml6X2pnNjJDRG9xcXdDVUdQNEhvTGJTejZSaWhPQUE3X3RjUmdXSG50VEludERCN1hjTHpGZkl4NlpXU2t0VVFyTGhJ?oc=5"" target=""_blank"">MNF calls for 10-hour shutdown in Mizoram on October 28 to protest extension of Forest Act in State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
IMD Issues Rain Alert for Guwahati With Stormy Days Ahead - G Plus News,https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ1JucHdnQ1JvRU40cFBMQWhMNlVVRG5MYXVNanhmNVE4Szc1SWlub2M1X2lJTXRsbUNORTg2aFdhczlEQ3pQdWRtZVFiV3pRUG1fYXFrZ3k0WEdqTkhCdXM0MHBqMVpaX20wc3ZXXzNUYzBsakU5TEdmcng1b3pLZzN4V2ZQbEFMWUE?oc=5,2025-10-28 18:07:02,G Plus News,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ1JucHdnQ1JvRU40cFBMQWhMNlVVRG5MYXVNanhmNVE4Szc1SWlub2M1X2lJTXRsbUNORTg2aFdhczlEQ3pQdWRtZVFiV3pRUG1fYXFrZ3k0WEdqTkhCdXM0MHBqMVpaX20wc3ZXXzNUYzBsakU5TEdmcng1b3pLZzN4V2ZQbEFMWUE?oc=5"" target=""_blank"">IMD Issues Rain Alert for Guwahati With Stormy Days Ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">G Plus News</font>",Disaster,en
Nagaland to receive isolated heavy rain as Cyclone Montha hits coast - MorungExpress,https://news.google.com/rss/articles/CBMimgFBVV95cUxONk9iX0ZVNGFfRllZT2FmdFQxZWRjaEF2bVBtVTVvMUVoQnBOSlVGQXBWeEpKa2YzdUZNb1JkZFdvRXF3YjcyYU14RzI3amdPRzZ3VG8yczBVNEhUaDhoRmNST1Z5VDRyRmwzOVlOanRzUjdlLV9fbTRhUFVzdnEzazM2aUI4ZWlwR0E0VWd3UGRRY19RQnVRVlNn?oc=5,2025-10-28 22:22:08,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxONk9iX0ZVNGFfRllZT2FmdFQxZWRjaEF2bVBtVTVvMUVoQnBOSlVGQXBWeEpKa2YzdUZNb1JkZFdvRXF3YjcyYU14RzI3amdPRzZ3VG8yczBVNEhUaDhoRmNST1Z5VDRyRmwzOVlOanRzUjdlLV9fbTRhUFVzdnEzazM2aUI4ZWlwR0E0VWd3UGRRY19RQnVRVlNn?oc=5"" target=""_blank"">Nagaland to receive isolated heavy rain as Cyclone Montha hits coast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
