Title,Link,Date,Source,Summary,Term,LanguageQueried
Nagaland weather outlook changes as Cyclone Montha weakens - MorungExpress,https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5,2025-10-29 23:25:18,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5"" target=""_blank"">Nagaland weather outlook changes as Cyclone Montha weakens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31 - Times Bull,https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5,2025-10-30 06:31:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5"" target=""_blank"">Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
Myanmar-bound fertiliser shipment seized in Mizoram - The Times of India,https://news.google.com/rss/articles/CBMiywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QdIBywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QQ?oc=5,2025-10-29 23:43:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QdIBywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QQ?oc=5"" target=""_blank"">Myanmar-bound fertiliser shipment seized in Mizoram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Disaster,en
"National Commission for Women seeks Mizoram Police, Assam Rifles’ help to curb trafficking at Myanmar border - Telegraph India",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQTGFfem0tZDdCdWJKSVhSbC1PbjdPdUs3bDQ5VDJndDUzY1BubmNOOFo3bTFleDRtOTk0VHZ2dExmdEI5bTRKbmFKZ1RrXzAwVHJSUFR3NTd5dVFzcEhVVDlkb2Q0em14MmwyeWtkWkZTdzM1YkVDWEk3U1d1WjBSMkRWNW1JYjJBUXdSU001UkxaejhmWGZ4U0h3N3otQlJaNHVjWG1uR3FCZ2VOazFRUWRZXzZMNkRHTDlZZGRaZ2pJX2h2RUxCTVFPSUR6ZVBXaGdEalJrblRxT3JkQkpnajFLeDhYc3FqWXFV0gHwAUFVX3lxTE5SdkJZUzVQR0cwVzlIa2pTdHZuYjdjMVNNRVhGZ2pWNjJCM1ZNS2pRT29ETmpNTmlVZ2NjYWYxUnpaN2FFWlN5UmhScVlxdEtYZG5ZZUNHTGlETjhBTjVIYkJ4QWwtMFdndUphT1dWV3ZwQ0Q2VHRpUEpCdTJYOUpsamkyb29sWXNNLTJaQVlLYUsybWxOQUtHTFBLM2xrTnZRTm9Hc2EtRXNzbjZjZzNiY3BzRFJSNDlNQ1FCTHhtcEJDbHU5bU1NcFFtRGFwZFZrc1RZckdDNkZkUmJOV3hWeThjcFNsdkpaNTVYR0RXNg?oc=5,2025-10-29 12:47:09,Telegraph India,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQTGFfem0tZDdCdWJKSVhSbC1PbjdPdUs3bDQ5VDJndDUzY1BubmNOOFo3bTFleDRtOTk0VHZ2dExmdEI5bTRKbmFKZ1RrXzAwVHJSUFR3NTd5dVFzcEhVVDlkb2Q0em14MmwyeWtkWkZTdzM1YkVDWEk3U1d1WjBSMkRWNW1JYjJBUXdSU001UkxaejhmWGZ4U0h3N3otQlJaNHVjWG1uR3FCZ2VOazFRUWRZXzZMNkRHTDlZZGRaZ2pJX2h2RUxCTVFPSUR6ZVBXaGdEalJrblRxT3JkQkpnajFLeDhYc3FqWXFV0gHwAUFVX3lxTE5SdkJZUzVQR0cwVzlIa2pTdHZuYjdjMVNNRVhGZ2pWNjJCM1ZNS2pRT29ETmpNTmlVZ2NjYWYxUnpaN2FFWlN5UmhScVlxdEtYZG5ZZUNHTGlETjhBTjVIYkJ4QWwtMFdndUphT1dWV3ZwQ0Q2VHRpUEpCdTJYOUpsamkyb29sWXNNLTJaQVlLYUsybWxOQUtHTFBLM2xrTnZRTm9Hc2EtRXNzbjZjZzNiY3BzRFJSNDlNQ1FCTHhtcEJDbHU5bU1NcFFtRGFwZFZrc1RZckdDNkZkUmJOV3hWeThjcFNsdkpaNTVYR0RXNg?oc=5"" target=""_blank"">National Commission for Women seeks Mizoram Police, Assam Rifles’ help to curb trafficking at Myanmar border</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font>",Disaster,en
India News | MNF Enforces a Statewide Total Bandh Across Mizoram in Protest Against the FCAA 2023 - LatestLY,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzY9IB4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzYw?oc=5,2025-10-29 11:20:30,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzY9IB4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzYw?oc=5"" target=""_blank"">India News | MNF Enforces a Statewide Total Bandh Across Mizoram in Protest Against the FCAA 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
Nagaland weather outlook changes as Cyclone Montha weakens - MorungExpress,https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5,2025-10-29 23:25:18,MorungExpress,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQeTZQSUlNcjRiOEdYSzZjeERMZmFoYzllRVNuQko3Q3l2SzQ1bkxGNDFnUXotNGlzQzNYMkwzWVNjWF9oZVptY216Vm1VVUc1VHY3UnJka1R2cXFtcDJWSnpKS3VqT3hLRk5lS3gydGd3WmJPY0xGdll1VGdJRXBIY3prYmFBRUJWMHZKMQ?oc=5"" target=""_blank"">Nagaland weather outlook changes as Cyclone Montha weakens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MorungExpress</font>",Disaster,en
Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31 - Times Bull,https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5,2025-10-30 06:31:38,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNWlZNQkQ4OUVDNzlvaWZ2Wl9KaUFGZ3VHNDVoWk85MHNRQTZOQ2JmLUlMTlNLa1MzRWZiZjV1ZjhJVUFQaWxia1JQcC1RbldkV0ZVTkNvLXJSdXpoSnBXUDBKa2ZHMjdOdHc5Rm1RVGpfTmhiOWYyYXNXSS0wNjVJbTI3cUhydXpfaXNNMlQ0cXdMalhpbTNmZlJwNy0wclRfSkJ4T1pzd3pNc21GVFNF?oc=5"" target=""_blank"">Monsoon Update – Heavy rain alert with storm in 13 states on October 30 and 31</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
Myanmar-bound fertiliser shipment seized in Mizoram - The Times of India,https://news.google.com/rss/articles/CBMiywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QdIBywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QQ?oc=5,2025-10-29 23:43:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QdIBywFBVV95cUxObVhDQTVhd3JZdkpGam5lUmpBSURZbFNMalhEVGVCLXA4RHFsd3NVUFFTdFdWVEdjS1hlSnk1QnRDZnFjVmhYNjd5NlZSSndCbS1ZTmNJSU9NczZVRjZmdUJiRlhZUldTR1RhUWxUbXF2NnJJTE1ZUWRDd3JHa1Y4dERxSk5rR280VFhKR2xOc1l6NjB1THV0VEMyZWl4ck1ZQXlySFZGMUg1enc4VFVYejBfR2gybEdla0tYR1UzS0ZWdFZoNXRFR0E4QQ?oc=5"" target=""_blank"">Myanmar-bound fertiliser shipment seized in Mizoram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Disaster,en
"National Commission for Women seeks Mizoram Police, Assam Rifles’ help to curb trafficking at Myanmar border - Telegraph India",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQTGFfem0tZDdCdWJKSVhSbC1PbjdPdUs3bDQ5VDJndDUzY1BubmNOOFo3bTFleDRtOTk0VHZ2dExmdEI5bTRKbmFKZ1RrXzAwVHJSUFR3NTd5dVFzcEhVVDlkb2Q0em14MmwyeWtkWkZTdzM1YkVDWEk3U1d1WjBSMkRWNW1JYjJBUXdSU001UkxaejhmWGZ4U0h3N3otQlJaNHVjWG1uR3FCZ2VOazFRUWRZXzZMNkRHTDlZZGRaZ2pJX2h2RUxCTVFPSUR6ZVBXaGdEalJrblRxT3JkQkpnajFLeDhYc3FqWXFV0gHwAUFVX3lxTE5SdkJZUzVQR0cwVzlIa2pTdHZuYjdjMVNNRVhGZ2pWNjJCM1ZNS2pRT29ETmpNTmlVZ2NjYWYxUnpaN2FFWlN5UmhScVlxdEtYZG5ZZUNHTGlETjhBTjVIYkJ4QWwtMFdndUphT1dWV3ZwQ0Q2VHRpUEpCdTJYOUpsamkyb29sWXNNLTJaQVlLYUsybWxOQUtHTFBLM2xrTnZRTm9Hc2EtRXNzbjZjZzNiY3BzRFJSNDlNQ1FCTHhtcEJDbHU5bU1NcFFtRGFwZFZrc1RZckdDNkZkUmJOV3hWeThjcFNsdkpaNTVYR0RXNg?oc=5,2025-10-29 12:47:09,Telegraph India,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQTGFfem0tZDdCdWJKSVhSbC1PbjdPdUs3bDQ5VDJndDUzY1BubmNOOFo3bTFleDRtOTk0VHZ2dExmdEI5bTRKbmFKZ1RrXzAwVHJSUFR3NTd5dVFzcEhVVDlkb2Q0em14MmwyeWtkWkZTdzM1YkVDWEk3U1d1WjBSMkRWNW1JYjJBUXdSU001UkxaejhmWGZ4U0h3N3otQlJaNHVjWG1uR3FCZ2VOazFRUWRZXzZMNkRHTDlZZGRaZ2pJX2h2RUxCTVFPSUR6ZVBXaGdEalJrblRxT3JkQkpnajFLeDhYc3FqWXFV0gHwAUFVX3lxTE5SdkJZUzVQR0cwVzlIa2pTdHZuYjdjMVNNRVhGZ2pWNjJCM1ZNS2pRT29ETmpNTmlVZ2NjYWYxUnpaN2FFWlN5UmhScVlxdEtYZG5ZZUNHTGlETjhBTjVIYkJ4QWwtMFdndUphT1dWV3ZwQ0Q2VHRpUEpCdTJYOUpsamkyb29sWXNNLTJaQVlLYUsybWxOQUtHTFBLM2xrTnZRTm9Hc2EtRXNzbjZjZzNiY3BzRFJSNDlNQ1FCTHhtcEJDbHU5bU1NcFFtRGFwZFZrc1RZckdDNkZkUmJOV3hWeThjcFNsdkpaNTVYR0RXNg?oc=5"" target=""_blank"">National Commission for Women seeks Mizoram Police, Assam Rifles’ help to curb trafficking at Myanmar border</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font>",Disaster,en
India News | MNF Enforces a Statewide Total Bandh Across Mizoram in Protest Against the FCAA 2023 - LatestLY,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzY9IB4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzYw?oc=5,2025-10-29 11:20:30,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzY9IB4wFBVV95cUxPdXpCdGxJdy1ib2w4M1h2bkpFUDkyRFZZWF92Q1VDWUZZd0o5WEdEbWY4M2djVzV0UzZPbmxzSDNBTm95RjBKSWFQWC1fdEpJRFduVEZXb0NnRUtLVXNzZURkRy02TUlKX2JIT3RQRWpQZU5aaGRwdEFsWlhjQjQwRGV4aGRYLTFtS2UtRGczVWo3bEdnb0xOWmd5UFNZWGV4VXFVdUxmMUV6TTNVWDVKUHVMdDk3YjhaVjkzbWRHSnhMeFdpT1A1bzRwSjV5elRZbTBUTmdTbGxIQk4wc1VHNGFzYw?oc=5"" target=""_blank"">India News | MNF Enforces a Statewide Total Bandh Across Mizoram in Protest Against the FCAA 2023</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
