Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab - Krishi Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5,2025-04-26 07:36:25,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Dhoop Chaanv; Mixed Weather Pattern Grips India: Clear Skies in Mumbai, Thunderstorms in the East - PUNE PULSE",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMkRTT2xYZHY5cmpxVjVVLVpFdkJfRmxZeERzWGVJd2ZCRlo0Z2N4NDdPZ3VtcjRjYU54VGFoQlVUYWdQMng0YWZ2ZnFqclA1Wko0T25lTXEzR082WUFKeFJOTHZVLVpxSnNvdGNDbmI0YV9rMDhyVjJoWlBwd2lqYUVpVnFhR3dnR3ZVMDJpTlNDekVJZmJQUVJmdUFTVlZpcExITkk2dUpCRFczQ1ZRcHdUSFJlS0RtRXdUeVJ1ZkU?oc=5,2025-04-26 09:00:06,PUNE PULSE,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMkRTT2xYZHY5cmpxVjVVLVpFdkJfRmxZeERzWGVJd2ZCRlo0Z2N4NDdPZ3VtcjRjYU54VGFoQlVUYWdQMng0YWZ2ZnFqclA1Wko0T25lTXEzR082WUFKeFJOTHZVLVpxSnNvdGNDbmI0YV9rMDhyVjJoWlBwd2lqYUVpVnFhR3dnR3ZVMDJpTlNDekVJZmJQUVJmdUFTVlZpcExITkk2dUpCRFczQ1ZRcHdUSFJlS0RtRXdUeVJ1ZkU?oc=5"" target=""_blank"">Dhoop Chaanv; Mixed Weather Pattern Grips India: Clear Skies in Mumbai, Thunderstorms in the East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE PULSE</font>",Heatwave,en
IMD issues heatwave alert for Northwest India. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5,2025-04-25 10:36:58,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5"" target=""_blank"">IMD issues heatwave alert for Northwest India.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
"Warning of rain in these states including UP amidst scorching heat, know how the weather will be in your area today - indianetworknews.com",https://news.google.com/rss/articles/CBMi4gFBVV95cUxNSTVfLWxYR0tQdTlaS3huRDY3V1RjOThmZV82WWxKTnlibEt5VlItaDhNdUUwdzh5dElhSmVhN093NzNOX3ZwWjRvMGh0bExJQlFJU0ZJUGd0aEhoMlFTZ2xwNl91VHY2MTMzUk5aUGVFN1lKTWpYTHY4MTAtNDlrU09CaV9DelRnYmcxNi1SYTItb2VscVBCYk40c2d6eVJIUW5BeFFvTHhoVWoxcWotazNkZm9GeVFLOWp0Mzl5ZkxhdHc1aGdQQ1hnY0N5d0l6YTVaYTdlLXlmWkVqMWVUN1p3?oc=5,2025-04-26 07:23:26,indianetworknews.com,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNSTVfLWxYR0tQdTlaS3huRDY3V1RjOThmZV82WWxKTnlibEt5VlItaDhNdUUwdzh5dElhSmVhN093NzNOX3ZwWjRvMGh0bExJQlFJU0ZJUGd0aEhoMlFTZ2xwNl91VHY2MTMzUk5aUGVFN1lKTWpYTHY4MTAtNDlrU09CaV9DelRnYmcxNi1SYTItb2VscVBCYk40c2d6eVJIUW5BeFFvTHhoVWoxcWotazNkZm9GeVFLOWp0Mzl5ZkxhdHc1aGdQQ1hnY0N5d0l6YTVaYTdlLXlmWkVqMWVUN1p3?oc=5"" target=""_blank"">Warning of rain in these states including UP amidst scorching heat, know how the weather will be in your area today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indianetworknews.com</font>",Heatwave,en
"Temperature crosses 40 degrees in Delhi, heat warning in 10 states, rainfall with thunderstorms in these areas - indianetworknews.com",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNaWdUUV9QWkZ6UWR4Zy1QczhaUnpyN2E2aW8wcXBGelVSMkNTSGc0WnhQRUNqNFJ6LWJqazcwb1p4Z2lvT2RCclljcEMyU0NyTndydlpFU0VQVjROeUV1dklLa200Wi16MmJBNVliLU01ZDN6UTdXMjR1aFFBU3JLRlk4bjZkWFNVZUV6dTRmS2tMMWR6cGNWempBc0ZyVWNwT1BKU2psbDFNbTRYQVMzWFBTcl8tVUZ3Q1NCenFMaHdxbFBrd3Y1X0FKSTdKYnI2aUgxN2FaVjNHQQ?oc=5,2025-04-26 05:27:45,indianetworknews.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNaWdUUV9QWkZ6UWR4Zy1QczhaUnpyN2E2aW8wcXBGelVSMkNTSGc0WnhQRUNqNFJ6LWJqazcwb1p4Z2lvT2RCclljcEMyU0NyTndydlpFU0VQVjROeUV1dklLa200Wi16MmJBNVliLU01ZDN6UTdXMjR1aFFBU3JLRlk4bjZkWFNVZUV6dTRmS2tMMWR6cGNWempBc0ZyVWNwT1BKU2psbDFNbTRYQVMzWFBTcl8tVUZ3Q1NCenFMaHdxbFBrd3Y1X0FKSTdKYnI2aUgxN2FaVjNHQQ?oc=5"" target=""_blank"">Temperature crosses 40 degrees in Delhi, heat warning in 10 states, rainfall with thunderstorms in these areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indianetworknews.com</font>",Heatwave,en
"Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab - Krishi Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5,2025-04-26 07:36:25,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Dhoop Chaanv; Mixed Weather Pattern Grips India: Clear Skies in Mumbai, Thunderstorms in the East - PUNE PULSE",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMkRTT2xYZHY5cmpxVjVVLVpFdkJfRmxZeERzWGVJd2ZCRlo0Z2N4NDdPZ3VtcjRjYU54VGFoQlVUYWdQMng0YWZ2ZnFqclA1Wko0T25lTXEzR082WUFKeFJOTHZVLVpxSnNvdGNDbmI0YV9rMDhyVjJoWlBwd2lqYUVpVnFhR3dnR3ZVMDJpTlNDekVJZmJQUVJmdUFTVlZpcExITkk2dUpCRFczQ1ZRcHdUSFJlS0RtRXdUeVJ1ZkU?oc=5,2025-04-26 09:00:06,PUNE PULSE,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMkRTT2xYZHY5cmpxVjVVLVpFdkJfRmxZeERzWGVJd2ZCRlo0Z2N4NDdPZ3VtcjRjYU54VGFoQlVUYWdQMng0YWZ2ZnFqclA1Wko0T25lTXEzR082WUFKeFJOTHZVLVpxSnNvdGNDbmI0YV9rMDhyVjJoWlBwd2lqYUVpVnFhR3dnR3ZVMDJpTlNDekVJZmJQUVJmdUFTVlZpcExITkk2dUpCRFczQ1ZRcHdUSFJlS0RtRXdUeVJ1ZkU?oc=5"" target=""_blank"">Dhoop Chaanv; Mixed Weather Pattern Grips India: Clear Skies in Mumbai, Thunderstorms in the East</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE PULSE</font>",Heatwave,en
IMD issues heatwave alert for Northwest India. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5,2025-04-25 10:36:58,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5"" target=""_blank"">IMD issues heatwave alert for Northwest India.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
"Warning of rain in these states including UP amidst scorching heat, know how the weather will be in your area today - indianetworknews.com",https://news.google.com/rss/articles/CBMi4gFBVV95cUxNSTVfLWxYR0tQdTlaS3huRDY3V1RjOThmZV82WWxKTnlibEt5VlItaDhNdUUwdzh5dElhSmVhN093NzNOX3ZwWjRvMGh0bExJQlFJU0ZJUGd0aEhoMlFTZ2xwNl91VHY2MTMzUk5aUGVFN1lKTWpYTHY4MTAtNDlrU09CaV9DelRnYmcxNi1SYTItb2VscVBCYk40c2d6eVJIUW5BeFFvTHhoVWoxcWotazNkZm9GeVFLOWp0Mzl5ZkxhdHc1aGdQQ1hnY0N5d0l6YTVaYTdlLXlmWkVqMWVUN1p3?oc=5,2025-04-26 07:23:26,indianetworknews.com,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNSTVfLWxYR0tQdTlaS3huRDY3V1RjOThmZV82WWxKTnlibEt5VlItaDhNdUUwdzh5dElhSmVhN093NzNOX3ZwWjRvMGh0bExJQlFJU0ZJUGd0aEhoMlFTZ2xwNl91VHY2MTMzUk5aUGVFN1lKTWpYTHY4MTAtNDlrU09CaV9DelRnYmcxNi1SYTItb2VscVBCYk40c2d6eVJIUW5BeFFvTHhoVWoxcWotazNkZm9GeVFLOWp0Mzl5ZkxhdHc1aGdQQ1hnY0N5d0l6YTVaYTdlLXlmWkVqMWVUN1p3?oc=5"" target=""_blank"">Warning of rain in these states including UP amidst scorching heat, know how the weather will be in your area today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indianetworknews.com</font>",Heatwave,en
"Temperature crosses 40 degrees in Delhi, heat warning in 10 states, rainfall with thunderstorms in these areas - indianetworknews.com",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNaWdUUV9QWkZ6UWR4Zy1QczhaUnpyN2E2aW8wcXBGelVSMkNTSGc0WnhQRUNqNFJ6LWJqazcwb1p4Z2lvT2RCclljcEMyU0NyTndydlpFU0VQVjROeUV1dklLa200Wi16MmJBNVliLU01ZDN6UTdXMjR1aFFBU3JLRlk4bjZkWFNVZUV6dTRmS2tMMWR6cGNWempBc0ZyVWNwT1BKU2psbDFNbTRYQVMzWFBTcl8tVUZ3Q1NCenFMaHdxbFBrd3Y1X0FKSTdKYnI2aUgxN2FaVjNHQQ?oc=5,2025-04-26 05:27:45,indianetworknews.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNaWdUUV9QWkZ6UWR4Zy1QczhaUnpyN2E2aW8wcXBGelVSMkNTSGc0WnhQRUNqNFJ6LWJqazcwb1p4Z2lvT2RCclljcEMyU0NyTndydlpFU0VQVjROeUV1dklLa200Wi16MmJBNVliLU01ZDN6UTdXMjR1aFFBU3JLRlk4bjZkWFNVZUV6dTRmS2tMMWR6cGNWempBc0ZyVWNwT1BKU2psbDFNbTRYQVMzWFBTcl8tVUZ3Q1NCenFMaHdxbFBrd3Y1X0FKSTdKYnI2aUgxN2FaVjNHQQ?oc=5"" target=""_blank"">Temperature crosses 40 degrees in Delhi, heat warning in 10 states, rainfall with thunderstorms in these areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indianetworknews.com</font>",Heatwave,en
